[0:00:00.00]-[0:00:02.00]  ¿Le falla el sal?
[0:19:18.00]-[0:19:19.00]  Pero antes yo no...
[0:19:19.00]-[0:19:20.00]  Porque en mi casa...
[0:19:20.00]-[0:19:21.00]  Era mi padre herrero...
[0:19:21.00]-[0:19:22.00]  Y no...
[0:19:22.00]-[0:19:23.00]  Y no...
[0:19:23.00]-[0:19:24.00]  Y no...
[0:19:24.00]-[0:19:25.00]  Y yo no iba...
[0:19:26.00]-[0:19:28.00]  ¿Y a su madre ayudaba en casa?
[0:19:28.00]-[0:19:29.00]  Ah...
[0:19:29.00]-[0:19:30.00]  Pues barría...
[0:19:30.00]-[0:19:31.00]  Fregaba...
[0:19:31.00]-[0:19:32.00]  Ah...
[0:19:32.00]-[0:19:33.00]  Albergábamos...
[0:19:33.00]-[0:19:34.00]  Limpiábamos...
[0:19:34.00]-[0:19:35.00]  Y eso...
[0:19:35.00]-[0:19:36.00]  Pero...
[0:19:36.00]-[0:19:37.00]  Como no íbamos al campo...
[0:19:37.00]-[0:19:38.00]  Pero...
[0:19:38.00]-[0:19:39.00]  A la casa sí...
[0:19:39.00]-[0:19:40.00]  Fregaba...
[0:19:40.00]-[0:19:41.00]  Y barría...
[0:19:41.00]-[0:19:42.00]  Y...
[0:19:42.00]-[0:19:43.00]  Pues...
[0:19:43.00]-[0:19:44.00]  Esta cosa que íbamos a hacer...
[0:19:44.00]-[0:19:45.00]  Si no había...
[0:19:45.00]-[0:19:46.00]  Si no había para coser...
[0:19:46.00]-[0:19:49.00]  No teníamos nada...
[0:19:49.00]-[0:19:50.00]  ¿Enjalvegar?
[0:19:50.00]-[0:19:51.00]  ¿Qué?
[0:19:51.00]-[0:19:52.00]  Enjalvegar era pintar...
[0:19:52.00]-[0:19:53.00]  Ah...
[0:19:53.00]-[0:19:54.00]  Pintar la...
[0:19:54.00]-[0:19:55.00]  En la...
[0:19:55.00]-[0:19:56.00]  Así decíamos antes enjalvegar...
[0:19:56.00]-[0:19:57.00]  En vez de pintar...
[0:19:57.00]-[0:19:58.00]  Vamos a enjalvegar la casa...
[0:19:58.00]-[0:19:59.00]  Enjalvegar...
[0:19:59.00]-[0:20:00.00]  De año a año...
[0:20:00.00]-[0:20:01.00]  Enjalvegábamos...
[0:20:01.00]-[0:20:02.00]  Cuando...
[0:20:02.00]-[0:20:03.00]  A lo mejor la cocina teníamos la estufa...
[0:20:03.00]-[0:20:04.00]  Decíamos vamos a enjalvegar...
[0:20:04.00]-[0:20:05.00]  La cocina...
[0:20:05.00]-[0:20:06.00]  Que está cuerca...
[0:20:06.00]-[0:20:07.00]  Y ella cuando...
[0:20:07.00]-[0:20:08.00]  Cuando...
[0:20:08.00]-[0:20:09.00]  Cuando...
[0:20:09.00]-[0:20:10.00]  Cuando...
[0:20:10.00]-[0:20:11.00]  Cuando...
[0:20:11.00]-[0:20:12.00]  Cuando...
[0:20:12.00]-[0:20:13.00]  Cuando...
[0:20:13.00]-[0:20:14.00]  Cuando...
[0:20:14.00]-[0:20:15.00]  Cuando...
[0:20:15.00]-[0:20:16.12]  Cuando nos dentinamos con el callejón...
[0:20:16.12]-[0:20:17.12]  Mujer de la familia...
[0:20:17.12]-[0:20:18.12]  De la familia...
[0:20:18.12]-[0:20:19.12]  De...
[0:20:19.12]-[0:20:20.12]  Bueno...
[0:20:20.12]-[0:20:21.12]  De la familia...
[0:20:21.12]-[0:20:22.12]  De...
[0:20:22.12]-[0:20:23.12]  Eh...
[0:20:23.12]-[0:20:24.12]  No mucho porque...
[0:20:24.12]-[0:20:25.12]  Dos mujeres en una casa antes...
[0:20:25.12]-[0:20:26.12]  Y no habíamos las cosas que hoy hay...
[0:20:26.12]-[0:20:27.12]  Pues no a...
[0:20:27.12]-[0:20:28.12]  Siguiente...
[0:20:28.12]-[0:20:29.12]  Siguiente...
[0:20:29.12]-[0:20:30.12]  Ahí...
[0:20:30.12]-[0:20:31.12]  Estaba...
[0:20:31.12]-[0:20:32.12]  Mira...
[0:20:32.12]-[0:20:33.12]  Esto...
[0:20:33.12]-[0:20:34.12]  La mía...
[0:20:34.12]-[0:20:35.12]  La barxilla...
[0:20:35.12]-[0:20:36.12]  Monsieur
[0:20:36.12]-[0:20:37.12]  La barxilla y esto la mía familia...
[0:20:37.12]-[0:20:38.12]  Esto...
[0:20:38.12]-[0:20:39.12]  La mía familia...
[0:20:39.12]-[0:20:40.12]  Sí...
[0:20:40.12]-[0:20:41.12]  El almut...
[0:20:41.12]-[0:20:42.12]  ¿Cómo se llama almut?
[0:20:42.12]-[0:20:43.12]  Esto es...
[0:20:43.12]-[0:20:44.12]  Almut...
[0:20:44.12]-[0:20:48.64]  esto es la media panega y esto la barchilla
[0:20:57.20]-[0:21:00.08]  pues esto y vamos a la era y con esto
[0:21:00.08]-[0:21:18.04]  más la manera que está que eso ya pesa más cuando dice que lo llevaban a los costales
[0:21:18.04]-[0:21:28.28]  con costal ya no tenemos costales lo echábamos abríamos el costal como si esto fuera el costal
[0:21:28.28]-[0:21:35.16]  poníamos así echaba la panela echaba la nota la panela echaba por aquí
[0:21:36.96]-[0:21:43.32]  era más largo que esto cogía de esos tres tres medias
[0:21:45.80]-[0:21:49.48]  tres alubres que decían no habrá ya no
[0:21:49.48]-[0:21:57.80]  esto hay la cámara está las orcas y las hojas se viene para bajar
[0:22:00.16]-[0:22:01.88]  llanas y del cejo
[0:22:01.88]-[0:22:21.20]  a jose teníamos nuestro ciazo ya había molinos que no nos por ahí bajo para ir a valera abajo
[0:22:21.20]-[0:22:36.20]  ahí los otros morinos y morían luego y este el cuartillo la nota y este el cuartillo
[0:22:36.20]-[0:22:52.80]  media de estas la pequeña la medida pequeña y 6 la grande
[0:22:52.80]-[0:23:05.12]  anda a ver saber la cabeza que estará seco el pisao es una poca
[0:23:07.00]-[0:23:13.60]  eso era la cuadra al estar la cocina ahora era la cuadra para tener la caballería
[0:23:13.60]-[0:23:24.12]  si ya le tengo el váter era una corte para el gorrino más que esto es pequeña la cocina
[0:23:24.12]-[0:23:31.68]  es pequeña porque al otro lado tengo las gallinas y tengo la mitad para las gallinas y la mitad para
[0:23:31.68]-[0:23:34.44]  nosotros la cocina de gutano
[0:23:34.44]-[0:23:48.96]  y bueno pues ya que lo voy a contar había una escuela si había dos
[0:23:51.32]-[0:23:54.00]  y las niñas en una parte y los niños a la otra
[0:23:54.00]-[0:24:05.16]  entonces había al menos 40 en cada sitio 40 niños y había sí y que aún había
[0:24:05.16]-[0:24:10.00]  ahora hasta los 6 años no podías ir a la escuela
[0:24:10.00]-[0:24:16.36]  a los 6 años ya iba pero tenías que le dar un certificado de juez como que había cumplido los años
[0:24:16.36]-[0:24:33.40]  si no lo tramitía pues se enseñaba las cuatro reglas y escribir y lo te ha dictado y luego te
[0:24:33.40]-[0:24:44.36]  sacaban las faltas y sumar está multiplicar y decidir luego algún problemilla pero ya eran
[0:24:44.36]-[0:24:51.32]  los más que los más sabían claro más destacados que los que no no nada
[0:24:54.12]-[0:25:01.20]  y ahora no hay escuela ahora no hay chiquete más que uno una chiqueta y la llevan a la
[0:25:01.20]-[0:25:07.16]  hormeda que no van a más que 4 o 5 en la hormeda a ese pueblo no habéis dicho que habéis estado
[0:25:07.16]-[0:25:15.16]  ahí en la meda pues ahí que habrá 4 o 5 y va una chiqueta que hay aquí y ahora
[0:25:23.44]-[0:25:34.68]  y mejor que ahora pues poca cosa lo mejor que ahora están más más en el trabajo y ahora no
[0:25:34.68]-[0:25:41.04]  están más que por ahí de danza la gente joven antes ibas a salir al baile
[0:25:44.12]-[0:25:45.80]  cuanto comías al baile
[0:25:48.00]-[0:25:56.16]  y buenos músicos músicos del pueblo
[0:25:56.16]-[0:26:04.48]  tocaba nada acordeón a la guitarra a la búsqueda de la flauta al violín si si había
[0:26:04.48]-[0:26:10.56]  huy así que había músicos íbamos al baile pero al anochecer antes del anochecer estábamos en
[0:26:10.56]-[0:26:18.96]  nuestras casas cuando estaban la luz a recoger decían la campaña no sé cómo decía las oraciones
[0:26:18.96]-[0:26:42.04]  y la mujer mundana la recoge la campana decían eso a casa y con los del día con sol a tu casa
[0:26:42.04]-[0:26:53.08]  ya no no ya última hora pues ya un poco más tarde pero así como las diantes más de edad
[0:27:00.28]-[0:27:09.60]  y antes ni había luces en las casas y decía mi madre que cuando yo nací nací en abril y
[0:27:09.60]-[0:27:20.36]  en agosto y en agosto la luz eléctrica está antes la vía yo me acuerdo de la luz
[0:27:23.08]-[0:27:32.28]  a ver si convenía mejor una libra de aceite o la luz y eran dos pesetas
[0:27:32.28]-[0:27:40.36]  dos pesetas que empezó a una mesa y no tenía la gente y las dos pesetas donde estaban
[0:27:41.68]-[0:27:46.28]  y algunas posibilidades ni comprar una libra de aceite o un cuartelón
[0:27:46.28]-[0:27:50.52]  pero antes
[0:27:50.52]-[0:28:01.60]  el cuartelón no lo sabe pequeña pequeña era así
[0:28:02.92]-[0:28:09.96]  así de ancho sería y una cosa así de cuartelón y traían pedas y ponía
[0:28:09.96]-[0:28:23.88]  unas chimeneas grandísimas que antes había como todo esto y luego ponían pedas como leña
[0:28:25.04]-[0:28:37.20]  y ponían y estaba así de la raja de pino pero pino viejos que tienen te y esa es la que da lo
[0:28:37.20]-[0:28:40.96]  con eso con eso se valían con eso se valían
[0:28:44.96]-[0:28:54.56]  como leña me dicen pedas y la ponían en la chimenea ponían así de con hierro y
[0:28:54.56]-[0:28:56.80]  ponían la teta arriba y
[0:28:56.80]-[0:29:01.56]  y eso era
[0:29:04.32]-[0:29:04.84]  no
[0:29:09.76]-[0:29:17.52]  y así pasábamos pero esa es algo da una luz y lo cuanto le echas la cerilla como que la sangre del
[0:29:17.52]-[0:29:29.36]  pino y la sangre del pino la resina eso es la resina es la sangre del pino y hay pino que los
[0:29:29.36]-[0:29:40.00]  ensangran pero le hacen una cortada a la corteza y le ponen ahí un casco que eso lo habrán visto
[0:29:40.00]-[0:29:48.24]  en las teles y porque en el monte no habrá sido le hacen una corta al pino le hacen una raja y
[0:29:48.24]-[0:29:59.36]  le pone ahí un casquillo y ahí va estirando la resina y luego van los resineros van recogiendo
[0:29:59.36]-[0:30:06.76]  los casquillos y los van echando a las cubas que hay unos bidones grandes y se llevan a la fábrica
[0:30:06.76]-[0:30:11.40]  y ya por ahora ya la resina
[0:30:13.40]-[0:30:22.04]  y a qué jugaban a qué jugaban y usted por ejemplo de pequeña en qué juegos recuerda
[0:30:22.04]-[0:30:30.36]  antes poníamos un que decíamos la chuca un cacho de palo y con otro palo les dábamos a ver
[0:30:30.36]-[0:30:39.20]  que llegaba antes o al empinadero en las cuadras y eso o al que jugaban las muchachas yócas y no
[0:30:39.20]-[0:30:45.92]  jugaba a los alfileres con las cosetas las cosetas
[0:30:48.00]-[0:30:55.16]  o poníamos una soga así así y nos poníamos en la soga y nos hacía un pavo y hay otro y la
[0:30:55.16]-[0:31:02.76]  soga la ponía así y ahí subía y terminaba eso no le íbamos a las muchachas en una cuadra
[0:31:02.76]-[0:31:11.16]  que hay los igual que en los parques que hay de su alfilar columpios colores de su igual
[0:31:11.16]-[0:31:21.48]  si poníamos una soga de un lado a otro y como hacían siempre niñas las que jugaban a esto pues
[0:31:21.48]-[0:31:29.76]  sí casi siempre éramos muchachas con nosotros antes los muchachos y la muchacha había poco roce
[0:31:35.60]-[0:31:45.96]  pues aquí caballito se llamaban también y sabes a lo que jugábamos a la esa hacíamos y con una
[0:31:45.96]-[0:31:58.00]  cuca ya no me acuerdo a jugar al imbol al imbol decíamos y nacíamos así y luego partíamos y
[0:31:58.00]-[0:32:07.08]  no vos este y así no pero es que aquí hay un cuadro y luego lo dividían en tres o cuatro
[0:32:07.08]-[0:32:13.80]  cuadros tal como ya aquí a la pared y lo iban cortando en cuadros y claro ibas dándole en cuadro
[0:32:13.80]-[0:32:20.24]  a otro y al otro y al otro hasta que llegaba a la punta pero había que perdía eso llegaba a la
[0:32:20.24]-[0:32:31.80]  raya ya había perdido y se ponía otro con una cuca una cuca una cuca yo como un cacheteja que
[0:32:31.80]-[0:32:39.24]  se dice cuadro una cosa así y le iba dando pero con un pie solo el otro no tenía que tener en el
[0:32:39.24]-[0:32:47.72]  aire iba dando pero si paraba en la raya había perdido antes antes los muchachos y las muchachas
[0:32:49.44]-[0:32:57.64]  muy muy car de trapos jamás no teníamos otra cosa me acuerdo que tenía yo el medio se le mide
[0:32:57.64]-[0:33:04.40]  así como el medio se le mide y tenía es una muñeca de trapos a mi madre mía le poníamos un
[0:33:04.40]-[0:33:14.00]  palo y eso era las manos y le hacíamos con trapos una cabeza y así era antes y muñeca
[0:33:15.56]-[0:33:23.00]  hay muñeca y eso digo alguna vez les digo cuánto valdría una muñeca que venían muñecas
[0:33:23.00]-[0:33:31.28]  en la que en calles que venía a la plaza venía una quinca ya y traía muñecas y no teníamos
[0:33:31.28]-[0:33:39.36]  por comprar una muñeca que pobres estábamos antes y ahora no hay nada más que muñecos
[0:33:39.36]-[0:33:49.28]  por ahí vamos que yo ahí tengo una muñeca que la trajeron y para la vejez para que la muñeca
[0:33:49.28]-[0:33:59.36]  la vida de antes y las péndolas
[0:34:01.28]-[0:34:08.52]  se quedaba una así y el otro bien hablaba o brincaba por encima y a lo mejor se juntaba
[0:34:08.52]-[0:34:15.80]  luego ese se quedaba luego brincaba el otro luego el otro luego el otro y iba dando la vuelta así
[0:34:15.80]-[0:34:22.88]  pero mejor se ponían 5 o 6 y primero brincaba el uno luego el otro y hasta se iba poniendo
[0:34:22.88]-[0:34:26.76]  que le habían brincado primero luego brincaba él
[0:34:30.60]-[0:34:31.52]  qué juegos
[0:34:35.28]-[0:34:45.12]  no antes hasta que no íbamos al baile no se reunían hombres las que tenían novios ya y
[0:34:45.12]-[0:34:53.28]  todo eso pues ya era otra cosa ya estaban y a lo mejor no pasaba a la casa pero iban por la calle
[0:34:53.28]-[0:34:59.56]  hasta llegar a su casa la acompañaba pero si no no y no cada uno se iba por un lado los muchachos
[0:34:59.56]-[0:35:06.88]  iban por un lado y la muchacha por otro ya tenía novio pues ya que ya era un poco así
[0:35:06.88]-[0:35:09.48]  y la compañera pero si no no
[0:35:12.48]-[0:35:18.76]  hasta que no íbamos al baile no nos veíamos ni los muchachos ni la muchacha el muchacho con
[0:35:18.76]-[0:35:20.28]  los muchachos y las muchachas
[0:35:24.04]-[0:35:24.80]  y los hombres
[0:35:24.80]-[0:35:32.48]  y también si yo me lo tengo así pero no
[0:35:32.48]-[0:35:42.52]  no hay en los postes de la iglesia ayer jugaba la pelota y un maestro que vino de la parte de
[0:35:44.44]-[0:35:45.52]  de castellón
[0:35:45.52]-[0:35:55.64]  como le creaba así a su vaquillo la volvía del casi desde la cartera la volvía a los postes
[0:35:57.04]-[0:36:05.56]  era una cosa de mierda jugaba bien bien y antes al voleo con una bola de hierro van por las
[0:36:05.56]-[0:36:15.68]  afueras y iban al voleo y voleaban pues una bola una bola de hierro no una cada uno cada
[0:36:15.68]-[0:36:27.40]  partido llevaba una pues aparente pero no es igual esa cogía la bola y aquí la tiraba saber
[0:36:27.40]-[0:36:35.72]  antes llegaba luego de ahí salía el otro van a lo mejor dos a dos yo tiraba y luego el otro
[0:36:35.72]-[0:36:43.08]  compañero de ahí tiraba y el otro compañero si a lo mejor tiraba y si perdía que no llegaba
[0:36:43.08]-[0:36:54.08]  perdía el emboque esa perdido y al truque también iba a ir iban al casino una casa que tuvieran
[0:36:54.08]-[0:37:02.68]  y pidaban iban a jugar al truque pues con las cartas cartas jugaban con las cartas y al truque
[0:37:02.68]-[0:37:09.88]  que decían y el que ganaba llevaban un cuartillo de vino o a la banca bueno pero la banca es ya
[0:37:09.88]-[0:37:18.16]  pero eso ya es dinero ya es casar y decía pues yo pongo cinco prentas a esa carta si sale bien y
[0:37:18.16]-[0:37:30.96]  si no sale el juego si había que jugar antes y a la banca hoy pues a la banca hombre ya de edad
[0:37:30.96]-[0:37:38.76]  ya eran muy ya que mayor y el que tenía dinero que no tenía no iba no claro que estaban un truque
[0:37:38.76]-[0:38:00.88]  un domingo y estaba abierta otro domingo si va y si no se iba al campo y cuando cuando los chicos
[0:38:00.88]-[0:38:11.68]  hacían algo mal quien les regañaba el cura si si aún el cura también decía el cura iba y decía
[0:38:11.68]-[0:38:19.60]  doctrina los sábados a las muchachas ya lo mismo a lo mejor el maestro si va que tenía que ir a lo
[0:38:19.60]-[0:38:31.20]  bajo la juinca si quedaba el cura dando clase y los sábados os íbamos a la doctrina y nos llevaba
[0:38:31.20]-[0:38:41.80]  un periódico que le llaman al ripalda y el ripalda tenía pues tenía algunas complejas así como
[0:38:41.80]-[0:38:49.76]  como diría yo eran pues como
[0:38:53.04]-[0:39:01.40]  no me acuerdo cómo le llamaban a eso tenía complejas así como a modo de cantar es pero
[0:39:03.20]-[0:39:09.64]  como adivinanzas y adivinanzas es lo que tenía el periódico aquel más que nada tenía lo mejor
[0:39:09.64]-[0:39:17.24]  la cara como esto y va teniendo las adivinanzas que ponía ya no se acuerda
[0:39:20.40]-[0:39:30.12]  y los domingos para cuando para el domingo los arios decían flores las muchachas
[0:39:30.12]-[0:39:38.84]  y ahora palmeando no es el otro día echaron los mayos a la virgen
[0:39:40.84]-[0:39:44.52]  pero aquí no había la costumbre de los mayos
[0:39:46.52]-[0:39:49.32]  había la costumbre de los mayos a las chicas
[0:39:49.32]-[0:40:00.60]  y también si ya no había dos partidos dos casinos
[0:40:01.80]-[0:40:04.52]  donde tiene arriba y el otro el de abajo
[0:40:06.08]-[0:40:14.76]  dos dos dos para bailar y claro de ti en los muchos de arriba y los de abajo a lo mejor
[0:40:14.76]-[0:40:22.40]  se hablaban todos pero al mejor de tián estamos en dos partidos pero porque estuviera el mal no
[0:40:22.40]-[0:40:30.72]  obra alguno habría que no se trataran pero no pero yo estoy en el de abajo pues yo en el de arriba
[0:40:30.72]-[0:40:39.64]  y echaban soltaban a ver cuando les tocaba el día 30 abril y el día 2 de mayo y el día 2 de mayo
[0:40:39.64]-[0:40:47.16]  es cuando le echaban a bueno a la virgen el 30 a ver a los que les tocaba y el día 2 a la virgen
[0:40:47.16]-[0:40:54.08]  también los que no le los de segunda y luego a las mozas y luego a las mozas le echaban a las
[0:40:54.08]-[0:41:02.12]  mozas luego otro día y a tres iban el día 3 iban a cobrar los mayos a las mozas sacaban lo que
[0:41:02.12]-[0:41:12.72]  sacaran y tenían una reunión y se compraba lo que fuera y con eso y con eso ya la broma el uno
[0:41:12.72]-[0:41:22.08]  iba por la solana y el otro lo habría como la solana y la lombria o sea que el pueblo estaba
[0:41:22.08]-[0:41:30.48]  en el claro partido lo que hace la carretera el reguero el reguero pero el reguero ese que va por
[0:41:30.48]-[0:41:35.84]  medio está hablando a cuenta y en la calle los charcos para donde están los árboles por desde
[0:41:35.84]-[0:41:43.52]  el reguero para la parte esta en la lombria y lo otro la solana subía también por la duda
[0:41:43.52]-[0:41:53.68]  que eso era de la lombria la duda las palmas listo que se decía y siempre sacaban malos de la lombria
[0:41:53.68]-[0:42:02.76]  y luego juntaban y compraban carne y juntaba pero cada uno en su partido cada uno lo suyo que no
[0:42:02.76]-[0:42:11.20]  juntaban no juntaban los de los de arriba comprar un cordero con esto estábamos para comer un cordero
[0:42:11.20]-[0:42:16.04]  sacaban vino y todo eso y a lo mejor se emborrachaban y pasaban la fiesta
[0:42:16.04]-[0:42:21.32]  un recuerdo algún mayo
[0:42:22.36]-[0:42:24.20]  no podría cantar un mayo
[0:42:29.36]-[0:42:32.64]  no sé si tendrá por ahí algún papel de mayo
[0:42:34.24]-[0:42:41.68]  no yo no nosotros no mi hermano un hermano tenía que si cantaba el otro día cantaron mira si
[0:42:41.68]-[0:42:47.60]  viven y un por la noche con la música cantada pusieron el altavoz
[0:42:52.24]-[0:42:59.04]  y de afuera porque aquí no hay pero bien es que son de aquí están en madrid están en madrid
[0:42:59.04]-[0:43:05.92]  y vienen y unas cantas dos acordeones y la guitarra no sé si se le ha dejado
[0:43:05.92]-[0:43:10.48]  y así
[0:43:10.48]-[0:43:21.16]  y la música muy buena llevaba nos acostamos porque pero
[0:43:26.32]-[0:43:31.24]  había vid había viñas y viñas muchas y vino mucho
[0:43:31.24]-[0:43:37.84]  y cómo era la cosa y bueno la cosecha
[0:43:39.84]-[0:43:47.76]  pues el cultivo de la viña primeros de salventaba se cortaban los albentos y en el mes de marzo se
[0:43:47.76]-[0:43:54.04]  empezaban a acabar las viñas y ahora de ahora en adelante se les daba otra rascas
[0:43:54.04]-[0:44:03.48]  o sea vinagre se decía y luego ya venía claro esornizar la quitarle la tala broza que tiene
[0:44:03.48]-[0:44:10.48]  porque como he echado salmiento pero hay muchos que no tienen nada pues eso se lo quitaba para
[0:44:10.48]-[0:44:15.68]  que el otro tirara para que tirara la uva esornizar
[0:44:15.68]-[0:44:27.84]  y luego después ya venía la vendimia se iba con aquí posa carga los capazos que se ponían
[0:44:27.84]-[0:44:37.24]  a una hora de la caballería y unos vanastos y con eso se echaba la uva venían a las bodegas
[0:44:38.36]-[0:44:45.08]  y por una ventana echaban los capazos de uva y tal como se supone si hay un vía un tabique
[0:44:45.08]-[0:44:51.52]  por ahí los desocupaban y aquí estaba el montón de uva y aquí una pila como si fuera esto y aquí
[0:44:51.52]-[0:45:02.36]  hacían la parva de uva y estaban pisando y por un turo caía a la pila y ahí la pila luego lo
[0:45:02.36]-[0:45:11.12]  sacaban a la tenaja y a la tenaja luego ya ahí el vía que luego tenía con un sumidor que tenía
[0:45:11.12]-[0:45:18.64]  de carrasca tenía tres pinchos sumían porque como al hervir las sete subían arriba las tenía que
[0:45:18.64]-[0:45:28.84]  sumir bajarlas y estaban así por lo mejor estaban herviendo ocho días y luego ya lo echaban a la
[0:45:28.84]-[0:45:36.48]  tenaja cuando ya sacaban el vino ya que estaba había terminado de hervir lo sacaban el vino
[0:45:36.48]-[0:45:47.84]  y echaban en las tenajas y había la costumbre de recoger la uva que lo que llaman no aquí cada
[0:45:47.84]-[0:45:54.68]  una copia no había una costumbre que los hombres iban detrás de las mujeres y les pegaban las uvas
[0:45:54.68]-[0:46:17.08]  por la cara aquí van a bendimear y bendimeaban y no aquí no no no no no no no no no no no no no
[0:46:17.08]-[0:46:25.44]  no es como en la rosa de la rosa ya es otra cosa porque venían rusas porque venían rusas de afuera
[0:46:25.44]-[0:46:40.76]  viniendo a las mujeres de esta parte de tortola después de de barba limpia de la olmeda de
[0:46:40.76]-[0:46:53.92]  chumillas de fuentes antes y de vía verde de alba ladejo y ante cillas también venían
[0:46:53.92]-[0:47:03.28]  si aquí se contaban 200 mujeres de afuera malas que había que había muchas ya casa que tenía
[0:47:03.28]-[0:47:11.32]  5 o 6 roseras de afuera más que a lo mejor tenía en la casa otros 56 que juntaban 10 o 12
[0:47:11.32]-[0:47:20.00]  nada más que tenía mucha cebolla había quien entonces cogía casi no me acuerdo yo de eso
[0:47:20.00]-[0:47:25.20]  de los que cogía alguna ropa de azafrán 25 litras
[0:47:25.20]-[0:47:33.00]  y luego después que lo que es que tostar
[0:47:34.88]-[0:47:41.24]  que eso se queda a la quinta parte si tienes una libra si tienes cinco una
[0:47:43.04]-[0:47:50.76]  y cogían una ropa donde date cuenta los que cogían de verde antes de tostarlo mucho
[0:47:50.76]-[0:47:56.12]  aquí a casa de tomó carretial el teofuelo y el morquillo
[0:47:58.12]-[0:48:03.04]  ya lo menos 4 o 5 casas que cogían sobre la ropa
[0:48:05.64]-[0:48:08.32]  es que había mucha se movía mucha mucha
[0:48:09.88]-[0:48:15.08]  nosotros mismos hemos cogido 6 libras de seco
[0:48:15.08]-[0:48:27.40]  y se iba fuera y se iba fuera con cargas a llevarla a llevar rosa
[0:48:29.16]-[0:48:35.60]  un año mi padre que lo les te llevaba una carga y fue a la parra
[0:48:37.48]-[0:48:44.00]  a la parra no sé yo pero bueno el camino ese de él con la parra que está 9 kilómetros luego a
[0:48:44.00]-[0:48:52.04]  tortola no se llama de ganga valdeganga luego tortola de tortola billar de sac de billar de
[0:48:52.04]-[0:48:59.36]  sac a fuentes no a muerte a muerte y allí se la sacaron porque teníamos familia pero es que
[0:48:59.36]-[0:49:09.24]  estaban todos los pueblos apestados de rosa no era venderla para sacar la para sacar la
[0:49:09.24]-[0:49:15.88]  clavo de la rosa de la rosa no encontraba porque estaba ya todo lleno de otros pueblos
[0:49:18.16]-[0:49:26.40]  o una piscina bueno en este y en el medio hay uno que creo que tiene algo pero los demás nada
[0:49:27.72]-[0:49:35.64]  porque como eso es más para la juventud porque los viejos ya entre cogerla que da mucho trabajo
[0:49:35.64]-[0:49:44.88]  y sacarla más pues como no hay joven pues a una sacarla te sientas y vas sacando y va sacando
[0:49:44.88]-[0:49:51.28]  pero es que para ir a coger si llueve y ha llovido y ha tenido que salir con una manta
[0:49:51.28]-[0:49:58.60]  porque entonces tampoco había imprimable del agua y venías salía lloviendo y estaba lloviendo
[0:49:58.60]-[0:50:06.52]  y otras veces estaba la tenía que aguardarte que se le día eso que se secará porque si no
[0:50:06.52]-[0:50:11.40]  había un emplasto que no podía sacarla así que
[0:50:17.40]-[0:50:22.44]  aquí no lo hacía que no
[0:50:22.44]-[0:50:33.24]  si eso no de valverde para abajo sí pero aquí pero y vía verde también
[0:50:33.24]-[0:50:40.44]  era el cordero pero el cordero ya que iba comiendo se lo quitan y urdina las ovejas
[0:50:40.44]-[0:50:49.24]  pero aquí no aquí no pero por ahí abajo sí pero a ver de olivares y ya de para la parte esa de
[0:50:49.24]-[0:50:58.76]  de diarres de no sé cómo en alemán todo todo eso sí pero aquí aquí y en bubia también
[0:50:58.76]-[0:51:04.12]  pero aquí bajo por lo mantas en general la motilla también a lo mejor
[0:51:04.12]-[0:51:16.48]  aquí nada más que para sacar y creer o no que no es como ahora que ahora
[0:51:16.48]-[0:51:24.32]  criando bueno ahora están mejor mantenía ahora está mejor mantenía entonces se le echaba poco
[0:51:24.32]-[0:51:30.48]  y como echaba poco pues no podían crear y ahora las mantienen bien y para en cuanto
[0:51:30.48]-[0:51:34.28]  comen el cordero se los quitan y de paso se vuelve a cubrir la oveja
[0:51:36.16]-[0:51:42.60]  ya había un pastor aquí en la casa está ya que no podía ser que no podía ser que las ovejas
[0:51:42.60]-[0:51:54.48]  no podían crear dos veces al año y luego ya que lo vio de jodido es mentira pero por eso
[0:51:54.48]-[0:52:02.20]  y le gustaba ya antes estaba como aquel que dice 4 o 5 meses mamando el cordero por eso
[0:52:02.20]-[0:52:09.72]  se cubría la oveja y por eso no podía que no más que uno cuando se lo quitaban ya para
[0:52:09.72]-[0:52:18.60]  lo que estaban a lo mejor ahora al timor de verano que se cubría ya era en octubre ya para
[0:52:18.60]-[0:52:32.08]  parir ya no aquí no y que no les echaban para comer porque no había y había mucho ganado y
[0:52:32.08]-[0:52:39.12]  estaban más más de engaño ahora ahora es que hay una tierra sale y está llamar como ha llovido
[0:52:39.12]-[0:52:46.88]  pero bueno que la mantienen bien porque le estaban por cada oveja no sé cuánto les dan y antes no
[0:52:46.88]-[0:52:49.24]  les daban nada esa donde subvención
[0:53:09.76]-[0:53:15.64]  al tercer día a lo mejor en un día se morían dos en otros álamos no se moría ninguno pero
[0:53:15.64]-[0:53:22.40]  que morían muchos muchos críos pequeños pues mira se tenían que ir la gente al campo y se
[0:53:22.40]-[0:53:30.28]  los dejaba a los pobres en la cama cuando venían como ponían esta la chiquete hasta arriba de
[0:53:30.28]-[0:53:31.48]  porquería y de
[0:53:33.88]-[0:53:36.72]  aquí también se iba al campo y dejaban a los niños
[0:53:36.72]-[0:53:51.64]  2 arrival mas no seну
[0:53:51.64]-[0:54:06.76]  pero eso no, pero si lloraría, ya callaría, ya callarás, si lloras, ya callarás, pero todo el día no, aquí de eso de todo el día no
