[0:00:00.00]-[0:00:01.00]  en el año.
[0:29:38.00]-[0:29:40.00]  Esto está a dos kilómetros de aquí, esto es el Ebro.
[0:29:40.00]-[0:29:41.00]  Y aquí es donde salta el agua.
[0:29:41.00]-[0:29:43.00]  Y de aquí sale un canal que riega a la derecha.
[0:29:43.00]-[0:29:45.00]  Y esto es el otro lado que es a la izquierda.
[0:29:45.00]-[0:29:47.00]  Y estos riegan por el Delta.
[0:29:47.00]-[0:29:49.00]  El Delta del Ebro riega estos dos canales.
[0:29:49.00]-[0:29:52.00]  Y riegan casi entre ochenta y noventa kilómetros.
[0:29:52.00]-[0:29:54.00]  Y aquí es donde riega el...
[0:29:54.00]-[0:30:04.00]  Entonces, ahí se divide en canales.
[0:30:04.00]-[0:30:06.00]  Y aquí es el campanario.
[0:30:06.00]-[0:30:07.00]  ¿Veis los campanarios?
[0:30:07.00]-[0:30:08.00]  ¿Veis los que tenemos campanarios?
[0:30:08.00]-[0:30:09.00]  ¿Los que tenemos es el hombre?
[0:30:09.00]-[0:30:11.00]  ¿Veis?
[0:30:11.00]-[0:30:12.00]  Los perros se llaman.
[0:30:12.00]-[0:30:13.00]  ¿Los mutáis?
[0:30:13.00]-[0:30:17.00]  Es para que nos cuentes la historia.
[0:30:17.00]-[0:30:18.00]  Para poderlo grabar.
[0:30:18.00]-[0:30:20.00]  Esto ya es todo de la iglesia.
[0:30:20.00]-[0:30:21.00]  Le hago una foto.
[0:30:21.00]-[0:30:22.00]  El campanario antiguo.
[0:30:22.00]-[0:30:24.00]  El campanario antiguo.
[0:30:24.00]-[0:30:26.00]  Este se llena de los de 910.
[0:30:26.00]-[0:30:28.00]  Sí.
[0:30:28.00]-[0:30:31.00]  Como era antes y como se reconstruye en 910.
[0:30:31.00]-[0:30:33.00]  Y es el campanario como está.
[0:30:33.00]-[0:30:35.00]  Y fijaros aquí, aquí no hay perros.
[0:30:35.00]-[0:30:36.00]  Aquí sí.
[0:30:36.00]-[0:30:39.00]  Y esto nos explicaremos la historia.
[0:30:39.00]-[0:30:43.00]  Y esto es cuando pusieron las campaneras que están aquí.
[0:30:43.00]-[0:30:44.00]  ¿Veis?
[0:30:44.00]-[0:30:45.00]  La campana.
[0:30:45.00]-[0:30:47.00]  Y la pusieron aquí.
[0:30:47.00]-[0:30:48.00]  ¿Estos son perros? ¿Peros que hay?
[0:30:48.00]-[0:30:50.00]  Y estos son los perros que decimos.
[0:30:50.00]-[0:30:52.00]  Los cuatro que hay.
[0:30:52.00]-[0:30:53.00]  Ah, sí.
[0:30:53.00]-[0:30:54.00]  Yo me he fijado.
[0:30:54.00]-[0:30:58.00]  Esto eran los altares que han habido.
[0:30:58.00]-[0:30:59.00]  Muy bien.
[0:30:59.00]-[0:31:02.00]  ¿Este es de los que se desloqueaba?
[0:31:02.00]-[0:31:03.00]  Lo de antes.
[0:31:03.00]-[0:31:05.00]  Lo de antes era este.
[0:31:05.00]-[0:31:06.00]  Y este.
[0:31:06.00]-[0:31:07.00]  Y este.
[0:31:07.00]-[0:31:08.00]  Este era el altar que había antes de la guerra.
[0:31:08.00]-[0:31:09.00]  Muy bien.
[0:31:09.00]-[0:31:10.00]  Y lo de cuando los destruyeron.
[0:31:10.00]-[0:31:11.00]  Y este es el que hay ahora.
[0:31:11.00]-[0:31:12.00]  Este es el que hay ahora.
[0:31:12.00]-[0:31:14.00]  Esto es la capilla de Allah.
[0:31:14.00]-[0:31:17.00]  Y esta es la capilla de el palce de la ley.
[0:31:17.00]-[0:31:21.00]  Y es que es un palco que pintó un chico de un pueblo.
[0:31:21.00]-[0:31:28.00]  Que era profesor en la Universidad de Barcelona de dibujo.
[0:31:28.00]-[0:31:30.00]  Vamos en allí para que no tenga que estar desplazado, ¿no?
[0:31:30.00]-[0:31:31.00]  Sí.
[0:31:31.00]-[0:31:33.00]  No, porque es que está el coche y aquí está el coche.
[0:31:33.00]-[0:31:35.00]  Si es que tengo el coche, pues no, no.
[0:31:35.00]-[0:31:37.00]  Pues no sacaré el coche.
[0:31:37.00]-[0:31:38.00]  Vale.
[0:31:38.00]-[0:31:41.00]  No, esto está bien.
[0:31:41.00]-[0:31:44.00]  Y eso es donde las meriendas que se hacen.
[0:31:44.00]-[0:31:47.00]  La merienda que aquí va la gente.
[0:31:47.00]-[0:31:48.00]  Una pinta que se escapó.
[0:31:48.00]-[0:31:49.00]  La fogaceta.
[0:31:49.00]-[0:31:50.00]  La fogaceta.
[0:31:50.00]-[0:31:51.00]  La fogaceta que hicimos aquí.
[0:31:51.00]-[0:31:52.00]  Y es costumbre.
[0:31:52.00]-[0:32:00.00]  Los padres te preparan una cuasa de pan con tortilla, con organiza y el cachofa.
[0:32:00.00]-[0:32:05.00]  Y eso te lo vas a comer, al azut, y vas con los amigos o amigas y pasas al carrer allí.
[0:32:05.00]-[0:32:07.00]  ¿Qué es eso del azut?
[0:32:07.00]-[0:32:08.00]  El azut es la sal.
[0:32:08.00]-[0:32:10.00]  Es la sal que salta el agua.
[0:32:10.00]-[0:32:11.00]  El azut.
[0:32:11.00]-[0:32:14.00]  Es un canal que hay que te hace saltar el azut.
[0:32:14.00]-[0:32:20.00]  Los azuts ponen un azut en el río para que el agua, para elevar el agua y hacer la cascada.
[0:32:20.00]-[0:32:21.00]  Para poder salir canales.
[0:32:21.00]-[0:32:23.00]  Para alimentar los canales.
[0:32:23.00]-[0:32:32.00]  Esto es la cascada que utiliza para subir el agua para que entre el canal.
[0:32:32.00]-[0:32:34.00]  Y aquí en la otra parte hay otro.
[0:32:34.00]-[0:32:36.00]  Y aquí se ve mejor el falso, ¿ves?
[0:32:36.00]-[0:32:37.00]  Sí, mira.
[0:32:37.00]-[0:32:38.00]  Muy bien.
[0:32:38.00]-[0:32:41.00]  Aquí se ve como salta, es como caer aquí.
[0:32:41.00]-[0:32:43.00]  Y aquí es como sale el canal.
[0:32:43.00]-[0:32:49.00]  Y este canal pasa por debajo de las tierras de cierta nivel.
[0:32:49.00]-[0:32:55.00]  Y aquí, esto era una casa que antes se hacían las ventanas eléctricas.
[0:32:55.00]-[0:32:56.00]  Y se molía trigo.
[0:32:56.00]-[0:33:02.00]  Aprovechando el salto de agua, había unos 10 o 12 metros que abajo, había unas turbinas
[0:33:02.00]-[0:33:05.00]  que movían el agua y generaban electricidad.
[0:33:05.00]-[0:33:08.00]  Y ese era el pueblo.
[0:33:08.00]-[0:33:11.00]  Pero esto ya hace más de 100 años.
[0:33:11.00]-[0:33:13.00]  Más de 100 años o menos.
[0:33:13.00]-[0:33:19.00]  Y esto son las escaleras que hicieron para subir los peces.
[0:33:19.00]-[0:33:27.00]  Sí, porque aquí los basabogas que hicimos, que se venía a deshagar, pues venían para saltar.
[0:33:27.00]-[0:33:29.00]  Y entonces saltan.
[0:33:29.00]-[0:33:33.00]  Y quedan escaleras para los peces llegar aquí y saltan.
[0:33:33.00]-[0:33:36.00]  Hasta que llegan arriba.
[0:33:36.00]-[0:33:38.00]  Cosas muy...
[0:33:38.00]-[0:33:41.00]  No ganaba de verdad, ¿no?
[0:33:41.00]-[0:33:47.00]  Sí, esto es de antes.
[0:33:47.00]-[0:33:49.00]  Me gusta todo esto.
[0:33:49.00]-[0:33:52.00]  Y en vez de tirar, lo recojo.
[0:33:52.00]-[0:33:55.00]  Y aquí están las exposiciones de puntos de...
[0:33:55.00]-[0:33:58.00]  O en de futbolistas, o en de casamientos, o en de bautidos.
[0:33:58.00]-[0:34:00.00]  Y hacemos callitos de puestos.
[0:34:00.00]-[0:34:03.00]  Mira aquí que bien se ve aquí.
[0:34:03.00]-[0:34:05.00]  La que ha estado, ¿ves?
[0:34:05.00]-[0:34:08.00]  Aquí ahora, un poco más abajo.
[0:34:08.00]-[0:34:10.00]  ¿Ves que bien se ve?
[0:34:10.00]-[0:34:13.00]  Cuando está seco, pasamos por aquí.
[0:34:13.00]-[0:34:15.00]  Vamos de paso para aquí.
[0:34:15.00]-[0:34:19.00]  Cuando está el río seco, que el agua no salta,
[0:34:19.00]-[0:34:20.00]  bajamos por aquí.
[0:34:20.00]-[0:34:22.00]  Hay un espacio de 1,5 metros.
[0:34:22.00]-[0:34:24.00]  Mira, la última herida de Cuníete.
[0:34:24.00]-[0:34:27.00]  ¿Aquí la pasamos? ¿Dónde hemos estado?
[0:34:27.00]-[0:34:30.00]  ¿Qué es el agua? En el año 61.
[0:34:30.00]-[0:34:33.00]  Yo estaba en el último cubo.
[0:34:33.00]-[0:34:36.00]  Y como habrá infantes en el río,
[0:34:36.00]-[0:34:38.00]  ahora habrá inundación y ya no hay.
[0:34:38.00]-[0:34:40.00]  Porque ahora no hay cubanantes.
[0:34:40.00]-[0:34:41.00]  Cuando hay una...
[0:34:41.00]-[0:34:42.00]  Pues ya van a ir.
[0:34:42.00]-[0:34:44.00]  Quitan agua y regulan el agua.
[0:34:44.00]-[0:34:48.00]  ¿Pero dónde estará? ¿Cuánto al año podría haber?
[0:34:48.00]-[0:34:50.00]  Casi todos los años, más o menos.
[0:34:50.00]-[0:34:51.00]  Octubre, noviembre.
[0:34:51.00]-[0:34:53.00]  Más grandes meses.
[0:34:53.00]-[0:34:56.00]  Yo, a la era, casi desde el entrado del pueblo,
[0:34:56.00]-[0:34:58.00]  un montón de admiro, ¿lo viste?
[0:34:58.00]-[0:34:59.00]  Esto es la plaza.
[0:34:59.00]-[0:35:00.00]  Esto es la plaza.
[0:35:00.00]-[0:35:02.00]  Es el mismo año.
[0:35:05.00]-[0:35:08.00]  Esto es donde tapaban el canal.
[0:35:08.00]-[0:35:09.00]  Para limpiar.
[0:35:09.00]-[0:35:14.00]  Cuando limpiaban el canal, cada año aquí pusieron las travesías así.
[0:35:14.00]-[0:35:16.00]  Y tapaban para poderlo limpiar.
[0:35:16.00]-[0:35:22.00]  Porque todo era de tierra y de tantas veces se rompía.
[0:35:22.00]-[0:35:26.00]  Y cada año tenían que limpiar a ver si había algún agujero
[0:35:26.00]-[0:35:28.00]  y taparlo porque...
[0:35:28.00]-[0:35:30.00]  Mira esta foto que tiene bonita, ¿ves?
[0:35:30.00]-[0:35:32.00]  Un hombre con una barquita.
[0:35:32.00]-[0:35:34.00]  Se llama Tío.
[0:35:34.00]-[0:35:37.00]  Este era un pescador del pueblo.
[0:35:37.00]-[0:35:39.00]  Y siempre tenía esta muleta.
[0:35:39.00]-[0:35:41.00]  Esto se llamaba una muleta.
[0:35:41.00]-[0:35:43.00]  Una muleta.
[0:35:43.00]-[0:35:45.00]  Aquí se llama muleta.
[0:35:45.00]-[0:35:47.00]  Y esto eran los diagustes que decíamos.
[0:35:47.00]-[0:35:49.00]  ¿Viste la trenjada cuando...
[0:35:49.00]-[0:35:50.00]  Sí, sí.
[0:35:50.00]-[0:35:52.00] ...como se portaban y tal.
[0:35:52.00]-[0:35:54.00]  ¿Esto es el salto de este?
[0:35:54.00]-[0:35:55.00]  Sí, esto.
[0:35:55.00]-[0:35:56.00]  Cuando...
[0:35:56.00]-[0:35:57.00]  ¿Ves las reglas?
[0:35:57.00]-[0:35:58.00]  ¿Ves?
[0:35:58.00]-[0:35:59.00]  Porque hay algún gestrón, ¿ves?
[0:35:59.00]-[0:36:01.00]  Y con los diagustes, ¿ves cómo lo van arreglando?
[0:36:01.00]-[0:36:03.00]  Y esto es esto.
[0:36:04.00]-[0:36:05.00]  Hay que ver, ¿eh?
[0:36:05.00]-[0:36:07.00]  Es muy bueno.
[0:36:07.00]-[0:36:09.00]  Esto es de dentro de la casa.
[0:36:09.00]-[0:36:11.00]  El molino y tal.
[0:36:11.00]-[0:36:13.00]  Es que hay un engranaje aquí.
[0:36:13.00]-[0:36:15.00]  Y se cubría las...
[0:36:15.00]-[0:36:16.00]  Las turbinas.
[0:36:16.00]-[0:36:18.00]  Las turbinas y todo eso.
[0:36:18.00]-[0:36:20.00]  La turbina estaba en la del río.
[0:36:20.00]-[0:36:22.00]  No, no, dentro de la casa.
[0:36:22.00]-[0:36:24.00]  El agua entraba por dentro de la casa.
[0:36:24.00]-[0:36:25.00]  Y caía...
[0:36:25.00]-[0:36:26.00]  Esta casa...
[0:36:26.00]-[0:36:28.00]  El agua entraba por aquí.
[0:36:28.00]-[0:36:30.00]  Pero otra vez entraba por aquí.
[0:36:30.00]-[0:36:32.00]  Y caía abajo y caía la turbina.
[0:36:32.00]-[0:36:33.00]  Y la turbina...
[0:36:33.00]-[0:36:34.00]  Moviaba la maquinaria.
[0:36:34.00]-[0:36:36.00]  Y la turbina generaba la electricidad.
[0:36:36.00]-[0:36:39.00]  Y en donde ya podían ir los molinos o lo que fuera.
[0:36:39.00]-[0:36:40.00]  Se generaba la electricidad.
[0:36:40.00]-[0:36:43.00]  Ahí iba el molino y la que sobraba iba el pueblo.
[0:36:43.00]-[0:36:45.00]  ¿No sé si te pregúntes esto?
[0:36:45.00]-[0:36:46.00]  No sé qué.
[0:36:46.00]-[0:36:48.00]  No, no.
[0:36:50.00]-[0:36:52.00]  Si esta ya...
[0:36:52.00]-[0:36:54.00]  Sí.
[0:37:02.00]-[0:37:04.00]  Como se pescaba la sagoja.
[0:37:04.00]-[0:37:06.00]  Con la mente esta.
[0:37:10.00]-[0:37:12.00]  ¿Estas son sagojas?
[0:37:12.00]-[0:37:14.00]  Sí, estas son sagojas.
[0:37:14.00]-[0:37:17.00]  Esos peces que cada año subían a desahogar al río.
[0:37:17.00]-[0:37:19.00]  Subiendo al mar y aquí desahogan.
[0:37:19.00]-[0:37:22.00]  Y aquí era un momentito que aprovechaban para pescarlas.
[0:37:22.00]-[0:37:25.00]  Es un pez muy lleno pero mucha espina.
[0:37:29.00]-[0:37:31.00]  Era un día de la compra.
[0:37:33.00]-[0:37:35.00]  Esto es la cooperativa.
[0:37:35.00]-[0:37:37.00]  Es una calcificadora de huevos.
[0:37:37.00]-[0:37:39.00]  Esto es lo que decíamos antes de la cooperativa.
[0:37:39.00]-[0:37:41.00]  Y aquí para los huevos, los precipés.
[0:37:41.00]-[0:37:43.00]  Y cada pañalete es una...
[0:37:43.00]-[0:37:45.00]  Primeras, segundas, terceras y cuartas.
[0:37:45.00]-[0:37:47.00]  Según el peso, el huevo es dado de vuelta.
[0:37:47.00]-[0:37:49.00]  Y según el peso caía.
[0:37:49.00]-[0:37:51.00]  Si era una cuarta, un huevo caía.
[0:37:51.00]-[0:37:53.00]  Si era la primera, caía aquí.
[0:37:53.00]-[0:37:55.00]  Y entonces ya las casas se empanaban por primeras,
[0:37:55.00]-[0:37:57.00]  por segundas, terceras y cuartas.
[0:37:57.00]-[0:37:59.00]  Por el tamaño del huevo.
[0:37:59.00]-[0:38:01.00]  ¿Esto es dentro del macen?
[0:38:01.00]-[0:38:03.00]  Sí, aquí.
[0:38:03.00]-[0:38:05.00]  Estaba aquí.
[0:38:05.00]-[0:38:07.00]  Esto era la cooperativa donde hacían la...
[0:38:07.00]-[0:38:09.00]  Esto era el principio.
[0:38:09.00]-[0:38:11.00]  Y se hacía el pienso y después todo.
[0:38:11.00]-[0:38:13.00]  ¿El edificio se ha mantenido?
[0:38:13.00]-[0:38:17.00]  Sí, ahora está en construcción un geriatrico.
[0:38:17.00]-[0:38:21.00]  Pero vino eso de la crisis y se ha quedado medio a cero.
[0:38:23.00]-[0:38:26.00]  Si ve que cortaron el crédito y la empresa que lo hacía,
[0:38:26.00]-[0:38:28.00]  pues se arruinó y ya está.
[0:38:28.00]-[0:38:30.00]  Y ahora los programas están aquí en trayecto del mundo
[0:38:30.00]-[0:38:32.00]  y todo lo que ve adentro lo están desmantelando.
[0:38:32.00]-[0:38:34.00]  Nada más queda la estructura.
[0:38:34.00]-[0:38:36.00]  ¿Esto es el centro?
[0:38:36.00]-[0:38:38.00]  ¿El centro o no?
[0:38:38.00]-[0:38:40.00]  Esto es cuando la guerra...
[0:38:40.00]-[0:38:42.00]  La parte verde tenía un centro.
[0:38:42.00]-[0:38:44.00]  Aquí había el centro para los trabajadores
[0:38:44.00]-[0:38:46.00]  y el casino para los retos.
[0:38:46.00]-[0:38:48.00]  Y eso es el centro.
[0:38:48.00]-[0:38:51.00]  Y en la guerra una de las primeras curas que tiraron fue esto.
[0:38:51.00]-[0:38:53.00]  Porque como era de los socialistas,
[0:38:53.00]-[0:38:55.00]  pues lo primero que tiraron fue esto.
[0:38:55.00]-[0:38:57.00]  Y es como ha quedado.
[0:38:57.00]-[0:38:59.00]  ¿Y esto es el centro?
[0:38:59.00]-[0:39:01.00]  Sí, es el centro.
[0:39:01.00]-[0:39:04.00]  Y es como ha quedado.
[0:39:04.00]-[0:39:07.00]  La planta no le ha quedado fachada.
[0:39:07.00]-[0:39:09.00]  Y era grandioso.
[0:39:09.00]-[0:39:13.00]  Porque aparte tenían economáticos, tenían de todo.
[0:39:13.00]-[0:39:15.00]  Lo quedaba muy bien.
[0:39:15.00]-[0:39:17.00]  Yo olvido decir a mis padres.
[0:39:17.00]-[0:39:19.00]  Dicen que...
[0:39:21.00]-[0:39:23.00]  El centro pero...
[0:39:23.00]-[0:39:25.00]  Esto es el centro.
[0:39:29.00]-[0:39:31.00]  Esto es del cole.
[0:39:31.00]-[0:39:33.00]  ¿Esto es la posición del cuerpo?
[0:39:33.00]-[0:39:35.00]  Sí.
[0:39:35.00]-[0:39:37.00]  Entonces...
[0:39:37.00]-[0:39:39.00]  Y las colores y cerraduras.
[0:39:39.00]-[0:39:41.00]  Y eso es el cole.
[0:39:41.00]-[0:39:43.00]  Las cosas ya de pequeñitos.
[0:39:43.00]-[0:39:45.00]  ¿Ves cómo llevan?
[0:39:45.00]-[0:39:47.00]  Llevan los...
[0:39:47.00]-[0:39:49.00]  Esto era algo de una prenda.
[0:39:49.00]-[0:39:51.00]  Debería ser del sindicato de los héroes hidro.
[0:39:51.00]-[0:39:53.00]  ¿Ves que va Don Arminio?
[0:39:53.00]-[0:39:55.00]  ¿Esto es el traje típico?
[0:39:55.00]-[0:39:57.00]  Y mirando que una vez...
[0:39:57.00]-[0:39:59.00]  ¿El traje tiene un nombre especial?
[0:39:59.00]-[0:40:01.00]  No.
[0:40:01.00]-[0:40:03.00]  Trajes típicos...
[0:40:03.00]-[0:40:05.00]  Sí.
[0:40:05.00]-[0:40:07.00]  Es este.
[0:40:07.00]-[0:40:09.00]  Y estos son las escuelas.
[0:40:09.00]-[0:40:11.00]  El patio que...
[0:40:11.00]-[0:40:13.00]  ¿Este es el patio que habéis visto?
[0:40:13.00]-[0:40:15.00]  Sí.
[0:40:15.00]-[0:40:17.00]  ¿Y esto? ¿Esto es donde estábamos?
[0:40:17.00]-[0:40:21.00]  Sí, aquí está.
[0:40:21.00]-[0:40:23.00]  ¿Y los chicos que iban?
[0:40:23.00]-[0:40:25.00]  ¿Pero qué decíamos?
[0:40:25.00]-[0:40:27.00]  Decíamos los maestros que todos van chicos.
[0:40:27.00]-[0:40:29.00]  Pero mira si tenía más.
[0:40:29.00]-[0:40:31.00]  Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez, veinte...
[0:40:31.00]-[0:40:33.00]  Treinta y cinco, cuarenta, uno.
[0:40:33.00]-[0:40:35.00]  Sí, sí, sí.
[0:40:35.00]-[0:40:37.00]  Y aquí que están todos mezclados.
[0:40:37.00]-[0:40:39.00]  ¿Y ese sí ahí?
[0:40:39.00]-[0:40:41.00]  Aquí chico y chica.
[0:40:41.00]-[0:40:43.00]  Bueno, aquí va.
[0:40:43.00]-[0:40:45.00]  Nosotros vamos a que lleveis prisa.
[0:40:45.00]-[0:40:47.00]  Bueno, hay que decir que es...
[0:40:47.00]-[0:40:49.00]  No, no es pronto.
[0:40:49.00]-[0:40:51.00]  La hermana de Fesol, la mujer de Fesol.
[0:40:51.00]-[0:40:53.00]  Hay que ponerle los galones, eh.
[0:40:53.00]-[0:40:55.00]  Espera un momento que...
[0:40:55.00]-[0:40:57.00]  ¿Sabes seguro?
[0:40:57.00]-[0:40:59.00]  Sí.
[0:40:59.00]-[0:41:01.00]  Los cero leal, marino y turco.
[0:41:01.00]-[0:41:03.00]  ¿Cómo?
[0:41:03.00]-[0:41:05.00]  Los cero leal, marino y turco.
[0:41:05.00]-[0:41:07.00]  ¿Pero orden marino?
[0:41:07.00]-[0:41:09.00]  Dice como...
[0:41:09.00]-[0:41:11.00]  Los perros que hay...
[0:41:11.00]-[0:41:13.00]  El campanario.
[0:41:13.00]-[0:41:15.00]  El campanario es cierto. Los perros que hay arriba,
[0:41:15.00]-[0:41:17.00]  que marcan los cuatro,
[0:41:17.00]-[0:41:19.00]  están orientados...
[0:41:19.00]-[0:41:21.00]  Los vértices del campanario están en el norte,
[0:41:21.00]-[0:41:23.00]  sur, este y oeste.
[0:41:23.00]-[0:41:25.00]  Y cada perro se llama lucero,
[0:41:25.00]-[0:41:27.00]  leal, marino y turco.
[0:41:27.00]-[0:41:29.00]  El lucero es el que está hacia el este.
[0:41:31.00]-[0:41:33.00]  El marino,
[0:41:33.00]-[0:41:35.00]  al sur.
[0:41:35.00]-[0:41:37.00]  Después está el leal al oeste,
[0:41:37.00]-[0:41:39.00]  no al oeste,
[0:41:39.00]-[0:41:41.00]  y el norte, el turco.
[0:41:41.00]-[0:41:43.00]  Y por alguna razón en especial...
[0:41:43.00]-[0:41:45.00]  Ahora te lo explicaré.
[0:41:45.00]-[0:41:47.00]  Había una valle aquí en el pueblo,
[0:41:47.00]-[0:41:49.00]  a dos o tres kilómetros, llamaba la Valle del Llob,
[0:41:49.00]-[0:41:51.00]  o sea, la Valle del Lobo.
[0:41:51.00]-[0:41:53.00]  Y allí había unos ganaderos que
[0:41:53.00]-[0:41:55.00]  criaban muchas ovejas, pero muchas.
[0:41:55.00]-[0:41:57.00]  Y se ve que en tiempos de poca comida,
[0:41:57.00]-[0:41:59.00]  los lobos bajaban,
[0:41:59.00]-[0:42:01.00]  bajaban hacia...
[0:42:01.00]-[0:42:03.00]  Y se comían alguna oveja.
[0:42:03.00]-[0:42:05.00]  Y tantas se comían y, claro,
[0:42:05.00]-[0:42:07.00]  y mandaron a hacer cuatro perros grandes.
[0:42:07.00]-[0:42:09.00]  Y al valle le pusieron dos y dos.
[0:42:09.00]-[0:42:11.00]  Y se ve que los lobos cuando...
[0:42:11.00]-[0:42:13.00]  Ahora, eso es leyenda o tradición.
[0:42:13.00]-[0:42:15.00]  La leyenda del pueblo.
[0:42:15.00]-[0:42:17.00]  Han venido pasando de una desilusión
[0:42:17.00]-[0:42:19.00]  a otra.
[0:42:19.00]-[0:42:21.00]  Y estaban dos aquí y dos aquí.
[0:42:21.00]-[0:42:23.00]  Y los lobos, claro,
[0:42:23.00]-[0:42:25.00]  entraban al valle y venen aquellos perros.
[0:42:25.00]-[0:42:27.00]  Y bueno, y cuando esto pasaron los años
[0:42:27.00]-[0:42:29.00]  y aquello ya no estaba, los perros quedaron allí.
[0:42:29.00]-[0:42:31.00]  Y qué hacemos los perros,
[0:42:31.00]-[0:42:33.00]  quedan unos perros y hablan con el intentamiento
[0:42:33.00]-[0:42:35.00]  y los principios hombres dicen,
[0:42:35.00]-[0:42:37.00]  los pondremos en el campanario.
[0:42:37.00]-[0:42:39.00]  Y esa es la historia que los pusieron
[0:42:39.00]-[0:42:41.00]  en el reino del campanario.
[0:42:41.00]-[0:42:43.00]  Tenían que tirarlos.
[0:42:43.00]-[0:42:45.00]  O sea que es fábula, es leyenda,
[0:42:45.00]-[0:42:47.00]  pero esto es lo de la tradición.
[0:42:47.00]-[0:42:49.00]  A mí me lo han contado.
[0:42:49.00]-[0:42:51.00]  Siempre lo he oído.
[0:42:51.00]-[0:42:53.00]  Y se llaman los Lucero,
[0:42:53.00]-[0:42:55.00]  Leal, Marino y Turco.
[0:42:55.00]-[0:42:57.00]  Y cada uno marca...
[0:42:57.00]-[0:42:59.00]  El Lucero marca el este.
[0:42:59.00]-[0:43:01.00]  El Marino, el sur.
[0:43:01.00]-[0:43:03.00]  El Leal, el oeste.
[0:43:03.00]-[0:43:05.00]  Y el norte, el turco.
[0:43:05.00]-[0:43:07.00]  ¿Turquía?
[0:43:07.00]-[0:43:09.00]  No.
[0:43:09.00]-[0:43:11.00]  Pero están orientados
[0:43:11.00]-[0:43:13.00]  en los cuatro puntos cardinales.
[0:43:13.00]-[0:43:15.00]  O sea que cuando dicen el campanario,
[0:43:15.00]-[0:43:17.00]  ya los verdicelos los orientaron,
[0:43:17.00]-[0:43:19.00]  pues es cuadrado.
[0:43:19.00]-[0:43:21.00]  No es oxogonal, es cuadrado.
[0:43:21.00]-[0:43:23.00]  Es un prisma cuadranglear.
[0:43:23.00]-[0:43:25.00]  Aunque ahora os la dije,
[0:43:25.00]-[0:43:27.00]  un momento me tendréis que decir
[0:43:27.00]-[0:43:29.00]  qué temas porque tengo que buscarlos.
[0:43:29.00]-[0:43:31.00]  No, irán saliendo.
[0:43:31.00]-[0:43:33.00]  No, pero yo tengo que buscarlos.
[0:43:33.00]-[0:43:35.00]  ¿De qué?
[0:43:35.00]-[0:43:37.00]  ¿De The Pauw?
[0:43:37.00]-[0:43:39.00]  ¿De fiestas?
[0:43:39.00]-[0:43:41.00]  Sí, también.
[0:43:41.00]-[0:43:43.00]  ¿De los toros?
[0:43:43.00]-[0:43:45.00]  Más o menos.
[0:43:45.00]-[0:43:47.00]  ¿Huevos?
[0:43:47.00]-[0:43:49.00]  Hay un vídeo de huevos.
[0:43:49.00]-[0:43:51.00]  Bueno, ¿qué más preguntas?
[0:43:51.00]-[0:43:53.00]  Esto es lo que faltaba.
[0:43:53.00]-[0:43:55.00]  No sé si...
[0:43:55.00]-[0:43:57.00]  ¿Hay alguna comida tradicional?
[0:43:57.00]-[0:43:59.00]  Sí, lo que decíamos antes.
[0:43:59.00]-[0:44:01.00]  ¿Qué más faltas?
[0:44:01.00]-[0:44:03.00]  La fogaceta que decíamos
[0:44:03.00]-[0:44:05.00]  que es jueves lardero en castellano.
[0:44:05.00]-[0:44:07.00]  Aquí también se me interesa.
[0:44:07.00]-[0:44:09.00]  Es tradicional que las madres
[0:44:09.00]-[0:44:11.00]  hacían la merienda y hacían una fogasa,
[0:44:11.00]-[0:44:13.00]  una tocta de pan así,
[0:44:13.00]-[0:44:15.00]  la partías por el medio y ella te lo explicaría mejor.
[0:44:15.00]-[0:44:17.00]  Y allí ponían tortilla,
[0:44:17.00]-[0:44:19.00]  alcachofa,
[0:44:19.00]-[0:44:21.00]  un poco de morcilla o salsicha.
[0:44:21.00]-[0:44:23.00]  Y entonces te daba un plato,
[0:44:23.00]-[0:44:25.00]  una manzana y te ibas con los amigos
[0:44:25.00]-[0:44:27.00]  aquí a la Zud, donde es donde van los canales,
[0:44:27.00]-[0:44:29.00]  y vamos a ir para la tarde,
[0:44:29.00]-[0:44:31.00]  cuando veníamos cantando todas las parejas,
[0:44:31.00]-[0:44:33.00]  aquello en puñetón decimos lo va a ir,
[0:44:33.00]-[0:44:35.00]  jueves lardero en castellano.
[0:44:35.00]-[0:44:37.00]  En catalán es dios y orde.
[0:44:37.00]-[0:44:39.00]  En castellano es jueves lardero.
[0:44:39.00]-[0:44:41.00]  En febrero, ¿no?
[0:44:41.00]-[0:44:43.00]  La fogaceta es en febrero.
[0:44:43.00]-[0:44:45.00]  No, no, esto es antes de la anterior semana
[0:44:45.00]-[0:44:47.00]  del mes de ceniza.
[0:44:47.00]-[0:44:49.00]  Si el mes de ceniza es hoy,
[0:44:49.00]-[0:44:51.00]  el jueves anterior es el jueves lardero.
[0:44:51.00]-[0:44:53.00]  Final de febrero...
[0:44:53.00]-[0:44:55.00]  La tradición era como una comida que se hacía
[0:44:55.00]-[0:44:57.00]  porque después ya venía la abstinencia del cuaresma.
[0:44:57.00]-[0:44:59.00]  Entonces era así.
[0:44:59.00]-[0:45:01.00]  Porque las cosas, la iglesia entonces,
