[0:00:00.00]-[0:00:02.00]  Hola, buenas tardes.
[0:22:04.00]-[0:22:07.00]  Nos juntábamos todos a...
[0:22:07.00]-[0:22:08.00]  ¿Qué era lo que hacían juntos?
[0:22:08.00]-[0:22:12.00]  ¿Cuáles eran las actividades que ustedes siempre tenían que hacer juntos?
[0:22:12.00]-[0:22:14.00]  Porque eran muy duras para una sola persona.
[0:22:14.00]-[0:22:16.00]  ¿Usted se acuerda?
[0:22:16.00]-[0:22:17.00]  No.
[0:22:17.00]-[0:22:18.00]  Sí, ha dicho segar.
[0:22:18.00]-[0:22:19.00]  ¿Eh?
[0:22:19.00]-[0:22:20.00]  Cegares.
[0:22:20.00]-[0:22:21.00]  A asegar.
[0:22:21.00]-[0:22:22.00]  A juntar papas.
[0:22:22.00]-[0:22:26.00]  A juntar papas cuando usaban las papas.
[0:22:26.00]-[0:22:27.00]  Todo lo del campo.
[0:22:27.00]-[0:22:30.00]  Y todo lo del campo.
[0:22:30.00]-[0:22:35.00]  Después vinía una que vivía en otro pueblo.
[0:22:35.00]-[0:22:37.00]  En otro pueblo.
[0:22:37.00]-[0:22:42.00]  Y estaban pobres, pobres que estaban viviendo con llevarle la leña para abajo para la rajita,
[0:22:42.00]-[0:22:45.00]  para el taller.
[0:22:45.00]-[0:22:52.00]  Y después mi papá las llamaba y vinían y les daba colí, colí cerrada.
[0:22:52.00]-[0:22:59.00]  Les daba y les pagaba con pantana, con buango, calabaza.
[0:22:59.00]-[0:23:00.00]  Y todo eso sombraba él.
[0:23:00.00]-[0:23:09.00]  Pero después se las daba a las peonas que vinían a ayudarlos a plantar y eso.
[0:23:09.00]-[0:23:11.00]  Sí.
[0:23:11.00]-[0:23:17.00]  ¿Y las papas las sembraban cuántas veces al año?
[0:23:17.00]-[0:23:24.00]  No, las papas las sembrábamos las de invierno y las del verano.
[0:23:24.00]-[0:23:25.00]  ¿Sí?
[0:23:25.00]-[0:23:29.00]  Las de invierno se plantaban para Cabalas en enero.
[0:23:29.00]-[0:23:31.00]  No, mamá.
[0:23:31.00]-[0:23:34.00]  Se plantan en febrero y después en mayo.
[0:23:34.00]-[0:23:35.00]  ¿Eh?
[0:23:35.00]-[0:23:36.00]  ¿Y después en mayo?
[0:23:36.00]-[0:23:37.00]  Las salen en enero.
[0:23:37.00]-[0:23:39.00]  Para Cabalas, para agosto.
[0:23:39.00]-[0:23:40.00]  Sí.
[0:23:40.00]-[0:23:42.00]  Agosto no.
[0:23:42.00]-[0:23:45.00]  ¿No? ¿Para cuándo? ¿Para el mes de San Juan?
[0:23:45.00]-[0:23:50.00]  Las plantan en febrero y después las papas ya se acaban en mayo.
[0:23:50.00]-[0:23:52.00]  Es que ya se los vi en la...
[0:23:52.00]-[0:23:53.00]  Ah, sí, en mayo.
[0:23:53.00]-[0:23:56.00]  Se agotaban todos los vecinos.
[0:23:56.00]-[0:23:59.00]  ¿Dos veces al año se plantaba?
[0:23:59.00]-[0:24:03.00]  Después plantas en agosto y ya las coge ahora para enero.
[0:24:03.00]-[0:24:04.00]  Sí, las de agosto sí.
[0:24:04.00]-[0:24:10.00]  Había veces que las de invierno se aguantaban hasta las Cabalas del verano.
[0:24:10.00]-[0:24:12.00]  Nos aguantaban.
[0:24:12.00]-[0:24:13.00]  Cuando cogíamos muchas.
[0:24:13.00]-[0:24:15.00]  Y que se vivían del campo. ¿Y por qué no...
[0:24:15.00]-[0:24:21.00]  Y después a las que ya ayudaban a uno, a uno les daba su comida de papas.
[0:24:21.00]-[0:24:22.00]  Se compartía.
[0:24:22.00]-[0:24:23.00]  Se compartía.
[0:24:23.00]-[0:24:24.00]  Compartir.
[0:24:24.00]-[0:24:25.00]  Los vecinos aquí se compartían.
[0:24:25.00]-[0:24:31.00]  ¿Y ustedes lo que plantaban era lo que comían?
[0:24:31.00]-[0:24:34.00]  Lo que ustedes cultivaban era lo que ustedes comían.
[0:24:34.00]-[0:24:38.00]  Para nosotros y si nos sobraban, si nos sobraban vendíamos.
[0:24:38.00]-[0:24:39.00]  Sí.
[0:24:39.00]-[0:24:47.00]  Por ejemplo, si viniera una persona que no tuviera ninguna y pidiera una canasta de papas, se la...
[0:24:47.00]-[0:24:50.00]  Si era buena vecina, se la regalábamos.
[0:24:50.00]-[0:24:51.00]  Sí.
[0:24:51.00]-[0:24:54.00]  Y si no, que se la teníamos que cobrar, que tenía dinero.
[0:24:54.00]-[0:24:55.00]  Sí.
[0:24:55.00]-[0:24:58.00]  Pues ya se las cobrábamos.
[0:24:58.00]-[0:25:01.00]  Al precio que tuvieran.
[0:25:01.00]-[0:25:04.00]  Preguntábamos a cómo las vendían los demás.
[0:25:04.00]-[0:25:05.00]  Cambiaban.
[0:25:05.00]-[0:25:06.00]  Cambiaban una cosa por la otra también.
[0:25:06.00]-[0:25:08.00]  Y cambiaban una cosa por otra.
[0:25:08.00]-[0:25:11.00]  ¿Y comían también carne de vez en cuando?
[0:25:11.00]-[0:25:13.00]  Sí, carne fría.
[0:25:13.00]-[0:25:14.00]  A veces sí.
[0:25:14.00]-[0:25:15.00]  ¿Carne cómo?
[0:25:15.00]-[0:25:17.00]  ¿Qué carne comían?
[0:25:17.00]-[0:25:20.00]  Los cabritos que se mataban.
[0:25:20.00]-[0:25:22.00]  Los arreglaba uno.
[0:25:22.00]-[0:25:30.00]  A veces los asábamos con sus tiempos que le poníamos y grasa y eso.
[0:25:30.00]-[0:25:32.00]  Preparados.
[0:25:32.00]-[0:25:39.00]  Y después los poníamos en una cosa que viene para clavarlos.
[0:25:39.00]-[0:25:44.00]  Y los poníamos en un horno de pan.
[0:25:44.00]-[0:25:48.00]  En la puerta del horno de pan con grasa.
[0:25:48.00]-[0:25:56.00]  No lo poníamos con llama, sino para que fueran cocinándose con...
[0:25:56.00]-[0:26:11.00]  Sí, poco a poco, no charrucados el veje, sino que se fuera el cabrito guisando.
[0:26:11.00]-[0:26:15.00]  ¿Y los cabritos los mataban ustedes mismos?
[0:26:15.00]-[0:26:19.00]  ¿O los mataban en la carnicería?
[0:26:19.00]-[0:26:22.00]  No, eso los mataba una persona que supiera.
[0:26:22.00]-[0:26:23.00]  Una persona que supiera.
[0:26:23.00]-[0:26:24.00]  ¿Y quién mataba?
[0:26:24.00]-[0:26:25.00]  Por ejemplo, ¿su marido?
[0:26:25.00]-[0:26:33.00]  Mi marido tenía un amigo y vinía a ayudárselos a matarlos.
[0:26:33.00]-[0:26:37.00]  Qué va, esto ni alasamos de lo que era antes, ahora y de todo, mi niña.
[0:26:37.00]-[0:26:44.00]  Es que tenían que sobrevivir de lo que fuera, de sus cocinos que ellas criaban.
[0:26:44.00]-[0:26:46.00]  ¿Tenían cocinos también?
[0:26:46.00]-[0:26:47.00]  ¿Qué?
[0:26:47.00]-[0:26:48.00]  ¿Tenían cocinos?
[0:26:48.00]-[0:26:49.00]  Cocinos también.
[0:26:49.00]-[0:26:50.00]  Los mataban en el mes de los santos.
[0:26:50.00]-[0:26:51.00]  Antes se mataban.
[0:26:51.00]-[0:26:52.00]  ¿Cuándo los mataban?
[0:26:52.00]-[0:26:54.00]  Explíquennoslo.
[0:26:54.00]-[0:26:56.00]  Los matábamos todos los años unos.
[0:26:56.00]-[0:26:57.00]  ¿En el mes de los santos?
[0:26:57.00]-[0:26:59.00]  En el mes de los santos.
[0:26:59.00]-[0:27:01.00]  En el mes de los santos mataban a todos los cocinos.
[0:27:01.00]-[0:27:13.00]  Y después los mataban y vinían y los escuartizaban y los hacían rondanas y le ponían sal.
[0:27:13.00]-[0:27:16.00]  Sal y orégano y pimienta.
[0:27:16.00]-[0:27:17.00]  Y tiempos.
[0:27:17.00]-[0:27:24.00]  Y los poníamos en una cabeta como donde se amasaba el pan.
[0:27:24.00]-[0:27:30.00]  Teníamos una cabeta de esas para ponerlo con sal.
[0:27:30.00]-[0:27:36.00]  Y a los tres días los sacábamos y los poníamos en el humo.
[0:27:36.00]-[0:27:40.00]  Los colgábamos y los poníamos en el humo.
[0:27:40.00]-[0:27:43.00]  ¿Lo ponían en el humo para qué?
[0:27:43.00]-[0:27:50.00]  Para que se fuera el sacándose a su espacio.
[0:27:50.00]-[0:27:59.00]  Y después ya que estuviera así, pues ya los hacíamos pedacitos y los poníamos en una cajita.
[0:27:59.00]-[0:28:00.00]  ¿Una caja de madera?
[0:28:00.00]-[0:28:05.00]  No, de esas que... de madera no, de las otras.
[0:28:05.00]-[0:28:06.00]  ¿De cartón?
[0:28:06.00]-[0:28:07.00]  ¿Eh?
[0:28:07.00]-[0:28:08.00]  ¿De cartón?
[0:28:08.00]-[0:28:09.00]  De cartón, sí.
[0:28:09.00]-[0:28:10.00]  ¿En una caja de cartón?
[0:28:10.00]-[0:28:12.00]  Sí, en una cajita de cartón.
[0:28:12.00]-[0:28:15.00]  ¿Y cómo lo conservaban?
[0:28:15.00]-[0:28:17.00]  Así, de esa manera.
[0:28:17.00]-[0:28:18.00]  ¿Poniéndolo en la caja de cartón?
[0:28:18.00]-[0:28:23.00]  En la cajita de cartón y después lo íbamos sacando cuando nos daba falta para hacer un potaje.
[0:28:23.00]-[0:28:26.00]  ¿Pero le echaban un poquito de sal o cómo hacían?
[0:28:26.00]-[0:28:28.00]  No, eso se hace como un majado.
[0:28:28.00]-[0:28:30.00]  Eso se hace como un majado.
[0:28:30.00]-[0:28:31.00]  Pero grande.
[0:28:31.00]-[0:28:33.00]  Sal, pimienta y orégano.
[0:28:33.00]-[0:28:36.00]  Y después se lo echan arriba de eso.
[0:28:36.00]-[0:28:38.00]  Lo ponen a humar y ya se conserva.
[0:28:38.00]-[0:28:39.00]  Y se conserva.
[0:28:39.00]-[0:28:41.00]  Y ya no pasa nada.
[0:28:41.00]-[0:28:42.00]  Lo podías tener años.
[0:28:42.00]-[0:28:43.00]  No se ponía mal.
[0:28:43.00]-[0:28:45.00]  No se ponía mal.
[0:28:45.00]-[0:28:53.00]  ¿Y quién era quien preparaba aquí, por ejemplo, hacían salchichas o morcillas o algo?
[0:28:53.00]-[0:28:55.00]  Aquí le decían longaniza.
[0:28:55.00]-[0:28:56.00]  Longaniza.
[0:28:56.00]-[0:28:58.00]  Longaniza, morcilla.
[0:28:58.00]-[0:29:00.00]  Morcillas, hacían morcillas.
[0:29:00.00]-[0:29:01.00]  Y las mujeres.
[0:29:01.00]-[0:29:02.00]  ¿Usted sabía hacer morcillas?
[0:29:02.00]-[0:29:04.00]  De las tribas de los pechinos, sí.
[0:29:04.00]-[0:29:05.00]  ¿Cómo las hacía?
[0:29:05.00]-[0:29:06.00]  ¿Cómo las hacía?
[0:29:06.00]-[0:29:08.00]  Yo y mis hijas también.
[0:29:08.00]-[0:29:14.00]  Yo tenía una hija que hacía, salía a la bala y la tengo que estar esa hasta el osuro.
[0:29:14.00]-[0:29:24.00]  Pero eso, los jóvenes lo lavan todo bien y después ya ponían la carne en adobo.
[0:29:24.00]-[0:29:25.00]  Para la morcilla sí.
[0:29:25.00]-[0:29:26.00]  Para la morcilla sí.
[0:29:26.00]-[0:29:27.00]  No, para los longanizas.
[0:29:27.00]-[0:29:28.00]  Para la morcilla sí.
[0:29:28.00]-[0:29:34.00]  También llenas con sus preparos que ya les ponían y después las ponían también al humo.
[0:29:34.00]-[0:29:36.00]  Con las gallitas y antes sí.
[0:29:36.00]-[0:29:38.00]  Para los longanizas se amarraban.
[0:29:38.00]-[0:29:41.00]  Como hoy comprar chorizo.
[0:29:41.00]-[0:29:43.00]  A mí no era chorizo, pero era más bueno que el chorizo.
[0:29:43.00]-[0:29:48.00]  Para sí era chorizo, pero las longanizas eran mejor.
[0:29:48.00]-[0:29:49.00]  Sí.
[0:29:49.00]-[0:29:51.00]  ¿Y cómo hacían el pan?
[0:29:51.00]-[0:29:52.00]  Usted ha dicho que hacían pan.
[0:29:52.00]-[0:29:53.00]  ¿Había aquí un horno?
[0:29:53.00]-[0:29:57.00]  Aquí teníamos un horno grande.
[0:29:57.00]-[0:29:59.00]  Los días de San Juan.
[0:29:59.00]-[0:30:09.00]  Y arriba en casa de mi padre tenían un horno bien grande porque amasaban todos los días pan para vender en la tienda.
[0:30:09.00]-[0:30:10.00]  Ah, claro.
[0:30:10.00]-[0:30:16.00]  Pero aquí abajo había otro horno que era más chico y también amasábamos aquí.
[0:30:16.00]-[0:30:24.00]  Y a los vecinos que no tenían amasaban y los dejábamos hornear en la cocina, en esta cocina.
[0:30:24.00]-[0:30:25.00]  Sí.
[0:30:25.00]-[0:30:36.00]  Y después arriba en la grande también dejábamos hornear a los que no tuvieran.
[0:30:36.00]-[0:30:45.00]  Y si se iba a casar una persona y tenía que amasar bollo, porque entonces amasaban bollo dulce y galletas.
[0:30:45.00]-[0:30:46.00]  Sí.
[0:30:46.00]-[0:30:48.00]  Esa.
[0:30:48.00]-[0:30:51.00]  Los horneábamos arriba.
[0:30:51.00]-[0:31:04.00]  Y allá en el cercado estaba un horno en la casa cantera arriba y había una maestra escuela que vivía en una casa que había habido aquí.
[0:31:04.00]-[0:31:14.00]  Y después me llamaba para que fuera yo a amasar a la maestra y yo le amasaba y después yo les horneaba en casa del señor.
[0:31:14.00]-[0:31:17.00]  Y después le hacía un pan como las estrellas.
[0:31:17.00]-[0:31:20.00]  La mujer contenta.
[0:31:20.00]-[0:31:21.00]  Sí.
[0:31:21.00]-[0:31:25.00]  Y qué masa, cómo hacían la masa del pan?
[0:31:25.00]-[0:31:31.00]  Uy, la masa la poníamos, poníamos la harina.
[0:31:31.00]-[0:31:35.00]  Según lo que quisieran ponerse, le queríamos poner leche, lo amasábamos con leche.
[0:31:35.00]-[0:31:38.00]  Si lo queríamos poner...
[0:31:38.00]-[0:31:40.00]  Aceite.
[0:31:40.00]-[0:31:43.00]  Otra cosa, aceite y hueso.
[0:31:43.00]-[0:31:48.00]  Hasta batata, escachá, viene escachaita, escachaita.
[0:31:48.00]-[0:32:01.00]  Le poníamos a la masa al que le gustara ponerle relleno y al que no le gustaba ponerle relleno, pues ya no le poníamos más que la lavadura y la harina.
[0:32:01.00]-[0:32:02.00]  Sí.
[0:32:02.00]-[0:32:07.00]  Y con gofio hacían algo también?
[0:32:07.00]-[0:32:12.00]  Con gofio, gofio revuelto, el que quisiera hacer gofio revuelto para comer con carne.
[0:32:12.00]-[0:32:13.00]  Sí.
[0:32:13.00]-[0:32:20.00]  Y amasado y enverrendo con queso.
[0:32:20.00]-[0:32:24.00]  Como lo quisiera, también se comía.
[0:32:24.00]-[0:32:38.00]  Y si uno iba para su valle, echábamos en una zurrona, gofio, un trozo de queso y a donde fuera en la tajea, cuando iban para la rejita en la tajea,
[0:32:38.00]-[0:32:51.00]  que era arriba, el agua que iba para abajo, allí siempre, cuando vinimos para arriba, si traíamos hambre ya, allí amasábamos nuestro gofio y comíamos todo junto.
[0:32:51.00]-[0:32:53.00]  Nos comíamos todo junto.
[0:32:53.00]-[0:32:55.00]  Comían el gofio.
[0:32:55.00]-[0:33:01.00]  Sí, el gofio amasado con queso.
[0:33:01.00]-[0:33:05.00]  La vida está muy cambiada, a los que les gustaba mucho el trabajo.
[0:33:05.00]-[0:33:10.00]  Sobrevivir, los tían antiguos, al campo y antes.
[0:33:10.00]-[0:33:12.00]  Y el queso, usted…
[0:33:12.00]-[0:33:14.00]  El queso era de nuestra cosecha.
[0:33:14.00]-[0:33:17.00]  ¿Y usted cómo hacía el queso? ¿Era queso de cabra?
[0:33:17.00]-[0:33:33.00]  Lo hacía de cabra, mezclaba con la de vaca, la leche y le ponía cuajos naturales, los cuajos de los cabritos,
[0:33:33.00]-[0:33:45.00]  cuando los matábamos, los llenábamos con leche y los colgábamos en el humo y los teníamos hasta el humo,
[0:33:45.00]-[0:33:53.00]  hasta que se secaran bien y de que estuvieran ya secos, secos, ya entonces cogíamos un trocito de eso,
[0:33:53.00]-[0:34:05.00]  lo poníamos en un vaso, en un frasco y lo estragábamos y con ese… porque el cuajo de fuera no nos gustaba.
[0:34:05.00]-[0:34:07.00]  Antes no había, mamá, tampoco.
[0:34:07.00]-[0:34:12.00]  No, entonces en aquel tiempo no había tampoco queso de fuera, de este humo.
[0:34:12.00]-[0:34:13.00]  Cuajo.
[0:34:13.00]-[0:34:14.00]  Cuajo de fuera.
[0:34:14.00]-[0:34:16.00]  ¿Cuál es el cuajo de fuera?
[0:34:16.00]-[0:34:18.00]  El que viene ahora.
[0:34:18.00]-[0:34:19.00]  Yo…
[0:34:19.00]-[0:34:20.00]  Ella lo hacía…
[0:34:20.00]-[0:34:22.00]  Los polvos, los polvos esos que hay ahora.
[0:34:22.00]-[0:34:28.00]  Yo un día no tenía cuajos para coger mi leche, me había apurado.
[0:34:28.00]-[0:34:31.00]  Pero eso fue hace años, ¿no?
[0:34:31.00]-[0:34:32.00]  Sí, muchos años ya.
[0:34:32.00]-[0:34:33.00]  En aquellos años, no, mamá.
[0:34:33.00]-[0:34:42.00]  Y entonces me dijeron que… que compré la farmacia, compré la farmacia y desgraciadamente mi cuajada y mi queso.
[0:34:42.00]-[0:34:43.00]  No le salió igual.
[0:34:43.00]-[0:34:45.00]  No le salió, bueno.
[0:34:45.00]-[0:34:57.00]  Y después ya una vecina me trajo, me dio un cuajo y con ese cuajo fui yo cuajando hasta que tuvimos los nuestros.
[0:34:57.00]-[0:34:59.00]  Después ya tenía los milsecos.
[0:34:59.00]-[0:35:05.00]  Después, sí, seguro que no volví a coger con queso de fuera.
[0:35:05.00]-[0:35:08.00]  ¿Y cómo hacía exactamente el queso?
[0:35:08.00]-[0:35:09.00]  ¿Nos puede contar?
[0:35:09.00]-[0:35:13.00]  Entonces, ¿le echaba el cuajo y cuánto tiempo tardaba en…?
[0:35:13.00]-[0:35:19.00]  No, después se tardaba media hora, una hora.
[0:35:19.00]-[0:35:21.00]  Es lo más que se tardaba para cuajarse.
[0:35:21.00]-[0:35:29.00]  Es que antes se vivía del campo, porque antes toda… ya ahora no, antes llovía mucho y estaba siempre el barranco con agua.
[0:35:29.00]-[0:35:33.00]  Y había mucha agua y entonces la gente plantaba y cogía.
[0:35:33.00]-[0:35:40.00]  Entonces el campo por ahí abajo, por el veroval, todas esas costas eran sembradas de trigo, de cebada.
[0:35:40.00]-[0:35:41.00]  ¿Todo eso lo sembraban?
[0:35:41.00]-[0:35:53.00]  Entonces la gente en el invierno se iba para abajo y en el verano las traían para aquí arriba, porque todo el mundo tenía ganado, cercado, todo era de…
[0:35:53.00]-[0:35:57.00]  Y en el monte entonces hasta los cochinos los daban.
[0:35:57.00]-[0:35:59.00]  El monte no tenía aquel tiempo.
[0:35:59.00]-[0:36:00.00]  Antes sí.
[0:36:00.00]-[0:36:02.00]  Después no, ya cuando los guardamontes entraron…
[0:36:02.00]-[0:36:04.00]  Hasta que ya los hijos se fueron…
[0:36:04.00]-[0:36:05.00]  Los mandaron a Quitara.
[0:36:05.00]-[0:36:17.00]  Los abuelos nuestros se fueron para Cuba y ya los hijos empezaron a ir para Berenzuela y ya empezó la gente a comprar, porque mucha gente estaba de mediano.
[0:36:17.00]-[0:36:21.00]  Le hizo los riesgos.
[0:36:21.00]-[0:36:34.00]  Mi suegro fue para Cuba y cuando mandó para aquí dinero a mi suegra y después cuando él vino ya empezó a trabajar ahí, aquí, y después terminaron, han terminado esto.
[0:36:34.00]-[0:36:36.00]  ¿Ese fue su marido? ¿Su marido se fue a Cuba?
[0:36:36.00]-[0:36:38.00]  No, mi padre no, porque era hijo…
[0:36:38.00]-[0:36:39.00]  No.
[0:36:39.00]-[0:36:42.00]  Mi abuelo no tenía sino dos hijos.
[0:36:42.00]-[0:36:44.00]  Una hembra y un varón.
[0:36:44.00]-[0:36:47.00]  ¿Y la hembra no tenía hijos?
[0:36:47.00]-[0:36:55.00]  Mi abuela no tuvo sino dos hijos y entonces mi padre no salió nunca de aquí de la familia.
[0:36:55.00]-[0:36:58.00]  ¿Usted ha viajado alguna vez fuera de la isla?
[0:36:58.00]-[0:36:59.00]  ¿Eh?
[0:36:59.00]-[0:37:01.00]  ¿Ha estado fuera de la Gomera?
[0:37:01.00]-[0:37:02.00]  ¿Yo?
[0:37:02.00]-[0:37:03.00]  Sí.
[0:37:03.00]-[0:37:15.00]  Estuve un año trabajando en el sur de Tenerife embarazada del más viejo de los varones.
[0:37:15.00]-[0:37:16.00]  ¿En los tomates?
[0:37:16.00]-[0:37:18.00]  En los tomates.
[0:37:18.00]-[0:37:20.00]  Antes ya cuando ya empezó…
[0:37:20.00]-[0:37:26.00]  Y después ya cuando estaba para la luz me vine para aquí. Tuve mis hijos y no volví más a trabajar allá.
[0:37:26.00]-[0:37:28.00]  ¿No le gustó trabajar en Tenerife?
[0:37:28.00]-[0:37:31.00]  No, yo estaba bien quería ir allí.
[0:37:31.00]-[0:37:33.00]  ¿No? ¿No?
[0:37:33.00]-[0:37:34.00]  Que más bien…
[0:37:34.00]-[0:37:36.00]  Ya se quedaron así ahí y ya se vino.
[0:37:36.00]-[0:37:39.00]  El encargado me dijo y dice, doña…
[0:37:39.00]-[0:37:48.00]  Usted se queda ahí, me deja de comer a unos conejos que están ahí y no se apure por trabajar.
[0:37:48.00]-[0:37:51.00]  Dice que usted tiene su sueldo.
[0:37:51.00]-[0:37:52.00]  Y…
[0:37:52.00]-[0:37:54.00]  Ya cuando empezó el sur ya empezó toda la gente a ir.
[0:37:54.00]-[0:37:58.00]  Y de noche usted va también a empaquetar.
[0:37:58.00]-[0:38:07.00]  Yo empaquetaba tomates.
[0:38:07.00]-[0:38:10.00]  La vida hoy está muy cambiada, mija.
[0:38:10.00]-[0:38:15.00]  La más vieja mía estaba por debajo cogiendo el repollo.
[0:38:15.00]-[0:38:19.00]  Lo que echaban cuando…
[0:38:19.00]-[0:38:21.00]  En los empaquetados los tomates.
[0:38:21.00]-[0:38:31.00]  Estábamos empaquetando y el repollo que bajaba abajo, que si lo recogían, estaban ellas recogiendo las chicas, niñas, muchachas.
[0:38:31.00]-[0:38:35.00]  Que antes se iban y empezaban a trabajar de 11, de 12 años.
[0:38:35.00]-[0:38:36.00]  Sí.
[0:38:36.00]-[0:38:37.00]  Antes sí.
[0:38:37.00]-[0:38:40.00]  Entonces ya después ya ha cambiado mucho.
[0:38:40.00]-[0:38:48.00]  Yo después no, ya después es cuando ya estaba para dar a luz del más viejo.
[0:38:48.00]-[0:38:53.00]  Me vine para aquí, tú y mi hijo, y ya después trabaja aquí.
[0:38:53.00]-[0:38:58.00]  Y unas viejitas que estaban aquí con nosotros me cuidaron mis niños.
[0:38:58.00]-[0:39:00.00]  Antes esto estaba todo lleno de niños.
[0:39:00.00]-[0:39:05.00]  Antes la plaza era…
[0:39:05.00]-[0:39:13.00]  No teníamos televisión, no teníamos eso, pero corríamos en la plaza y se divertían los niños ahí en la plaza.
[0:39:13.00]-[0:39:21.00]  Era una plaza llena de árboles y de adelfas que daba el gusto correr ahí aunque fuera de tierra.
[0:39:21.00]-[0:39:27.00]  Ya después trajeron un colegio de esos…
[0:39:27.00]-[0:39:31.00]  No me acuerdo cómo le dicen, que parecen en Bernadero.
[0:39:31.00]-[0:39:37.00]  Entonces ya cortaron los árboles de la parte allá por donde está el cajero del dinero ahora.
[0:39:37.00]-[0:39:42.00]  Y ya cortaron los árboles que había en la plaza.
[0:39:42.00]-[0:39:46.00]  Pero antes era…
[0:39:46.00]-[0:39:50.00]  Aquí la gente se miraba como… toda como familia.
[0:39:50.00]-[0:39:57.00]  Lo que no tenía uno, si faltaba, por ejemplo, azúcar, ibas y le pedías al otro, te mandaban ahí.
[0:39:57.00]-[0:40:05.00]  Íbamos los niños por ahí, estaban las personas mayores y le hacía falta algo y volvíamos para atrás a comprárselo.
[0:40:05.00]-[0:40:07.00]  Sin contestarles más ni nada.
[0:40:07.00]-[0:40:08.00]  Sí.
[0:40:08.00]-[0:40:10.00]  Ya hoy ha cambiado mucho.
[0:40:10.00]-[0:40:13.00]  Antes se compartía todo.
[0:40:13.00]-[0:40:19.00]  El que no tuviera nada de gopio y eso, ya te digo que en la tajada lo amasábamos y comíamos todo mundo.
[0:40:19.00]-[0:40:23.00]  Porque ahí no podía comerme yo y los demás con hambre.
[0:40:23.00]-[0:40:25.00]  Claro.
[0:40:25.00]-[0:40:27.00]  Los días de San Juan eran unas…
[0:40:27.00]-[0:40:31.00]  Era muy grande, entonces se anotaba todas amasadas.
[0:40:31.00]-[0:40:37.00]  Y la que no amasaba, pues se le mandaba su parte de pan.
[0:40:37.00]-[0:40:38.00]  Después del día de…
[0:40:38.00]-[0:40:40.00]  Ah, no, los panes sí, bueno.
[0:40:40.00]-[0:40:47.00]  El día de Todos los Santos mataban los cochinos y la que no mataba cochino, le mandaba el plato a la otra.
[0:40:47.00]-[0:40:48.00]  Los vecinos…
[0:40:48.00]-[0:40:50.00]  Se compartían de todo.
[0:40:50.00]-[0:40:51.00]  Sí.
[0:40:51.00]-[0:40:56.00]  Uno que dormía van aquí, nos dejaban pan y arriba está…
[0:40:56.00]-[0:41:03.00]  Por ejemplo, a lo mejor se le moría a una persona familiar y aquel año no amasaba.
[0:41:03.00]-[0:41:04.00]  Pan.
[0:41:04.00]-[0:41:10.00]  Entonces los demás vecinos que amasaban le mandaban su pan a… para que no se quedara el día de San Juan sin pan.
[0:41:10.00]-[0:41:12.00]  Siempre compartían.
[0:41:12.00]-[0:41:15.00]  Dos o tres panes, dos o tres panes, siempre mandaban.
[0:41:15.00]-[0:41:20.00]  Se iba a coger el agua, a la madrugada se silbaban unas a otras.
[0:41:20.00]-[0:41:25.00]  A la madrugada, el día de San Juan, iban a traer el agua.
[0:41:25.00]-[0:41:26.00]  Sí.
[0:41:26.00]-[0:41:28.00]  Pero todos iban a…
[0:41:28.00]-[0:41:30.00]  Y a ti en los arcos, en la vica.
[0:41:30.00]-[0:41:31.00]  Ya hoy, ¿no?
[0:41:31.00]-[0:41:32.00]  Ya hoy.
[0:41:32.00]-[0:41:34.00]  Ya lo de antes se ha acabado aquí.
[0:41:34.00]-[0:41:35.00]  Ya no sirvan.
[0:41:35.00]-[0:41:38.00]  Uy, después veníamos cantando.
[0:41:38.00]-[0:41:39.00]  Ay, cantaban.
[0:41:39.00]-[0:41:41.00]  Sí, íbamos a coger la agua bendita.
[0:41:41.00]-[0:41:48.00]  Primero había una puente y le decían la mermeja y la vica que era aquí abajo.
[0:41:48.00]-[0:41:51.00]  Y después a ver cuál la primera la cogía.
[0:41:51.00]-[0:41:56.00]  Y la díamos nosotros más de madrugada y la cogíamos al antre.
[0:41:56.00]-[0:41:58.00]  Y después veníamos cantando.
[0:41:58.00]-[0:42:05.00]  Cogimos agua bendita de la mermeja a la vica, vinimos cantando.
[0:42:05.00]-[0:42:08.00]  Hicimos en el plan, en un plan, un baile.
[0:42:08.00]-[0:42:10.00]  Empezamos a bailar.
[0:42:10.00]-[0:42:12.00]  ¿No, Antici?
[0:42:12.00]-[0:42:16.00]  Antici era todo divertido.
[0:42:16.00]-[0:42:21.00]  Sí.
[0:42:21.00]-[0:42:28.00]  Y como era el dinero de plata, pues resumía más.
[0:42:28.00]-[0:42:33.00]  Si no había papeles, si no dinero de plata.
[0:42:33.00]-[0:42:35.00]  Sí.
[0:42:35.00]-[0:42:41.00]  ¿Usted ahora sigue silbando de vez en cuando o ya no silba?
[0:42:41.00]-[0:42:42.00]  No, yo no.
[0:42:42.00]-[0:42:46.00]  Yo ya no puedo silbar porque no tengo entaduras.
[0:42:46.00]-[0:42:50.00]  Se me cayó la entadura, siempre me estaba doliendo.
[0:42:50.00]-[0:42:56.00]  Me la fui a la villa a un señor que las quitaba.
[0:42:56.00]-[0:42:59.00]  Y le dije que me las quitara todas porque yo no podía aguantar.
[0:42:59.00]-[0:43:06.00]  Me quitó todas, me quitó todas y me dio una entadura puestiza.
