[0:00:00.00]-[0:00:02.00]  Lo sé yo bien.
[0:19:34.24]-[0:19:39.24]  Así que así ha cambiado mucho la vida.
[0:19:39.24]-[0:19:44.00]  Y en cuanto a la religión y los curas, ¿la gente era, a los trajes tenían más respeto,
[0:19:44.00]-[0:19:47.00]  creaban los curas y eso?
[0:19:47.00]-[0:19:52.72]  Bueno, respeto, antes, antes le teníamos, le íbamos a besar la mano al cura.
[0:19:52.72]-[0:19:53.72]  Sí.
[0:19:53.72]-[0:19:56.84]  Cuando éramos, cuando éramos chiquillos que veníamos de la escuela veíamos al cura y
[0:19:56.84]-[0:19:58.28]  íbamos a besarle la mano.
[0:19:58.28]-[0:20:00.80]  Y ahora tú por tú.
[0:20:00.80]-[0:20:01.80]  Ahora es tú por tú.
[0:20:01.80]-[0:20:06.88]  Sí, el cura de aquí los chiquillos lo tratan de tú por tú.
[0:20:06.88]-[0:20:07.88]  Sí, sí.
[0:20:07.88]-[0:20:12.24]  Me llaman por aquí, por allí, por el otro lado.
[0:20:12.24]-[0:20:13.24]  Tú por tú.
[0:20:13.24]-[0:20:17.20]  Ahora yo no quiero decir que por eso no haya respeto, hay respeto porque no.
[0:20:17.20]-[0:20:24.60]  A él se respeta como lo que es y lo que tienen los niños más, no sé, otra cosa, otra cosa.
[0:20:24.60]-[0:20:29.52]  Pero antiguamente el cura aconsejaba o prohibía más que nada a los teclados, ¿no?
[0:20:29.52]-[0:20:31.40]  ¿O por otra época?
[0:20:31.40]-[0:20:34.44]  Bueno, entonces por lo menos atemorizaba a la gente.
[0:20:34.44]-[0:20:36.44]  Ahora, ahora no.
[0:20:36.44]-[0:20:42.56]  Ya la gente, como ya todo mundo sabe, pues no atemoriza.
[0:20:42.56]-[0:20:47.12]  La gente dice lo que tiene que decir y cada uno entiende.
[0:20:47.12]-[0:20:53.48]  Yo para mí es lo que tiene que hacer porque sabemos que el hacer mal es mal, todo el mundo
[0:20:53.48]-[0:20:56.64]  lo sabemos, pues ya lo sabemos y vamos.
[0:20:56.64]-[0:20:59.16]  Yo lo comprendo así, así que…
[0:20:59.16]-[0:21:02.16]  ¿Y qué le iba a decir?
[0:21:02.16]-[0:21:06.16]  ¿Antiguamente en el pueblo había alcalde o presidente?
[0:21:06.16]-[0:21:09.16]  Sí, y ahora también, siempre ha visto.
[0:21:09.16]-[0:21:12.16]  ¿Pero cómo era antiguamente como ahora?
[0:21:12.16]-[0:21:15.16]  ¿Quién era alcalde o quién podía ser alcalde?
[0:21:15.16]-[0:21:18.16]  Bueno, ahora votan como las votaciones, como eso.
[0:21:18.16]-[0:21:24.16]  Para eso sale el alcalde, el que tenemos ahora ya lleva muchos años, lleva muchos años
[0:21:24.16]-[0:21:25.16]  el de alcalde.
[0:21:25.16]-[0:21:28.16]  ¿Y antiguamente también era por votos o cómo?
[0:21:28.16]-[0:21:30.16]  Yo antiguamente, yo creo que no era por votos.
[0:21:30.16]-[0:21:34.16]  Bueno, no lo sé, lo ponían pero no era por votos, ahora es por votos ya.
[0:21:34.16]-[0:21:37.16]  Ahora es por votos como presidente.
[0:21:37.16]-[0:21:42.16]  Y hay partel de la Guardia Civil, bueno, hay de todos, sí.
[0:21:42.16]-[0:21:44.16]  ¿Y qué le iba a decir?
[0:21:44.16]-[0:21:47.16]  Una cosa que no se me olvidaba, ¿usted ha hecho pan, hacía pan o no?
[0:21:47.16]-[0:21:50.16]  Bueno, también, antiguamente hacíamos pan, sí.
[0:21:50.16]-[0:21:51.16]  ¿Cómo era eso?
[0:21:51.16]-[0:21:57.16]  Pues la harina, se echaba la harina con agua en la macera, que le llamábamos la macera,
[0:21:57.16]-[0:22:08.16]  así largo y con agua y sal, y se envolvía bien, se amasaba bien y después se le echaba,
[0:22:08.16]-[0:22:12.16]  bueno, antiguamente no se le echaba levadura, ahora se le echa, pero antes no.
[0:22:12.16]-[0:22:18.16]  Y se le echaba la levadura y cuando estaba eso, pues ya se hacía el pan, se metía el horno que se,
[0:22:18.16]-[0:22:23.16]  en el horno que teníamos, se metía leña hasta que estuviera bien arrojado el horno,
[0:22:23.16]-[0:22:29.16]  se barría bien el horno y cuando estaba ya el pan para meterlo, se metía hasta que tanto tiempo se cocía
[0:22:29.16]-[0:22:31.16]  y fuera, ya estaba el pan hecho.
[0:22:31.16]-[0:22:34.16]  Se le echaba sal, también la masa.
[0:22:34.16]-[0:22:36.16]  ¿Y cuántos panes o manzas se van a hacer?
[0:22:36.16]-[0:22:41.16]  Pues se hacían unas cuantas, ahora ya no más tenemos que bajar y está la panadería ahí y a buscarlo.
[0:22:41.16]-[0:22:46.16]  Ahora nada más es eso, bajar, está ahí la panadería y a buscarlo y a ponerlo.
[0:22:46.16]-[0:22:47.16]  ¿Pero el horno estaba en casa o...?
[0:22:47.16]-[0:22:48.16]  Sí, en casa, en casa.
[0:22:48.16]-[0:22:49.16]  ¿En casa quedaba?
[0:22:49.16]-[0:22:51.16]  Sí, todavía habrá hornos por las casas.
[0:22:51.16]-[0:22:52.16]  Todavía habrá hornos por las casas.
[0:22:52.16]-[0:22:53.16]  ¿Llena de leña?
[0:22:53.16]-[0:22:58.16]  Sí, hay uno que todavía más aquí, una chavala y no es muy mayor.
[0:22:58.16]-[0:23:04.16]  Tiene, son unos cuantos de familia y no es muy mayor, es más joven que yo.
[0:23:04.16]-[0:23:06.16]  Y a masa, a masa.
[0:23:06.16]-[0:23:10.16]  ¿Y qué quiere decir? ¿Y antiguamente qué se cultivaba aquí o qué...? ¿Usted cultivaba algo...?
[0:23:10.16]-[0:23:18.16]  Pues trigo, cebada, centeno, de todo eso se cultivaba, poco pero vivíamos de eso.
[0:23:18.16]-[0:23:26.16]  De lo poco que eso se vivía de eso, trigo, cebada, centeno, pues se cultivaba de todo, alubias, garbanzos,
[0:23:26.16]-[0:23:30.16]  de todo sembrábamos un poco para hacerle frente a la vida.
[0:23:30.16]-[0:23:35.16]  Así le hicimos frente a la vida, ahora ya somos mayores, ahora nada.
[0:23:35.16]-[0:23:38.16]  ¿Y el trigo, por ejemplo, cómo lo cultivabas?
[0:23:38.16]-[0:23:45.16]  Pues a hof a cegarlo, con las vacas a sembrarlo y después con una hof a cegarlo.
[0:23:45.16]-[0:23:48.16]  Ahora ya cambia todo porque ahora ya viene una cosechadora y lo cosecha.
[0:23:48.16]-[0:23:49.16]  Pero antiguamente era todo a mano.
[0:23:49.16]-[0:23:53.16]  Todo a mano, todo a mano, todo a mano.
[0:23:53.16]-[0:23:58.16]  Entonces era mucho trabajo y trabajamos mucho, ahora todo es diferente, todo, todo, todo, todo.
[0:23:58.16]-[0:24:02.16]  Porque ahora viene una cosechadora y lo cosecha en poco rato.
[0:24:02.16]-[0:24:10.16]  Antes, a ararlo, a sembrarlo, a recogerlo, a trilgarlo, a limpiarlo, todo a mano, todo a mano.
[0:24:10.16]-[0:24:16.16]  Y trabajábamos como ricos, ahora todo ha cambiado, pues para mejor, mucho mejor.
[0:24:16.16]-[0:24:18.16]  ¿Y lo de trilgar, cómo era eso?
[0:24:18.16]-[0:24:26.16]  Pues que se… y a carriar, si todo eso era una… con las vacas a carriarlo.
[0:24:26.16]-[0:24:32.16]  Se hacían manojos que le llamábamos aquí y después para subirlos para el carro,
[0:24:32.16]-[0:24:36.16]  que cuando se tenía uno que estirar, que no se podía.
[0:24:36.16]-[0:24:43.16]  Y después se traía para las ceras y se tiraba en las ceras y con las vacas a trilgarlo, que hay trigos todavía.
[0:24:43.16]-[0:24:49.16]  Nosotros todavía tenemos trigos y a trilgarlo con las vacas alrededor días enteros dándole vuelta y…
[0:24:49.16]-[0:24:52.16]  antes se trabajaba mucho, mucho.
[0:24:52.16]-[0:24:53.16]  ¿Y luego qué? ¿Qué se separaba?
[0:24:53.16]-[0:24:58.16]  Pues se separaba el grano de la paja, había que limpiarlo también tirándola al alto.
[0:24:58.16]-[0:25:04.16]  Cuando venía aire salía el grano para un lado y la paja para el otro, tirándola al alto, así.
[0:25:04.16]-[0:25:08.16]  Venga, que venía aire y salía el grano para un lado y la paja para el otro.
[0:25:08.16]-[0:25:10.16]  Así fue la vida de aquí.
[0:25:10.16]-[0:25:11.16]  ¿Y la paja que era para los animales?
[0:25:11.16]-[0:25:12.16]  Para los animales, claro.
[0:25:12.16]-[0:25:14.16]  Y luego cuando el grano había molinos, ¿o cómo?
[0:25:14.16]-[0:25:15.16]  Claro, había molinos.
[0:25:15.16]-[0:25:16.16]  ¿Aquí no es polo?
[0:25:16.16]-[0:25:18.16]  Sí, sí, sí, había unos cuantos, sí. Y todavía hay.
[0:25:18.16]-[0:25:19.16]  ¿Cómo era eso?
[0:25:19.16]-[0:25:20.16]  Pues…
[0:25:20.16]-[0:25:21.16]  ¿Pero había molinero cada uno?
[0:25:21.16]-[0:25:27.16]  No, no, no, no. Molinos del pueblo se llevaba y se echaba el grano en un cajón así
[0:25:27.16]-[0:25:31.16]  y después con unas piedras con el agua iba el agua dándole
[0:25:31.16]-[0:25:37.16]  y después con unas piedras dándole, dándole, dándole, dándole y iba saliendo el grano, lo iba haciendo harina.
[0:25:37.16]-[0:25:39.16]  Con las piedras aquellas, harina.
[0:25:39.16]-[0:25:45.16]  Y ahora no, porque cada uno tenía un molino en casa y lo hacen en su casa sin ir allí.
[0:25:45.16]-[0:25:49.16]  Pero todavía se conservan unos dos molinos, hay todavía.
[0:25:49.16]-[0:25:51.16]  Dos molinos hay todavía.
[0:25:51.16]-[0:25:55.16]  Quería preguntar, ¿el agua aquí en el pueblo había fuentes, ríos, como era tu país?
[0:25:55.16]-[0:25:59.16]  Entonces había fuentes y ríos, pero no la teníamos corriente.
[0:25:59.16]-[0:26:00.16]  Ahora la tenemos ya en casa.
[0:26:00.16]-[0:26:01.16]  Sí, ahora está en casa.
[0:26:01.16]-[0:26:03.16]  Pero antes que no había puente había que ir al río, ¿cómo?
[0:26:03.16]-[0:26:08.16]  Sí, sí, fuentes, sí. La salida para Poladura había una fuente y allí todos a buscar el agua.
[0:26:08.16]-[0:26:11.16]  Aquí ahora había más fuentes, pero bueno…
[0:26:11.16]-[0:26:12.16]  ¿Y que se llamaban cántaros?
[0:26:12.16]-[0:26:18.16]  Claro, con cántaros y barriles y barriles, sí, sí, sí, sí. Y cubos, sí, así se iba, así, así.
[0:26:18.16]-[0:26:20.16]  ¿Y para lavar?
[0:26:20.16]-[0:26:23.16]  Para lavar al río, al río lavar.
[0:26:23.16]-[0:26:24.16]  Pero eso es mucho trabajo, ¿no?
[0:26:24.16]-[0:26:28.16]  Anda que no lave yo. Y ahora ya la lavadora.
[0:26:28.16]-[0:26:36.16]  Bueno, todavía se lava a mano. Yo también lavo a mano, pero bueno, pero la lavadora lo más…
[0:26:36.16]-[0:26:38.16]  Pero había que ir con toda la ropa al río y…
[0:26:38.16]-[0:26:40.16]  Sí, sí, antes sí, se iba.
[0:26:40.16]-[0:26:42.16]  ¿Y luego qué hacían? ¿No se secaba agua?
[0:26:42.16]-[0:26:48.16]  Pues a lo mejor por las paredes, se tendía por las paredes para que se secara.
[0:26:48.16]-[0:26:55.16]  Y si iba al río y se tendía allí en la llamera de oreo, así era antes.
[0:26:55.16]-[0:26:58.16]  Ahora es diferente todo, sí, todo es diferente.
[0:26:58.16]-[0:27:00.16]  ¿Y miel en el pueblo había o…?
[0:27:00.16]-[0:27:01.16]  Y hay, sí.
[0:27:01.16]-[0:27:04.16]  ¿Y cómo era? ¿Usted ha tenido colmenas?
[0:27:04.16]-[0:27:06.16]  Las tuvimos, ahora ya.
[0:27:06.16]-[0:27:07.16]  ¿Y cómo era?
[0:27:07.16]-[0:27:13.16]  Pues abejas. Ahí hay un chaval que tiene bastantes colmenas y miel.
[0:27:13.16]-[0:27:19.16]  Un chaval aquí vive, es joven y vende miel y tiene bastantes colmenas, sí, sí, sí.
[0:27:19.16]-[0:27:21.16]  Y hay más gente que tiene colmenas.
[0:27:21.16]-[0:27:24.16]  Pero había que tener cuidado porque picaban, ¿o no?
[0:27:24.16]-[0:27:29.16]  Casi nada, pero ahora ya tienen trajes para que no piquen.
[0:27:29.16]-[0:27:32.16]  ¿Y a usted antes picaron?
[0:27:32.16]-[0:27:35.16]  Hombre, no, a mí me hacía mucho mal y por eso las picamos.
[0:27:35.16]-[0:27:40.16]  ¿Cómo se cogían la miel?
[0:27:40.16]-[0:27:50.16]  Pues tenían aparatos ya, mi abuelo les llamaba las castraderas y con eso cogían los trevos de miel con un aparato de hierro que tenía.
[0:27:50.16]-[0:27:57.16]  Los cogían los trevos, pero entonces picaban las abejas ahora, ¿no?, porque llevan trajes especiales y ya no pican ni una abeja.
[0:27:57.16]-[0:28:02.16]  Llevan guantes y llevan trajes y ya no pican, pero sacan un dinero del ambiente.
[0:28:02.16]-[0:28:07.16]  ¿Y lo de lo que tiene la abeja cómo se llama?
[0:28:07.16]-[0:28:08.16]  Trevo le llamamos aquí.
[0:28:08.16]-[0:28:09.16]  No, con lo que pica.
[0:28:09.16]-[0:28:11.16]  Alguien, el gong.
[0:28:11.16]-[0:28:12.16]  Sí, eso es verdad.
[0:28:12.16]-[0:28:14.16]  Que te lo clava, sí, sí.
[0:28:14.16]-[0:28:16.16]  ¿Pero eso es venenoso o…?
[0:28:16.16]-[0:28:20.16]  Hay a quien no lo hace, pero hay a quien le hace mucho mal.
[0:28:20.16]-[0:28:22.16]  ¿Y la acera se utilizaba o no?
[0:28:22.16]-[0:28:24.16]  Sí, se vendía también.
[0:28:24.16]-[0:28:27.16]  Y este también la lleva, no se para dónde la llevan.
[0:28:27.16]-[0:28:37.16]  También a vender para ahí para arriba, este chaval que tiene colmenas la lleva y también, vamos, pero que tiene bastantes colmenas este chaval.
[0:28:37.16]-[0:28:38.16]  Y es un chaval joven.
[0:28:38.16]-[0:28:40.16]  ¿Y que le va pronto a ti? ¿No había alcohol antiguamente ahí?
[0:28:40.16]-[0:28:41.16]  Sí, mucho.
[0:28:41.16]-[0:28:42.16]  ¿Se plantaba…?
[0:28:42.16]-[0:28:43.16]  ¿Viñas?
[0:28:43.16]-[0:28:44.16]  Sí, viñas.
[0:28:44.16]-[0:28:47.16]  Ahora ya no hay nada, está todo apagado, pero antes sí.
[0:28:47.16]-[0:28:48.16]  ¿Y cómo era lo de las viñas?
[0:28:48.16]-[0:29:01.16]  Pues las viñas, pues las parras se iban a vendimear y después traían para casa en un macero y se pisaban y se metían en las uvas y cocían y hay mucha gente que hace vino por ahí.
[0:29:01.16]-[0:29:02.16]  ¿Sí, señor?
[0:29:02.16]-[0:29:03.16]  Sí, sí, sí.
[0:29:03.16]-[0:29:06.16]  Pero había que… ¿cómo se pisaba, cómo era eso?
[0:29:06.16]-[0:29:27.16]  Pues en las plantas, allí de estaba la planta la parra de la uva y se iban a vendimear cuando sea el tiempo de las vendimias, que aquí ya está todo apagado, pero por estos pueblos hay mucha, en Fideruelas y por ahí muchas uvas, todavía, muchas viñas, sí, sí, sí, y por ahí abajo también hay muchas viñas, aquí ya está todo apagado, pero por ahí ya le dieron.
[0:29:27.16]-[0:29:31.16]  ¿Y antiguamente había costumbre el día de la vendimia que hiciste la fiesta, vale?
[0:29:31.16]-[0:29:49.16]  Sí, entonces ya pues para las vendimias, para la esquila, para todo eso, se mataba a lo mejor una oveja que aún a nadie las quiere y entonces se mataba una oveja para comer porque no había otra cosa que comer y así era.
[0:29:49.16]-[0:29:50.16]  ¿Y su tío oveja estuvo o no?
[0:29:50.16]-[0:29:51.16]  Sí.
[0:29:51.16]-[0:29:52.16]  ¿Y fui con él?
[0:29:52.16]-[0:29:53.16]  Sí.
[0:29:53.16]-[0:29:54.16]  Sí, claro.
[0:29:54.16]-[0:29:58.16]  ¿Y cómo era, cómo era eso de la de ser pastora?
[0:29:58.16]-[0:30:10.16]  Pues ahora que ve que está lloviendo, cuántos días lloviendo y bien mojada y bien muerta de frío, porque entonces eran unos ganados grandes.
[0:30:10.16]-[0:30:18.16]  Ahora ya en el pueblo, mira, antes había muchos ganados y ahora no más hay uno solo, pero tendrá mil y pico.
[0:30:18.16]-[0:30:19.16]  ¿Muchas?
[0:30:19.16]-[0:30:36.16]  Muchas, sí, tiene muchas, pero no más hay uno solo y claro, antes no había tampoco trajes especiales como hay ahora y ahora no se mojan y antes pues no había nada, pues mojarse y pasar bien de frío, bien de cosas que pasen malas, más que buenas.
[0:30:36.16]-[0:30:37.16]  Pero sí tuvimos también ovejas.
[0:30:37.16]-[0:30:39.16]  ¿Y las ovejas que eran para criar o para…
[0:30:39.16]-[0:30:56.16]  Claro, y para esquilar y ahora no vale nada la lana tampoco, no vale nada la lana ni vale nada, bueno los corderos sí, los corderos sí valen, este que tiene tantas, está tomando un dineral de los corderos, vamos, porque se los compran chiquiticos luego en las navidades.
[0:30:56.16]-[0:31:10.16]  Entonces para hacer las mantas y los cobertores, yo hice muchos cobertores y ahora nadie los quiere.
[0:31:10.16]-[0:31:21.16]  Sí, y aquí la lana se hilaba, se lavaba y se hilaba, para hacer jersey, para hacer chaquetas, para hacer todo eso.
[0:31:21.16]-[0:31:24.16]  ¿Y cómo? ¿Pero había que lavar la lana en el río?
[0:31:24.16]-[0:31:26.16]  Claro, había que lavarla.
[0:31:26.16]-[0:31:27.16]  Pues también es mucho trabajo.
[0:31:27.16]-[0:31:34.16]  Todos trabajan, todos trabajan y después se hilaba, las mujeres con las ruedas hilando.
[0:31:34.16]-[0:31:36.16]  Sí, ¿cómo era eso?
[0:31:36.16]-[0:31:42.16]  Como un palo y se ponía así y un uso a eso, era muy bonito.
[0:31:42.16]-[0:31:47.16]  ¿Y lo que dice este cobertor que es donde se dormía o cómo?
[0:31:47.16]-[0:31:49.16]  Sí, se dormía así.
[0:31:49.16]-[0:31:51.16]  ¿Para dónde? ¿La panadería por favor?
[0:31:51.16]-[0:31:52.16]  Para abajo, para abajo.
[0:31:52.16]-[0:31:55.16]  ¿Para abajo? ¿Para abajo? La panadería, ¿dónde el bar?
[0:31:55.16]-[0:31:56.16]  Vale, vale.
[0:31:56.16]-[0:31:59.16]  La panadería. Tenéis que ir para abajo.
[0:31:59.16]-[0:32:00.16]  Vale, vamos a ver.
[0:32:02.16]-[0:32:04.16]  Pues así era la vida de entonces.
[0:32:04.16]-[0:32:10.16]  Pero lo que debería haber contado del colchón, ¿cómo se metía en una funda o cómo?
[0:32:10.16]-[0:32:17.16]  Como una manta, igual que una manta son los cobertores, igual que las mantas, cuanto que son de lana pura,
[0:32:17.16]-[0:32:25.16]  de lana pura que entonces los hacían, había gente que los hacía y eran de lana pura y ahora las mantas no son de lana pura,
[0:32:25.16]-[0:32:29.16]  que son de lo que sea, ni no las come la pulida y esas las come la pulida,
[0:32:29.16]-[0:32:32.16]  lo de lana pura lo come la pulida.
[0:32:32.16]-[0:32:42.16]  Yo entonces, bueno, pues íbamos a hilar y se echaban mantas y se echaban con la lana de las huellas.
[0:32:42.16]-[0:32:48.16]  ¿Y antiguamente algún plato típico de aquí del pueblo, de la zona, hay comida típica o no?
[0:32:48.16]-[0:32:52.16]  Había muchas cosas antes, sí, sí, había muchas cosas antes.
[0:32:52.16]-[0:32:56.16]  ¿Cómo por ejemplo un plato que hiciste o...?
[0:32:56.16]-[0:33:04.16]  Pues sí, había cosas, vamos, como en la matanza pues hacían la chanfaina.
[0:33:04.16]-[0:33:06.16]  ¿Chanfaina? ¿Y eso qué era?
[0:33:06.16]-[0:33:07.16]  Chanfaina.
[0:33:07.16]-[0:33:08.16]  ¿Y eso qué era?
[0:33:08.16]-[0:33:14.16]  Pues la chanfaina era, era como, que yo no la hago ya ahora, yo no la hago,
[0:33:14.16]-[0:33:18.16]  pero entonces se hacía, por la chanfaina pues se hacía, hay mucha gente que todavía la hace,
[0:33:18.16]-[0:33:21.16]  que dice que es muy rica, que a mí no me gusta porque es de pan.
[0:33:21.16]-[0:33:31.16]  Se miga el pan y el pan migadito o bien fino y se le echa una camada de...
[0:33:31.16]-[0:33:39.16]  se fríe la asadura de un animal pequeño, la asadura con sangre, se fríe bien con cebolla,
[0:33:39.16]-[0:33:48.16]  bien una camada de pan y otra camada de asadura y de eso, y con picante,
[0:33:48.16]-[0:33:52.16]  y después se le echa una poca carne o esto, una poca de agua de carne,
[0:33:52.16]-[0:33:57.16]  y se deja nada más dar un hervor y dicen que está muy rico.
[0:33:57.16]-[0:34:00.16]  A mí no me gusta pero bueno, ¿quién lo abre?
[0:34:00.16]-[0:34:03.16]  ¿Pero qué era la gente que comía, que se conduce, solía comer?
[0:34:03.16]-[0:34:09.16]  Las matanzas, pues carne, porque se comía también del perdo,
[0:34:09.16]-[0:34:15.16]  la salura del perdo, del perdo se comía, sí.
[0:34:15.16]-[0:34:19.16]  Y quería preguntar, cuando nos ha dicho antes lo de los chorizos de las morfías,
[0:34:19.16]-[0:34:21.16]  ¿pero se colgaban al humo o cómo?
[0:34:21.16]-[0:34:22.16]  Claro, claro.
[0:34:22.16]-[0:34:24.16]  ¿Y cómo era esto, cómo lo distanciaban?
[0:34:24.16]-[0:34:30.16]  Pues en una cocina, con unos barales y se colgaban, colgando así hasta que se secaban,
[0:34:30.16]-[0:34:36.16]  se hacía al hombre, hasta que se secaran y colgando así pues se secaban las morfías.
[0:34:36.16]-[0:34:40.16]  No, las morfías normalmente ya se comían más tiernas,
[0:34:40.16]-[0:34:44.16]  pero las chorizas sí, se había que dejarlas secar, había que dejarlas secar,
[0:34:44.16]-[0:34:49.16]  porque si no, que se curara, vamos, si no se curaba no había nada que hacer.
[0:34:49.16]-[0:34:55.16]  Y en los mataderos ahora pues harán eso también, digo yo.
[0:34:55.16]-[0:35:00.16]  Ustedes pregunten más, por ahí, que hay gente que sabe más.
[0:35:00.16]-[0:35:05.16]  Pero hay gente que lo sabe mejor que yo, porque lo está haciendo...
[0:35:05.16]-[0:35:08.16]  ¿Y algún animal más tenía conejos, por ejemplo?
[0:35:08.16]-[0:35:13.16]  Sí, de todo eso teníamos cuando éramos jóvenes, teníamos conejos, teníamos ovejas,
[0:35:13.16]-[0:35:18.16]  teníamos vacas, teníamos perdo, teníamos pollos, baldina, teníamos de todo,
[0:35:18.16]-[0:35:20.16]  pero ahora ya no tenemos.
[0:35:20.16]-[0:35:25.16]  ¿Y el conejo cómo criaba o cómo era el cuidador?
[0:35:25.16]-[0:35:29.16]  Pues también en jaulas los teníamos y también criaban muchos,
[0:35:29.16]-[0:35:34.16]  entraba una enfermedad y nosotros los quitamos porque se morían.
[0:35:34.16]-[0:35:38.16]  ¿Y cómo mataban aquí a los conejos?
[0:35:38.16]-[0:35:41.16]  Ah, yo era el marido el que los mataba, yo no sé, le daba un golpe,
[0:35:41.16]-[0:35:44.16]  yo no sé cómo, no sé, él los mataba, yo no sé,
[0:35:44.16]-[0:35:48.16]  le daba un golpe en la cabeza, no sé cómo los mataba,
[0:35:48.16]-[0:35:52.16]  es que no le puedo decir porque él era el que los mataba y yo no.
[0:35:52.16]-[0:35:54.16]  ¿La piel se utilizaba para algo?
[0:35:54.16]-[0:35:58.16]  Para nada, bueno, antes sí se vendían las pieles de los corderos también,
[0:35:58.16]-[0:36:02.16]  ahora ya no se venden ni pieles de corderos ni nadie porque no compra nadie nada,
[0:36:02.16]-[0:36:05.16]  ya no se vende nada, no se vende nada.
[0:36:05.16]-[0:36:10.16]  Y ya le digo, está todo terminado y todo terminado,
[0:36:10.16]-[0:36:14.16]  porque no, la gente mayor ya no podemos,
[0:36:14.16]-[0:36:19.16]  si los jóvenes pues se matan y así es.
[0:36:19.16]-[0:36:23.16]  ¿Y antiguamente había, tenía huerto, huerto, jardín o algo así para...?
[0:36:23.16]-[0:36:27.16]  Sí, huerto y huerto siempre, toda la vida está tenido,
[0:36:27.16]-[0:36:31.16]  huerto y huerto, que se coge de todo, se coge,
[0:36:31.16]-[0:36:36.16]  se siembra lechuga, se siembra de todo, de todo un poquito,
[0:36:36.16]-[0:36:40.16]  porque yo ahora mucho no trabajamos, pero bueno,
[0:36:40.16]-[0:36:45.16]  tengo un huerto que cojo lechugas, que tengo puerros, que tengo cebollas,
[0:36:45.16]-[0:36:51.16]  que tengo el gasto, aunque no podemos, pero al gasto de casa.
[0:36:51.16]-[0:36:55.16]  Sí, eso sí, eso por aquí, eso sí lo hace la gente.
[0:36:55.16]-[0:36:57.16]  ¿Pero tienen que regar o la lluvia o cómo?
[0:36:57.16]-[0:37:01.16]  Bueno, si hace falta regarlo que no llueve, pues hay que regarlo, claro.
[0:37:01.16]-[0:37:07.16]  Nosotros tenemos un sondeo y le regamos y el que no pues como pueda.
[0:37:07.16]-[0:37:09.16]  Porque entonces no había aquí...
[0:37:09.16]-[0:37:12.16]  Pozos sí, había, sí, sí, sí.
[0:37:12.16]-[0:37:14.16]  ¿En las casas o...?
[0:37:14.16]-[0:37:18.16]  Sí, antes había pozos, ahora no, porque ya los que tenían pozos
[0:37:18.16]-[0:37:25.16]  los han tapado porque hay agua corriente, pero que sí,
[0:37:25.16]-[0:37:28.16]  pozos había por todas las casas, cuando no había agua corriente
[0:37:28.16]-[0:37:31.16]  casi había pozos por todas las casas, sí.
[0:37:31.16]-[0:37:36.16]  Yo en casa de mi padre tenían un pozo, para sacar el agua,
[0:37:36.16]-[0:37:43.16]  estaba helada, cuando veníamos de secar, pues mi padre para refrescar el vino,
[0:37:43.16]-[0:37:46.16]  que antes no había neveras ni nada, en un caldero de agua
[0:37:46.16]-[0:37:53.16]  metía las botellas para que se le refrescara el vino y se ponía fresquito, sí, sí, sí.
[0:37:53.16]-[0:37:56.16]  ¿Y qué le iba a decir, para calentar lentamente las casas,
[0:37:56.16]-[0:37:58.16]  y eso cómo se hacía?
[0:37:58.16]-[0:37:59.16]  Con leña.
[0:37:59.16]-[0:38:01.16]  Pero del monte, ¿cómo...?
[0:38:01.16]-[0:38:06.16]  Claro, pues a cortar la leña en el monte y a traerla, que ahora también se va.
[0:38:06.16]-[0:38:10.16]  ¿Y a ver quién, todo el mundo cómo?
[0:38:10.16]-[0:38:16.16]  Claro, es que todo el mundo, es que hay mucha leña en el monte,
[0:38:16.16]-[0:38:23.16]  de roble, de francina, de eso, y la dan el alcalde y se va a buscar la gente.
[0:38:23.16]-[0:38:27.16]  Después cada uno la corta como puede y cada uno como puede.
[0:38:27.16]-[0:38:29.16]  ¿Cómo que la dan alcalde?
[0:38:29.16]-[0:38:32.16]  Claro, el alcalde es el amo de lo que hay en el pueblo,
[0:38:32.16]-[0:38:37.16]  y eso lo parten a piñones, a trozos, y va la gente.
[0:38:37.16]-[0:38:41.16]  Después a mí me dan un trozo, al otro otro trozo y al otro otro trozo,
[0:38:41.16]-[0:38:48.16]  y cada vecino tiene un trozo y lo cortan y se trae para casa.
[0:38:48.16]-[0:38:50.16]  ¿Y siempre es el mismo tré, dijo la verdad?
[0:38:50.16]-[0:38:56.16]  No, hombre, aquí hay mucha leña, mucho monte y mucha leña hay aquí.
[0:38:56.16]-[0:38:59.16]  Aquí no se pasa frío.
[0:38:59.16]-[0:39:01.16]  ¿Y animales, tan salvajes?
[0:39:01.16]-[0:39:03.16]  Había caza o...
[0:39:03.16]-[0:39:08.16]  Y hay, había y hay, más que nunca ahora, porque hay más monte que nunca.
[0:39:08.16]-[0:39:15.16]  Lo que hay es mucho jabalí, mucho corzo, y muchos conejos y eso,
[0:39:15.16]-[0:39:17.16]  dicen que ya hay menos porque hay mucho monte.
[0:39:17.16]-[0:39:23.16]  Pero aquí de lo más que ha aumentado ahora es el jabalí, porque hay mucho monte.
[0:39:23.16]-[0:39:24.16]  ¿Y antiguamente también o no?
[0:39:24.16]-[0:39:28.16]  También había, pero no era como ahora.
[0:39:28.16]-[0:39:35.16]  Es que ahora, ahora pues, pues, no se puede sembrar por lo lejos
[0:39:35.16]-[0:39:37.16]  porque te lo comen los bichos.
