[0:00:00.00]-[0:00:02.00]  ¿Cuántos años tiene?
[0:19:47.00]-[0:19:53.00]  y en todo él, su padre, nos vendía los corderitos que iba a traer de otra parte,
[0:19:53.00]-[0:19:59.00]  y los traía aquí, y resulta que, eso me acuerdo, que nosotros teníamos unas cabritas,
[0:19:59.00]-[0:20:03.00]  pero hacían leche, pero eso, la leche, nosotros no la podíamos vender,
[0:20:03.00]-[0:20:08.00]  y su padre dice, no vale más que cambies cabra y choto por una oveja,
[0:20:08.00]-[0:20:12.00]  y entonces por eso lo venden los corderos, y los dimos así,
[0:20:12.00]-[0:20:16.00]  y mi hermano iba con otro hombre, que tenía más, a pasturar él,
[0:20:16.00]-[0:20:22.00]  porque era pequeño, tenía 9 años, para poder comer, porque si no, y nada,
[0:20:22.00]-[0:20:26.00]  y así que, iba uno así, y así que todo estaba junto, ¿sabes?,
[0:20:26.00]-[0:20:32.00]  y los ciercos también, y si quiere, le voy a decir otra cosa,
[0:20:32.00]-[0:20:39.00]  que el váter estaba allí, estaba el váter, y yo me acuerdo,
[0:20:39.00]-[0:20:44.00]  porque nadie quería sacar eso, porque entonces, hacíamos un hoyo,
[0:20:44.00]-[0:20:49.00]  y lo soltamos aquí, y lo vaciamos, y después, vamos, paja y de todo,
[0:20:49.00]-[0:20:56.00]  lo trabajamos, y lo colgamos ahí, y después cierco para los árboles, y para todo.
[0:20:56.00]-[0:21:06.00]  Es que, es que, es lo que, tú lo sabes, yo no tenía padre,
[0:21:06.00]-[0:21:11.00]  y mi madre, pues, su padre ya le enseñó a la tierra algo,
[0:21:11.00]-[0:21:17.00]  y menos mal eso, que se salvamos por eso, porque mi madre llevaba la,
[0:21:17.00]-[0:21:22.00]  ¿cómo se llama?, la administración, ¿sabes?, ¿cómo quiere decir?,
[0:21:22.00]-[0:21:26.00]  porque uno que es joven, pues yo ya lo agarré, y además, yo madrugaba,
[0:21:26.00]-[0:21:30.00]  y yo era de los más tempranos, más que los viejos, y me iba a trabajar,
[0:21:30.00]-[0:21:36.00]  yo empecé, yo trabajé como un animal, y resulta que así vamos pasando,
[0:21:36.00]-[0:21:41.00]  y claro, no teníamos malicen, tenemos malicen, y teníamos nada,
[0:21:41.00]-[0:21:47.00]  una honradez, lo que no podía haber, y entonces, pues se vivía muy bien,
[0:21:47.00]-[0:21:52.00]  y claro, y entonces, pues, de todo eso, pues así, yo fuimos saliendo,
[0:21:52.00]-[0:21:56.00]  ¿sabes cómo quiere decir?, y después yo, uno me dijo a mí,
[0:21:56.00]-[0:22:01.00]  uno me dijo a mí, dice, vamos para Venezuela, que se puede ir, pues vamos,
[0:22:01.00]-[0:22:06.00]  y yo digo, mire, mi mundo, y me fui para allá, y mira, y no me sabía,
[0:22:06.00]-[0:22:11.00]  no hizo dinero, vino pelado, pero conocí un mundo, y ahora,
[0:22:11.00]-[0:22:15.00]  a mí me dicen de ir aquí, de ir allá, yo ya, ya había aquello,
[0:22:15.00]-[0:22:20.00]  todas las partes igual, de una manera u otra, pero al fin todas son iguales,
[0:22:20.00]-[0:22:24.00]  ¿sabes?, y así que sí, así mismo fue la cosa, así sí.
[0:22:24.00]-[0:22:26.00]  ¿Y en Venezuela cuánto tiempo estuvo?
[0:22:26.00]-[0:22:32.00]  Estuvo 18 años, pero a los 7 años vine a casarme, y me casé,
[0:22:32.00]-[0:22:36.00]  y después me fui para allá otra vez, entre todos, sí,
[0:22:36.00]-[0:22:41.00]  lo que pasa que a los 7 vine, y estuve aquí medio año,
[0:22:41.00]-[0:22:44.00]  y me casé y me fui para allá, que no tenía que venir,
[0:22:44.00]-[0:22:47.00]  porque habría hecho más que eso, porque aquí ahora,
[0:22:47.00]-[0:22:52.00]  y entonces ya estaba mejor, ya se había, aquí ya venía el turismo,
[0:22:52.00]-[0:22:55.00]  y todo eso, y aquí ya se grabía, ya estaba más mal,
[0:22:55.00]-[0:22:58.00]  allí cambió, porque ya cambió el gobierno,
[0:22:58.00]-[0:23:02.00]  entonces ya vino la democracia como esto, y mira,
[0:23:02.00]-[0:23:06.00]  y ahí todo el mundo fue a agarrar del cajón,
[0:23:06.00]-[0:23:10.00]  agarrar el cajón, y yo agarrando, yo viendo que se apayan,
[0:23:10.00]-[0:23:13.00]  y así fue la cosa, y a los 18 ya me vine,
[0:23:13.00]-[0:23:16.00]  y ya no quiso saber nada más, sí, correcto, sí.
[0:23:16.00]-[0:23:18.00]  ¿Y a qué edad se fue a Venezuela?
[0:23:18.00]-[0:23:22.00]  26 años tenía yo, que no podía salir antes,
[0:23:22.00]-[0:23:25.00]  de 25 años no dejaba salir aún de España,
[0:23:25.00]-[0:23:29.00]  y a los 26 ya dejaban salir, y yo había hecho el servicio
[0:23:29.00]-[0:23:34.00]  en Paterna, en artillería, y entonces ya dejaban salir,
[0:23:34.00]-[0:23:37.00]  y se fuimos, pero nosotros no teníamos, entonces se fueron muchos,
[0:23:37.00]-[0:23:40.00]  pero había muchos que todos estaban manchados de franco,
[0:23:40.00]-[0:23:43.00]  la mayoría todos de franco y se iban para allá,
[0:23:43.00]-[0:23:46.00]  y ahora se quedaron allá, y ahora se fastidiaron,
[0:23:46.00]-[0:23:51.00]  porque ahora resulta que todos para el mismo,
[0:23:51.00]-[0:23:55.00]  como aquel que viste, y eso yo ya lo veía,
[0:23:55.00]-[0:24:00.00]  porque yo joven así, resulta que hoy íbamos a labrar,
[0:24:00.00]-[0:24:04.00]  y cuando era mes de abril, y eso, pues íbamos a labrar,
[0:24:04.00]-[0:24:08.00]  y entonces íbamos en los mulos, en los caballos,
[0:24:08.00]-[0:24:12.00]  y para almorzar, venga, unos labrar allá, los otros allá,
[0:24:12.00]-[0:24:15.00]  labrar, entonces venga, vamos a almorzar, vamos,
[0:24:15.00]-[0:24:17.00]  y se juntamos todos, y yo era un niño,
[0:24:17.00]-[0:24:21.00]  y los otros eran los hombres ya hechos y todo,
[0:24:21.00]-[0:24:25.00]  y decían ya de la política de cuando la Argentina,
[0:24:25.00]-[0:24:30.00]  que por un perón, y eso y lo otro, y aquello, y yo,
[0:24:30.00]-[0:24:33.00]  cuando fui a Venezuela, ya vi la cosa,
[0:24:33.00]-[0:24:37.00]  me di cuenta de la política de las cosas de los países,
[0:24:37.00]-[0:24:40.00]  y el único país que era bueno era Venezuela,
[0:24:40.00]-[0:24:42.00]  porque tenía mucho petróleo, y en la dictadura,
[0:24:42.00]-[0:24:45.00]  es que sacaron el petróleo a los americanos,
[0:24:45.00]-[0:24:48.00]  le dio a los americanos, que es la cosa que fue adelante,
[0:24:48.00]-[0:24:52.00]  y el hombre iba muy bien, pero la política es política,
[0:24:52.00]-[0:24:56.00]  y uno dice a los otros, y los otros a los otros,
[0:24:56.00]-[0:25:00.00]  pero aquel hombre iba muy bien, y tumbaban las,
[0:25:00.00]-[0:25:05.00]  porque Venezuela está en medio de montaña,
[0:25:05.00]-[0:25:08.00]  de montaña, lo que son montaña es que la mayoría
[0:25:08.00]-[0:25:13.00]  no tienen piedra, es terreno, y entonces resulta que ellos,
[0:25:13.00]-[0:25:18.00]  ellos, todos los de allá, lo que quieren es vivir en un sitio,
[0:25:18.00]-[0:25:22.00]  aunque sea en Nachabola, pero no pagar alquiler,
[0:25:22.00]-[0:25:26.00]  y no tener director ni tener nada, vivir al,
[0:25:26.00]-[0:25:29.00]  y trabajar tampoco, nada más lo poco que saquen,
[0:25:29.00]-[0:25:33.00]  y almenos ya está, y aquel hombre pues fue tumbándolo todo,
[0:25:33.00]-[0:25:38.00]  y haciendo un edificio de 15 pisos de altura,
[0:25:38.00]-[0:25:43.00]  y entonces resulta que un ascensor grande, y alquiler muy barato,
[0:25:43.00]-[0:25:46.00]  y ya tenían su dirección, y tenían el estacionamiento
[0:25:46.00]-[0:25:50.00]  para poner los coches y todo, y resulta que vino la política,
[0:25:50.00]-[0:25:54.00]  y ya empezó, ya le dieron un golpe de estado,
[0:25:54.00]-[0:25:57.00]  y se fue, y ahí viene el lío, y mira,
[0:25:57.00]-[0:26:00.00]  y ahí viene el lío, y es un país rico, y le digo,
[0:26:00.00]-[0:26:03.00]  y todo eso me di cuenta yo, que entonces el único país
[0:26:03.00]-[0:26:06.00]  de América del Sur era ese, el que valía,
[0:26:06.00]-[0:26:09.00]  y yo ya entonces me di cuenta que él sabe,
[0:26:09.00]-[0:26:13.00]  que había una priva a mí, una prima, porque su madre y su padre
[0:26:13.00]-[0:26:16.00]  habían estado en la Argentina, el tío Luis,
[0:26:18.00]-[0:26:22.00]  el tío Luis, y resulta que estaban allí,
[0:26:22.00]-[0:26:24.00]  y estaba en la Argentina, y yo digo,
[0:26:24.00]-[0:26:28.00]  no sepa que han ido allí, porque allí no vale nada el dinero,
[0:26:28.00]-[0:26:32.00]  en el país que no vale nada el dinero, no vale la pena ni ir ni nada,
[0:26:32.00]-[0:26:36.00]  alguno tendrá suerte y hará dinero, pero la mayoría nada,
[0:26:36.00]-[0:26:39.00]  no hay nada que hacer, la moneda buena como ahora el euro aquí,
[0:26:39.00]-[0:26:42.00]  es lo más grande del mundo, al país que quieras ir, vas,
[0:26:42.00]-[0:26:47.00]  y te cambian enseguida y vives como, en poco dinero vives muy bien,
[0:26:47.00]-[0:26:52.00]  y a los que no vale el dinero nada, ni que te muevas,
[0:26:52.00]-[0:26:56.00]  porque no te quieren ni ver, ni ver te quieren,
[0:26:56.00]-[0:27:01.00]  porque hoy todo va a la moneda, al dinero,
[0:27:01.00]-[0:27:06.00]  hoy vamos todos los mismos, a cada uno por lo que tiene,
[0:27:06.00]-[0:27:11.00]  y así que yo le digo, en estos días le puedo explicar algo de allá.
[0:27:11.00]-[0:27:15.00]  ¿Y allí en Venezuela en qué trabajó?
[0:27:15.00]-[0:27:18.00]  Allí trabajé yo, no había trabajo,
[0:27:18.00]-[0:27:22.00]  y de la construcción trabajas como un animal,
[0:27:22.00]-[0:27:27.00]  y trabajar los mejores días, que yo una vez fuimos a trabajar,
[0:27:27.00]-[0:27:31.00]  no, hoy vamos a plasmar una placa de un edificio,
[0:27:31.00]-[0:27:34.00]  y entonces estamos trabajando, y llegó las 9 de la noche,
[0:27:34.00]-[0:27:38.00]  y no, tenemos que trabajar hasta las 2 o las 3 hasta que terminamos,
[0:27:38.00]-[0:27:41.00]  pero mañana tengo trabajo, y dice, mañana no hay,
[0:27:41.00]-[0:27:43.00]  y yo digo, pues mire, me paga y me voy,
[0:27:43.00]-[0:27:46.00]  porque si no tengo mañana, yo ya no necesito trabajar más,
[0:27:46.00]-[0:27:49.00]  igual me tengo que morir trabajando más horas que menos,
[0:27:49.00]-[0:27:52.00]  ya está bastante, 8 ó 10 horas,
[0:27:52.00]-[0:27:55.00]  y entonces resulta que no había trabajo,
[0:27:55.00]-[0:27:58.00]  y por fin me coloqué en el campo,
[0:27:58.00]-[0:28:02.00]  a podar una finca de naranjos que había allí,
[0:28:02.00]-[0:28:05.00]  y allí estuvo 6 meses, me pagaban muy poquito,
[0:28:05.00]-[0:28:09.00]  me pagaban nada más 50 euros, o 50 bolívares,
[0:28:09.00]-[0:28:16.00]  y la habitación que debía yo,
[0:28:16.00]-[0:28:20.00]  que iba a comer a un restaurantito de la noche,
[0:28:20.00]-[0:28:22.00]  porque iba para todo el día a la finca,
[0:28:22.00]-[0:28:25.00]  y estaba la selva, como siempre la selva igual,
[0:28:25.00]-[0:28:28.00]  y así estuvo 6 meses, y ahorré ahí un poquito,
[0:28:28.00]-[0:28:32.00]  300 euros en bolívares y eso, y me andé aquí para el pasaje,
[0:28:32.00]-[0:28:37.00]  y después resulta que recogí algo más y me fui,
[0:28:37.00]-[0:28:42.00]  y en el restaurantito que iba eran isleños de ganarias,
[0:28:42.00]-[0:28:45.00]  y entonces el dueño mío era Marcos,
[0:28:45.00]-[0:28:47.00]  pero el dueño mío era Marcos,
[0:28:47.00]-[0:28:55.00]  y el empresario, el capital era el que tenía la finca,
[0:28:55.00]-[0:29:00.00]  y aquel no podía, porque el hombre también no sabía dónde vivía,
[0:29:00.00]-[0:29:03.00]  porque las naranjas no hacían, y el tenía que pasar,
[0:29:03.00]-[0:29:06.00]  y no sé, el capital lo pagaría aquel,
[0:29:06.00]-[0:29:08.00]  eso si no lo puedo explicar,
[0:29:08.00]-[0:29:11.00]  y así que yo ya no fui a Caracas,
[0:29:11.00]-[0:29:14.00]  y estando allí, va a irme el isleño ese,
[0:29:14.00]-[0:29:19.00]  y dice, oye, de qué te demas, y eso, y no quiere, no quiere,
[0:29:19.00]-[0:29:25.00]  yo digo, ve si me buscaré y ayudante de un camión y eso, para ganarme algo,
[0:29:25.00]-[0:29:28.00]  y al día que me fui me llamó,
[0:29:28.00]-[0:29:31.00]  y me dio una dirección en Caracas,
[0:29:31.00]-[0:29:35.00]  me dio la dirección si sabía el Callejón La Uta,
[0:29:35.00]-[0:29:37.00]  eso si le digo, Callejón La Uta,
[0:29:37.00]-[0:29:41.00]  a la subida de la Guaya, y digo, sí, sí, lo conozco, vine a Sucre,
[0:29:41.00]-[0:29:46.00]  y dice, pues vayan allí que allí le darán trabajo para vender,
[0:29:46.00]-[0:29:50.00]  a vender latas de, latas de asina,
[0:29:50.00]-[0:29:54.00]  de latas, de unas latas, y a grandes,
[0:29:54.00]-[0:29:58.00]  y va por las casas, y así estuvo dos años lo menos vendiendo,
[0:29:58.00]-[0:30:00.00]  y me ganaba 20 euros,
[0:30:00.00]-[0:30:02.00]  teníamos dos euros de comisión,
[0:30:02.00]-[0:30:06.00]  y entonces si vendía 7, 8 o 10, pues ya tenía, y los agarraba enseguida,
[0:30:06.00]-[0:30:13.00]  porque la casa lo hacíamos de crédito,
[0:30:13.00]-[0:30:17.00]  pero nosotros, me da 2 euros y me debe 6,
[0:30:17.00]-[0:30:21.00]  si me devuelve la, valía 10 euros, la lata entera 10 euros,
[0:30:21.00]-[0:30:25.00]  dos para mí, y dos de la lata, para que me la devolviera,
[0:30:25.00]-[0:30:29.00]  y los otros eran de galletas, y eso lo fiábamos,
[0:30:29.00]-[0:30:32.00]  y entonces, pues después íbamos a cobrar,
[0:30:32.00]-[0:30:36.00]  y yo pues mira, si vendía 10 latas,
[0:30:36.00]-[0:30:40.00]  pues 10 latas de 20 euros ya los tenía,
[0:30:40.00]-[0:30:45.00]  si quería dejar alguna de eso, pues ya cuando iba a cobrar me la pagaba,
[0:30:45.00]-[0:30:47.00]  en fin, así estuvo dos meses,
[0:30:47.00]-[0:30:50.00]  y después ya me puse a,
[0:30:50.00]-[0:30:52.00]  ¿De qué ha dicho que eran las latas?
[0:30:52.00]-[0:30:56.00]  De galletas, saladitas, así, algo eso,
[0:30:56.00]-[0:31:00.00]  pero bueno, sí, sí, galletas, galletas saladitas,
[0:31:00.00]-[0:31:04.00]  ellos eran cubanos, ellos eran cubanos,
[0:31:04.00]-[0:31:06.00]  ellos vinieron allá porque en Cuba también,
[0:31:06.00]-[0:31:12.00]  allí ya tenía alguno, tenía capital, y puso la industria esa,
[0:31:12.00]-[0:31:15.00]  y hacían varias clases de galletas,
[0:31:15.00]-[0:31:19.00]  por eso, allí en el restaurante ese que yo comía,
[0:31:19.00]-[0:31:21.00]  que me llamaron para que me fuera allá,
[0:31:21.00]-[0:31:25.00]  que me darían trabajo, ese era un hombre también cubano,
[0:31:25.00]-[0:31:28.00]  que iba con una camioneta, con varios compás aquí ahora,
[0:31:28.00]-[0:31:32.00]  que traen así a las tiendas, y ese hombre iba también,
[0:31:32.00]-[0:31:37.00]  un día así, repartiendo galletas y vendiendo a los restaurantes,
[0:31:37.00]-[0:31:40.00]  comprando cosas, y así, y después,
[0:31:40.00]-[0:31:44.00]  después de eso, así estuvo,
[0:31:44.00]-[0:31:48.00]  después del medio año que estuvo allá, estuvo así, ahí, en las galletas,
[0:31:48.00]-[0:31:52.00]  y después, no, y antes,
[0:31:52.00]-[0:32:00.00]  cuando las galletas, no, es que antes de las galletas fui a una granja,
[0:32:00.00]-[0:32:04.00]  a una granja que era en italiano, y estuvo, no llegó el mes,
[0:32:04.00]-[0:32:09.00]  porque también igual, no podía dormir, ni podía dormir,
[0:32:09.00]-[0:32:13.00]  y comer, y trabajar, granja, y cuando no, al campo allí,
[0:32:13.00]-[0:32:19.00]  pero eso, a las 4 de la mañana, trabajando, a medio día no puedes dormir,
[0:32:19.00]-[0:32:23.00]  todo el día, eso no puede ser, yo digo, no, no, se termina al medio y eso,
[0:32:23.00]-[0:32:27.00]  y después los pollos ya no venían, y yo digo, y me pagó antes,
[0:32:27.00]-[0:32:31.00]  y ya está, ya no quiero saber, hombre, esto todo trabajar, y luego,
[0:32:31.00]-[0:32:35.00]  por una miseria, y nada más comíamos que espaguetis,
[0:32:35.00]-[0:32:40.00]  y entonces cuando me fui allí a las galletas,
[0:32:40.00]-[0:32:48.00]  después a un amigo mío le presenté allí al gerente de venta,
[0:32:48.00]-[0:32:53.00]  y entonces resulta que ya es cuando, yo también, después cuando fui,
[0:32:53.00]-[0:32:56.00]  fui a mi empleo, y a los dos años después yo, al ver eso,
[0:32:56.00]-[0:33:01.00]  yo digo, aquí nada más yo tenía afición, y yo me enseñó a conducir,
[0:33:01.00]-[0:33:06.00]  y me enseñé a conducir, y estuve trabajando, y como tenía toda la actividad,
[0:33:06.00]-[0:33:12.00]  después ya me cansé, y eso, y yo digo, no, voy a comprar un taxi,
[0:33:12.00]-[0:33:16.00]  y así ya tengo el trabajo seguro, porque lo que interesaba
[0:33:16.00]-[0:33:20.00]  era el trabajo seguro, porque si hoy además ganabas dos semanas,
[0:33:20.00]-[0:33:23.00]  estabas parado dos más, te comías todo lo que habías ahorrado,
[0:33:23.00]-[0:33:29.00]  y así, y así que me enseñó, y después ganabas algo más,
[0:33:29.00]-[0:33:32.00]  pero también lo gastabas, porque el coche siempre estaba,
[0:33:32.00]-[0:33:35.00]  cuando trabajabas tanto, porque allí no había puestos,
[0:33:35.00]-[0:33:40.00]  había algún puesto, pero aquí, allí igual que no había bandera,
[0:33:40.00]-[0:33:45.00]  bajada y subida, allí era el... ¿Cuánto me trata el sitio?
[0:33:45.00]-[0:33:50.00]  No, tres euros, tres bolívares, dos, cinco, y así era,
[0:33:50.00]-[0:33:53.00]  y pues mira, y conforme ibas pues lo agarrabas,
[0:33:53.00]-[0:33:56.00]  eso sí es lo que pasa, que yo ya conocía todo,
[0:33:56.00]-[0:33:59.00]  al ir yo vendiendo galletas por las calles, después al cobrar,
[0:33:59.00]-[0:34:04.00]  sabía todos los sitios hospitales, residencias, lo sabía yo todo,
[0:34:04.00]-[0:34:08.00]  y me decían a mí, dicen, bueno, usted es muy suyo,
[0:34:08.00]-[0:34:13.00]  y resulta que lo conozco todo, yo, sí, hombre, yo eso lo conozco todo,
[0:34:13.00]-[0:34:17.00]  que muchos de allí no lo conocían, sí, cosas, todas así, sí,
[0:34:17.00]-[0:34:26.00]  y así, y nada, mire, bueno, ya saben bastante, ¿no?
[0:34:26.00]-[0:34:29.00]  Ya hace media hora casi que estamos aquí,
[0:34:29.00]-[0:34:33.00]  y yo me voy, y yo me voy a ver a mi prima, si no...
[0:34:33.00]-[0:34:35.00]  No, es que no...
[0:34:35.00]-[0:34:37.00]  Que entonces...
[0:34:37.00]-[0:34:39.00]  Yo también...
[0:34:39.00]-[0:34:41.00]  Vale, gracias.
[0:34:41.00]-[0:34:43.00]  ¿Me van a dar un palo?
[0:34:43.00]-[0:34:45.00]  Claro, chica, suerte.
[0:34:45.00]-[0:34:47.00]  Muchas gracias.
[0:34:47.00]-[0:34:49.00]  A la ****, ¿no? ¿Y a de qué?
[0:34:49.00]-[0:34:51.00]  Mi hombre...
[0:34:51.00]-[0:34:54.00]  Es que me agrada mucho el que entes de hablar.
[0:34:54.00]-[0:34:56.00]  Me agrada mucho, no, me agrada.
[0:34:56.00]-[0:35:01.00]  Yo lo que soy, yo soy muy legal, yo soy muy legal.
[0:35:01.00]-[0:35:05.00]  Por eso no vas a ligar en casinaria, ¿a algo liga?
[0:35:05.00]-[0:35:08.00]  Porque resulta que la mayoría son legales,
[0:35:08.00]-[0:35:11.00]  y por detrás te raspan.
[0:35:11.00]-[0:35:13.00]  ¿Y a qué revés?
[0:35:13.00]-[0:35:15.00]  Sí, a ver, dios.
[0:35:15.00]-[0:35:17.00]  ¿A qué revés?
[0:35:17.00]-[0:35:18.00]  Pues sí.
[0:35:18.00]-[0:35:20.00]  ¿Y entonces allí en Venezuela conocí a su mujer?
[0:35:20.00]-[0:35:25.00]  No, eso es que resulta que se fuimos de ahí,
[0:35:25.00]-[0:35:29.00]  de aquí también hay un muchacho que está ahí,
[0:35:29.00]-[0:35:32.00]  que lo sale allá de casa, que éramos algo,
[0:35:32.00]-[0:35:35.00]  era un año, dos mayores.
[0:35:35.00]-[0:35:38.00]  Y había otro en esa casa blanca ahí,
[0:35:38.00]-[0:35:43.00]  ahí había una fustería y ahí también había un muchacho,
[0:35:43.00]-[0:35:45.00]  también tiene un año, dos más que yo,
[0:35:45.00]-[0:35:49.00]  que también se iba para Venezuela.
[0:35:49.00]-[0:35:52.00]  También tenía un amigo que venía por ahí vendiendo las taúdes
[0:35:52.00]-[0:35:54.00]  y todo eso, un representante,
[0:35:54.00]-[0:35:58.00]  y entonces resulta que iba y a quien le dijo que se iba a Venezuela
[0:35:58.00]-[0:36:02.00]  y él también pues, también se quería ir.
[0:36:02.00]-[0:36:05.00]  Y el otro amigo a mí también me lo digo,
[0:36:05.00]-[0:36:08.00]  tenía un amigo él, y amigo mío también,
[0:36:08.00]-[0:36:10.00]  que es en Barcelona, y él sabía,
[0:36:10.00]-[0:36:14.00]  dice, sí, yo lo arreglo y se vais allá,
[0:36:14.00]-[0:36:17.00]  es el único país que es, y lo arreglamos y fuimos para allá,
[0:36:17.00]-[0:36:22.00]  a Venezuela, y fue este muchacho y el otro también.
[0:36:22.00]-[0:36:27.00]  Este sí, este tuvo suerte, este hizo dinero,
[0:36:27.00]-[0:36:32.00]  resulta que el otro era vivo, el otro era vivo,
[0:36:32.00]-[0:36:34.00]  el representante aquí era vivo, aquí él era vivo,
[0:36:34.00]-[0:36:37.00]  aquí sí sabía, no como nosotros, que nosotros no sabemos nada,
[0:36:37.00]-[0:36:40.00]  porque yo le digo, iba al campo y eso,
[0:36:40.00]-[0:36:43.00]  y yo a la escuela no fui casi nada.
[0:36:43.00]-[0:36:46.00]  Y entonces resulta que,
[0:36:46.00]-[0:36:49.00]  me viene lo mismo alío por lo que estamos diciendo,
[0:36:49.00]-[0:36:53.00]  porque resulta que había dos mujeres aquí viejitas,
[0:36:53.00]-[0:36:55.00]  que tenían una casa ahí allá,
[0:36:55.00]-[0:36:58.00]  y tenían una finca grande, pero yo eso no sé,
[0:36:58.00]-[0:37:03.00]  y las pobres mujeres, los perdieron todo por fin,
[0:37:03.00]-[0:37:06.00]  porque no tenían hermanos, ni tenían a dos mujeres,
[0:37:06.00]-[0:37:08.00]  y mayores, yo que sé, no sé lo que,
[0:37:08.00]-[0:37:11.00]  y entonces estaban ahí, y bebían al clé,
[0:37:11.00]-[0:37:14.00]  y por el viernes que hace la noche larga,
[0:37:14.00]-[0:37:17.00]  mi mamá me mandaba a mi hermano y a mí,
[0:37:17.00]-[0:37:20.00]  y otros de aquí íbamos a ir, como ahora,
[0:37:20.00]-[0:37:25.00]  pues a ir como si fuera una academia, y repetíamos,
[0:37:25.00]-[0:37:28.00]  y eso sabíamos, lo poco que sabíamos, no comprende,
[0:37:28.00]-[0:37:31.00]  y resulta que no lo explicaba,
[0:37:31.00]-[0:37:34.00]  nos enseñaba, y no lo perdíamos la memoria,
[0:37:34.00]-[0:37:37.00]  como diría, sabíamos que en esa edad,
[0:37:37.00]-[0:37:40.00]  y eso pues pasa de otra manera,
[0:37:40.00]-[0:37:42.00]  y como son cosas así que te van a enseñar,
[0:37:42.00]-[0:37:45.00]  pues la mayoría de números ya no lo sabes,
[0:37:45.00]-[0:37:50.00]  por lo menos las tablas aún las sé, las multiplicaciones,
[0:37:50.00]-[0:37:53.00]  y eso de multiplicar también lo sé,
[0:37:53.00]-[0:37:58.00]  y de sumar y restar, y eso, pero me defiendo yo en eso,
[0:37:58.00]-[0:38:01.00]  nada más, lo que ya no lo perdí por esas mujeres,
[0:38:01.00]-[0:38:07.00]  y en el invierno pues una hora íbamos en esta señorita,
[0:38:07.00]-[0:38:10.00]  y le pagamos un poco, y mire, ustedes saben,
[0:38:10.00]-[0:38:14.00]  pero que hemos sufrido mucho en esa época,
[0:38:14.00]-[0:38:18.00]  mucho, mucho, mucho, y eso fue que fuimos para allá,
[0:38:18.00]-[0:38:22.00]  y yo, no es que me sabía mal, y yo fui para allá,
[0:38:22.00]-[0:38:27.00]  y lo mismo que, diga, diga,
[0:38:27.00]-[0:38:32.00]  y me fui para allá, y dije, voy a conocer el mundo,
[0:38:32.00]-[0:38:34.00]  y si no me vuelvo aquí, ya tengo esto,
[0:38:34.00]-[0:38:38.00]  y no lo pierdo yo, que le digo sinceramente,
[0:38:38.00]-[0:38:41.00]  a ellos lo le digo yo soy claro,
[0:38:41.00]-[0:38:47.00]  yo allá no hizo dinero, no hizo porque detrás de conocer a unos y otros,
[0:38:47.00]-[0:38:53.00]  na, na, y yo pues es lo que le digo ahora al amigo,
[0:38:53.00]-[0:38:56.00]  que resulta que yo eso, y no quiero engañar a nadie,
[0:38:56.00]-[0:39:00.00]  a mí me engañaban, y me lo creo, y me fastidiaban,
[0:39:00.00]-[0:39:04.00]  y por fin, y nada, perdí, y vine aquí,
[0:39:04.00]-[0:39:08.00]  bueno, vine al Alicante, yo estuve en Alicante,
[0:39:08.00]-[0:39:11.00]  mi hermano, que yo, mi hermano estaba aquí también,
[0:39:11.00]-[0:39:13.00]  el más pequeño que le he dicho antes,
[0:39:13.00]-[0:39:16.00]  y yo le mandé un dinero, y le digo,
[0:39:16.00]-[0:39:19.00]  mira, vete de allá, vete para Alicante, y ponme lo que sea,
[0:39:19.00]-[0:39:23.00]  y yo digo, y tú te defiendes mejor,
[0:39:23.00]-[0:39:26.00]  porque claro, aquí mismo, si se casaba,
[0:39:26.00]-[0:39:30.00]  o se recasaba aquí, mi madre no le podía de jornal,
[0:39:30.00]-[0:39:33.00]  y para comer, y todo eso, vivía allí en casa,
[0:39:33.00]-[0:39:35.00]  podía mantenerlo, pero no era eso,
[0:39:35.00]-[0:39:38.00]  y entonces, pues, se fue para allá,
[0:39:38.00]-[0:39:41.00]  y entonces yo allá, y ya por fin le dije que sí,
[0:39:41.00]-[0:39:45.00]  y dije, no, vente, yo tenía un poquito de dinero, poco,
[0:39:45.00]-[0:39:48.00]  y le mandé para comprar un local,
[0:39:48.00]-[0:39:52.00]  y él tenía comestibles, como ahora Mercadona,
[0:39:52.00]-[0:39:55.00]  o Carrefour, y lo que sea,
[0:39:55.00]-[0:39:59.00]  y aquí estaba, allá ya estaban estas compañías grandes,
[0:39:59.00]-[0:40:02.00]  y yo le dije, le decía allí a él,
[0:40:02.00]-[0:40:05.00]  y yo dije, mira, y ahí podemos vivir, sí o no, sí,
[0:40:05.00]-[0:40:08.00]  y entonces ya me fui para allí, y estuvo,
[0:40:08.00]-[0:40:10.00]  y vine para aquí, y yo compré el local,
[0:40:10.00]-[0:40:12.00]  y tuvo que venir en avión quince días,
[0:40:12.00]-[0:40:15.00]  y después compramos el local, y eso,
[0:40:15.00]-[0:40:19.00]  y después ya, para cuando ya hasta que era a punto por venir,
[0:40:19.00]-[0:40:22.00]  y cuando ya desde veinte quedas,
[0:40:22.00]-[0:40:26.00]  y vine ya, y estamos en el negocio ese,
[0:40:26.00]-[0:40:30.00]  y ahí estuvo tres años, pero yo ya viendo la cosa,
[0:40:30.00]-[0:40:34.00]  claro, de aquí no los hay, ya había aquí,
[0:40:34.00]-[0:40:38.00]  como en Alcoy, había, no sé,
