[0:00:00.00]-[0:00:02.00]  ¿No hay una silla?
[0:17:16.00]-[0:17:18.00]  Y eso lo vendía a esa gente.
[0:17:18.00]-[0:17:20.00]  ¿Y esos chozos tomaban la leche de las otras,
[0:17:20.00]-[0:17:22.00]  aunque no lo compran su madre?
[0:17:22.00]-[0:17:23.00]  Claro.
[0:17:23.00]-[0:17:25.00]  Pero como ha dicho usted, que los rechazaban.
[0:17:25.00]-[0:17:27.00]  No, pero a estos tres años les daban la mano.
[0:17:27.00]-[0:17:30.00]  Agarraban a la madre, y nos mandaban a los hijos,
[0:17:30.00]-[0:17:32.00]  a los chozos, aunque no sean suyos.
[0:17:32.00]-[0:17:33.00]  Ellos no los fieles.
[0:17:33.00]-[0:17:34.00]  La iglesia.
[0:17:34.00]-[0:17:37.00]  Si la tiene su cuenta, pues tienen que esperar ya que mame.
[0:17:37.00]-[0:17:40.00]  Y entonces ponían nunca agresiva las cabras.
[0:17:40.00]-[0:17:43.00]  Si se pone, le dan para acá y no fieles,
[0:17:43.00]-[0:17:46.00]  pero cuando los cuida la bella se llenan de leche.
[0:17:46.00]-[0:17:48.00]  Y hace falta que las ordeñe,
[0:17:48.00]-[0:17:50.00]  como no las ordeñaban,
[0:17:50.00]-[0:17:54.00]  ven que los cabritos le sacan la leche y pues ya se tienen quietas.
[0:17:54.00]-[0:17:56.00]  Se tienen quietas, aunque no los fieles.
[0:17:56.00]-[0:17:59.00]  Tienen que tenerlas agarradas, pero sí no más.
[0:17:59.00]-[0:18:01.00]  Si son suyos que tienen.
[0:18:01.00]-[0:18:04.00]  ¿Y matabotas alguno también para consumirlo,
[0:18:04.00]-[0:18:06.00]  para tomarse la carne o no?
[0:18:06.00]-[0:18:08.00]  ¿Algún choto de sus que tienen?
[0:18:08.00]-[0:18:10.00]  Y eso pasó toda la semana, dos o tres.
[0:18:10.00]-[0:18:13.00]  Lo comíamos aquí en mi casa.
[0:18:13.00]-[0:18:15.00]  Y ahora igual.
[0:18:15.00]-[0:18:17.00]  El sábado pasado fuimos a ir al campo
[0:18:17.00]-[0:18:20.00]  comiendo dos a la familia y maté un gorrel.
[0:18:20.00]-[0:18:23.00]  ¿Lo mató usted mismo?
[0:18:23.00]-[0:18:25.00]  ¿Y cómo se mató un gorrel?
[0:18:25.00]-[0:18:28.00]  Clavándole esta navaja en el suelo y sacándolo.
[0:18:28.00]-[0:18:31.00]  Y después aterrió costillas y a comerse.
[0:18:31.00]-[0:18:34.00]  ¿Y que le clavó una navaja especial o...
[0:18:34.00]-[0:18:36.00]  que es muy grande?
[0:18:36.00]-[0:18:39.00]  No, mami. Primero se le mete con un hierro.
[0:18:39.00]-[0:18:41.00]  Así, para que no padezca.
[0:18:41.00]-[0:18:44.00]  Se le mete así en la cita del cuello.
[0:18:44.00]-[0:18:46.00]  Se le mete un pinchazo, si queda,
[0:18:46.00]-[0:18:49.00]  y después para que de la sangre se le clavó la navaja.
[0:18:49.00]-[0:18:51.00]  ¿Por qué tiene que soltar la sangre?
[0:18:51.00]-[0:18:54.00]  Si no se puede rasgar la sangre en un cuerpo.
[0:18:54.00]-[0:18:57.00]  Y ya cuando se bajía, ya le tiraba toda la sangre
[0:18:57.00]-[0:19:00.00]  hasta su suelo y se deja que se seque.
[0:19:00.00]-[0:19:03.00]  Sobre él, para poder partir la carne.
[0:19:03.00]-[0:19:06.00]  Porque la carne está echabao, no puede partirla con la cuchilla.
[0:19:06.00]-[0:19:11.00]  Y un día está a verano, entonces se parten las costillas y se comen.
[0:19:11.00]-[0:19:13.00]  ¿Y cuánto tiempo hay que tener?
[0:19:13.00]-[0:19:17.00]  Siempre se notan por la tarde, porque es de toda la noche.
[0:19:17.00]-[0:19:21.00]  A la tarde. Y a otro día por la mañana ya se parte.
[0:19:21.00]-[0:19:25.00]  Si es grande. Hay que tener el lucito de que se es.
[0:19:25.00]-[0:19:28.00]  Porque la carne se seque bien.
[0:19:28.00]-[0:19:31.00]  Y luego lo parten y aprovechan ustedes el gorrel de usted.
[0:19:31.00]-[0:19:34.00]  La cabeza también.
[0:19:34.00]-[0:19:36.00]  Y la cabeza con su cocina.
[0:19:36.00]-[0:19:39.00]  La cabeza, la parte por dentro y en el horno,
[0:19:39.00]-[0:19:42.00]  bien clavada, y está bien.
[0:19:42.00]-[0:19:43.00]  Sí.
[0:19:43.00]-[0:19:46.00]  Los sesos y todo eso está bien.
[0:19:46.00]-[0:19:48.00]  Yo te lo pongo a carne de gorrego.
[0:19:48.00]-[0:19:50.00]  Yo seso de gorrego no he podido en la vida.
[0:19:50.00]-[0:19:52.00]  Y es que hay un...
[0:19:52.00]-[0:19:54.00]  Y es lo malo que hay.
[0:19:54.00]-[0:19:56.00]  Y el cabrito todavía es malo.
[0:19:56.00]-[0:19:59.00]  Y el gorrego está bien.
[0:19:59.00]-[0:20:03.00]  El gorrego también está bueno, pero el cabrito es que...
[0:20:03.00]-[0:20:07.00]  Pero ¿por qué? ¿Porque tiene la carne más blanda o más...
[0:20:07.00]-[0:20:10.00]  Más tierna y más gustoso.
[0:20:10.00]-[0:20:11.00]  Más gustoso.
[0:20:11.00]-[0:20:14.00]  ¿Y qué lo hacen ustedes? ¿Al horno siempre?
[0:20:14.00]-[0:20:16.00]  No, sí, en la brazo.
[0:20:16.00]-[0:20:19.00]  Las costillas en la brazo.
[0:20:19.00]-[0:20:21.00]  La cabeza se hace en el horno.
[0:20:21.00]-[0:20:24.00]  Con los sesos al horno.
[0:20:24.00]-[0:20:26.00]  Se abre bien abierto.
[0:20:26.00]-[0:20:28.00]  Se le echa el buen chorro a limón.
[0:20:28.00]-[0:20:30.00]  Y se pone una llanta en el horno.
[0:20:30.00]-[0:20:32.00]  Y se hace bien.
[0:20:32.00]-[0:20:34.00]  Pero ¿tienes un horno de leña o un horno normal?
[0:20:34.00]-[0:20:39.00]  No, ahí, en ese horno que hay ahí, te va a hacer y te va a dar.
[0:20:39.00]-[0:20:43.00]  Pones azúl mínimo y ahí se hace...
[0:20:43.00]-[0:20:45.00]  No, no, ahí hay atalento.
[0:20:45.00]-[0:20:47.00]  Si es de leña, pues también es.
[0:20:47.00]-[0:20:49.00]  En el horno que sea.
[0:20:49.00]-[0:20:51.00]  ¿En el campo si lo hace usted en la brazo de leña o...?
[0:20:51.00]-[0:20:53.00]  Sí, pero no la cabeza.
[0:20:53.00]-[0:21:00.00]  Con berros, huevos, se escotilla todo bien la costilla y en la parte de aquí se hace en la brazo.
[0:21:00.00]-[0:21:02.00]  ¿Y con la pierna qué hace?
[0:21:02.00]-[0:21:05.00]  La pierna hace mis alas tofado.
[0:21:05.00]-[0:21:07.00]  Pinsado.
[0:21:07.00]-[0:21:09.00]  La pierna enciende.
[0:21:09.00]-[0:21:12.00]  ¿Y eso da igual en qué época del año se mate?
[0:21:12.00]-[0:21:15.00]  Da igual, en todos los años.
[0:21:15.00]-[0:21:16.00]  En todos los años.
[0:21:16.00]-[0:21:18.00]  En la canilería se venden en el robo año.
[0:21:18.00]-[0:21:20.00]  En la casa pues igual.
[0:21:20.00]-[0:21:24.00]  ¿Y usted qué tiene? No se lo cuento y cuando me da idea.
[0:21:24.00]-[0:21:32.00]  Porque es que nos han dicho en algún sitio que antiguamente sólo se podía hacer cuando hacía frío.
[0:21:32.00]-[0:21:35.00]  Claro, va a andar más de frío.
[0:21:35.00]-[0:21:39.00]  Pero si esta hora hay cámaras, se mete a una cámara, nos tenemos una cámara,
[0:21:39.00]-[0:21:44.00]  cogemos el borrego, lo matamos, lo colgamos de cámara y por mañana está congelado.
[0:21:44.00]-[0:21:49.00]  Bueno congelado está, está fresco para poderlo partir bien.
[0:21:49.00]-[0:21:52.00]  Pero antiguamente, no, que no pasaba tampoco nada.
[0:21:52.00]-[0:21:59.00]  Lo mataba por la noche, lo dejaba en un sitio para que se ventilara bien con el aire de la noche y todo eso.
[0:21:59.00]-[0:22:05.00]  Y bueno, eso antiguamente, mi padre lo mataba antes que no había cámara cristiana.
[0:22:05.00]-[0:22:11.00]  Lo que pasa es que ahora entonces mataba un borrego y el año que nuestro en un pa' de diez.
[0:22:11.00]-[0:22:15.00]  Porque si no le estaba a perder, pues la cagaba ahí y todo eso.
[0:22:15.00]-[0:22:20.00]  Y ahora no, ahora mataba un borrego, lo hace mi tabarano, un borrego y no lo comemos todo.
[0:22:20.00]-[0:22:25.00]  Ha tenido un papel alba, lo mete a congelar, lo congela, oye que vamos a comer hoy.
[0:22:25.00]-[0:22:26.00]  ¿Cuánto tiempo?
[0:22:26.00]-[0:22:31.00]  Ya casi un mes, eso lo descongela y va a comer.
[0:22:31.00]-[0:22:33.00]  Pero no será rimo sabor, ¿no?
[0:22:33.00]-[0:22:41.00]  Es igual, una vez que lo descongela, hombre, lo que estamos acostumbrados, lo rompamos en un poste.
[0:22:41.00]-[0:22:45.00]  Pero es mejor hombre lo que comiste mujer.
[0:22:45.00]-[0:22:50.00]  Hoy si lo mata ayer, porque lo come hoy y mañana, no es tan especial.
[0:22:50.00]-[0:22:59.00]  Pero si lo congelas, una vez que lo descongeles, y eso es que también se nota un poco el que los demas nos dan.
[0:22:59.00]-[0:23:02.00]  ¿Y los borrego de qué se alimentan?
[0:23:02.00]-[0:23:05.00]  Porque la leche y el queso, que es el que hay pa' allá.
[0:23:05.00]-[0:23:08.00]  ¿Y cuando son mayores comen queso todo el día?
[0:23:08.00]-[0:23:14.00]  No, hasta los 70 o 80 días.
[0:23:14.00]-[0:23:20.00]  A los 70 o 80 días, cuando viene un pelino de canales, lo matan.
[0:23:20.00]-[0:23:29.00]  Si no se los moro, los moro no tienen nada que comer hoy, y los borrego un año, y tienen que andar a cogerle.
[0:23:29.00]-[0:23:34.00]  Pero nosotros, yo a mí me las he semado como borrego mayor aquí, pero no lo hago.
[0:23:34.00]-[0:23:35.00]  ¿Sí?
[0:23:35.00]-[0:23:36.00]  Yo pido el tiempo.
[0:23:36.00]-[0:23:38.00]  Porque ya está muy duro.
[0:23:38.00]-[0:23:42.00]  Claro, está duro, y es el que alimenta más la carne, que está más hecha.
[0:23:42.00]-[0:23:49.00]  Pero porque eso es más gusto, más gusto, generaciones que hay, los moros, carneros, eso, un plazo, los mata.
[0:23:49.00]-[0:23:58.00]  Nosotros si nos pasa 10 kilos, vamos allá con borrego y digo sí, los mato antes que se granen, no lo venda.
[0:23:58.00]-[0:24:00.00]  ¿Hace que se que es?
[0:24:00.00]-[0:24:02.00]  Hace que se granen, que se hagan más viejos.
[0:24:02.00]-[0:24:04.00]  Ah, eso se dice que se granen.
[0:24:04.00]-[0:24:07.00]  Se han más mayor.
[0:24:07.00]-[0:24:11.00]  Y pero yo se no deja a usted ninguno que pase más de 10 kilos, y se los mata.
[0:24:11.00]-[0:24:14.00]  Yo antes de 10 kilos los mato, los que son para mí.
[0:24:14.00]-[0:24:18.00]  Y los carniteros, pues se los llevan de 11, 11 o 12.
[0:24:18.00]-[0:24:21.00]  No, la gente está también así, la gente quiere carne tierna.
[0:24:21.00]-[0:24:28.00]  Y yo, no las carniterías, cuando eso, y me dice, no se pasen de 12 kilos que no lleguen.
[0:24:28.00]-[0:24:30.00]  De 10 a 12.
[0:24:30.00]-[0:24:33.00]  Que tenga 11, 10, 11, y así es como la vida de los niños.
[0:24:33.00]-[0:24:41.00]  Aquí, por lo menos aquí, por allá te digo, los morros estos, los llevan las borregas viejas y los...
[0:24:41.00]-[0:24:43.00]  Pero vienen aquí a comprarla también.
[0:24:43.00]-[0:24:45.00]  Claro que vienen. Yo no les vendo ninguna.
[0:24:45.00]-[0:24:55.00]  No, no les vendo porque un amigo mío de los cantarillos, que es carnitero, bueno, tiene su hijo, no es carniterio, de mi edad, ya habría estado viviendo.
[0:24:55.00]-[0:25:03.00]  Y tenía a los borregos que no podían matar, se les hacían más viejos y ya se los vendían los morros.
[0:25:03.00]-[0:25:05.00]  Iban los morros a ir a comprarse.
[0:25:05.00]-[0:25:10.00]  Y este año pasado, la Pacua tenía carros, se los vendía carros.
[0:25:10.00]-[0:25:13.00]  Y estaba picado en el mes, pero los morros se ve que vieron.
[0:25:13.00]-[0:25:15.00]  El cabalento lo tenía por allí.
[0:25:15.00]-[0:25:18.00]  Y este año pasado tenía más de 30.
[0:25:18.00]-[0:25:21.00]  Para Pacua, los mataron, se los vendían.
[0:25:21.00]-[0:25:24.00]  Y creo que yo ya estoy aquí, a por eso te pido que te lo diga.
[0:25:24.00]-[0:25:26.00]  Ah, sí.
[0:25:26.00]-[0:25:28.00]  Y los perros las puestas se los llevaron.
[0:25:28.00]-[0:25:32.00]  Y si ya le entran morros, ni yo, no las he vendido.
[0:25:34.00]-[0:25:41.00]  Yo cuando me sacan una vieja que lleva un picarga o eso, tengo un canillero muy barato.
[0:25:41.00]-[0:25:43.00]  Con esto vale 60 o 80 euros.
[0:25:43.00]-[0:25:45.00]  Y ahí me dan 20.
[0:25:45.00]-[0:25:47.00]  ¿20 euros nada más por un borrego?
[0:25:47.00]-[0:25:48.00]  Por una borrega vieja.
[0:25:48.00]-[0:25:49.00]  Ah, por una vieja.
[0:25:49.00]-[0:25:54.00]  Y entonces pues yo prefiero dar 20 y que no vaya nadie a mi gorra, a donde me originen ahí.
[0:25:54.00]-[0:25:56.00]  Me dan una noche y me roban.
[0:25:56.00]-[0:25:58.00]  Y después de ver eso, yo estaba tan ámbito.
[0:25:58.00]-[0:26:00.00]  Porque las tiene usted en mitad del campo, ¿o tú?
[0:26:00.00]-[0:26:01.00]  Claro.
[0:26:02.00]-[0:26:04.00]  ¿Cerdo también tenía usted?
[0:26:04.00]-[0:26:05.00]  Cerdo.
[0:26:05.00]-[0:26:06.00]  Cerdo no estaba aquí.
[0:26:06.00]-[0:26:08.00]  No, cerdo tenía antes.
[0:26:08.00]-[0:26:11.00]  Cuando yo vivía, yo tenía una china y un chino.
[0:26:11.00]-[0:26:13.00]  Un machismo.
[0:26:13.00]-[0:26:17.00]  Y todos los que nacían, ellos comían.
[0:26:17.00]-[0:26:21.00]  Cada tres o cuatro meses matábamos uno.
[0:26:21.00]-[0:26:23.00]  ¿Cada cuatro meses se puede matar?
[0:26:23.00]-[0:26:24.00]  No.
[0:26:24.00]-[0:26:28.00]  Mataba uno ahora y aquí tres meses, uno por ahí, pues el otro.
[0:26:28.00]-[0:26:30.00]  Y matábamos todos los chinos.
[0:26:30.00]-[0:26:34.00]  Pero ya mi mujer se murió y ya dejé la matanza.
[0:26:34.00]-[0:26:36.00]  Y ya el chino no muere.
[0:26:36.00]-[0:26:39.00]  ¿Y cómo era una vacanza de cerdo?
[0:26:39.00]-[0:26:44.00]  Pues se mataba el cerdo allí con la que veían el humo y el corral, a la mitad del pueblo y se lo caía abajo.
[0:26:44.00]-[0:26:47.00]  ¿Ah sí? ¿Por qué?
[0:26:47.00]-[0:26:48.00]  Fuertome.
[0:26:50.00]-[0:26:55.00]  El día llego a Lumbre, con un brazo de cinta alto y todo lo que llegaba, digo, ¡por tal!
[0:26:55.00]-[0:26:57.00]  ¡Allá somos nosotros!
[0:26:57.00]-[0:26:59.00]  ¿Que te invitaba otro pueblo?
[0:26:59.00]-[0:27:00.00]  No, si no me tengo lo indicado.
[0:27:00.00]-[0:27:03.00]  Cuando veía el humo allí, volvía y me tocó tanto.
[0:27:03.00]-[0:27:04.00]  Vamos los pa' allá.
[0:27:04.00]-[0:27:06.00]  ¿Pero por qué cuando me dijeron que no lo sabía?
[0:27:06.00]-[0:27:11.00]  Porque volvían, volvían y como sabían, o por lo menos las fechas que...
[0:27:11.00]-[0:27:15.00] ...adios que subían por aquí y dijeron, ese va a caer la semana que viene.
[0:27:15.00]-[0:27:19.00]  Pues ya él lo subió y le tocó tanto la juventud para que iba a comer.
[0:27:19.00]-[0:27:24.00]  ¿Pero el fuego lo necesitaba usted para matar al cerdo o para cocinarlo?
[0:27:24.00]-[0:27:26.00]  Para cocinarlo...
[0:27:26.00]-[0:27:32.00] ...el cerdo lo pelábamos con una botella de sal en un pan.
[0:27:32.00]-[0:27:38.00]  La lumbre esa que sale se iba quemando, sumerrando en los perros.
[0:27:38.00]-[0:27:40.00]  Y después ya se abría y se partía.
[0:27:40.00]-[0:27:44.00]  ¿Y eso es lo que oía la gente y corría para allá cuando quemaba?
[0:27:44.00]-[0:27:46.00]  La gente no oía eso.
[0:27:46.00]-[0:27:51.00]  Era el sujarreo y daba un perro muy grande y se apagaban todos los perros.
[0:27:51.00]-[0:27:57.00]  ¿Y como para matar al cerdo es igual que al borreco se hace igual o no?
[0:27:57.00]-[0:27:59.00]  ¿Y también lo hacía usted solo?
[0:27:59.00]-[0:28:03.00]  No, eso ya era ya un matachile que venía, sino yo no.
[0:28:03.00]-[0:28:06.00]  ¿Que venía del pueblo o de dónde?
[0:28:06.00]-[0:28:11.00]  De uno que había aquí en Campo Queso y que ahora ya salía sumergiando.
[0:28:11.00]-[0:28:15.00]  Pero ese era canicero y mataba al cerdo y luego subía.
[0:28:15.00]-[0:28:17.00]  Entonces íbamos a matar al borreco.
[0:28:17.00]-[0:28:20.00]  ¿Y lo llamaban ustedes aquí matachiles?
[0:28:20.00]-[0:28:23.00]  Sí, nosotros íbamos a matachiles.
[0:28:23.00]-[0:28:27.00]  Y entonces yo les decía a ellos, pues por la semana que viene quiero matar a un cerdo.
[0:28:27.00]-[0:28:31.00]  Dejáme los cuantas ríos, que no tengo río con mandar y no tengo río.
[0:28:31.00]-[0:28:35.00]  Y usted ayudaba a matarlo.
[0:28:35.00]-[0:28:38.00]  Pero había que haber gente para sujetárselo.
[0:28:38.00]-[0:28:42.00]  Deberían echarle una mesa, que teníamos un gran, una mesa de sangre fuerte.
[0:28:42.00]-[0:28:46.00]  Se echaba el cerdo encima, se echaba una sopa por encima de él,
[0:28:46.00]-[0:28:50.00]  se estuvo obligando mucho, se nosetaba y después de puntarles,
[0:28:50.00]-[0:28:52.00]  y enganchamos un cerdo.
[0:28:52.00]-[0:28:53.00]  ¿Ah sí?
[0:28:53.00]-[0:28:55.00]  Lo montábamos tres o cuatro.
[0:28:55.00]-[0:28:58.00]  Y pegále, yo que sí nunca mataba.
[0:28:58.00]-[0:29:01.00]  Y pegále y entonces sí.
[0:29:01.00]-[0:29:06.00]  ¿Y con el cerdo, aparte de la carne, le hacían ustedes también morcilla o no?
[0:29:06.00]-[0:29:09.00]  Claro, una cartera estaba preparada año siempre.
[0:29:09.00]-[0:29:12.00]  ¿Una cartera por qué? Porque tiene que ser caliente.
[0:29:12.00]-[0:29:15.00]  Claro, una cartera hay que cogerla, se cuesta.
[0:29:15.00]-[0:29:18.00]  ¿Y con qué hacían ustedes aquí la morcilla?
[0:29:18.00]-[0:29:21.00]  Con las pepitas que se les echa.
[0:29:21.00]-[0:29:26.00]  O sea, piñones de esos pequeñitos, la sangre del cerdo,
[0:29:26.00]-[0:29:32.00]  y al montón de días de ensayo, no sé lo que les ensayó, un poquito, mucho.
[0:29:32.00]-[0:29:34.00]  ¿Y eso qué le hacían las mujeres?
[0:29:34.00]-[0:29:38.00]  Las mujeres y el matachín era la que traía las caritas.
[0:29:40.00]-[0:29:43.00]  ¿Y se echaban dentro de las tripas del cerdo o...?
[0:29:43.00]-[0:29:46.00]  No, las tripas, las mismas...
[0:29:46.00]-[0:29:49.00]  El cerdo era grande y quedaba ganado.
[0:29:49.00]-[0:29:54.00]  Sus tripas parían, pero tenían mucho trabajo para limpiarlas.
[0:29:54.00]-[0:29:57.00]  Y pues se lo pillaban.
[0:29:57.00]-[0:30:02.00]  Pero cuando no hubo eso, iban a las que me diría que incluían payas de guaca,
[0:30:02.00]-[0:30:08.00]  y de chino, que ya están con sal, están ya limpias, no es una que te da y haces las morcillas.
[0:30:08.00]-[0:30:11.00]  Y cuando no trabajaba tanto como yo, me las compraba.
[0:30:11.00]-[0:30:14.00]  ¿Por qué si las tiene que limpiar uno, qué tiene que hacer?
[0:30:14.00]-[0:30:17.00]  Pues a comerle a la nana al galiste, salgan de esto lo que llevan,
[0:30:17.00]-[0:30:20.00]  después con limón, y sí vienen muchas pa' en eso.
[0:30:20.00]-[0:30:25.00]  Y lo haría más el trabajo que lo que te costaba la tripa.
[0:30:27.00]-[0:30:30.00]  ¿Y aparte de morcillas qué más hacían ustedes con el cerdo?
[0:30:30.00]-[0:30:36.00]  Protifarra, morcón, de todo, de todo, de humanitas, de todo.
[0:30:36.00]-[0:30:38.00]  ¿Y jamones también?
[0:30:38.00]-[0:30:45.00]  Los jamones los mandaba yo a ganar, a que nos las seca, en un set de...
[0:30:45.00]-[0:30:53.00]  a la nube, y entonces con esto de ventadería, ¿ventadería se ve en esta?
[0:30:53.00]-[0:30:55.00]  No.
[0:30:55.00]-[0:30:59.00]  Ahí la vida de la nube está bajo comiendo ventadería nunca más.
[0:30:59.00]-[0:31:03.00]  ¿Y no busca la nube porque hay que ir? ¿Verece la pena?
[0:31:03.00]-[0:31:05.00]  Claro que se la va a ver.
[0:31:05.00]-[0:31:09.00]  Y eso, ese no va, tiene un secadero en Granada.
[0:31:09.00]-[0:31:16.00]  Es un chorrío, los meten en una cueva, seguro el mujer, y yo se los daba ahí.
[0:31:16.00]-[0:31:22.00]  Le ponía el cerdo, era suyo, se los llevaban y los sacaban.
[0:31:22.00]-[0:31:27.00]  ¿Y cómo los cerdo conservaba para mandarlos a Granada? ¿A pensar o algo?
[0:31:27.00]-[0:31:33.00]  No, si cuando los mataba, él tenía una cámara, con una nave ahí que tenía sal.
[0:31:33.00]-[0:31:38.00]  Y él los dejaba ahí hasta que tenía 30 o 40 o 50 jamones.
[0:31:38.00]-[0:31:45.00]  Pues llamaba, y tenía un camión de desafío blífico, y se los llevaban para otro lado.
[0:31:45.00]-[0:31:47.00]  Envueltos en esa roda.
[0:31:47.00]-[0:31:49.00]  Claro, entonces los llevaban al día, al día los llevaban.
[0:31:49.00]-[0:31:54.00]  Y ya los metían ahí, todos los días los llevaban y serían muy buenos.
[0:31:54.00]-[0:31:56.00]  Pero estarían ensalados, ¿no?
[0:31:56.00]-[0:32:00.00]  No, porque ahí están las aves de esos respondientes.
[0:32:00.00]-[0:32:09.00]  Tanto pesa el jamón, tanto se les pone. Que se hagan impregnido, pues los meten 4 kilos de sal.
[0:32:09.00]-[0:32:13.00]  Y los abandonan todas las aves, salen ensalados.
[0:32:13.00]-[0:32:17.00]  Yo ya llevo andando aquí, que son personas especialistas en eso.
[0:32:17.00]-[0:32:19.00]  Y saben que se ponen de cada jamón.
[0:32:19.00]-[0:32:23.00]  ¿Y aquí no lo hacían ustedes porque aquí el clima no sirve?
[0:32:23.00]-[0:32:26.00]  Aquí antiguamente mi padre situación.
[0:32:26.00]-[0:32:32.00]  Entonces llovía mucho, en aquel tiempo, hace 50 años, hacía frío.
[0:32:32.00]-[0:32:36.00]  Casi en tu tiempo mi padre los salaba ahí en su casa.
[0:32:36.00]-[0:32:39.00]  Luego, el mejor, porque nosotros nos traemos, ¿sí?
[0:32:39.00]-[0:32:42.00]  Porque los chinos no comían los piensos que comen ahora.
[0:32:42.00]-[0:32:49.00]  Nosotros teníamos mucho campo, porque hablábamos cebada, frío, panizos.
[0:32:49.00]-[0:32:53.00]  Y entonces mi padre le echaba a los que lo colo, natural.
[0:32:53.00]-[0:32:56.00]  Y los raígueras.
[0:32:56.00]-[0:33:00.00]  Y claro, entonces no comían las que los daba a tiempo.
[0:33:00.00]-[0:33:04.00]  Y mataban un chino de esos, los salaba mi padre y mi madre.
[0:33:04.00]-[0:33:10.00]  En un cofre que tenía grande, en una habitación así, donde tenían sal.
[0:33:10.00]-[0:33:16.00]  Luego sacados, los colgaban en la cámara, que corría frío en todo tiempo.
[0:33:16.00]-[0:33:21.00]  Y pegados, y luego, los quitaban con viento morir.
[0:33:21.00]-[0:33:27.00]  Y luego se iba así en el quinto vacío, cuando iban todos los obreros a cerrar con mi padre.
[0:33:27.00]-[0:33:31.00]  Y llevaban así como medio jamón de esos.
[0:33:31.00]-[0:33:33.00]  Y eso lo llevaban.
[0:33:33.00]-[0:33:35.00]  Se lo llevaban al campo.
[0:33:35.00]-[0:33:38.00]  Cuando llevaban la merienda, o cerradores.
[0:33:38.00]-[0:33:42.00]  Entonces, enganchaban, tostaban un jamón, una tira de esas, sin traga.
[0:33:42.00]-[0:33:46.00]  Y después le vendaban a todos los obreros que lo llevaban.
[0:33:46.00]-[0:33:48.00]  O buena comida en el agua, ¿no?
[0:33:48.00]-[0:33:50.00]  Claro.
[0:33:50.00]-[0:33:54.00]  Si les daba por eso, entonces en el tiempo lo hacieron,
[0:33:54.00]-[0:33:57.00]  claro todo el mundo quería cerrar ahí para ver.
[0:33:57.00]-[0:34:00.00]  Entonces había aquí un barrio que era en las cuatro esquinas.
[0:34:00.00]-[0:34:04.00]  Y todos los obreros se iban a ir a buscar trabajo.
[0:34:04.00]-[0:34:07.00]  Yo nací todo, desde cinta a seis, todo.
[0:34:07.00]-[0:34:10.00]  Y un día iba yo con mi padre y yo era asesino.
[0:34:10.00]-[0:34:17.00]  Y iba mi padre para allá, y dije, te voy a buscar cuatro o cinco días para que te acerques.
[0:34:17.00]-[0:34:20.00]  Y cuando íbamos para allá, cuando yo llegué, me dijeron,
[0:34:20.00]-[0:34:23.00]  porque ya han trabajado, pero ya no.
[0:34:23.00]-[0:34:26.00]  Y yo dije, ¿cuánto va a haber de buscar cinco o seis días para cerrar?
[0:34:26.00]-[0:34:28.00]  Y todos querían gastar.
[0:34:28.00]-[0:34:30.00]  Se han ido todos.
[0:34:30.00]-[0:34:32.00]  Unos veas, obreros.
[0:34:32.00]-[0:34:36.00]  Y bueno, por desayuno voy a ir al bar
[0:34:36.00]-[0:34:39.00]  y ya quedaré con un poco de mañana.
[0:34:39.00]-[0:34:42.00]  Llegamos allí, ¿cuánto va?
[0:34:42.00]-[0:34:45.00]  Y te necesito cuatro o cinco días.
[0:34:45.00]-[0:34:48.00]  Y yo dije, vamos a ver qué pasa.
[0:34:48.00]-[0:34:52.00]  Y me dijeron, los vamos a con el...
[0:34:52.00]-[0:34:55.00]  Y me dijeron, pero ya no vamos a estar ahí con ti.
[0:34:55.00]-[0:34:58.00]  No, si vas, te prometo que vas.
[0:34:58.00]-[0:35:00.00]  Yo dije, no, no, no, no, no.
[0:35:00.00]-[0:35:02.00]  Los vamos a con ti.
[0:35:02.00]-[0:35:05.00]  Cuatro días vas a tener, dice el pollo, al menos dos semanas.
[0:35:05.00]-[0:35:08.00]  Yo lo diría, dije, te lo hago en tres días.
[0:35:08.00]-[0:35:11.00]  Y no llevo ni de merenda ni de ordena.
[0:35:11.00]-[0:35:14.00]  Mañana los vamos a con ti.
[0:35:14.00]-[0:35:16.00]  Y dice, ¿y si no lo sientes?
[0:35:16.00]-[0:35:18.00]  Y yo le digo, somos siete.
[0:35:18.00]-[0:35:21.00]  Y yo le digo, no hay nada más cuatro o cinco.
[0:35:21.00]-[0:35:23.00]  Y dice, pues somos siete.
[0:35:23.00]-[0:35:26.00]  Y yo le digo, pues, si se lo sientes, pues llevártelo en tres días.
[0:35:26.00]-[0:35:29.00]  Y yo le decía, ¿algo en la hostia que no has encontrado a nadie?
[0:35:29.00]-[0:35:31.00]  Y tú te llevas siete, tío.
[0:35:31.00]-[0:35:33.00]  Y dice, pues, algo será.
[0:35:33.00]-[0:35:35.00]  Mi padre tenía la obre que quería limpia.
[0:35:35.00]-[0:35:37.00]  Pero porque la mujer era solo.
[0:35:37.00]-[0:35:40.00]  De verdad, padre, porque no hay esta obre que quería.
[0:35:40.00]-[0:35:42.00]  Y no lo obligaba.
[0:35:42.00]-[0:35:44.00]  Y había uno ese que lo buscó.
[0:35:44.00]-[0:35:47.00]  Que se lo llevaba a caba, con una caja.
[0:35:47.00]-[0:35:49.00]  A caba, en la huerta.
