[0:00:00.00]-[0:00:05.00]  No hagas preguntas comprometidas.
[0:16:25.00]-[0:16:26.00]  Cada eso.
[0:16:26.00]-[0:16:28.00]  Lo que nos cobraban al mes.
[0:16:28.00]-[0:16:31.00]  Si era una peseta como si era 150,
[0:16:31.00]-[0:16:33.00]  lo pagabas y ya estabas arreglada para todo el mes.
[0:16:33.00]-[0:16:35.00]  La traías y ya estabas a via.
[0:16:35.00]-[0:16:40.00]  Él se entraba ahí, que este chale era donde las metían en Antinao,
[0:16:40.00]-[0:16:44.00]  y él se ponía ahí en la puerta y cada cabra se iba a su sitio ella sola.
[0:16:44.00]-[0:16:46.00]  ¿Y cómo sabía de quién era cada cabra?
[0:16:46.00]-[0:16:50.00]  Porque todos conocemos a las personas, conocemos a los bichos.
[0:16:50.00]-[0:16:52.00]  ¿Cómo distinguían a las cabras?
[0:16:52.00]-[0:16:55.00]  Porque cada uno, yo que sé,
[0:16:55.00]-[0:17:00.00]  lo conocía bien por el pelo, o bien por la chula de ella,
[0:17:00.00]-[0:17:02.00]  o por lo que fuese, pues tú la conocías.
[0:17:02.00]-[0:17:04.00]  Y además ella te conocía también a ti.
[0:17:04.00]-[0:17:06.00]  ¿No ponían ninguna marca a las cabras?
[0:17:06.00]-[0:17:08.00]  No, entonces no se estilaba poner las coyales.
[0:17:08.00]-[0:17:10.00]  Ahora sí, pero entonces no.
[0:17:10.00]-[0:17:12.00]  ¿Y los pastores?
[0:17:12.00]-[0:17:15.00]  Además los pastores las llamaban cada una por su nombre.
[0:17:15.00]-[0:17:20.00]  Yo tuve una vez ovejas que eran de mi mujer, un anao, había muchas.
[0:17:20.00]-[0:17:23.00]  Y había un pastor que te veía de una cosa rara,
[0:17:23.00]-[0:17:25.00]  pero que era sin chico y era un chaval.
[0:17:25.00]-[0:17:29.00]  Que por ejemplo venían las ovejas a última hora
[0:17:29.00]-[0:17:31.00]  y se dejaban solas allí en Antinao.
[0:17:31.00]-[0:17:32.00]  Un momento.
[0:17:32.00]-[0:17:36.00]  Las cabras se solían tener una o dos en cada casa.
[0:17:36.00]-[0:17:40.00]  Se llevaban a la vez, porque de esa forma se solucionaba la cosa de leche.
[0:17:40.00]-[0:17:45.00]  Todos los años, el de las cabras tenía un macho.
[0:17:45.00]-[0:17:48.00]  Y se les echaba a la cabra, que decía,
[0:17:48.00]-[0:17:52.00]  y paría la cabra luego, pues un chivito o dos.
[0:17:52.00]-[0:17:56.00]  Que generalmente se mataban en las casas.
[0:17:56.00]-[0:18:00.00]  Y si no, pues a veces se vendían, pero a morir ordinario se mataban.
[0:18:00.00]-[0:18:05.00]  ¿Y para cuando echaban las cabras al macho tenían que pagar?
[0:18:05.00]-[0:18:09.00]  No, porque el macho le tenía y iba allá con esa condición.
[0:18:09.00]-[0:18:11.00]  El macho estaba en el medio de las cabras.
[0:18:11.00]-[0:18:17.00]  Y porque el macho en la oveja y en esa raza es lo más fino que hay.
[0:18:17.00]-[0:18:21.00]  Un macho, lo mismo que un carnero,
[0:18:21.00]-[0:18:27.00]  cubre a lo mejor a diez hembras y las dejas, se puede decir, embarazadas en un día.
[0:18:27.00]-[0:18:32.00]  Y así te lo hace con un espacio, a lo mejor en diez días le cien ovejas.
[0:18:32.00]-[0:18:35.00]  Claro, o sea que no había problemas de que una así y otra no.
[0:18:35.00]-[0:18:36.00]  No había problemas.
[0:18:36.00]-[0:18:38.00]  Si se volvían porque no estaban en condiciones,
[0:18:38.00]-[0:18:40.00]  pues si no era la primera vez o la segunda,
[0:18:40.00]-[0:18:42.00]  se volvían sueltas con él.
[0:18:42.00]-[0:18:47.00]  Y como el animal es, tiene más instinto que la persona.
[0:18:47.00]-[0:18:52.00]  Porque una hembra, un animal, cuando se levanta,
[0:18:52.00]-[0:18:55.00]  cuando se levanta es cuando se dice que está en condiciones,
[0:18:55.00]-[0:19:00.00]  es cuando procede, cuando la montan.
[0:19:00.00]-[0:19:03.00]  Y entonces es cuando se queda.
[0:19:03.00]-[0:19:10.00]  Y en lo contrario, si el macho va que es por el olor y cosas de esas,
[0:19:10.00]-[0:19:13.00]  no quiere que la suban, la monten.
[0:19:13.00]-[0:19:17.00]  Mira, lo que te decía yo, si tenían instinto.
[0:19:17.00]-[0:19:21.00]  Mira, teníamos nosotros a lo mejor 150 ovejas que eran de mi mujer.
[0:19:21.00]-[0:19:24.00]  Y venían las ovejas por la tarde.
[0:19:24.00]-[0:19:28.00]  Las echaban de comer y se las metían en el tinao y se dejaban solas.
[0:19:28.00]-[0:19:31.00]  Y otro día por la mañana, cuando llegaban,
[0:19:31.00]-[0:19:35.00]  porque como el parir era cosa de pocos días todas igual,
[0:19:35.00]-[0:19:37.00]  pues a lo mejor habían parido 10.
[0:19:37.00]-[0:19:40.00]  10 ovejas, ya tienes lo que te iba a decir.
[0:19:40.00]-[0:19:44.00]  Y aquel chico llegaba y echaban así, cocía un cordero,
[0:19:44.00]-[0:19:46.00]  y se le llevaba a aquella oveja.
[0:19:46.00]-[0:19:47.00]  O sea, sabía...
[0:19:47.00]-[0:19:53.00]  Y le decía yo, pero bueno, ¿cómo sabes tú que este bicho es de aquella oveja?
[0:19:53.00]-[0:19:56.00]  Y por la olisma, decía.
[0:19:56.00]-[0:19:58.00]  Y la olisma, ¿qué?
[0:19:58.00]-[0:20:04.00]  Y decía que por el olfato, que ningún cordero olía igual que otro.
[0:20:04.00]-[0:20:06.00]  Y las madres les pasaba igual.
[0:20:06.00]-[0:20:09.00]  Y el cordero olía igual que la madre.
[0:20:09.00]-[0:20:11.00]  Y así las cogía él.
[0:20:11.00]-[0:20:15.00]  Porque es que los corderos veías y tú llegabas y yo llegaba y decía,
[0:20:15.00]-[0:20:19.00]  bueno, poní el cordero, que lo oíeste parecía en el mismo.
[0:20:19.00]-[0:20:22.00]  Y él sí lo sacaba así, por eso te digo que...
[0:20:22.00]-[0:20:27.00]  Y los animales pues era eso el instinto, lo que haces como una persona.
[0:20:27.00]-[0:20:30.00]  Que tú te echas una novia y siempre quieres.
[0:20:30.00]-[0:20:34.00]  No, entonces, tenía que ser que es su punto.
[0:20:34.00]-[0:20:38.00]  Y eso lo tienes en todos los bichos.
[0:20:38.00]-[0:20:41.00]  ¿Y hacían queso con la leche?
[0:20:41.00]-[0:20:45.00]  No, en las casas no, porque como era tampoco queso,
[0:20:45.00]-[0:20:50.00]  había gente que compraba la leche, pero la leche generalmente el queso se hacía de oveja.
[0:20:50.00]-[0:20:52.00]  Por aquí.
[0:20:52.00]-[0:20:55.00]  Que es el queso castellano, el manchego que dicen.
[0:20:55.00]-[0:20:58.00]  Y entonces hacían queso con eso.
[0:20:58.00]-[0:21:04.00]  Luego, pues el desperdicio del queso, que el queso le echaban una cosa a la leche,
[0:21:04.00]-[0:21:08.00]  se calentaba, y le echaban una cosa que llamaban cuajos.
[0:21:08.00]-[0:21:11.00]  Cuajos que ahora los compran.
[0:21:11.00]-[0:21:14.00]  Ya hecho, viene del laboratorio, ¿sí es eso?
[0:21:14.00]-[0:21:19.00]  Pero antes había una hierba que los pastores antiguos sabían que esta hierbasita
[0:21:19.00]-[0:21:22.00]  pues era el cuajo, y echando pues ¿qué te voy a decir?
[0:21:22.00]-[0:21:26.00]  Pues a lo mejor una cosa así como una uña, con una perra así,
[0:21:26.00]-[0:21:29.00]  pues había 200 litros de leche y se cuajaba.
[0:21:29.00]-[0:21:31.00]  Ya, ya, ¿y era de una planta?
[0:21:31.00]-[0:21:34.00]  De una planta, generalmente venía de una planta.
[0:21:34.00]-[0:21:38.00]  Ahora yo no sé ya por el prohibimiento que la hacen, porque ya se compra.
[0:21:38.00]-[0:21:42.00]  Y eso lo hacían en pleitas, hacían una pleita,
[0:21:42.00]-[0:21:47.00]  y ahora se hacen los quesos en una lata donde antes de empezar saben que sale un queso con tres kilos.
[0:21:47.00]-[0:21:54.00]  Pero entonces no, se hacía una pleita y como aquello se cuajaba, pues iban echando.
[0:21:54.00]-[0:21:58.00]  Iban apretando así las mujeres, apretando, y se le ponía un peso,
[0:21:58.00]-[0:22:02.00]  una cosa así encima y un peso, y a base de este además,
[0:22:02.00]-[0:22:09.00]  y salía un líquido que era el suero, que era como si dijéramos ahora la leche desnatada, ¿sabes?
[0:22:09.00]-[0:22:13.00]  Que era el suero, que eso se vendía, o bien para cebada de animales,
[0:22:13.00]-[0:22:17.00]  y hasta inclusive como se vivía tan mal, y eso era una cosa muy barata,
[0:22:17.00]-[0:22:20.00]  pues llegaba a lo mejor una mujer que tenía tres o cuatro chicos,
[0:22:20.00]-[0:22:25.00]  y decían a la hija, detén casi a fulana, que era la que hacían el queso,
[0:22:25.00]-[0:22:29.00]  y dije, te haré quince céntimos de suero, quince céntimos de suero a lo mejor eran dos litros,
[0:22:29.00]-[0:22:35.00]  y su madre lo cocía con pan y cocinera, y así hacían la comida.
[0:22:35.00]-[0:22:39.00]  Porque entonces yo siendo chico me acuerdo, yo me críe bien,
[0:22:39.00]-[0:22:44.00]  pero yo veía que entonces se pasaba mucho hambre, pero mucho hambre,
[0:22:44.00]-[0:22:49.00]  con un espíritu de sacrificio y una ilusión que tenía la gente, que hoy es increíble.
[0:22:49.00]-[0:22:50.00]  Trabajaba mucho.
[0:22:50.00]-[0:22:55.00]  Los míos chicos por menos de la que por exceso de dinero son drogados,
[0:22:55.00]-[0:23:00.00]  y por tomar secupatas y cosas de esas así que no se sabe lo que era,
[0:23:00.00]-[0:23:07.00]  pero entonces yo recuerdo de chicos, yo no fui nunca, pero a otros chicos que se juntaban conmigo,
[0:23:07.00]-[0:23:12.00]  que habíamos un poco de interés en mandar a los chicos a las escuelas,
[0:23:12.00]-[0:23:16.00]  y ahora llegaba este tiempo por ejemplo el mes de febrero que se habían cogido las olivas,
[0:23:16.00]-[0:23:20.00]  y su madre le decía, anda hijo, y yo esa, a rebuscar,
[0:23:20.00]-[0:23:26.00]  iban a rebuscar las citunas y traía uno a lo mejor un kilo, que valía a lo mejor quince céntimos,
[0:23:26.00]-[0:23:32.00]  pero vamos generalmente pues un kilo de uno, un kilo del otro, y así diez días pues se habían juntado cuarenta kilos,
[0:23:32.00]-[0:23:40.00]  lo llevaban a un molino, hasta los mismos fabricantes, los molinos eran las fabricantes de aceite,
[0:23:40.00]-[0:23:46.00]  abusaban un poco de eso también, y si el ordinario daban un veinte por ciento, pues allá la lavaban el dieciocho,
[0:23:46.00]-[0:23:52.00]  y luego pues decían, ah hijo, así juntamos un poco de aceite y hacemos hornazos.
[0:23:52.00]-[0:23:58.00]  Los hornazos era cuando viene la Pascua de Resurrección, que aquí había costumbre de hacer hornazos,
[0:23:58.00]-[0:24:03.00]  que ahora ya no se hace nadie y los pasteleros, las panaderías lo tienen todos los días,
[0:24:03.00]-[0:24:06.00]  pero entonces el que lo tenía lo comía y el que no lo comía.
[0:24:06.00]-[0:24:07.00]  ¿Cómo eran esos hornazos?
[0:24:07.00]-[0:24:17.00]  Los hornazos pues una cosa que hacían, que echaban huevo, echaban leche, lleva aceites, con harina de trigo se amasa,
[0:24:17.00]-[0:24:25.00]  y luego después pues eso lo metían en el horno y estaba buenísimo,
[0:24:25.00]-[0:24:30.00]  que ahora mismo se hace y se hace peor que entonces, pero vamos, que es lo típico de este pueblo.
[0:24:30.00]-[0:24:34.00]  Pero ahora hacen esto en las panaderías, ¿no?
[0:24:34.00]-[0:24:39.00]  Sí, ahora eso lo hacen las panaderías todos los días, y tú llegas y dices, una torta de hornazo,
[0:24:39.00]-[0:24:45.00]  y te valen treinta, cuarenta pesetas las que sean, y te lo dan, antes echaban, se hacían las tortas,
[0:24:45.00]-[0:24:49.00]  y se echaban en los moldes de donde se hacía el chocolate,
[0:24:49.00]-[0:24:57.00]  porque entonces había chocolate de la España, que era una cosa de champo, una cosa así,
[0:24:57.00]-[0:25:02.00]  que venía a lo mejor hecho cuatro hornazos por uno y cuatro por otro que eran muchos,
[0:25:02.00]-[0:25:10.00]  y eso venía y era el chocolate, de lo que hacían las fábricas, como las fábricas en la España,
[0:25:10.00]-[0:25:14.00]  que era un chocolate las ruchadas y cosas de esas de ahí.
[0:25:14.00]-[0:25:21.00]  Y de eso, pues de los viejos de esos se hacían las latas, se rellenaban y ya era el hornazo,
[0:25:21.00]-[0:25:23.00]  pero que estaba buenísimo.
[0:25:23.00]-[0:25:32.00]  Del que te voy a decir, llegaba por ejemplo la vendimia, y entonces de las uvas que se quedaban por el campo,
[0:25:32.00]-[0:25:36.00]  de los grumitos pequeños, calpones que decíamos nosotros, pues iba la gente lo mismo,
[0:25:36.00]-[0:25:44.00]  y ya gustaba a lo mejor 100 kilos, se pisaban, se sujaban bien, se daban en una cuerda y se apretaban,
[0:25:44.00]-[0:25:47.00]  total que quedara así y se sacara el líquido.
[0:25:47.00]-[0:25:51.00]  Luego el líquido ese, pues lo cocían y era el arrope.
[0:25:51.00]-[0:25:55.00]  El arrope era una cosa por el estilo de la miel ahora.
[0:25:55.00]-[0:26:04.00]  Y entonces se echaba, cuando eso estaba cociendo, pues se echaba calabaza, pero calabaza muy dura,
[0:26:04.00]-[0:26:11.00]  por ejemplo membrillos, se les troceaba, se les enviaba, se les quitaba la cáscara, higos sin que estuvieran maduros,
[0:26:11.00]-[0:26:16.00]  y eso cocía ahí y luego eso estaba buenísimo.
[0:26:16.00]-[0:26:21.00]  Eso claro, si había 100 kilos, pues a lo mejor se reducía en 8.
[0:26:21.00]-[0:26:22.00]  Ya, ya, ya, ya.
[0:26:22.00]-[0:26:23.00]  Pero que...
[0:26:23.00]-[0:26:26.00]  Y eso era para beber cada casa, ¿no?
[0:26:26.00]-[0:26:31.00]  No, eso era la merienda, llegaba ahí a lo mejor una mujer y...
[0:26:31.00]-[0:26:35.00]  para que no... para que los chicos, yo más les quiero merendar,
[0:26:35.00]-[0:26:43.00]  tomaban un poquito de unas tazas, pero a lo mejor le echaban un poco de arrope y le daban pan y ahí mojaban.
[0:26:43.00]-[0:26:48.00]  Y si eran 4 o 5 hermanos, pues por merendar había que atajar más que para uno.
[0:26:48.00]-[0:26:53.00]  Y así, ahí se llevaba la calabaza a un gato que después, bueno, y a mí no me toca y era así.
[0:26:53.00]-[0:26:57.00]  ¿Y entonces hacían ustedes el aceite?
[0:26:57.00]-[0:27:03.00]  Bueno, el aceite lo hacían las fábricas, como se hacía ahora, vamos.
[0:27:03.00]-[0:27:05.00]  Ya, pero ustedes cogían la aceituna...
[0:27:05.00]-[0:27:06.00]  Y se llevaba.
[0:27:06.00]-[0:27:09.00]  Se llevaba. Entonces, ustedes llevaban la aceituna y les daban una parte o como...
[0:27:09.00]-[0:27:16.00]  Si te daban, por ejemplo, si salía de aceite el 20% del peso de la aceituna,
[0:27:16.00]-[0:27:20.00]  pues a lo mejor te daban el 17 y el 3% ese se quedaba fabricante.
[0:27:20.00]-[0:27:22.00]  Ya, y les quedaban la parte.
[0:27:22.00]-[0:27:26.00]  Sí, llevaban una parte. Y así vivía la gente.
[0:27:26.00]-[0:27:29.00]  ¿Y cómo iban a recoger aceitunas?
[0:27:29.00]-[0:27:35.00]  Pues las aceitunas, pues con unos borricos o mulas, unos costales que se echaban
[0:27:35.00]-[0:27:38.00]  y una vara que se llevaba, que se lavaba aquí.
[0:27:38.00]-[0:27:42.00]  Entonces, subían con un palillo arriba y las aceitunas que hay en los tendales,
[0:27:42.00]-[0:27:45.00]  se cogían ahí luego los tendales y las que estaban por el suelo,
[0:27:45.00]-[0:27:48.00]  pues iban mujeres y chicos dentro recogiéndolas.
[0:27:48.00]-[0:27:49.00]  Ya, ya, ya.
[0:27:49.00]-[0:27:51.00]  Recogían una a una las aceitunas.
[0:27:51.00]-[0:27:55.00]  ¿Y cómo hacían? ¿Cada uno de esos olivares o había cuadrillas o cómo se realizaban?
[0:27:55.00]-[0:27:56.00]  Y hacían cuadrillas.
[0:27:56.00]-[0:28:00.00]  También alguien tenía unas olivas y se las podía arreglar el suelo
[0:28:00.00]-[0:28:02.00]  y otras pues iban a ganar el jornal.
[0:28:02.00]-[0:28:08.00]  Les pagaban, por ejemplo, entonces a lo mejor dos o tres pesetas de lo que era el suelo
[0:28:08.00]-[0:28:11.00]  y así vivían. Iban a trabajar con otros.
[0:28:11.00]-[0:28:14.00]  Y luego cuando ya se había cogido toda aceituna,
[0:28:14.00]-[0:28:16.00]  es cuando venía la rebuja que te digo yo que era cuando...
[0:28:16.00]-[0:28:18.00]  Ya, que era después.
[0:28:18.00]-[0:28:20.00]  Cuando iban los chicos.
[0:28:20.00]-[0:28:24.00]  Pero, ¿cómo se realizaban las cuadrillas? ¿Había uno que era el capataz o...?
[0:28:24.00]-[0:28:26.00]  Siempre había uno. Si estaba el dueño, pues ese era el mayoral.
[0:28:26.00]-[0:28:31.00]  Y si era una casa rica, pues a lo mejor iban diez o doce y estaba el mayoral.
[0:28:31.00]-[0:28:33.00]  El mayoral, podríamos decir, el encargado.
[0:28:33.00]-[0:28:35.00]  Uno que hacía cabeza.
[0:28:35.00]-[0:28:39.00]  Y desde tú haz esto, tú haz lo otro y tampoco había...
[0:28:39.00]-[0:28:41.00]  ¿Y cómo pagaban? ¿Por días o por zonas?
[0:28:41.00]-[0:28:42.00]  Se pagaban por días.
[0:28:42.00]-[0:28:45.00]  ¿Por días? Es decir, los que uno recogiera en un día...
[0:28:45.00]-[0:28:48.00]  Se pagaban, no creas que se... Entonces trabajaban de estajo.
[0:28:48.00]-[0:28:53.00]  Se pagaban por días. Venía yo, he conocido aquí a la gente vegana, dos pesetas todos los días.
[0:28:53.00]-[0:29:00.00]  Luego ya, lo más que conocí yo fueron cuatro pesetas de sueldo antes de la guerra.
[0:29:00.00]-[0:29:04.00]  Cuando vino la República, que subieron los sueldos y las relaciones.
[0:29:04.00]-[0:29:06.00]  Pero entonces vivían mal.
[0:29:06.00]-[0:29:09.00]  Entonces hizo el tiempo que duró la guerra.
[0:29:09.00]-[0:29:12.00]  Porque por así había los maestros de escuela, por ejemplo.
[0:29:12.00]-[0:29:15.00]  Verían las trampasas más hambre que un maestro de escuela.
[0:29:15.00]-[0:29:20.00]  Y era verdad, ganaba un maestro de escuela a lo mejor 150 pesetas.
[0:29:20.00]-[0:29:23.00]  Y tenía que criarte a la familia. Y tú dime con eso...
[0:29:23.00]-[0:29:24.00]  No, no, no.
[0:29:24.00]-[0:29:25.00]  Si tienes, si ya hay.
[0:29:25.00]-[0:29:26.00]  Sí, si hay otra, si ya hay.
[0:29:26.00]-[0:29:32.00]  Mira, yo conocí aquí una casa que además eran unas excelentes personas.
[0:29:32.00]-[0:29:34.00]  Y eran cinco o seis chicos.
[0:29:34.00]-[0:29:37.00]  Y era una vecina de donde yo me criaba.
[0:29:37.00]-[0:29:41.00]  Y ganaba el marido dos pesetas cuando lo ganaba.
[0:29:41.00]-[0:29:44.00]  Y con eso tenía que sacar la mujer de la casa.
[0:29:44.00]-[0:29:45.00]  Ya, muy poco, ¿no?
[0:29:45.00]-[0:29:50.00]  Y tú fíjate, pues yo recuerdo que nosotros teníamos un taller.
[0:29:50.00]-[0:29:52.00]  Y entonces no existían los monos.
[0:29:52.00]-[0:29:54.00]  Monos que se llevan ahora para trabajar.
[0:29:54.00]-[0:29:55.00]  Bueno, no existían.
[0:29:55.00]-[0:29:59.00]  Eran pantalones azules, que podíamos decir los vaqueros de ahora.
[0:29:59.00]-[0:30:02.00]  Y chaquetas lo mismo, que no llevaban forro ni nada.
[0:30:02.00]-[0:30:05.00]  Y a mi padre, que era muy gordo, le pasaba la camisa.
[0:30:05.00]-[0:30:07.00]  Se las había en una medida en una casa en Madrid.
[0:30:07.00]-[0:30:09.00]  Porque iba con mucha prudencia a comprar material.
[0:30:09.00]-[0:30:11.00]  Porque teníamos un taller.
[0:30:11.00]-[0:30:13.00]  Y le hacían las chaquetas.
[0:30:13.00]-[0:30:19.00]  Y le cobraban siempre, pues a lo mejor valía, para él valía un claje 30 pesetas.
[0:30:19.00]-[0:30:21.00]  Esto a la medida, ¿eh?
[0:30:21.00]-[0:30:25.00]  Y luego para un chaval, un chico que estuviera de 16 o 17 años,
[0:30:25.00]-[0:30:28.00]  pues a lo mejor valía 7 pesetas.
[0:30:28.00]-[0:30:31.00]  Y a mi padre esa ponían a lo mejor 6.50 o 6 pesetas.
[0:30:31.00]-[0:30:33.00]  Y decía...
[0:30:33.00]-[0:30:36.00]  Y esa se la compraban este año para la función, para la fiesta.
[0:30:36.00]-[0:30:39.00]  Y yo dije, no, a este año ya no puedo comprar más.
[0:30:39.00]-[0:30:42.00]  El año que viene la compraré a Florencio a otro.
[0:30:42.00]-[0:30:44.00]  Y le digo que se vivía así.
[0:30:44.00]-[0:30:47.00]  Entonces la gente del pueblo de qué vivía, del campo sobre todo o no.
[0:30:47.00]-[0:30:49.00]  La gente del pueblo vivía del campo.
[0:30:49.00]-[0:30:50.00]  Eso era la...
[0:30:50.00]-[0:30:52.00]  En el fondo era del campo.
[0:30:52.00]-[0:30:53.00]  Y no derivaba del campo, talleres,
[0:30:53.00]-[0:30:55.00]  no, no, no, no.
[0:30:55.00]-[0:30:57.00]  No, no, no, no, no.
[0:30:57.00]-[0:30:59.00]  No, no, no, no, no, no.
[0:30:59.00]-[0:31:01.00]  No, no, no, no, no, no.
[0:31:01.00]-[0:31:03.00]  No, no, no, no, no.
[0:31:03.00]-[0:31:05.00]  Y si no derivaba del campo, talleres y cosas de esas,
[0:31:05.00]-[0:31:07.00]  como nosotros que teníamos un taller.
[0:31:07.00]-[0:31:08.00]  Un taller de...
[0:31:08.00]-[0:31:10.00]  Un taller de herlero, donde se hacían los carros,
[0:31:10.00]-[0:31:13.00]  se hacían los alados, todos los aperos de labor y eso.
[0:31:13.00]-[0:31:15.00]  Que ahora todos estos talleres han pasado,
[0:31:15.00]-[0:31:16.00]  pues hacer eso, las estructuras.
[0:31:16.00]-[0:31:19.00]  Esos eran los primos hermanos míos que tenían otro taller también
[0:31:19.00]-[0:31:21.00]  y ahora se dedicaban pues a eso.
[0:31:21.00]-[0:31:23.00]  Entonces hacían carros.
[0:31:23.00]-[0:31:25.00]  Y carros y alados, y...
[0:31:25.00]-[0:31:27.00]  Y ¿cómo hacían los carros?
[0:31:27.00]-[0:31:28.00]  ¿Sí?
[0:31:28.00]-[0:31:29.00]  ¿Cómo hacían los carros?
[0:31:29.00]-[0:31:31.00]  Pues con el hielo de hierro,
[0:31:31.00]-[0:31:33.00]  bueno, ya casi no lo conoceréis ni en contrografía.
[0:31:33.00]-[0:31:34.00]  ¡Paula!
[0:31:34.00]-[0:31:36.00]  Las ruedas llevaban un eje de hierro,
[0:31:36.00]-[0:31:40.00]  que es que llevaba rodamientos y es un tabaseo.
[0:31:40.00]-[0:31:42.00]  Y era como funcionaba eso.
[0:31:42.00]-[0:31:45.00]  Y era una rueda de madera que llevaban por fuera,
[0:31:45.00]-[0:31:47.00]  pues un aro de hierro,
[0:31:47.00]-[0:31:49.00]  que eso duró,
[0:31:49.00]-[0:31:52.00]  pues hasta que vino el general Primo de Liberación del Poder.
[0:31:52.00]-[0:31:56.00]  Y ya arregló las carreteras y eso estropeaba más las carreteras.
[0:31:56.00]-[0:32:02.00]  Y fue cuando exigió de un decreto de que los carros tenían que llevar las ruedas de goma.
[0:32:02.00]-[0:32:03.00]  Y ya cambiaron las ruedas.
[0:32:03.00]-[0:32:05.00]  Y ya se fueron cambiando las ruedas.
[0:32:05.00]-[0:32:08.00]  Y ¿había varias clases de carros?
[0:32:08.00]-[0:32:10.00]  Por ejemplo, si yo quería comprar un carro...
[0:32:10.00]-[0:32:12.00]  Carros más grandes y más pequeños.
[0:32:12.00]-[0:32:16.00]  Y claro carros que luego los donaban o a visioneros,
[0:32:16.00]-[0:32:18.00]  y depende del dinero que tuvieran, por ejemplo.
[0:32:18.00]-[0:32:22.00]  Carritos que venían a vender con tiendas de estos ambulantes,
[0:32:22.00]-[0:32:24.00]  pues siempre traían el mejor aviado.
[0:32:24.00]-[0:32:27.00]  Y pedía un carro para ir a vender.
[0:32:27.00]-[0:32:28.00]  Claro, claro.
[0:32:28.00]-[0:32:31.00]  Y había, por ejemplo, si yo quería comprar un carro, ¿podía encargarlo?
[0:32:31.00]-[0:32:33.00]  Sí, sí, yo llegaba y decía, había, ¿no?
[0:32:33.00]-[0:32:36.00]  Nosotros no le dedicábamos a mí, pero había varios.
[0:32:36.00]-[0:32:39.00]  Valía un carro a lo mejor mil pesetas, no creas tú.
[0:32:39.00]-[0:32:40.00]  Muchísimo, ¿no?
[0:32:40.00]-[0:32:43.00]  Y para hacer un carro, pues se pasaba por menos de nada.
[0:32:43.00]-[0:32:46.00]  ¿Cuánto que es eso que te manchas y lo soplas?
[0:32:46.00]-[0:32:49.00]  Que en un mes no sería un carro y había que pintarle,
[0:32:49.00]-[0:32:50.00]  y había que...
[0:32:50.00]-[0:32:54.00]  Como ahora si dijéramos un carrofero,
[0:32:54.00]-[0:32:57.00]  y entonces intervenía mucha gente, pero ayer llegábamos más,
[0:32:57.00]-[0:32:58.00]  ganábamos un poco más.
[0:32:58.00]-[0:32:59.00]  Sí, un poco.
[0:32:59.00]-[0:33:00.00]  ¿Te tardaba mucho en hacer un carro?
[0:33:00.00]-[0:33:05.00]  Pues sí, un carro tardaba a lo mejor en hacer entre tres o cuatro o veinte días.
[0:33:05.00]-[0:33:08.00]  Y valía mil pesetas, y a lo mejor costaba doscientas pesetas.
[0:33:08.00]-[0:33:10.00]  Claro, la madera, había que traer la madera.
[0:33:10.00]-[0:33:11.00]  La madera ahí.
[0:33:11.00]-[0:33:12.00]  ¿De dónde traían la madera?
[0:33:12.00]-[0:33:14.00]  ¿De aquí o...?
[0:33:14.00]-[0:33:15.00]  Por aquí no.
[0:33:15.00]-[0:33:19.00]  La madera era de en fina, las pilas que llamamos.
[0:33:19.00]-[0:33:22.00]  Eso se labraba, y se labraba hasta a mano.
[0:33:22.00]-[0:33:26.00]  Porque hay maquinares de pintar y cerrar y cosas de esas.
[0:33:26.00]-[0:33:28.00]  Y eso era de en fina.
[0:33:28.00]-[0:33:33.00]  Y los rayos, igual que eran los rayos, pues eran unas cosas que salían de un cubo,
[0:33:33.00]-[0:33:36.00]  llamábamos el cubo, y ahí iba una cañonera,
[0:33:36.00]-[0:33:39.00]  eso rodaba sobre un eje, y ahí salía la rueda,
[0:33:39.00]-[0:33:43.00]  y llevábamos unos palitos que eran así como los rayos que decíamos.
[0:33:43.00]-[0:33:45.00]  Y pintar el carro también...
[0:33:45.00]-[0:33:46.00]  Pintar el carro le pintaban.
[0:33:46.00]-[0:33:50.00]  Había gente que era muy mañosa para eso, para pintar el carro.
[0:33:50.00]-[0:33:53.00]  Yo tenía un tío que lo pintaba muy bien.
[0:33:53.00]-[0:33:55.00]  Eso era pues...
[0:33:55.00]-[0:34:00.00]  Pues qué te ves y como ahora, ¿quién sale pintando bien?
[0:34:00.00]-[0:34:07.00]  Y no ha estado en ningún sitio, pero qué bien hace esta figura, por ejemplo.
[0:34:07.00]-[0:34:09.00]  ¿Y qué animales tiraban de los carros?
[0:34:09.00]-[0:34:11.00]  Las mulas, por aquí eran las mulas.
[0:34:11.00]-[0:34:13.00]  Antes que las mulas, vacas.
[0:34:13.00]-[0:34:14.00]  ¿Vacas?
[0:34:14.00]-[0:34:17.00]  Las vacas era una cosa más lenta.
[0:34:17.00]-[0:34:18.00]  Y...
[0:34:18.00]-[0:34:19.00] ...cudían menos.
[0:34:19.00]-[0:34:21.00]  Las mulas, generalmente, era lo que...
[0:34:21.00]-[0:34:23.00]  Aquí había la laborera de mulas.
[0:34:23.00]-[0:34:25.00]  Pero entonces en un pueblo como este,
[0:34:25.00]-[0:34:27.00]  pues a lo mejor había...
[0:34:27.00]-[0:34:31.00]  Te voy a decir, yo como termino medio, 300 mulas.
