[0:00:00.00]-[0:00:02.00]  ¿Cómo se llaman ustedes?
[0:17:05.68]-[0:17:09.68]  Se ría, yo es que no, eso se queda muy lejos,
[0:17:09.68]-[0:17:13.68]  no lo sé, por eso le pregunto, no se ría.
[0:17:13.68]-[0:17:16.68]  Es de esos.
[0:17:16.68]-[0:17:18.68]  Cuéntemelo usted.
[0:17:18.68]-[0:17:20.68]  Es que para cuajar la leche,
[0:17:20.68]-[0:17:23.68]  había que echar un cuajo de encabrito,
[0:17:23.68]-[0:17:26.68]  un de ternero, ¿verdad?
[0:17:26.68]-[0:17:30.68]  Que se que eso era cuajo,
[0:17:30.68]-[0:17:32.68]  y se cuajaba la leche con ello.
[0:17:32.68]-[0:17:34.68]  ¿Pero qué es un cuajo?
[0:17:34.68]-[0:17:39.68]  Leche, que el ternero, cuando estaba mamando, igual que un crío,
[0:17:39.68]-[0:17:42.68]  pues tiene que tener un cuajo, cuando estaba mamando la leche.
[0:17:42.68]-[0:17:44.68]  Pues igual.
[0:17:44.68]-[0:17:48.68]  Es decir, se cuajaba la leche y se hacía el queso.
[0:17:48.68]-[0:17:52.68]  Claro, se lo sacaba al cabrito o al ternero
[0:17:52.68]-[0:17:56.68]  y se le colgaba donde se pudiera secar una temporada.
[0:17:56.68]-[0:17:59.68]  Y luego, después se iba gastando poquito a poco
[0:17:59.68]-[0:18:02.68]  a medida de la leche que tuvieras.
[0:18:02.68]-[0:18:04.68]  ¿Y no se echaba nada más a la leche?
[0:18:04.68]-[0:18:06.68]  Nada más.
[0:18:06.68]-[0:18:08.68]  Nada más.
[0:18:08.68]-[0:18:09.68]  Nada más.
[0:18:09.68]-[0:18:11.68]  ¿Y ovejas? ¿Tenían ustedes ovejas?
[0:18:11.68]-[0:18:13.68]  No, no poseaban.
[0:18:13.68]-[0:18:15.68]  Las he visto, pero...
[0:18:15.68]-[0:18:18.68]  Y entonces, por ejemplo, en algunos sitios dicen
[0:18:18.68]-[0:18:22.68]  ¿qué leche es mejor, la de oveja o la de vaca, para el queso?
[0:18:22.68]-[0:18:26.68]  Hombre, yo creo que siempre ha sido la de oveja, ¿verdad?
[0:18:26.68]-[0:18:28.68]  ¿Por qué ha sido mejor la de oveja?
[0:18:28.68]-[0:18:32.68]  Porque lo requerirá el ganado, ¿qué si?
[0:18:32.68]-[0:18:34.68]  Cosas de esas, ¿no?
[0:18:34.68]-[0:18:36.68]  Ahora, pues poca cantidad, oveja poca cantidad.
[0:18:36.68]-[0:18:38.68]  Y entonces, si no tenían ovejas, ustedes,
[0:18:38.68]-[0:18:40.68]  ¿la lana, dónde compraban lana?
[0:18:40.68]-[0:18:43.68]  Al que no tenía, por ahí, al que no tenía.
[0:18:43.68]-[0:18:45.68]  ¿Y hacían colchones de lana?
[0:18:45.68]-[0:18:46.68]  Sí, señora.
[0:18:46.68]-[0:18:47.68]  ¿Y cómo se hacían?
[0:18:47.68]-[0:18:51.68]  Mero cuando había que dormir en un colchón de raspaja, de rastrojo.
[0:18:53.68]-[0:18:56.68]  ¿Cómo hacían los colchones? Cuéntame usted.
[0:18:56.68]-[0:19:01.68]  Hacían los colchones por la lana, se lo cortan a la oveja, ¿verdad?
[0:19:01.68]-[0:19:04.68]  Y lo graban, y luego lo secan.
[0:19:04.68]-[0:19:10.68]  Y luego después de seco, pues ya tienden una tela, un colchón que le vamos,
[0:19:10.68]-[0:19:14.68]  y ya lo echan, y luego ya le cosen, y esas cosas, y gracias, y eso.
[0:19:14.68]-[0:19:16.68]  ¿Secaban la lana de alguna manera?
[0:19:16.68]-[0:19:17.68]  Sí, sí, sí.
[0:19:17.68]-[0:19:18.68]  ¿La pegaban o...?
[0:19:18.68]-[0:19:19.68]  Al sol.
[0:19:19.68]-[0:19:20.68]  ¿Al sol?
[0:19:20.68]-[0:19:24.68]  ¿En algunos pueblos dan con vara así a la...?
[0:19:24.68]-[0:19:27.68]  Sí, también dan con vara así.
[0:19:29.68]-[0:19:34.68]  Menos a mi consuegra, que lava la lana para la boda de...
[0:19:35.68]-[0:19:40.68]  y lo tiende nadie en una piedra, y resulta que viene un airazo,
[0:19:40.68]-[0:19:43.68]  y se lo lleva para allá, para los lanos, allá para el tiradero.
[0:19:43.68]-[0:19:44.68]  ¡Ay!
[0:19:45.68]-[0:19:48.68]  Se le quitó la lana del colchón de la boda.
[0:19:49.68]-[0:19:51.68]  ¿Y corderos? ¿Tenían ustedes corderos?
[0:19:51.68]-[0:19:54.68]  Que no, nada de eso, nada de eso, nada de eso.
[0:19:55.68]-[0:19:56.68]  ¿Conejos?
[0:19:56.68]-[0:19:57.68]  Sí, conejos.
[0:19:57.68]-[0:19:58.68]  ¿Eh?
[0:19:58.68]-[0:19:59.68]  ¿Conejos?
[0:19:59.68]-[0:20:00.68]  Tampoco.
[0:20:00.68]-[0:20:02.68]  El que había en el campo, y le pidió echar la uña.
[0:20:02.68]-[0:20:03.68]  ¿El qué?
[0:20:03.68]-[0:20:06.68]  El que había en el campo y le pidió echar la uña.
[0:20:06.68]-[0:20:07.68]  ¿Qué es eso de echar la uña?
[0:20:07.68]-[0:20:09.68]  Coño, pues echarle el guante.
[0:20:09.68]-[0:20:10.68]  Ah, el conejo.
[0:20:10.68]-[0:20:12.68]  Eso ya ha hecho este muchas veces, este.
[0:20:12.68]-[0:20:13.68]  Sí, para ver cuándo lo ha hecho.
[0:20:13.68]-[0:20:14.68]  Ese que hace más.
[0:20:14.68]-[0:20:15.68]  Yo no, yo no.
[0:20:15.68]-[0:20:18.68]  Es como que no está hablando nada, hasta un ratito.
[0:20:18.68]-[0:20:19.68]  Yo ya me he cansado.
[0:20:19.68]-[0:20:21.68]  Está cansado ya.
[0:20:21.68]-[0:20:23.68]  Venga, háganos el favor.
[0:20:23.68]-[0:20:25.68]  A ver qué más, qué más.
[0:20:25.68]-[0:20:31.68]  Pues eso por ejemplo, conejos, ustedes, como le echaba la uña, ¿no?
[0:20:31.68]-[0:20:33.68]  ¿Y cómo los cocinaban? ¿Cómo se cocinaban los conejos?
[0:20:33.68]-[0:20:35.68]  Coño, pues igual que todas las cosas.
[0:20:35.68]-[0:20:40.68]  Se ponían un puchero, se arreglaban con los arteros, lo que fuera.
[0:20:41.68]-[0:20:43.68]  ¿Y caballos tenían para...?
[0:20:43.68]-[0:20:46.68]  Algunos había también, burros.
[0:20:46.68]-[0:20:49.68]  ¿Y cómo los cuidaban esos caballos?
[0:20:49.68]-[0:20:55.68]  Pues nada más que metenlos en los prados y ahí se cuidaban los dos.
[0:20:56.68]-[0:20:59.68]  ¿Y no echaban nada de comer a...?
[0:20:59.68]-[0:21:01.68]  Algunas veces, otras veces no.
[0:21:01.68]-[0:21:04.68]  Si había hierba en la fika, pues no.
[0:21:04.68]-[0:21:06.68]  Si no había, pues sí que no.
[0:21:06.68]-[0:21:07.68]  Venos que no salgamos aquí.
[0:21:07.68]-[0:21:09.68]  Venos que no salgamos aquí.
[0:21:09.68]-[0:21:12.68]  A ningún sitio salimos nosotros, aquí no salimos en ningún sitio.
[0:21:12.68]-[0:21:15.68]  No, hablar si quieres, salemos, pero saldremos, pero...
[0:21:15.68]-[0:21:17.68]  Tampoco sabemos hablar.
[0:21:17.68]-[0:21:19.68]  Yo, pero no puedo.
[0:21:21.68]-[0:21:23.68]  Tampoco sabemos hablar.
[0:21:23.68]-[0:21:28.68]  ¿Y cultivaban en este pueblo? ¿O sea, tenían trigo, cereales...?
[0:21:28.68]-[0:21:31.68]  A poco, pero algo había también.
[0:21:31.68]-[0:21:32.68]  ¿Qué cereales había?
[0:21:32.68]-[0:21:34.68]  Pues algarrobas, ¿no?
[0:21:34.68]-[0:21:41.68]  Centeno que llamamos nosotros, trigo, cebada, todo a poco, pero todo había algo.
[0:21:41.68]-[0:21:45.68]  ¿Y qué se hacía el trigo para trabajar?
[0:21:45.68]-[0:21:49.68]  ¿Qué se hacía el trigo? Pues, ¡hondra de muño! Lo que había que hacer.
[0:21:49.68]-[0:21:50.68]  Cuéntemelo usted.
[0:21:50.68]-[0:21:51.68]  Lo que había que hacer.
[0:21:51.68]-[0:21:52.68]  Venga, alete.
[0:21:52.68]-[0:21:55.68]  Se lo diga este. Este estaba descansado ahora.
[0:21:55.68]-[0:21:58.68]  A mí me habéis metido ahora a la propina. Se lo diga este.
[0:21:58.68]-[0:21:59.68]  Venga, cuéntemelo a uno.
[0:21:59.68]-[0:22:02.68]  No sé, ya no sé. Yo no sé a un gano.
[0:22:02.68]-[0:22:04.68]  Que me se caguen los dientes.
[0:22:04.68]-[0:22:05.68]  Anda.
[0:22:05.68]-[0:22:06.68]  Me arreo.
[0:22:06.68]-[0:22:09.68]  Resulta que el trigo, pues, ¿qué había que hacerlo?
[0:22:09.68]-[0:22:11.68]  Primero, criarlo, ¿no?
[0:22:11.68]-[0:22:14.68]  Lo segundo, sacarlo.
[0:22:14.68]-[0:22:16.68]  Llevarlo a la era para estirarlo.
[0:22:16.68]-[0:22:19.68]  Luego, limpiarlo.
[0:22:19.68]-[0:22:21.68]  Al molino.
[0:22:21.68]-[0:22:23.68]  Y muchas cosas, muchas cosas ya.
[0:22:23.68]-[0:22:26.68]  No me lo quiero contar a usted. Se está cansando ya.
[0:22:26.68]-[0:22:28.68]  Venga, que lo necesitamos para el trabajo en el colegio.
[0:22:28.68]-[0:22:29.68]  Que trabaje este tropoco.
[0:22:29.68]-[0:22:30.68]  Si es que me cae en el...
[0:22:30.68]-[0:22:31.68]  Que trabaje este tropoco.
[0:22:31.68]-[0:22:33.68]  Si yo no puedo hablar, hombre.
[0:22:33.68]-[0:22:36.68]  Pues necesitamos para un trabajo en el colegio, en la facultad.
[0:22:36.68]-[0:22:37.68]  Nos harían ustedes un favor.
[0:22:37.68]-[0:22:38.68]  Ya.
[0:22:38.68]-[0:22:40.68]  Ya hemos contado muchas cosas.
[0:22:40.68]-[0:22:41.68]  No.
[0:22:41.68]-[0:22:43.68]  ¿Y gallinas? ¿Tienen gallinas?
[0:22:43.68]-[0:22:45.68]  Aquí, de todo, eh.
[0:22:45.68]-[0:22:47.68]  Hay pocos, pero de todo hay algo.
[0:22:47.68]-[0:22:50.68]  ¿Y qué se echaba de comer a las gallinas?
[0:22:50.68]-[0:22:53.68]  Ayer se echaba a comer pienso.
[0:22:53.68]-[0:22:58.68]  Y nada, y comen, y se los cierran luego.
[0:22:58.68]-[0:23:01.68]  Y se los acuiden bien y ya está.
[0:23:01.68]-[0:23:08.68]  ¿Y las gallinas, se desplumaban a las gallinas de alguna manera?
[0:23:08.68]-[0:23:11.68]  No, ellas las despluman cuando viene el tiempo.
[0:23:11.68]-[0:23:13.68]  ¿Cómo se mataban a las gallinas?
[0:23:13.68]-[0:23:15.68]  ¿De qué forma?
[0:23:15.68]-[0:23:17.68]  Yo no maté a ninguna.
[0:23:17.68]-[0:23:19.68]  ¿O a los pollos?
[0:23:19.68]-[0:23:22.68]  ¿Qué se hacía para matar a los pollos?
[0:23:22.68]-[0:23:25.68]  Agarrar los pescados y matarlos.
[0:23:25.68]-[0:23:29.68]  De todas maneras, le voy a volver a preguntar un momento.
[0:23:29.68]-[0:23:33.68]  ¿A las vacas qué se les echaba de comer?
[0:23:33.68]-[0:23:36.68]  Del campo lo que había.
[0:23:36.68]-[0:23:44.68]  Del campo lo que había es garrobas, la hierba, de lo que había, maíz.
[0:23:44.68]-[0:23:48.68]  ¿Y a las gallinas, me ha dicho usted que se echaba a las gallinas pienso?
[0:23:48.68]-[0:23:50.68]  Claro, a este sí le echaba pienso.
[0:23:50.68]-[0:23:52.68]  ¿A la trigo no se echaba a las gallinas?
[0:23:52.68]-[0:23:55.68]  Cualquiera se echaba a la trigo.
[0:23:55.68]-[0:23:57.68]  ¿No les gustaba las gallinas?
[0:23:57.68]-[0:23:59.68]  No les gustaba, no.
[0:23:59.68]-[0:24:04.68]  ¿Y a los cerdos qué se echaba de comer?
[0:24:04.68]-[0:24:12.68]  Tampoco es igual, del campo, hasta higos, patatas, remolacha, todo lo que hay en el campo.
[0:24:12.68]-[0:24:14.68]  ¿A los cerdos se comían todo?
[0:24:14.68]-[0:24:16.68]  No, no se comían todo.
[0:24:16.68]-[0:24:18.68]  ¿A los cerdos se comían todo?
[0:24:18.68]-[0:24:22.68]  No, de todos los que hay en el campo.
[0:24:22.68]-[0:24:24.68]  ¿A los cerdos se comían absolutamente todo?
[0:24:24.68]-[0:24:32.68]  Todo lo que echabas, hasta la pochichula, si te descuidabas.
[0:24:32.68]-[0:24:35.68]  ¿Y el pan de antes cómo se hacía?
[0:24:35.68]-[0:24:36.68]  ¿Cómo se hacía?
[0:24:36.68]-[0:24:38.68]  ¿Hacían pan ustedes?
[0:24:38.68]-[0:24:40.68]  También almorbasado sí.
[0:24:40.68]-[0:24:42.68]  ¿Y a los cerdos les interesa cómo se hace?
[0:24:42.68]-[0:24:54.68]  Pues eso, mire, el trigo se mueve, se hace harina y luego ya se lleva al horno, las mujeres lo amasan,
[0:24:54.68]-[0:25:00.68]  hacen unos panes y a meterlos en el horno a lo caliente.
[0:25:00.68]-[0:25:04.68]  ¿Qué pan era mejor, el de antes o el pan de ahora?
[0:25:04.68]-[0:25:07.68]  ¿Este qué pila?
[0:25:07.68]-[0:25:10.68]  Normalmente era lo de antes.
[0:25:10.68]-[0:25:13.68]  Todo lo de antes ya me acuerdo, ahora.
[0:25:13.68]-[0:25:16.68]  Miren las personas, las personas son iguales.
[0:25:16.68]-[0:25:18.68]  Igual que la carne, igual que todo.
[0:25:18.68]-[0:25:20.68]  Lo de antes, vos que lo de antes.
[0:25:20.68]-[0:25:22.68]  Con lo del pan, ¿los hornos dónde estaban?
[0:25:22.68]-[0:25:24.68]  Por ahí, los teníamos, con cualquiera.
[0:25:24.68]-[0:25:25.68]  ¿En casa o donde?
[0:25:25.68]-[0:25:27.68]  En casa, en casa, en casa, claro.
[0:25:27.68]-[0:25:28.68]  ¿En la casa tenías un horno?
[0:25:28.68]-[0:25:37.68]  No, cada casa no, a lo mejor en el pueblo, si hay vecinos que haya, había ocho, diez hornos en el pueblo.
[0:25:37.68]-[0:25:38.68]  ¿Para todos?
[0:25:38.68]-[0:25:39.68]  Para todos, claro.
[0:25:39.68]-[0:25:40.68]  ¿Y había que pagar?
[0:25:40.68]-[0:25:42.68]  Hombre, pues sí, había que pagar.
[0:25:42.68]-[0:25:46.68]  Pero si no era con dinero, era con un pan que daba.
[0:25:49.68]-[0:25:53.68]  Pero la masa, ¿usted ha hecho masa para los panes?
[0:25:53.68]-[0:25:54.68]  Hombre, claro, hay que hacer masa.
[0:25:54.68]-[0:25:56.68]  Igual que para hacer los turros.
[0:25:56.68]-[0:25:58.68]  Hay que hacer masa.
[0:25:58.68]-[0:26:01.68]  ¿Cómo está este hombre que sabe más que yo?
[0:26:01.68]-[0:26:06.68]  Este hombre sabe más que yo.
[0:26:06.68]-[0:26:10.68]  Dice, sabe esto más que yo, pero no quiere.
[0:26:10.68]-[0:26:15.68]  Yo es que no sé decirlo, que no sé decirlo, coño.
[0:26:15.68]-[0:26:18.68]  Y qué más, hemos hecho todo.
[0:26:18.68]-[0:26:20.68]  ¿La masa, por ejemplo, para el pan?
[0:26:20.68]-[0:26:25.68]  La masa, hacer la masa y hacer el pan y meterlo en el horno y al lado.
[0:26:25.68]-[0:26:28.68]  Por ejemplo, ¿la masa había alguna manera?
[0:26:28.68]-[0:26:29.68]  La hacían las mujeres.
[0:26:29.68]-[0:26:31.68]  ¿Y no sabe usted cómo se hacía la masa?
[0:26:31.68]-[0:26:33.68]  Yo no, yo no sé hacerlo.
[0:26:33.68]-[0:26:35.68]  ¿Lo ha visto nunca?
[0:26:35.68]-[0:26:36.68]  No, nunca.
[0:26:36.68]-[0:26:37.68]  Muchas veces, pero...
[0:26:37.68]-[0:26:38.68]  Usted sí, usted nos ha dicho que sí.
[0:26:38.68]-[0:26:42.68]  Pero no, yo no lo he visto, pero yo no eh.
[0:26:42.68]-[0:26:43.68]  Yo esas cosas no las he visto.
[0:26:43.68]-[0:26:45.68]  Este hombre que sí sabía y no lo que dijo.
[0:26:45.68]-[0:26:47.68]  Yo no he sido nada más que un t
[0:26:47.68]-[0:26:49.68]  tisto obrero por ahí, un campesino,
[0:26:49.68]-[0:26:53.68]  que no he visto hacerla con un canuto.
[0:26:53.68]-[0:26:57.68]  Eso no, que no sabemos hacerla con un canuto, pero sabemos hacerla con...
[0:26:57.68]-[0:26:59.68]  ¿Masa de pan si saben hacer?
[0:26:59.68]-[0:27:02.68]  Yo la he visto hacer, pero no la he visto nunca.
[0:27:02.68]-[0:27:04.68]  ¿Cómo la ha visto usted?
[0:27:04.68]-[0:27:06.68]  Eso es eso, como dice este.
[0:27:06.68]-[0:27:09.68]  Echar harina y luego echar el agua y las mujeres envolverlo
[0:27:09.68]-[0:27:12.68]  hasta que hecho la masa.
[0:27:12.68]-[0:27:15.68]  Hasta que hecho la masa.
[0:27:15.68]-[0:27:16.68]  ¿Y los hornos se limpiaban?
[0:27:16.68]-[0:27:17.68]  Sí señor.
[0:27:17.68]-[0:27:18.68]  ¿Cómo?
[0:27:18.68]-[0:27:22.68]  Había que barrerlos también, porque había que meterlos al fuego.
[0:27:22.68]-[0:27:24.68]  Había que calentarlos al fuego, ¿no?
[0:27:24.68]-[0:27:26.68]  Y luego cuando estaban calientes, por ya las mujeres,
[0:27:26.68]-[0:27:38.68]  barrían bien y a meter el pan para que se cociera.
[0:27:39.68]-[0:27:41.68]  ¿Saben ellos más que nosotros?
[0:27:41.68]-[0:27:43.68]  No, porque venimos de Madrid.
[0:27:43.68]-[0:27:44.68]  No, si somos de Madrid.
[0:27:44.68]-[0:27:45.68]  ¿No están preguntando?
[0:27:45.68]-[0:27:46.68]  ¿Saben ellas más que nosotros?
[0:27:46.68]-[0:27:49.68]  No, la historia es que venimos de distintos pueblos,
[0:27:49.68]-[0:27:52.68]  entonces hay costumbres que cambian de un sitio a otro.
[0:27:52.68]-[0:27:53.68]  No, poco.
[0:27:53.68]-[0:27:54.68]  Uy, sí.
[0:27:54.68]-[0:27:55.68]  Poco, pues con cariño.
[0:27:55.68]-[0:27:58.68]  Bueno, las matanzas son las matanzas,
[0:27:58.68]-[0:28:01.68]  que cada uno las hace como le parece, ¿verdad?
[0:28:01.68]-[0:28:02.68]  Eso, esas cosas.
[0:28:02.68]-[0:28:05.68]  Uno lo hace de una manera, otros lo hacen de otra.
[0:28:05.68]-[0:28:08.68]  Por ejemplo, algo que cambia muchísimo son las fiestas.
[0:28:08.68]-[0:28:10.68]  No me diga de pueblo a pueblo.
[0:28:10.68]-[0:28:11.68]  Bueno, es que las fiestas cambian mucho,
[0:28:11.68]-[0:28:14.68]  pero es porque las cambian, si no, no cambiaban ellas.
[0:28:14.68]-[0:28:15.68]  No, que...
[0:28:15.68]-[0:28:19.68]  El alcalde es el de la culpa, porque el alcalde cambia las fiestas.
[0:28:19.68]-[0:28:21.68]  Yo no sé quién lo cambiará,
[0:28:21.68]-[0:28:22.68]  ¿el de arriba o el de abajo?
[0:28:22.68]-[0:28:25.68]  Aquí es el alcalde, el que manda aquí,
[0:28:25.68]-[0:28:29.68]  se pone aquí en su presidencia y manda ahí en todo.
[0:28:29.68]-[0:28:31.68]  Me han dicho también que cultivaban trigo,
[0:28:31.68]-[0:28:33.68]  ¿y otros cereales?
[0:28:33.68]-[0:28:36.68]  O sea, cebada o algo de eso en este pueblo.
[0:28:36.68]-[0:28:37.68]  Cebada es para todos.
[0:28:37.68]-[0:28:38.68]  ¿De todos?
[0:28:38.68]-[0:28:40.68]  De todos, cogían poco más.
[0:28:40.68]-[0:28:43.68]  ¿Este que ven por aquí, el que más cogía?
[0:28:43.68]-[0:28:45.68]  Este, este, el que más cogía de todos.
[0:28:45.68]-[0:28:47.68]  El condecible más grande era este.
[0:28:47.68]-[0:28:48.68]  Era grande, sí.
[0:28:48.68]-[0:28:52.68]  El condecible mayor era este.
[0:28:52.68]-[0:28:54.68]  ¿Este mayor?
[0:28:54.68]-[0:28:58.68]  Este mayor, porque se nació antes, sí, pero si no, no.
[0:28:58.68]-[0:29:01.68]  El que primero nacía es Jesús.
[0:29:01.68]-[0:29:04.68]  ¿Ustedes están casados, estuvieron casados?
[0:29:04.68]-[0:29:07.68]  No, no, yo todavía tengo la mujer.
[0:29:07.68]-[0:29:08.68]  ¿Todavía?
[0:29:08.68]-[0:29:09.68]  Sí, señora.
[0:29:09.68]-[0:29:11.68]  ¿Recuerda su boda o cómo se hacía en la frontera?
[0:29:11.68]-[0:29:12.68]  ¿Dónde de dónde?
[0:29:12.68]-[0:29:13.68]  ¿Dónde de dónde?
[0:29:13.68]-[0:29:18.68]  Acá, hace 60 años ya que me casé yo.
