[0:00:00.00]-[0:00:02.00]  ¿Queréis que la come?
[0:19:40.00]-[0:19:42.00]  Y cuatro bailes.
[0:19:42.00]-[0:19:44.00]  Que se agarraban los mozos.
[0:19:44.00]-[0:19:47.00]  Hay charchilindrones que decíamos aquí.
[0:19:47.00]-[0:19:49.00]  Echaban sus chilindrones.
[0:19:49.00]-[0:19:50.00]  Y con...
[0:19:50.00]-[0:19:52.00]  Háganlo un poco...
[0:19:52.00]-[0:19:56.00]  Los que eran un poco más movidos.
[0:19:56.00]-[0:19:59.00]  Y pretacen así un poco a las chicas.
[0:19:59.00]-[0:20:02.00]  Aquellos eran las glorias del mundo.
[0:20:02.00]-[0:20:05.00]  Charchilindrones quiere decir hacer a los macos.
[0:20:05.00]-[0:20:07.00]  Hay que llorar de dolor.
[0:20:07.00]-[0:20:09.00]  Ponerse a decir cosas a una chica.
[0:20:09.00]-[0:20:10.00]  No, no.
[0:20:10.00]-[0:20:13.00]  El charchilindrones se le da la vuelta a esta cocina.
[0:20:13.00]-[0:20:14.00]  Te agarrabas de la mano.
[0:20:14.00]-[0:20:15.00]  Hacer corros.
[0:20:15.00]-[0:20:16.00]  Sí.
[0:20:16.00]-[0:20:19.00]  Y ahora se hace en todos los pedidos.
[0:20:19.00]-[0:20:20.00]  Nada.
[0:20:20.00]-[0:20:23.00]  Y el último día...
[0:20:23.00]-[0:20:26.00]  ¡Ay, qué se rematan las fiestas!
[0:20:26.00]-[0:20:28.00]  Ponen una a eso.
[0:20:28.00]-[0:20:30.00]  Y ahora bastante qué les importa.
[0:20:30.00]-[0:20:31.00]  A las tres de la...
[0:20:31.00]-[0:20:33.00]  A las doce.
[0:20:33.00]-[0:20:36.00]  La música terminaba en la plaza.
[0:20:36.00]-[0:20:40.00]  Si había una mía ja-bailé, pero poquico rato...
[0:20:40.00]-[0:20:41.00]  En la...
[0:20:41.00]-[0:20:42.00]  Ya estaba el salón.
[0:20:42.00]-[0:20:47.00]  Pero ahora las cinco de la mañana y entonces vienen.
[0:20:47.00]-[0:20:49.00]  Y aún se van a las peñas.
[0:20:49.00]-[0:20:52.00]  Y en las peñas ya se duermen con ellas.
[0:20:52.00]-[0:20:54.00]  Y hacen lo que quieren.
[0:20:54.00]-[0:20:55.00]  Y lo pasan...
[0:20:55.00]-[0:20:57.00]  Fenomenal.
[0:20:57.00]-[0:20:59.00]  Pero están hechas polvo.
[0:20:59.00]-[0:21:01.00]  Hechas polvico.
[0:21:01.00]-[0:21:05.00]  Y cuando usted era joven y se echaba novio,
[0:21:05.00]-[0:21:09.00]  ¿el novio tenía que ir a casa de sus padres para pedirles permiso?
[0:21:09.00]-[0:21:10.00]  Hombre, claro.
[0:21:10.00]-[0:21:15.00]  Tenía que ir siempre a por la novia.
[0:21:15.00]-[0:21:17.00]  Si no, no salía de casa.
[0:21:17.00]-[0:21:21.00]  ¿Y qué le decía el novio a su padre, por ejemplo?
[0:21:21.00]-[0:21:25.00]  Que los novios hablan con las novias.
[0:21:25.00]-[0:21:26.00]  ¿Qué, con los padres?
[0:21:26.00]-[0:21:27.00]  ¿No?
[0:21:27.00]-[0:21:28.00]  No.
[0:21:28.00]-[0:21:31.00]  En que entran en casa pues ya nada.
[0:21:31.00]-[0:21:32.00]  Ah, vale.
[0:21:32.00]-[0:21:35.00]  ¿Y las bodas, cuando ya se iban a casar?
[0:21:35.00]-[0:21:37.00]  ¿Cómo lo organizaban todo?
[0:21:37.00]-[0:21:44.00]  Pues aquí, pues, el último ya, pues ellas iban a calatayú,
[0:21:44.00]-[0:21:45.00]  a celebrar la boda.
[0:21:45.00]-[0:21:48.00]  Pero la mayor parte, mezones.
[0:21:48.00]-[0:21:49.00]  En mezones.
[0:21:49.00]-[0:21:52.00]  Llegaban y se casaban de madrugada.
[0:21:52.00]-[0:21:53.00]  De madrugada.
[0:21:53.00]-[0:21:57.00]  Ya desayunaban, tomaban chocolate todos.
[0:21:57.00]-[0:22:02.00]  No te creas que las que eran ya más ricas, pues hacían comida.
[0:22:02.00]-[0:22:07.00]  Pero las que no, pues un chocolate en buena unión
[0:22:07.00]-[0:22:14.00]  y todos contentos de si disfrutaban algo, de bailar o algo.
[0:22:14.00]-[0:22:20.00]  Pero no lo de ahora, gastar muchos miles y no comer nada.
[0:22:20.00]-[0:22:22.00]  ¿Y el ajuar quién lo preparaba?
[0:22:22.00]-[0:22:25.00]  El ajuar, las madres.
[0:22:25.00]-[0:22:28.00]  Pero bien guapas, ¿eh?
[0:22:28.00]-[0:22:30.00]  En aquel día gastaban.
[0:22:30.00]-[0:22:34.00]  A los demás días, ¿qué quiero decir?
[0:22:34.00]-[0:22:42.00]  Que aunque no había este lujo, pero en mezones no ha habido pobreza.
[0:22:42.00]-[0:22:50.00]  Ha sido un pueblo bastante, o sea, que no ha estado en necesidades.
[0:22:50.00]-[0:22:55.00]  Y estaban todas casas por un estilo de bien preparadas que,
[0:22:55.00]-[0:22:59.00]  me haja más o menos, todos lo pasaban bastante bien.
[0:22:59.00]-[0:23:02.00]  Y iban, pues me haja más o menos, como haciis ahora,
[0:23:02.00]-[0:23:06.00]  ahora estrena un traje de vuestras amigas,
[0:23:06.00]-[0:23:09.00]  pues vosotras vais a la isla.
[0:23:09.00]-[0:23:10.00]  Pues aquí igual.
[0:23:10.00]-[0:23:16.00]  Las musas, pues viamos que llevaban las unas, eso,
[0:23:16.00]-[0:23:20.00]  pues me haja más o menos, todas por el estilo.
[0:23:20.00]-[0:23:25.00]  ¿Y los trajes eran como los de ahora, blancos o eran diferentes?
[0:23:25.00]-[0:23:32.00]  Antes se casaban, al pronto que era yo joven, se casaban de negro.
[0:23:32.00]-[0:23:33.00]  ¿De negro?
[0:23:33.00]-[0:23:34.00]  De negro.
[0:23:34.00]-[0:23:37.00]  ¿Y iban ellas todo el día de negro?
[0:23:37.00]-[0:23:43.00]  De todo de negro, pero buenas telas, y bien, iban de negro, pero eso.
[0:23:43.00]-[0:23:50.00]  Después ya vino la esto de blanco, pero de antes se casaban siempre de negro.
[0:23:50.00]-[0:23:53.00]  ¿Y los novios se iban luego de luna de miel?
[0:23:53.00]-[0:23:57.00]  Los novios pues también iban casi de negro.
[0:23:57.00]-[0:24:02.00]  Otros menos, no sé por qué yo he ido a pocas budas,
[0:24:02.00]-[0:24:09.00]  pero me haja más o menos, pero de oscuro, los novios de oscuro.
[0:24:09.00]-[0:24:18.00]  Y los demás, y las madrinas llevaban su teja, su teja de negro,
[0:24:18.00]-[0:24:24.00]  un velo precioso, porque ya los tenían para eso, y su teja.
[0:24:24.00]-[0:24:28.00]  Aquella era la madrina.
[0:24:28.00]-[0:24:35.00]  Así vestían, y los novios y las novias, los padrinos, pues bien arreglados,
[0:24:35.00]-[0:24:40.00]  por lo que, en la situación que estaban, y nada más.
[0:24:40.00]-[0:24:43.00]  ¿Y los invitados de la boda?
[0:24:43.00]-[0:24:49.00]  Todos ya pues procuraban de ir bien.
[0:24:49.00]-[0:24:56.00]  Que aquí muy mal, muy mal, en Mezones, no ha habido, ya te he dicho, que pobreza, aquí no ha habido.
[0:24:56.00]-[0:24:59.00]  Porque están todas casas por un igual.
[0:24:59.00]-[0:25:01.00]  Sí, sé eso.
[0:25:01.00]-[0:25:03.00]  Apagame el butano.
[0:25:03.00]-[0:25:05.00]  ¿Y que me dejo el pebutano?
[0:25:05.00]-[0:25:07.00]  Sí.
[0:25:07.00]-[0:25:10.00]  Pues eso es lo que hacíamos.
[0:25:10.00]-[0:25:13.00]  ¿Y aquí en su pueblo había comadronas?
[0:25:13.00]-[0:25:14.00]  No.
[0:25:14.00]-[0:25:15.00]  ¿No?
[0:25:15.00]-[0:25:16.00]  Aquí no.
[0:25:16.00]-[0:25:17.00]  Aquí había médico.
[0:25:17.00]-[0:25:21.00]  ¿Y quién atendía a las señoras embarazadas? ¿El médico?
[0:25:21.00]-[0:25:26.00]  Pues el médico, que se daban a luz aquí, ¿verdad? Aquí daban a luz.
[0:25:26.00]-[0:25:29.00]  ¿No había ninguna señora que ayudase a las mujeres?
[0:25:29.00]-[0:25:36.00]  No, el médico atendía. Si iba mal la cosa, la le sacaban fuera.
[0:25:36.00]-[0:25:45.00]  Si iba mal, que iba mal el parto, la sacaban fuera, porque ha habido muchas que se han muerto en el parto.
[0:25:45.00]-[0:25:50.00]  Y ya te digo, así era la vida en Mezones.
[0:25:50.00]-[0:25:55.00]  ¿Y las mujeres que más hacían? ¿También hacían bordados?
[0:25:55.00]-[0:26:03.00]  Las mujeres, como no había trabajo para ellas, como ahora que en las capitales hay trabajo, pero aquí no.
[0:26:03.00]-[0:26:09.00]  Pues aquí se dedicaban a hacer en ellas sus sabanas y todas cosas.
[0:26:09.00]-[0:26:22.00]  Y hacer mujeres de su casa, las enseñábamos a las hijas a que fueran mujeres de su casa, que supieran guitar, que supieran hacer todas cosas.
[0:26:22.00]-[0:26:28.00]  Y porque decían los musos, esa sí que es bien mujer.
[0:26:28.00]-[0:26:33.00]  Y con esa no irás mal, ¿no? Según cuando se ponían a festejar.
[0:26:33.00]-[0:26:44.00]  Y en la plaza, que le hice en el cantón, pues allí todas tardes se ponían todos musos del pueblo, se acudían allí.
[0:26:44.00]-[0:26:58.00]  Y las musas salían a traer agua, porque traíamos agua con los cantaros y cargados en la cabeza, que aquí en mi puerta nos llenaban.
[0:26:58.00]-[0:27:07.00]  Y teníamos tinajas, y echábamos agua a la tinaja, y la mañana que llenábamos la tinaja, ya ves.
[0:27:07.00]-[0:27:20.00]  Y eso hacíamos. Y las mujeres iban al campo, pero para las necesidades, no es que las llevaran siempre, pero cuando vendemaban, o cuando eso...
[0:27:20.00]-[0:27:27.00]  El día que se sembraban las patatas iban a echarlas, a ayudarles a los maridos, y eso...
[0:27:27.00]-[0:27:30.00]  Y a llevarles la comida también al campo.
[0:27:30.00]-[0:27:34.00]  Sí, a llevar la comida también.
[0:27:34.00]-[0:27:44.00]  Y a las heras a trabajar todas, porque estaban trillando con trillos.
[0:27:44.00]-[0:27:51.00]  Y una ayuntada dando vueltas que echaban la palma, y ahora lo traen ya cosechado.
[0:27:51.00]-[0:27:57.00]  Pero antes, que están las heras, que las tenemos, y los trillos tenemos.
[0:27:57.00]-[0:28:11.00]  Y ahí les daban la vuelta, y se ponía de tronada. Había que echar la correa, arrepajar la palma, y eso hacíamos.
[0:28:11.00]-[0:28:17.00]  Y cogíamos un montoncito de trigo, y ahora cogen vagones, y eso.
[0:28:17.00]-[0:28:28.00]  Pero aquí cogíamos para poder comer los animales, y para ser tan patolaño para los de casa.
[0:28:28.00]-[0:28:30.00]  Y éramos tan felices.
[0:28:30.00]-[0:28:37.00]  Sacábamos cuatro perricas de uvas, cuatro perricas de fruta, últimadamente.
[0:28:37.00]-[0:28:43.00]  Porque antes no había ni frutas, porque tengo 90 años.
[0:28:43.00]-[0:28:50.00]  No es decir que el cuento eso, pero lo de antes, pues nada, eso había.
[0:28:50.00]-[0:28:52.00]  ¿Y hacían jabón casero?
[0:28:52.00]-[0:29:00.00]  Sí señora, yo mucho, que digan la... 200 tajos hice hace dos años.
[0:29:00.00]-[0:29:03.00]  Aún tengo dos cajones, pero bien blanco.
[0:29:03.00]-[0:29:05.00]  ¿Y cómo lo preparan?
[0:29:05.00]-[0:29:13.00]  Pues mira, con una caldera de hojalata, porque el jabón estraga mucho las otras calderas,
[0:29:13.00]-[0:29:25.00]  pues echas la sustancia, y le echas el agua, la que te parece, los posales que te parecen, según lo que tienes.
[0:29:25.00]-[0:29:36.00]  Vas echando la sosa, y la sosa te va a ir hirviendo, y te va a cuajando el jabón.
[0:29:36.00]-[0:29:44.00]  Pero hay que darle más cociduras, porque en la primera no ha tirado bien la lejía.
[0:29:44.00]-[0:29:48.00]  ¿Y qué le echaban a parte de la sosa?
[0:29:48.00]-[0:29:58.00]  Cuando lo íbamos a sacar, ahora, ¿qué tenemos más? Que antes no le echábamos polvo más que la sosa.
[0:29:58.00]-[0:30:06.00]  Ahora, ¿qué tenemos más? Pues le echamos una caza de polvo, al tiempo saca, para que huelga bien.
[0:30:06.00]-[0:30:10.00]  Porque ahora la ropa no huele a limpia, huele a polvo.
[0:30:10.00]-[0:30:16.00]  Y porque no la meten puelca, que si la meten puelca, puelca sale.
[0:30:16.00]-[0:30:25.00]  La del campo. Las lavadoras son muy buenas para las sabanas, no apurándolas de tenerlas muchos días,
[0:30:25.00]-[0:30:31.00]  y para la ropa de la gente que no trabaja. O sea, que no trabaja el campo.
[0:30:31.00]-[0:30:37.00]  Pero lo del campo, hay que darle lo primero, y si no, no la hay.
[0:30:37.00]-[0:30:39.00]  ¿Y dónde lavaban ustedes?
[0:30:39.00]-[0:30:44.00]  En la sequía, que la tengo ahí fuera. Yo lavo a mano.
[0:30:44.00]-[0:30:48.00]  ¿Y se juntaban todas las mujeres a lavar juntas?
[0:30:48.00]-[0:31:00.00]  No, cada una lavaba a la hora que podía. Venía, porque por todo el pueblo pasaba sequía, y por las casas, y quién tiene sequía.
[0:31:00.00]-[0:31:04.00]  No le han digado ni lavadora, porque no estáis lavando.
[0:31:04.00]-[0:31:11.00]  Yo aquí no viene nadie, ahora viene la ropa que se vive, pero sólo están lavando los jacetines.
[0:31:11.00]-[0:31:19.00]  Yo hasta de ahora tengo lavadora de jabón ahí, porque la otra lavadora la tiene mi chica,
[0:31:19.00]-[0:31:26.00]  porque ella la necesitaba más, y yo, para mí sola, y eso, ¿para qué quería yo la lavadora?
[0:31:26.00]-[0:31:28.00]  Si yo soy una lavadora.
[0:31:30.00]-[0:31:33.00]  No lavan las lavadoras como la voy o no.
[0:31:33.00]-[0:31:40.00]  Si me estuvieran oyendo los del pueblo, les dirían lo que es eso.
[0:31:40.00]-[0:31:43.00]  El jabón, van a ver un tajo.
[0:31:45.00]-[0:31:50.00]  Todas, todas. Todas no, pero la mayor parte.
[0:31:50.00]-[0:31:54.00]  Hacemos tomate para todo el año, en conserva.
[0:31:57.00]-[0:31:58.00]  ¿De tomate o de manzana?
[0:31:58.00]-[0:31:59.00]  ¿Qué quiere?
[0:31:59.00]-[0:32:01.00]  Mira qué tomate.
[0:32:01.00]-[0:32:03.00]  ¿Cómo se dice de manzana?
[0:32:03.00]-[0:32:07.00]  Aunque no lo haces dos años, yo le pongo la fecha y ya está.
[0:32:07.00]-[0:32:10.00]  Pero para todo el año, y eso es muchísimo.
[0:32:10.00]-[0:32:16.00]  El melocotón lo hacemos y tenemos para todo el año para sacar a la mesa.
[0:32:16.00]-[0:32:19.00]  Yo si yo, todos los días como que le cazo en la puta.
[0:32:19.00]-[0:32:24.00]  Juanís, Juanís y la voy a quitarle, y están buenísimas.
[0:32:24.00]-[0:32:28.00]  El año pasado le hice más de 200 botes de tretas.
[0:32:28.00]-[0:32:34.00]  Pero van a seguir mis chicos y van a la fruta, que no vale para nada la que venden.
[0:32:34.00]-[0:32:41.00]  Después de todo de camaras y melocotón, y si va a seguir todos los días, pues bien bueno que está.
[0:32:41.00]-[0:32:46.00]  Que menos iba a arrancar mi marido, que los tengo ahí desde el antico Sejón, se va para casa.
[0:32:46.00]-[0:32:48.00]  Melocotones.
[0:32:48.00]-[0:32:51.00]  Yo ya han de decir que venga este...
[0:32:51.00]-[0:32:55.00]  A últimos vanitas, tiende cerezas, que la burla, la coge.
[0:32:55.00]-[0:32:59.00]  Ya me vienen los baricojes, me vienen ciruelas francesas.
[0:32:59.00]-[0:33:01.00]  No te falta...
[0:33:01.00]-[0:33:03.00]  ¿Ha mencionado la señora?
[0:33:03.00]-[0:33:05.00]  Yo le pongo jamón, se jamón.
[0:33:05.00]-[0:33:08.00]  Por una subida en granero bajamos en tajos.
[0:33:08.00]-[0:33:14.00]  Pero que no haces más que eso y da una pasada.
[0:33:14.00]-[0:33:17.00]  Un jamón riquísimo.
[0:33:17.00]-[0:33:19.00]  Pues si tengo cientos tajos.
[0:33:19.00]-[0:33:21.00]  Pero que no sea otra que esta, eh.
[0:33:21.00]-[0:33:22.00]  Ahora ya.
[0:33:22.00]-[0:33:24.00]  Ahora ya no sé la gente, ¿verdad?
[0:33:24.00]-[0:33:27.00]  Ahora la gente no dio...
[0:33:27.00]-[0:33:28.00]  Yo tengo lo que dijo.
[0:33:28.00]-[0:33:34.00]  Porque tengo muchas grasas y cosas de aceite, de las cazuelas que no los empleo.
[0:33:34.00]-[0:33:36.00]  Del aceite de los adobos.
[0:33:36.00]-[0:33:39.00]  Y con el aceite y la sosa.
[0:33:39.00]-[0:33:44.00]  Y después ahora como podemos, pues les echo una caja de polvos.
[0:33:44.00]-[0:33:47.00]  Pero no haces más que tocar la ropica.
[0:33:47.00]-[0:33:50.00]  Esto aquí estoy limpiando pencas.
[0:33:50.00]-[0:33:54.00]  Que las limpié y no me he dado una silla.
[0:33:54.00]-[0:33:56.00]  Porque las limpié antes.
[0:33:56.00]-[0:33:58.00]  Ahora la mesa de jabón para la semana.
[0:33:58.00]-[0:34:01.00]  Nosotros aquí en esta casa vivimos a la antigua española.
[0:34:01.00]-[0:34:03.00]  La lavo toda mano.
[0:34:03.00]-[0:34:05.00]  Qué bien.
[0:34:05.00]-[0:34:07.00]  La lavo toda mano.
[0:34:07.00]-[0:34:09.00]  Y la acequia la tengo ahí.
[0:34:09.00]-[0:34:11.00]  Estoy aquí y digo baja.
[0:34:11.00]-[0:34:13.00]  La mesa de jabón de líquido yo he hecho, eh.
[0:34:13.00]-[0:34:15.00]  Y lo bien que se aclara.
[0:34:15.00]-[0:34:17.00]  Pero mi chica...
[0:34:17.00]-[0:34:22.00]  Aquí venían todas a por los botijones que antes bebíamos agua de la acequia.
[0:34:22.00]-[0:34:26.00]  Así que hoy guisábamos con agua de la acequia.
[0:34:26.00]-[0:34:28.00]  Y se guisaban en judías mejor.
[0:34:28.00]-[0:34:30.00]  Porque el agua de...
[0:34:30.00]-[0:34:32.00]  Venga aquí conmigo.
[0:34:32.00]-[0:34:34.00]  Que era algo mejor.
[0:34:34.00]-[0:34:36.00]  Haces lo que quieras que yo me voy hoy.
[0:34:36.00]-[0:34:39.00]  No, si ahora la más ideal que les voy a contar.
[0:34:39.00]-[0:34:41.00]  La que si contar.
[0:34:41.00]-[0:34:43.00]  No se queda usted.
[0:34:43.00]-[0:34:45.00]  No, no, yo me voy.
[0:34:45.00]-[0:34:47.00]  Un ratito.
[0:34:47.00]-[0:34:49.00]  No te vayas nunca.
[0:34:49.00]-[0:34:51.00]  Si te vale mucho también.
[0:34:51.00]-[0:34:53.00]  Lo que hace ella lo aguanta bien.
[0:34:53.00]-[0:34:55.00]  Por eso.
[0:34:55.00]-[0:34:57.00]  Si te vale mucho nos puede contar.
[0:34:57.00]-[0:34:59.00]  La gente es joven de ahora también.
[0:34:59.00]-[0:35:01.00]  La gente es joven.
[0:35:01.00]-[0:35:03.00]  Si te quieres que te cuente yo va a...
[0:35:03.00]-[0:35:05.00]  Se van por ahí los chicos.
[0:35:05.00]-[0:35:07.00]  Yo no soy otra que...
[0:35:07.00]-[0:35:09.00]  Vos te dices me lo corto.
[0:35:09.00]-[0:35:11.00]  Se se coman cada día.
[0:35:11.00]-[0:35:13.00]  Hacemos arrebendrillo y de todo.
[0:35:13.00]-[0:35:15.00]  Y digo...
[0:35:15.00]-[0:35:17.00]  A mi me apetece hacerle todo.
[0:35:17.00]-[0:35:19.00]  De ciruelas.
[0:35:19.00]-[0:35:21.00]  De ciruelas y de...
[0:35:21.00]-[0:35:23.00]  Me gusta hacer.
[0:35:23.00]-[0:35:25.00]  Ahora le hice a mi madre una arrebana de mermelada de ciruela.
[0:35:25.00]-[0:35:27.00]  Y le hago un...
[0:35:27.00]-[0:35:29.00]  De choque porque es muy...
[0:35:29.00]-[0:35:31.00]  Se los hago para...
[0:35:31.00]-[0:35:33.00]  Porque tengan un chico...
[0:35:33.00]-[0:35:35.00]  Y ven.
[0:35:35.00]-[0:35:37.00]  Que bueno es que es hermoso.
[0:35:37.00]-[0:35:41.00]  Y así que nosotros ponemos...
[0:35:41.00]-[0:35:45.00]  Pero las jóvenes como vosotros son las jóvenes que se casan ahora.
[0:35:45.00]-[0:35:47.00]  No se crían ahora.
[0:35:47.00]-[0:35:49.00]  No hacen cosas.
[0:35:49.00]-[0:35:51.00]  Las jóvenes que son más jóvenes que nosotros.
[0:35:51.00]-[0:35:53.00]  Ya no hacen estas cosas.
[0:35:53.00]-[0:35:55.00]  No tienen ganas nada más de...
[0:35:55.00]-[0:35:57.00]  Mira, son ricas.
[0:35:57.00]-[0:35:59.00]  Aunque tengan en el campo verduras.
[0:35:59.00]-[0:36:03.00]  Prefieren ir a un verdurero que viene de tierra todos los viernes.
[0:36:03.00]-[0:36:05.00]  Y llama por las puertas.
[0:36:05.00]-[0:36:07.00]  Y comprarlo antes que baje al campo por...
[0:36:07.00]-[0:36:09.00]  Porque tengo ballinas.
[0:36:09.00]-[0:36:11.00]  Y aún comiendo algo bueno...
[0:36:11.00]-[0:36:13.00]  Es malo.
[0:36:13.00]-[0:36:15.00]  Pero no merece la pena.
[0:36:15.00]-[0:36:17.00]  El otro día compré dos sacos.
[0:36:17.00]-[0:36:19.00]  Y me voy a buscar sacos y digo a mi madre...
[0:36:19.00]-[0:36:21.00]  Mira si puedo comprar huevos.
[0:36:21.00]-[0:36:23.00]  Y ahora subí al forral.
[0:36:23.00]-[0:36:25.00]  ¿Qué te las tenía aquí de esos?
[0:36:25.00]-[0:36:27.00]  Les decía que no merece la pena tener gallinas.
[0:36:27.00]-[0:36:29.00]  No empolges el pienso muy caro.
[0:36:29.00]-[0:36:31.00]  Pero...
[0:36:31.00]-[0:36:33.00]  Di lo que quieras.
[0:36:33.00]-[0:36:35.00]  También los cocinos no resultaban caros.
[0:36:35.00]-[0:36:37.00]  Pero yo...
[0:36:37.00]-[0:36:39.00]  Tengo muchos años.
[0:36:39.00]-[0:36:41.00]  Y si mi hija quisiera...
[0:36:41.00]-[0:36:43.00]  Criaría hoy un poquillo.
[0:36:43.00]-[0:36:45.00]  Pero yo antes tenía pan y zo que sembraba mi marido.
[0:36:45.00]-[0:36:47.00]  Pero ahora como no se mebran...
[0:36:47.00]-[0:36:49.00]  Ahora no es nada más árbol.
[0:36:49.00]-[0:36:51.00]  Pues el pienso va muchísimo caro.
[0:36:53.00]-[0:36:55.00]  Pero tienes patatas menudas...
[0:36:55.00]-[0:36:57.00]  Que yo desrizo y tú igual.
[0:36:59.00]-[0:37:01.00]  Ya comen patatas.
[0:37:01.00]-[0:37:03.00]  Comen hierbas.
[0:37:03.00]-[0:37:05.00]  Porque yo salgo al huerto y centro a fergas.
[0:37:05.00]-[0:37:07.00]  Y comer...
[0:37:07.00]-[0:37:09.00]  Muy diferente.
[0:37:09.00]-[0:37:11.00]  Ya son mejor tus huevos.
[0:37:11.00]-[0:37:13.00]  Pero yo...
[0:37:13.00]-[0:37:15.00]  Cuando no tengo a mi madre me agrata.
[0:37:15.00]-[0:37:17.00]  Tengo a mis hijos y...
[0:37:17.00]-[0:37:19.00]  Y tienes en casa que esta mañana he tenido un compromiso.
[0:37:21.00]-[0:37:23.00]  Le he cido una oficina a huevos y se han ido tan contentos.
[0:37:25.00]-[0:37:27.00]  ¿Te quiero decir?
[0:37:27.00]-[0:37:29.00]  Y si no tienes nada en que hacer...
[0:37:29.00]-[0:37:31.00]  Tú, yo...
[0:37:31.00]-[0:37:33.00]  Dos o tres. Tres o cuatro tenemos gallinas.
[0:37:33.00]-[0:37:35.00]  Más...
[0:37:35.00]-[0:37:37.00]  Nadie.
[0:37:37.00]-[0:37:39.00]  Y cuántos huevos comen.
[0:37:39.00]-[0:37:41.00]  Y yo mira, anoche...
[0:37:41.00]-[0:37:43.00]  Me echó y quise una tortilla.
[0:37:43.00]-[0:37:45.00]  Y si quiero echar tres huevos...
[0:37:45.00]-[0:37:47.00]  Y los que quiero.
[0:37:47.00]-[0:37:49.00]  Y si no, echaría uno...
[0:37:49.00]-[0:37:51.00]  Nada.
[0:37:51.00]-[0:37:53.00]  Ahora en los pueblos la gente no tiene nada de trabajar.
[0:37:55.00]-[0:37:57.00]  De mi tiempo, yo tengo 68 años.
[0:37:57.00]-[0:37:59.00]  Y otros más jóvenes...
[0:37:59.00]-[0:38:01.00]  Que lo diga la...
[0:38:01.00]-[0:38:03.00]  No hay nada de trabajar.
[0:38:03.00]-[0:38:05.00]  Ni sembrar una hortaliza.
[0:38:05.00]-[0:38:07.00]  Pero yo...
[0:38:07.00]-[0:38:09.00]  Ya le he dicho a mi marido...
[0:38:09.00]-[0:38:11.00]  No digas a nadie.
[0:38:11.00]-[0:38:13.00]  Si tienes fruta que vaya a coger, eh.
[0:38:13.00]-[0:38:15.00]  Se te critican porque trabajas.
[0:38:15.00]-[0:38:17.00]  Pero que luego si lo haramos todo...
[0:38:19.00]-[0:38:21.00]  Si no coges más cerezas.
[0:38:21.00]-[0:38:23.00]  Coge mucha acido, verdad.
[0:38:23.00]-[0:38:25.00]  Nosotros no cogemos tanto...
[0:38:25.00]-[0:38:27.00]  Porque...
[0:38:27.00]-[0:38:29.00]  Después están trabajando toda la mañana...
[0:38:29.00]-[0:38:31.00]  Que no han liado las cerezas.
[0:38:31.00]-[0:38:33.00]  Y ahí no se conservan los campos...
[0:38:33.00]-[0:38:35.00]  Pero no tienen la prosperadito.
[0:38:37.00]-[0:38:39.00]  Ciruela y eso hemos cogido estos años bastante...
[0:38:39.00]-[0:38:41.00]  Pero...
[0:38:41.00]-[0:38:43.00]  Pero ahora llevamos dos años que viene el agua.
[0:38:43.00]-[0:38:45.00]  Cuando no tiene que venir el tiempo...
[0:38:45.00]-[0:38:47.00]  Y está en toda la floración...
[0:38:47.00]-[0:38:49.00]  Y no lian.
[0:38:49.00]-[0:38:51.00]  Porque nosotros este año podríamos haber tenido más de 20.000 kilos de ciruelas.
[0:38:51.00]-[0:38:53.00]  Y no lo vamos a tener.
[0:38:53.00]-[0:38:55.00]  Y de tanto...
[0:38:55.00]-[0:38:57.00]  Y nosotros las almendras de Ander Monti...
[0:38:57.00]-[0:38:59.00]  Pues se han helado.
[0:38:59.00]-[0:39:01.00]  Pero gracias que te dan algo de subvención.
[0:39:01.00]-[0:39:03.00]  Si no, no podías.
[0:39:03.00]-[0:39:05.00]  Si las cerezas hace dos años tuvimos 15.000 kilos.
[0:39:05.00]-[0:39:07.00]  Y este año la del cuatro.
[0:39:07.00]-[0:39:09.00]  En esta casa es ronquita.
[0:39:09.00]-[0:39:11.00]  Lo que pasa es que las cerezas siempre pasa lo mismo.
[0:39:11.00]-[0:39:13.00]  Viene una pequeña...
[0:39:13.00]-[0:39:15.00]  Y ahora por ejemplo, aunque estaban así las pocas que quedan...
[0:39:15.00]-[0:39:17.00]  Ha venido esta granizada.
[0:39:17.00]-[0:39:19.00]  Está taca picada.
[0:39:19.00]-[0:39:21.00]  El campo...
[0:39:21.00]-[0:39:23.00]  El cielo es ganadero.
[0:39:23.00]-[0:39:25.00]  Pues están vendiendo los corderos...
[0:39:25.00]-[0:39:27.00]  Como hace 20 años.
[0:39:27.00]-[0:39:29.00]  Y empiezo a dar mi chismo caro.
[0:39:29.00]-[0:39:31.00]  Por eso están quitando muchas ovejas.
[0:39:31.00]-[0:39:33.00]  El cordero mismo no vale.
[0:39:33.00]-[0:39:35.00]  Esto no ha compuesto...
[0:39:35.00]-[0:39:37.00]  Porque...
[0:39:37.00]-[0:39:39.00]  Antes una miércica de...
[0:39:39.00]-[0:39:41.00]  De carne...
[0:39:41.00]-[0:39:43.00]  Tenía el cocido en gusto.
[0:39:43.00]-[0:39:45.00]  Y ahora...
[0:39:45.00]-[0:39:47.00]  Te hice vejilla.
[0:39:47.00]-[0:39:49.00]  Ahora hay que echarle esta luz a todo.
[0:39:49.00]-[0:39:51.00]  Y si no, no vale.
