[0:00:00.00]-[0:00:07.00] ...chorizos y las morcillas. Luego para hacer las morcillas, cuecen calabaza.
[0:00:07.00]-[0:00:09.00]  ¿Con calabaza hacen aquí?
[0:19:14.00]-[0:19:18.00]  ¿Qué?
[0:19:18.00]-[0:19:22.00]  ¿Qué?
[0:19:22.00]-[0:19:26.00]  ¿Qué?
[0:19:26.00]-[0:19:30.00]  ¿Qué?
[0:19:30.00]-[0:19:34.00]  ¿Qué?
[0:19:34.00]-[0:19:38.00]  ¿Qué?
[0:19:38.00]-[0:19:42.00]  ¿Qué?
[0:19:42.00]-[0:19:46.00]  ¿Qué?
[0:19:46.00]-[0:19:50.00]  ¿Qué?
[0:19:50.00]-[0:19:54.00]  ¿Qué?
[0:19:54.00]-[0:19:58.00]  ¿Qué?
[0:19:58.00]-[0:20:02.00]  ¿Qué?
[0:20:02.00]-[0:20:06.00]  ¿Qué?
[0:20:06.00]-[0:20:10.00]  ¿Qué?
[0:20:10.00]-[0:20:14.00]  ¿Qué?
[0:20:14.00]-[0:20:18.00]  ¿Qué?
[0:20:18.00]-[0:20:22.00]  ¿Qué?
[0:20:22.00]-[0:20:26.00]  ¿Qué?
[0:20:26.00]-[0:20:30.00]  ¿Qué?
[0:20:30.00]-[0:20:34.00]  ¿Qué?
[0:20:34.00]-[0:20:38.00]  ¿Qué?
[0:20:38.00]-[0:20:42.00]  ¿Qué?
[0:20:42.00]-[0:20:46.00]  ¿Qué?
[0:20:46.00]-[0:20:50.00]  ¿Qué?
[0:20:50.00]-[0:20:54.00]  ¿Qué?
[0:20:54.00]-[0:20:58.00]  ¿Qué?
[0:20:58.00]-[0:21:02.00]  ¿Qué?
[0:21:02.00]-[0:21:06.00]  ¿Qué?
[0:21:06.00]-[0:21:10.00]  ¿Qué?
[0:21:10.00]-[0:21:14.00]  ¿Qué?
[0:21:14.00]-[0:21:18.00]  ¿Qué?
[0:21:18.00]-[0:21:22.00]  ¿Qué?
[0:21:22.00]-[0:21:26.00]  ¿Qué?
[0:21:26.00]-[0:21:30.00]  ¿Qué?
[0:21:30.00]-[0:21:34.00]  ¿Qué?
[0:21:34.00]-[0:21:38.00]  ¿Qué?
[0:21:38.00]-[0:21:42.00]  ¿Qué?
[0:21:42.00]-[0:21:46.00]  ¿Qué?
[0:21:46.00]-[0:21:50.00]  ¿Qué?
[0:21:50.00]-[0:21:54.00]  ¿Qué?
[0:21:54.00]-[0:21:58.00]  ¿Qué?
[0:21:58.00]-[0:22:02.00]  ¿Qué?
[0:22:02.00]-[0:22:06.00]  ¿Qué?
[0:22:06.00]-[0:22:10.00]  ¿Qué?
[0:22:10.00]-[0:22:14.00]  ¿Qué?
[0:22:14.00]-[0:22:18.00]  ¿Qué?
[0:22:18.00]-[0:22:22.00]  ¿Qué?
[0:22:22.00]-[0:22:26.00]  ¿Qué?
[0:22:26.00]-[0:22:30.00]  ¿Qué?
[0:22:30.00]-[0:22:34.00]  ¿Qué?
[0:22:34.00]-[0:22:38.00]  ¿Qué?
[0:22:38.00]-[0:22:42.00]  ¿Qué?
[0:22:42.00]-[0:22:46.00]  ¿Qué?
[0:22:46.00]-[0:22:50.00]  ¿Qué?
[0:22:50.00]-[0:22:54.00]  ¿Qué?
[0:22:54.00]-[0:22:58.00]  ¿Qué?
[0:22:58.00]-[0:23:02.00]  ¿Qué?
[0:23:02.00]-[0:23:06.00]  ¿Qué?
[0:23:06.00]-[0:23:10.00]  ¿Qué?
[0:23:10.00]-[0:23:14.00]  ¿Qué?
[0:23:14.00]-[0:23:18.00]  ¿Qué?
[0:23:18.00]-[0:23:22.00]  ¿Qué?
[0:23:22.00]-[0:23:26.00]  ¿Qué?
[0:23:26.00]-[0:23:30.00]  ¿Qué?
[0:23:30.00]-[0:23:34.00]  ¿Qué?
[0:23:34.00]-[0:23:38.00]  ¿Qué?
[0:23:38.00]-[0:23:42.00]  ¿Qué?
[0:23:42.00]-[0:23:46.00]  ¿Qué?
[0:23:46.00]-[0:23:50.00]  ¿Qué?
[0:23:50.00]-[0:23:54.00]  ¿Qué?
[0:23:54.00]-[0:23:58.00]  ¿Qué?
[0:23:58.00]-[0:24:02.00]  ¿Qué?
[0:24:02.00]-[0:24:06.00]  ¿Qué?
[0:24:06.00]-[0:24:10.00]  ¿Qué?
[0:24:10.00]-[0:24:14.00]  ¿Qué?
[0:24:14.00]-[0:24:18.00]  ¿Qué?
[0:24:18.00]-[0:24:22.00]  ¿Qué?
[0:24:22.00]-[0:24:26.00]  ¿Qué?
[0:24:26.00]-[0:24:30.00]  ¿Qué?
[0:24:30.00]-[0:24:34.00]  ¿Qué?
[0:24:34.00]-[0:24:38.00]  ¿Qué?
[0:24:38.00]-[0:24:42.00]  ¿Qué?
[0:24:42.00]-[0:24:46.00]  ¿Qué?
[0:24:46.00]-[0:24:50.00]  ¿Qué?
[0:24:50.00]-[0:24:54.00]  ¿Qué?
[0:24:54.00]-[0:24:58.00]  ¿Qué?
[0:24:58.00]-[0:25:02.00]  ¿Qué?
[0:25:02.00]-[0:25:06.00]  ¿Qué?
[0:25:06.00]-[0:25:10.00]  ¿Qué?
[0:25:10.00]-[0:25:14.00]  ¿Qué?
[0:25:14.00]-[0:25:18.00]  ¿Qué?
[0:25:18.00]-[0:25:22.00]  ¿Qué?
[0:25:22.00]-[0:25:26.00]  ¿Qué?
[0:25:26.00]-[0:25:30.00]  ¿Qué?
[0:25:30.00]-[0:25:34.00]  ¿Qué?
[0:25:34.00]-[0:25:38.00]  ¿Qué?
[0:25:38.00]-[0:25:42.00]  ¿Qué?
[0:25:42.00]-[0:25:46.00]  ¿Qué?
[0:25:46.00]-[0:25:50.00]  ¿Qué?
[0:25:50.00]-[0:25:54.00]  ¿Qué?
[0:25:54.00]-[0:25:58.00]  ¿Qué?
[0:25:58.00]-[0:26:02.00]  ¿Qué?
[0:26:02.00]-[0:26:06.00]  ¿Qué?
[0:26:06.00]-[0:26:10.00]  ¿Qué?
[0:26:10.00]-[0:26:14.00]  ¿Qué?
[0:26:14.00]-[0:26:18.00]  ¿Qué?
[0:26:18.00]-[0:26:22.00]  ¿Qué?
[0:26:22.00]-[0:26:26.00]  ¿Qué?
[0:26:26.00]-[0:26:30.00]  ¿Qué?
[0:26:30.00]-[0:26:34.00]  ¿Qué?
[0:26:34.00]-[0:26:38.00]  ¿Qué?
[0:26:38.00]-[0:26:42.00]  ¿Qué?
[0:26:42.00]-[0:26:46.00]  ¿Qué?
[0:26:46.00]-[0:26:50.00]  ¿Qué?
[0:26:50.00]-[0:26:54.00]  ¿Qué?
[0:26:54.00]-[0:26:58.00]  ¿Qué?
[0:26:58.00]-[0:27:02.00]  ¿Qué?
[0:27:02.00]-[0:27:06.00]  ¿Qué?
[0:27:06.00]-[0:27:10.00]  ¿Qué?
[0:27:10.00]-[0:27:14.00]  ¿Qué?
[0:27:14.00]-[0:27:18.00]  ¿Qué?
[0:27:18.00]-[0:27:22.00]  ¿Qué?
[0:27:22.00]-[0:27:26.00]  ¿Qué?
[0:27:26.00]-[0:27:30.00]  ¿Qué?
[0:27:30.00]-[0:27:34.00]  ¿Qué?
[0:27:34.00]-[0:27:38.00]  ¿Qué?
[0:27:38.00]-[0:27:42.00]  ¿Qué?
[0:27:42.00]-[0:27:46.00]  ¿Qué?
[0:27:46.00]-[0:27:50.00]  ¿Qué?
[0:27:50.00]-[0:27:54.00]  ¿Qué?
[0:27:54.00]-[0:27:58.00]  ¿Qué?
[0:27:58.00]-[0:28:02.00]  ¿Qué?
[0:28:02.00]-[0:28:06.00]  ¿Qué?
[0:28:06.00]-[0:28:10.00]  ¿Qué?
[0:28:10.00]-[0:28:14.00]  ¿Qué?
[0:28:14.00]-[0:28:18.00]  ¿Qué?
[0:28:18.00]-[0:28:22.00]  ¿Qué?
[0:28:22.00]-[0:28:26.00]  ¿Qué?
[0:28:26.00]-[0:28:30.00]  ¿Qué?
[0:28:30.00]-[0:28:34.00]  ¿Qué?
[0:28:34.00]-[0:28:38.00]  ¿Qué?
[0:28:38.00]-[0:28:42.00]  ¿Qué?
[0:28:42.00]-[0:28:46.00]  ¿Qué?
[0:28:46.00]-[0:28:50.00]  ¿Qué?
[0:28:50.00]-[0:28:54.00]  ¿Qué?
[0:28:54.00]-[0:28:58.00]  ¿Qué?
[0:28:58.00]-[0:29:02.00]  ¿Qué?
[0:29:02.00]-[0:29:06.00]  ¿Qué?
[0:29:06.00]-[0:29:10.00]  ¿Qué?
[0:29:10.00]-[0:29:14.00]  ¿Qué?
[0:29:14.00]-[0:29:18.00]  ¿Qué?
[0:29:18.00]-[0:29:22.00]  ¿Qué?
[0:29:22.00]-[0:29:26.00]  ¿Qué?
[0:29:26.00]-[0:29:30.00]  ¿Qué?
[0:29:30.00]-[0:29:34.00]  ¿Qué?
[0:29:34.00]-[0:29:38.00]  ¿Qué?
[0:29:38.00]-[0:29:42.00]  ¿Qué?
[0:29:42.00]-[0:29:46.00]  ¿Qué?
[0:29:46.00]-[0:29:50.00]  ¿Qué?
[0:29:50.00]-[0:29:54.00]  ¿Qué?
[0:29:54.00]-[0:29:58.00]  ¿Qué?
[0:29:58.00]-[0:30:02.00]  ¿Qué?
[0:30:02.00]-[0:30:06.00]  ¿Qué?
[0:30:06.00]-[0:30:10.00]  ¿Qué?
[0:30:10.00]-[0:30:14.00]  ¿Qué?
[0:30:14.00]-[0:30:18.00]  ¿Qué?
[0:30:18.00]-[0:30:22.00]  ¿Qué?
[0:30:22.00]-[0:30:26.00]  ¿Qué?
[0:30:26.00]-[0:30:30.00]  ¿Qué?
[0:30:30.00]-[0:30:34.00]  ¿Qué?
[0:30:34.00]-[0:30:38.00]  ¿Qué?
[0:30:38.00]-[0:30:42.00]  ¿Qué?
[0:30:42.00]-[0:30:46.00]  ¿Qué?
[0:30:46.00]-[0:30:50.00]  ¿Qué?
[0:30:50.00]-[0:30:54.00]  ¿Qué?
[0:30:54.00]-[0:30:58.00]  ¿Qué?
[0:30:58.00]-[0:31:02.00]  ¿Qué?
[0:31:02.00]-[0:31:06.00]  ¿Qué?
[0:31:06.00]-[0:31:10.00]  ¿Qué?
[0:31:10.00]-[0:31:14.00]  ¿Qué?
[0:31:14.00]-[0:31:18.00]  ¿Qué?
[0:31:18.00]-[0:31:22.00]  ¿Qué?
[0:31:22.00]-[0:31:26.00]  ¿Qué?
[0:31:26.00]-[0:31:30.00]  ¿Qué?
[0:31:30.00]-[0:31:34.00]  ¿Qué?
[0:31:34.00]-[0:31:38.00]  ¿Qué?
[0:31:38.00]-[0:31:42.00]  ¿Qué?
[0:31:42.00]-[0:31:46.00]  ¿Qué?
[0:31:46.00]-[0:31:50.00]  ¿Qué?
[0:31:50.00]-[0:31:54.00]  ¿Qué?
[0:31:54.00]-[0:31:58.00]  ¿Qué?
[0:31:58.00]-[0:32:02.00]  ¿Qué?
[0:32:02.00]-[0:32:06.00]  ¿Qué?
[0:32:06.00]-[0:32:10.00]  ¿Qué?
[0:32:10.00]-[0:32:14.00]  ¿Qué?
[0:32:14.00]-[0:32:18.00]  ¿Qué?
[0:32:18.00]-[0:32:22.00]  ¿Qué?
[0:32:22.00]-[0:32:26.00]  ¿Qué?
[0:32:26.00]-[0:32:30.00]  ¿Qué?
[0:32:30.00]-[0:32:34.00]  ¿Qué?
[0:32:34.00]-[0:32:38.00]  ¿Qué?
[0:32:38.00]-[0:32:42.00]  ¿Qué?
[0:32:42.00]-[0:32:46.00]  ¿Qué?
[0:32:46.00]-[0:32:50.00]  ¿Qué?
[0:32:50.00]-[0:32:54.00]  ¿Qué?
[0:32:54.00]-[0:32:58.00]  ¿Qué?
[0:32:58.00]-[0:33:02.00]  ¿Qué?
[0:33:02.00]-[0:33:06.00]  ¿Qué?
[0:33:06.00]-[0:33:10.00]  ¿Qué?
[0:33:10.00]-[0:33:14.00]  ¿Qué?
[0:33:14.00]-[0:33:18.00]  ¿Qué?
[0:33:18.00]-[0:33:22.00]  ¿Qué?
[0:33:22.00]-[0:33:26.00]  ¿Qué?
[0:33:26.00]-[0:33:30.00]  ¿Qué?
[0:33:30.00]-[0:33:34.00]  ¿Qué?
[0:33:34.00]-[0:33:38.00]  ¿Qué?
[0:33:38.00]-[0:33:42.00]  ¿Qué?
[0:33:42.00]-[0:33:46.00]  ¿Qué?
[0:33:46.00]-[0:33:50.00]  ¿Qué?
[0:33:50.00]-[0:33:54.00]  ¿Qué?
[0:33:54.00]-[0:33:58.00]  ¿Qué?
[0:33:58.00]-[0:34:02.00]  ¿Qué?
[0:34:02.00]-[0:34:06.00]  ¿Qué?
[0:34:06.00]-[0:34:10.00]  ¿Qué?
[0:34:10.00]-[0:34:14.00]  ¿Qué?
[0:34:14.00]-[0:34:18.00]  ¿Qué?
[0:34:18.00]-[0:34:22.00]  ¿Qué?
[0:34:22.00]-[0:34:26.00]  ¿Qué?
[0:34:26.00]-[0:34:30.00]  ¿Qué?
[0:34:30.00]-[0:34:34.00]  ¿Qué?
[0:34:34.00]-[0:34:38.00]  ¿Qué?
[0:34:38.00]-[0:34:42.00]  ¿Qué?
[0:34:42.00]-[0:34:46.00]  ¿Qué?
[0:34:46.00]-[0:34:50.00]  ¿Qué?
[0:34:50.00]-[0:34:54.00]  ¿Qué?
[0:34:54.00]-[0:34:58.00]  ¿Qué?
[0:34:58.00]-[0:35:02.00]  ¿Qué?
[0:35:02.00]-[0:35:06.00]  ¿Qué?
[0:35:06.00]-[0:35:10.00]  ¿Qué?
[0:35:10.00]-[0:35:14.00]  ¿Qué?
[0:35:14.00]-[0:35:18.00]  ¿Qué?
[0:35:18.00]-[0:35:22.00]  ¿Qué?
[0:35:22.00]-[0:35:26.00]  ¿Qué?
[0:35:26.00]-[0:35:30.00]  ¿Qué?
[0:35:30.00]-[0:35:34.00]  ¿Qué?
[0:35:34.00]-[0:35:38.00]  ¿Qué?
[0:35:38.00]-[0:35:42.00]  ¿Qué?
[0:35:42.00]-[0:35:46.00]  ¿Qué?
[0:35:46.00]-[0:35:50.00]  ¿Qué?
[0:35:50.00]-[0:35:54.00]  ¿Qué?
[0:35:54.00]-[0:35:58.00]  ¿Qué?
[0:35:58.00]-[0:36:02.00]  ¿Qué?
[0:36:02.00]-[0:36:06.00]  ¿Qué?
[0:36:06.00]-[0:36:10.00]  ¿Qué?
[0:36:10.00]-[0:36:14.00]  ¿Qué?
[0:36:14.00]-[0:36:18.00]  ¿Qué?
[0:36:18.00]-[0:36:22.00]  ¿Qué?
[0:36:22.00]-[0:36:26.00]  ¿Qué?
[0:36:26.00]-[0:36:30.00]  ¿Qué?
[0:36:30.00]-[0:36:34.00]  ¿Qué?
[0:36:34.00]-[0:36:38.00]  ¿Qué?
[0:36:38.00]-[0:36:42.00]  ¿Qué?
[0:36:42.00]-[0:36:46.00]  ¿Qué?
[0:36:46.00]-[0:36:50.00]  ¿Qué?
[0:36:50.00]-[0:36:54.00]  ¿Qué?
[0:36:54.00]-[0:36:58.00]  ¿Qué?
[0:36:58.00]-[0:37:02.00]  ¿Qué?
[0:37:02.00]-[0:37:06.00]  ¿Qué?
[0:37:06.00]-[0:37:10.00]  ¿Qué?
[0:37:10.00]-[0:37:14.00]  ¿Qué?
[0:37:14.00]-[0:37:18.00]  ¿Qué?
[0:37:18.00]-[0:37:22.00]  ¿Qué?
[0:37:22.00]-[0:37:26.00]  ¿Qué?
[0:37:26.00]-[0:37:30.00]  ¿Qué?
[0:37:30.00]-[0:37:34.00]  ¿Qué?
[0:37:34.00]-[0:37:38.00]  ¿Qué?
[0:37:38.00]-[0:37:42.00]  ¿Qué?
[0:37:42.00]-[0:37:46.00]  ¿Qué?
[0:37:46.00]-[0:37:50.00]  ¿Qué?
[0:37:50.00]-[0:37:54.00]  ¿Qué?
[0:37:54.00]-[0:37:58.00]  ¿Qué?
[0:37:58.00]-[0:38:02.00]  ¿Qué?
[0:38:02.00]-[0:38:06.00]  ¿Qué?
[0:38:06.00]-[0:38:10.00]  ¿Qué?
[0:38:10.00]-[0:38:14.00]  ¿Qué?
[0:38:14.00]-[0:38:18.00]  ¿Qué?
[0:38:18.00]-[0:38:22.00]  ¿Qué?
[0:38:22.00]-[0:38:26.00]  ¿Qué?
[0:38:26.00]-[0:38:30.00]  ¿Qué?
[0:38:30.00]-[0:38:34.00]  ¿Qué?
[0:38:34.00]-[0:38:38.00]  ¿Qué?
[0:38:38.00]-[0:38:42.00]  ¿Qué?
[0:38:42.00]-[0:38:46.00]  ¿Qué?
[0:38:46.00]-[0:38:50.00]  ¿Qué?
[0:38:50.00]-[0:38:54.00]  ¿Qué?
[0:38:54.00]-[0:38:58.00]  ¿Qué?
[0:38:58.00]-[0:39:02.00]  ¿Qué?
[0:39:02.00]-[0:39:06.00]  ¿Qué?
[0:39:06.00]-[0:39:10.00]  ¿Qué?
[0:39:10.00]-[0:39:14.00]  ¿Qué?
[0:39:14.00]-[0:39:18.00]  ¿Qué?
[0:39:18.00]-[0:39:22.00]  ¿Qué?
[0:39:22.00]-[0:39:26.00]  ¿Qué?
[0:39:26.00]-[0:39:30.00]  ¿Qué?
[0:39:30.00]-[0:39:34.00]  ¿Qué?
[0:39:34.00]-[0:39:38.00]  ¿Qué?
[0:39:38.00]-[0:39:42.00]  ¿Qué?
[0:39:42.00]-[0:39:46.00]  ¿Qué?
[0:39:46.00]-[0:39:50.00]  ¿Qué?
[0:39:50.00]-[0:39:54.00]  ¿Qué?
[0:39:54.00]-[0:39:58.00]  ¿Qué?
[0:39:58.00]-[0:40:02.00]  ¿Qué?
[0:40:02.00]-[0:40:06.00]  ¿Qué?
[0:40:06.00]-[0:40:10.00]  ¿Qué?
[0:40:10.00]-[0:40:14.00]  ¿Qué?
[0:40:14.00]-[0:40:18.00]  ¿Qué?
[0:40:18.00]-[0:40:22.00]  ¿Qué?
[0:40:22.00]-[0:40:26.00]  ¿Qué?
[0:40:26.00]-[0:40:30.00]  ¿Qué?
[0:40:30.00]-[0:40:34.00]  ¿Qué?
[0:40:34.00]-[0:40:38.00]  ¿Qué?
[0:40:38.00]-[0:40:42.00]  ¿Qué?
[0:40:42.00]-[0:40:46.00]  ¿Qué?
[0:40:46.00]-[0:40:50.00]  ¿Qué?
[0:40:50.00]-[0:40:54.00]  ¿Qué?
[0:40:54.00]-[0:40:58.00]  ¿Qué?
[0:40:58.00]-[0:41:02.00]  ¿Qué?
[0:41:02.00]-[0:41:06.00]  ¿Qué?
[0:41:06.00]-[0:41:10.00]  ¿Qué?
[0:41:10.00]-[0:41:14.00]  ¿Qué?
[0:41:14.00]-[0:41:18.00]  ¿Qué?
[0:41:18.00]-[0:41:22.00]  ¿Qué?
[0:41:22.00]-[0:41:26.00]  ¿Qué?
[0:41:26.00]-[0:41:30.00]  ¿Qué?
[0:41:30.00]-[0:41:34.00]  ¿Qué?
[0:41:34.00]-[0:41:38.00]  ¿Qué?
[0:41:38.00]-[0:41:42.00]  ¿Qué?
[0:41:42.00]-[0:41:46.00]  ¿Qué?
[0:41:46.00]-[0:41:50.00]  ¿Qué?
[0:41:50.00]-[0:41:54.00]  ¿Qué?
[0:41:54.00]-[0:41:58.00]  ¿Qué?
[0:41:58.00]-[0:42:02.00]  ¿Qué?
[0:42:02.00]-[0:42:06.00]  ¿Qué?
[0:42:06.00]-[0:42:10.00]  ¿Qué?
[0:42:10.00]-[0:42:14.00]  ¿Qué?
[0:42:14.00]-[0:42:18.00]  ¿Qué?
[0:42:18.00]-[0:42:22.00]  ¿Qué?
[0:42:22.00]-[0:42:26.00]  ¿Qué?
[0:42:26.00]-[0:42:30.00]  ¿Qué?
[0:42:30.00]-[0:42:34.00]  ¿Qué?
[0:42:34.00]-[0:42:38.00]  ¿Qué?
[0:42:38.00]-[0:42:42.00]  ¿Qué?
[0:42:42.00]-[0:42:46.00]  ¿Qué?
[0:42:46.00]-[0:42:50.00]  ¿Qué?
[0:42:50.00]-[0:42:54.00]  ¿Qué?
[0:42:54.00]-[0:42:58.00]  ¿Qué?
[0:42:58.00]-[0:43:02.00]  ¿Qué?
[0:43:02.00]-[0:43:06.00]  ¿Qué?
[0:43:06.00]-[0:43:10.00]  ¿Qué?
[0:43:10.00]-[0:43:14.00]  ¿Qué?
[0:43:14.00]-[0:43:18.00]  ¿Qué?
[0:43:18.00]-[0:43:22.00]  ¿Qué?
[0:43:22.00]-[0:43:26.00]  ¿Qué?
[0:43:26.00]-[0:43:30.00]  ¿Qué?
[0:43:30.00]-[0:43:34.00]  ¿Qué?
[0:43:34.00]-[0:43:38.00]  ¿Qué?
[0:43:38.00]-[0:43:42.00]  ¿Qué?
[0:43:42.00]-[0:43:46.00]  ¿Qué?
[0:43:46.00]-[0:43:50.00]  ¿Qué?
[0:43:50.00]-[0:43:54.00]  ¿Qué?
[0:43:54.00]-[0:43:58.00]  ¿Qué?
[0:43:58.00]-[0:44:02.00]  ¿Qué?
[0:44:02.00]-[0:44:06.00]  ¿Qué?
[0:44:06.00]-[0:44:10.00]  ¿Qué?
[0:44:10.00]-[0:44:14.00]  ¿Qué?
[0:44:14.00]-[0:44:18.00]  ¿Qué?
[0:44:18.00]-[0:44:22.00]  ¿Qué?
[0:44:22.00]-[0:44:26.00]  ¿Qué?
[0:44:26.00]-[0:44:30.00]  ¿Qué?
[0:44:30.00]-[0:44:34.00]  ¿Qué?
[0:44:34.00]-[0:44:38.00]  ¿Qué?
[0:44:38.00]-[0:44:42.00]  ¿Qué?
[0:44:42.00]-[0:44:46.00]  ¿Qué?
[0:44:46.00]-[0:44:50.00]  ¿Qué?
[0:44:50.00]-[0:44:54.00]  ¿Qué?
[0:44:54.00]-[0:44:58.00]  ¿Qué?
[0:44:58.00]-[0:45:02.00]  ¿Qué?
[0:45:02.00]-[0:45:06.00]  ¿Qué?
[0:45:06.00]-[0:45:10.00]  ¿Qué?
[0:45:10.00]-[0:45:14.00]  ¿Qué?
[0:45:14.00]-[0:45:18.00]  ¿Qué?
[0:45:18.00]-[0:45:22.00]  ¿Qué?
[0:45:22.00]-[0:45:26.00]  ¿Qué?
[0:45:26.00]-[0:45:30.00]  ¿Qué?
[0:45:30.00]-[0:45:34.00]  ¿Qué?
[0:45:34.00]-[0:45:38.00]  ¿Qué?
[0:45:38.00]-[0:45:42.00]  ¿Qué?
[0:45:42.00]-[0:45:46.00]  ¿Qué?
[0:45:46.00]-[0:45:50.00]  ¿Qué?
[0:45:50.00]-[0:45:54.00]  ¿Qué?
[0:45:54.00]-[0:45:58.00]  ¿Qué?
[0:45:58.00]-[0:46:02.00]  ¿Qué?
[0:46:02.00]-[0:46:06.00]  ¿Qué?
[0:46:06.00]-[0:46:10.00]  ¿Qué?
[0:46:10.00]-[0:46:14.00]  ¿Qué?
[0:46:14.00]-[0:46:18.00]  ¿Qué?
[0:46:18.00]-[0:46:22.00]  ¿Qué?
[0:46:22.00]-[0:46:26.00]  ¿Qué?
[0:46:26.00]-[0:46:30.00]  ¿Qué?
[0:46:30.00]-[0:46:34.00]  ¿Qué?
[0:46:34.00]-[0:46:38.00]  ¿Qué?
[0:46:38.00]-[0:46:42.00]  ¿Qué?
[0:46:42.00]-[0:46:46.00]  ¿Qué?
[0:46:46.00]-[0:46:50.00]  ¿Qué?
[0:46:50.00]-[0:46:54.00]  ¿Qué?
[0:46:54.00]-[0:46:58.00]  ¿Qué?
[0:46:58.00]-[0:47:02.00]  ¿Qué?
[0:47:02.00]-[0:47:06.00]  ¿Qué?
[0:47:06.00]-[0:47:10.00]  ¿Qué?
[0:47:10.00]-[0:47:14.00]  ¿Qué?
[0:47:14.00]-[0:47:18.00]  ¿Qué?
[0:47:18.00]-[0:47:22.00]  ¿Qué?
[0:47:22.00]-[0:47:26.00]  ¿Qué?
[0:47:26.00]-[0:47:30.00]  ¿Qué?
[0:47:30.00]-[0:47:34.00]  ¿Qué?
[0:47:34.00]-[0:47:38.00]  ¿Qué?
[0:47:38.00]-[0:47:42.00]  ¿Qué?
[0:47:42.00]-[0:47:46.00]  ¿Qué?
[0:47:46.00]-[0:47:50.00]  ¿Qué?
[0:47:50.00]-[0:47:54.00]  ¿Qué?
[0:47:54.00]-[0:47:58.00]  ¿Qué?
[0:47:58.00]-[0:48:02.00]  ¿Qué?
[0:48:02.00]-[0:48:06.00]  ¿Qué?
[0:48:06.00]-[0:48:10.00]  ¿Qué?
[0:48:10.00]-[0:48:14.00]  ¿Qué?
[0:48:14.00]-[0:48:18.00]  ¿Qué?
[0:48:18.00]-[0:48:22.00]  ¿Qué?
[0:48:22.00]-[0:48:26.00]  ¿Qué?
[0:48:26.00]-[0:48:30.00]  ¿Qué?
[0:48:30.00]-[0:48:34.00]  ¿Qué?
[0:48:34.00]-[0:48:38.00]  ¿Qué?
[0:48:38.00]-[0:48:42.00]  ¿Qué?
[0:48:42.00]-[0:48:46.00]  ¿Qué?
[0:48:46.00]-[0:48:50.00]  ¿Qué?
[0:48:50.00]-[0:48:54.00]  ¿Qué?
[0:48:54.00]-[0:48:58.00]  ¿Qué?
[0:48:58.00]-[0:49:02.00]  ¿Qué?
[0:49:02.00]-[0:49:06.00]  ¿Qué?
[0:49:06.00]-[0:49:10.00]  ¿Qué?
[0:49:10.00]-[0:49:14.00]  ¿Qué?
[0:49:14.00]-[0:49:18.00]  ¿Qué?
[0:49:18.00]-[0:49:22.00]  ¿Qué?
[0:49:22.00]-[0:49:26.00]  ¿Qué?
[0:49:26.00]-[0:49:30.00]  ¿Qué?
[0:49:30.00]-[0:49:34.00]  ¿Qué?
[0:49:34.00]-[0:49:38.00]  ¿Qué?
[0:49:38.00]-[0:49:42.00]  ¿Qué?
[0:49:42.00]-[0:49:46.00]  ¿Qué?
[0:49:46.00]-[0:49:50.00]  ¿Qué?
[0:49:50.00]-[0:49:54.00]  ¿Qué?
[0:49:54.00]-[0:49:58.00]  ¿Qué?
[0:49:58.00]-[0:50:02.00]  ¿Qué?
[0:50:02.00]-[0:50:06.00]  ¿Qué?
[0:50:06.00]-[0:50:10.00]  ¿Qué?
[0:50:10.00]-[0:50:14.00]  ¿Qué?
[0:50:14.00]-[0:50:18.00]  ¿Qué?
[0:50:18.00]-[0:50:22.00]  ¿Qué?
[0:50:22.00]-[0:50:26.00]  ¿Qué?
[0:50:26.00]-[0:50:30.00]  ¿Qué?
[0:50:30.00]-[0:50:34.00]  ¿Qué?
[0:50:34.00]-[0:50:38.00]  ¿Qué?
[0:50:38.00]-[0:50:42.00]  ¿Qué?
[0:50:42.00]-[0:50:46.00]  ¿Qué?
[0:50:46.00]-[0:50:50.00]  ¿Qué?
[0:50:50.00]-[0:50:54.00]  ¿Qué?
[0:50:54.00]-[0:50:58.00]  ¿Qué?
[0:50:58.00]-[0:51:02.00]  ¿Qué?
[0:51:02.00]-[0:51:06.00]  ¿Qué?
[0:51:06.00]-[0:51:10.00]  ¿Qué?
[0:51:10.00]-[0:51:14.00]  ¿Qué?
[0:51:14.00]-[0:51:18.00]  ¿Qué?
[0:51:18.00]-[0:51:22.00]  ¿Qué?
[0:51:22.00]-[0:51:26.00]  ¿Qué?
[0:51:26.00]-[0:51:30.00]  ¿Qué?
[0:51:30.00]-[0:51:34.00]  ¿Qué?
[0:51:34.00]-[0:51:38.00]  ¿Qué?
[0:51:38.00]-[0:51:42.00]  ¿Qué?
[0:51:42.00]-[0:51:46.00]  ¿Qué?
[0:51:46.00]-[0:51:50.00]  ¿Qué?
[0:51:50.00]-[0:51:54.00]  ¿Qué?
[0:51:54.00]-[0:51:58.00]  ¿Qué?
[0:51:58.00]-[0:52:02.00]  ¿Qué?
[0:52:02.00]-[0:52:06.00]  ¿Qué?
[0:52:06.00]-[0:52:10.00]  ¿Qué?
[0:52:10.00]-[0:52:14.00]  ¿Qué?
[0:52:14.00]-[0:52:18.00]  ¿Qué?
