[0:00:00.00]-[0:00:02.00]  Hola, buenos días.
[0:22:31.00]-[0:22:36.00]  para que no eso cuando lo pones el jamón en el culo del cajón
[0:22:36.00]-[0:22:40.00]  le pones el cajón y sale ahí, al cajón
[0:22:40.00]-[0:22:45.00]  y luego le pones los jamones y le pones sal en ahí y ajos picados
[0:22:45.00]-[0:22:50.00]  ¿sabes? y así tiene una cueva en el jamón del hueso y eso también se le pone
[0:22:50.00]-[0:22:52.00]  aquí me van a sacar de eso
[0:22:52.00]-[0:22:55.00]  no me podían haber trocado otras palillas nada más que los jamones
[0:22:55.00]-[0:22:57.00]  y todo eso de las batanzas
[0:22:57.00]-[0:22:59.00]  ¿cadía que le saque silla?
[0:22:59.00]-[0:23:01.00]  no, no
[0:23:01.00]-[0:23:03.00]  nos vamos a hacer el que da otro pueblo
[0:23:03.00]-[0:23:05.00]  sí, acabamos la patanza
[0:23:05.00]-[0:23:24.00]  ¿tú tienes la cuenta de la patanza que he hecho yo?
[0:23:24.00]-[0:23:28.00]  ¿el pueblo en el que nació? ¿me ha dicho el pueblo en el que nació?
[0:23:28.00]-[0:23:30.00]  el pueblo en el que nació
[0:23:30.00]-[0:23:32.00]  la golfilla
[0:23:32.00]-[0:23:35.00]  de Casas del Río hacia arriba
[0:23:35.00]-[0:23:36.00]  Casas del Río
[0:23:36.00]-[0:23:44.00]  pasas el puente, hay un puente que pasa el río Gabriel
[0:23:44.00]-[0:23:48.00]  y luego hay una aldeeta más para allá
[0:23:48.00]-[0:23:50.00]  luego subes hacia arriba
[0:23:50.00]-[0:23:54.00]  y va ahí, va arriba, arriba, arriba, estará un par de horas
[0:23:54.00]-[0:23:58.00]  y hay una piedra muy grande, orilla de la esa
[0:23:58.00]-[0:24:03.00]  y de allí parte Valencia y para allá al Bacete
[0:24:03.00]-[0:24:09.00]  y me casé yo allí, bueno aquí, en Balsa del Rey, que pertenezca allí, Balsa del Rey
[0:24:09.00]-[0:24:14.00]  me casé allí, me vine aquí y aquí estoy
[0:24:14.00]-[0:24:18.00]  y se ponen las costillas, el lomo, lo que tú quieras
[0:24:18.00]-[0:24:20.00]  lo que no quieras hacer, tú no organizas
[0:24:20.00]-[0:24:22.00]  lo dejas todo con sal
[0:24:22.00]-[0:24:26.00]  ¿sabes? y las mordillas colgadas
[0:24:26.00]-[0:24:28.00]  y las longanizas colgadas
[0:24:28.00]-[0:24:31.00]  y a hechas con su tripa, las limpias y las seas
[0:24:31.00]-[0:24:35.00]  y la de cerdo, coges y le quitas con las tijeras
[0:24:35.00]-[0:24:39.00]  la manteca, la manteca alrededor porque está hecha vueltas y todo eso
[0:24:39.00]-[0:24:42.00]  y coges y la lavas y luego la revuelves
[0:24:42.00]-[0:24:46.00]  y todo eso, que te las adobo, agua de hinojo
[0:24:46.00]-[0:24:50.00]  y vinagre y sal y cebolla cruda
[0:24:50.00]-[0:24:53.00]  y harina y todo eso, así se ponen cosas
[0:24:53.00]-[0:24:55.00]  ¿y cuántos días estábamos?
[0:24:55.00]-[0:25:01.00]  bueno y la costilla y todo eso debe estar unos 15 días en sal
[0:25:01.00]-[0:25:08.00]  y a los 15 días si la mordilla, la longaniza, eso pues la dejas que no se seque todo
[0:25:08.00]-[0:25:10.00]  porque a mí me ha gustado todo
[0:25:10.00]-[0:25:16.00]  el lomo, la costilla y la longaniza junto
[0:25:16.00]-[0:25:20.00]  ¿sabes? y la papá, la papá del cerdo ¿sabes también?
[0:25:20.00]-[0:25:23.00]  la papá del cerdo también, que eso ¿sabes?
[0:25:23.00]-[0:25:29.00]  eso porque vas al alfa y dices voy a sacar una taja de esto, otra de otra
[0:25:29.00]-[0:25:32.00]  para presentar un plato o para comer ese día
[0:25:32.00]-[0:25:35.00]  no va a ser longaniza todo solo, casi
[0:25:35.00]-[0:25:39.00]  y entonces se sacan, a los 15 días las costillas
[0:25:39.00]-[0:25:44.00]  se pone, esto, en un lebrillo se cuece
[0:25:44.00]-[0:25:48.00]  bueno en un caldero, pero en un lebrillo se echa, es agua, dinojo
[0:25:48.00]-[0:25:51.00]  agua dinojo, se cuece el dinojo y se pone
[0:25:51.00]-[0:25:53.00]  se le echa el agua del dinojo
[0:25:53.00]-[0:25:57.00]  especias, pimienta y clavillo y todo eso
[0:25:57.00]-[0:26:00.00]  unos trocitos de limón, unos trocitos de limón
[0:26:00.00]-[0:26:02.00]  y aparte unas hojas de laurel
[0:26:02.00]-[0:26:05.00]  yo eso he hecho y también
[0:26:05.00]-[0:26:08.00]  otra cosa no les puedo dar de explique pero en eso
[0:26:08.00]-[0:26:13.00]  no voy a hacerle las matanzas a mi nuera ahí va va va va
[0:26:13.00]-[0:26:16.00]  otra cosa no sabré pero eso
[0:26:16.00]-[0:26:21.00]  eso y puntos que me gusta mi coser y más agua
[0:26:21.00]-[0:26:26.00]  y una pregunta, los cerdos eran de, tenían cerdos, criaban o como eran?
[0:26:26.00]-[0:26:31.00]  a veces, bueno en la bolsilla si, teníamos cerdas de cría
[0:26:31.00]-[0:26:34.00]  bueno no le he dicho determinado eso de las costillas
[0:26:34.00]-[0:26:38.00]  y se combinaba cuando estuviesen las longanizas
[0:26:38.00]-[0:26:42.00]  ya secas, sabe echar los adobos que se decían
[0:26:42.00]-[0:26:46.00]  que es el agua de dinojo y todo eso y se tenían dos días o por ahí
[0:26:46.00]-[0:26:48.00]  que es el agua de dinojo?
[0:26:48.00]-[0:26:52.00]  una planta que hay por ahí que le dicen el dinojo
[0:26:52.00]-[0:26:53.00]  y entonces se pone en agua?
[0:26:53.00]-[0:26:59.00]  en agua si, el dinojo se pone a cocer y se echa esa agua cuando está fría ahí
[0:26:59.00]-[0:27:02.00]  y se hace todo eso, si
[0:27:02.00]-[0:27:08.00]  si y entonces pues echas eso, el adobo y a los dos días que esté
[0:27:08.00]-[0:27:12.00]  ahí en esa agua que echan un gusto muy bueno, los gustas y dices
[0:27:12.00]-[0:27:18.00]  pues esto está bueno ya o los gustas la chicha un trocito frito o lo que sea
[0:27:18.00]-[0:27:23.00]  y entonces dices pues esto ya está, se cuelga también y entonces se combina
[0:27:23.00]-[0:27:31.00]  de freír la longaniza y todo, se pone el aceite en la lumbre a calentar
[0:27:31.00]-[0:27:35.00]  y cuando está caliente se deja un poquito que no esté muy eso
[0:27:35.00]-[0:27:40.00]  porque si no se asorrata mucho por fuera y por dentro no se cala
[0:27:40.00]-[0:27:45.00]  o pues quita leña entonces le da lumbre que no se quita la esencia
[0:27:45.00]-[0:27:50.00]  y que tenga poca lumbre y entonces se echa la papá lo primero
[0:27:50.00]-[0:27:52.00]  porque?
[0:27:52.00]-[0:27:56.00]  porque es la tajá que más gorda y es más grasa
[0:27:56.00]-[0:28:01.00]  esa, se le da un poco tiene pues que le voy a decir
[0:28:01.00]-[0:28:07.00]  pues unos cinco minutos es hasta ja, y luego se echa la costilla
[0:28:07.00]-[0:28:12.00]  y luego se echa el lomo, el lomo lo último, el lomo iremos luego lo último
[0:28:12.00]-[0:28:20.00]  la costilla y se le da unas vueltas eso y entonces coge y se echa la longaniza
[0:28:20.00]-[0:28:24.00]  tiene que freírse el otro un poquito porque es carne y el otro se triante
[0:28:24.00]-[0:28:31.00]  la longaniza, nada más le decimos de la longaniza el chorizo y todo eso
[0:28:31.00]-[0:28:35.00]  eso se aparte, eso se hace de otra manera hombre se fríe también
[0:28:35.00]-[0:28:40.00]  pero como tiene tanta especia colorada y todo eso no combina de hacer esas cosas
[0:28:40.00]-[0:28:46.00]  y entonces se echa toda esa tajá y cuando está ya a punto de apartarlo
[0:28:46.00]-[0:28:50.00]  entonces el lomo se hace cortaditas que le voy a decir
[0:28:50.00]-[0:28:56.00]  pues como el dedo o eso, cortadas, cortadas, cortadas, las cortadas así
[0:28:56.00]-[0:29:01.00]  y entonces se le echa lo último y se está pues unos diez minutos o por ahí el lomo
[0:29:01.00]-[0:29:06.00]  que no quiere porque si no está muy seco y así está muy tierno
[0:29:06.00]-[0:29:11.00]  así que mira, si va, otra cosa no sabré pero eso
[0:29:11.00]-[0:29:14.00]  y además que aparte de cerdos teníamos animales ¿no?
[0:29:14.00]-[0:29:18.00]  hombre pues si, conejos y de todo y gallinas y de todo
[0:29:18.00]-[0:29:23.00]  yo tengo de todo gallinas, le estoy criando que mis chicos
[0:29:23.00]-[0:29:30.00]  bueno son dos albañiles, pero albañiles ¿sí?
[0:29:30.00]-[0:29:35.00]  de chales y todo, en casa del vean es que hay un hotel y bueno albañiles
[0:29:35.00]-[0:29:38.00]  y el otro lo tengo en una núclea el pequeño
[0:29:38.00]-[0:29:44.00]  y estoy criando conejos de monte que son cazadores
[0:29:44.00]-[0:29:48.00]  tengo dos cazadores y el de aquí de la chica que es alcaldesa
[0:29:48.00]-[0:29:52.00]  esa no, ese no es, ese no le gusta, le gustan los pájaros y todo
[0:29:52.00]-[0:29:56.00]  pero a los otros les gusta mucho y tienen el coto en Albacete
[0:29:56.00]-[0:30:01.00]  y van a cazar allí los viernes y las tardes se van, eso
[0:30:01.00]-[0:30:04.00]  y eso, le cuento
[0:30:04.00]-[0:30:09.00]  volviendo al cerdo, le preguntaba si tenían en la casa
[0:30:09.00]-[0:30:15.00]  en la casa pues había eso, tenían a lo mejor, tenían cerdas de cría
[0:30:15.00]-[0:30:19.00]  ¿sabes? cerdas que tenían para cimentar y el cerdo ¿sabes?
[0:30:19.00]-[0:30:23.00]  tenías el barraco que le decían, se le decía el barraco
[0:30:23.00]-[0:30:28.00]  el barraco sí señor, el cimentar se le decía al cerdo
[0:30:28.00]-[0:30:32.00]  el barraco, el cimentar sí señor
[0:30:32.00]-[0:30:36.00]  y las chinas de cría pues unas cerdas de cría
[0:30:36.00]-[0:30:40.00]  se le dejaban y se tenían y a lo mejor si
[0:30:40.00]-[0:30:44.00]  eso tenía, como tenía mucho arrebro pues le echaban el cimentar
[0:30:44.00]-[0:30:52.00]  y tenían chinetes y si los querías pues mataban dos o tres y los otros los vendías
[0:30:52.00]-[0:30:58.00]  claro, y ¿cuántos cerdos tenía una cerda?
[0:30:58.00]-[0:31:02.00]  ¿cuántos le tenían? pues a lo mejor ocho, nueve y hasta diez
[0:31:02.00]-[0:31:04.00]  ¿sí? sí
[0:31:04.00]-[0:31:09.00]  ¿cómo parían? parían pues bien, les quitabas eso que
[0:31:09.00]-[0:31:15.00]  ¿sabes? sacabas así todo eso, limpiabas con unos trapos y se los ponías en los pechos
[0:31:15.00]-[0:31:18.00]  y ya se tumbaban y les daban
[0:31:18.00]-[0:31:24.00]  y luego ellas, pues ya se recogían y eso
[0:31:24.00]-[0:31:28.00]  y luego se tumbaban y les venía la pollauora que decían
[0:31:28.00]-[0:31:33.00]  la pollauora le dicen la teta ¿sabes? la teta les llamaban
[0:31:33.00]-[0:31:35.00]  y ella se ponía
[0:31:35.00]-[0:31:40.00]  y entonces mira si no estaban los chinetes salían unos chorros de leche
[0:31:40.00]-[0:31:45.00]  la cerda y entonces se atiraban todos y cuando no les quedaba ya me hacían
[0:31:45.00]-[0:31:47.00]  ¡mmm! ¡mmm! ¡mmm!
[0:31:47.00]-[0:31:52.00]  ¡madre mía de mi vida! eso es todo lo que le he dicho es cierto ¿eh?
[0:31:52.00]-[0:31:54.00]  eso se puede decir
[0:31:54.00]-[0:31:56.00]  ¿cómo le han dicho pollauora?
[0:31:56.00]-[0:31:59.00]  le llamaban la pollauora
[0:31:59.00]-[0:32:04.00]  entonces le venía la teta ¿sabes? le venía la teta
[0:32:04.00]-[0:32:08.00]  y ella se tumbaba, ella las rascaba y se tumbaba
[0:32:08.00]-[0:32:13.00]  y quería darles a los chinetes que iba allá eso y ella se...
[0:32:13.00]-[0:32:19.00]  y entonces se... y si estaban por ahí durmiendo o algo se ponían los chorros de leche
[0:32:19.00]-[0:32:21.00]  las tetas de lo que le venía de leche
[0:32:21.00]-[0:32:25.00]  y entonces ellas mamaban y luego ellos se quedaban allí
[0:32:25.00]-[0:32:30.00]  y cuando tenían no sé cuántos semanas, 4 o 5 semanas
[0:32:30.00]-[0:32:35.00]  entonces se apartaban de la cerda y se les echaban aparte de comer los chinetes
[0:32:35.00]-[0:32:41.00]  y luego se les daba dos o tres veces o tres, tres veces
[0:32:41.00]-[0:32:44.00]  y por la noche a lo mejor los dejaban con la madre ¿sabes?
[0:32:44.00]-[0:32:50.00]  pero dos o tres veces los sacaban a comer y los ponían luego con la madre a que mamaran
[0:32:50.00]-[0:32:52.00]  sí
[0:32:52.00]-[0:32:56.00]  ¿y qué le va a decir? el día de la matanza había veterinario o algo ¿no?
[0:32:56.00]-[0:32:59.00]  no, no, no, no, no, allí no se llevaban muestras ni nada
[0:32:59.00]-[0:33:03.00]  no como los jabalines que mis chicos matan jabalines y todo
[0:33:03.00]-[0:33:07.00]  y llevas las muestras, pero aquí no, allí no se llevaban nada de muestras
[0:33:07.00]-[0:33:08.00]  y nunca ha pasado algo
[0:33:08.00]-[0:33:12.00]  no, no, no, no, no ha pasado nada, no
[0:33:12.00]-[0:33:14.00]  de muestras no se llevaban nada
[0:33:14.00]-[0:33:17.00]  nada más que tal día se mataba y si tenía familia
[0:33:17.00]-[0:33:22.00]  pues aquel día era fiesta ¿sabes? porque se hacía mucho de comer
[0:33:22.00]-[0:33:25.00]  le decían que hacían el morteruelo
[0:33:25.00]-[0:33:34.00]  que el morteruelo es una cosa muy típica ¿sabes? con especias, hígado y pan rallado y de todo
[0:33:34.00]-[0:33:38.00]  y mucha grasa y de todo, mucho, mucho
[0:33:38.00]-[0:33:39.00]  ¿es un plato típico de aquí?
[0:33:39.00]-[0:33:44.00]  sí, sí, sí, eso era muy típico del morteruelo huenú
[0:33:44.00]-[0:33:47.00]  madre mía de mi vida, sí
[0:33:47.00]-[0:33:54.00]  y luego freías de lo que estamos diciendo de la manteca que te daba de hacer las morcillas
[0:33:54.00]-[0:33:58.00]  si te quedaba la tendías y cuando te parecía
[0:33:58.00]-[0:34:00.00]  cogías y las freías en una sartén
[0:34:00.00]-[0:34:07.00]  y le echabas una jarra de agua a la jarra y las hacías trozos
[0:34:07.00]-[0:34:09.00]  y son esas tortas que venden en los dos
[0:34:09.00]-[0:34:12.00]  que dicen tortas de chicharrones
[0:34:12.00]-[0:34:16.00]  eh, esas tortas de chicharrones
[0:34:16.00]-[0:34:20.00]  la manteca que sobraba ¿sabes? o que sobraba con un plan
[0:34:20.00]-[0:34:23.00]  porque son muy típicos, esas tortas son muy buenas eh
[0:34:23.00]-[0:34:30.00]  madre mía, las hacías así y las hacías unos brazos así y se te daba en la mesa
[0:34:30.00]-[0:34:35.00]  y luego las hacías así, un moñete y cuando estaba eso las hacías así, así, así
[0:34:35.00]-[0:34:38.00]  le ponías azúcar y canela y esas se hacían en el obrante
[0:34:38.00]-[0:34:40.00]  le decían las tortas de chicharrones
[0:34:40.00]-[0:34:41.00]  ¿pero había horne en la casa?
[0:34:41.00]-[0:34:43.00]  si, tenemos, si, lo tengo yo ahí
[0:34:43.00]-[0:34:44.00]  ¿de leña?
[0:34:44.00]-[0:34:45.00]  de leña, si
[0:34:45.00]-[0:34:46.00]  ¿y cómo funcionaba el horno?
[0:34:46.00]-[0:34:51.00]  el horno pues se le echaba lumbre y cuando veías que estaba ya caliente
[0:34:51.00]-[0:34:58.00]  pues entonces se barría con un palo y le ponía ramas de pino o de sabina o lo que sea
[0:34:58.00]-[0:35:03.00]  y la barría, lo barría el horno y entonces cogías y
[0:35:03.00]-[0:35:07.00]  a ver si, a ver si, a ver si, a ver
[0:35:07.00]-[0:35:11.00]  no, no se preocupe
[0:35:11.00]-[0:35:15.00]  a ver, pase, si
[0:35:15.00]-[0:35:18.00]  no, no se preocupe
[0:35:18.00]-[0:35:19.00]  si
[0:35:26.00]-[0:35:30.00]  eso es el bautón, eso es el bautón de pras
[0:35:30.00]-[0:35:31.00]  si
[0:35:32.00]-[0:35:34.00]  ¿y la leña dónde iba?
[0:35:34.00]-[0:35:40.00]  la horna, la esa la lumbre se caldeaba y lo que salía de un mogüeso se iba por la chimenea
[0:35:40.00]-[0:35:41.00]  claro
[0:35:41.00]-[0:35:44.00]  ¿y ese horno hace cuánto tiempo que no lo usa usted?
[0:35:44.00]-[0:35:49.00]  ese por ahora pues, que le voy a decir, por no menos de 15 años
[0:35:49.00]-[0:35:50.00]  ¿y por qué?
[0:35:50.00]-[0:35:56.00]  porque, porque ahora no se trae el pan y es más cómodo de comprarlo que de hacerlo ya
[0:35:56.00]-[0:36:02.00]  porque antes eran otras cosas de levadura, sabes, que hacían la levadura y eso
[0:36:02.00]-[0:36:05.00]  y ahora no es eso, sabes
[0:36:05.00]-[0:36:07.00]  pero es magdalena
[0:36:07.00]-[0:36:12.00]  magdalena, eso va, pero ahora lo venden en todo ya, es más cómodo
[0:36:12.00]-[0:36:14.00]  si, si
[0:36:14.00]-[0:36:18.00]  ¿y sus nietos y sus hijos no le piden que les haga la magdalena?
[0:36:18.00]-[0:36:20.00]  no, ellos no hacen, ahora no hay
[0:36:20.00]-[0:36:26.00]  a lo mejor hay algunos, por ahí un vecino o dos que han hecho ormetes pequeños y eso
[0:36:26.00]-[0:36:34.00]  pero no, no, nada de eso, nada de eso, si
[0:36:34.00]-[0:36:36.00]  así que
[0:36:36.00]-[0:36:39.00]  ¿y entonces cómo limpiaban el horno?
[0:36:39.00]-[0:36:46.00]  con el limpiarlo con eso, con esa escoba que hacían en la barriga y ponían que decían la lumbrera
[0:36:46.00]-[0:36:47.00]  la lumbrera
[0:36:47.00]-[0:36:52.00]  y si eso veías que no tenía mucho color el pan, sabe, se le movía un poquito
[0:36:52.00]-[0:36:58.00]  la lumbrera esa que decían en el recuerdo y entonces se ponían dorados
[0:36:58.00]-[0:37:00.00]  ¿y cuánto tiempo estaba?
[0:37:00.00]-[0:37:05.00]  el pan, pues según de eso ya veías tú lo donde pesabas así y si no pesaba eso
[0:37:05.00]-[0:37:13.00]  pues cogías y había unas palas y cogías y eso, se hacía y la masa se hacía masa
[0:37:13.00]-[0:37:19.00]  y ya veías que le tocabas y estaba entonces muy hueca y decías pues ala vamos a hacer el pan
[0:37:19.00]-[0:37:25.00]  y sobábamos ese pan y se dejaba tapado con manteles y luego cuando veíamos que eso
[0:37:25.00]-[0:37:29.00]  pues se daban dos o tres cortes y ala y se hacía
[0:37:29.00]-[0:37:30.00]  ¿pero qué lleva la masa?
[0:37:30.00]-[0:37:36.00]  la masa claro, bueno se hacía primero hacías masa, la masa
[0:37:36.00]-[0:37:41.00]  se hacía un recortar en un hoyo y entonces se echaba la levadura
[0:37:41.00]-[0:37:50.00]  porque entonces se hacía del pan que dejabas un bollo, un bollo, ¿sabes usted?
[0:37:50.00]-[0:37:56.00]  en harina y le echabas harina y eso estaba agrio, eso había fermentado y eso
[0:37:56.00]-[0:38:02.00]  y cogías y mañana vamos a amasar y cogías y se echaba en agua tibia
[0:38:02.00]-[0:38:09.00]  y luego lo echabas así y hacías un hoyo de harina y echabas la levadura esa
[0:38:09.00]-[0:38:13.00]  ¿sabes usted? que esa es la levadura de antes, de lo que se hacía antes
[0:38:13.00]-[0:38:16.00]  no es ahora lo que se hace ahora, ¿sabes?
[0:38:16.00]-[0:38:22.00]  era de la levadura del pan que te amasabas tú, dejabas un bollo y dices
[0:38:22.00]-[0:38:28.00]  pues esa masa para la levadura, un bollo así y lo dejabas y le echabas harina
[0:38:28.00]-[0:38:35.00]  y lo guardabas allí y eso fermentaba hoyo que sé, eso estaba agrio así eso
[0:38:35.00]-[0:38:40.00]  y eso es lo que se hacía antes, eso es lo que se hacía antes
[0:38:40.00]-[0:38:44.00]  no se hacía levadura de la de ahora ni mucho menos
[0:38:44.00]-[0:38:47.00]  ¿y el pan sabe igual hoy que antes?
[0:38:47.00]-[0:38:53.00]  pues no, porque antes era otra cosa y ahora es otra cosa
[0:38:53.00]-[0:38:56.00]  ¿y a usted qué le gusta más?
[0:38:56.00]-[0:39:06.00]  pues lo de antes, lo de antes es natural, natural, natural y ahora no, ahora no es nada natural
[0:39:06.00]-[0:39:15.00]  yo tengo 85 años y yo éramos 7, murió una hermana de 14 años
[0:39:15.00]-[0:39:21.00]  y mi madre me dice, ¿tú quieres ir al corte? digo sí
[0:39:21.00]-[0:39:28.00]  y dice, yo también, tú qué abordar, le voy a contar lo que me hicieron
[0:39:28.00]-[0:39:32.00]  y me dice mi madre, bueno tú sabes que hay que llevar muchas escaldadoras
[0:39:32.00]-[0:39:40.00]  no me doy de pito porque teníamos mucha tuya, tenia mi padre caballo y burra para cimentales
[0:39:40.00]-[0:39:50.00]  y éramos 7 y éramos 4 mis hermanos y eran maderistas para retojar maderas y todo eso, ¿sabes?
[0:39:50.00]-[0:39:55.00]  y vamos que podíamos, que podíamos hacer eso de eso
[0:39:55.00]-[0:40:01.00]  y dice, pues bueno tú flote a la balsa, a coser
[0:40:01.00]-[0:40:07.00]  y yo me fui y mi hermana abordara y había misioneros y me tenían envidia
[0:40:07.00]-[0:40:11.00]  y yo decía, ¿dónde se han ido las otras chicas?
[0:40:11.00]-[0:40:15.00]  yo no lo sé Aurea, yo no lo sé, ¿a dónde están?
[0:40:15.00]-[0:40:18.00]  yo no lo sé y luego, ¿cuándo he estado?
[0:40:18.00]-[0:40:22.00]  luego le tenéis manía a la fruta que dice que le ha dicho tu madre
[0:40:22.00]-[0:40:27.00]  mi madre me dijo, un mes tienes de coser, nada más
[0:40:27.00]-[0:40:32.00]  y la enredona, otro, tú abordar y eso, dice se acabó, nada más ese
[0:40:32.00]-[0:40:37.00]  tienes que llevar a los 12 mujeres a escaldar y tienes que tú de jefa las amas
[0:40:37.00]-[0:40:45.00]  y le dice, vos estás en el viso, en el viso que eso, un pueblo de por la mancha
[0:40:45.00]-[0:40:49.00]  y dice, con los misioneros, ah con los misioneros y luego le tenéis
[0:40:49.00]-[0:40:54.00]  eso viendo a la flor, tenéis envidia porque ya está ella
[0:40:54.00]-[0:40:57.00]  cuchiendo en tela y vosotros estáis en papel
[0:40:57.00]-[0:41:02.00]  yo mañana me voy a hacerle magdalenas a mi marido
[0:41:02.00]-[0:41:06.00]  dice que, estaba en la cárcel y iba a hacer magdalenas
[0:41:06.00]-[0:41:12.00]  dice que yo me voy y hacer el favor de darle los cuellos y las camisas
[0:41:12.00]-[0:41:17.00]  que tiene todas las camisas y no le dais las camisas y no las puede terminar
[0:41:17.00]-[0:41:22.00]  ah pues nosotros no hemos visto nada, ah nosotros no se creen, ah no, no, no
[0:41:22.00]-[0:41:29.00]  y saca la ceniza del horno y allí nos lo tenían todo en la basura, en la ceniza
[0:41:29.00]-[0:41:33.00]  si les llega pegando, hola, hola, hola, hola, hola
[0:41:33.00]-[0:41:35.00]  esta es mi mujer, esta es la del chico que está en el coche
[0:41:35.00]-[0:41:40.00]  aquí hay unos señores que vienen a hacer preguntas de las matanzas y todo eso
[0:41:40.00]-[0:41:45.00]  ah, vale, que le digo que no va
[0:41:45.00]-[0:41:50.00]  no, no, no, no, no, no, no, no, no, no, no, no
[0:41:50.00]-[0:41:52.00]  no, soy la otra
[0:41:52.00]-[0:41:57.00]  es que nos han dió a los perrones y nos han dicho que vinieramos a hablar con...
[0:41:57.00]-[0:41:58.00]  sobre la matanza
[0:41:58.00]-[0:42:02.00]  si, tenemos que contar cosas de la vida de antes y...
[0:42:02.00]-[0:42:06.00]  digo que otra cosa no me... el cabre
[0:42:06.00]-[0:42:10.00]  pero la matanza, digo yo, bueno, pues, bueno, yo lo sé por todo
[0:42:10.00]-[0:42:12.00]  muy bien, que parece
[0:42:12.00]-[0:42:17.00]  esta es la mujer de él, que está en la nube, el pequeño
[0:42:17.00]-[0:42:23.00]  y ahora, no sé, donde se va, no sé, que dice que la chica me ha tocado que venía a estarse conmigo
[0:42:23.00]-[0:42:24.00]  pues, encantada
[0:42:24.00]-[0:42:28.00]  bueno, vale, yo les dejo, luego tienen que poner recetas, pero...
[0:42:28.00]-[0:42:29.00]  si
[0:42:29.00]-[0:42:30.00]  y Elena, que mero
[0:42:30.00]-[0:42:32.00]  ya dijo, Elena
[0:42:32.00]-[0:42:33.00]  bueno, pues, bueno
[0:42:33.00]-[0:42:36.00]  adiós, adiós corazón, adiós vida
[0:42:36.00]-[0:42:38.00]  y que le iba a preguntar, que era eso de escardar
[0:42:38.00]-[0:42:43.00]  eh, de escardar, que se decía, se sembraba el tribu y se baba
[0:42:43.00]-[0:42:47.00]  y entonces se cavaba
[0:42:47.00]-[0:42:49.00]  y eso era un trabajo de mujer
[0:42:49.00]-[0:42:53.00]  si, fue una bolsilla que yo, es muy grande, y lo vendieron y yo no...
[0:42:53.00]-[0:42:58.00]  yo me daba mucha lástima de venderla y no la necesitaba porque yo tenía que comer aquí en mi casa
[0:42:58.00]-[0:43:00.00]  y no la quería vender
[0:43:00.00]-[0:43:04.00]  y mi niño Lamo me dijo, señora, usted me está haciendo todo el mal que puede ir
[0:43:04.00]-[0:43:07.00]  usted me lo tiene que vender
[0:43:07.00]-[0:43:11.00]  y le tuve que vender la huerta
[0:43:11.00]-[0:43:16.00]  la bolsilla era sola, era sola para todo lo que fuera
[0:43:16.00]-[0:43:21.00]  era una huerta que quisieran, porque era que van a ir ustedes y no vive nadie
[0:43:21.00]-[0:43:26.00]  pero aquello es una plana de, si yo no sé, de taulas y taulas y taulas que tenía mi padre
[0:43:26.00]-[0:43:31.00]  pues eso me hicieron eso, eso de la ceniza, eh, me hicieron eso, ¿sabes?
[0:43:31.00]-[0:43:36.00]  y yo si hubiera estado, hubiera sido modista porque yo iba con una envidia
[0:43:36.00]-[0:43:41.00]  que eso, ahora me estoy arreglando y un vestido que dice, pero ¿cómo se te arregla esta mujer?
[0:43:41.00]-[0:43:47.00]  pues porque estoy arreglando y me lo hago nuevo de cualquier cosa, faldares y vestidos y de todo
[0:43:47.00]-[0:43:49.00]  yo...
[0:43:49.00]-[0:43:52.00]  de tonta no tengo nada, ¿eh?
[0:43:52.00]-[0:43:54.00]  ¿cómo lo llamas que esto?
[0:43:54.00]-[0:43:56.00]  de alantal, de alantal
[0:43:56.00]-[0:43:58.00]  de alantal, claro, es que no lo sabía
[0:43:58.00]-[0:44:00.00]  de alantal
[0:44:00.00]-[0:44:04.00]  y qué le iba a decir, y los conejos, ¿qué nos has estado contando antes?
[0:44:04.00]-[0:44:09.00]  los conejos, ¿qué es? los conejos pues comen comida de... te da trigo
[0:44:09.00]-[0:44:12.00]  no, trigo, miento, digo las gallinas
[0:44:12.00]-[0:44:16.00]  y las gallinas, pues ahora no hay gallinas, ni hay de nada, ¿qué tienes?
[0:44:16.00]-[0:44:19.00]  tres gallinas tengo yo porque estoy sola
[0:44:19.00]-[0:44:24.00]  porque yo vivo a mi hijo y eso, y la casa esa era mía también, esa nueva
[0:44:24.00]-[0:44:27.00]  y se la ha quedado bien
[0:44:27.00]-[0:44:30.00]  yo, aunque está a cien decimos, tengo
[0:44:30.00]-[0:44:33.00]  mis nueras, mis hijos así
[0:44:33.00]-[0:44:35.00]  mis nueras así
[0:44:35.00]-[0:44:37.00]  mis nietos así
[0:44:37.00]-[0:44:41.00]  todo, ellos, lo que dice uno, así
[0:44:43.00]-[0:44:45.00]  se llevan bien todos
[0:44:45.00]-[0:44:47.00]  todos, y esa casa era mía
[0:44:47.00]-[0:44:51.00]  y dijo mi hijo que se la quería quedar él
[0:44:51.00]-[0:44:53.00]  y dice mi hijo, pues bien
[0:44:53.00]-[0:44:56.00]  y se la dieron por cinco millones
[0:44:56.00]-[0:44:59.00]  cinco millones de pisos y puertas y todo porque ya se lo
[0:44:59.00]-[0:45:03.00]  volvieron, que la querían y querían todo puesto
[0:45:03.00]-[0:45:05.00]  de primera, todo bien hecho
[0:45:05.00]-[0:45:09.00]  y le dijo, chache, a ver lo que es, y no parezca
