[0:00:00.00]-[0:00:02.00]  ¿La hierba buena, no?
[0:22:42.80]-[0:22:45.80]  Estos bailes dedicamos a San Roque y a su perro.
[0:22:45.80]-[0:22:49.80]  Con el gusto los bailamos los lanzantes de este pueblo.
[0:22:49.80]-[0:22:56.80]  Hoy he cumplido un deseo, era venir a bailar, junto con mis compañeros, a este hermoso lugar.
[0:22:56.80]-[0:23:02.80]  Y a la Virgen de la Vega poderle dedicar estos bailes y estos versos, llena de primidad.
[0:23:02.80]-[0:23:08.80]  Siempre había querido yo poder venir a bailar a la Virgen de la Vega en la fiesta de Alcalá.
[0:23:08.80]-[0:23:15.80]  Y pedirle a la Virgen un orden de salud y alegría y poder venir otro año a bailarle en su día.
[0:23:15.80]-[0:23:22.80]  Gracias Virgen de la Vega me permite llegar después hasta la ermita y así poderle bailar.
[0:23:22.80]-[0:23:29.80]  A San Roque le he pedido, lleno de gran emoción, que a todos que aquí estamos nos llegue su bendición.
[0:23:29.80]-[0:23:38.80]  San Roque tú nos libraste hace mucho de la peste, las gracias quiero darte desde aquí, este lanzante.
[0:23:38.80]-[0:23:45.80]  De la peste nos libraste de eso hace muchos años y desde aquí me alegres estos bailes que bailamos.
[0:23:45.80]-[0:23:46.80]  ¿Sabes qué?
[0:23:46.80]-[0:23:47.80]  ¿Qué puertas?
[0:23:47.80]-[0:23:54.80]  Sí, de estos de... Sí, sí, sí, sí.
[0:23:54.80]-[0:24:02.80]  Y ella le digo, bueno, cada año es de una manera.
[0:24:02.80]-[0:24:04.80]  ¿Puedo ver el proclama de fiestas?
[0:24:04.80]-[0:24:06.80]  ¿Y usted cuándo canta esto?
[0:24:06.80]-[0:24:08.80]  ¿Cuándo canta esto?
[0:24:08.80]-[0:24:11.80]  Yo no lo canto, yo lo enseño para que lo digan los chicos.
[0:24:11.80]-[0:24:13.80]  Ah, para que lo digan.
[0:24:13.80]-[0:24:18.80]  Hay muchos chicos, que cada uno tiene que decir, uno dice uno.
[0:24:18.80]-[0:24:20.80]  Ah, a la Virgen.
[0:24:20.80]-[0:24:25.80]  A la Virgen.
[0:24:25.80]-[0:24:27.80]  ¿Y usted hizo la mili?
[0:24:27.80]-[0:24:28.80]  Sí.
[0:24:28.80]-[0:24:29.80]  ¿Dónde?
[0:24:29.80]-[0:24:40.80]  En nuestra tierra, en los Pidineos, en Trabota, Angüesca y en los Pidineos, en el Ranjuan de Plan, en el pueblo de Los Piones.
[0:24:40.80]-[0:24:43.80]  ¿Y nos puede contar un poco cómo fue su mili?
[0:24:43.80]-[0:24:46.80]  Sí, muy buena, muy buena, buenísima.
[0:24:46.80]-[0:24:47.80]  ¿Cuántos años?
[0:24:47.80]-[0:24:49.80]  Estuve 27 meses.
[0:24:49.80]-[0:24:51.80]  ¿Y le gustó?
[0:24:51.80]-[0:24:56.80]  No, porque me quería haber quedado y no me quería ir.
[0:25:00.80]-[0:25:13.80]  Se hacen unas tortas grandes, como media mesa de esta, y los graciosos, son las fiestas, los graciosos que le tengo los pastores, las hacen atrócitos y las tiran.
[0:25:13.80]-[0:25:23.80]  Y claro, siempre, este va para eso, porque lo he visto esto.
[0:25:23.80]-[0:25:27.80]  Las tortas que aquí tenemos se les vamos a tirar.
[0:25:27.80]-[0:25:31.80]  No las coman muy deprisa, no les vaya a sentar mal.
[0:25:31.80]-[0:25:39.80]  Nos han dicho que esta noche, después de la procesión, habrá buen baile en la plaza y cohetes a montón.
[0:25:39.80]-[0:25:47.80]  Yo voy a acercarme un rato a ver si saco a bailar a una moza que yo he visto que me miraba al pasar.
[0:25:47.80]-[0:25:52.80]  O sea que, cosas.
[0:25:56.80]-[0:26:00.80]  ¿Y antes las fiestas, hace tiempo, eran también así? ¿No han cambiado?
[0:26:00.80]-[0:26:02.80]  Cambian las.
[0:26:06.80]-[0:26:08.80]  Pero la gente se vestía igual.
[0:26:08.80]-[0:26:10.80]  Sí, sí, vestido igual.
[0:26:10.80]-[0:26:12.80]  ¿Y cómo es?
[0:26:12.80]-[0:26:16.80]  Los pastores van vestidos con pelejos.
[0:26:16.80]-[0:26:18.80]  ¿Pelejos?
[0:26:18.80]-[0:26:24.80]  Sí, pieles de borrego, con calzón, son calzones.
[0:26:24.80]-[0:26:27.80]  O sea que solo hasta la rodilla.
[0:26:27.80]-[0:26:30.80]  ¿Y las mujeres?
[0:26:30.80]-[0:26:32.80]  Mujeres no hay.
[0:26:32.80]-[0:26:34.80]  No hay las chicas.
[0:26:34.80]-[0:26:39.80]  Las chicas, solo solo las chicas porque no hay chicos, que antes no eran más que chicos los lanzantes.
[0:26:39.80]-[0:26:44.80]  Pero ahora no hay chicas, no hay chicos, pues van chicos y chicas.
[0:26:51.80]-[0:26:55.80]  Hombre de fiesta y las mujeres trabajando en casa, ¿no?
[0:26:55.80]-[0:27:06.80]  ¿Y entonces no se acuerda, aparte de las coplas que usted compone, de algún cuento que le contaran aquí de pequeño, alguna leyenda del pueblo?
[0:27:06.80]-[0:27:15.80]  Pues, me ha de pillar en un rato que no esté en blanco, porque me quedo en blanco y no me acuerdo de antropología.
[0:27:15.80]-[0:27:25.80]  Tengo que estar inspirado, a estas cosas tienes que estar inspirado.
[0:27:25.80]-[0:27:29.80]  Por ejemplo, estos.
[0:27:29.80]-[0:27:33.80]  No le digo que me componga una copla, digo que si se acuerdan...
[0:27:33.80]-[0:27:35.80]  Ya, ya, ya, ya es lo que me dice.
[0:27:35.80]-[0:27:39.80]  Cuentan, cuentan, cuentan, sí.
[0:27:39.80]-[0:27:41.80]  Sí, cuentan.
[0:27:41.80]-[0:27:49.80]  Digo que cuentan, cuentan, lo que han contado, pero que en este momento no tengo presente nada.
[0:27:49.80]-[0:27:52.80]  No tengo presente nada.
[0:27:52.80]-[0:27:57.80]  Bueno, ahí pues como eran...
[0:27:57.80]-[0:27:59.80]  ¿El alado?
[0:27:59.80]-[0:28:02.80]  ¿Transporte entonces? ¿Transporte que estuvo entonces?
[0:28:02.80]-[0:28:03.80]  ¿Transporte?
[0:28:03.80]-[0:28:04.80]  Sí, cuando usted era otro.
[0:28:04.80]-[0:28:08.80]  Cuando era pequeño había una gavioneta muy pequeña.
[0:28:08.80]-[0:28:13.80]  Por ejemplo, las tiendas, la tiendas, ¿qué tenía que ver?
[0:28:13.80]-[0:28:15.80]  Sí, ha habido mucha revolución en eso, claro.
[0:28:15.80]-[0:28:20.80]  Entonces había un par de tiendas, y nosotros cantinas.
[0:28:20.80]-[0:28:22.80]  ¿Y bares también?
[0:28:22.80]-[0:28:25.80]  En entonces no se sabía lo que era un bar.
[0:28:25.80]-[0:28:28.80]  Luego ya, en ese momento, una cantina, hoy un bar.
[0:28:28.80]-[0:28:30.80]  Un bar, un bar, un bar.
[0:28:30.80]-[0:28:35.80]  De pequeño, pues la cantina, casa furano, casa furano, casa furano, y ya está.
[0:28:35.80]-[0:28:37.80]  ¿Y el pan lo hacían aquí o...?
[0:28:37.80]-[0:28:39.80]  El pan lo hacen aquí, sí.
[0:28:39.80]-[0:28:40.80]  ¿Lo hacen todavía?
[0:28:40.80]-[0:28:50.80]  Sí. Precisamente eso es la única cosa que solo hacían mi madre y mi padre, que eran horneros.
[0:28:50.80]-[0:28:54.80]  Horneros. Panaderos, no. A ver si me comprendo.
[0:28:54.80]-[0:28:57.80]  Lo hacían, lo cocían. Cocían el pan.
[0:28:57.80]-[0:29:03.80]  Las mujeres lo amasaban y lo llevaban allí, lo hacían pa...
[0:29:03.80]-[0:29:04.80]  ¿En horno?
[0:29:04.80]-[0:29:12.80]  Lo fermentaban en el horno, ¿sabes? Y lo hacían los panes y mi madre se los cocían.
[0:29:12.80]-[0:29:20.80]  Ya sabías que tenían que pedir, ¿ves? Para saber cuántos hay y cada uno tenía que ir a una hora y a otra vez así.
[0:29:20.80]-[0:29:23.80]  Pero entonces también había menos habitantes, ¿no?
[0:29:23.80]-[0:29:26.80]  Entonces había 1500 habitantes.
[0:29:26.80]-[0:29:27.80]  Aquí había 1500.
[0:29:27.80]-[0:29:28.80]  No es posible.
[0:29:28.80]-[0:29:34.80]  Sí, sí. Había dos o tres hornos, dos por lo menos. Porque aquí hay 62 masías.
[0:29:34.80]-[0:29:36.80]  ¿Masías?
[0:29:36.80]-[0:29:37.80]  Masías, casas de campo.
[0:29:37.80]-[0:29:38.80]  Ajá.
[0:29:38.80]-[0:29:39.80]  ¿A ver?
[0:29:39.80]-[0:29:41.80]  ¿Y todavía hay gente en las masías ahora?
[0:29:41.80]-[0:29:46.80]  Hombre, en alguna hora hay 14. Porque estaban los abuelos, los padres.
[0:29:46.80]-[0:29:54.80]  O sea, la persona que se quedaba, que aquello era casi una herencia, en mayor se casaba y ya se quedaba en la masía.
[0:29:54.80]-[0:30:00.80]  Estaban sus padres y todos los mocos que eran solteros hasta que no se casaban.
[0:30:00.80]-[0:30:03.80]  Y eso no se venden, claro, se venden muchas masías.
[0:30:03.80]-[0:30:04.80]  ¿Y ahora?
[0:30:04.80]-[0:30:06.80]  Ahora están deshabitadas.
[0:30:06.80]-[0:30:07.80]  ¿Todas?
[0:30:07.80]-[0:30:12.80]  No hay más que dos o tres que están habitadas. Porque entre tres o cuatro trabajan las masías.
[0:30:12.80]-[0:30:14.80]  Ajá.
[0:30:14.80]-[0:30:20.80]  Porque con los tractores... Antes para una masía, para la siembra había cinco o seis pares.
[0:30:20.80]-[0:30:27.80]  Cinco o seis pares de machos, burros o toros. Todos de vuelta a la sembranza.
[0:30:27.80]-[0:30:31.80]  ¿Y aquí venía gente de fuera a trabajar también al campo?
[0:30:31.80]-[0:30:32.80]  No.
[0:30:32.80]-[0:30:33.80]  ¿Todos de aquí?
[0:30:33.80]-[0:30:37.80]  Aquí a trabajar al campo, no en las masías.
[0:30:37.80]-[0:30:54.80]  La cama, que es la cama. La cama que es el comienzo de esta ladra en formación, a la Virgen pediré que me dé su bendición.
[0:30:54.80]-[0:30:59.80]  Luego está el dental, que es como un diente para que se meta.
[0:30:59.80]-[0:31:05.80]  El dental que es el cimiento de esta villa que estamos, a la Virgen pediré que me libre del pecado.
[0:31:05.80]-[0:31:07.80]  ¿Para qué es el techo?
[0:31:07.80]-[0:31:14.80]  Luego es la reja. La reja se pone en el dental. La reja, la lengua es la que publica la fama.
[0:31:14.80]-[0:31:18.80]  Ya ha venido a este lugar esta reina soberana.
[0:31:18.80]-[0:31:23.80]  Luego está donde pone la mano, se llama la Esteva.
[0:31:23.80]-[0:31:29.80]  Puso la mano la Esteva al famoso labrador y después de sembrar el trigo le dio las goces a Dios.
[0:31:29.80]-[0:31:42.80]  Luego está por detrás, una cosa y otra, meten un pescuño, una cosa que va de más a menos, y se le pega para sujeción.
[0:31:42.80]-[0:31:46.80]  El pescuño calzare, la sujeción de galadro.
[0:31:46.80]-[0:31:51.80]  Todos sigamos juntos con un amor admirado.
[0:31:51.80]-[0:32:00.80]  Luego para que se extiende la tierra hay por un lado un palito y por otro lado, se meten así y se esparce la tierra.
[0:32:00.80]-[0:32:01.80]  Se llaman las orejeras.
[0:32:01.80]-[0:32:10.80]  Las orejeras que son dos, esparcen la tierra al sol para que se minen las servillas y las siembra el labrador.
[0:32:10.80]-[0:32:19.80]  Después entre el galadro y el timón hay unas abracaderas para sujetar una cosa con otra.
[0:32:19.80]-[0:32:24.80]  Se llaman rellortas o millortas.
[0:32:24.80]-[0:32:30.80]  Las rellortas que son dos forman dos aligamientos, que son la virgen y el niño y los siete sacamientos.
[0:32:30.80]-[0:32:40.80]  El timón que es la guía y marca la dirección es la virgen y san Roque de los labrador de los niños.
[0:32:40.80]-[0:32:49.80]  Estos son y forman los chicos, cada uno dice un verso y va poniendo su verso y forman el alado.
[0:32:49.80]-[0:32:50.80]  ¿Tenían niños?
[0:32:50.80]-[0:32:54.80]  Pues Juan, aquí tienen, ah sí, son ocho.
[0:32:54.80]-[0:33:01.80]  Hay otro verso que lo pone el gracioso, el mayor.
[0:33:01.80]-[0:33:11.80]  Yo plantaré la clavija, la que atraviesa el timón, porque así lo dejó dicho San Isidro la dada.
[0:33:11.80]-[0:33:15.80]  Son ocho y el...
[0:33:15.80]-[0:33:17.80]  ¿Tenían trillos aquí?
[0:33:17.80]-[0:33:22.80]  Sí, había, había, hacían trillos aquí.
[0:33:22.80]-[0:33:23.80]  Hacían trillos aquí.
[0:33:23.80]-[0:33:25.80]  ¿Cómo lo...?
[0:33:25.80]-[0:33:35.80]  Lo primero que eran los pinos, que eran gordísimos, había trillos de una pieza, que eran como esta mesa.
[0:33:35.80]-[0:33:40.80]  Son los pinos que tenían cientos y cientos de años.
[0:33:40.80]-[0:33:43.80]  Cientos y cientos de años, ahora no pueden ser.
[0:33:43.80]-[0:33:46.80]  ¿Y a todos los pinos?
[0:33:46.80]-[0:33:55.80]  Y hacían los trillos, hacían una con la mano, un escopo, un cincel y luego clavaban las piedras.
[0:33:55.80]-[0:34:00.80]  Las hacían, las hacían como artesanos.
[0:34:00.80]-[0:34:03.80]  ¿Y los niños, a los que daban a trillar?
[0:34:03.80]-[0:34:05.80]  Sí, a todos.
[0:34:05.80]-[0:34:11.80]  A montar al trillo, por lo menos, que había que tener peso para que moliera la paja.
[0:34:11.80]-[0:34:14.80]  ¿Y qué querían hacer los niños exactamente?
[0:34:14.80]-[0:34:17.80]  Montar, montar un trillo encima del trillo.
[0:34:17.80]-[0:34:21.80]  ¿Cómo llamaban a eso?
[0:34:21.80]-[0:34:25.80]  Se llamaba a tocar, dar la vuelta a salpido, ¿sabes?
[0:34:25.80]-[0:34:28.80]  A tocar, ¿sabes?
[0:34:28.80]-[0:34:30.80]  Que no se le decían esos trillos.
[0:34:30.80]-[0:34:32.80]  ¿Y no era algo del diablo?
[0:34:32.80]-[0:34:39.80]  Lo del diablo es rastrear, recoger las espigas que se quedan en el campo.
[0:34:39.80]-[0:34:43.80]  La guadaña la estira.
[0:34:43.80]-[0:34:48.80]  Luego va otro con un rastro y lo hace a farricos.
[0:34:48.80]-[0:34:53.80]  Lo hace a gavillas, que se llaman gavillas. Lo hacían, gavillas.
[0:34:53.80]-[0:34:59.80]  Después las gavillas las cogía uno con un palo que decían de...
[0:35:02.80]-[0:35:05.80]  Garrote, decían el garrote.
[0:35:05.80]-[0:35:10.80]  Cogías el bencejo que se hacía de contriodenteno, que es más fuerte.
[0:35:10.80]-[0:35:17.80]  Le dabas una vuelta y lo metías, se quedaba muy atado, muy fuerte.
[0:35:17.80]-[0:35:22.80]  Y luego para cargarlo y cosas de esos animales,
[0:35:22.80]-[0:35:27.80]  las hacías, los ponías en el campo de diez en diez.
[0:35:27.80]-[0:35:32.80]  Dos, encima otros dos, cuatro y uno arriba, cinco.
[0:35:32.80]-[0:35:40.80]  Y al lado, unos asitos escogidos para que no se los llevara el aire ni se mojaran.
[0:35:42.80]-[0:35:46.80]  ¿Y usted entonces ha trabajado mucho el campo?
[0:35:46.80]-[0:35:49.80]  Sí, yo trabajé mucho.
[0:35:49.80]-[0:35:53.80]  Y he ido a los montes a madera.
[0:35:53.80]-[0:36:03.80]  Yo me tocaba, como que no puedo decir que no haya tocado. He hecho mucho.
[0:36:03.80]-[0:36:09.80]  De ocho años, cuando cumplí nueve años, era la Virgen de la Vega,
[0:36:09.80]-[0:36:14.80]  y había estado guardando vacas en un pueblo de aquí a la Mareca Marías.
[0:36:14.80]-[0:36:18.80]  ¿Guardando vacas, les capas a comer vacas?
[0:36:18.80]-[0:36:24.80]  A pacientarlas, a pacientarlas.
[0:36:24.80]-[0:36:29.80]  Entonces usted escribió las copas, pero con tanto tiempo.
[0:36:29.80]-[0:36:36.80]  Y qué problemas pudo tener con las vacas. ¿En qué consistía el trabajo?
[0:36:36.80]-[0:36:39.80]  El trabajo nada, como guardar que no hicieran mal.
[0:36:39.80]-[0:36:45.80]  Llevan las vacas para que no se fueran del fraude, donde tienes que ir a gastarlas.
[0:36:45.80]-[0:36:49.80]  ¿Se acuerda de algo en especial que le ocurriese con las vacas?
[0:36:49.80]-[0:36:55.80]  Pues han salido cosas, pero también, como ver,
[0:36:55.80]-[0:37:00.80]  en las masías, yo iba a las masías y estaba hasta el único.
[0:37:00.80]-[0:37:09.80]  En vez de las vacaciones, estar a la masía, a trabajar en las masías, a guardar vacas.
[0:37:09.80]-[0:37:17.80]  Pero aquí también, en ese tempo, tiene un pensamiento un poco frasófico,
[0:37:17.80]-[0:37:19.80]  está en la discusión.
[0:37:19.80]-[0:37:20.80]  De todo pasa.
[0:37:20.80]-[0:37:25.80]  ¿Y qué problemas tuvo con las vacas? ¿Recuerda alguna vez que tuviera,
[0:37:25.80]-[0:37:33.80]  que se puso una vaca de parto, que se escapó una o vino un animal y se la comió?
[0:37:33.80]-[0:37:40.80]  Es otra cosa. En todas las ganaderías, en todos los atajos, hay uno que manda.
[0:37:40.80]-[0:37:46.80]  Hay uno que dicen el mandón, ese es el dueño y señor de...
[0:37:46.80]-[0:37:50.80]  Y cuando dicen que lo quitan, todos van contra él.
[0:37:50.80]-[0:37:55.80]  Y eso es lo que un día me pasó, que tuve que salir del plaza a subirme a un árbol,
[0:37:55.80]-[0:38:02.80]  porque no me decían a nada que quitaron el todo que mandaba.
[0:38:02.80]-[0:38:05.80]  Lo quitaron todos, pequeños y grandes, todos contra él.
[0:38:05.80]-[0:38:07.80]  ¿Todos contra él? ¿Atacar?
[0:38:07.80]-[0:38:08.80]  Atacarles a él, sí, sí.
[0:38:08.80]-[0:38:09.80]  ¿Y por qué?
[0:38:09.80]-[0:38:11.80]  Pues porque ya se cansaban de él.
[0:38:11.80]-[0:38:17.80]  Porque se cansan de él, es como una guerra contra un presidente del gobierno.
[0:38:17.80]-[0:38:26.80]  ¿Y entonces qué pasa? ¿Por qué se subo al árbol? No entiendo.
[0:38:26.80]-[0:38:30.80]  Ah, para que no me hicieran a mí mal, porque no respetaba nada.
[0:38:30.80]-[0:38:35.80]  Si iban con la lengua fuera, ya que me daba miedo.
[0:38:35.80]-[0:38:41.80]  Y los perros, como llevabas perros, pues se venían a ver detrás del perro.
[0:38:41.80]-[0:38:44.80]  Y como solucionó el asunto.
[0:38:44.80]-[0:38:46.80]  No, no, fue bien.
[0:38:46.80]-[0:38:50.80]  Apuyeron los mayores de la masía y ya se llevaron los todos siempre.
[0:38:50.80]-[0:38:54.80]  Porque había uno que cuando quería me estiraba.
[0:38:54.80]-[0:39:02.80]  Si le metía un trigo, ya ves, iba yo a pegarle, me metía detrás y me corneaba a mí.
[0:39:02.80]-[0:39:04.80]  ¿Sí alguna vez le corneas?
[0:39:04.80]-[0:39:05.80]  Más de una.
[0:39:05.80]-[0:39:06.80]  ¿Sí?
[0:39:06.80]-[0:39:07.80]  Claro.
[0:39:07.80]-[0:39:10.80]  Si iba una mujer o iba un chico, se les tiraba.
[0:39:10.80]-[0:39:12.80]  Iba un hombre mayor y no.
[0:39:12.80]-[0:39:20.80]  A aquel le tenían miedo, a aquel sabía más que...
[0:39:20.80]-[0:39:24.80]  O sea que aquella vez lo pasó mal. ¿Y esas vacas eran para leche o para carne?
[0:39:24.80]-[0:39:30.80]  Para carne. Aquí de leche vino después, pero de momento no.
[0:39:30.80]-[0:39:32.80]  Pues daban leche también.
[0:39:32.80]-[0:39:36.80]  ¿Pero entonces se aprovechaban?
[0:39:36.80]-[0:39:40.80]  Las de leche por regla general estaban en las cuadras.
[0:39:40.80]-[0:39:45.80]  ¿Cómo llamar aquí a la cuadra?
[0:39:45.80]-[0:39:47.80]  La cuadra, la cuadra, la cuadra.
[0:39:47.80]-[0:39:48.80]  ¿La cuadra?
[0:39:48.80]-[0:39:50.80]  ¿Un corral?
[0:39:50.80]-[0:39:52.80]  ¿Y quién ordeñaba las vacas?
[0:39:52.80]-[0:39:53.80]  El dueño.
[0:39:53.80]-[0:39:55.80]  ¿Pero el hijo o la mujer?
[0:39:55.80]-[0:39:58.80]  Vale, eso ya como...
[0:39:58.80]-[0:40:00.80]  ¿Eso ya?
[0:40:00.80]-[0:40:09.80]  Sí, yo me acuerdo de que ahí en la vega bajaba una señora con una vaca y...
[0:40:09.80]-[0:40:11.80]  ¿Cuánto qué leche quiere?
[0:40:11.80]-[0:40:15.80]  Y delante de ella la ordeñaba, ¿ya ves?
[0:40:15.80]-[0:40:21.80]  Y ahí donde es una masía que está tocando, que hay una urbanización que llaman la Sola Norla Vega.
[0:40:21.80]-[0:40:27.80]  Sí, hemos visto la masía de bajos, pero está deshabitada ya.
[0:40:27.80]-[0:40:32.80]  Las masías están todas deshabitadas.
[0:40:32.80]-[0:40:33.80]  ¿Todas?
[0:40:33.80]-[0:40:36.80]  Todas. Hay dos o tres que están tan solo.
[0:40:36.80]-[0:40:44.80]  ¿Y aquí la escuela que hay, lleva todo desde que usted era pequeño?
[0:40:44.80]-[0:40:47.80]  Aquí la escuela está.
[0:40:47.80]-[0:40:53.80]  Antes había, cuando iba yo a la escuela, cuando empecé a ir a la escuela, estábamos cien chicos y cien chicas.
[0:40:53.80]-[0:40:55.80]  Y todos con un maestro solo.
[0:40:55.80]-[0:40:56.80]  ¿Con un maestro?
[0:40:56.80]-[0:40:57.80]  Un maestro y una maestra.
[0:40:57.80]-[0:40:59.80]  ¿Esto se acuerda de su maestro?
[0:40:59.80]-[0:41:00.80]  Sí, sí, sí.
[0:41:00.80]-[0:41:03.80]  ¿Me puede contar algo de él?
[0:41:03.80]-[0:41:05.80]  ¿Era de aquí, de este pueblo?
[0:41:05.80]-[0:41:13.80]  Era de este pueblo, además. El primero que huyó era de este pueblo.
[0:41:13.80]-[0:41:17.80]  Después partieron las escuelas, yendo a la escuela.
[0:41:17.80]-[0:41:21.80]  Las hicieron de las dos, la superficie y la misma.
[0:41:21.80]-[0:41:23.80]  Te hicieron cuatro.
[0:41:23.80]-[0:41:27.80]  Y dieron dos maestros más. Un maestro y una maestra.
[0:41:27.80]-[0:41:35.80]  Hasta nueve años, seis y tres de nueve, y después de nueve, nueve dio hasta los dos mayores.
[0:41:35.80]-[0:41:42.80]  Yo fui de momento la de una sola.
[0:41:42.80]-[0:41:50.80]  Luego me pasaron, ya que hicieron un acuerdo, me hicieron dos, fui a la de los pequeños, porque era más pequeño.
[0:41:50.80]-[0:41:53.80]  Y después me pasaron a la de los mayores.
[0:41:53.80]-[0:41:55.80]  ¿Te engañaban los maestros mucho, los niños?
[0:41:55.80]-[0:41:59.80]  Pues, es que también había algunos que…
[0:41:59.80]-[0:42:01.80]  ¿Usted recuerda algún caso?
[0:42:01.80]-[0:42:02.80]  Hay más de uno.
[0:42:02.80]-[0:42:06.80]  A ver, cuéntennos. Cuéntennos, hombre.
[0:42:06.80]-[0:42:08.80]  Se corte.
[0:42:08.80]-[0:42:13.80]  Se fue un día, ¿sabes lo que son los zuecos?
[0:42:13.80]-[0:42:16.80]  Los zuecos son de madera, el de esto de madera.
[0:42:16.80]-[0:42:18.80]  ¿Esto con qué se llama?
[0:42:18.80]-[0:42:20.80]  No, zapatos.
[0:42:20.80]-[0:42:27.80]  Zapatos. Y por arriba, de cuerda, de espato.
[0:42:27.80]-[0:42:33.80]  Claro, las escuelas estaban enterimadas, con tarima de vino.
[0:42:33.80]-[0:42:39.80]  Se marcha el un macho a hablar con el otro, y les da por bailar.
[0:42:39.80]-[0:42:44.80]  Pam, pam, pam, y claro, de una escuela a otra, pues, se oía.
[0:42:44.80]-[0:42:47.80]  ¿Quién es el que ha bailado hoy?
[0:42:47.80]-[0:42:52.80]  Que salga, si no le pasara nada.
[0:42:52.80]-[0:42:55.80]  Y salía.
[0:42:55.80]-[0:43:01.80]  Al final, no salió, lo dijeron otros.
[0:43:01.80]-[0:43:04.80]  Y lo castigo le pegó bastante.
[0:43:04.80]-[0:43:11.80]  Le pusieron todos los dedos morados en la...
[0:43:11.80]-[0:43:13.80]  ¿Me pegó con la mano?
[0:43:13.80]-[0:43:18.80]  Pegaban. Y se hacía poner la mano así, con una regla de gorda.
[0:43:18.80]-[0:43:20.80]  ¿No lo crees?
[0:43:20.80]-[0:43:23.80]  Entonces, ¿no regañaban?
[0:43:23.80]-[0:43:26.80]  No regañaban, pegaban, pegaban, sí.
[0:43:26.80]-[0:43:28.80]  No tenían compasión con los chicos.
[0:43:28.80]-[0:43:30.80]  ¿A las chicas, no?
[0:43:30.80]-[0:43:33.80]  Para los chicos y las chicas, sí, sí.
[0:43:33.80]-[0:43:39.80]  Era una cosa autoritaria que ordeno y mando.
[0:43:39.80]-[0:43:42.80]  Ahora no habría, sí. Se os comerían.
[0:43:42.80]-[0:43:45.80]  En el archivo estuvo San Gismas, la enseñadora.
[0:43:45.80]-[0:43:50.80]  ¿Puedes contar un poco de ese archivo?
[0:43:50.80]-[0:43:52.80]  ¿Qué notaba?
[0:43:52.80]-[0:43:57.80]  Son cosas que como que yo sí he visto, yo pasé aquí, la verdad.
[0:43:57.80]-[0:44:00.80]  Estuvimos entre dos fuegos, 18 días.
[0:44:00.80]-[0:44:04.80]  Y el pueblo, los unos hay, los otros hay.
[0:44:04.80]-[0:44:06.80]  ¿El pueblo en medio?
[0:44:06.80]-[0:44:09.80]  El pueblo en medio. Y estábamos ahí en las casas,
[0:44:09.80]-[0:44:11.80]  que tiritos escondidos, ahí.
[0:44:11.80]-[0:44:14.80]  ¿Pasaban aviones? Seguro que se acuerda usted de qué pasaba.
[0:44:14.80]-[0:44:17.80]  Hombre, claro que sí. Pasaban y ametrallaban también.
[0:44:17.80]-[0:44:22.80]  ¿Los llamaban de alguna manera los aviones? ¿Les ponían algún nombre?
[0:44:22.80]-[0:44:27.80]  Que el gencidio, el gencidio. Y había un pava. Cuando venían las pavas,
[0:44:27.80]-[0:44:30.80]  cuidado que las pavas eran las que soltaban las bombas.
[0:44:30.80]-[0:44:36.80]  Y ametrallar, ahí, ya que se ve, estaban un, un, todos.
[0:44:41.80]-[0:44:45.80]  ¿Se asustaban cuando venían? Hombre, ya lo veo.
[0:44:45.80]-[0:44:47.80]  Sí.
[0:44:47.80]-[0:44:50.80]  Tenían mucho miedo los aviones.
[0:44:50.80]-[0:44:54.80]  Sí, sí, pero ¿y qué hacía la gente cuando veían pasar aviones?
[0:44:54.80]-[0:44:56.80]  A esconderse, a esconderse.
[0:44:56.80]-[0:44:59.80]  ¿A un sitio...?
[0:44:59.80]-[0:45:04.80]  Los de mi casa nos fuimos a una masía, esa masía que digo yo que está tocando el ruido.
[0:45:04.80]-[0:45:05.80]  Ah, sí.
[0:45:05.80]-[0:45:10.80]  Y allí, y a mi abuela. Y estando allí, ¡op!
[0:45:10.80]-[0:45:15.80]  Cae una bomba en la misma puerta de la masía y no explotó.
[0:45:15.80]-[0:45:17.80]  ¿No explotó? No explotó.
[0:45:17.80]-[0:45:18.80]  Un milagro.
[0:45:18.80]-[0:45:23.80]  Un milagro. Y cogimos, mis padres dicen, sí, nos vamos del pueblo,
[0:45:23.80]-[0:45:26.80]  y dígate, si explota, Dios que te va a venir.
[0:45:26.80]-[0:45:29.80]  Y nos volvimos a casa. Y ya no son los hombres que salen.
[0:45:29.80]-[0:45:34.80]  Se iban a las cuevas, a las masías, cada uno...
[0:45:34.80]-[0:45:36.80]  ¿Y para comer?
[0:45:36.80]-[0:45:38.80]  Lo poco que había.
[0:45:38.80]-[0:45:41.80]  La comida entonces iba un poco escasa.
[0:45:41.80]-[0:45:46.80]  Pasé a tirar a... y se comía el ronceso.
[0:45:51.80]-[0:45:58.80]  Pero la vida cotidiana, ¿no cambió ni un poco en la época de Francia?
[0:45:58.80]-[0:46:00.80]  ¿Nosotros no cambiamos ni un poco?
[0:46:00.80]-[0:46:03.80]  ¿O sí? ¿Pero el hambre?
[0:46:03.80]-[0:46:06.80]  Ah, el hambre es la burgarrambre.
[0:46:06.80]-[0:46:08.80]  La burgarrambre.
[0:46:08.80]-[0:46:14.80]  Y para comprar una cosa era extraperro.
