[0:00:00.00]-[0:00:06.00]  ¿Usted cómo se llama?
[0:21:14.00]-[0:21:18.00]  Se lava cuando es nuevo, cuando lo quitan de las ovejas y eso.
[0:21:18.00]-[0:21:22.00]  Entonces recién esquilado se lava la lana muy bien lavada.
[0:21:22.00]-[0:21:24.00]  Para que quede limpia.
[0:21:24.00]-[0:21:28.00]  Y luego ya no se lava la lana.
[0:21:28.00]-[0:21:33.00]  Nada más que se airea y se sacude de esa manera.
[0:21:33.00]-[0:21:35.00]  ¿Cómo se sacudía entonces?
[0:21:35.00]-[0:21:40.00]  Cogerlo y después de bien dado, airearlo un poquito.
[0:21:40.00]-[0:21:45.00]  Dios que no puedo hablar mucho porque la garganta se me pone...
[0:21:45.00]-[0:21:48.00]  Bueno, con calma, no se preocupe.
[0:21:48.00]-[0:21:50.00]  Estamos sentadas aquí al fresco.
[0:21:50.00]-[0:21:53.00]  ¿De dónde es esta señora que sabe tanto?
[0:21:53.00]-[0:21:55.00]  Anda cállate, cállate.
[0:21:55.00]-[0:21:58.00]  Y no metas la pata aquí que te están cogiendo.
[0:21:58.00]-[0:22:02.00]  Entonces pone la lana encima de...
[0:22:02.00]-[0:22:07.00] ...unas mantas, unas lonas, ¿sabes?
[0:22:07.00]-[0:22:10.00]  Y yo cuando lo voy a hacer lo pongo al sol.
[0:22:10.00]-[0:22:14.00]  Porque el sol dice que quita las porrillas.
[0:22:14.00]-[0:22:18.00]  Y luego después tengo una cochera buena.
[0:22:18.00]-[0:22:21.00]  Lo cojo, lo meto y allí cuando yo he podido...
[0:22:21.00]-[0:22:24.00]  Ya no puedo porque tengo una angina de pecho.
[0:22:24.00]-[0:22:27.00]  Y entonces ya no puedo dar palos ni puedo hacer esas cosas.
[0:22:27.00]-[0:22:30.00]  Pero sí, yo me las he valido en mi casa.
[0:22:30.00]-[0:22:34.00]  Ahora viene un señor y cuando lo necesito me lo hace y ya está.
[0:22:34.00]-[0:22:38.00]  Pero tengo todos los colchones, les tengo de lana.
[0:22:38.00]-[0:22:42.00]  Y no les cambio ya mientras viva yo.
[0:22:42.00]-[0:22:45.00]  Mis hijas sin embargo les tienen de flesh.
[0:22:45.00]-[0:22:49.00]  Pero así no les dan trabajo, como digo yo.
[0:22:49.00]-[0:22:55.00]  Ahora, que no creas que porque se duerma en colchón que dicen de cama dura...
[0:22:55.00]-[0:22:59.00]  Esto te lo digo porque hace falta que lo sepa mucha gente.
[0:22:59.00]-[0:23:02.00]  Y que se entiendan los señores médicos y cosas de esas.
[0:23:02.00]-[0:23:06.00]  Que el que está de columna que duerma en cama dura.
[0:23:06.00]-[0:23:10.00]  Mi marido ha estado durmiendo en tableros y otros siete.
[0:23:10.00]-[0:23:12.00]  Y él estaba de la columna y no se ha curado.
[0:23:12.00]-[0:23:14.00]  Y a mí me he puesto mala.
[0:23:14.00]-[0:23:17.00]  Y he tenido que quitar el tablero y estoy durmiendo en el colchón.
[0:23:17.00]-[0:23:18.00]  ¿Sabes?
[0:23:18.00]-[0:23:20.00]  Y su marido con tablas.
[0:23:20.00]-[0:23:22.00]  Y mi marido con tablas.
[0:23:22.00]-[0:23:24.00]  Que ha estado con tablas y yo con tablas.
[0:23:24.00]-[0:23:27.00]  Y lo hemos tenido que quitar ya al donarlo porque...
[0:23:27.00]-[0:23:29.00]  Eso, de curarse nada.
[0:23:29.00]-[0:23:33.00]  Prefiero el colchón de lana que duerma a gusto y eso.
[0:23:33.00]-[0:23:36.00]  Lo único que claro, pues es una tarea.
[0:23:36.00]-[0:23:39.00]  Y la cama pues cuesta más el hacerla.
[0:23:39.00]-[0:23:42.00]  Porque para sacar una cama bonita pues hay que saberla hacer.
[0:23:42.00]-[0:23:45.00]  Hay que saber poner las mantas y bien.
[0:23:45.00]-[0:23:47.00]  Y claro, en lo otro pues es más fácil.
[0:23:47.00]-[0:23:49.00]  Pero el que está acostumbrada pues nada.
[0:23:49.00]-[0:23:51.00]  ¿Vacas ha tenido?
[0:23:51.00]-[0:23:52.00]  Vacas no he tenido.
[0:23:52.00]-[0:23:53.00]  No ha tenido.
[0:23:53.00]-[0:23:54.00]  Y en el pueblo no ha habido vacas?
[0:23:54.00]-[0:23:55.00]  Cabras sí.
[0:23:55.00]-[0:23:56.00]  Cabras, pero pago el gasto de casa.
[0:23:56.00]-[0:23:57.00]  Para el gasto de casa.
[0:23:57.00]-[0:23:59.00]  ¿Y qué hacía?
[0:23:59.00]-[0:24:00.00]  ¿Qué utilizaba de la cabra?
[0:24:00.00]-[0:24:01.00]  ¿De la cabra?
[0:24:01.00]-[0:24:02.00]  Pues la leche.
[0:24:02.00]-[0:24:05.00]  La leche porque aquí entonces no había vacas.
[0:24:05.00]-[0:24:10.00]  Y entonces había un atajo de cabras que cada vecino tenía una cabra o dos.
[0:24:10.00]-[0:24:11.00]  ¿Cómo se cuidaban?
[0:24:11.00]-[0:24:12.00]  Las soltábamos con hieros.
[0:24:12.00]-[0:24:13.00]  Las cuidábamos.
[0:24:13.00]-[0:24:16.00]  Entonces aquí se sembraban muchos hieros.
[0:24:16.00]-[0:24:19.00]  Y entonces pues se las soltaba por entre el día al campo.
[0:24:19.00]-[0:24:21.00]  Con un señor que las cuidaba a ellas.
[0:24:21.00]-[0:24:25.00]  Y luego en casa cuando llegaban las echabas un piencecito de hieros.
[0:24:25.00]-[0:24:26.00]  Y las ordeñábamos.
[0:24:26.00]-[0:24:30.00]  Y claro, pues nos daba la cabra pues dos litros o tres de leche.
[0:24:30.00]-[0:24:34.00]  Y con eso pues ya teníamos desayuno y a lo mejor cena.
[0:24:34.00]-[0:24:37.00]  Porque antes no creas que era como ahora.
[0:24:37.00]-[0:24:41.00]  Que el que tenía una cabra o tenía eso pues vivía con un rey.
[0:24:41.00]-[0:24:43.00]  La leche de cabra...
[0:24:43.00]-[0:24:45.00]  La leche de cabra pues hay que acostumbrarse a ella.
[0:24:45.00]-[0:24:51.00]  Tiene un poquito de gusto que no sabe tan buena como la de vaca.
[0:24:51.00]-[0:24:52.00]  Bueno, a ella a quien le gusta más.
[0:24:52.00]-[0:24:54.00]  Pero a otra gente no le gusta.
[0:24:54.00]-[0:24:56.00]  Pero yo siempre le echaba café.
[0:24:56.00]-[0:24:59.00]  Café o colacao o alguna cosa.
[0:24:59.00]-[0:25:01.00]  Y ya pues se quitaba el gusto.
[0:25:01.00]-[0:25:02.00]  ¿Y queso de cabra?
[0:25:02.00]-[0:25:03.00]  El queso de cabra es muy bueno.
[0:25:03.00]-[0:25:06.00]  ¿Usted sabe... ha hecho queso de cabra?
[0:25:06.00]-[0:25:08.00]  Lo hace todo el mundo que quiere.
[0:25:08.00]-[0:25:10.00]  ¿Usted sabe hacer queso de cabra?
[0:25:10.00]-[0:25:15.00]  Pues el queso de cabra es muy sencillo de hacer como lo de oveja.
[0:25:15.00]-[0:25:16.00]  Cogen...
[0:25:16.00]-[0:25:20.00]  Este señor en su casa le han hecho mucho queso de ovejas.
[0:25:20.00]-[0:25:27.00]  Cuecen la leche y lo ponen al calor la leche al tiempo de antes de que hierva.
[0:25:27.00]-[0:25:30.00]  Lo ponen así al calor de la lumbre y lo echan cuajo.
[0:25:30.00]-[0:25:32.00]  Lo que yo no la puedo decir es la cantidad.
[0:25:32.00]-[0:25:35.00]  Echaban cuajo de corderitos antes.
[0:25:35.00]-[0:25:39.00]  Ahora lo echan sintético, en polvo, que lo compran.
[0:25:39.00]-[0:25:44.00]  Ahora por eso es más áspero el queso de ahora que lo de antes.
[0:25:44.00]-[0:25:47.00]  Y nada, y cuando veían que ya estaba cojada la leche...
[0:25:47.00]-[0:25:51.00] ... pues lo echaban en unos cinchos que preparaban.
[0:25:51.00]-[0:25:55.00]  ¿Cuánto tardaba en cuajar la leche?
[0:25:55.00]-[0:26:02.00]  Yo no sé, pero sí, eso tardaría a lo mejor tres partes de hora o así, digo yo.
[0:26:02.00]-[0:26:03.00]  Pero con la calor.
[0:26:03.00]-[0:26:06.00]  Bueno, eso con también la temperatura que tendría.
[0:26:06.00]-[0:26:08.00]  Con la temperatura que estuviera allá.
[0:26:08.00]-[0:26:13.00]  Y luego ya pues nada, lo ponían los cinchos y hacían los quesos.
[0:26:13.00]-[0:26:16.00]  Y así en muchos lados lo siguen haciendo.
[0:26:16.00]-[0:26:18.00]  Que no creas que no lo hacen, sí lo hacen.
[0:26:18.00]-[0:26:20.00]  Y luego se venden.
[0:26:20.00]-[0:26:22.00]  Y luego lo vendían.
[0:26:22.00]-[0:26:24.00]  Y otros pues solo para su gasto, para su casa.
[0:26:24.00]-[0:26:26.00]  Había quien lo hacía para su casa.
[0:26:26.00]-[0:26:31.00]  Y el que tiene un atajo de ovejas que tenía 100 o 200 o 100 o 200, pues se dedicaba a venderlo.
[0:26:31.00]-[0:26:40.00]  Como ahora los llevan a lo mejor, vienen coches a recogerlo y los llevan a las centrales y los llevan a las fábricas.
[0:26:40.00]-[0:26:42.00]  Pero antes pues no.
[0:26:42.00]-[0:26:48.00]  Antes hacían cuatro o cinco quesos, o seis o diez.
[0:26:48.00]-[0:26:52.00]  Y les dejaban que se... ocho o quince días en casa.
[0:26:52.00]-[0:26:56.00]  Y luego pues les vendían a la gente que se les compraba y ya estaban.
[0:26:56.00]-[0:26:58.00]  ¿Gallinas se ha tenido?
[0:26:58.00]-[0:26:59.00]  Gallinas toda la vida.
[0:26:59.00]-[0:27:00.00]  ¿Sí?
[0:27:00.00]-[0:27:01.00]  Sí.
[0:27:01.00]-[0:27:02.00]  ¿Cómo se cuida una... a las gallinas?
[0:27:02.00]-[0:27:03.00]  Como quieras.
[0:27:03.00]-[0:27:04.00]  A las gallinas son muy esclavas.
[0:27:04.00]-[0:27:05.00]  Lo que la quieras echar.
[0:27:05.00]-[0:27:06.00]  Esas comen de todo.
[0:27:06.00]-[0:27:10.00]  Hasta... te iba a hablar una cosa mal, pero no.
[0:27:10.00]-[0:27:11.00]  Perdona, no te lo digo.
[0:27:11.00]-[0:27:14.00]  Esas escarban y comen de todo.
[0:27:14.00]-[0:27:21.00]  Comen hierba, comen cebada, comen harina, comen piensos compuestos, comen de todo.
[0:27:21.00]-[0:27:24.00]  Si sobra una comida y se la quieres poner, también se la comen.
[0:27:24.00]-[0:27:26.00]  Esas hacen apaño a todo.
[0:27:26.00]-[0:27:28.00]  ¿Cuántas veces se da de comer a las gallinas?
[0:27:28.00]-[0:27:34.00]  Pues oye, por lo general, pues por la mañana y por la tarde es costumbre.
[0:27:34.00]-[0:27:36.00]  Pero si las echas, pues tiempato el día.
[0:27:36.00]-[0:27:42.00]  Y si las pones en un sitio que a lo mejor echan bastante cantidad, pues igual tienen pa' cuatro días, según.
[0:27:42.00]-[0:27:44.00]  ¿Y para qué tenían las gallinas?
[0:27:44.00]-[0:27:54.00]  Para el gasto de casa, para hacer tu... freír un huevo cuando te sea antojara o hacer tortillas o hacer rosquillas o hacer...
[0:27:54.00]-[0:27:58.00]  Las gallinas dan mucho surtido para muchas cosas.
[0:27:58.00]-[0:28:02.00]  Claro, ¿con qué se hacen? Se hacen con rosquillas.
[0:28:02.00]-[0:28:03.00]  ¿Flanes?
[0:28:03.00]-[0:28:04.00]  Con esto.
[0:28:04.00]-[0:28:07.00]  ¿Flanes? Lo que querías hacer, que lo que quieras.
[0:28:07.00]-[0:28:10.00]  ¿Y daban muchos huevos las gallinas, claro?
[0:28:10.00]-[0:28:14.00]  Hombre, pues mira, las hay que ponen mucho y las hay que son...
[0:28:14.00]-[0:28:18.00]  Aunque se maten, al primer día tampoco dejan rendimiento.
[0:28:18.00]-[0:28:20.00]  Es como todas las cosas.
[0:28:20.00]-[0:28:23.00]  Ahora, pues sí, las hay que a lo mejor están poniendo todo el año.
[0:28:23.00]-[0:28:26.00]  Cuando son jóvenes, pues dan más rendimiento.
[0:28:26.00]-[0:28:31.00]  Cuando una gallina ya tiene dos años o tres, ya rinde menos.
[0:28:31.00]-[0:28:37.00]  Pasa como las personas mayores, que ya no servimos para hacer muchas cosas y las hemos hecho antes.
[0:28:37.00]-[0:28:39.00]  Bueno, pues así de esa manera.
[0:28:39.00]-[0:28:44.00]  ¿Y ya qué quieres que te explique? No te puedo ya explicar si te explica mucho.
[0:28:44.00]-[0:28:48.00]  Un poco a ver ahora las cosechas que ha habido en el pueblo.
[0:28:48.00]-[0:28:49.00]  Uy, cosechas.
[0:28:49.00]-[0:28:50.00]  ¿Qué se ha sembrado?
[0:28:50.00]-[0:28:59.00]  Pues antes sembraban aquí hieros, sombraban guisantes, sembraban cebada, sembraban centeno, sembraban avena.
[0:28:59.00]-[0:29:04.00]  Se sembraba de toda la clase de cereales en estos pueblos.
[0:29:04.00]-[0:29:08.00]  Y ahora, pues, es la sesión larga.
[0:29:10.00]-[0:29:12.00]  Ahora pues siguen sembrando igual.
[0:29:12.00]-[0:29:14.00]  Lo que pasa es que ahora siembran más remolacha.
[0:29:14.00]-[0:29:18.00]  Se siembran más remolacha y más patatas.
[0:29:18.00]-[0:29:21.00]  Eso, el que puede regar.
[0:29:21.00]-[0:29:24.00]  El que no, pues peor que antes.
[0:29:24.00]-[0:29:26.00]  O sea, remolacha y patata.
[0:29:26.00]-[0:29:27.00]  Y patatas, sí.
[0:29:27.00]-[0:29:28.00]  Sí.
[0:29:28.00]-[0:29:30.00]  Aquí pocas patatas siembran, pero...
[0:29:30.00]-[0:29:31.00]  Esta es zona de remolacha.
[0:29:31.00]-[0:29:33.00]  Bueno, zona de remolacha, sí.
[0:29:33.00]-[0:29:38.00]  Antes se sembran zanorias, achicorias, también, por ahí, eso.
[0:29:38.00]-[0:29:41.00]  Pero vienen los años muy malos, muy contrarios.
[0:29:41.00]-[0:29:46.00]  Y claro, ahora ves el campo que parece que está bueno, pero no llueve y ya está perdiendo.
[0:29:46.00]-[0:29:48.00]  Que lo ves que pierde cada día.
[0:29:48.00]-[0:29:50.00]  Y claro, pues...
[0:29:50.00]-[0:29:53.00]  ¿Cómo se cultivaba un cereal?
[0:29:53.00]-[0:29:55.00]  Uy, antes el cereal.
[0:29:55.00]-[0:29:57.00]  ¿Y cómo lo recogía?
[0:29:57.00]-[0:30:01.00]  Antes, de lo de antes, ahora no hay ni punto de comparación.
[0:30:01.00]-[0:30:03.00]  Porque ahora todo hija lo hacen con maquinaria.
[0:30:03.00]-[0:30:06.00]  Entonces a mí, de ahora no me midigas nada.
[0:30:06.00]-[0:30:09.00]  Antes yo te digo que se labraba con un arau romano.
[0:30:09.00]-[0:30:10.00]  ¿Eh?
[0:30:10.00]-[0:30:11.00]  De madera.
[0:30:11.00]-[0:30:13.00]  Y una vertedera.
[0:30:13.00]-[0:30:16.00]  Y con eso se sembraban las tierras.
[0:30:16.00]-[0:30:19.00]  Los hombres los sembraban a mano.
[0:30:19.00]-[0:30:20.00]  Tiraban los amones a mano.
[0:30:20.00]-[0:30:21.00]  Y hacían todo a mano.
[0:30:21.00]-[0:30:23.00]  Y ahora todo es maquinaria.
[0:30:23.00]-[0:30:25.00]  Así que ha cambiado un abismo.
[0:30:25.00]-[0:30:26.00]  Todo.
[0:30:26.00]-[0:30:29.00]  ¿Y no sabe usted cómo se recogía el cereal?
[0:30:29.00]-[0:30:31.00]  ¿Cómo no voy a saber?
[0:30:31.00]-[0:30:33.00]  Con la hoz que hemos ido a secar.
[0:30:33.00]-[0:30:35.00]  Yo he ido a secar, esa señora ha ido a secar.
[0:30:35.00]-[0:30:37.00]  Y todas del pueblo hemos ido a secar.
[0:30:37.00]-[0:30:39.00]  Este señor ha segado mucho también con la mano.
[0:30:39.00]-[0:30:40.00]  Todos, todos.
[0:30:40.00]-[0:30:41.00]  Todos, todos.
[0:30:41.00]-[0:30:43.00]  Segamos con las manos.
[0:30:43.00]-[0:30:45.00]  Y luego traían aquí a este prau.
[0:30:45.00]-[0:30:46.00]  A este prau que hay aquí.
[0:30:46.00]-[0:30:49.00]  Traían carros de haces cargados.
[0:30:49.00]-[0:30:54.00]  Que venían los carros con tres o cuatro rodeos de haces.
[0:30:54.00]-[0:30:56.00]  Y se ataban en haces.
[0:31:05.00]-[0:31:07.00]  ¿Cuánto echaban?
[0:31:07.00]-[0:31:08.00]  ¿En las parvas?
[0:31:08.00]-[0:31:09.00]  Sí.
[0:31:09.00]-[0:31:12.00]  Oye, pues mira, eso dependía de cada uno el ganado que tendría.
[0:31:12.00]-[0:31:16.00]  Porque el que tenía un ganado que aguantaba, que era joven y eso,
[0:31:16.00]-[0:31:21.00]  pues oye, a lo mejor, pues echaban más que uno que no podían.
[0:31:21.00]-[0:31:23.00]  Porque el que era un ganado malo, pues no podían.
[0:31:23.00]-[0:31:26.00]  Pero el que tenía un trillo bueno y un ganado bueno, pues...
[0:31:26.00]-[0:31:29.00]  ¿Cuánto echaban?
[0:31:29.00]-[0:31:30.00]  ¿Cuánto echaban?
[0:31:30.00]-[0:31:35.00]  De... echaban pues ya te digo, para una parva.
[0:31:35.00]-[0:31:37.00]  Pues luego eso, pues después de que estaba trillado,
[0:31:37.00]-[0:31:43.00]  se trillaba con un trillo de los trilleros de Cantalejo.
[0:31:43.00]-[0:31:45.00]  Que aquí todavía existen.
[0:31:45.00]-[0:31:46.00]  Yo en mi casa tengo uno.
[0:31:46.00]-[0:31:47.00]  ¿Tienes un trillo?
[0:31:47.00]-[0:31:48.00]  Sí, le tengo.
[0:31:48.00]-[0:31:52.00]  Y aquí habrá, en muchos habrá por aquí.
[0:31:52.00]-[0:31:55.00]  Eso es para antigüedad, vale.
[0:31:55.00]-[0:31:58.00]  Yo también tengo una fotografía.
[0:31:58.00]-[0:32:00.00]  Y claro, pues trillando ahí en las eras.
[0:32:00.00]-[0:32:03.00]  Yo trillaba mucho ahí mismo trillaba.
[0:32:03.00]-[0:32:06.00]  Y me ha tocado montonar la parva y me ha tocado volverla.
[0:32:06.00]-[0:32:07.00]  ¿Volverla?
[0:32:07.00]-[0:32:09.00]  Volverla, la hay que volver.
[0:32:09.00]-[0:32:11.00]  Teníamos volvederas, pero muchas veces las volvederas
[0:32:11.00]-[0:32:16.00]  se empezaban a hacer rollos, rollos y tenías que ir con una horca de madera detrás
[0:32:16.00]-[0:32:23.00]  e irlo ahuecando para que el trillo fuera bien, ¿sabes?
[0:32:23.00]-[0:32:25.00]  Y no se harían rollos.
[0:32:25.00]-[0:32:27.00]  Si no se hacía, a lo mejor se arrollaba.
[0:32:27.00]-[0:32:29.00]  Y no se trillaba.
[0:32:29.00]-[0:32:32.00]  Y luego, pues por la tarde, ya cuando se terminaba,
[0:32:32.00]-[0:32:34.00]  pues había que echarla al montón.
[0:32:34.00]-[0:32:37.00]  Y donde había hombres, pues hombres y mujeres.
[0:32:37.00]-[0:32:40.00]  Aquí igual se trabajaban entre hombres que mujeres.
[0:32:40.00]-[0:32:43.00]  Ahora no, ahora ya todo es maquinaria.
[0:32:43.00]-[0:32:45.00]  Ya está mecanizado y ya no nada.
[0:32:45.00]-[0:32:50.00]  Así que los que nazcan ahora, si volverían,
[0:32:50.00]-[0:32:54.00]  nada más los que se han muerto, fíjate lo que te voy a decir,
[0:32:54.00]-[0:32:59.00]  hace 40 años dirían que esto es otro mundo.
[0:32:59.00]-[0:33:01.00]  Sí, usted lo creía, ha trabajado mucho.
[0:33:01.00]-[0:33:04.00]  Porque ha dado la vuelta completamente.
[0:33:04.00]-[0:33:09.00]  Porque antes era todo a base de braceros, de mano.
[0:33:09.00]-[0:33:11.00]  Y ahora todo es a base de maquinaria.
[0:33:11.00]-[0:33:16.00]  Así que qué caray va a haber de jornales, si todos se lo llevan las máquinas.
[0:33:16.00]-[0:33:18.00]  Pues los hombres tienen que estar mirando.
[0:33:18.00]-[0:33:20.00]  ¿Ha cambiado mucho la vida del pueblo?
[0:33:20.00]-[0:33:23.00]  Hombre, como en todos los lados.
[0:33:23.00]-[0:33:28.00]  La que, ya sabes, el que tiene el pan lo come y el que no lo ayuna.
[0:33:28.00]-[0:33:30.00]  Pero, hombre, ha cambiado.
[0:33:30.00]-[0:33:35.00]  ¿Las costumbres del pueblo han cambiado en fiestas, en bodas?
[0:33:35.00]-[0:33:38.00]  En fiestas cada vez peor en los pueblos.
[0:33:38.00]-[0:33:40.00]  Porque cada vez vamos a menos.
[0:33:40.00]-[0:33:43.00]  La gente se ha ido toda la capital, la mayoría.
[0:33:43.00]-[0:33:45.00]  Este pueblo tenía ciento y pico vecinos.
[0:33:45.00]-[0:33:47.00]  Cuando me casé yo tenía 110.
[0:33:47.00]-[0:33:49.00]  110, bueno, pues ya ves.
[0:33:49.00]-[0:33:54.00]  Y hoy somos 24 o 25, o 26 vecinos.
[0:33:54.00]-[0:33:58.00]  Y ahora hay cuatro o cinco labradores, o seis nada más.
[0:33:58.00]-[0:34:00.00]  ¿Cómo era una boda de antes que hice cuando se casó?
[0:34:00.00]-[0:34:02.00]  ¿Cómo era una boda antes?
[0:34:02.00]-[0:34:04.00]  Ay, una boda, las bodas de antes pues era...
[0:34:04.00]-[0:34:06.00]  ¿Cómo iba vestida la novia?
[0:34:06.00]-[0:34:08.00]  Pues cada una como quería.
[0:34:08.00]-[0:34:10.00]  Quería de blanco pocas, hija.
[0:34:10.00]-[0:34:11.00]  ¿Sí?
[0:34:11.00]-[0:34:12.00]  Pocas.
[0:34:12.00]-[0:34:15.00]  Las mayoría es una de negro, otras de azul, otras de marrón.
[0:34:15.00]-[0:34:17.00]  Otras de...
[0:34:17.00]-[0:34:18.00]  ¿Era un traje...?
[0:34:18.00]-[0:34:19.00]  Un traje de chaqueta.
[0:34:19.00]-[0:34:20.00]  Cada una como quería.
[0:34:20.00]-[0:34:22.00]  ¿El traje se hacía...?
[0:34:22.00]-[0:34:24.00]  ¿Que todas de negro?
[0:34:24.00]-[0:34:26.00]  Yo no, porque yo me casé de marrón.
[0:34:26.00]-[0:34:27.00]  ¿Te casé de marrón?
[0:34:27.00]-[0:34:29.00]  Yo me casé de marrón.
[0:34:29.00]-[0:34:32.00]  Cada una lo que... eso, pero no se hacía...
[0:34:32.00]-[0:34:37.00]  Lo único que hacían era un gasto en las casas, pues de que...
[0:34:37.00]-[0:34:41.00]  Te voy a decir, pues invitaban a muchos...
[0:34:41.00]-[0:34:45.00]  A los amigos, vecinos, amistades...
[0:34:45.00]-[0:34:47.00]  Y hacían una boda buena.
[0:34:47.00]-[0:34:49.00]  El que podía, pues invitaban a muchos y...
[0:34:49.00]-[0:34:52.00]  ¿Era costumbre que el novio regalase algo a la novia?
[0:34:52.00]-[0:34:55.00]  Pues aquí sí, lo regalaban...
[0:34:55.00]-[0:34:57.00]  Algunos tierras, los daban tierras.
[0:34:57.00]-[0:34:59.00]  Y otros los daban dinero.
[0:34:59.00]-[0:35:01.00]  Joyas pocos.
[0:35:01.00]-[0:35:04.00]  Como ahora, una sortijita, una zorradita de esas.
[0:35:04.00]-[0:35:07.00]  Una laja, una cosa...
[0:35:07.00]-[0:35:10.00]  Bueno, pues antes no se llevaban esas costumbres.
[0:35:10.00]-[0:35:12.00]  Porque no.
[0:35:12.00]-[0:35:15.00]  Pero aquí, pues el que era rico y la podía dar...
[0:35:15.00]-[0:35:18.00]  10 obradas de tierra...
[0:35:18.00]-[0:35:21.00]  Pues se las daba a la novia.
[0:35:21.00]-[0:35:24.00]  Y el que no, pues les daban dinero.
[0:35:24.00]-[0:35:27.00]  También, cada uno les daba lo que podía.
[0:35:27.00]-[0:35:29.00]  Y el que no podía darla nada, por nada.
[0:35:29.00]-[0:35:30.00]  A pelo.
[0:35:30.00]-[0:35:33.00]  ¿Y al novio? ¿La novia regalaba algo o...?
[0:35:33.00]-[0:35:35.00]  Ah, bueno, eso ya vería.
[0:35:35.00]-[0:35:38.00]  Si le tenía ganas de regalarle algo, se lo regalaría.
[0:35:38.00]-[0:35:40.00]  Como el novio a la novia.
[0:35:40.00]-[0:35:42.00]  Pero eso cuando son novios.
[0:35:42.00]-[0:35:44.00]  Pero luego, pues ya...
[0:35:44.00]-[0:35:46.00]  Pero como regalo de boda no era costumbre.
[0:35:46.00]-[0:35:48.00]  La camisa la debían de comprar.
[0:35:48.00]-[0:35:52.00]  Al novio, yo creo, me parece, que se compraba la camisa al novio.
[0:35:52.00]-[0:35:55.00]  Y la boda se celebraba por todo lo alto.
[0:35:55.00]-[0:35:57.00]  Hombre, y la boda se celebraba por todo lo alto.
[0:35:57.00]-[0:36:00.00]  El que podía con tamboril, pues con tamboril.
[0:36:00.00]-[0:36:03.00]  ¿A quién se invitaba?
[0:36:03.00]-[0:36:06.00]  ¿A quién se invitaba? Pues ya te digo, que a las amigas.
[0:36:06.00]-[0:36:12.00]  A amigos, el novio, a los familiares todos, a los hermanos, cuñaos y...
[0:36:12.00]-[0:36:14.00]  Y eso, con la gente del pueblo.
[0:36:14.00]-[0:36:16.00]  A una parte.
[0:36:16.00]-[0:36:20.00]  Ahora que ahora invitan a más, yo creo que a más.
[0:36:20.00]-[0:36:23.00]  ¿Y fiestas del pueblo que ha dicho que el pueblo va peor?
[0:36:23.00]-[0:36:25.00]  ¿Ha perdido fiestas?
[0:36:25.00]-[0:36:28.00]  Mucho. Yo de la fiesta no me hables porque...
[0:36:28.00]-[0:36:32.00]  Llevo sin ver la fiesta, no sé si hay mucho, o hay poco, o no hay nada.
[0:36:32.00]-[0:36:35.00]  Llevo muchos años que en el día de la fiesta no salgo.
[0:36:35.00]-[0:36:37.00]  ¿Hay un día de la fiesta...?
[0:36:37.00]-[0:36:40.00]  Hay tres días aquí. Es la fiesta de San Anton. La fiesta de los burros.
[0:36:40.00]-[0:36:44.00]  Antes aquí, el día de San Anton, venían...
[0:36:44.00]-[0:36:49.00]  Porque San Anton era por aquí en todo el contorno, no había otro San Anton.
[0:36:49.00]-[0:36:54.00]  Y entonces venían los labradores de Lombrada con las yuntas,
[0:36:54.00]-[0:36:59.00]  con las yuntas que es la pareja de machos que traían, o de mulas, lo que fuera,
[0:36:59.00]-[0:37:05.00]  las traían engalanadas, con buenas colchas encima de ellas, para alucirlas.
[0:37:05.00]-[0:37:09.00]  Traían una esquilonada macho bien...
[0:37:09.00]-[0:37:14.00]  Y venían, bueno, pues, a hacer galantería al pueblo, como que eran...
[0:37:14.00]-[0:37:16.00]  A alucirse, nada más.
[0:37:16.00]-[0:37:20.00]  Y que ponían los ricos que podían, pues al que mejor.
[0:37:20.00]-[0:37:24.00]  Y daban la vuelta, dos o tres vueltas a la iglesia.
[0:37:24.00]-[0:37:28.00]  Que era la costumbre, dar dos o tres vueltas a la iglesia, para que les protegiera y al santo.
[0:37:28.00]-[0:37:31.00]  Y las ovejas, los pastores, pues también las sacaban.
[0:37:31.00]-[0:37:33.00]  Y daban la vuelta también a la iglesia.
[0:37:33.00]-[0:37:34.00]  Así que...
[0:37:34.00]-[0:37:35.00]  A las ovejas.
[0:37:35.00]-[0:37:36.00]  A las ovejas.
[0:37:36.00]-[0:37:40.00]  Yo de niña, que he vivido cerca de la iglesia, pues estábamos a la ventana,
[0:37:40.00]-[0:37:44.00]  siempre viendo... Me chocaba mucho a mí eso.
[0:37:44.00]-[0:37:50.00]  Que ya sube el señor fulano con los machos, que ya sube otro, tal.
[0:37:50.00]-[0:37:54.00]  Y de esa manera, pues, los pastores igualmente.
[0:37:54.00]-[0:37:56.00]  Y eso es la fiesta de San Antón.
[0:37:56.00]-[0:37:57.00]  La fiesta de San Antón.
[0:37:57.00]-[0:37:59.00]  Y se sacaba en procesión.
[0:37:59.00]-[0:38:01.00]  Y se hace una danza. Eso lo sigue haciendo, eh.
[0:38:01.00]-[0:38:07.00]  Lo que es que dar la vuelta a San Antón ya, como no salgan los labradores,
[0:38:07.00]-[0:38:11.00]  pues mira quién va con los tractores, otra cosa que va a salir.
[0:38:11.00]-[0:38:14.00]  ¿No recuerdas una fiesta especial para mujeres?
