[0:00:00.00]-[0:00:04.92]  Y aquí estoy nativa.
[0:13:51.96]-[0:13:55.96]  Es que un día vinieron con una encuesta y estábamos...
[0:13:55.96]-[0:13:59.96]  Y nos cogieron y luego salió en ETBV.
[0:13:59.96]-[0:14:01.96]  No, no está para nosotros.
[0:14:01.96]-[0:14:03.96]  ¿Y la carne del chorizo cuál es?
[0:14:03.96]-[0:14:05.96]  La de... El cerdo fuera de la grasa.
[0:14:05.96]-[0:14:07.96]  Hay que quitarle el tocino.
[0:14:07.96]-[0:14:10.96]  El cerdo se quita todo el tocino de fuera, que es la caca de fuera.
[0:14:10.96]-[0:14:12.96]  Es como si tendrían una manta.
[0:14:12.96]-[0:14:14.96]  El marido será.
[0:14:14.96]-[0:14:18.96]  Se le quita la capa que tiene por fuera el cerdo, que es todo tocino,
[0:14:18.96]-[0:14:21.96]  y las mantecas se les pica a la morcilla.
[0:14:21.96]-[0:14:23.96]  La morcilla se hace con grasa también.
[0:14:23.96]-[0:14:26.96]  Entonces, aquí no se distinguirá porque ya está congelada y eso.
[0:14:26.96]-[0:14:29.96]  Se pica con una tijera grasa de esa blanca que es manteca,
[0:14:29.96]-[0:14:32.96]  se le echa a la morcilla.
[0:14:32.96]-[0:14:35.96]  ¿Pero por qué los chorizos son más finos o no?
[0:14:35.96]-[0:14:37.96]  Porque el intestino es distinto.
[0:14:37.96]-[0:14:38.96]  ¿Y eso cómo es?
[0:14:38.96]-[0:14:40.96]  Porque mira, el cerdo tiene dos clases de intestino.
[0:14:40.96]-[0:14:42.96]  El de la morcilla, el grueso y el estrecho.
[0:14:42.96]-[0:14:45.96]  Dice que las personas tenemos la misma vientre que el cerdo.
[0:14:45.96]-[0:14:47.96]  El grueso, estrecho y el ancho.
[0:14:47.96]-[0:14:48.96]  Y entonces...
[0:14:48.96]-[0:14:50.96]  Y la morcilla y otro para hacer chorizos.
[0:14:50.96]-[0:14:52.96]  Y el estrecho es el que se hace para hacer chorizos,
[0:14:52.96]-[0:14:55.96]  y el ancho es el que se hace para hacer la morcilla.
[0:14:55.96]-[0:14:57.96]  ¿Y después de que llena?
[0:14:57.96]-[0:14:59.96]  Entonces se cuelgan aquí.
[0:14:59.96]-[0:15:03.96]  Los chorizos colgamos por estas cuerdas que se les deja.
[0:15:03.96]-[0:15:06.96]  Se cuelgan y si hace buen tiempo no hace falta hacerles nada.
[0:15:06.96]-[0:15:08.96]  Pero si hace frío o humedades,
[0:15:08.96]-[0:15:12.96]  pues para eso tenemos la chimenea, para darles un poco de leña.
[0:15:12.96]-[0:15:15.96]  En algunos sitios les hacen humo a los chorizos, aquí no.
[0:15:15.96]-[0:15:17.96]  Aquí nada. Al aire...
[0:15:17.96]-[0:15:19.96]  ¿Y cuánto tiempo tarda en secar?
[0:15:19.96]-[0:15:20.96]  Unos 21 días.
[0:15:20.96]-[0:15:22.96]  Aproximadamente, según el tiempo.
[0:15:22.96]-[0:15:25.96]  Ya te digo, si va el tiempo seco, como es normal, mejor.
[0:15:25.96]-[0:15:28.96]  Si hay heladas y así es muy bueno para la carne.
[0:15:28.96]-[0:15:32.96]  Ah, porque nos han dicho también en otro pueblo que en la matanza se las hace en un tiempo, ¿no?
[0:15:32.96]-[0:15:34.96]  Sí, claro. En este tiempo ya no se puede hacer.
[0:15:34.96]-[0:15:35.96]  ¿Por qué?
[0:15:35.96]-[0:15:39.96]  Simplemente porque el calor ya atrae las moscas y claro,
[0:15:39.96]-[0:15:43.96]  y la carne, si la tienes cuatro días, pues te puede oler.
[0:15:43.96]-[0:15:47.96]  A pesar de que la carne, echándole la sal, ya aguanta, ¿me entiendes?
[0:15:47.96]-[0:15:52.96]  Pero bueno, entonces aquí las matanzas se hacían alrededor de la Inmaculada,
[0:15:52.96]-[0:15:56.96]  que son el 8 de diciembre, bueno, pues hasta ahora, marzo, así.
[0:15:56.96]-[0:16:00.96]  A primeros de abril, bueno, yo he hecho también más tarde,
[0:16:00.96]-[0:16:04.96]  pero ya con mucho miedo tener cerrado porque el calor de la calle
[0:16:04.96]-[0:16:09.96]  ya calienta mucho y todo eso, entonces hay que tener más cuidado de la carne.
[0:16:09.96]-[0:16:11.96]  Pero la morcilla dura menos, ¿hay que comerla antes o no?
[0:16:11.96]-[0:16:14.96]  Sí, la morcilla sí. El chorizo es el que una vez de que está seco,
[0:16:14.96]-[0:16:16.96]  antes se metía todo en manteca.
[0:16:16.96]-[0:16:17.96]  En manteca.
[0:16:17.96]-[0:16:21.96]  Con la manteca que tenía el cerdo se les hacía y eso se ponía luego los chorizos.
[0:16:21.96]-[0:16:23.96]  Pero ¿se guardaban en algún sitio?
[0:16:23.96]-[0:16:24.96]  No, simplemente sí.
[0:16:24.96]-[0:16:25.96]  ¿En un tarro?
[0:16:25.96]-[0:16:27.96]  En un tarro, porque lo tengo aquí.
[0:16:27.96]-[0:16:31.96]  Ah, ¿sabía que en una estirada te guardaban?
[0:16:31.96]-[0:16:34.96]  Sí, en un arroz.
[0:16:34.96]-[0:16:36.96]  Si te digo, cualquiera que me diga.
[0:16:36.96]-[0:16:39.96]  Estos son los chorizos que están metidos en manteca.
[0:16:39.96]-[0:16:43.96]  Se hace la grasa del cerdo y se meten. Y así los puedes tener un año.
[0:16:43.96]-[0:16:44.96]  ¿Un año duran?
[0:16:44.96]-[0:16:45.96]  Sí, sí, sí.
[0:16:45.96]-[0:16:46.96]  Vaya.
[0:16:46.96]-[0:16:47.96]  Y luego, ¿cuándo quieren comer?
[0:16:47.96]-[0:16:50.96]  Sacas, esto abres, está siempre cintado.
[0:16:50.96]-[0:16:54.96]  Cintas a las alubias, a los garbanzos, a donde quieras.
[0:16:54.96]-[0:16:58.96]  Bueno, y si los quieres freír, le das una vuelta en la sartén y ya está.
[0:16:58.96]-[0:16:59.96]  Claro.
[0:16:59.96]-[0:17:00.96]  Qué bueno.
[0:17:00.96]-[0:17:02.96]  ¿Y hacían jamones?
[0:17:02.96]-[0:17:04.96]  Sí, jamones siempre.
[0:17:04.96]-[0:17:06.96]  Sí, ¿y cómo se hacían los jamones?
[0:17:06.96]-[0:17:09.96]  Los jamones se hacen con la pieza trasera del pan.
[0:17:09.96]-[0:17:10.96]  Este se compra hoy.
[0:17:10.96]-[0:17:11.96]  Este se compra.
[0:17:11.96]-[0:17:14.96]  Porque ahora este año no hemos dejado nosotros jamones.
[0:17:14.96]-[0:17:19.96]  Nosotros este año hemos traído toda la carne de un matadero, de, ¿cómo se llama esto?
[0:17:19.96]-[0:17:21.96]  De Manjarres, que hay unos mataderos industriales.
[0:17:21.96]-[0:17:26.96]  Entonces, bajamos, encargamos por teléfono 40 o 50, a los que nos apetece de kilos,
[0:17:26.96]-[0:17:30.96]  y nos tienen preparados. Llegamos, cogemos y venimos a picar a casa.
[0:17:30.96]-[0:17:35.96]  Entonces, para los jamones me da como un poco más miedo porque ya no son el cerdo que tú has criado.
[0:17:35.96]-[0:17:38.96]  Estás con un cerdo que no sabes cómo está alimentado, ¿me entiendes?
[0:17:38.96]-[0:17:39.96]  Y eso es de más riesgo.
[0:17:39.96]-[0:17:42.96]  Entonces, compramos jamón ya curados y ya no...
[0:17:42.96]-[0:17:43.96]  Pero, ¿altiguamente cómo hacían?
[0:17:43.96]-[0:17:48.96]  Antes, pues mira, se cogían, se les daba, se les exprime bien la sangre,
[0:17:48.96]-[0:17:52.96]  porque se les queda igual alguna vena, se exprime bien, boca abajo el jamón, la sangre.
[0:17:52.96]-[0:17:57.96]  Entonces, se pone un cajón, cada uno lo hacía a su manera, un cajón, se echa sal al cajón
[0:17:57.96]-[0:18:00.96]  y luego se cubre todo de sal del jamón.
[0:18:00.96]-[0:18:05.96]  Y se tiene, bueno, entonces se coge y se pone peso, unas piedras para que se prensen.
[0:18:05.96]-[0:18:10.96]  Entonces, se ponen unas piedras o sacos de abono, lo que tengan a mano, les ponen a las piedras,
[0:18:10.96]-[0:18:12.96]  eso es para que se prensen.
[0:18:12.96]-[0:18:19.96]  Y si dice que si el jamón tiene 30 kilos, por decirte algo, se tiene un día por kilo.
[0:18:19.96]-[0:18:22.96]  Entonces, si tiene 30 kilos, 30 días es el jamón.
[0:18:22.96]-[0:18:26.96]  Luego se saca, se lava toda esa sal, se tiene un día ahí lavado,
[0:18:26.96]-[0:18:31.96]  y con ajos, pimentón y vinagre, se les da la capa de rojo que suelen tener.
[0:18:31.96]-[0:18:35.96]  Pues como estos de compra no tienen, estos no tienen, pero eso se les da.
[0:18:35.96]-[0:18:40.96]  Y luego, pues eso les conserva frescos y un aroma bueno porque tienen...
[0:18:40.96]-[0:18:41.96]  Pero se le cuelga, ¿no?
[0:18:41.96]-[0:18:45.96]  Sí, sí, sí. Después de que ya eso está, cuelgas, como los chorizos,
[0:18:45.96]-[0:18:49.96]  y los tienes porque eso ya no necesita calor ni nada.
[0:18:49.96]-[0:18:55.96]  Los tienes por aquí colgados, pues igual lo que te digo, pues dos meses o tres meses.
[0:18:55.96]-[0:18:58.96]  Y luego, pues cuando te hace falta, empiezas a partir, te va bonito.
[0:18:58.96]-[0:19:00.96]  ¿Y cómo exprimían? ¿O cómo...?
[0:19:00.96]-[0:19:05.96]  No, al prensar, al poner el jamón con las piedras, pues eso...
[0:19:05.96]-[0:19:07.96]  La misma sal le chupa todo lo que tiene.
[0:19:07.96]-[0:19:12.96]  Esprime todo, y luego eso ya, una vez que está plano, lo coges, lo lavas,
[0:19:12.96]-[0:19:15.96]  ya te digo que tiene que estar de 30 días, no baja,
[0:19:15.96]-[0:19:17.96]  porque siempre dicen que hay que tener algún día más,
[0:19:17.96]-[0:19:21.96]  porque con la sal no les pasa nada, igual si tienen poca te puede perjudicar, ¿no?
[0:19:21.96]-[0:19:26.96]  Entonces, luego coges, lo lavas, haces una masa con pimiento amolidado,
[0:19:26.96]-[0:19:27.96]  ¿sabes lo que es el pimentón, no?
[0:19:27.96]-[0:19:28.96]  Sí.
[0:19:28.96]-[0:19:31.96]  El pimentón, los ajos triturados y la vinagre.
[0:19:31.96]-[0:19:34.96]  Le das una mano, que los cubres bien todo, y ya está preparado.
[0:19:34.96]-[0:19:35.96]  ¿Y cuánta sal echada?
[0:19:35.96]-[0:19:39.96]  Todo lo que admita el cajón, porque claro, tiene que estar bien cubierto.
[0:19:39.96]-[0:19:43.96]  Si no, como haces un cajón así como esto, según sea el jamón, te tiene que entrar.
[0:19:43.96]-[0:19:44.96]  El jamón de por sí es grande.
[0:19:44.96]-[0:19:47.96]  Nosotros hemos matado, lo he dicho, hasta cerdos de 217 kilos.
[0:19:47.96]-[0:19:49.96]  Así que la rueda es grande.
[0:19:49.96]-[0:19:51.96]  Debe tener sal tanto por abajo como por arriba.
[0:19:51.96]-[0:19:54.96]  Claro, sí, para que chupe de abajo y chupe de arriba.
[0:19:54.96]-[0:19:57.96]  Y luego, cuando eso, le pones una tabla encima, todavía están por ahí,
[0:19:57.96]-[0:19:59.96]  mira, están las tablas de los jamones, te veo por aquí.
[0:19:59.96]-[0:20:00.96]  Sí, eso es.
[0:20:00.96]-[0:20:08.96]  Le pones estas tablas, así por ejemplo, dos, y aquí las piedras, y le pones el peso.
[0:20:08.96]-[0:20:11.96]  Porque si no, como está así abombado el jamón hasta que no está prensado,
[0:20:11.96]-[0:20:13.96]  pues se te cae lo que le pones.
[0:20:13.96]-[0:20:15.96]  Entonces, para eso les ponen las tablas.
[0:20:15.96]-[0:20:17.96]  Así que mira, hace falta de todo.
[0:20:17.96]-[0:20:19.96]  ¿Y lo de la mosca, qué decía que era?
[0:20:19.96]-[0:20:24.96]  La mosca es... Hay unas moscas que no se había oído, que son las cagazonas.
[0:20:24.96]-[0:20:29.96]  Unas moscas negras, gordas, que esa se atrae, el olor de la carne las atrae.
[0:20:29.96]-[0:20:34.96]  Entonces, si tienes la mala suerte, que te has cagado en el jamón o en la carne,
[0:20:34.96]-[0:20:36.96]  ahí se cría en una masa de bichos.
[0:20:36.96]-[0:20:38.96]  Todo lleno de gusanos.
[0:20:38.96]-[0:20:40.96]  Y entonces ya te has tropeado todo.
[0:20:40.96]-[0:20:41.96]  ¿Y hay que tirar o...?
[0:20:41.96]-[0:20:42.96]  Hombre, claro.
[0:20:42.96]-[0:20:43.96]  Si te das cuenta...
[0:20:43.96]-[0:20:45.96]  ¿Quién come eso con los gusanos?
[0:20:45.96]-[0:20:49.96]  Nosotros una vez teníamos un jamón colgado, y en el suelo empezamos a ver,
[0:20:49.96]-[0:20:53.96]  porque no se veía por fuera nada, en el suelo empezamos a ver bichitos.
[0:20:53.96]-[0:20:55.96]  Y esto, esto tiene que ser del jamón.
[0:20:55.96]-[0:20:57.96]  Entonces lo descolgamos.
[0:20:57.96]-[0:21:01.96]  Siempre van al hueso, adentro a la bola esta que tiene el jamón.
[0:21:01.96]-[0:21:04.96]  Es en esta parte donde siempre suele cagar en la mosca.
[0:21:04.96]-[0:21:07.96]  Aquí está sin sacarle la bola.
[0:21:07.96]-[0:21:09.96]  Mi hijo les quita este hueso.
[0:21:09.96]-[0:21:12.96]  Y está mejor porque este hueso te molesta mucho para partir.
[0:21:12.96]-[0:21:14.96]  Entonces aquí se les queda una bola.
[0:21:14.96]-[0:21:18.96]  Y ahí hay que meterles bien la vinagre y todo eso para que ahí no cague la mosca.
[0:21:18.96]-[0:21:19.96]  ¿Me entiendes?
[0:21:19.96]-[0:21:21.96]  Porque si te caga, entonces...
[0:21:21.96]-[0:21:23.96]  ¿Qué tengo aquí? ¿Qué tengo aquí?
[0:21:27.96]-[0:21:28.96]  ¿Seguís?
[0:21:30.96]-[0:21:31.96]  No sé dónde estaba el tema.
[0:21:31.96]-[0:21:32.96]  Ah, lo de la mosca.
[0:21:32.96]-[0:21:34.96]  Y entonces cuando eso tienes que...
[0:21:34.96]-[0:21:38.96]  Nosotros partimos el jamón por medio y entonces vimos que había tenido un nido.
[0:21:38.96]-[0:21:41.96]  Todavía no se había tendido por todas las partes.
[0:21:41.96]-[0:21:44.96]  Pues vamos a quitarle toda esta parte.
[0:21:44.96]-[0:21:49.96]  Lo partimos en cuatro y volvimos a untar los trozos con pimentón y de todo.
[0:21:49.96]-[0:21:51.96]  No probamos ningún orjaman.
[0:21:51.96]-[0:21:53.96]  Es que aquello ya te crea...
[0:21:53.96]-[0:21:56.96]  Solamente el haberlos visto, ¡wow!, te da un reparo.
[0:21:56.96]-[0:21:57.96]  Dices, eso ya no tiene que ver.
[0:21:57.96]-[0:21:59.96]  Si es en donde sitio que le ha cagado la mosca.
[0:21:59.96]-[0:22:02.96]  ¡Quita, quita, quita! Eso ya no, no, no.
[0:22:02.96]-[0:22:03.96]  Por este caso.
[0:22:03.96]-[0:22:05.96]  Y se quedaron los pedazos por ahí.
[0:22:05.96]-[0:22:09.96]  Y aquí si nosotros solemos vender vino, que bueno, solemos no vendemos vino.
[0:22:09.96]-[0:22:11.96]  Somos labradores y...
[0:22:14.96]-[0:22:17.96]  ¡Bájame el libro que tengo encima del cristal del teléfono de la sala!
[0:22:17.96]-[0:22:18.96]  ¡El negro!
[0:22:20.96]-[0:22:23.96]  Sí, y ya te digo, ya luego no probamos aquello.
[0:22:23.96]-[0:22:24.96]  Claro.
[0:22:24.96]-[0:22:25.96]  Aquello ya se quedó perdido.
[0:22:25.96]-[0:22:27.96]  Y lo demás del cerdo, los huesos.
[0:22:27.96]-[0:22:29.96]  Los huesos antes se metían en una muera.
[0:22:29.96]-[0:22:34.96]  Mira, se hacía en un caldero con agua, se hace con sal,
[0:22:34.96]-[0:22:37.96]  echas unos puños de sal y le das una vuelta.
[0:22:37.96]-[0:22:41.96]  El misterio de saber cuándo la muera está hecha es echando un huevo.
[0:22:41.96]-[0:22:46.96]  Echas un huevo al agua y si la muera está hecha el huevo flota arriba.
[0:22:46.96]-[0:22:48.96]  Sube a la superficie.
[0:22:48.96]-[0:22:51.96]  Pero si no está la muera hecha el huevo se queda en el fondo.
[0:22:51.96]-[0:22:54.96]  Puedes echar más sal hasta que tú veas que el huevo ha flotado arriba.
[0:22:54.96]-[0:22:57.96]  Dice que lo mismo da un huevo que una patata.
[0:22:57.96]-[0:22:59.96]  Yo la verdad es que siempre lo echo con un huevo.
[0:22:59.96]-[0:23:01.96]  ¿Y cuánto tiempo están los huevos?
[0:23:01.96]-[0:23:04.96]  Bueno, eso luego se gastan en cuatro días.
[0:23:04.96]-[0:23:07.96]  Porque los malos los echas a los perros o retiras.
[0:23:07.96]-[0:23:09.96]  Lo de la cabeza y todas esas cosas y los aprovechas.
[0:23:09.96]-[0:23:12.96]  Pero porque les quitas toda la carne primero, ¿no?
[0:23:12.96]-[0:23:17.96]  Y ya te digo, después pues con esas patatas hay que echarlas a mojo de víspera.
[0:23:17.96]-[0:23:20.96]  A ver, sin gafas estos chicos me lo van a decir.
[0:23:20.96]-[0:23:21.96]  No.
[0:23:21.96]-[0:23:24.96]  No, no, no.
[0:23:24.96]-[0:23:27.96]  ¿Y qué? ¿Por qué no me han dado cuenta?
[0:23:27.96]-[0:23:29.96]  Ahora mismo estos chicos me van a buscar.
[0:23:29.96]-[0:23:32.96]  Un teléfono que pone aquí.
[0:23:32.96]-[0:23:34.96]  Me parece que es aquí.
[0:23:34.96]-[0:23:36.96]  Pero aquí.
[0:23:38.96]-[0:23:40.96]  ¿Qué más?
[0:23:40.96]-[0:24:05.96]  ¿Y con las costillas y eso?
[0:24:05.96]-[0:24:08.96]  Las costillas se suelen poner de otra manera.
[0:24:08.96]-[0:24:11.96]  Las costillas se meten en la muera, hay que tenerla, pero poco tiempo.
[0:24:11.96]-[0:24:15.96]  Porque la costilla es muy delgada y entonces coge luego la sal.
[0:24:15.96]-[0:24:17.96]  Se meten en esa misma muera, se meten.
[0:24:17.96]-[0:24:20.96]  Y con los huesos mismos, pero en vez de tener como los huesos,
[0:24:20.96]-[0:24:23.96]  que los puedes gastar cuando tú quieras, pues hay que coger y sacar antes.
[0:24:23.96]-[0:24:27.96]  Entonces hacemos como con el jamón, con ajos y pimentón, colgar y que sea qué.
[0:24:27.96]-[0:24:30.96]  Y qué le va a decir, ¿y los lomos y eso?
[0:24:30.96]-[0:24:32.96]  Los lomos también se hacen así.
[0:24:32.96]-[0:24:36.96]  Los lomos también se meten en muera y se tienen 48 horas, la tira de lomo.
[0:24:36.96]-[0:24:42.96]  Se meten en una cazuela, se le echa ajos, laurel, un poco de tomillo para que cojan unos aromas un poco mejor.
[0:24:42.96]-[0:24:47.96]  Se tienen ahí 48 horas, un día, al día siguiente le das la vuelta y lo tienes para el día siguiente.
[0:24:47.96]-[0:24:49.96]  Luego se compra un intestino.
[0:24:51.96]-[0:24:53.96]  Mira por el libro arriba.
[0:24:57.96]-[0:24:59.96]  Mira.
[0:24:59.96]-[0:25:01.96]  ¿Qué pasa?
[0:25:05.96]-[0:25:08.96]  Sí, el otro día estuve hablando yo también con ellas.
[0:25:08.96]-[0:25:13.96]  Que parece que están contentas con lo de la niña, pero les hace ilusión también que la gente se preocupe.
[0:25:13.96]-[0:25:14.96]  Claro.
[0:25:14.96]-[0:25:15.96]  ¿Tú qué tal estás?
[0:25:15.96]-[0:25:16.96]  Bien.
[0:25:16.96]-[0:25:18.96]  ¿Qué estás aquí, Eliza?
[0:25:19.96]-[0:25:21.96]  Ay, ay, ay, ay, ay.
[0:25:22.96]-[0:25:23.96]  Sí.
[0:25:23.96]-[0:25:24.96]  ¿Qué tal?
[0:25:29.96]-[0:25:30.96]  Pues igual.
[0:25:30.96]-[0:25:31.96]  ¿Qué tal, chica?
[0:25:32.96]-[0:25:34.96]  Muy bien, bonita.
[0:25:34.96]-[0:25:35.96]  Es sobre tu nena.
[0:25:35.96]-[0:25:36.96]  Sí.
[0:25:36.96]-[0:25:39.96]  Estoy viendo de mi paciencia a ver a ser.
[0:25:39.96]-[0:25:42.96]  Sí, parece que me dijiste eso que la había desplazado.
[0:25:42.96]-[0:25:43.96]  Lo hice muy grande ahí.
[0:25:43.96]-[0:25:46.96]  Pero que estaba contenta, que estaban muy contentos.
[0:25:46.96]-[0:25:50.96]  Ah, y ponerle los termillos esos, que llegaba de lado.
[0:25:50.96]-[0:25:53.96]  Y me llamaron y ya...
[0:25:53.96]-[0:25:54.96]  Bien, Eliza, eh.
[0:25:54.96]-[0:25:55.96]  Sí, sí.
[0:25:55.96]-[0:25:59.96]  Ahora, que el hombre es medio carquín, ¿de él tiene todo allá?
[0:26:00.96]-[0:26:02.96]  Un amigo que viene a Catacombe le dijo,
[0:26:02.96]-[0:26:07.96]  sí, me envía a Catacombe, pues campeonatos y este artista.
[0:26:07.96]-[0:26:11.96]  Y que pues la gente sepa directamente que la panita que ha hecho, pues eso.
[0:26:11.96]-[0:26:13.96]  Y lo miras tú explicándolo.
[0:26:13.96]-[0:26:15.96]  Sí, la verdad es que sí.
[0:26:15.96]-[0:26:17.96]  Pues lo está explicando muy bien.
[0:26:17.96]-[0:26:19.96]  ¿Y se empezó a ver de joven?
[0:26:19.96]-[0:26:21.96]  Vale, hasta el momento.
[0:26:23.96]-[0:26:25.96]  Yo era la de la tuya.
[0:26:25.96]-[0:26:27.96]  Pensé que era la nuestra.
[0:26:27.96]-[0:26:29.96]  ¿Y con la manteca y otros que?
[0:26:29.96]-[0:26:31.96]  La manteca ya te he explicado lo que era.
[0:26:31.96]-[0:26:34.96]  La manteca es deshacer para conservar luego los chorizos.
[0:26:34.96]-[0:26:38.96]  Aparte de que el trigo se gasta para picar, para hacer las morcillas también.
[0:26:38.96]-[0:26:43.96]  Se pica manteca y lo restante se deshace en el fuego, que se hace líquida.
[0:26:43.96]-[0:26:48.96]  Se hace líquida, como luego al enfriar se pone así, pero lo demás queda como el aceite.
[0:26:48.96]-[0:26:54.96]  Los pedazos que aquí le llaman chortas, que es lo que queda de la manteca, eso se retira.
[0:26:54.96]-[0:26:56.96]  Nosotros lo echamos a los perros.
[0:26:56.96]-[0:26:59.96]  Pero hay gente que antes hacía tortas de pan con ellas.
[0:26:59.96]-[0:27:01.96]  ¿Y cómo era eso?
[0:27:01.96]-[0:27:03.96]  ¡Ay, Majo! ¿Qué cosas son esas?
[0:27:03.96]-[0:27:05.96]  Claro, muy interesante.
[0:27:05.96]-[0:27:07.96]  Luego me vas a tener que hacer hasta la comida, ¿eh?
[0:27:07.96]-[0:27:08.96]  Vale.
[0:27:08.96]-[0:27:15.96]  En las tortas de pan se coge harina, una masa, la masa del pan, pides al panadero, te trae,
[0:27:15.96]-[0:27:22.96]  luego con anís, azúcar y algún huevo si le quieres echar, mezclas esa masa, mezclas las chinchortas esas
[0:27:22.96]-[0:27:26.96]  y luego cocer en el horno. Y se hacían buenísimas.
[0:27:26.96]-[0:27:27.96]  Eso son las novedades.
[0:27:27.96]-[0:27:29.96]  Por eso estamos tan hermosas.
[0:27:29.96]-[0:27:32.96]  Bien sanas. ¿Y el tocino?
[0:27:32.96]-[0:27:36.96]  El tocino ahora si te digo la verdad no se aprovecha. Antes sí se aprovechaba, se hacían muchas cocinas.
[0:27:36.96]-[0:27:38.96]  Ahora lo metes en el congelador.
[0:27:38.96]-[0:27:44.96]  Yo hay gente en un alfón grande que la mayor parte, como me hacía sacar la morcilla, la mayor parte de las cosas conserva ahí.
[0:27:44.96]-[0:27:51.96]  Lo meto en unos pedazos, por si acaso un día alcachofas o lo que te apetece sacar o unas alubias, que también sabes riquísimo en unas alubias.
[0:27:51.96]-[0:27:53.96]  Y entonces lo meto ahí, ahí tengo.
[0:27:53.96]-[0:27:57.96]  Pero yo es que, ¿cuál es la diferencia entre el tocino y la manteca?
[0:27:57.96]-[0:28:00.96]  Pues sí, porque el tocino es distinto a la manteca.
[0:28:00.96]-[0:28:02.96]  El tocino se metía en sal.
[0:28:02.96]-[0:28:09.96]  Es lo que tiene pegado al riñón el cerdo, entre la costilla y eso tienen las dos manticas que es lo que cubren los riñones.
[0:28:09.96]-[0:28:11.96]  ¿Me entiendes?
[0:28:11.96]-[0:28:17.96]  Y es con eso, y luego el tocino es la capa exterior de afuera que es lo que yo te he dicho, que es como si tendría una manta.
[0:28:17.96]-[0:28:20.96]  Pues eso es. Tengo que recoger la leche, me está pitando la lechera también.
[0:28:20.96]-[0:28:22.96]  ¿Y qué le va a decir los...?
[0:28:22.96]-[0:28:26.96]  Ahora viene todo lo de Mondragón. Así que no sé cómo vamos a darle aquí.
[0:28:26.96]-[0:28:28.96]  Hola.
[0:28:28.96]-[0:28:30.96]  Aquí estoy con estos chicos.
[0:28:30.96]-[0:28:32.96]  Hola.
[0:28:32.96]-[0:28:34.96]  No me voy a juntar.
[0:28:34.96]-[0:28:38.96]  Seguro que les estaba grabando por televisión esta vez.
[0:28:38.96]-[0:28:40.96]  Sí.
[0:28:40.96]-[0:28:45.96]  A ver, ¿por qué aquí hay las manteca del cerdo? Dile a este los que hemos hecho aquí.
[0:28:45.96]-[0:28:47.96]  Estos son unos primos de Mondragón.
[0:28:47.96]-[0:28:50.96]  Y los que he hecho yo con puerro y cebolla, los que comentábamos.
[0:28:50.96]-[0:28:52.96]  Y a ver cómo se hacían aquí las morfilas.
[0:28:52.96]-[0:28:54.96]  Y le digo, pues así se hacían.
[0:28:54.96]-[0:28:56.96]  Con puerro y cebolla.
[0:28:56.96]-[0:28:58.96]  Pues voy a coger la leche.
[0:28:58.96]-[0:29:00.96]  Tiene...
[0:29:00.96]-[0:29:02.96]  Venden vino ustedes.
[0:29:02.96]-[0:29:04.96]  Sí.
[0:29:06.96]-[0:29:08.96]  Le dejo la leche.
[0:29:08.96]-[0:29:10.96]  Ah, ¿le dejo la leche?
[0:29:10.96]-[0:29:12.96]  Sí, sí.
[0:29:14.96]-[0:29:16.96]  ¿Tienen viñas?
[0:29:16.96]-[0:29:18.96]  Sí.
[0:29:18.96]-[0:29:20.96]  ¿Venden por botellas?
[0:29:20.96]-[0:29:22.96]  No, en cajas.
[0:29:24.96]-[0:29:27.96]  Ya te digo, para el cliente la rodea.
[0:29:27.96]-[0:29:29.96]  Porque andamos...
[0:29:29.96]-[0:29:31.96]  Justo, justo.
[0:29:32.96]-[0:29:34.96]  ¿Y para este?
[0:29:34.96]-[0:29:36.96]  Eh.
[0:29:39.96]-[0:29:41.96]  Ya te vale, ah.
[0:29:41.96]-[0:29:43.96]  Ya te vale, Martín.
[0:29:43.96]-[0:29:45.96]  No la encargo si no...
[0:29:45.96]-[0:29:47.96]  Vivo con nosotros.
[0:29:49.96]-[0:29:51.96]  ¿Compran leche de...?
[0:29:51.96]-[0:29:53.96]  Vente de banta.
[0:29:53.96]-[0:29:55.96]  Como antiguamente.
[0:29:55.96]-[0:29:57.96]  Ah, qué guay.
[0:29:57.96]-[0:29:59.96]  Esta sí que es de vaca.
[0:29:59.96]-[0:30:01.96]  Esta es pura de vaca.
[0:30:01.96]-[0:30:03.96]  Esta viene de San Asensio.
[0:30:03.96]-[0:30:07.96]  Esta hay que cocer ahora como antiguamente se hacía con la leche.
[0:30:07.96]-[0:30:11.96]  Esta se la pones ahora a cocer y hasta que sube como antiguamente.
[0:30:11.96]-[0:30:13.96]  Y hacía mucha nata, ¿no?
[0:30:13.96]-[0:30:15.96]  Sí, sí hace, es buena.
[0:30:15.96]-[0:30:17.96]  Esto depende, si tiene mucha agua tiene poca.
[0:30:17.96]-[0:30:19.96]  ¿Sabes que decían que a la leche se echaba agua?
[0:30:19.96]-[0:30:21.96]  Pues entonces si tiene agua, menos.
[0:30:21.96]-[0:30:23.96]  Entonces esta señora viene de San Asensio.
[0:30:23.96]-[0:30:25.96]  Hay una granja, vaya ellos tiene vacas.
[0:30:25.96]-[0:30:27.96]  Y reparte por los pueblos.
[0:30:27.96]-[0:30:29.96]  Ah, qué bien.
[0:30:29.96]-[0:30:31.96]  ¿Ves?
[0:30:31.96]-[0:30:33.96]  Y tantos.
