[0:00:00.00]-[0:00:02.00]  ¿Fue mucha gente o...?
[0:15:26.00]-[0:15:27.00]  También lo hay así.
[0:15:27.00]-[0:15:28.00]  ¿Cuál es?
[0:15:28.00]-[0:15:30.00]  Hay varios dulces.
[0:15:30.00]-[0:15:35.00]  La madalena y todas esas cosas se hacen en las panaderías.
[0:15:35.00]-[0:15:37.00]  ¿Comían usted muchos dulces?
[0:15:37.00]-[0:15:40.00]  Ay, yo no comía mucho, mucho los dulces.
[0:15:40.00]-[0:15:42.00]  ¿El caldo mejor?
[0:15:42.00]-[0:15:43.00]  ¿Eh?
[0:15:43.00]-[0:15:44.00]  ¿El caldo mejor?
[0:15:44.00]-[0:15:45.00]  El caldo mejor.
[0:15:45.00]-[0:15:47.00]  El dulce es una golosina.
[0:15:47.00]-[0:15:49.00]  Es una golosina.
[0:15:49.00]-[0:15:51.00]  La persona que tiene azúcar no se lo puede comer.
[0:15:51.00]-[0:15:52.00]  No.
[0:15:52.00]-[0:15:53.00]  No.
[0:15:53.00]-[0:15:56.00]  Y mucha gente no se lo come por no engordar.
[0:15:56.00]-[0:15:59.00]  Aunque yo estoy gola más que de caldo de papas.
[0:16:03.00]-[0:16:05.00]  ¿Y así?
[0:16:05.00]-[0:16:07.00]  Las comidas así.
[0:16:07.00]-[0:16:10.00]  ¿Cómo se compraban los alimentos antes?
[0:16:10.00]-[0:16:12.00]  ¿Había un puto mercado?
[0:16:12.00]-[0:16:14.00]  Había quien ditas chica.
[0:16:14.00]-[0:16:19.00]  Ah, mira, había una señora que el azúcar,
[0:16:19.00]-[0:16:21.00]  ¿saben lo que es el extrapezlo, no?
[0:16:21.00]-[0:16:22.00]  Sí, bueno.
[0:16:22.00]-[0:16:27.00]  Había una señora que en el pueblo venía con una cestita aquí debajo
[0:16:27.00]-[0:16:31.00]  y la azúcar la traía empatelada en un sobrito chiquitito.
[0:16:31.00]-[0:16:33.00]  Y tantas cosas.
[0:16:33.00]-[0:16:36.00]  Y era extrapezlo y no era.
[0:16:36.00]-[0:16:39.00]  Era una necesidad de comprarla porque no había.
[0:16:39.00]-[0:16:42.00]  Porque el café nosotros lo comíamos, lo tomábamos
[0:16:42.00]-[0:16:45.00]  con un trozo de caramelo en la boca.
[0:16:45.00]-[0:16:48.00]  El café amargo, un trocito de caramelo y todo eso.
[0:16:48.00]-[0:16:50.00]  Se lo iba a endulzar.
[0:16:50.00]-[0:16:51.00]  Y así es lo que había.
[0:16:51.00]-[0:16:53.00]  Y esa señora venía a vender esas cosas.
[0:16:53.00]-[0:16:56.00]  Y fruta y todas esas cosas venía ahí a vender.
[0:16:56.00]-[0:16:57.00]  Una cestita.
[0:16:57.00]-[0:17:00.00]  Poquita cosa, pero porque habíamos poca gente.
[0:17:00.00]-[0:17:07.00]  Y la leche, ¿se tomaba más la leche de vaca?
[0:17:07.00]-[0:17:08.00]  Y de cabra.
[0:17:08.00]-[0:17:11.00]  Yo tenía cabra y compraba leche de vaca.
[0:17:11.00]-[0:17:13.00]  ¿Cuál le gustaba más?
[0:17:13.00]-[0:17:15.00]  Las dos leyes son buenas.
[0:17:15.00]-[0:17:18.00]  La de vaca es más lidianita.
[0:17:18.00]-[0:17:20.00]  La otra es más pesada.
[0:17:20.00]-[0:17:22.00]  Que es la que se hace el queso.
[0:17:22.00]-[0:17:24.00]  Las mezclas se hacen de queso.
[0:17:24.00]-[0:17:25.00]  ¿Y la cuajada también?
[0:17:25.00]-[0:17:27.00]  Ah, perdí, la de cuajada.
[0:17:27.00]-[0:17:29.00]  ¿Usted hacía queso?
[0:17:29.00]-[0:17:31.00]  La leche es pesada, ¿dices tú?
[0:17:31.00]-[0:17:32.00]  ¿Cómo?
[0:17:32.00]-[0:17:33.00]  Con leche de cuajada para hacer queso.
[0:17:33.00]-[0:17:34.00]  Sí.
[0:17:34.00]-[0:17:35.00]  Ah, eso es otra cosa.
[0:17:35.00]-[0:17:40.00]  La leche de cuajada es para comértela tú.
[0:17:40.00]-[0:17:43.00]  De un día para otro tú coges la leche de vaca y la pones aparte.
[0:17:43.00]-[0:17:46.00]  No la mueves, se espesa la leche y te la comes.
[0:17:46.00]-[0:17:48.00]  Hay que le eches azúcar.
[0:17:48.00]-[0:17:50.00]  Se le come con gozo.
[0:17:50.00]-[0:17:51.00]  Por arriba.
[0:17:51.00]-[0:17:54.00]  ¿Y usted la lava de otra la cuajada?
[0:17:54.00]-[0:17:56.00]  No, eso no se le llama.
[0:17:56.00]-[0:17:57.00]  Para tú comértela.
[0:17:57.00]-[0:17:58.00]  Así.
[0:17:58.00]-[0:17:59.00]  No se le llama nada.
[0:17:59.00]-[0:18:02.00]  Ahora, hasta que se le llama cuajada, era para hacer queso.
[0:18:02.00]-[0:18:03.00]  Ah, madre.
[0:18:03.00]-[0:18:07.00]  ¿Y tenían cabras?
[0:18:07.00]-[0:18:09.00]  Yo tenía cabras también.
[0:18:09.00]-[0:18:13.00]  Porque yo plantaba tomateros y tenía cabras cuando yo tenía tomateros.
[0:18:13.00]-[0:18:15.00]  Ahora no.
[0:18:15.00]-[0:18:17.00]  Ahora no, ya llegamos a la vegeta, ¿ven?
[0:18:17.00]-[0:18:18.00]  Ya está.
[0:18:18.00]-[0:18:19.00]  Ya soy vieja.
[0:18:19.00]-[0:18:22.00]  Me encontré en el centámetro y soy vieja.
[0:18:22.00]-[0:18:27.00]  Ya cumplí ahora mismo los 84.
[0:18:27.00]-[0:18:30.00]  Así vieja.
[0:18:30.00]-[0:18:33.00]  ¿Y hacían con la lana?
[0:18:33.00]-[0:18:34.00]  No, no, yo no.
[0:18:34.00]-[0:18:36.00]  En el campo sí.
[0:18:36.00]-[0:18:39.00]  En el campo sí porque hay pelares para hacerla.
[0:18:39.00]-[0:18:41.00]  Hacen de todo.
[0:18:41.00]-[0:18:43.00]  Hacen mantas para las canas.
[0:18:43.00]-[0:18:47.00]  Chaquetas que se ve en esto de...
[0:18:47.00]-[0:18:48.00]  en florcori.
[0:18:48.00]-[0:18:51.00]  ¿Esta cosa cómo se llama?
[0:18:51.00]-[0:18:52.00]  Las rondallas.
[0:18:52.00]-[0:18:55.00]  Se ve las chaquetas, ¿no las han visto ustedes?
[0:18:55.00]-[0:18:58.00]  Sí, chaquetas y pantalones de lana.
[0:18:58.00]-[0:19:00.00]  ¿Y cómo ha dicho que se llama?
[0:19:00.00]-[0:19:01.00]  Rondalla.
[0:19:01.00]-[0:19:02.00]  ¿Eh?
[0:19:02.00]-[0:19:03.00]  Rondalla, ¿dice?
[0:19:03.00]-[0:19:04.00]  El rondalla es eso, sí.
[0:19:04.00]-[0:19:10.00]  La rondalla se viene así.
[0:19:10.00]-[0:19:12.00]  Todo eso hay.
[0:19:12.00]-[0:19:15.00]  Y cuéntenos antes la enseñanza cómo era.
[0:19:15.00]-[0:19:17.00]  Usted fue a la escuela y cómo era aquello.
[0:19:17.00]-[0:19:21.00]  Ay, qué mala era yo.
[0:19:21.00]-[0:19:27.00]  Mira, yo fui grande a la escuela y entonces había unas niñas,
[0:19:27.00]-[0:19:29.00]  porque yo era muy disintiata,
[0:19:29.00]-[0:19:31.00]  y había unas niñas que me decían,
[0:19:31.00]-[0:19:35.00]  esa vieja al tambor, la vieja al tambor era la mala.
[0:19:35.00]-[0:19:36.00]  Y yo les decía,
[0:19:36.00]-[0:19:38.00]  ¿usted parece una vieja al tambor?
[0:19:38.00]-[0:19:41.00]  Y ella venía corriendo y me mandaba con un ruido de papel,
[0:19:41.00]-[0:19:43.00]  me dejaba todo esto salpullado aquí en la frente.
[0:19:43.00]-[0:19:45.00]  No aprendí por eso.
[0:19:45.00]-[0:19:47.00]  Porque yo era muy disintiata y era mala
[0:19:47.00]-[0:19:49.00]  porque les decía a la vieja al tambor,
[0:19:49.00]-[0:19:51.00]  a la vieja aprendía y yo no, ¿me entiendes?
[0:19:51.00]-[0:19:52.00]  Y no sé nada.
[0:19:52.00]-[0:19:54.00]  Yo no sé leer ni escribir, nada.
[0:19:54.00]-[0:19:58.00]  Aquí hubo un colegio que lo queríamos nosotros
[0:19:58.00]-[0:20:02.00]  porque en cada momento venía chica que se casaba,
[0:20:02.00]-[0:20:06.00]  después se quedaban embarazadas y ya no había clase,
[0:20:06.00]-[0:20:07.00]  pues se ponían malas.
[0:20:07.00]-[0:20:10.00]  Entonces, todas las madres nos pusimos de acuerdo
[0:20:10.00]-[0:20:13.00]  y lo pusimos arriba, y arriba ese colegio.
[0:20:13.00]-[0:20:15.00]  Y bueno, ¿sabes?
[0:20:15.00]-[0:20:17.00]  Pa' allá arriba.
[0:20:17.00]-[0:20:21.00]  Así que ¿cuántos años ha estudiado usted?
[0:20:21.00]-[0:20:24.00]  Yo salí luego del colegio.
[0:20:24.00]-[0:20:27.00]  Yo no aprendí por eso.
[0:20:27.00]-[0:20:31.00]  Y después fui grande y tampoco porque después tenía una hija
[0:20:31.00]-[0:20:34.00]  que era muy disintiata, no gustaba asignar peligro.
[0:20:34.00]-[0:20:41.00]  Y a la playa, y a la playa, cogían un eso de chinchorro,
[0:20:41.00]-[0:20:44.00]  una malla, y se iba a los chacquí,
[0:20:44.00]-[0:20:48.00]  y yo iba a coger lisote y a mí me daba miedo que se me ahogara.
[0:20:48.00]-[0:20:51.00]  Y en la frente de la iglesia había una casa
[0:20:51.00]-[0:20:53.00]  que nos daba clase nosotros a los mayores.
[0:20:53.00]-[0:20:55.00]  Y yo iba, yo quería aprender.
[0:20:55.00]-[0:20:59.00]  Y yo le decía, no, señorita, mi niña tiene que estar en peligro.
[0:20:59.00]-[0:21:00.00]  Mi niña se me escapa.
[0:21:00.00]-[0:21:02.00]  Que no, no la dejaste con tu hermana,
[0:21:02.00]-[0:21:03.00]  no la dejaste con tu padre.
[0:21:03.00]-[0:21:04.00]  No, señorita.
[0:21:04.00]-[0:21:06.00]  Me asomaba yo y la vi a los chacquí
[0:21:06.00]-[0:21:08.00]  y ya me salía por atrás yo caminando.
[0:21:08.00]-[0:21:10.00]  Y no aprendí por eso.
[0:21:10.00]-[0:21:13.00]  Porque yo siempre sentía el peligro de mi niña se me ahogar.
[0:21:13.00]-[0:21:14.00]  Era muy difícil.
[0:21:14.00]-[0:21:16.00]  Yo llegué a amarrar a mi niña por aquí,
[0:21:16.00]-[0:21:18.00]  que tenía unas columnas de madera,
[0:21:18.00]-[0:21:20.00]  para que no se me escapara el gallo.
[0:21:22.00]-[0:21:24.00]  Ella salió a mí para que le decís, bien.
[0:21:29.00]-[0:21:31.00]  ¿Y notan muchos cambios en la educación
[0:21:31.00]-[0:21:33.00]  como era antes y como es ahora?
[0:21:33.00]-[0:21:35.00]  No, ahora es mejor.
[0:21:35.00]-[0:21:40.00]  Ahora enseguida los niños caminan estudiando enseguida.
[0:21:40.00]-[0:21:43.00]  Es que bueno, es que son como yo, ¿no?
[0:21:43.00]-[0:21:46.00]  Pero el que se mete en eso, empiecen a estudiar.
[0:21:46.00]-[0:21:52.00]  Yo tengo una nieta que tiene 20 años, 21,
[0:21:52.00]-[0:21:56.00]  que ya ella lleva tres años estudiando para medicina.
[0:21:57.00]-[0:22:00.00]  Lo que no hice yo, este niño está estudiando.
[0:22:00.00]-[0:22:01.00]  Esta niña es maestra.
[0:22:01.00]-[0:22:05.00]  Lo que no he hecho es la carrera porque no la han llamado.
[0:22:07.00]-[0:22:09.00]  Antes aprendí a leer y a escribir.
[0:22:09.00]-[0:22:13.00]  Se llamaba la infancia, un libro que se llamaba la infancia.
[0:22:13.00]-[0:22:16.00]  Que el alcalde que teníamos en Aguarete,
[0:22:16.00]-[0:22:19.00]  nos cogimos dos libretas y ese libro.
[0:22:20.00]-[0:22:22.00]  Y se hizo alcalde y estudió.
[0:22:23.00]-[0:22:28.00]  Y hoy en día, no sé si es abogado, si qué.
[0:22:30.00]-[0:22:32.00]  Hoy en día es tan viejo como yo.
[0:22:32.00]-[0:22:37.00]  Porque es así, si Dios es.
[0:22:37.00]-[0:22:39.00]  Es de todo, hay de todo.
[0:22:40.00]-[0:22:44.00]  ¿Y la medicina? ¿Cómo era antes? ¿Cómo era el médico?
[0:22:45.00]-[0:22:47.00]  Los médicos eran buenos también.
[0:22:47.00]-[0:22:51.00]  Si bien pasa eso, que ahora como hay más enfermedades,
[0:22:52.00]-[0:22:55.00]  porque el mismo canse mismo es raro.
[0:22:55.00]-[0:22:57.00]  La persona que lo oía no se oía.
[0:22:57.00]-[0:23:00.00]  Y ahora usted sube.
[0:23:00.00]-[0:23:04.00]  Y ahora usted es un canse.
[0:23:06.00]-[0:23:07.00]  Porque es así.
[0:23:07.00]-[0:23:11.00]  Y antes si había medicina, pero había muchas cosas caseras.
[0:23:11.00]-[0:23:15.00]  Había muchas cosas caseras con agüitas y eso seguramente también.
[0:23:15.00]-[0:23:17.00]  ¿Ah, si había remedios caseros?
[0:23:17.00]-[0:23:20.00]  Cuéntanos, ¿qué se hacía con ellos?
[0:23:20.00]-[0:23:22.00]  El remedio es la manzanilla.
[0:23:22.00]-[0:23:24.00]  No sé si la oyeron nombrar.
[0:23:24.00]-[0:23:28.00]  La manzanilla, con dolor de barriga, todas esas cosas.
[0:23:28.00]-[0:23:34.00]  El tomillo con la miel, hacemos un jarabe para todos, todas esas cosas.
[0:23:35.00]-[0:23:38.00]  ¿Y había otras plantas aquí que cultivaban?
[0:23:38.00]-[0:23:43.00]  Sí, había localitos, para cuando usted está resfriada,
[0:23:43.00]-[0:23:49.00]  ponerle un jardero de agua hirviendo delante y coger una toalla así y coger el vapor.
[0:23:50.00]-[0:23:54.00]  Entonces bueno, lo que pasa es que hoy como hay medicina, nadie hace nada.
[0:23:54.00]-[0:23:57.00]  Nadie hace nada.
[0:23:58.00]-[0:24:01.00]  ¿Y usted misma hacía los remedios caseros?
[0:24:01.00]-[0:24:03.00]  Sí, a mis nietas y a mis hijas.
[0:24:04.00]-[0:24:06.00]  Con el tomillo.
[0:24:07.00]-[0:24:09.00]  El tomillo y miel.
[0:24:09.00]-[0:24:13.00]  Al fuego, un poquito de agua y después se hace.
[0:24:14.00]-[0:24:15.00]  Hay de todo.
[0:24:16.00]-[0:24:20.00]  Que dicen que las medicinas son de las plantas, ¿no?
[0:24:20.00]-[0:24:22.00]  Pero algo más le ponen.
[0:24:23.00]-[0:24:25.00]  Algo más le ponen porque es así.
[0:24:26.00]-[0:24:31.00]  ¿Y si usted se acuerda de alguna enfermedad grave así?
[0:24:32.00]-[0:24:36.00]  De haber estado mal o de no sé, de la en el pueblo que...
[0:24:36.00]-[0:24:38.00]  ¿De la gripe o algo?
[0:24:38.00]-[0:24:39.00]  Ah, gripe, ahora está tan mala.
[0:24:39.00]-[0:24:42.00]  Yo he estado tres veces mal con diarrea y bómmi.
[0:24:42.00]-[0:24:44.00]  Y casi me muero y no estaba a punto.
[0:24:45.00]-[0:24:47.00]  Porque yo me vi muy malita, muy malita.
[0:24:47.00]-[0:24:48.00]  ¡Uff!
[0:24:48.00]-[0:24:49.00]  Malita.
[0:24:50.00]-[0:24:51.00]  Pero basta eso.
[0:24:51.00]-[0:24:53.00]  Que no se le apuntaba a mí.
[0:24:54.00]-[0:24:57.00]  ¿Y antes cómo se llamaba al médico?
[0:24:57.00]-[0:25:00.00]  Bueno, había médicos que se iba caminando al pueblo
[0:25:00.00]-[0:25:03.00]  porque no había coche y todas esas cosas del barrio.
[0:25:05.00]-[0:25:07.00]  Se iba caminando al pueblo.
[0:25:08.00]-[0:25:11.00]  ¿Había unas campanas, algo para...?
[0:25:11.00]-[0:25:13.00]  No, no, no. Se tocaba la puerta.
[0:25:13.00]-[0:25:16.00]  Lo que había que ir temprano, como había...
[0:25:16.00]-[0:25:18.00]  Se juntaba la gente.
[0:25:18.00]-[0:25:22.00]  Pues si te tocaba el día de la mañana el médico
[0:25:22.00]-[0:25:24.00]  había que ir a las cinco y coger la vez.
[0:25:25.00]-[0:25:27.00]  Porque ya tenía mucha gente delante.
[0:25:29.00]-[0:25:31.00]  Yo la llegué a hacer con mis hijos.
[0:25:32.00]-[0:25:33.00]  Con los más viejos.
[0:25:36.00]-[0:25:38.00]  ¿Cuántos hijos tiene usted?
[0:25:38.00]-[0:25:39.00]  Tengo.
[0:25:39.00]-[0:25:42.00]  Seis. Con un varón y cinco hembras.
[0:25:44.00]-[0:25:45.00]  Yo he trabajado mucho.
[0:25:47.00]-[0:25:50.00]  ¿Y para los partos venía la madrona?
[0:25:50.00]-[0:25:53.00]  Solamente tuve una en la clínica.
[0:25:53.00]-[0:25:55.00]  De la última.
[0:25:56.00]-[0:26:00.00]  Porque antes no se hacía análisis, como hoy.
[0:26:00.00]-[0:26:04.00]  Y entonces a mí me mandaron hacer un análisis
[0:26:04.00]-[0:26:07.00]  y me dijeron que no tenía la enfermedad.
[0:26:07.00]-[0:26:09.00]  A mí me mandaron hacer un análisis
[0:26:09.00]-[0:26:11.00]  y me dicen que yo...
[0:26:12.00]-[0:26:13.00]  Por la edad.
[0:26:13.00]-[0:26:15.00]  Porque yo tuve a mi hija de 44 años.
[0:26:17.00]-[0:26:20.00]  Y me dicen que tenía que hacer un análisis
[0:26:20.00]-[0:26:22.00]  por saber la sangre que tenía.
[0:26:22.00]-[0:26:23.00]  Que nunca lo sabía.
[0:26:23.00]-[0:26:25.00]  Y yo tengo la negativa.
[0:26:26.00]-[0:26:28.00]  Y entonces cuando me llevaron allá
[0:26:28.00]-[0:26:31.00]  fui a guía y dicen, no, en guía no lo puedes tener.
[0:26:31.00]-[0:26:34.00]  Porque si le falta 100 gramos de sangre a la niña o a ti
[0:26:34.00]-[0:26:36.00]  no llegas a tiempo a la espalda.
[0:26:36.00]-[0:26:38.00]  Pues entonces la tuve en Santa Catalina.
[0:26:38.00]-[0:26:39.00]  A la niña.
[0:26:39.00]-[0:26:41.00]  Y la tuve bienísima.
[0:26:41.00]-[0:26:42.00]  Lo único que hicieron
[0:26:43.00]-[0:26:44.00]  con la edad
[0:26:44.00]-[0:26:47.00]  me dieron una pastilla y me quitaron la leche.
[0:26:48.00]-[0:26:51.00]  Que yo quería dos sobrinas y dos hijos
[0:26:51.00]-[0:26:53.00]  dándole el pecho, porque yo tenía mucha leche.
[0:26:54.00]-[0:26:55.00]  Y me la quitaron por eso.
[0:26:55.00]-[0:26:59.00]  Porque dicen que a la edad niña que no le diera la leche a la niña.
[0:27:00.00]-[0:27:01.00]  Y no se la di.
[0:27:02.00]-[0:27:03.00]  Una tontería.
[0:27:03.00]-[0:27:06.00]  Porque era peligroso para usted o para ella.
[0:27:06.00]-[0:27:07.00]  No sé.
[0:27:07.00]-[0:27:08.00]  Todavía no sé.
[0:27:08.00]-[0:27:10.00]  Y me lo dijeron después que me la dieron.
[0:27:10.00]-[0:27:11.00]  Porque si no, no me la tomo.
[0:27:14.00]-[0:27:16.00]  No me la tomo porque después yo quería a mi niña.
[0:27:16.00]-[0:27:20.00]  Gracias que me daban papilla y todas esas cosas.
[0:27:20.00]-[0:27:21.00]  Porque no había.
[0:27:21.00]-[0:27:23.00]  Una señora que vivía aquí me la daba.
[0:27:23.00]-[0:27:26.00]  Iba aquí a traérmela del centro de guía.
[0:27:26.00]-[0:27:29.00]  Y mi hermana también del centro de la espalda.
[0:27:29.00]-[0:27:33.00]  Me la traía y le da leche.
[0:27:34.00]-[0:27:38.00]  Mi hija tiene 38 años, tiene dos niñas.
[0:27:39.00]-[0:27:41.00]  Se la son y tiene dos niñas.
[0:27:42.00]-[0:27:44.00]  Pero yo a mi hija la crié saludable.
[0:27:44.00]-[0:27:46.00]  Todos mis hijos son saludables.
[0:27:46.00]-[0:27:48.00]  Y todos los demás los tuve en casa.
[0:27:48.00]-[0:27:51.00]  Sí, cuéntanos cómo era tenerlos en casa.
[0:27:52.00]-[0:27:54.00]  Con el practicante del pueblo.
[0:27:54.00]-[0:27:55.00]  Era partero.
[0:27:55.00]-[0:27:58.00]  Y lo llamaba y venía.
[0:27:59.00]-[0:28:05.00]  Pero yo tuve aparte de eso, tuve un aborto de una y otro de dos.
[0:28:05.00]-[0:28:06.00]  Dos niños.
[0:28:06.00]-[0:28:08.00]  Perdí dos niños y una niña.
[0:28:09.00]-[0:28:10.00]  Ya tenía nueve.
[0:28:12.00]-[0:28:14.00]  Más me ha pasado.
[0:28:17.00]-[0:28:19.00]  Cuéntanos un poco de su familia.
[0:28:19.00]-[0:28:21.00]  Antes nos ha dicho que su padre era pescador.
[0:28:21.00]-[0:28:22.00]  Sí.
[0:28:22.00]-[0:28:23.00]  ¿Y cómo era su vida?
[0:28:23.00]-[0:28:25.00]  ¿Qué recuerda de la vida de sus padres?
[0:28:25.00]-[0:28:27.00]  Mi padre era un hombre muy tranquilo.
[0:28:27.00]-[0:28:29.00]  El más y alguien con nosotros.
[0:28:30.00]-[0:28:32.00]  Y mi madre también era tranquila.
[0:28:34.00]-[0:28:35.00]  El trabajo que tenía ellos era en eso.
[0:28:35.00]-[0:28:37.00]  El coger el pescado y ella lo vendía.
[0:28:43.00]-[0:28:45.00]  ¿Usted ayudaba a su padre a la pesca?
[0:28:45.00]-[0:28:46.00]  ¿Cómo?
[0:28:46.00]-[0:28:48.00]  Si ayudaba a su padre...
[0:28:48.00]-[0:28:50.00]  No, mis hijas sí fueron todas a pescar con mi marido.
[0:28:50.00]-[0:28:52.00]  Pero yo con mi padre no.
[0:28:52.00]-[0:28:54.00]  Mi padre iba a coger calamares.
[0:28:55.00]-[0:28:57.00]  Y entonces cuando venía para tierra me decía...
[0:28:57.00]-[0:28:59.00] ...barcate a la chalana.
[0:29:01.00]-[0:29:03.00]  Y yo me embarcaba.
[0:29:03.00]-[0:29:05.00]  El saltaba a comer.
[0:29:05.00]-[0:29:07.00]  Y después cogía la chalana y se iba a pescar.
[0:29:08.00]-[0:29:10.00]  Mientras tenía yo la chalana en el agua.
[0:29:11.00]-[0:29:12.00]  ¿Sabes?
[0:29:12.00]-[0:29:14.00]  Y eso era algo aviante.
[0:29:14.00]-[0:29:16.00]  Pero mis hijas sí fueron a pescar todas con mi marido.
[0:29:17.00]-[0:29:18.00]  Han ido todas.
[0:29:18.00]-[0:29:20.00]  Y había temores de...
[0:29:21.00]-[0:29:23.00] ...algun pescado o algo...
[0:29:23.00]-[0:29:24.00]  No.
[0:29:24.00]-[0:29:26.00]  Supersticiones o...
[0:29:26.00]-[0:29:27.00]  No.
[0:29:27.00]-[0:29:29.00]  Haberías pero yo no me enteraba.
[0:29:31.00]-[0:29:33.00]  ¿Y en el pueblo había temores de...
[0:29:34.00]-[0:29:36.00]  Leyendas o...
[0:29:37.00]-[0:29:38.00]  Pues no te sé decir.
[0:29:38.00]-[0:29:39.00]  Eso no te sé decir.
[0:29:40.00]-[0:29:43.00]  ¿Y no conoce usted alguna historia de su infancia que le contasen?
[0:29:44.00]-[0:29:45.00]  De lo que fuera.
[0:29:45.00]-[0:29:46.00]  No.
[0:29:46.00]-[0:29:48.00]  De lo que fuera...
[0:29:49.00]-[0:29:51.00]  Un temor, una superstición o algo.
[0:29:52.00]-[0:29:55.00]  Por ejemplo se temía, no sé, que las abejas picaran...
[0:29:56.00]-[0:29:58.00]  Eso sí lo sabíamos nosotros que picaba.
[0:30:00.00]-[0:30:01.00]  No se podía ver uno...
[0:30:01.00]-[0:30:02.00]  Y ahora ahí...
[0:30:02.00]-[0:30:03.00]  Y si te ve te pica.
[0:30:03.00]-[0:30:04.00]  Doría, ¿no?
[0:30:04.00]-[0:30:05.00]  Si te pone así.
[0:30:06.00]-[0:30:07.00]  ¿Y qué se ponía encima?
[0:30:07.00]-[0:30:09.00]  Mucha gente se urinaba las manos.
[0:30:10.00]-[0:30:11.00]  Porque la...
[0:30:12.00]-[0:30:15.00]  La calor de los orines mataba el...
[0:30:15.00]-[0:30:16.00]  Lo que es.
[0:30:16.00]-[0:30:18.00]  Pero mucha gente tiene que ir al médico.
[0:30:19.00]-[0:30:20.00]  ¿Sabe?
[0:30:20.00]-[0:30:22.00]  Porque le meten el rejo.
[0:30:23.00]-[0:30:24.00]  Y duele mucho.
[0:30:26.00]-[0:30:29.00]  ¿No entendiste cómo se llamaba el cosito que pone la abeja...?
[0:30:29.00]-[0:30:30.00]  ¿Se ha dicho mete él?
[0:30:31.00]-[0:30:32.00]  Un rejo que se mete él.
[0:30:32.00]-[0:30:33.00]  Un rejo.
[0:30:34.00]-[0:30:35.00]  El rejo de la abeja.
[0:30:35.00]-[0:30:36.00]  ¿El veneno?
[0:30:36.00]-[0:30:37.00]  Sí.
[0:30:37.00]-[0:30:39.00]  Es un veneno que te mete.
[0:30:40.00]-[0:30:41.00]  Lo que hace que se hinche, ¿no?
[0:30:41.00]-[0:30:42.00]  Sí, se hincha.
[0:30:42.00]-[0:30:44.00]  ¿Y cómo se llama la cosita que pone...?
[0:30:44.00]-[0:30:45.00]  No he entendido.
[0:30:45.00]-[0:30:46.00]  Perdón, no me he enterado.
[0:30:46.00]-[0:30:47.00]  El veneno.
[0:30:47.00]-[0:30:48.00]  Te pica.
[0:30:48.00]-[0:30:49.00]  Pero que pone algo dentro, ¿no?
[0:30:49.00]-[0:30:50.00]  Eso es el veneno.
[0:30:50.00]-[0:30:53.00]  Te mete el rejo y te lo echa.
[0:30:54.00]-[0:30:55.00]  ¿Y con lo que pincha?
[0:30:55.00]-[0:30:56.00]  Con lo que te pincha, sí.
[0:30:56.00]-[0:30:58.00]  ¿Y a usted le pasó...?
[0:30:58.00]-[0:30:59.00]  No, no, no.
[0:31:00.00]-[0:31:01.00]  Pero la he visto.
[0:31:01.00]-[0:31:02.00]  La he visto yo.
[0:31:03.00]-[0:31:04.00]  La he visto.
[0:31:07.00]-[0:31:10.00]  ¿Y recuerda alguna historia de algún familiar al que le ha pasado algo?
[0:31:10.00]-[0:31:15.00]  ¿Recuerda alguna historia de algún familiar al que le picase las abejas o alguna enfermedad o algo así?
[0:31:15.00]-[0:31:16.00]  No.
[0:31:16.00]-[0:31:17.00]  No.
[0:31:22.00]-[0:31:26.00]  Y luego, en cuanto a la educación de sus hijos, ¿qué cambios han notado?
[0:31:27.00]-[0:31:29.00]  Mis hijos saben, todos leen.
[0:31:29.00]-[0:31:30.00]  La que no sé si yo.
[0:31:30.00]-[0:31:34.00]  Yo llegué a mandar a mis hijos con fiebre al colegio
[0:31:34.00]-[0:31:38.00]  para que no dejaran de saber leer y escribir como yo no sé.
[0:31:38.00]-[0:31:40.00]  Eso es lo que yo hacía.
[0:31:42.00]-[0:31:44.00]  Le daba un trocito de espirina y lo mandaba al colegio
[0:31:45.00]-[0:31:47.00]  para que no perdieran.
[0:31:47.00]-[0:31:49.00]  Y ellos saben todo.
[0:31:54.00]-[0:31:58.00]  ¿Y nota algún cambio en la forma de educar a los hijos de antes y ahora?
[0:31:58.00]-[0:32:01.00]  Bueno, eso va también en los padres, niños, ¿no?
[0:32:01.00]-[0:32:03.00]  Son los profesores solos.
[0:32:04.00]-[0:32:06.00]  Porque hay de todo.
[0:32:06.00]-[0:32:07.00]  Hay de todo.
[0:32:08.00]-[0:32:14.00]  Porque si la niña es buena y el profesor no le hace ni caso,
[0:32:15.00]-[0:32:19.00]  pues estamos cambiados o es al revés.
[0:32:20.00]-[0:32:21.00]  Hay de todo.
[0:32:21.00]-[0:32:23.00]  ¿Antes también el cura?
[0:32:23.00]-[0:32:25.00]  No, los curas ayudaban mucho.
[0:32:25.00]-[0:32:26.00]  Sí, ¿eh?
[0:32:26.00]-[0:32:27.00]  Sí.
[0:32:27.00]-[0:32:31.00]  Aquí se murió un cura que se llamaba don Manuel Juan.
[0:32:32.00]-[0:32:33.00]  Hacemos los años.
[0:32:33.00]-[0:32:36.00]  Hacemos los años que como aquí debajo,
[0:32:37.00]-[0:32:39.00]  hasta la anita venía a decir la doctrina
