[0:00:00.00]-[0:00:02.00]  Claro, para bailarla, sí.
[0:17:29.00]-[0:17:32.00]  Teníamos que vendernos para poder comprar una coquicina de aceite y si queríamos comprar...
[0:17:32.00]-[0:17:36.00]  Bueno, Griniel, es verdad que era... porque éramos muy pobres.
[0:17:36.00]-[0:17:37.00]  Éramos pobres, no.
[0:17:37.00]-[0:17:39.00]  Pero no que fuéramos pobres, todos vivíamos así.
[0:17:39.00]-[0:17:40.00]  Es que vivíamos así.
[0:17:40.00]-[0:17:45.00]  Pero cuando ahora dicen que hacen trabajar los niños por el sitio de adelante,
[0:17:45.00]-[0:17:46.00]  donde hay...
[0:17:46.00]-[0:17:49.00]  Si los iban a trabajar, estaban mejor trabajando que lo haciendo...
[0:17:49.00]-[0:17:50.00]  No, no, pero eso es muy cierto.
[0:17:50.00]-[0:17:53.00]  Drogándose y haciendo el huevo como lo están haciendo ahora.
[0:17:53.00]-[0:17:55.00]  Y son días antes, yo nos dejaba... de 6 años,
[0:17:55.00]-[0:17:58.00]  teníamos que prepararle para cocer el palestero.
[0:17:58.00]-[0:18:00.00]  Ir a las ovejas, a llevarle grano...
[0:18:00.00]-[0:18:04.00]  De 6 años, o de 7, metí yo de pastor a un hijo mío.
[0:18:04.00]-[0:18:05.00]  Todo.
[0:18:05.00]-[0:18:06.00]  Tenía 7 años.
[0:18:06.00]-[0:18:08.00]  Algo trabajamos nosotros entonces cuando era...
[0:18:08.00]-[0:18:09.00]  Cuando...
[0:18:09.00]-[0:18:10.00] ...quien queríamos.
[0:18:10.00]-[0:18:12.00]  ¿Y los niños que tú iban a la escuela?
[0:18:12.00]-[0:18:17.00]  Iba a la escuela, claro que iba, pero aquella temporada del verano de vacaciones,
[0:18:17.00]-[0:18:22.00]  pues sí, tenía que ir con las ovejas, cuando no, pues ya íbamos nosotros,
[0:18:22.00]-[0:18:26.00]  pero por el verano, pues sí, tenía que ir con las ovejas.
[0:18:26.00]-[0:18:27.00]  Y íbamos bien poco.
[0:18:27.00]-[0:18:28.00]  De pastores.
[0:18:28.00]-[0:18:30.00]  Y después, ¿cómo fue entonces la guerra?
[0:18:30.00]-[0:18:32.00]  Que no había maestros, porque los maestros...
[0:18:32.00]-[0:18:36.00]  No, hombre, pero cuando yo crié los hijos ya no había guerra, ya se había terminado.
[0:18:36.00]-[0:18:39.00]  Ya no había guerra, pero tus hijos anduvieron bien esclavizados.
[0:18:39.00]-[0:18:43.00]  Bueno, pues de pastores, anduvieron de pastores.
[0:18:43.00]-[0:18:44.00]  Gracias que a Dios ahora...
[0:18:44.00]-[0:18:47.00]  Bueno, toda la historia que le contáis no nos ha...
[0:18:47.00]-[0:18:50.00]  No, no, no, contámosle lo que nos pasó.
[0:18:50.00]-[0:18:51.00]  ¿Que ya me has educado?
[0:18:51.00]-[0:18:53.00]  No, perdón.
[0:18:55.00]-[0:18:59.00]  ¿Y cuántos hijos, por ejemplo, una familia tenía?
[0:18:59.00]-[0:19:03.00]  Bueno, pues depende, algunos no tenían ninguno, claro, como siempre.
[0:19:03.00]-[0:19:06.00]  Y otros tenían 2, otros 3, otros 5 y otros 6.
[0:19:06.00]-[0:19:07.00]  ¿Y hasta 7?
[0:19:07.00]-[0:19:08.00]  Y hasta 7.
[0:19:08.00]-[0:19:09.00]  Sí, algunos sí.
[0:19:09.00]-[0:19:16.00]  Pero bueno, ya eran, aunque fuera algún matrimonio que tuviera, a lo mejor se hizo 7 o eso, pero...
[0:19:16.00]-[0:19:18.00]  Lo más, 3, 4, así.
[0:19:18.00]-[0:19:20.00]  Nosotros éramos 5 en casa.
[0:19:20.00]-[0:19:22.00]  Bueno, nosotros también éramos 5.
[0:19:22.00]-[0:19:23.00]  Y la tía...
[0:19:23.00]-[0:19:24.00]  Y yo tuve 3.
[0:19:24.00]-[0:19:26.00]  Y la tía, ¿y tú me digas cuántos eran?
[0:19:26.00]-[0:19:29.00]  Bueno, bueno, bueno, pero eso también pasará ahora.
[0:19:29.00]-[0:19:31.00]  También habrá matrimonios que también...
[0:19:31.00]-[0:19:32.00]  No, tampoco, ahora no tienen.
[0:19:32.00]-[0:19:34.00]  Ahora no los tienen, porque ahora no quieren tenerlos, sino los quieren.
[0:19:34.00]-[0:19:35.00]  Ahora hay otra zona...
[0:19:35.00]-[0:19:40.00]  Entonces, tenemos que tener los que Dios nos... los que nos vinieran, los que nos diera Dios.
[0:19:40.00]-[0:19:42.00]  Y ahora no es así.
[0:19:42.00]-[0:19:48.00]  Ahora ya todo Dios hace lo que quiere y lo que no...
[0:19:48.00]-[0:19:50.00]  Ahora tienes otra vida muy distinta.
[0:19:50.00]-[0:19:51.00]  Nosotros la sabemos ahora.
[0:19:51.00]-[0:19:52.00]  Mejor que la tenga.
[0:19:52.00]-[0:19:55.00] ... porque no le va a dar el verto.
[0:19:55.00]-[0:19:57.00]  Bueno, no, no, ellos están queriendo saber lo que hacemos.
[0:19:57.00]-[0:20:00.00]  Que estudien los... pues a ustedes.
[0:20:00.00]-[0:20:02.00]  Nos ha hablado de la harina, de hacer el pan.
[0:20:02.00]-[0:20:04.00]  ¿Cómo se hace el pan?
[0:20:04.00]-[0:20:07.00]  Porque yo no quiero saber hacer pan.
[0:20:07.00]-[0:20:12.00]  Bueno, pues traíamos la harina de allí, del molino, y después de que...
[0:20:12.00]-[0:20:19.00] ... al haber llegado el día que se nos ha terminado el pan que teníamos ya, pues le echábamos en una macera la harina.
[0:20:19.00]-[0:20:20.00]  ¿De tablas?
[0:20:20.00]-[0:20:22.00]  En una macera de tablas.
[0:20:22.00]-[0:20:30.00]  Y después le echábamos, claro, agua, agua templada, y la harina aquella la envolvía, y hasta que hacíamos la masa.
[0:20:30.00]-[0:20:31.00]  ¿Y el ormiento?
[0:20:31.00]-[0:20:32.00]  Y el sal.
[0:20:32.00]-[0:20:35.00]  Claro, el ormiento. El ormiento, si no el ormiento no se amasa.
[0:20:35.00]-[0:20:36.00]  Pero el ormiento...
[0:20:36.00]-[0:20:39.00]  Porque si el ormiento no se puede amasar porque no se...
[0:20:39.00]-[0:20:40.00] ... y hoy está...
[0:20:40.00]-[0:20:42.00] ... el levadura que le llama, ¿eh?
[0:20:42.00]-[0:20:43.00]  Mañana amasaba el otro.
[0:20:43.00]-[0:20:46.00]  Bueno, no, señor, levadura no, que era ormiento lo que echábamos nosotros.
[0:20:46.00]-[0:20:47.00]  Si la levadura era, pero...
[0:20:47.00]-[0:20:48.00]  Era ormiento.
[0:20:48.00]-[0:20:50.00] ... hasta la vez que entonces...
[0:20:50.00]-[0:20:51.00]  Era ormiento lo que le echábamos.
[0:20:51.00]-[0:20:52.00] ... ormiento.
[0:20:52.00]-[0:20:56.00]  Levadura también se le echábamos una poquitina, pero siempre le echábamos ormiento.
[0:20:56.00]-[0:21:04.00]  Que es un poco de masa, del pan que amasábamos, esa poca de masa, la metíamos en un cacharro,
[0:21:04.00]-[0:21:10.00]  y con ese cacharro teníamos pa' otra vez, pa' otra vez amasar, con aquello, con aquel ormiento que llamaban ormiento.
[0:21:10.00]-[0:21:11.00]  Para el vecino, para los otros.
[0:21:11.00]-[0:21:18.00]  Sí, para... opa, y andábamos, si sí, los vecinos, íbamos a buscar el ormiento a otra casa, porque...
[0:21:18.00]-[0:21:20.00] ... sino también se secaba, porque ese pan...
[0:21:20.00]-[0:21:29.00]  A lo mejor nos duraba tres semanas, o eso, porque amasábamos una hornada, grande, claro, que a lo mejor eran...
[0:21:29.00]-[0:21:30.00]  Doce uvatas.
[0:21:30.00]-[0:21:33.00]  Doce, o catorce, o dieciséis, depende del horno.
[0:21:33.00]-[0:21:34.00]  De dos kilos, o...
[0:21:34.00]-[0:21:46.00]  Claro, unas uvatinas que amasábamos entonces, y claro, después ya... primero con la macera, las sacían allí la masa, las envolvían,
[0:21:46.00]-[0:21:52.00]  y después de que ya las ponían en la macera hasta que se soltaba el pan.
[0:21:52.00]-[0:21:56.00]  Lo tenían, pues, no sé, depende, unos...
[0:21:56.00]-[0:21:57.00]  Dos horas.
[0:21:57.00]-[0:22:03.00]  Dos horas o cuatro hasta que se soltaba, porque ese ormiento que le echábamos era el que hacía soltar, hacer crecer el pan.
[0:22:03.00]-[0:22:04.00]  Hacer crecer, fermentar.
[0:22:04.00]-[0:22:14.00]  Sí, fermentar, y después ya, de que estaba ya suelto, que le llamábamos soltar el pan, ya hacían las hogazas allí en la misma macera,
[0:22:14.00]-[0:22:23.00]  y después ya las metíamos con una paleta, una paleta, un palo largo que a la punta tenía un redondo, que era...
[0:22:23.00]-[0:22:27.00]  le llamábamos la paleta de meter las hogazas.
[0:22:27.00]-[0:22:34.00]  Le poníamos la hogacina aquella, ya hecha, y la metíamos, poníamos en la paleta aquella, y la metíamos en el horno.
[0:22:34.00]-[0:22:38.00]  Y llenábamos el hornín que tuviéramos lleno de hogazas.
[0:22:38.00]-[0:22:40.00]  Y ya estaban allí hasta que se cocían.
[0:22:40.00]-[0:22:41.00]  O hora y media.
[0:22:41.00]-[0:22:46.00]  Bueno, depende, yo qué sé, uno estaría más, otro estaría menos, depende de los orros.
[0:22:46.00]-[0:22:48.00]  Bueno, pero sobre todo, ya era el tiempo que lo teníamos.
[0:22:48.00]-[0:22:53.00]  Después ya se sacaban, de que ya estaban cocidas, ya los sacábamos.
[0:22:53.00]-[0:22:55.00]  Bueno, ya los hemos contado los cuerdos.
[0:22:55.00]-[0:22:56.00]  Ya, no, uy, que nos quedan muchos.
[0:22:56.00]-[0:22:57.00]  Ya, no.
[0:22:57.00]-[0:22:59.00]  Y aquí, y aquí, a la...
[0:22:59.00]-[0:23:02.00]  ¿Era costumbre entonces que se prestaran el ormiento entre vecinas?
[0:23:02.00]-[0:23:04.00]  Bueno, pues sí, era costumbre, sí, sí.
[0:23:04.00]-[0:23:11.00]  Había algunos que lo dejaban ellos solos, tenían una masa, dejaban un poquitín de masa entre harina envuelta,
[0:23:11.00]-[0:23:17.00]  y después otro día, cuando iban a amasar, pues la envolvían, le echaban agua templada y la envolvían,
[0:23:17.00]-[0:23:19.00]  pero casi eso, poco gente lo hacía.
[0:23:19.00]-[0:23:26.00]  Todos lo metían en un cacharro que teníamos, y después iba otro vecino a buscarlo cuando le hacía falta, y después otro.
[0:23:26.00]-[0:23:33.00]  A lo mejor con un ormiento había para... vaya, porque había más, porque éramos muchos gentes en el pueblo entonces.
[0:23:33.00]-[0:23:41.00]  Había muchos ormientos, y pues claro, íbamos a buscarlo, un ormiento, allí, aquel vecino, y después...
[0:23:41.00]-[0:23:48.00]  como el ormiento era de un vecino, y después de que yo amasaba, se lo volvía a llevar,
[0:23:48.00]-[0:23:52.00]  y al otro día ya se lo iba a buscar otro, y así nos arreglábamos con...
[0:23:52.00]-[0:23:54.00]  Entonces éramos 120 vecinos aquí.
[0:23:54.00]-[0:23:55.00]  Sí, nosotros éramos muchos en aquel pueblo.
[0:23:55.00]-[0:23:57.00]  150 cuando los pasamos.
[0:23:57.00]-[0:24:01.00]  Entonces éramos muchos en este pueblo, mucha gente.
[0:24:01.00]-[0:24:03.00]  Y el horno era de todo el pueblo?
[0:24:03.00]-[0:24:06.00]  No, no, el horno tenía cada uno suyo.
[0:24:06.00]-[0:24:07.00]  Ah, sí, sí, sí, el horno suyo.
[0:24:07.00]-[0:24:08.00]  Sí, sí, el horno sí.
[0:24:08.00]-[0:24:10.00]  Y el pan, ¿cada uno amasaba?
[0:24:10.00]-[0:24:14.00]  Bueno, claro, cada uno comíamos del pan que amasábamos, sí, eso sí, todo.
[0:24:14.00]-[0:24:22.00]  ¿Y con qué frecuencia? ¿Cuánto amasaban cada día? ¿Cada 15 días o 3 semanas?
[0:24:22.00]-[0:24:33.00]  Cuando se nos terminaba el pan, porque luego se acababa porque a lo mejor amasábamos 15 o 10, según...
[0:24:33.00]-[0:24:39.00]  Bueno, de los tres y otras hasta 16 o 18, muchas veces, según cuándo.
[0:24:39.00]-[0:24:41.00]  Sí, hombre, sí.
[0:24:41.00]-[0:24:43.00]  Y nosotros también.
[0:24:43.00]-[0:24:45.00]  ¿Aquel pan eso por mí era duro?
[0:24:45.00]-[0:24:53.00]  Aquel pan gustaba, que éste gusta el día primero, pero de que pasan dos días no hay quien coma este pan de ahora.
[0:24:53.00]-[0:24:59.00]  Y entonces sí, se nos ponía duro, eso sí, se ponía duro, pero tenía gusto, tenía sustanza.
[0:24:59.00]-[0:25:03.00]  No es como ahora que este pan de ahora no es natural como era.
[0:25:03.00]-[0:25:05.00]  No es natural como era, aquel era natural nuestro.
[0:25:05.00]-[0:25:11.00]  Lo criaban las tierras nuestras, lo cosechábamos nosotros y lo llevábamos a moler ahí.
[0:25:11.00]-[0:25:13.00]  Y las sofas para la noche cuando vinimos de Tránsito.
[0:25:13.00]-[0:25:18.00]  Y no es como ahora, que ahora cualquiera sabe de qué es el pan, como todas las cosas que ya hacen.
[0:25:18.00]-[0:25:20.00]  De todo, las sofas, todos menos pan.
[0:25:20.00]-[0:25:24.00]  Y cuando usted era niña, en su casa era igual que cuando usted era joven, ¿no?
[0:25:24.00]-[0:25:26.00]  Sí, sí, sí, sí, sí, más o menos.
[0:25:26.00]-[0:25:28.00]  ¿En terapia casada, según su casa?
[0:25:28.00]-[0:25:30.00]  Claro, sí, sí, más o menos era igual.
[0:25:30.00]-[0:25:35.00]  Entonces, cuando yo estaba en casa de mis padres, más o menos como después.
[0:25:35.00]-[0:25:38.00]  ¿Y en casa de sus padres era igual que en otras del pueblo?
[0:25:38.00]-[0:25:40.00]  Sí, sí, sí, todos, más o menos igual.
[0:25:40.00]-[0:25:41.00]  Más o menos igual.
[0:25:41.00]-[0:25:44.00]  Hombre, en unas casas comerían un poquito mejor, a lo mejor.
[0:25:44.00]-[0:25:45.00]  Bueno, bueno, pero...
[0:25:45.00]-[0:25:48.00]  Más o menos, todos igual.
[0:25:48.00]-[0:25:53.00]  Después matábamos unos cerdos, que los cebábamos nosotros.
[0:25:53.00]-[0:25:58.00]  Y cuando llegaba la matanza matábamos a los cerdos, nos ayudábamos unos a otros.
[0:25:58.00]-[0:26:07.00]  Y comíamos aquello, el tocino y chorizo y, bueno, lo que tiene un cerdo, costillas, patas, de lo que sea.
[0:26:07.00]-[0:26:10.00]  Pero era todo natural, no es como ahora.
[0:26:10.00]-[0:26:12.00]  Aquello, todo gustaba más.
[0:26:12.00]-[0:26:19.00]  ¿Y entonces veía la gente más alegre cuando vinimos de la era, que veníamos de estar en la era chillando en cenes?
[0:26:19.00]-[0:26:21.00]  ¿Y venían cantando la juventud por las calles?
[0:26:21.00]-[0:26:23.00]  Bueno, entonces sí, porque...
[0:26:23.00]-[0:26:24.00]  Entonces había otra alegría, otra cosa...
[0:26:24.00]-[0:26:29.00]  Y venían de secar el pan, que estábamos todo el día segándolo con esa hoz, que con esa...
[0:26:29.00]-[0:26:31.00]  ¿A los hombres y las mujeres?
[0:26:31.00]-[0:26:32.00]  Todos, todos, todos.
[0:26:32.00]-[0:26:35.00]  Todos los vecinos, cada uno para su tierra.
[0:26:35.00]-[0:26:38.00]  Yo iba para la nuestra y la otra para la suya.
[0:26:38.00]-[0:26:45.00]  Y después ya, de que nos llegábamos y se ataba, hacíamos unos manojos.
[0:26:45.00]-[0:26:48.00]  No sabéis lo que son manojos, claro.
[0:26:48.00]-[0:26:49.00]  Sí.
[0:26:49.00]-[0:26:51.00]  Manojos y gavillas.
[0:26:51.00]-[0:26:53.00]  ¿Y nada de lo que les decía?
[0:26:53.00]-[0:26:59.00]  Que aprendan a hacer una historia como la de...
[0:26:59.00]-[0:27:07.00]  Claro, después de que hacíamos los manojos, ya los ajuntábamos en un montón, que le llamábamos Morena.
[0:27:07.00]-[0:27:14.00]  Cuando es el pan y después ya íbamos a buscarlo un día con el carro y con las vacas.
[0:27:14.00]-[0:27:18.00]  Ya, por lo menos, se traía para la playera y ya estaba haciéndose una mera.
[0:27:18.00]-[0:27:22.00]  ¿Y usted tenía que ayudar a su madre en casa cuando era niña o...?
[0:27:22.00]-[0:27:23.00]  Ah, no.
[0:27:23.00]-[0:27:25.00]  Ah, entonces sí, yo andaba con las ovejas.
[0:27:25.00]-[0:27:28.00]  Pero ¿cómo ayudaba? ¿Cómo...?
[0:27:28.00]-[0:27:36.00]  Bueno, pues se iba a ayudar a todo lo que hubiera que hacer, pero de niños pequeños.
[0:27:36.00]-[0:27:44.00]  No, pequeñines no, pero después ya de que empezaban a hacer algo más de llores, ya también los empezaban a mandarse galtas.
[0:27:44.00]-[0:27:48.00]  Pero, pero, es que en casa, cuando íbamos para casa, había que echarle de comer a los cerdos.
[0:27:48.00]-[0:27:49.00]  Ah, teníamos muchas cosas que hacer.
[0:27:49.00]-[0:27:57.00]  Había que echarle a los cerdos y nos mandaban eso, prepararle la comida de las vacas, prepararle la de los cerdos, porque había que cocerle las...
[0:27:57.00]-[0:28:04.00]  Las verdas, patatas y de eso le cocíamos a los cerdos y había que preparar aquello para cocernos.
[0:28:04.00]-[0:28:08.00]  Y nos mandaban de bien pequeños. ¡Hala, venga! A prepararle para los cerdos.
[0:28:08.00]-[0:28:10.00]  Y de bien pequeñines de pastores.
[0:28:10.00]-[0:28:16.00]  Y a ir con los corderos a sacar a aquella oveja que quedó aquí en aquella cuadra, ir a sacarla, va a ser para donde va.
[0:28:16.00]-[0:28:17.00]  Y así.
[0:28:17.00]-[0:28:20.00]  A echarle a las ovejas que estaban en la cuadra.
[0:28:20.00]-[0:28:22.00]  Allá ya con ese truco.
[0:28:22.00]-[0:28:24.00]  Y a echarle a los corderines.
[0:28:24.00]-[0:28:25.00]  ¿Dónde están todos?
[0:28:25.00]-[0:28:27.00]  Que tenían unos corderines pequeñines.
[0:28:27.00]-[0:28:32.00]  Los corderines estaban... cuando me levantaba, iba a ver a ver los corderines que habían nacido.
[0:28:32.00]-[0:28:35.00]  Pero ir con ellos no te gustaba mucho.
[0:28:35.00]-[0:28:36.00]  ¿Eh?
[0:28:36.00]-[0:28:37.00]  Ir pastora no te gustaba mucho.
[0:28:37.00]-[0:28:38.00]  De pastora no.
[0:28:38.00]-[0:28:39.00]  Digo yo que...
[0:28:39.00]-[0:28:41.00]  ¡Hala! Que no tuviera pastora.
[0:28:41.00]-[0:28:44.00]  Pero íbamos, íbamos, pero no era porque nos diera mucho gusto, ¿no?
[0:28:44.00]-[0:28:46.00]  No, no, porque teníamos que ir nada más.
[0:28:46.00]-[0:28:49.00]  Mira, cuántos días lloraba yo.
[0:28:49.00]-[0:28:53.00]  Pateaba allí hasta que me cansaba porque no quería ir, pero qué remedio tenía.
[0:28:53.00]-[0:28:54.00]  Tenía que ir.
[0:28:54.00]-[0:28:55.00]  Ya, ya.
[0:28:55.00]-[0:28:59.00]  Entonces no era la vida de ahora, de los hijos, ¿no?
[0:28:59.00]-[0:29:01.00]  Entonces dábamos unos papelotes buenos.
[0:29:01.00]-[0:29:03.00]  Y cada vez que dábamos la boca, decidimos que hacérnoslo.
[0:29:03.00]-[0:29:05.00]  Ahora si le tocan a un niño, que le toquen a un niño.
[0:29:05.00]-[0:29:06.00]  Que le toquen ahora.
[0:29:06.00]-[0:29:07.00]  Es imposible.
[0:29:07.00]-[0:29:09.00]  No se le pueda tocar.
[0:29:09.00]-[0:29:11.00]  ¿Cómo dice que me daban?
[0:29:11.00]-[0:29:12.00]  Unos cachetes.
[0:29:12.00]-[0:29:13.00]  Unas buenas tortas.
[0:29:13.00]-[0:29:15.00]  Unos papelotes, como decían aquí.
[0:29:15.00]-[0:29:16.00]  Unos papelotes.
[0:29:16.00]-[0:29:19.00]  ¿Papelotes?
[0:29:19.00]-[0:29:24.00]  Si alguna vez que dieron, yo no voy, yo papa, yo no voy, yo no voy, yo no, yo a que es no.
[0:29:24.00]-[0:29:26.00]  Que vaya azulano, para el otro hermano.
[0:29:26.00]-[0:29:28.00]  Y ese no va a ir.
[0:29:28.00]-[0:29:33.00]  Entonces daban unos buenos papelotes y tenéis que ir y que calla la boca.
[0:29:33.00]-[0:29:35.00]  Y pues no, que ya vamos, no.
[0:29:35.00]-[0:29:39.00]  Uno, un día, que ya vamos, pero el día segundo, ya callamos la boca y íbamos a hacer.
[0:29:39.00]-[0:29:42.00]  Cada semana.
[0:29:42.00]-[0:29:46.00]  ¿Y qué otros animales domésticos tenían en casa?
[0:29:46.00]-[0:29:49.00]  Bueno, pues a nosotros teníamos los perdos.
[0:29:49.00]-[0:29:50.00]  ¿Cuántos?
[0:29:50.00]-[0:29:51.00]  ¿Unos?
[0:29:51.00]-[0:29:52.00]  Perdos.
[0:29:52.00]-[0:29:55.00]  Bueno, algunos tenían tres, pero otros nada más teníamos dos.
[0:29:55.00]-[0:30:01.00]  Según cada uno, la falta que le hicieran, claro, según la gente que fuera en casa, las personas.
[0:30:01.00]-[0:30:02.00]  Tres cerdos, no sé.
[0:30:02.00]-[0:30:07.00]  Pero algunos, sí, a lo mejor tenían tres, pero más bien como dos.
[0:30:07.00]-[0:30:14.00]  Dos cerdos se solían tener y se mataban entonces, cuando llegaba el tiempo de matar.
[0:30:14.00]-[0:30:19.00]  Y después había unos mercados aquí que venían los días de feria, había unos mercados buenos aquí en el pueblo.
[0:30:19.00]-[0:30:21.00]  Y vendíamos los jamones porque...
[0:30:21.00]-[0:30:24.00]  Bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno.
[0:30:24.00]-[0:30:26.00]  ¿También esa historia?
[0:30:26.00]-[0:30:28.00]  Esa historia, porque eso pasaba.
[0:30:28.00]-[0:30:31.00]  Comístete muchos jamones en casa de tu madre.
[0:30:31.00]-[0:30:33.00]  Tampoco los como ahora.
[0:30:33.00]-[0:30:34.00]  Porque aún no los quieres.
[0:30:34.00]-[0:30:36.00]  Ahora tampoco los tienes tampoco.
[0:30:36.00]-[0:30:37.00]  Sí, no los quiero.
[0:30:37.00]-[0:30:38.00]  Y no los puedes comer.
[0:30:38.00]-[0:30:41.00]  Que más quisiera yo poder comer jamón.
[0:30:41.00]-[0:30:48.00]  Ahora no se puede, pues entonces había que venderlos para pagar la contribución y para pagar las cinco traciones.
[0:30:48.00]-[0:30:52.00]  No porque no los pueda comprar.
[0:30:52.00]-[0:30:54.00]  Porque no los puedo comer.
[0:30:54.00]-[0:30:56.00]  Bueno, ahora ya había pasado algo.
[0:30:56.00]-[0:30:59.00]  Puedo comerlo, no puedo comerlo.
[0:30:59.00]-[0:31:01.00]  Y nunca lo he podido comer.
[0:31:01.00]-[0:31:03.00]  Fue una historia de antes.
[0:31:03.00]-[0:31:09.00]  ¿Y recuerda que su madre alguna vez le diera un azote o unos paperotes o no?
[0:31:09.00]-[0:31:10.00]  No.
[0:31:10.00]-[0:31:12.00]  ¿No se pegó alguna vez?
[0:31:12.00]-[0:31:13.00]  Yo no.
[0:31:13.00]-[0:31:14.00]  No me doy cuenta, eh.
[0:31:14.00]-[0:31:16.00]  Nunca me doy cuenta de que me pegaran, no.
[0:31:16.00]-[0:31:19.00]  Sí, es verdad que no me doy cuenta.
[0:31:19.00]-[0:31:22.00]  Pues no, lo veo que no hago.
[0:31:22.00]-[0:31:28.00]  Yo cuando iba a comer en casa de mi madre, con una hermana, nunca se había casado.
[0:31:28.00]-[0:31:29.00]  Y después...
[0:31:29.00]-[0:31:30.00]  ¿Qué dice?
[0:31:30.00]-[0:31:32.00]  Que es don Gruía, él.
[0:31:32.00]-[0:31:34.00]  Ah, no es español.
[0:31:34.00]-[0:31:36.00]  ¿Y éstas tampoco sois españolas?
[0:31:36.00]-[0:31:39.00]  Sí, nosotras sí, ellas no.
[0:31:39.00]-[0:31:41.00]  ¿Ustedes no sois españolas?
[0:31:41.00]-[0:31:42.00]  Sí.
[0:31:42.00]-[0:31:43.00]  Tú sí.
[0:31:43.00]-[0:31:44.00]  Yo también.
[0:31:44.00]-[0:31:46.00]  También, ¿y ésta tampoco?
[0:31:46.00]-[0:31:47.00]  Somos chicas.
[0:31:47.00]-[0:31:49.00]  Ah, mira, mira.
[0:31:49.00]-[0:31:54.00]  Y entonces ahora estamos todos revueltos.
[0:31:54.00]-[0:31:57.00]  Entonces, claro, vosotras, aunque os digan, no entendéis las cosas.
[0:31:57.00]-[0:31:59.00]  Algunas no.
[0:31:59.00]-[0:32:00.00]  No todo.
[0:32:00.00]-[0:32:01.00]  Claro, esto no se sabe.
[0:32:01.00]-[0:32:02.00]  Esto para los españoles.
[0:32:02.00]-[0:32:05.00]  ¿Has entendido todas las historias que ha contado mi hermana?
[0:32:05.00]-[0:32:06.00]  ¿Qué va?
[0:32:06.00]-[0:32:07.00]  Sí, sí.
[0:32:07.00]-[0:32:10.00]  Todo, todo.
[0:32:10.00]-[0:32:12.00]  ¿Sabes a quién se me parece esta?
[0:32:12.00]-[0:32:14.00]  A María Patiño.
[0:32:14.00]-[0:32:18.00]  Aquella que hoy se pone a la noche o ayer.
[0:32:18.00]-[0:32:21.00]  Aquello de... ¿Cómo se llama?
[0:32:21.00]-[0:32:23.00]  Sí, María Patiño.
[0:32:23.00]-[0:32:25.00]  ¿Y por Fatima?
[0:32:25.00]-[0:32:28.00]  Obvio que se pone allí, donde tengo la otra.
[0:32:28.00]-[0:32:33.00]  María Patiño, hay una de esas periodistas que...
[0:32:33.00]-[0:32:34.00]  ¿Qué pone ahí en la dana?
[0:32:34.00]-[0:32:37.00]  Unas periodistas que se ponen allí con aquel...
[0:32:37.00]-[0:32:38.00]  ¿Cómo se llama?
[0:32:38.00]-[0:32:42.00]  Es el programa de ayer, lo que salió ayer a la noche.
[0:32:42.00]-[0:32:45.00]  ¿Y viernes?
[0:32:45.00]-[0:32:47.00]  No, no veo poco la televisión.
[0:32:47.00]-[0:32:48.00]  ¿Lo sabes?
[0:32:48.00]-[0:32:50.00]  Lo veo muy poco.
[0:32:50.00]-[0:32:53.00]  ¡Hala! Que salen unos cuantos periodistas.
[0:32:53.00]-[0:32:56.00]  Sí.
[0:32:56.00]-[0:32:58.00]  No me acuerdo de la televisión.
[0:32:58.00]-[0:32:59.00]  ¿No te acuerdas de eso?
[0:32:59.00]-[0:33:02.00]  El de hoy es...
[0:33:02.00]-[0:33:04.00]  No, ya tampoco me acuerdo.
[0:33:04.00]-[0:33:09.00]  ¿Cómo es lo que hacen hoy en la tele a la noche?
[0:33:09.00]-[0:33:14.00]  Le puedo preguntar, ¿y las vecinas te ayudaban, por ejemplo, a cuidar a los niños?
[0:33:14.00]-[0:33:18.00]  ¿O usted recuerda haber ayudado a alguna vecina?
[0:33:18.00]-[0:33:21.00]  Bueno, no. Cada uno tenía que atenderlo suyo.
[0:33:21.00]-[0:33:24.00]  Hombre, alguna vez te ayudaban, pero...
[0:33:24.00]-[0:33:30.00]  Si ibas con los niños, porque nosotros... Yo tuve que ir con los niños, con las ovejas y todo.
[0:33:30.00]-[0:33:31.00]  ¿Llevaban los niños a...?
[0:33:31.00]-[0:33:33.00]  Yo los tuve que llevar al cuello.
[0:33:33.00]-[0:33:34.00]  ¿Al cuello?
[0:33:34.00]-[0:33:35.00]  Al cuello.
[0:33:35.00]-[0:33:36.00]  ¿Y cómo los ponía?
[0:33:36.00]-[0:33:40.00]  Pues aquí, en el brazo, y tapados con un...
[0:33:40.00]-[0:33:43.00]  Lo llamábamos un mantón.
[0:33:43.00]-[0:33:45.00]  Sí, sí, eso fue verdad.
[0:33:45.00]-[0:33:47.00]  Los tuve que llevar.
[0:33:47.00]-[0:33:49.00]  Y de pastora con ellos.
[0:33:49.00]-[0:33:51.00]  ¿Y a cegar por las tierras?
[0:33:51.00]-[0:33:53.00]  Y a cegar por las tierras.
[0:33:53.00]-[0:33:58.00]  Y a cegar en la tierra el pan, el trigo y el centeno, yo los tuve que llevar siempre.
[0:33:58.00]-[0:34:00.00]  Siempre los tuve que llevar.
[0:34:00.00]-[0:34:03.00]  Con niños, al cuello.
