[0:00:00.00]-[0:00:01.00]  ¡Llamo!
[0:27:20.00]-[0:27:23.00]  Había mujeres que no se salían de luto en toda la vida, de negro siempre.
[0:27:23.00]-[0:27:27.00]  Primero, le moría a un hermano por casualidad, dos años de luto.
[0:27:27.00]-[0:27:30.00]  Le moría su padre, cinco años de luto.
[0:27:30.00]-[0:27:33.00]  ¿Quería la viuda? Luto para siempre.
[0:27:33.00]-[0:27:37.00]  Negro, pero negro, no vestían de negro, a los gos, siempre, toda la vida.
[0:27:37.00]-[0:27:41.00]  Era así, dos años por un hermano, cinco por el padre o la madre,
[0:27:41.00]-[0:27:45.00]  y ya por el marido, negro para toda la vida.
[0:27:45.00]-[0:27:49.00]  ¿Y el cura era una figura muy importante?
[0:27:49.00]-[0:27:51.00]  Aquí el cura...
[0:27:51.00]-[0:27:53.00]  ¿Más que el maestro, dicen?
[0:27:53.00]-[0:27:55.00]  Sí, sí, sí, el cura era muy importante.
[0:27:55.00]-[0:28:00.00]  Según eso, yo no me acuerdo yo, pero cuando la dieron movimiento,
[0:28:00.00]-[0:28:03.00]  los que fusilaron era culpa del cura.
[0:28:03.00]-[0:28:06.00]  Si me vas a confesar, yo no tengo mujer, ni marido, ni otra cosa.
[0:28:06.00]-[0:28:09.00]  Yo cura, yo aguardo el niño, por la mañana, por él, por...
[0:28:09.00]-[0:28:10.00]  ¿Fusilaron aquí...?
[0:28:10.00]-[0:28:14.00]  Aquí en esta parroquia, fusilaron solo dos, pero en una parroquia, tú fusilaron mucha gente.
[0:28:14.00]-[0:28:18.00]  Yo de eso no me acuerdo, yo nací después,
[0:28:18.00]-[0:28:23.00]  yo nací en el 51, y eso era por el 30 y pico, que es cuando fue la guerra.
[0:28:23.00]-[0:28:26.00]  De eso no me acuerdo yo, no sé...
[0:28:26.00]-[0:28:31.00]  Pero tengo oído que sí, que había que confesarse, había que acumular.
[0:28:31.00]-[0:28:35.00]  Lo que era religioso, toda la semana, si no, una vez al año era indispensable.
[0:28:35.00]-[0:28:39.00]  Si no filaba tu cura, podía te joder.
[0:28:39.00]-[0:28:43.00]  El cura de aquí, el cura de aquí, yo me acuerdo, nunca hubiera un mago.
[0:28:43.00]-[0:28:46.00]  Pero había curas que por fatidia los mandaban.
[0:28:46.00]-[0:28:48.00]  Era importante, claro.
[0:28:48.00]-[0:28:51.00]  Era importante, claro, cambiara.
[0:28:53.00]-[0:28:56.00]  Luego teníamos más preguntas, por ejemplo,
[0:28:56.00]-[0:29:01.00]  ¿conoces alguna leyenda de la zona, alguna superstición?
[0:29:01.00]-[0:29:06.00]  Ay, bueno, yo nunca he oído esas cosas, pero hay gente que sí.
[0:29:06.00]-[0:29:09.00]  ¿Hay alguna que nos pueda contar así?
[0:29:09.00]-[0:29:13.00]  Yo te puedo contar poco, porque nunca estuve mucho en eso, pero...
[0:29:13.00]-[0:29:17.00]  Tú ibas a una casa y tenías que entrar ahí diciendo,
[0:29:17.00]-[0:29:20.00]  Dios defenda todo, Dios guarde.
[0:29:20.00]-[0:29:24.00]  Tenías que saludar siempre, con un saludo, pasaba por el lado de uno que llevaba vacas,
[0:29:24.00]-[0:29:27.00]  Dios guarde, que te has guardado, claro, que te has guardado.
[0:29:27.00]-[0:29:30.00]  Y dijeron, luego me suelta aquello, esa gente quería en eso.
[0:29:30.00]-[0:29:33.00]  No, pero no me acuerdo mucho de esas cosas.
[0:29:33.00]-[0:29:37.00]  Eso de supersticiosos, supersticiosos, hay dos ahí, o sea...
[0:29:37.00]-[0:29:40.00]  Hoy aún no los hay, algunos, bueno, pero...
[0:29:40.00]-[0:29:44.00]  ¿Nos han contado la leyenda de la Santa Compaña, algún entierro?
[0:29:44.00]-[0:29:49.00]  Eso eran oídas, sí, se decía que andaba por ahí, eso yo nunca vi nada.
[0:29:49.00]-[0:29:52.00]  Yo ya no veo nada de eso, eran inventos.
[0:29:52.00]-[0:29:55.00]  Eso yo creo que eran inventos de los más listos,
[0:29:55.00]-[0:29:58.00]  para que la gente no saliera de noche, aprovechaban a ellos que se ran.
[0:29:58.00]-[0:30:01.00]  No salían nada, tenían miedo, no se volvieran los años,
[0:30:01.00]-[0:30:04.00]  metían miedo a la gente, y se llevaban para los que querían robar,
[0:30:04.00]-[0:30:07.00]  y se llevaban solos, y...
[0:30:07.00]-[0:30:09.00]  ¡Ay, qué se ve, no sé qué!
[0:30:09.00]-[0:30:12.00]  Había una mujer ahí que dijo, ¿Furán no morre?
[0:30:12.00]-[0:30:15.00]  Porque ya viene a enterrar...
[0:30:15.00]-[0:30:18.00]  El señor moría, se sepó, él había que estar enfermo,
[0:30:18.00]-[0:30:21.00]  ya era marrista, había que estar enfermo, que se sepó.
[0:30:21.00]-[0:30:24.00]  Y ese se muere, que ya lo vio, el entierro, pasó por allí y tal.
[0:30:24.00]-[0:30:28.00]  Y que morría, se sepó, moría, moría, ya estaba martideado.
[0:30:28.00]-[0:30:30.00]  Ahora, venía aquí, me morré, y decía, ¿qué hubiera que hacer?
[0:30:30.00]-[0:30:32.00]  Que me entierro, entonces...
[0:30:32.00]-[0:30:35.00]  Pero ya en las que aquí nunca hubo nada de eso, ni nadie creyó en eso.
[0:30:35.00]-[0:30:38.00]  ¿Y en esta, por esta zona se cazaba?
[0:30:38.00]-[0:30:42.00]  Cuatro ricos que podían, nosotros trabajábamos.
[0:30:42.00]-[0:30:45.00]  Al cazadores, ahora hay cientos de cazadores,
[0:30:45.00]-[0:30:47.00]  todo el mundo tiene escopeta, todo el mundo es cazador,
[0:30:47.00]-[0:30:50.00]  pero de acá ya eran los que tenían dinero,
[0:30:50.00]-[0:30:53.00]  una baneada que venía de Cuba, que traía carne, tenía escopeta,
[0:30:53.00]-[0:30:55.00]  y iba de caza todos los días.
[0:30:55.00]-[0:30:57.00]  Otro que también vivía bien, a lo mejor también de caza,
[0:30:57.00]-[0:30:59.00]  pero yo aquí, cuando era pequeño,
[0:30:59.00]-[0:31:02.00]  yo lo veía en las casas de los cazadores en toda la parroquia,
[0:31:02.00]-[0:31:05.00]  que había mil y pico personas, me quedaba una vía.
[0:31:05.00]-[0:31:07.00]  Ahora todo el mundo es cazador.
[0:31:07.00]-[0:31:09.00]  Pero de acá no se podía...
[0:31:09.00]-[0:31:12.00]  ¿Y cómo llamaban a los que volvían de Cuba, habaneros?
[0:31:12.00]-[0:31:16.00]  Habaneros, sí, sí, sí, y era habaneros, sí.
[0:31:16.00]-[0:31:18.00]  Traía unos cochazos, ya de cazador.
[0:31:18.00]-[0:31:21.00]  Un cat y la deces, que se movían, mire cómo era yo,
[0:31:21.00]-[0:31:25.00]  que había aquí en esta casa que está en esta parte de ahí,
[0:31:25.00]-[0:31:27.00]  tenía gente en Cuba, y venían de Cuba,
[0:31:27.00]-[0:31:30.00]  como era con un niño como este, más o menos.
[0:31:30.00]-[0:31:34.00]  La mía de la radio siempre fue a que siempre me mareaba en los coches.
[0:31:34.00]-[0:31:36.00]  Aún de ocho y luego me chera, pero...
[0:31:36.00]-[0:31:39.00]  Me llamaron a la parroquia de Orteguera,
[0:31:39.00]-[0:31:42.00]  que había como siete kilómetros más, ¿eh?
[0:31:42.00]-[0:31:44.00]  Y el coche era uno de estos cánales.
[0:31:44.00]-[0:31:46.00]  Cuanto mejor es el coche, más me amara.
[0:31:46.00]-[0:31:49.00]  Después el coche perdido, de válvula, y todo.
[0:31:49.00]-[0:31:51.00]  Porque...
[0:31:51.00]-[0:31:53.00]  ¿Me mareaba? Que había faldero.
[0:31:53.00]-[0:31:54.00]  Bueno, venía.
[0:31:54.00]-[0:31:57.00]  Yo ahí, para hacer la vida.
[0:31:57.00]-[0:32:00.00]  De aquel lado, uno no salía poco.
[0:32:00.00]-[0:32:03.00]  Un niño pequeño, ir a Orteguera era una odisea.
[0:32:03.00]-[0:32:05.00]  Que tú no estabas en casa y no salía de casa.
[0:32:05.00]-[0:32:07.00]  El número te llevaba a ninguna parte.
[0:32:07.00]-[0:32:09.00]  A la feria todo tiraba aquí arriba.
[0:32:09.00]-[0:32:12.00]  Después ir a Orteguera para nosotros, íbamos a pie, aquí por la vía.
[0:32:12.00]-[0:32:14.00]  Estaba el ferrocarril línea estrecha ahí.
[0:32:14.00]-[0:32:17.00]  Y entonces aquello no pasaba, estaba la exploración hecha.
[0:32:17.00]-[0:32:20.00]  Y entonces por la carretera ahí, a Orteguera hay cinco kilómetros,
[0:32:20.00]-[0:32:21.00]  por la vía hay tres.
[0:32:21.00]-[0:32:24.00]  Y entonces por las planadas de la vía, a Orteguera a pie.
[0:32:24.00]-[0:32:26.00]  Yo iba con mis hermanas y otras hermanas,
[0:32:26.00]-[0:32:30.00]  y son más de una milla de siete años o hasta tres.
[0:32:30.00]-[0:32:34.00]  Y les mandaban a Orteguera por la mañana temprana a la plaza a vender pollo.
[0:32:34.00]-[0:32:36.00]  O habas, o lo que había también.
[0:32:36.00]-[0:32:38.00]  Porque también se aprovechaba.
[0:32:38.00]-[0:32:40.00]  Los jueves que era un mercado, uno a Orteguera.
[0:32:40.00]-[0:32:42.00]  Estaba a pie por la vía.
[0:32:42.00]-[0:32:44.00]  Íbamos a pie, dormíamos, a Orteguera.
[0:32:44.00]-[0:32:48.00]  No estaba mejor que como ahora, porque ahora no se anda.
[0:32:48.00]-[0:32:50.00]  Entonces, claro.
[0:32:50.00]-[0:32:52.00]  ¿Cómo eran antes los transportes?
[0:32:52.00]-[0:32:55.00]  ¿Cómo iban de una ciudad a otra?
[0:32:55.00]-[0:32:59.00]  Transporte había el coche de la línea dos veces al día.
[0:32:59.00]-[0:33:01.00]  Por la mañana y a la noche.
[0:33:01.00]-[0:33:03.00]  Un autobús, ¿no?
[0:33:03.00]-[0:33:05.00]  Un autobús, un autobús, pues.
[0:33:05.00]-[0:33:08.00]  Después aquí para ir a Orteguera,
[0:33:08.00]-[0:33:12.00]  venía una lancha para la vía.
[0:33:12.00]-[0:33:15.00]  Y se la iba a coger ahí abajo, y se montaba a la orteguera.
[0:33:15.00]-[0:33:18.00]  Cobraba dos reas, un apiceto, lo cobraba de la calle.
[0:33:18.00]-[0:33:20.00]  Y a la lancha para ir a Orteguera.
[0:33:20.00]-[0:33:23.00]  Venía un señor con esa línea,
[0:33:23.00]-[0:33:26.00]  la cogíamos ahí abajo y nos lo decíamos, no, era a pie.
[0:33:26.00]-[0:33:27.00]  Y el transporte para El Forró,
[0:33:27.00]-[0:33:30.00]  ibas por la mañana y volvías a la noche con el otro coche que había.
[0:33:30.00]-[0:33:32.00]  De El Forró, por ejemplo.
[0:33:32.00]-[0:33:35.00]  Que más noche ya no íbamos.
[0:33:35.00]-[0:33:38.00]  ¿Y el tren lo utilizaban, por ejemplo?
[0:33:38.00]-[0:33:41.00]  Sí, pero el tren vino, ya vino en bastante,
[0:33:41.00]-[0:33:44.00]  no sé en qué años vendría.
[0:33:44.00]-[0:33:47.00]  En el 65, por ahí pasaría el tren,
[0:33:47.00]-[0:33:50.00]  porque la planada estaba hecha antes de la guerra.
[0:33:50.00]-[0:33:52.00]  Después se paró eso y quedó la planada hecha,
[0:33:52.00]-[0:33:55.00]  y el tren no pasó hasta mucho más tarde, en el 65.
[0:33:55.00]-[0:33:56.00]  Muy tarde, sí.
[0:33:56.00]-[0:33:58.00]  Muy tarde el tren, sí.
[0:33:58.00]-[0:34:02.00]  El tren aquí pasó, no sé exactamente,
[0:34:02.00]-[0:34:05.00]  pero por ahí andaría, en el 65.
[0:34:05.00]-[0:34:08.00]  ¿Y usted alguna vez ha viajado fuera de España, por ejemplo?
[0:34:08.00]-[0:34:11.00]  No, un año más, voluntario que a mí.
[0:34:11.00]-[0:34:15.00]  Viajar, odio viajar.
[0:34:15.00]-[0:34:19.00]  Yo fui un chachi, digo, al servicio, del servicio militar a Cáceres,
[0:34:19.00]-[0:34:22.00]  que te meten un tren que llevó tres días llegar allá,
[0:34:22.00]-[0:34:24.00]  un tren que era de carbón todavía.
[0:34:24.00]-[0:34:25.00]  ¿Tres días?
[0:34:25.00]-[0:34:28.00]  Sí, porque claro, era un tren de soldados,
[0:34:28.00]-[0:34:31.00]  para esa no le daba, y entonces,
[0:34:31.00]-[0:34:35.00]  no esperaba, no diría que pasara el tren que venía de Madrid para los de 11.
[0:34:35.00]-[0:34:38.00]  Más adelante en León, esperaba que pasara el otro tren para...
[0:34:38.00]-[0:34:40.00]  Entonces, en tres días llegamos a Cáceres.
[0:34:40.00]-[0:34:42.00]  Como una malla de un pollo y dos huevos cocidos,
[0:34:42.00]-[0:34:45.00]  nos dijeron en Coruña cuando traíamos,
[0:34:45.00]-[0:34:50.00]  y llegaron, nos pusieron un gorro de un traje y a hacer extracción.
[0:34:50.00]-[0:34:53.00]  Y estuve allí de julio a septiembre,
[0:34:53.00]-[0:34:56.00]  después nos pasaron a Madrid y estuve,
[0:34:56.00]-[0:34:59.00]  no sé si conoceréis, si sois de Madrid podéis conocer, estuve en Dicalvaro.
[0:34:59.00]-[0:35:01.00]  A las afueras de Madrid era, a lo mejor,
[0:35:01.00]-[0:35:03.00]  hecho esta más cerca, se me da la cara,
[0:35:03.00]-[0:35:05.00]  la cara estaba empezando a hacer la M30.
[0:35:05.00]-[0:35:07.00]  Cuando yo estuve en Madrid, que pasaba allí por,
[0:35:07.00]-[0:35:09.00]  20 es un poco más por allí,
[0:35:09.00]-[0:35:12.00]  yo aquí en Madrid, no me perdí, me da la cara, andaba.
[0:35:12.00]-[0:35:13.00]  Sí.
[0:35:13.00]-[0:35:16.00]  Y más nada, mis viajes fueron,
[0:35:16.00]-[0:35:19.00]  yo nunca emigré, mis hermanos sí que emigraron,
[0:35:19.00]-[0:35:22.00]  yo siempre me quedé aquí, en casa de...
[0:35:22.00]-[0:35:25.00]  Y la gente ¿cómo iba Cuba? ¿en barco?
[0:35:25.00]-[0:35:30.00]  Supongo que sí, de acá en barco, incluso los primeros,
[0:35:30.00]-[0:35:32.00]  sería barco de vela, de cruceo, de bafor,
[0:35:32.00]-[0:35:34.00]  pero los primeros que se fueron, serían como colombas.
[0:35:34.00]-[0:35:35.00]  Sí.
[0:35:35.00]-[0:35:37.00]  Claro que sí.
[0:35:37.00]-[0:35:39.00]  Si iban en barco, le daban...
[0:35:39.00]-[0:35:42.00]  ¿Qué inferiores llegaba a Cuba en un barco de acá?
[0:35:42.00]-[0:35:45.00]  O por ahí...
[0:35:45.00]-[0:35:49.00]  Aquí por ejemplo, ¿Ortigueira es un lugar muy importante, no?
[0:35:49.00]-[0:35:51.00]  ¿De barcos y...?
[0:35:51.00]-[0:35:53.00]  Ortigueira no está muy...
[0:35:53.00]-[0:35:55.00]  Está todos los sitios mal, pero Ortigueira es...
[0:35:55.00]-[0:35:58.00]  Fue más importante de lo que soy,
[0:35:58.00]-[0:36:01.00]  porque antes era partido judicial,
[0:36:01.00]-[0:36:04.00]  pero se quedó con pocos habitantes, se los sacaron.
[0:36:04.00]-[0:36:07.00]  Había Ortigueira y Cariño, que era todo uno,
[0:36:07.00]-[0:36:09.00]  Cariño se independizó y hizo un adentramiento,
[0:36:09.00]-[0:36:11.00]  y yo como catalán.
[0:36:11.00]-[0:36:13.00]  Y como están haciendo los catalanes ahora,
[0:36:13.00]-[0:36:15.00]  Cariño, con Ortigueira, y digo, se independizó,
[0:36:15.00]-[0:36:17.00]  y ahora son dos adentramientos, es un adentramiento pequeño,
[0:36:17.00]-[0:36:19.00]  tiene como unos 7000 habitantes aproximadamente,
[0:36:19.00]-[0:36:21.00]  no tiene más pensados, ¿eh?
[0:36:21.00]-[0:36:25.00]  Sí, Ortigueira siempre fue de industria ninguna,
[0:36:25.00]-[0:36:27.00]  había un muelle allí que antes entraba,
[0:36:27.00]-[0:36:29.00]  se cargaba una poca de madera,
[0:36:29.00]-[0:36:31.00]  ahora el muelle está inutilizado total,
[0:36:31.00]-[0:36:35.00]  hay estos lanchitos de recreo que hay pocas también,
[0:36:35.00]-[0:36:38.00]  pero puerto mejor de pesca ahora es más de Cariño,
[0:36:38.00]-[0:36:41.00]  hay un puerto con más de pesca, y carga una madera,
[0:36:41.00]-[0:36:43.00]  hay un puerto que tiene más calado,
[0:36:43.00]-[0:36:45.00]  Ortigueira se se calmar prácticamente,
[0:36:45.00]-[0:36:48.00]  es una ría, y se se calmar lo que no queda.
[0:36:48.00]-[0:36:51.00]  Antiguamente entraban algunos barros, pero ahora es nada.
[0:36:51.00]-[0:36:53.00]  No Ortigueira nada.
[0:36:53.00]-[0:36:56.00]  ¿Y qué pescaban, qué se pescaba entonces, hace ya tiempo?
[0:36:56.00]-[0:36:59.00]  Sardina, jurel,
[0:36:59.00]-[0:37:04.00]  y qué más, bueno, de todo, incluso algunos merluces pescarían,
[0:37:04.00]-[0:37:07.00]  lo que hacía por aquí cerca, ¿sabes qué?
[0:37:07.00]-[0:37:09.00]  Mocarty,
[0:37:09.00]-[0:37:12.00]  iban mucho aquí antes y siguen yendo, al Bonito,
[0:37:12.00]-[0:37:16.00]  a la costela de Bonito, donde van, que aún se está acabando ahora,
[0:37:16.00]-[0:37:18.00]  pero antes a lo mejor había aquí Inés Pasante,
[0:37:18.00]-[0:37:20.00]  que es una parroquia de Ortigueira,
[0:37:20.00]-[0:37:24.00]  a lo mejor había 30 y pico barcos que iban al Bonito,
[0:37:24.00]-[0:37:27.00]  ahora yo creo que hay muy pocos,
[0:37:27.00]-[0:37:30.00]  y los carnavales no llegan aquí tampoco, los carnavales,
[0:37:30.00]-[0:37:34.00]  porque es un puerto más, que les queda mejor.
[0:37:34.00]-[0:37:37.00]  Aquí en esta zona está muy mal todo.
[0:37:37.00]-[0:37:40.00]  Aquí ahora trabajo no tiene nadie,
[0:37:40.00]-[0:37:43.00]  había unas canteras de pizarra,
[0:37:43.00]-[0:37:46.00]  y unas fábricas de hacer pizarra que trabajaban
[0:37:46.00]-[0:37:50.00]  200 y pico personas y ahora van cerradas, se acabó, ya no las hay.
[0:37:50.00]-[0:37:52.00]  ¿Y había canteras en esta zona?
[0:37:52.00]-[0:37:54.00]  Canteras de pizarra, sí, canteras,
[0:37:54.00]-[0:37:57.00]  hay una aquí en la capalada llamamos,
[0:37:57.00]-[0:38:00.00]  que es de un mineral para hacer acero,
[0:38:00.00]-[0:38:04.00]  en un barco en Carimbo, que es lo que hay,
[0:38:04.00]-[0:38:07.00]  pero trabaja muy poco en esta zona.
[0:38:07.00]-[0:38:10.00]  ¿Y había minas en esta zona?
[0:38:10.00]-[0:38:13.00]  No, aquí minas no había,
[0:38:13.00]-[0:38:17.00]  esas de la capalada hoy, las minas de mineral,
[0:38:17.00]-[0:38:23.00]  ninguno cual era, aquí de piedra y pizarra, pero minas.
[0:38:23.00]-[0:38:25.00]  ¿Canteras?
[0:38:25.00]-[0:38:30.00]  Nos ha dicho que algunas de sus hermanas migró, ¿no?
[0:38:30.00]-[0:38:31.00]  Sí, sí.
[0:38:31.00]-[0:38:33.00]  ¿Y sus padres migraron?
[0:38:33.00]-[0:38:36.00]  No, mis padres tampoco no migraron nunca.
[0:38:36.00]-[0:38:38.00]  Mis padres siempre estuvieron aquí.
[0:38:38.00]-[0:38:39.00]  ¿Y sus padres no?
[0:38:39.00]-[0:38:41.00]  No, no, no, no, no, no migraron nunca.
[0:38:41.00]-[0:38:43.00]  Mi padre fue a la guerra,
[0:38:43.00]-[0:38:45.00]  pero tenía un mami, un balón de pollo,
[0:38:45.00]-[0:38:48.00]  fue a la guerra de el Cuándo Ló, y más nada,
[0:38:48.00]-[0:38:51.00]  y trabajé aquí.
[0:38:51.00]-[0:38:56.00]  Y cuéntanos, ¿cómo fue la vida de sus padres, si se acuerdan?
[0:38:56.00]-[0:38:58.00]  Más todos.
[0:38:58.00]-[0:39:01.00]  Criaron tres hijos, otros tenían más,
[0:39:01.00]-[0:39:03.00]  tenían dos niños, tenían tres,
[0:39:03.00]-[0:39:05.00]  unos los murieron, tuvieron cuatro,
[0:39:05.00]-[0:39:07.00]  y nada, tenían unas vacas,
[0:39:07.00]-[0:39:13.00]  mi padre tenía unos bueys para hacer carrera de madera,
[0:39:13.00]-[0:39:17.00]  y leña, y esas cosas, y más nada.
[0:39:17.00]-[0:39:23.00]  Y había un labrador aquí, muy poco.
[0:39:23.00]-[0:39:25.00]  ¿Se dedicaba al ganado?
[0:39:25.00]-[0:39:30.00]  Sí, sí, tenía dos vacas para la leche, para cazar, por ejemplo,
[0:39:30.00]-[0:39:34.00]  y dos bueys para trabajar, con el cargo,
[0:39:34.00]-[0:39:36.00]  eso no quería, no había más.
[0:39:36.00]-[0:39:40.00]  Y por aquí todo era así, o tenían una vaca o dos,
[0:39:40.00]-[0:39:43.00]  que tenía cuatro vacas, y era un...
[0:39:43.00]-[0:39:47.00]  como ahora se decían vacas, pero unas, tiene doscientas más.
[0:39:47.00]-[0:39:51.00]  Y antes el que tenía cuatro vacas, si vendía cuatro terneros,
[0:39:51.00]-[0:39:55.00]  al año ya casi vivía, con lo que daba el ternero.
[0:39:55.00]-[0:39:59.00]  Pero eso no se comía ternera, porque daba dinero,
[0:39:59.00]-[0:40:01.00]  era lo único que se sacaba aquí.
[0:40:01.00]-[0:40:04.00]  Después empezaba a venir, más tarde ya,
[0:40:04.00]-[0:40:09.00]  que tú y yo, la leche, entonces ya se empezaba a tener más ganado,
[0:40:09.00]-[0:40:13.00]  y el dinero de la leche no era mucho, pero era todos los meses.
[0:40:13.00]-[0:40:15.00]  No sabes, venía...
[0:40:15.00]-[0:40:18.00]  Aquel dinero venía un sueldo, todos los meses,
[0:40:18.00]-[0:40:21.00]  que el ternero no se sabe si va a venir hoy, si para el año, si para el otro,
[0:40:21.00]-[0:40:24.00]  porque no sabe si la vaca va a enfonar, si va a venir el ternero.
[0:40:24.00]-[0:40:25.00]  La leche es fija.
[0:40:25.00]-[0:40:28.00]  No era mucho, pero mucha gente venía de eso,
[0:40:28.00]-[0:40:32.00]  de vender un poco de leche y un camión claro, y ahí es.
[0:40:32.00]-[0:40:37.00]  Antes había mucha ganadería, pero ahora, ¿cómo piensa que está la ganadería?
[0:40:37.00]-[0:40:39.00]  Por aquí, acabada.
[0:40:39.00]-[0:40:44.00]  Nadie puede ver una granja o que otra por ahí arriba, un poco más adentro,
[0:40:44.00]-[0:40:47.00]  que es mal también, no le paga nada la leche y...
[0:40:47.00]-[0:40:49.00]  ¿Y por qué está?
[0:40:49.00]-[0:40:51.00]  Porque está, porque como todas las cosas,
[0:40:51.00]-[0:40:54.00]  si no se mete la política, se acaba todo.
[0:40:54.00]-[0:40:58.00]  Esto que manda y empiezan los precios son las multinacionales,
[0:40:58.00]-[0:41:03.00]  las centrales, que son de gente que manda y no nos hace caso al Gobierno,
[0:41:03.00]-[0:41:07.00]  que te ponen que van a pagar la más, que no van a poder pagar la más,
[0:41:07.00]-[0:41:08.00]  porque quieren.
[0:41:08.00]-[0:41:11.00]  Te ponen, discúlpame, que hay que tener una leche,
[0:41:11.00]-[0:41:14.00]  porque yo ya la tuve, desde hace como doce años,
[0:41:14.00]-[0:41:17.00]  después tengo unas vacas ahí, ahora ya no tengo,
[0:41:17.00]-[0:41:21.00]  pero tengo cinco, antes tenía veinte y pico vacas, pero ahora...
[0:41:21.00]-[0:41:26.00]  La leche tiene que ir muy bien, no te vale cualquier leche,
[0:41:26.00]-[0:41:29.00]  te hacen análisis de todo, de todo, de todo,
[0:41:29.00]-[0:41:32.00]  entonces si no da la bien, te das cuenta, no te paga nada.
[0:41:32.00]-[0:41:36.00]  Y aquí hubo celosomáticas o no sé qué,
[0:41:36.00]-[0:41:41.00]  hubo materia seca, hay mil cosas que no fuesen verdad, no, no,
[0:41:41.00]-[0:41:45.00]  pero antes se llevaban la leche de todas las casas, ahora nada.
[0:41:45.00]-[0:41:49.00]  La ganadería aquí se acabó, aquí no queda ninguna ganadería,
[0:41:49.00]-[0:41:51.00]  de lo que hay, nada.
[0:41:51.00]-[0:41:53.00]  ¿Y los cultivos, cómo cree que está?
[0:41:53.00]-[0:41:55.00]  Ninguno, no.
[0:41:55.00]-[0:41:59.00]  Lo más que hacíamos ahora últimamente era poner unas patatas,
[0:41:59.00]-[0:42:03.00]  ahora el año pasado dice que hubo ahí una...
[0:42:03.00]-[0:42:06.00]  que le llamaban un... no recuerdo cómo le llamaban...
[0:42:06.00]-[0:42:09.00]  bueno, un gusano que las estropeaba,
[0:42:09.00]-[0:42:11.00]  que por aquí no hubo nada de eso,
[0:42:11.00]-[0:42:14.00]  pero vieron en qué había, prohibieron de ponerlas,
[0:42:14.00]-[0:42:19.00]  la gente tenía la silla comprada, era bueno comprada,
[0:42:19.00]-[0:42:21.00]  tuvo que tirar con todo, porque si no demultaban,
[0:42:21.00]-[0:42:23.00]  si las ponías nada, pusían patatas,
[0:42:23.00]-[0:42:25.00]  y en tres años dicen que no dejan poner patatas más aquí,
[0:42:25.00]-[0:42:26.00]  que no suponan más patatas,
[0:42:26.00]-[0:42:28.00]  porque aquí ponían las patatas eran los viejos,
[0:42:28.00]-[0:42:30.00]  ningún joven que tiene que ir a trabajar a otro lado,
[0:42:30.00]-[0:42:32.00]  o a otra cosa, aquí ningún joven pone patatas,
[0:42:32.00]-[0:42:35.00]  los viejos dejan tres años de patatas y no le ponen más.
[0:42:35.00]-[0:42:38.00]  Además, era por ponerlas porque eran patatas de aquí,
[0:42:38.00]-[0:42:41.00]  porque nos gustan más, no están tratadas,
[0:42:41.00]-[0:42:44.00]  los tratamientos que se echan ahora están menos tratados,
[0:42:44.00]-[0:42:46.00]  ahora también se tratan,
[0:42:46.00]-[0:42:50.00]  pero ahora en tres años las patatas salgas baratas, compradas.
[0:42:50.00]-[0:42:54.00]  Aquí un saco de patatas de 25 kilos cuesta 8 euros,
[0:42:54.00]-[0:42:56.00]  y si le echas la cuenta a comprar la siembra,
[0:42:56.00]-[0:42:59.00]  que ya te cuesta 20 y pico euros un saco,
[0:42:59.00]-[0:43:01.00]  que la abono, que algo que las tienes que sulfatar,
[0:43:01.00]-[0:43:04.00]  cogerlas y salgas caro.
[0:43:04.00]-[0:43:08.00]  Ahora dicen, la nueva, que será verdad que pueden perderlo,
[0:43:08.00]-[0:43:11.00]  que si viene un vecino a ayudarte una hora a coger las patatas,
[0:43:11.00]-[0:43:13.00]  tienes que asegurarlo.
[0:43:13.00]-[0:43:14.00]  ¿Qué ves?
[0:43:14.00]-[0:43:15.00]  Si tú sacas esa obra,
[0:43:15.00]-[0:43:17.00]  ni si tú no te puedes ayudar a nadie,
[0:43:17.00]-[0:43:18.00]  ni para que te vuelvan a ayudar,
[0:43:18.00]-[0:43:20.00]  tienes que hacer un contrato y asegurarlo,
[0:43:20.00]-[0:43:24.00]  porque media hora le voy a ayudar a aquel lado con las patatas.
[0:43:24.00]-[0:43:27.00]  Todo al revés, para que nos estemos con nosotros.
[0:43:27.00]-[0:43:30.00]  Y si se ve, se va.
[0:43:30.00]-[0:43:31.00]  Todo es política al final.
[0:43:31.00]-[0:43:32.00]  Todo es política.
[0:43:32.00]-[0:43:34.00]  Donde se me hace la política se acaba todo.
[0:43:34.00]-[0:43:37.00]  Aquí acabaron con todo.
[0:43:37.00]-[0:43:40.00]  La ganadería después hace unos saneamientos,
[0:43:40.00]-[0:43:42.00]  mataron las vacas aquí.
[0:43:42.00]-[0:43:45.00]  Al principio decían que ponían la tuberculina,
[0:43:45.00]-[0:43:48.00]  y estaban tuberculinas en la mitad de la cosa.
[0:43:48.00]-[0:43:50.00]  A lo mejor relacionaban un poco a la vaca,
[0:43:50.00]-[0:43:51.00]  y a mí me era de otra manera.
[0:43:51.00]-[0:43:54.00]  Hay quien me va a decir, no, al martadero, al martadero.
[0:43:54.00]-[0:43:56.00]  ¡Quemarla! Dí que la quemamos.
[0:43:56.00]-[0:43:59.00]  Yo creo que la ganaban por ahí y la llevaban.
