[0:00:00.00]-[0:00:07.00]  ¿Y sin mamar?
[0:27:00.00]-[0:27:11.00]  De un golpe con la bicicleta tenemos que andar en bici 18 kilómetros.
[0:27:11.00]-[0:27:20.00]  De allá a allá y de una para acá.
[0:27:20.00]-[0:27:31.00]  Y el golpe con la bicicleta.
[0:27:31.00]-[0:27:39.00]  Y...
[0:27:39.00]-[0:27:45.00]  ¿Y qué le pasó?
[0:27:45.00]-[0:27:50.00]  Me atorció el eje.
[0:27:50.00]-[0:27:58.00]  Ando para endrenzarla pero no soy capaz.
[0:27:58.00]-[0:28:08.00]  Cojo la bicicleta al hombro, arreando por la carretera.
[0:28:08.00]-[0:28:15.00]  Y me trae una moto.
[0:28:15.00]-[0:28:22.00]  Me montó amigo la moto y la bicicleta arriba del hombro y me llevó a la ciudad.
[0:28:22.00]-[0:28:24.00]  ¿A la residencia?
[0:28:24.00]-[0:28:26.00]  Sí.
[0:28:26.00]-[0:28:30.00]  ¿Que vivía en una residencia y yo tenía una casa? ¿O era donde trabajaba?
[0:28:30.00]-[0:28:33.00]  Tenía yo una casa allí que era para todos.
[0:28:33.00]-[0:28:34.00]  ¿Era muy grande?
[0:28:34.00]-[0:28:37.00]  Claro que era grande.
[0:28:37.00]-[0:28:39.00]  ¿Costaba mucho dinero?
[0:28:39.00]-[0:28:41.00]  A mí no me costaba nada.
[0:28:41.00]-[0:28:42.00]  ¿Se lo ponía la empresa?
[0:28:42.00]-[0:28:44.00]  Claro.
[0:28:44.00]-[0:28:47.00]  ¿Y vivía solo o con otros compañeros?
[0:28:47.00]-[0:28:49.00]  Con los compañeros.
[0:28:49.00]-[0:28:52.00]  La familia mía no tenía.
[0:28:52.00]-[0:28:54.00]  ¿Por qué había mucha gente?
[0:28:54.00]-[0:28:56.00]  ¡Buf!
[0:28:56.00]-[0:29:03.00]  Había españoles y turcos y todo el día.
[0:29:03.00]-[0:29:10.00]  Me imagino que salía de menos la comida de aquí.
[0:29:10.00]-[0:29:16.00]  No sé lo que lo va a decir.
[0:29:16.00]-[0:29:27.00]  Ayer había un cocinero que era holandés y la comida alguna vez no se comía.
[0:29:27.00]-[0:29:39.00]  Una vez preparó un bacalao y por un lado tenía buena cara, pero por el otro lo quemó.
[0:29:39.00]-[0:29:49.00]  Y era el dueño de la residencia y dice, ¿qué? ¿Bien comer?
[0:29:49.00]-[0:29:51.00]  Nos callamos.
[0:29:51.00]-[0:29:54.00]  No tuve, pero no me callé.
[0:29:54.00]-[0:30:02.00]  Aquí no es bien comer. Esto es mal comer y mal hacer de comer.
[0:30:02.00]-[0:30:07.00]  Y buscó así, marchó y no volvió.
[0:30:07.00]-[0:30:10.00]  ¿Y qué cambió el cocinero?
[0:30:10.00]-[0:30:13.00]  El andaluz.
[0:30:13.00]-[0:30:14.00]  ¿El cocinero?
[0:30:14.00]-[0:30:21.00]  Sí.
[0:30:21.00]-[0:30:25.00]  ¿Y luego allí hacían fiestas también los españoles?
[0:30:25.00]-[0:30:26.00]  No.
[0:30:26.00]-[0:30:27.00]  ¿No hacían ninguna fiesta?
[0:30:27.00]-[0:30:31.00]  No.
[0:30:31.00]-[0:30:36.00]  ¿Y cuando llegó aquí a España otra vez en qué empezó? ¿En qué trabajo?
[0:30:36.00]-[0:30:38.00]  En la labranza.
[0:30:38.00]-[0:30:40.00]  En la labranza.
[0:30:40.00]-[0:30:46.00]  Aquí mi estudio era la labranza.
[0:30:46.00]-[0:30:52.00]  Con las vacas. Venga para acá y venga para allá.
[0:30:52.00]-[0:30:54.00]  ¿Te dedicas entonces toda tu vida al campo?
[0:30:54.00]-[0:31:03.00]  Sí.
[0:31:03.00]-[0:31:08.00]  ¿Y aquí por ejemplo se notó mucho el tema de la guerra civil?
[0:31:08.00]-[0:31:21.00]  Aquí no se notó casi nada, pero la gente estaba un poco acojonada.
[0:31:21.00]-[0:31:24.00]  El pánico era bastante.
[0:31:24.00]-[0:31:30.00]  La pasada es que por aquí no hubo nada.
[0:31:30.00]-[0:31:33.00]  ¿Aquí en este pueblo? ¿O dicen en esta zona?
[0:31:33.00]-[0:31:38.00]  En esta zona toda.
[0:31:38.00]-[0:31:42.00]  Pero sí que me imagino que desde llegaría noticias de por allí, ¿verdad?
[0:31:42.00]-[0:31:43.00]  Sí.
[0:31:43.00]-[0:31:53.00]  ¿Y conoció usted a alguien que sí que le hubiera afectado la guerra civil?
[0:31:53.00]-[0:31:56.00]  ¿Habías perdido algún familiar o algo así?
[0:31:56.00]-[0:31:58.00]  No, muchos.
[0:31:58.00]-[0:32:00.00]  ¿Muchos?
[0:32:00.00]-[0:32:04.00]  Esa casa que está ahí enfrente.
[0:32:04.00]-[0:32:09.00]  Me mataron dos.
[0:32:09.00]-[0:32:13.00]  ¿En la guerra?
[0:32:13.00]-[0:32:20.00]  Uno fue acribillado a tiros y el otro ahorcado.
[0:32:20.00]-[0:32:27.00]  Iban para África y echaron la vaca abajo y se jodieron.
[0:32:27.00]-[0:32:31.00]  Y el otro.
[0:32:31.00]-[0:32:36.00]  Era más malo que el hambre.
[0:32:36.00]-[0:32:43.00]  Y venía uno entregarse con los brazos arriba, sin armas.
[0:32:43.00]-[0:32:51.00]  Y le clavó un cuchillo en el vientre y lo mató en el momento.
[0:32:51.00]-[0:32:59.00]  Al día siguiente vino una bala de paso por allí y lo pilló y lo mató.
[0:32:59.00]-[0:33:03.00]  Y hasta luego Maripazpa no dijo más nada.
[0:33:03.00]-[0:33:04.00]  ¿Y quién lo mató?
[0:33:04.00]-[0:33:06.00]  La bala.
[0:33:06.00]-[0:33:08.00]  Ya, muy claro, me imagino.
[0:33:08.00]-[0:33:10.00]  ¿Quién le disparó?
[0:33:10.00]-[0:33:15.00]  No se sabe.
[0:33:15.00]-[0:33:19.00]  ¿Por qué la puerta de vidura aquí o se notó menos?
[0:33:19.00]-[0:33:24.00]  Aquí no se notó nada más que miedo.
[0:33:24.00]-[0:33:27.00]  Aquí no, pero hubo...
[0:33:27.00]-[0:33:30.00]  Bueno, no fue...
[0:33:30.00]-[0:33:33.00]  Aquí en este pueblo.
[0:33:33.00]-[0:33:38.00]  ¿En este pueblo?
[0:33:38.00]-[0:33:40.00]  ¿Había miedo?
[0:33:40.00]-[0:33:43.00]  No, miedo no.
[0:33:43.00]-[0:33:47.00]  Pero...
[0:33:47.00]-[0:33:49.00]  En que reno se levaba.
[0:33:49.00]-[0:33:53.00]  Entonces acá...
[0:33:53.00]-[0:33:57.00]  ¿Y usted ha notado que ha quemado mucho aquí las cosas en este pueblo?
[0:33:57.00]-[0:33:59.00]  De cuando usted era joven ahora.
[0:33:59.00]-[0:34:00.00]  Ya.
[0:34:00.00]-[0:34:05.00]  No ha cambiado mucho.
[0:34:05.00]-[0:34:11.00]  Está todo igual.
[0:34:11.00]-[0:34:13.00]  No cambia.
[0:34:13.00]-[0:34:15.00]  Porque aquí hay colegio.
[0:34:15.00]-[0:34:17.00]  No, no hay colegio.
[0:34:17.00]-[0:34:19.00]  ¿Atiabámente había?
[0:34:19.00]-[0:34:21.00]  Antes sí.
[0:34:21.00]-[0:34:25.00]  Una de chicas y otra de chicas.
[0:34:25.00]-[0:34:27.00]  ¿Hasta qué edad fue?
[0:34:27.00]-[0:34:32.00]  Hasta los 14.
[0:34:32.00]-[0:34:34.00]  ¿Y por qué dejó la escuela?
[0:34:34.00]-[0:34:41.00]  Porque no era mía.
[0:34:41.00]-[0:34:46.00]  ¿Y por qué no le gustaba ir a la escuela?
[0:34:46.00]-[0:34:52.00]  Al llegar a los 14 años éramos obligados a dejar la escuela.
[0:34:52.00]-[0:34:54.00]  ¿Y por qué eran obligados?
[0:34:54.00]-[0:34:59.00]  Porque tenían que meter autos.
[0:34:59.00]-[0:35:00.00]  ¿Y a usted le gustaba ir a la escuela?
[0:35:00.00]-[0:35:01.00]  No.
[0:35:01.00]-[0:35:02.00]  ¿No?
[0:35:02.00]-[0:35:05.00]  ¿Y por qué no le gusta?
[0:35:05.00]-[0:35:06.00]  ¿No le gusta estudiar?
[0:35:06.00]-[0:35:09.00]  ¿O el maestro no era malo?
[0:35:09.00]-[0:35:12.00]  No.
[0:35:12.00]-[0:35:13.00]  ¿Y les pegaban?
[0:35:13.00]-[0:35:15.00]  Sí, les pegaban.
[0:35:15.00]-[0:35:19.00]  ¿Y por qué les pegaba?
[0:35:19.00]-[0:35:21.00]  ¿Usted le pegó?
[0:35:21.00]-[0:35:23.00]  ¿Cuántas ve?
[0:35:23.00]-[0:35:24.00]  ¿Y por qué?
[0:35:24.00]-[0:35:26.00]  Cuando me pegaron a mí.
[0:35:26.00]-[0:35:30.00]  Hasta me meé por las piernas abajo una vez.
[0:35:30.00]-[0:35:32.00]  ¿Y eso?
[0:35:32.00]-[0:35:35.00]  Me dio una paliza que no quedó encima.
[0:35:35.00]-[0:35:41.00]  ¿Y por qué no hacía los deberes o algo?
[0:35:41.00]-[0:35:52.00]  Yo no sé utilizar contestación porque yo creo que no tenía razón ninguna el maestro.
[0:35:52.00]-[0:35:56.00]  Pero...
[0:35:56.00]-[0:36:00.00]  Se clavó a mí, bomba, bomba, bomba, bomba, bomba.
[0:36:00.00]-[0:36:06.00]  Y lo hacía hacer un pantalón que traía gorro que me quitó mucho.
[0:36:06.00]-[0:36:09.00]  Caray.
[0:36:09.00]-[0:36:11.00]  O sea que tenía un poco la mano larga el profesor, ¿no?
[0:36:11.00]-[0:36:12.00]  O rayo una mosca.
[0:36:12.00]-[0:36:15.00]  Sí tenía.
[0:36:15.00]-[0:36:18.00]  Pero me pegaban los chicos por cualquier cosa.
[0:36:18.00]-[0:36:23.00]  Y había maestros que se dedicaban más bien, antes que dar escuela, a otras cosas.
[0:36:23.00]-[0:36:26.00]  Y luego venían moscados por lo que fuera y cogían a los chicos.
[0:36:26.00]-[0:36:27.00]  En vez de enseñarles le...
[0:36:27.00]-[0:36:30.00]  Te dejaban solo un momento, ¿sabes?
[0:36:30.00]-[0:36:32.00]  Pero se dejaban con esa valentía.
[0:36:32.00]-[0:36:34.00]  Bueno, ya no era así tampoco.
[0:36:34.00]-[0:36:35.00]  Claro.
[0:36:35.00]-[0:36:39.00]  ¿Y que era un cura el que daba las clases o era una persona...
[0:36:39.00]-[0:36:40.00]  Era un maestro.
[0:36:40.00]-[0:36:41.00]  Era un profesor.
[0:36:41.00]-[0:36:42.00]  Era un profesor.
[0:36:42.00]-[0:36:43.00]  No era la policía, sí que era.
[0:36:43.00]-[0:36:44.00]  No.
[0:36:44.00]-[0:36:45.00]  Ajá.
[0:36:45.00]-[0:36:50.00]  ¿Y aquí el cura nunca enseñó en el medio clase?
[0:36:50.00]-[0:36:52.00]  Ni falta que...
[0:36:52.00]-[0:36:55.00]  Ni falta que...
[0:36:55.00]-[0:36:56.00]  ¿Por qué?
[0:36:56.00]-[0:37:00.00]  Porque antes tenían chicas gatequistas que hacían ir a los chicos.
[0:37:00.00]-[0:37:01.00]  ¿Cómo que no?
[0:37:01.00]-[0:37:02.00]  A Gatequesis.
[0:37:02.00]-[0:37:03.00]  Claro.
[0:37:03.00]-[0:37:05.00]  Usted fue a Gatequesis y hizo la comunión y...
[0:37:05.00]-[0:37:08.00]  Nada.
[0:37:08.00]-[0:37:13.00]  Pero al mismo tiempo era más...
[0:37:13.00]-[0:37:15.00]  Y los chicos tampoco podían seguir estudiando.
[0:37:15.00]-[0:37:18.00]  Primero porque sus padres no tenían posibilidades para mandarlos a estudiar.
[0:37:18.00]-[0:37:20.00]  Y segundo que necesitaban trabajar en el campo.
[0:37:20.00]-[0:37:22.00]  Pero porque había que pagarle al maestro.
[0:37:22.00]-[0:37:23.00]  O sea, pagaban ellos al maestro.
[0:37:23.00]-[0:37:26.00]  ¿No?
[0:37:26.00]-[0:37:28.00]  ¿El que tenía dinero estudiaba y el que no, no?
[0:37:28.00]-[0:37:29.00]  Claro.
[0:37:29.00]-[0:37:30.00]  El que no acababa de trabajar.
[0:37:30.00]-[0:37:33.00]  Pero la escuela que dice...
[0:37:33.00]-[0:37:34.00]  Los corrupciones eran gratuitas, ¿verdad?
[0:37:34.00]-[0:37:37.00]  Era gratuito, no os pagaban nada.
[0:37:37.00]-[0:37:39.00]  Ajá.
[0:37:39.00]-[0:37:41.00]  ¿Y entonces el cura vivía aquí?
[0:37:41.00]-[0:37:45.00]  Vivía.
[0:37:45.00]-[0:37:46.00]  O sea, que el cura...
[0:37:46.00]-[0:37:49.00]  El cura no viene un cura de fuera aquí a dar misa ni nada de esto.
[0:37:49.00]-[0:37:50.00]  Era el de aquí, ¿no?
[0:37:50.00]-[0:37:51.00]  Sí, vivía aquí.
[0:37:51.00]-[0:37:53.00]  Pero daba ni salvado su cuerpo.
[0:37:53.00]-[0:37:55.00]  ¿En eso habló de ahí?
[0:37:55.00]-[0:37:56.00]  No, no.
[0:37:56.00]-[0:37:57.00]  No, no.
[0:37:57.00]-[0:37:58.00]  No, no.
[0:37:58.00]-[0:37:59.00]  No, no.
[0:37:59.00]-[0:38:00.00]  No, no.
[0:38:00.00]-[0:38:01.00]  No, no.
[0:38:01.00]-[0:38:02.00]  Estaba viviendo aquí y otra vez lo hicieron.
[0:38:02.00]-[0:38:03.00]  O como era lo que...
[0:38:03.00]-[0:38:04.00]  ¿Dónde lo pillaron?
[0:38:04.00]-[0:38:05.00]  Eso no tenemos que ir, ya.
[0:38:05.00]-[0:38:06.00]  ¿Y médico había aquí también?
[0:38:06.00]-[0:38:07.00]  Sí, era este señor que no estuvo aquí.
[0:38:07.00]-[0:38:08.00]  ¿Ah, sí?
[0:38:08.00]-[0:38:09.00]  Ese era el médico.
[0:38:09.00]-[0:38:10.00]  ¿Ese era el médico?
[0:38:10.00]-[0:38:11.00]  ¿Ese era quién?
[0:38:11.00]-[0:38:12.00]  De la internación.
[0:38:12.00]-[0:38:13.00]  Ajá.
[0:38:13.00]-[0:38:14.00]  No, médico de internación tú eres.
[0:38:14.00]-[0:38:15.00]  ¿Y aquí cómo se hacían los partos?
[0:38:15.00]-[0:38:16.00]  Cuando alguien...
[0:38:16.00]-[0:38:17.00]  Sí.
[0:38:17.00]-[0:38:18.00]  Cuando alguien...
[0:38:18.00]-[0:38:19.00]  Sí.
[0:38:19.00]-[0:38:20.00]  Cuando alguien...
[0:38:20.00]-[0:38:21.00]  Sí.
[0:38:21.00]-[0:38:22.00]  Cuando alguna mujer daba luz ¿quién la ayudaba?
[0:38:22.00]-[0:38:23.00]  Pues en...
[0:38:23.00]-[0:38:24.00]  ¿En el médico?
[0:38:24.00]-[0:38:25.00]  En la tienda.
[0:38:25.00]-[0:38:26.00]  Ya se debíamos que precisábamos de él.
[0:38:26.00]-[0:38:27.00]  Y ni en el médico.
[0:38:27.00]-[0:38:28.00]  Y aquí no había comadronas ¿no?
[0:38:28.00]-[0:38:29.00]  No.
[0:38:29.00]-[0:38:30.00]  ¿O porteras?
[0:38:30.00]-[0:38:31.00]  Aquí no.
[0:38:31.00]-[0:38:32.00]  Aquí las piedras bajas y las...
[0:38:32.00]-[0:38:33.00]  O sea, ahí va directamente el médico ¿no?
[0:38:33.00]-[0:38:34.00]  Verdad.
[0:38:34.00]-[0:38:35.00]  Y muchas mujeres daban a luz solas en casa sin ayuda de nadie.
[0:38:35.00]-[0:38:36.00]  Claro.
[0:38:36.00]-[0:38:37.00]  Sí, sí, sí, sí.
[0:38:37.00]-[0:38:38.00]  Ya no hay nadie.
[0:38:38.00]-[0:38:39.00]  Sólo se veía que...
[0:38:39.00]-[0:38:40.00]  ¿Por qué no tenía médicos?
[0:38:40.00]-[0:38:41.00]  ¿Y que había mujeres?
[0:38:41.00]-[0:38:42.00]  Que era...
[0:38:42.00]-[0:38:43.00]  No, no.
[0:38:43.00]-[0:38:44.00]  No, no.
[0:38:44.00]-[0:38:45.00]  No.
[0:38:45.00]-[0:38:46.00]  No, no.
[0:38:46.00]-[0:38:47.00]  No.
[0:38:47.00]-[0:38:48.00]  No, no.
[0:38:48.00]-[0:38:53.00]  No, no.
[0:38:53.00]-[0:39:04.00]  ¿Y cómo hacían esas mujeres para ayudar?
[0:39:04.00]-[0:39:09.00]  Ayudaba a sacarle el crío.
[0:39:10.00]-[0:39:13.00]  Porque me fui yo, pero le dije a sacar a uno.
[0:39:17.00]-[0:39:20.00]  Llamaron, y estamos de vuelta con falta, llamaron,
[0:39:20.00]-[0:39:25.00]  el crío estaba dando lucro, así como a los curvas,
[0:39:25.00]-[0:39:30.00]  y yo agarré por un trozo, y se quede.
[0:39:30.00]-[0:39:33.00]  Ayudaba a tirar un poquito.
[0:39:36.00]-[0:39:38.00]  Y que se ponía agua caliente.
[0:39:38.00]-[0:39:42.00]  Sí, y después me tenía que lavar un menino en agua normal.
[0:39:44.00]-[0:39:48.00]  Y en el primero tenía que lavar todos.
[0:39:50.00]-[0:39:51.00]  ¿Cómo estás?
[0:39:51.00]-[0:39:52.00]  Hola.
[0:39:55.00]-[0:39:57.00]  ¿Qué os ha pasado?
[0:39:57.00]-[0:40:03.00]  Yo, la mariola, o el porta, pero ahorita me engasgué la partida.
[0:40:05.00]-[0:40:06.00]  Llegó a César.
[0:40:06.00]-[0:40:10.00]  Y nos daban un asalto, porque aquí no había médico.
[0:40:13.00]-[0:40:16.00]  Ah, callar, que a ti no te entienden.
[0:40:17.00]-[0:40:19.00]  A mí me entienden.
[0:40:21.00]-[0:40:24.00]  O sea que usted sí que es ya una vez de partida entonces.
[0:40:24.00]-[0:40:27.00]  Una vez en la vida.
[0:40:27.00]-[0:40:29.00]  Bueno, ya sabemos.
[0:40:29.00]-[0:40:30.00]  ¿Qué ha pasado?
[0:40:30.00]-[0:40:32.00]  No portas caña de su papá.
[0:40:32.00]-[0:40:33.00]  Ah, caña.
[0:40:34.00]-[0:40:37.00]  Que te botan una multa por andar metiendo el mono.
[0:40:38.00]-[0:40:40.00]  Sí hombre, por decir la verdad.
[0:40:42.00]-[0:40:47.00]  Es verdad, estos chicos aceptan las historias de lo que pasaba.
[0:40:47.00]-[0:40:53.00]  Para hacer comparaciones, valoran las cosas antiguas.
[0:40:56.00]-[0:40:59.00]  Eso es bueno, que se sepa.
[0:41:01.00]-[0:41:03.00]  Lo mal que lo pasaba a la gente.
[0:41:04.00]-[0:41:08.00]  Había gente a favor, no había costumbre de eso.
[0:41:09.00]-[0:41:12.00]  A veces moría, como la gente moría.
[0:41:13.00]-[0:41:15.00]  ¿Siempre hubo médico o no?
[0:41:15.00]-[0:41:17.00]  En el pueblo no.
[0:41:17.00]-[0:41:18.00]  ¿En el pueblo no?
[0:41:20.00]-[0:41:22.00]  ¿Y venía el médico de Mezquita?
[0:41:22.00]-[0:41:23.00]  Ah, claro.
[0:41:23.00]-[0:41:26.00]  ¿Y pasaba consulta un día o cuando ya se llevaban venía?
[0:41:26.00]-[0:41:29.00]  La consulta era en la Mezquita, ya había que ir allí.
[0:41:35.00]-[0:41:37.00]  ¿Cómo lo avisaban al médico?
[0:41:39.00]-[0:41:42.00]  ¿Cómo vas a entrar a los médicos si no se avisa?
[0:41:42.00]-[0:41:43.00]  ¡Hostia!
[0:41:43.00]-[0:41:48.00]  Se les mandaba una razón por alguien que siempre iba a ir a un médico.
[0:41:48.00]-[0:41:51.00]  Por la Mezquita se la vinian también, siempre estaban por ahí.
[0:41:52.00]-[0:41:53.00]  Y el médico.
[0:41:54.00]-[0:41:56.00]  Las consultas había que ir allí.
[0:41:56.00]-[0:41:57.00]  Claro.
[0:41:59.00]-[0:42:02.00]  Y si tenía que venir porque el enfermo no pudiera ir,
[0:42:02.00]-[0:42:13.00]  pues alguien, cualquier venido que fuera, lo había seguido ahí.
[0:42:14.00]-[0:42:17.00]  Tengo las castañas todas tiradas para ir adiante.
[0:42:17.00]-[0:42:19.00]  ¿Tú te querías haber asido a escoger?
[0:42:20.00]-[0:42:23.00]  Yo no cojo castañas, ni castaños.
[0:42:25.00]-[0:42:27.00]  ¿Habías cogido muchas castañas antes?
[0:42:27.00]-[0:42:28.00]  Pocas.
[0:42:28.00]-[0:42:29.00]  ¿Pocas?
[0:42:29.00]-[0:42:32.00]  ¿No escogías estas?
[0:42:32.00]-[0:42:34.00]  Sí, escogía muchas.
[0:42:34.00]-[0:42:36.00]  ¿Tú te querías hacer cansado con estas castañas?
[0:42:36.00]-[0:42:38.00]  Yo tenía que escogerlas.
[0:42:42.00]-[0:42:44.00]  ¿No les están muy chulos los riñones?
[0:42:44.00]-[0:42:46.00]  Se supone que ahora sí.
[0:42:46.00]-[0:42:50.00]  Parece que están dentro aquí con el pie dándole para que salgan.
[0:42:50.00]-[0:42:53.00]  ¿Y setas por aquí se cogen?
[0:42:53.00]-[0:42:54.00]  Sí.
[0:42:55.00]-[0:42:57.00]  Ahora he dicho boletos por aquí también.
[0:42:57.00]-[0:43:02.00]  Hay varios tipos de setas.
[0:43:02.00]-[0:43:04.00]  ¿A este año luego?
[0:43:04.00]-[0:43:05.00]  Sí.
[0:43:05.00]-[0:43:07.00]  Ahora se conocen.
[0:43:07.00]-[0:43:10.00]  Solo me atrevo a coger dos clases, pero hay quien coge muchas aquí.
[0:43:14.00]-[0:43:17.00]  ¿Cómo sería poner las setas buenas y poner las setas malas?
[0:43:17.00]-[0:43:19.00]  Yo sí lo sé, yo sí lo sé.
[0:43:19.00]-[0:43:21.00]  ¿Y cómo haces usted para diferenciarlas?
[0:43:21.00]-[0:43:23.00]  Paisas castañas.
[0:43:23.00]-[0:43:26.00]  Se cogen y se arrancan y ya está.
[0:43:26.00]-[0:43:28.00]  ¿Cuáles son las buenas y cuáles son las malas?
[0:43:28.00]-[0:43:30.00]  Porque hay algunas que son malas.
[0:43:34.00]-[0:43:37.00]  Pero las que son malas ya no las cogen.
[0:43:37.00]-[0:43:40.00]  ¿Pero sabe usted diferenciar cuáles son las buenas y cuáles son las malas?
[0:43:40.00]-[0:43:41.00]  Sí.
[0:43:41.00]-[0:43:43.00]  ¿Y cómo se diferencian?
[0:43:43.00]-[0:43:47.00]  Porque son de diferente formación.
[0:43:52.00]-[0:43:54.00]  ¿Cuáles son las que se pueden coger?
[0:43:54.00]-[0:43:57.00]  Si nosotros por ejemplo queremos ir a coger castañas ahora,
[0:43:57.00]-[0:44:00.00]  ¿os de setas cómo tendríamos que hacer?
[0:44:02.00]-[0:44:05.00]  Hostia, los que llevaron criado contigo.
[0:44:06.00]-[0:44:09.00]  Y que las pruebe antes él, porque son malas.
[0:44:09.00]-[0:44:11.00]  Tiene que ser así.
[0:44:11.00]-[0:44:14.00]  Hay que decir, esta es buena, esta no.
[0:44:16.00]-[0:44:18.00]  ¿Y usted llevaba criado?
[0:44:18.00]-[0:44:19.00]  ¿Eh?
[0:44:19.00]-[0:44:21.00]  ¿Usted llevaba criado para coger setas?
[0:44:21.00]-[0:44:26.00]  Yo no, porque yo las setas las tengo aquí de memoria, lo sé.
[0:44:29.00]-[0:44:32.00]  ¿Y aquí está, como dirían, hay alguna seta que estuviese mala?
[0:44:32.00]-[0:44:34.00]  Sí, sí, sí.
[0:44:34.00]-[0:44:36.00]  Sí, sí, alguno, pero yo digo hace mucho.
[0:44:43.00]-[0:44:45.00]  A Irmada Celso no morre.
[0:44:45.00]-[0:44:47.00]  ¿Has morrado?
[0:44:47.00]-[0:44:49.00]  Claro.
[0:44:49.00]-[0:44:52.00]  Y en las setas, eh, ¡ah!
[0:44:52.00]-[0:44:54.00]  Olvidó de respirar.
[0:44:54.00]-[0:44:56.00]  En las setas antes aquí solo se cogían unas.
[0:44:56.00]-[0:44:58.00]  El espiota no se cogía otra.
[0:45:02.00]-[0:45:04.00]  Y luego, como se puede decir,
[0:45:04.00]-[0:45:06.00]  lo tiene su pollo, ¿no?
[0:45:06.00]-[0:45:07.00]  Claro.
[0:45:07.00]-[0:45:10.00]  Y ponerlas a cocer y prepararlas y comerlas.
[0:45:10.00]-[0:45:12.00]  Más nada.
[0:45:12.00]-[0:45:14.00]  ¿Y cómo se comen aquí, asadas o...?
[0:45:14.00]-[0:45:16.00]  El aceite con unas lonchas de sal.
[0:45:16.00]-[0:45:17.00]  Ajá.
[0:45:17.00]-[0:45:19.00]  Y el jamón.
[0:45:19.00]-[0:45:23.00]  Si es que son picados de setas, le picas un poquito de panceto o jamón.
[0:45:23.00]-[0:45:25.00]  Y así está muy bien.
[0:45:25.00]-[0:45:27.00]  Luego, claro, hay que las hacer con guiso, que ya están carnes.
[0:45:27.00]-[0:45:28.00]  ¡Rábanes!
[0:45:28.00]-[0:45:30.00]  Están riquísimas.
[0:45:35.00]-[0:45:38.00]  En las setas están buenas, pero el jamón está mejor.
[0:45:38.00]-[0:45:40.00]  A lo mejor, eh.
[0:45:40.00]-[0:45:42.00]  A ver.
[0:45:44.00]-[0:45:46.00]  No, se curan aquí.
[0:45:50.00]-[0:45:53.00]  Se le echa sal, se pisan bien,
[0:45:53.00]-[0:45:56.00]  para que le salga el aire,
[0:45:56.00]-[0:45:58.00]  y después se colgan.
[0:45:58.00]-[0:46:00.00]  Se ponen de sal
[0:46:00.00]-[0:46:03.00]  y al fin se limpian.
[0:46:03.00]-[0:46:05.00]  Y se ponen de sal.
[0:46:05.00]-[0:46:07.00]  Y se ponen de sal.
[0:46:07.00]-[0:46:10.00]  Y al fin se limpian
[0:46:10.00]-[0:46:12.00]  y se colgan.
[0:46:12.00]-[0:46:15.00]  ¿Y todos se curaban o se dejaban alguno para hacer lacón?
[0:46:16.00]-[0:46:18.00]  No sé.
[0:46:18.00]-[0:46:20.00]  Los curaban todos, ¿no?
[0:46:20.00]-[0:46:22.00]  No, no los cocían.
[0:46:22.00]-[0:46:25.00]  Aquí los curaban, pero tenían 15 días de sal,
[0:46:25.00]-[0:46:27.00]  luego le limpiaban todo el sal,
[0:46:27.00]-[0:46:29.00]  echaban los productos de sal, los jamones, esos que eran,
[0:46:29.00]-[0:46:31.00]  los colgaban ahí un tiempo,
[0:46:31.00]-[0:46:33.00]  hasta que curaban.
[0:46:33.00]-[0:46:35.00]  ¿Y cuánto te va a durar?
[0:46:35.00]-[0:46:37.00]  15 días o 20.
[0:46:37.00]-[0:46:39.00]  Depende del sal y el tamaño del jamón.
[0:46:39.00]-[0:46:42.00]  Si es de 20 kilos, tienes que tenerlos un día más o dos.
[0:46:42.00]-[0:46:43.00]  Si es de 15,
[0:46:43.00]-[0:46:45.00]  es caro los días menos.
[0:46:51.00]-[0:46:53.00]  Pues aquí el lacón no se hace.
[0:46:53.00]-[0:46:55.00]  No, no se hace el jamón.
[0:46:55.00]-[0:46:57.00]  Claro.
[0:46:57.00]-[0:46:59.00]  Nosotros como lo conocemos en Madrid,
[0:46:59.00]-[0:47:01.00]  es como jamón cocido.
[0:47:01.00]-[0:47:03.00]  Aquí no se cocía.
[0:47:03.00]-[0:47:05.00]  Luego se hace el caldo con eso,
[0:47:05.00]-[0:47:07.00]  y es el propio lacón.
[0:47:07.00]-[0:47:09.00]  Lo que pasa es que nunca se cocía.
[0:47:09.00]-[0:47:11.00]  Claro, claro.
[0:47:11.00]-[0:47:13.00]  ¿Se curaba todo aquí?
[0:47:13.00]-[0:47:15.00]  No, pero aquí, en lo que dices, el jamón es...
[0:47:15.00]-[0:47:17.00]  El jamón era...
[0:47:17.00]-[0:47:19.00] ...para el verano, para los trabajos,
[0:47:19.00]-[0:47:21.00]  para... ¿entiendes?
[0:47:21.00]-[0:47:23.00]  A lo mejor vienes de trabajar y no hay tiempo de hacer la comida.
[0:47:23.00]-[0:47:25.00]  Andarán a su alrededor, que es la recolección de hierba, de...
[0:47:25.00]-[0:47:27.00]  Lo más práctico es cortar una loncha de jamón,
[0:47:27.00]-[0:47:29.00]  un cachopán, un vino y cualquier otra cosa y ya no.
[0:47:29.00]-[0:47:31.00]  Y volver a marchar.
[0:47:31.00]-[0:47:33.00]  Claro.
