[0:00:00.00]-[0:00:04.00]  ¿Cómo mataban a... perdón.
[0:19:10.00]-[0:19:14.00]  Antes eran muy severos con nosotros y muchísimas cosas no nos dejaban hacer.
[0:19:14.00]-[0:19:19.00]  Ni nos podíamos juntar, ves ahora que es mixto, en los colegios, no nos podíamos juntar con los niños.
[0:19:19.00]-[0:19:27.00]  Si nos juntaban con ellos, nos veían estar con ellos, nos castigaban.
[0:19:27.00]-[0:19:33.00]  No nos dejaban venir a casa a comer, nos tenían en las escuelas muchas veces castigados y nos dejaban.
[0:19:33.00]-[0:19:37.00]  Nos cerraban allí, nos tenían cerrados, sí, sí, sí.
[0:19:37.00]-[0:19:39.00]  Eso nos han hecho muchísimas veces.
[0:19:39.00]-[0:19:48.00]  Muchas cosas, unas cosas así muy severas y muy tontas, porque eso hoy día que es mixta, todas las escuelas y todo, a mí eso no me gustaba.
[0:19:48.00]-[0:19:51.00]  ¿Y qué hacía hacer el maestro a la escuela?
[0:19:51.00]-[0:19:54.00]  Cuando no os dejaba venir aquí por ejemplo, ¿qué hacíais allí?
[0:19:54.00]-[0:19:59.00]  Pues allí cerrados, pues que hacíamos, pues muchas cosas que no debíamos, los que no quedábamos, porque estábamos jugando.
[0:19:59.00]-[0:20:05.00]  Y hacíamos como antes, antes no era con bols y nada, era con tinteros, con plumas.
[0:20:05.00]-[0:20:12.00]  Hacíamos, pues tirábamos la tinta, estropeábamos muchísimo las tizas, siempre escribiendo en la pizarra.
[0:20:12.00]-[0:20:16.00]  Y cosas así que luego a lo mejor llegaban y nos pegaban.
[0:20:16.00]-[0:20:18.00]  Y os obligaba algo.
[0:20:21.00]-[0:20:25.00]  A ver, ¿y los niños en clase chillaban o atendían entonces, en aquella época?
[0:20:25.00]-[0:20:31.00]  En aquella época ni se chillaba ni… se chillaba y vamos, y hacíamos de todo.
[0:20:31.00]-[0:20:35.00]  No hacíamos caso al maestro casi nunca.
[0:20:35.00]-[0:20:42.00]  ¿Recuerda algún caso de algo que usted, que hicieras o no hicieras en clase, que te mandaran hacer?
[0:20:42.00]-[0:20:44.00]  Hacer, a ver…
[0:20:44.00]-[0:20:46.00]  ¿Por algún castigo?
[0:20:46.00]-[0:20:50.00]  ¿Castigo? Sí, castigo, me han quedado muchas fedales ahí sin comer.
[0:20:50.00]-[0:20:52.00]  Anda, que sí me han castigado.
[0:20:52.00]-[0:20:55.00]  Y ponernos con los libros así en las manos y de rodillas mucho tiempo,
[0:20:55.00]-[0:20:58.00]  no que los otros estaban leyendo o haciendo deberes.
[0:20:58.00]-[0:21:01.00]  Vamos, deberes muy pocos, porque nos hacíamos pocos deberes.
[0:21:01.00]-[0:21:07.00]  Nos mandaban hacer muy pocos deberes, pero bueno, si ayer, lo que era en clase, porque era muy poco tiempo,
[0:21:07.00]-[0:21:09.00]  pero si no hacíamos caso, te caminó.
[0:21:09.00]-[0:21:10.00]  ¡Estás castigada!
[0:21:10.00]-[0:21:15.00]  Te ponían allá un rincón con los brazos así, con los libros, nos ponían libros así.
[0:21:15.00]-[0:21:17.00]  Y nos hacían de estar todo el tiempo así.
[0:21:17.00]-[0:21:18.00]  ¿Mucho tiempo?
[0:21:18.00]-[0:21:21.00]  Mucho tiempo, sí, sí, bastante tiempo nos hacían de estar.
[0:21:21.00]-[0:21:23.00]  Lo mismo estaba una hora que estaban.
[0:21:23.00]-[0:21:27.00]  ¿Y animaban mucho los maestros a estudiar a los niños como hoy?
[0:21:27.00]-[0:21:29.00]  Nada, no animaban nada.
[0:21:29.00]-[0:21:36.00]  Lo primero es que ellos ni atendían a enseñarlos nada, absolutamente, en mi época, nada.
[0:21:37.00]-[0:21:43.00]  ¿Y a sus hijos, familia, animó el maestro a estudiar?
[0:21:43.00]-[0:21:44.00]  ¿A mis hijos?
[0:21:44.00]-[0:21:45.00]  Sí.
[0:21:45.00]-[0:21:46.00]  Sí, a mis hijos.
[0:21:46.00]-[0:21:47.00]  ¿Y a los maestros les enseñaba?
[0:21:47.00]-[0:21:52.00]  Sí, y ya los obligaban, no es como nosotros, que si no queríamos ir, a mí no me han obligado nunca,
[0:21:52.00]-[0:21:53.00]  ni nos han obligado nunca.
[0:21:53.00]-[0:21:59.00]  Si no queríamos ir, no, nunca nos han obligado, que jamás, nunca nos han obligado.
[0:21:59.00]-[0:22:03.00]  Si queríamos ir, íbamos, y si no íbamos, no teníamos falta como ahora.
[0:22:03.00]-[0:22:06.00]  Ahora a los que no van les ponen falta, pero antes no nos ponían falta.
[0:22:06.00]-[0:22:08.00]  ¿Y tú has obligado a tus hijos a que vayan?
[0:22:08.00]-[0:22:12.00]  Yo a mis hijos es que no los he tenido que obligar, mis hijos han ido bien.
[0:22:12.00]-[0:22:19.00]  Mis hijos han ido siempre y mis hijos, hombre, ya tienen falta y ellos no han podido,
[0:22:19.00]-[0:22:23.00]  que no han faltado nunca porque con eso que los ponen falta, antes como no nos ponían falta,
[0:22:23.00]-[0:22:25.00]  pues faltábamos todas las veces que queríamos.
[0:22:25.00]-[0:22:29.00]  Si teníamos que ir a hacer algo, ayudarlos a los padres, nos íbamos al colegio.
[0:22:29.00]-[0:22:33.00]  Si decían los padres, hoy hay que ir aquí o a secar esto o a hacer lo otro,
[0:22:33.00]-[0:22:37.00]  o a coger aceitunas en el tiempo de las aceitunas, pues hoy no íbamos a clase.
[0:22:37.00]-[0:22:39.00]  O sea que los padres tampoco se han llevado.
[0:22:39.00]-[0:22:43.00]  Los padres no, pero luego ya hubo una época, luego ya después que nosotros,
[0:22:43.00]-[0:22:49.00]  que ya es que obligaban a… era derecho ahí todo, hijos de pastores, hijos de ganaderos,
[0:22:49.00]-[0:22:55.00]  hijos de toda la gente, ya los obligaban, los pagaban un subsidio que se llamaba antiguamente,
[0:22:55.00]-[0:23:01.00]  que estaban a los hijos, a los padres, los daban un subsidio para que los chicos aprendieran y las chicas.
[0:23:01.00]-[0:23:07.00]  Sí, claro, pero en nuestra época no nos daban nada los padres.
[0:23:07.00]-[0:23:12.00]  Pero luego ya últimamente, luego ya otra generación después que yo,
[0:23:12.00]-[0:23:16.00]  ya empezaron a dar como un subsidio que lo llamaban,
[0:23:16.00]-[0:23:21.00]  y entonces ya los obligaban a los padres que tenían que ir los hijos y hasta los 14 años al colegio.
[0:23:21.00]-[0:23:22.00]  Obligatorio.
[0:23:22.00]-[0:23:23.00]  Y a ti no te obligaban.
[0:23:23.00]-[0:23:26.00]  Y a mí no me obligaban, y entonces nuestros padres nos quitaban,
[0:23:26.00]-[0:23:32.00]  si eran a mis hermanos los quitaban para ir hoy con unas vacas, mañana con unos cerdos,
[0:23:32.00]-[0:23:36.00]  hoy con unas ovejas, mañana a coger unas aceitunas o a secar, y nos quitaban.
[0:23:36.00]-[0:23:37.00]  ¿Qué nos quitaban?
[0:23:37.00]-[0:23:45.00]  Y como los maestros no los obligaban, pues ya está, ni nos ponían falta, ni nos obligaban a nada, pues faltábamos.
[0:23:45.00]-[0:23:48.00]  No como ya mis hijos, que mis hijos es diferente.
[0:23:48.00]-[0:23:52.00]  Es distinto, ya la educación de ahora es distinta.
[0:23:52.00]-[0:23:57.00]  ¿Y tú recuerdas si tus padres te animaron a que te quedaras en el pueblo, aquí a vivir?
[0:23:57.00]-[0:24:00.00]  Claro que me quedaba, me animaron.
[0:24:00.00]-[0:24:02.00]  Sí que me animaron, sí.
[0:24:02.00]-[0:24:03.00]  ¿Y a tus hermanos?
[0:24:03.00]-[0:24:08.00]  A mis hermanos no, dijeron que se iban y se fueron, pero a mí sí que me animaron a quedarme aquí.
[0:24:08.00]-[0:24:13.00]  Bueno, fue diferente, yo también me eché novio de aquí y ya no me fui.
[0:24:13.00]-[0:24:16.00]  Ya me casé aquí y ya me quedé aquí.
[0:24:16.00]-[0:24:20.00]  ¿Aquí a los niños cómo se les llama, críos o no?
[0:24:20.00]-[0:24:24.00]  Pues críos o niños, niños y críos, según,
[0:24:24.00]-[0:24:27.00]  unos tenemos costumbre de decir niños y otros críos.
[0:24:27.00]-[0:24:30.00]  ¿Y qué te decías, aquí había médicos?
[0:24:30.00]-[0:24:33.00]  Sí, siempre hemos tenido médicos, siempre, siempre.
[0:24:33.00]-[0:24:36.00]  Pero un médico de aquí mismo, del pueblo.
[0:24:36.00]-[0:24:37.00]  ¿Livía aquí?
[0:24:37.00]-[0:24:41.00]  Sí, es que era el médico de aquí, que era él que estudió la carrera de médico y ha sido médico.
[0:24:41.00]-[0:24:43.00]  Y de huesos era extraordinario.
[0:24:43.00]-[0:24:46.00]  Encima era de huesos extraordinario.
[0:24:46.00]-[0:24:48.00]  ¿Y cómo se avisaba el médico?
[0:24:48.00]-[0:24:51.00]  Pues ibas a avisarle si tenías algún enfermo y no podía ir, que estuvieran en cama,
[0:24:51.00]-[0:24:54.00]  ibas a su casa y venías a visitarle.
[0:24:54.00]-[0:24:57.00]  Y luego en su casa pasabas consulta.
[0:24:57.00]-[0:24:58.00]  ¿Livía muy lejos?
[0:24:58.00]-[0:25:01.00]  No, ahí en la plaza, muy cerquita.
[0:25:01.00]-[0:25:02.00]  ¿Y había enfermera?
[0:25:02.00]-[0:25:05.00]  No, nada, nada de enfermera, solo el médico.
[0:25:05.00]-[0:25:07.00]  ¿Y matrona?
[0:25:07.00]-[0:25:11.00]  No, esas eran las señoras que tenían un poco afición.
[0:25:11.00]-[0:25:17.00]  Eso eran dos señoras, que había aquí en el pueblo, que era afición a ellos
[0:25:17.00]-[0:25:20.00]  y eran las que ayudaban a las señoras a tenerlo.
[0:25:20.00]-[0:25:22.00]  A mí me ayudaron cuando el primero.
[0:25:22.00]-[0:25:23.00]  ¿Aquí los tuviste todos?
[0:25:23.00]-[0:25:25.00]  Yo los tuve aquí cuando el primero.
[0:25:25.00]-[0:25:27.00]  ¿Y cómo se avisaba?
[0:25:27.00]-[0:25:31.00]  Pues cuando ya te ponías mala ibas a avisarla y era aquí, vecina mía, muy cerquita.
[0:25:31.00]-[0:25:35.00]  Ahora que se ha puesto mala venía y te ayudaba a tener al crío
[0:25:35.00]-[0:25:39.00]  y ella te cortaba el cordón.
[0:25:39.00]-[0:25:41.00]  Ay, ahora os dejo el calcio.
[0:25:41.00]-[0:25:44.00]  ¿Y atendía a todo el mundo?
[0:25:44.00]-[0:25:46.00]  No, no, a todas, a todas.
[0:25:46.00]-[0:25:51.00]  Ya últimamente cuando yo solo se quedó esa, ya se ha muerto.
[0:25:51.00]-[0:25:53.00]  Pero es que no la daba miedo.
[0:25:53.00]-[0:25:54.00]  Te atendía extraordinariamente.
[0:25:54.00]-[0:25:57.00]  ¿Y tú recordas a alguno que no atendía a todos?
[0:25:57.00]-[0:25:59.00]  No, no, era a todo el mundo.
[0:25:59.00]-[0:26:03.00]  Ellas atendían, las llamabas y de camino iban a atender a cualquiera.
[0:26:03.00]-[0:26:05.00]  ¿Aquí a las matronas cómo se las llama?
[0:26:05.00]-[0:26:06.00]  Matronas.
[0:26:06.00]-[0:26:08.00]  ¿Y cobraban algo, las matronas?
[0:26:08.00]-[0:26:09.00]  Nada.
[0:26:09.00]-[0:26:11.00]  Estas eran voluntarias sin cobrar nada.
[0:26:11.00]-[0:26:16.00]  Si las querías dar algo se lo daba y si no, siempre se las daba algo de casa.
[0:26:16.00]-[0:26:21.00]  A lo mejor si huevos, chorizo, cosas que tuvieras de casa pues las ayudabas.
[0:26:21.00]-[0:26:23.00]  Dinero no te cobraban nunca.
[0:26:23.00]-[0:26:25.00]  ¿Era todo en el pueblo?
[0:26:25.00]-[0:26:27.00]  Si, antiguamente todo en el pueblo.
[0:26:27.00]-[0:26:30.00]  Pero tú no te viste aquí en todo, ¿no?
[0:26:30.00]-[0:26:35.00]  Yo no, eso es porque vivía mi madre, pero al no tener los otros, cuando mi madre se murió,
[0:26:35.00]-[0:26:40.00]  como los otros los tuve después, pues yo ya me fui a Talavera y me atendieron en Talavera.
[0:26:40.00]-[0:26:43.00]  Pero cuando el primero, como vivía mi madre, pues fue a quien era.
[0:26:43.00]-[0:26:47.00]  La llamó esa y dijo que, ojo, ájale, y aquí fue.
[0:26:47.00]-[0:26:48.00]  Y para adelante.
[0:26:48.00]-[0:26:50.00]  Y como fue bien todo.
[0:26:50.00]-[0:26:54.00]  Hombre, si venía mal llamaban al médico, que había médicos del pueblo, también venía.
[0:26:54.00]-[0:26:56.00]  El otro, el que era el especialista médico.
[0:26:56.00]-[0:26:58.00]  Claro, lo que era el médico, médico.
[0:26:58.00]-[0:27:03.00]  Si venía algo mal llamaban al médico más a la matrona, a las dos.
[0:27:03.00]-[0:27:05.00]  Pero vamos que esas eran aficionadas.
[0:27:05.00]-[0:27:07.00]  No eran expertas.
[0:27:07.00]-[0:27:09.00]  No eran expertas, no, no, no.
[0:27:09.00]-[0:27:14.00]  Esas eran aficionadas que las gustaba de eso, de recoger niños y ya está.
[0:27:14.00]-[0:27:17.00]  ¿Aquí el cordón umbilical cómo se le llama?
[0:27:17.00]-[0:27:18.00]  Así, no tiene nombre especial.
[0:27:18.00]-[0:27:20.00]  ¿El umbilical también?
[0:27:20.00]-[0:27:21.00]  También, también.
[0:27:21.00]-[0:27:23.00]  ¿No ya sabes que era un opulo que ya no le daba?
[0:27:23.00]-[0:27:28.00]  Y ella venía todos los días a vestírtelé y a pañarle al niño, a vialer el ombliguito bien.
[0:27:28.00]-[0:27:31.00]  Le daba con aceite y se lo apañaba muy bien todo.
[0:27:31.00]-[0:27:34.00]  Hasta que la tripita se secaba y la tiraba.
[0:27:34.00]-[0:27:37.00]  Venía todos los días a arreglarle al niño, a bañarle y todo.
[0:27:37.00]-[0:27:38.00]  ¿Cuánto tiempo venía?
[0:27:38.00]-[0:27:40.00]  Hasta que tiraba el cordón ese.
[0:27:40.00]-[0:27:42.00]  O sea que se preocupaban de...
[0:27:42.00]-[0:27:47.00]  Se preocupaban de venir todos y apañarte a ti, a lavarte y eso, sí, sí.
[0:27:47.00]-[0:27:48.00]  Ya todos los días.
[0:27:48.00]-[0:27:49.00]  ¿Y ya se ha muerto esa mujer?
[0:27:49.00]-[0:27:51.00]  Sí, ya se ha muerto.
[0:27:51.00]-[0:27:52.00]  No hace mucho.
[0:27:52.00]-[0:27:53.00]  ¿Ya le ha ayudado mucha gente aquí?
[0:27:53.00]-[0:27:55.00]  ¡Uy! A todos los niños del pueblo.
[0:27:55.00]-[0:27:56.00]  ¿A todos?
[0:27:56.00]-[0:27:57.00]  A todos, a todos.
[0:27:57.00]-[0:28:01.00]  ¿Y se asustaban aquí la gente con los partos y con la...
[0:28:01.00]-[0:28:04.00]  No, no porque estaban acostumbrados a eso y no se asustaban.
[0:28:04.00]-[0:28:07.00]  ¿Y con las enfermedades aquí en el pueblo se asustaban mucho?
[0:28:07.00]-[0:28:13.00]  No, tampoco porque, bueno, ya últimamente sí era cosa más grave si iba hasta la vera.
[0:28:13.00]-[0:28:17.00]  Como el médico ya te echaba hasta un volante y ya te ibas hasta la vera, pero vamos.
[0:28:17.00]-[0:28:20.00]  La cosa es fácil y los críos fácil, pues aquí les tenía.
[0:28:20.00]-[0:28:24.00]  Si venía mal, pues te mandaban hasta la vera, pero si no...
[0:28:24.00]-[0:28:28.00]  ¿Tú recuerdas a algún marido especialmente preocupado o asustado?
[0:28:28.00]-[0:28:30.00]  ¡Uy! Ninguno, no estaban aquí.
[0:28:30.00]-[0:28:32.00]  No estaban aquí nunca.
[0:28:32.00]-[0:28:34.00]  Yo le tuve primero y no estuvo aquí conmigo.
[0:28:34.00]-[0:28:35.00]  ¿Que estaba trabajando?
[0:28:35.00]-[0:28:39.00]  Claro, trabajando en el campo y cuando venían a lo mejor ya lo habían tenido y ni se enteraban.
[0:28:39.00]-[0:28:41.00]  Yo por lo menos a mí lo pasó eso.
[0:28:41.00]-[0:28:45.00]  Cuando llegó, que fue por la noche, a las 11 de la noche, cuando llegó ya tenía yo el niño.
[0:28:45.00]-[0:28:50.00]  Así que los maridos no, ya últimamente sí porque ya van contigo.
[0:28:50.00]-[0:28:55.00]  Si fuera, como a mí me pasó ya cuando los otros, pues ya sí viene contigo y eso, pero vamos.
[0:28:55.00]-[0:29:01.00]  ¿Y si te pasaba algo, las matronas esperaban a que llegara el médico o ellas mismas te...
[0:29:01.00]-[0:29:03.00]  Ellas mismas te apañaban y eso.
[0:29:03.00]-[0:29:09.00]  Hombre, si venía mal, que viniera mal siempre llamaban al médico porque se les daba miedo por si alguna cosa.
[0:29:09.00]-[0:29:14.00]  Algunos venían a lo mejor, unos se rodeaban o otros venían que no venían de cara o de culo,
[0:29:14.00]-[0:29:19.00]  que siempre venía a lo mejor uno, pues llamaban al médico, pero si no ellas se apañaban, solas.
[0:29:19.00]-[0:29:20.00]  Ellas juraban a la...
[0:29:20.00]-[0:29:21.00]  Sí, sí, ellas, ellas.
[0:29:21.00]-[0:29:22.00]  Ya tenían que atrevido.
[0:29:22.00]-[0:29:24.00]  Uy, es muy atrevida.
[0:29:24.00]-[0:29:28.00]  Y no les daba miedo. Era una señora que no les daba miedo.
[0:29:28.00]-[0:29:31.00]  ¿Y qué obligaciones tenía un niño antiguamente?
[0:29:31.00]-[0:29:36.00]  Ningún. Los niños, obligaciones de qué, de sobre qué.
[0:29:36.00]-[0:29:40.00]  ¿En la familia, en la casa alguna obligación tenían?
[0:29:40.00]-[0:29:41.00]  Ningún.
[0:29:41.00]-[0:29:42.00]  ¿Y una niña?
[0:29:42.00]-[0:29:44.00]  Sí, las niñas sí.
[0:29:44.00]-[0:29:45.00]  O sea, los niños no tenían...
[0:29:45.00]-[0:29:48.00]  Los niños no, pero las niñas sí tenían muchas obligaciones.
[0:29:48.00]-[0:29:52.00]  Antiguamente que no había agua aquí en el pueblo había que ir todas las niñas con una botijita por agua
[0:29:52.00]-[0:29:54.00]  y a muchas cosas las mandaban.
[0:29:54.00]-[0:29:55.00]  ¿Y aquí qué obligaciones tenías?
[0:29:55.00]-[0:29:56.00]  Pues eso.
[0:29:56.00]-[0:29:57.00]  Las niñas.
[0:29:57.00]-[0:30:01.00]  Las niñas. Por ejemplo, ir a por agua, ir a muchos sitios que nos mandaban los niños.
[0:30:01.00]-[0:30:06.00]  Bueno, los niños hasta con los padres sí iban al campo y a cosas de esas.
[0:30:06.00]-[0:30:09.00]  A trillar, como he dicho, pues los mandaban a los niños.
[0:30:09.00]-[0:30:13.00]  Los mandaban trillar, que eso era cosa de niños.
[0:30:13.00]-[0:30:16.00]  Y a las niñas ir a por agua.
[0:30:16.00]-[0:30:20.00]  Y a muchas cosas así nos mandaban de ahí porque había que salir todo fuera.
[0:30:20.00]-[0:30:24.00]  No es como ahora que tenemos agua ya aquí en el pueblo, todo agua corriente.
[0:30:24.00]-[0:30:28.00]  Pero antes teníamos que salir a muchas cosas fuera.
[0:30:28.00]-[0:30:34.00]  Y a los melonares, cuando criábamos, sembrábamos sandías, melones y todo esto nos mandaban también.
[0:30:41.00]-[0:30:44.00]  ¿Y había que obedecer a los padres más que ahora?
[0:30:44.00]-[0:30:46.00]  Sí, se los obedecía más.
[0:30:46.00]-[0:30:49.00]  Ahora no se los obedece nada.
[0:30:49.00]-[0:30:52.00]  Ahora en telecamino te dicen que soy mayor de edad y antes,
[0:30:52.00]-[0:30:55.00]  hasta que nos hemos casado obedeciendo a los padres.
[0:30:55.00]-[0:30:58.00]  Pero ahora ya no los obedece nadie.
[0:30:58.00]-[0:31:01.00]  ¿Y tú recuerdas alguna vez de haber desobedecido a tu padre?
[0:31:01.00]-[0:31:04.00]  No, porque yo no era desobediente.
[0:31:04.00]-[0:31:05.00]  ¿Y a tu madre?
[0:31:05.00]-[0:31:06.00]  Tampoco.
[0:31:06.00]-[0:31:07.00]  ¿Y a tus abuelos?
[0:31:07.00]-[0:31:10.00]  Nunca los he dicho que no. A todas las cosas que me han mandado he ido.
[0:31:10.00]-[0:31:12.00]  Si me gustaba, como si no.
[0:31:12.00]-[0:31:13.00]  ¿Tú vivías con tus abuelos?
[0:31:13.00]-[0:31:16.00]  Sí, viví todos juntos.
[0:31:16.00]-[0:31:17.00]  ¿Los padres, los abuelos?
[0:31:17.00]-[0:31:21.00]  Los padres, mis hermanos, éramos ocho personas en la casa.
[0:31:21.00]-[0:31:23.00]  ¿Y teníais repartidas las funciones cada uno?
[0:31:23.00]-[0:31:26.00]  Cada uno. Cada uno teníamos nuestras funciones, sí.
[0:31:26.00]-[0:31:30.00]  Nosotros nos tocaba, a mí y a mi hermana, hacer todas las cosas de la casa,
[0:31:30.00]-[0:31:33.00]  hacer las camas, pasar los suelos, hacer todo eso.
[0:31:33.00]-[0:31:37.00]  Ir a por el agua, que era obligatorio, ir a lavar fuera.
[0:31:37.00]-[0:31:41.00]  En tiempo invierno a los arroyos y en tiempo verano a los pozos.
[0:31:41.00]-[0:31:45.00]  Ibamos a pillar que había de piedra y allí lavábamos.
[0:31:45.00]-[0:31:49.00]  Y a mi madre, por la tocaba guisada, para que nosotros no fuéramos, que no podía ser.
[0:31:49.00]-[0:31:50.00]  Cada uno teníamos nuestro.
[0:31:50.00]-[0:31:54.00]  Y mis hermanos y mi padre pues en el campo, a su ganado.
[0:31:54.00]-[0:31:58.00]  A las vacas que tenían, a los cerdos y a todas las cosas.
[0:31:58.00]-[0:32:02.00]  A tendelas y a las ovejas y a las mulas y esas cosas.
[0:32:02.00]-[0:32:05.00]  Todos teníamos nuestras obligaciones antiguas.
[0:32:05.00]-[0:32:07.00]  Ahora también.
[0:32:07.00]-[0:32:09.00]  Ahora también, pero ya menos.
[0:32:09.00]-[0:32:10.00]  Ya más cómodas.
[0:32:10.00]-[0:32:11.00]  Son distintas.
[0:32:11.00]-[0:32:13.00]  Ya tenemos lavadoras, ya no tenemos que lavar.
[0:32:13.00]-[0:32:14.00]  Eso es verdad.
[0:32:14.00]-[0:32:17.00]  Ya no teníamos que ir a lavar fuera.
[0:32:17.00]-[0:32:20.00]  Todos los días no, porque no se lavaba tanto como ahora.
[0:32:20.00]-[0:32:23.00]  Pero bueno, íbamos todas las semanas.
[0:32:23.00]-[0:32:27.00]  ¿Y entonces qué no se dejaba hacer a los jóvenes?
[0:32:27.00]-[0:32:31.00]  Pues no sé, porque la vida de entonces era diferente.
[0:32:31.00]-[0:32:33.00]  Teníamos baile, teníamos cine.
[0:32:33.00]-[0:32:39.00]  Aquí no teníamos que salir y no nos podían decir los padres, no vayas aquí o no vengas aquí.
[0:32:39.00]-[0:32:42.00]  Éramos muchos en el pueblo, mucha juventud.
[0:32:42.00]-[0:32:44.00]  Pues nosotros no salíamos a ningún pueblo de fuera.
[0:32:44.00]-[0:32:51.00]  No nos tenían que decir como hoy día que me voy a la discoteca fuera, porque teníamos cine y baile.
[0:32:51.00]-[0:32:59.00]  No nos podíamos desobedecer o si acaso alguna vez que había alguna fiesta en algún pueblo que quisiéramos ir no nos dejábamos.
[0:32:59.00]-[0:33:00.00]  Había menos libertad.
[0:33:00.00]-[0:33:01.00]  Había menos libertad.
[0:33:01.00]-[0:33:02.00]  No nos dejaban.
[0:33:02.00]-[0:33:05.00]  Y a las chicas no nos dejaban salir solas.
[0:33:05.00]-[0:33:07.00]  ¿Y cómo salía ese entonces?
[0:33:07.00]-[0:33:09.00]  Es que no nos dejaban.
[0:33:09.00]-[0:33:11.00]  Si salíamos tenía que ser con los hermanos.
[0:33:11.00]-[0:33:18.00]  Si íbamos a algún pueblo así o con gente, pero sola, las chicas jóvenes solas y si a un pueblo así de fiesta nos han dejado.
[0:33:18.00]-[0:33:23.00]  A los pueblos que íbamos andando, que estuvieran cerca y por el día, que por la noche nada.
[0:33:23.00]-[0:33:24.00]  De noche nada.
[0:33:24.00]-[0:33:29.00]  Si íbamos a los pueblos de la fiesta era por la tarde un poquito que había baile, a bailar y a los apartados.
[0:33:29.00]-[0:33:30.00]  ¿Y a los chicos si les dejaban?
[0:33:30.00]-[0:33:31.00]  A los chicos sí salían.
[0:33:31.00]-[0:33:32.00]  A los chicos sí.
[0:33:32.00]-[0:33:35.00]  Yo y mis hermanos íbamos a las fiestas de los pueblos de por aquí.
[0:33:35.00]-[0:33:38.00]  Pero andando, que entonces ni coches ni nada.
[0:33:38.00]-[0:33:39.00]  Andando íbamos.
[0:33:39.00]-[0:33:42.00]  ¿Y a qué se obligaba a ver a los jóvenes?
[0:33:42.00]-[0:33:44.00]  ¿Qué se obligaba a ver a los jóvenes?
[0:33:44.00]-[0:33:47.00]  Sí, se les obligaba algo a los jóvenes en aquella época.
[0:33:47.00]-[0:33:49.00]  Tampoco.
[0:33:49.00]-[0:33:50.00]  Tampoco.
[0:33:50.00]-[0:33:52.00]  Entonces no se los obligaba a...
[0:33:52.00]-[0:33:54.00]  ¿Y a qué hora hacían volver a casa?
[0:33:54.00]-[0:33:55.00]  Muy temprano.
[0:33:55.00]-[0:33:58.00]  A las doce ya teníamos que estar en casa los días de la fiesta.
[0:33:58.00]-[0:34:00.00]  A las doce de la noche.
[0:34:00.00]-[0:34:01.00]  Sí.
[0:34:01.00]-[0:34:05.00]  Y cuando salíamos del cine, si era a las once se terminaba, pues a las once.
[0:34:05.00]-[0:34:08.00]  Nosotros salíamos del cine y derechita a nuestra casa.
[0:34:08.00]-[0:34:11.00]  Si duraba una hora, dos horas la película, luego duraba.
[0:34:11.00]-[0:34:13.00]  ¿Y dejabas más a los chicos? ¿O no?
[0:34:13.00]-[0:34:14.00]  Sí, no.
[0:34:14.00]-[0:34:18.00]  Entonces en nuestra época ni se iba a los bares casi ni nada.
[0:34:18.00]-[0:34:20.00]  Luego ya se empezó...
[0:34:20.00]-[0:34:25.00]  Luego ya cuando empezó las televisiones y las cosas, ya empezamos a ir a los bares.
[0:34:25.00]-[0:34:28.00]  Pero entonces eran más los hombres los que iban a los bares, a los primeros.
[0:34:28.00]-[0:34:33.00]  Luego ya cuando yo he sido más mayor, ya sí íbamos un poquito por las tardes al bar,
[0:34:33.00]-[0:34:36.00]  a ver la televisión, porque aquí en los pueblos no había televisión.
[0:34:36.00]-[0:34:42.00]  En un bar que hay que comprar una televisión íbamos un poquito a verla por las tardes.
[0:34:42.00]-[0:34:44.00]  Los hombres eran los únicos que iban al bar.
[0:34:44.00]-[0:34:47.00]  Las mujeres entonces en aquella época no se iban al bar.
[0:34:47.00]-[0:34:48.00]  Y que los dejaban más tarde, ¿no?
[0:34:48.00]-[0:34:52.00]  Y los dejaban más tarde. Nosotros a las doce a casita.
[0:34:52.00]-[0:34:54.00]  ¿Y a qué edad dejaban casarse?
[0:34:54.00]-[0:34:56.00]  No, eso según.
[0:34:56.00]-[0:34:57.00]  ¿Cómo que según?
[0:34:57.00]-[0:35:02.00]  Que según... Yo me casé a los 27 años y otros a lo mejor se casaban a los 23.
[0:35:02.00]-[0:35:06.00]  La edad de casarte no había edad.
[0:35:06.00]-[0:35:10.00]  Cada una cuando las apetecía o cuando los parecía bien.
[0:35:10.00]-[0:35:13.00]  Yo no me casé nada más de 26 años justo.
[0:35:13.00]-[0:35:15.00]  ¿Y aquí te obligaban a casarte?
[0:35:15.00]-[0:35:18.00]  No, no, no. Cuando yo dispuse a casarme a mí no me dijeron nada.
[0:35:18.00]-[0:35:21.00]  Cuando nosotros dijimos nos vamos a casar, pues nos casamos y ya está.
[0:35:21.00]-[0:35:23.00]  No, no, no. Obligaban.
[0:35:23.00]-[0:35:26.00]  Bueno, siempre los padres a lo mejor decían, porque como era en la época,
[0:35:26.00]-[0:35:30.00]  entonces las bodas se hacían todas después que se recogía la cosecha.
[0:35:30.00]-[0:35:34.00]  La cosecha era en este tiempo. Se empezaba a cegar y hasta septiembre
[0:35:34.00]-[0:35:38.00]  no se acababa de recoger la cosecha, de limpiar ya las palmas y todas.
[0:35:38.00]-[0:35:44.00]  Y de trillar. Entonces, luego después de eso en septiembre casi siempre era una boda.
