[0:00:00.00]-[0:00:04.00]  ¿Cómo se llama usted?
[0:20:09.00]-[0:20:11.00]  Después de cantar mis...
[0:20:11.00]-[0:20:13.00]  En la educación siempre la llevaban los curas, ¿no?
[0:20:13.00]-[0:20:14.00]  Claro.
[0:20:14.00]-[0:20:15.00]  Ya no.
[0:20:15.00]-[0:20:18.00]  Aquí la educación de religión, lo demás no.
[0:20:18.00]-[0:20:22.00]  Ah, ¿cuando ustedes eran pequeños tampoco eran maestros...?
[0:20:22.00]-[0:20:25.00]  Eran maestros nacionales igual que ahora.
[0:20:25.00]-[0:20:29.00]  Lo que pasa es que ahora llevan 20 o 22, ¿cuántos son por aula?
[0:20:29.00]-[0:20:31.00]  Sí, pues por ahí.
[0:20:31.00]-[0:20:37.00]  Bueno, pues ahora igual llevan... Antes llevaban 40, llevarían.
[0:20:39.00]-[0:20:42.00]  Yo cuando era chico llevaban dos maestros y dos maestras.
[0:20:43.00]-[0:20:44.00]  No había más.
[0:20:44.00]-[0:20:48.00]  Cuando chico estábamos muchos, eh, ojo, ojo, ojo, ojo.
[0:20:49.00]-[0:20:51.00]  Eramos en dos casas, cuatro o cinco.
[0:20:51.00]-[0:20:53.00]  Ven todas, eh.
[0:20:55.00]-[0:20:56.00]  ¿Cuatro o cinco hermanos?
[0:20:57.00]-[0:21:01.00]  ¿Y las casas, han cambiado de casa o siguen viviendo ahí?
[0:21:01.00]-[0:21:06.00]  O sea, es que en la mayoría ninguna casa vieja, pues no hay que entrar en tu pueblo que sí que sea allá.
[0:21:07.00]-[0:21:09.00]  O sea, que lo han modificado todo.
[0:21:09.00]-[0:21:12.00]  Sí, sí. No es conocido el pueblo.
[0:21:12.00]-[0:21:14.00]  No es conocido, eh.
[0:21:15.00]-[0:21:19.00]  De lo que era, lo que ha, pero es que después de las guerras se quedó la nación nada.
[0:21:20.00]-[0:21:22.00]  Katumbi. No había nada.
[0:21:24.00]-[0:21:25.00]  Claro.
[0:21:25.00]-[0:21:28.00]  ¿Y cómo fue la recuperación? ¿Lenta?
[0:21:28.00]-[0:21:34.00]  Lenta, bueno, se pasaron muchos años que la gente en la capital pasaba, hombre.
[0:21:34.00]-[0:21:35.00]  No creas que era...
[0:21:35.00]-[0:21:36.00]  En todas partes, ¿no?
[0:21:36.00]-[0:21:37.00]  Sí, sí.
[0:21:37.00]-[0:21:42.00]  ¿Y usted ha vivido aquí toda su vida? ¿Y ha estado años fuera como...?
[0:21:42.00]-[0:21:45.00]  No, tres años en la mili estuve, pero no más, no.
[0:21:45.00]-[0:21:46.00]  ¿Dónde estuvo?
[0:21:46.00]-[0:21:51.00]  En Huesca, en el Panticosa y todo eso. En el Valletena.
[0:21:51.00]-[0:22:01.00]  Bueno, también estuvimos más allá, donde está eso que va ahora a veranear, que está el...
[0:22:01.00]-[0:22:04.00]  Dios, cómo se llama, ahora no me sale.
[0:22:04.00]-[0:22:05.00]  ¿En el Pirineo?
[0:22:05.00]-[0:22:06.00]  Sí.
[0:22:06.00]-[0:22:08.00]  ¿En Kandanchú, por ahí?
[0:22:08.00]-[0:22:11.00]  No, Kandanchú sí. Y eso estuve aquí a la derecha.
[0:22:11.00]-[0:22:12.00]  ¿A Kalatayut?
[0:22:12.00]-[0:22:17.00]  No, Kalatayut está abajo, no, hombre. No, hombre, estuve en Kalatayut.
[0:22:18.00]-[0:22:21.00]  Está con el lago. Y sé que van a esquiar.
[0:22:24.00]-[0:22:26.00]  No, hombre, a Kandanchú suben a esquiar.
[0:22:26.00]-[0:22:31.00]  Pero de Kandanchú, de Huescas pasábamos a la Tur y todo eso estaba más allá.
[0:22:31.00]-[0:22:33.00]  ¿Astún?
[0:22:33.00]-[0:22:39.00]  Sí, eso es una de esas de esquiar, claro, que ahora están cerrados todos los días.
[0:22:42.00]-[0:22:44.00]  Huescas y Hakka.
[0:22:47.00]-[0:22:51.00]  Y a ver, ¿qué más?
[0:22:51.00]-[0:22:59.00]  ¿Ha visto, por ejemplo, cambios en el rol de la mujer?
[0:22:59.00]-[0:23:00.00]  Oye.
[0:23:00.00]-[0:23:01.00]  Mucho, mucho.
[0:23:01.00]-[0:23:05.00]  Claro, habrá más, pero en pocos años ha sido, antes no.
[0:23:05.00]-[0:23:09.00]  ¿Cuándo cree usted que hubo el cambio?
[0:23:09.00]-[0:23:14.00]  Ahora, 20 años, no hace más, no. Hace 50 no, no había cambio.
[0:23:19.00]-[0:23:23.00]  Le iba a preguntar, ¿cuándo llegó aquí el agua a las casas y el tendido eléctrico?
[0:23:23.00]-[0:23:27.00]  Hace muchos años. Eléctrico, toda la vida.
[0:23:27.00]-[0:23:33.00]  Esto, eso creo que ahí debajo hay una fábrica de luz, que la tiraron y la expiraron.
[0:23:33.00]-[0:23:36.00]  Pero Mateo daba luz para todos estos pueblos.
[0:23:36.00]-[0:23:42.00]  Fíjate, Jalepiñena, Perdiguera, Villa Mayor, todos estos pueblos daba.
[0:23:42.00]-[0:23:47.00]  Hicieron nueva y ahora no dan ni para la fábrica, pienso que hay bajo.
[0:23:47.00]-[0:23:54.00]  Entonces no había más que medias bombillas, una bombilla, una estaba abajo y otra era media.
[0:23:54.00]-[0:24:00.00]  Y apagabas abajo y se encenaba arriba la luz. Pero bien, no había, claro.
[0:24:00.00]-[0:24:02.00]  ¿Y el agua?
[0:24:02.00]-[0:24:04.00]  El agua siempre estaba aquí.
[0:24:04.00]-[0:24:08.00]  Siempre también. Bueno, había que bajar aquí y luego ya...
[0:24:08.00]-[0:24:14.00]  En las calles, mira, hace poco cambiaron, ahora vivo con una hija allá,
[0:24:14.00]-[0:24:19.00]  pero mi casa está ahí debajo de esas casas de allá, en la calle el horno.
[0:24:19.00]-[0:24:24.00]  Hace dos años cambiaron las tuberías, porque llevaban 40 años.
[0:24:24.00]-[0:24:26.00]  Estarían ya amoladas.
[0:24:26.00]-[0:24:29.00]  Estaban ya muchas amoladas.
[0:24:29.00]-[0:24:33.00]  Cambiaron eso porque van cambiando porque si no las tuberías, ¿sabes?
[0:24:33.00]-[0:24:37.00]  Que pasa en Zaragoza también. ¿Viste el otro día en Santander?
[0:24:37.00]-[0:24:39.00]  ¿Qué pasó?
[0:24:39.00]-[0:24:45.00]  Que se reventó una tubería y 20.000 personas estuvieron dos días sin agua.
[0:24:45.00]-[0:24:46.00]  Claro.
[0:24:46.00]-[0:24:49.00]  Hay que renovarla. Hay que renovarla, claro.
[0:24:49.00]-[0:24:52.00]  Y ahora estarán renovando atrás.
[0:24:52.00]-[0:24:54.00]  Eso no tiene que parar.
[0:24:54.00]-[0:24:55.00]  Claro.
[0:24:55.00]-[0:24:57.00]  Porque en el suelo...
[0:24:57.00]-[0:24:58.00]  No.
[0:24:58.00]-[0:25:02.00]  Porque después viene lo que viene.
[0:25:02.00]-[0:25:06.00]  Entonces aquí cuando llegó eso, el agua a las casas, el agua corriente...
[0:25:06.00]-[0:25:10.00]  El agua corriente a las casas, ya te digo, 42 años ahora.
[0:25:10.00]-[0:25:15.00]  Dijeron que era cuando cambiaron porque fue del pueblo de la Ceicha para allá.
[0:25:15.00]-[0:25:17.00]  Y yo vivo allí.
[0:25:17.00]-[0:25:20.00]  Fue donde se empezó primero el agua.
[0:25:20.00]-[0:25:22.00]  La ceicha esa es moderna o lleva mucho tiempo.
[0:25:22.00]-[0:25:23.00]  La ceicha es toda vida.
[0:25:23.00]-[0:25:25.00]  Toda la vida, sí.
[0:25:25.00]-[0:25:28.00]  La ceicha tiene más de 500 años.
[0:25:28.00]-[0:25:31.00]  Esa ceicha no se puede beber, ¿no?
[0:25:31.00]-[0:25:32.00]  Así, tal cual.
[0:25:32.00]-[0:25:37.00]  Toda la vida. Ahora dicen que echan porque ahora hay algo sano.
[0:25:37.00]-[0:25:39.00]  Porque yo no sé.
[0:25:39.00]-[0:25:42.00]  Echan, hacen lo que quieren.
[0:25:42.00]-[0:25:44.00]  Pero la gente bebía de ahí antes, ¿no?
[0:25:44.00]-[0:25:47.00]  Antes sí, y muy buena, que era esta agua.
[0:25:47.00]-[0:25:52.00]  Mira, había otras casas ricas en Zaragoza, que en el mes de enero,
[0:25:52.00]-[0:25:58.00]  que es cuando bajaban con machos y tonelos frescos,
[0:25:58.00]-[0:26:00.00]  llevaban agua a Zaragoza para todo el año.
[0:26:00.00]-[0:26:02.00]  Las casas ricas, San Monar...
[0:26:02.00]-[0:26:03.00]  ¿Y comprarlo?
[0:26:03.00]-[0:26:06.00]  Aquí venían a coger agua cualquiera quería.
[0:26:06.00]-[0:26:11.00]  El agua no es de... No confundas tú, que el agua es de todos, que no es de nadie.
[0:26:11.00]-[0:26:13.00]  Bueno, ahora se paga.
[0:26:13.00]-[0:26:18.00]  O bien, aquí también pagábamos, pero desde que vino,
[0:26:18.00]-[0:26:21.00]  desde que se puso el agua por las casas, igual.
[0:26:21.00]-[0:26:25.00]  Un contador, ya sabes, pues tanto pagas.
[0:26:27.00]-[0:26:29.00]  Pero bueno, fue una cosa de las buenas, ¿eh?
[0:26:29.00]-[0:26:31.00]  La agua de las casas.
[0:26:31.00]-[0:26:32.00]  Sí.
[0:26:32.00]-[0:26:36.00]  Este año, cuando han estado, que no iban a dejar regar aquí,
[0:26:36.00]-[0:26:39.00]  que no había agua por la sequía.
[0:26:39.00]-[0:26:43.00]  Dicíamos, después si ahora faltara agua...
[0:26:43.00]-[0:26:47.00]  En un pueblo pequeño, porque este tiempo atrás, no sé si lo veríais,
[0:26:47.00]-[0:26:51.00]  que llevaban pa' aquí a Marcer, a Zaragoza, con cisternas,
[0:26:51.00]-[0:26:55.00]  pero, para los hanamios, pero aquí, ¿cómo iban a traer?
[0:26:55.00]-[0:26:56.00]  Con cisternas.
[0:26:56.00]-[0:26:59.00]  Cuantas, se haría falta...
[0:26:59.00]-[0:27:01.00]  Imposible, oye.
[0:27:01.00]-[0:27:05.00]  Un pueblo ahora, si le quitara el agua,
[0:27:05.00]-[0:27:09.00]  la catumbé, tendría.
[0:27:09.00]-[0:27:11.00]  Pues sí.
[0:27:11.00]-[0:27:15.00]  Y el agua dicen que ya no la bebe la gente, baja más sucia que antes.
[0:27:15.00]-[0:27:16.00]  Sí.
[0:27:16.00]-[0:27:20.00]  Bueno, oye, las fábricas, ya sabes,
[0:27:20.00]-[0:27:24.00]  nos quitan algo, pero nos dan lo que quieren.
[0:27:26.00]-[0:27:31.00]  Yo como siempre, como compro manzanas, ahora tenía antes, pero ahora no tengo.
[0:27:31.00]-[0:27:36.00]  Y lo veo, hay una manzana y no tiene corazón.
[0:27:36.00]-[0:27:40.00]  ¿Qué le habrán echado? ¿Pa' que eso vuelva todo carne?
[0:27:40.00]-[0:27:41.00]  Sí.
[0:27:41.00]-[0:27:42.00]  ¿Eh?
[0:27:42.00]-[0:27:43.00]  Jomemos lo que quiera yo.
[0:27:43.00]-[0:27:46.00]  ¿Sabe el sabor de la manzana, diría usted, que es diferente?
[0:27:46.00]-[0:27:47.00]  Sí.
[0:27:47.00]-[0:27:49.00]  Que no es igual, ¿no?
[0:27:49.00]-[0:27:51.00]  No, no tiene nada.
[0:27:51.00]-[0:27:56.00]  Se ha ganado en cantidad, pero se ha perdido calidad.
[0:27:56.00]-[0:27:57.00]  Claro.
[0:27:57.00]-[0:28:01.00]  Porque un árbol, bueno, una manzanera o lo que quieras,
[0:28:01.00]-[0:28:04.00]  antes pues echaría 50, y ahora echa 60,
[0:28:04.00]-[0:28:09.00]  pero como se la hacen echar a puro de eso, pues no, que no puede ser.
[0:28:10.00]-[0:28:12.00]  No es igual.
[0:28:14.00]-[0:28:17.00]  Porque hoy ellos saben, este año aquí mismo dice que no han nacido,
[0:28:17.00]-[0:28:21.00]  yo no pongo patatas, ya, pero dice que no han nacido como las patatas.
[0:28:21.00]-[0:28:26.00]  Es que te extraña, no ves que les dan, las meten pa' conservarlas,
[0:28:26.00]-[0:28:32.00]  igual se les pasó en la nevera y no han nacido muy mal, a sembrarlas.
[0:28:32.00]-[0:28:35.00]  Pero oye, aquí va todo a ser de...
[0:28:35.00]-[0:28:37.00]  A hacer las cosas bien.
[0:28:37.00]-[0:28:38.00]  Bueno.
[0:28:38.00]-[0:28:40.00]  No, nada.
[0:28:40.00]-[0:28:44.00]  ¿Viste? ¿Qué problemas solucionaría el pueblo si podría?
[0:28:44.00]-[0:28:48.00]  Oye, el pueblo ahora, yo pienso que problemas hay siempre y habrá.
[0:28:48.00]-[0:28:53.00]  Pero vamos, ahora, si fuera como la gente fuera, como había que ser,
[0:28:53.00]-[0:28:56.00]  tendríamos que estar todos contentísimos.
[0:28:57.00]-[0:28:59.00]  Contentísimos, eh.
[0:28:59.00]-[0:29:04.00]  Porque si el que tenía algo está bien, el que no tenía nada está bien.
[0:29:05.00]-[0:29:07.00]  O sea, que yo no sé qué quieres ya.
[0:29:07.00]-[0:29:10.00]  Claro, que todo el mundo vive bien, más o menos.
[0:29:10.00]-[0:29:12.00]  Bien, bien, sí, señor, sí.
[0:29:13.00]-[0:29:16.00]  Claro, alguno sale, a lo mejor que tiene que pagar...
[0:29:16.00]-[0:29:18.00] ...pichó, pues claro.
[0:29:18.00]-[0:29:21.00]  Entonces, usted diría que nosotros lo tenemos mucho más fácil
[0:29:21.00]-[0:29:24.00]  de lo que lo tuvieron ustedes a nuestra edad.
[0:29:24.00]-[0:29:26.00]  Oye, pa...
[0:29:26.00]-[0:29:28.00]  Porque sí, porque gastáis más.
[0:29:29.00]-[0:29:34.00]  Si gastarais como nosotros, lo tendrías mucho más fácil.
[0:29:36.00]-[0:29:39.00]  No te digo yo esa nieta mía que toda semana...
[0:29:39.00]-[0:29:40.00]  Habirvao.
[0:29:40.00]-[0:29:44.00]  Pero si hay cuarenta en la Ular, las cuarenta que fueron.
[0:29:44.00]-[0:29:46.00]  Pues han pagado, pero muy poco, eh.
[0:29:46.00]-[0:29:51.00]  Pero a mí no me pago nadie ni un céntimo así, pa estudiar.
[0:29:52.00]-[0:29:54.00]  No, la verdad, oye, las cosas...
[0:29:54.00]-[0:29:57.00]  Todos queremos más, eso nunca le discutí lo...
[0:29:58.00]-[0:30:01.00]  Pero, oye, que se quejan sin vicio.
[0:30:06.00]-[0:30:10.00]  Porque, oye, aunque los que nos cotizaron, ahorran no sé cuánto cobran,
[0:30:10.00]-[0:30:15.00]  pero estos años que había en España más de quinientas mil pensiones de estas de los viejos,
[0:30:15.00]-[0:30:19.00]  pensiones no contributivas, que no habían pagado.
[0:30:20.00]-[0:30:22.00]  Yo medio millón de esas y cobran.
[0:30:22.00]-[0:30:23.00]  Millón.
[0:30:23.00]-[0:30:24.00]  Medio millón, sí.
[0:30:24.00]-[0:30:26.00]  Que cobran la pensión sin haber...
[0:30:26.00]-[0:30:27.00]  Sin haber contribuido.
[0:30:27.00]-[0:30:29.00]  Pensiones no contributivas, que se llaman.
[0:30:30.00]-[0:30:31.00]  No sabía que existían eso.
[0:30:31.00]-[0:30:33.00]  No, no sabías eso.
[0:30:34.00]-[0:30:35.00]  Pues sí.
[0:30:35.00]-[0:30:37.00]  Y eso cómo puede ser, por qué.
[0:30:37.00]-[0:30:40.00]  Porque son gente que ha venido después hasta aquí.
[0:30:40.00]-[0:30:41.00]  No, no, no, no, no.
[0:30:41.00]-[0:30:44.00]  Gente que ha estado aquí, no ha querido pagar y pues viendo.
[0:30:44.00]-[0:30:45.00]  Y ahora cobran.
[0:30:47.00]-[0:30:51.00]  Fue el gobierno, hizo eso hace cuatro o cinco años,
[0:30:52.00]-[0:30:55.00]  que lo aprobaron todos y ahora no hay deja nadie, habrá
[0:30:55.00]-[0:30:59.00]  alguno que nos haya afiliado o algo, pero si nos cobran todos.
[0:31:00.00]-[0:31:01.00]  Cobrar.
[0:31:01.00]-[0:31:04.00]  Más de medio millón había de las no contributivas,
[0:31:04.00]-[0:31:08.00]  que se llaman.
[0:31:08.00]-[0:31:12.00]  Y cobran todos, claro, los subnormales, cobran de subnormales,
[0:31:12.00]-[0:31:13.00]  todo eso entra.
[0:31:13.00]-[0:31:16.00]  Inutile es que ahí ha habido un rollo.
[0:31:16.00]-[0:31:19.00]  Hay dos chicos de aquí.
[0:31:20.00]-[0:31:23.00]  Aprendió a ir en la moto, tiene coche.
[0:31:24.00]-[0:31:25.00]  Y música.
[0:31:25.00]-[0:31:28.00]  Pero me dijo que se la habían quitado.
[0:31:29.00]-[0:31:33.00]  Y claro, los médicos de las veces que eran en este hermátalos.
[0:31:33.00]-[0:31:37.00]  Han dado una paga porque no la pagan de ellos,
[0:31:37.00]-[0:31:39.00]  pero si no le pertenecen, no señor.
[0:31:41.00]-[0:31:44.00]  Pero mira, salió la orden que tenían que cobrar todos de España,
[0:31:45.00]-[0:31:47.00]  porque sean 40.000 pesetas ahora.
[0:31:48.00]-[0:31:50.00]  Este año no he leído, pero...
[0:31:53.00]-[0:31:57.00]  Más de medio millón de pensionistas que no han que estudiar,
[0:31:57.00]-[0:32:03.00]  las no contributivas, que se llama.
[0:32:03.00]-[0:32:05.00]  ¿Qué os iba a decir?
[0:32:05.00]-[0:32:07.00]  Pensó gente que las cosas iban a estar así.
[0:32:07.00]-[0:32:08.00]  Mira.
[0:32:09.00]-[0:32:13.00]  Por eso te he dicho que ahora no tenía que estar nadie descontento,
[0:32:13.00]-[0:32:15.00]  porque está todo el mundo.
[0:32:15.00]-[0:32:17.00]  Los maestros ya lo veis.
[0:32:18.00]-[0:32:21.00]  Ahora estos días que eran los bomberos en Zaragoza,
[0:32:21.00]-[0:32:23.00]  y los guardias.
[0:32:23.00]-[0:32:27.00]  Y me dijeron, pero bueno, si van a ir estos como vimos nosotros
[0:32:27.00]-[0:32:29.00]  después de la guerra, ¿qué harían?
[0:32:30.00]-[0:32:34.00]  Nosotros no seríamos capaces, yo creo.
[0:32:34.00]-[0:32:36.00]  No habría que hacer, bueno.
[0:32:36.00]-[0:32:39.00]  Algunos viejos dicen eso, que los jóvenes ahora si les tocara,
[0:32:39.00]-[0:32:43.00]  pues si no hubieran con el otra cosa, trabajarían igual que nosotros.
[0:32:43.00]-[0:32:47.00]  Y estarían sábados y domingos trabajando igual que todos.
[0:32:48.00]-[0:32:50.00]  Cuando se tiene que hacer...
[0:32:50.00]-[0:32:52.00]  Ahora sería lo malo.
[0:32:52.00]-[0:32:54.00]  No, eso que vuelva después.
[0:32:54.00]-[0:32:57.00]  Pero si les diviertes, mejor que nosotros.
[0:32:57.00]-[0:33:02.00]  Porque se han crecido antes, han comido mejor y han vestido mejor.
[0:33:02.00]-[0:33:04.00]  Y están más fuertes.
[0:33:07.00]-[0:33:09.00]  Bueno, más fuertes porque no sé tú,
[0:33:09.00]-[0:33:13.00]  lleva ahí en Michoacán a mí una de chicos con gafas.
[0:33:13.00]-[0:33:17.00]  Y las alergias, ¿eh? Antes la gente no tenía alergias.
[0:33:17.00]-[0:33:20.00]  Nadie tenía, pero no hacías caso.
[0:33:22.00]-[0:33:24.00]  Alergia ha habido toda la vida.
[0:33:24.00]-[0:33:28.00]  Los árboles cuando florecen, alergia, eso no cae de duda.
[0:33:28.00]-[0:33:30.00]  Pero mira, nadie...
[0:33:30.00]-[0:33:33.00]  Y cuando cogías un resfriado, que te crees tú,
[0:33:33.00]-[0:33:35.00]  que ibas al medicu, que...
[0:33:35.00]-[0:33:37.00]  En el monte lo curabas.
[0:33:37.00]-[0:33:39.00]  Y cuando te lo curabas,
[0:33:39.00]-[0:33:43.00]  te ibas al medicu, que... en el monte lo curabas.
[0:33:47.00]-[0:33:48.00]  Eso es otra cosa, ¿no?
[0:33:48.00]-[0:33:50.00]  Ahora parece que la gente va al médico y se aburre.
[0:33:50.00]-[0:33:52.00]  Por ir.
[0:33:52.00]-[0:33:54.00]  No cuando está realmente enfermo.
[0:33:54.00]-[0:33:57.00]  Oye, yo pienso que el que va, algo tendrá.
[0:33:57.00]-[0:33:59.00]  Esperamos.
[0:33:59.00]-[0:34:02.00]  A lo mejor discutimos con los viejos.
[0:34:02.00]-[0:34:09.00]  Los hijos nos tenían que hacer pagar algo de pensión.
[0:34:09.00]-[0:34:12.00]  En la farmacia, en la farmacia.
[0:34:12.00]-[0:34:15.00]  Porque vosotros estáis creando tres chicos.
[0:34:15.00]-[0:34:17.00]  Y vosotros, porque yo soy viejo,
[0:34:17.00]-[0:34:19.00]  cojo allí y no pago nada.
[0:34:19.00]-[0:34:21.00]  No señor.
[0:34:21.00]-[0:34:22.00]  Cuando uno está criando a las familias,
[0:34:22.00]-[0:34:25.00]  es cuando más falta es la fe de la ayuda.
[0:34:25.00]-[0:34:27.00]  Pero tío, entonces,
[0:34:27.00]-[0:34:29.00]  que pagar aquí aunque sea mutilado,
[0:34:29.00]-[0:34:31.00]  aunque no les haga falta, se ponen como leones.
[0:34:31.00]-[0:34:32.00]  Digo, ¡calla!
[0:34:32.00]-[0:34:34.00]  Que no se puede hablar con vosotros.
[0:34:34.00]-[0:34:36.00]  Buen lado.
[0:34:39.00]-[0:34:42.00]  Y luego en cuanto a profesiones, por ejemplo,
[0:34:42.00]-[0:34:43.00]  yo creo que ahora los maestros
[0:34:43.00]-[0:34:46.00]  viven bastante mejor que antes, ¿no?
[0:34:46.00]-[0:34:48.00]  Es cuando a Baona se dió una...
[0:34:48.00]-[0:34:51.00]  pasabas más hambre que en maestroescuela.
[0:34:51.00]-[0:34:53.00]  Y ahora viven muy bien, ¿eh?
[0:34:53.00]-[0:34:54.00]  Sí, sí, sí.
[0:34:54.00]-[0:34:57.00]  Ahora, claro, aquí en el país de Poco, es natural.
[0:34:57.00]-[0:34:59.00]  Claro.
[0:34:59.00]-[0:35:04.00]  Si yo lo meten, cobro 715 euros de pensión.
[0:35:04.00]-[0:35:06.00]  Si me parece que es poco,
[0:35:06.00]-[0:35:08.00]  pues claro, te dirá tú qué.
[0:35:08.00]-[0:35:11.00]  Pero si echo cuenta, digo, dios, pues...
[0:35:11.00]-[0:35:12.00]  Pues si me caen a mí,
[0:35:12.00]-[0:35:15.00]  tomaré más de 3.000 tarjetas cada día,
[0:35:15.00]-[0:35:16.00]  uno viejo,
[0:35:16.00]-[0:35:19.00]  ahora claro, si tuvieras que pagar un piso...
[0:35:19.00]-[0:35:22.00]  Pero si uno ha llegado a 65 años
[0:35:22.00]-[0:35:24.00]  y no ha podido hacer México a casa,
[0:35:24.00]-[0:35:26.00]  porque ha podido tener enfermedades y mil cosas,
[0:35:26.00]-[0:35:28.00]  claro, de todo hay.
[0:35:28.00]-[0:35:31.00]  Pero en conjunto, bien, hoy hay todo.
[0:35:31.00]-[0:35:34.00]  Este chico que es aquí, este también,
[0:35:34.00]-[0:35:36.00]  este primero que ahí está,
[0:35:36.00]-[0:35:38.00]  también está malico.
[0:35:38.00]-[0:35:40.00]  Este tampoco contigo nunca, no trabajo,
[0:35:40.00]-[0:35:42.00]  pero cobra.
[0:35:42.00]-[0:35:44.00]  Es el...
[0:35:44.00]-[0:35:46.00]  Es el...
[0:35:46.00]-[0:35:48.00]  Este es la gallata.
[0:35:48.00]-[0:35:50.00]  ¿De la qué?
[0:35:50.00]-[0:35:52.00]  Ese que lleva la gallatica de este lado,
[0:35:52.00]-[0:35:54.00]  ese también cobra, que es...
[0:35:54.00]-[0:35:56.00]  La gallata es el bastón, ¿no?
[0:35:56.00]-[0:35:58.00]  Sí.
[0:36:00.00]-[0:36:02.00]  Hay mucha gente mayor también en el pueblo ahora.
[0:36:02.00]-[0:36:05.00]  Mucha, estamos con demás más que en el ajalón.
[0:36:07.00]-[0:36:09.00]  ¿Y demás conocéis todos?
[0:36:09.00]-[0:36:11.00]  ¿Que se conocen todos?
[0:36:11.00]-[0:36:13.00]  Pero hay muchos, no,
[0:36:13.00]-[0:36:15.00]  hay viejos que no los conoces.
[0:36:15.00]-[0:36:17.00]  Que no... que han venido más tarde.
[0:36:17.00]-[0:36:20.00]  Sí, claro, a lo mejor te juntas para aquí a 1 por la mañana.
[0:36:20.00]-[0:36:22.00]  Coño, pues tú, coño,
[0:36:22.00]-[0:36:26.00]  que me secas una hija y estoy con ella aquí.
[0:36:27.00]-[0:36:31.00]  Ha venido en pocos años, ha venido mucha gente joven.
[0:36:35.00]-[0:36:38.00]  Pues sí, es que hemos estado por pueblos antes
[0:36:38.00]-[0:36:42.00]  y este es de los más grandes que hemos visto por el camino.
[0:36:42.00]-[0:36:46.00]  De pueblos, lo que es, ya no fuera que es más grande.
[0:36:46.00]-[0:36:48.00]  No, eso era así.
[0:36:48.00]-[0:36:53.00]  ¿Hemos estado en, cómo era, Garúa, de Gallegos?
[0:36:53.00]-[0:36:55.00]  Gurrea.
[0:36:55.00]-[0:36:57.00]  ¿Cuántos habitantes tiene Gurrea ahora?
[0:36:57.00]-[0:36:59.00]  No lo sé, pero...
[0:36:59.00]-[0:37:02.00]  Como San Mateo iba así, pero me pregunto que había Menguau.
[0:37:02.00]-[0:37:04.00]  Sí, sí, estaba pequeño.
[0:37:04.00]-[0:37:06.00]  ¿Cuando la guerra era igual que nosotros?
[0:37:06.00]-[0:37:07.00]  Pues...
[0:37:07.00]-[0:37:09.00]  ¿Has estado en Almudévar?
[0:37:09.00]-[0:37:10.00]  No.
[0:37:10.00]-[0:37:13.00]  Almudévar era mucho más grande que San Mateo y ahora,
[0:37:13.00]-[0:37:16.00]  en pocos años se han hecho una variedad de pisos.
[0:37:16.00]-[0:37:20.00]  Pero también era mucho más que San Mateo y se quedó más pequeño.
[0:37:20.00]-[0:37:22.00]  Pues estaba...
[0:37:23.00]-[0:37:26.00]  En Gurrea hemos estado y había...
[0:37:26.00]-[0:37:28.00]  Era mucho más pequeño, mucha menos gente.
[0:37:28.00]-[0:37:30.00]  Sí, sí, ahí se ha quedado...
[0:37:30.00]-[0:37:33.00]  Ahí ha habido pueblos que se ha quedado mucho.
[0:37:35.00]-[0:37:38.00]  Hay una chica aquí que se casó en Graus.
[0:37:39.00]-[0:37:41.00]  Que estuve soldado en Graus también.
[0:37:41.00]-[0:37:43.00]  ¿En Graus? ¿Dónde está eso?
[0:37:43.00]-[0:37:50.00]  En... De Monzón, allá al lado está Graus.
[0:37:51.00]-[0:37:55.00]  Pero ya, si te metes un poco para allá, ya te irás a la parte de Cataluña.
[0:37:56.00]-[0:38:00.00]  Pero Graus, cuando estuve soldado, era mejor que Huesca.
[0:38:01.00]-[0:38:03.00]  Había mejores cines, había dos cines.
[0:38:03.00]-[0:38:05.00]  Y en Huesca no había más que dos cines.
[0:38:05.00]-[0:38:08.00]  No pienses que Huesca era...
[0:38:11.00]-[0:38:12.00]  ¿Y la gente...?
[0:38:12.00]-[0:38:15.00]  En Graus me decía esa chica que se ha casado aquí...
[0:38:16.00]-[0:38:19.00]  Pues chicos, no ha crecido tanto, ¿no?
[0:38:19.00]-[0:38:20.00]  Poco más que San Mateo.
[0:38:20.00]-[0:38:22.00]  Si Graus era Mare de Dube.
[0:38:22.00]-[0:38:24.00]  Más, más, bueno...
[0:38:24.00]-[0:38:25.00]  Te digo...
[0:38:25.00]-[0:38:30.00]  Pero en Graus había una fábrica de cosas de mujeres, de fajas, o tenes...
[0:38:30.00]-[0:38:33.00]  Muy grandes, cuando la guerra. Pero después se jodió.
[0:38:39.00]-[0:38:41.00]  ¿Iba usted mucho a Zaragoza?
[0:38:41.00]-[0:38:43.00]  Hombre, pero con el carro iba mucho.
[0:38:43.00]-[0:38:44.00]  ¿Con el carro?
[0:38:44.00]-[0:38:45.00]  A llevarla...
[0:38:45.00]-[0:38:47.00]  A buscar a Bono.
[0:38:47.00]-[0:38:48.00]  Y llevar patatas.
[0:38:48.00]-[0:38:50.00]  ¿Cuánto tardaba en llegar?
[0:38:50.00]-[0:38:51.00]  Cuatro horas.
[0:38:51.00]-[0:38:52.00]  Cuatro horas.
[0:38:52.00]-[0:38:54.00]  ¿Cuánto se tardan?
