[0:00:00.00]-[0:00:01.00]  La vida aquí...
[0:19:57.00]-[0:20:01.00]  Tiene que salir de la mil y tiene ya 54 años.
[0:20:01.00]-[0:20:03.00]  Y está desde que salió de la mil con contra gados.
[0:20:03.00]-[0:20:05.00]  ¿Sabes quién es eso? Esa empresa.
[0:20:05.00]-[0:20:10.00]  Contra gados está en Valencia.
[0:20:10.00]-[0:20:14.00]  Y aquel pues los hijas nos tuvo que ayudar y la mayor un poco.
[0:20:14.00]-[0:20:20.00]  Después ya no, después ya pues mi marido pues se quitó ya de la labor y ya como...
[0:20:20.00]-[0:20:23.00]  Porque mi marido me llevaba a mí 10 años.
[0:20:25.00]-[0:20:28.00]  ¿A qué edad dejaban casarse? ¿A qué edad?
[0:20:28.00]-[0:20:31.00]  Bueno, pues yo me casé a los 21.
[0:20:31.00]-[0:20:35.00]  Pero se podían casar más jóvenes incluso con 16 o 17 años.
[0:20:35.00]-[0:20:39.00]  No, yo nunca oí. Ahora sí, ahora lo he oído, pero vamos, antes no, yo no oía.
[0:20:39.00]-[0:20:45.00]  De 21, 20, 21, por ahí más. Bueno, eso sí.
[0:20:45.00]-[0:20:47.00]  ¿Y de niña ayudaba mucho en casa?
[0:20:47.00]-[0:20:48.00]  ¿Sí?
[0:20:48.00]-[0:20:50.00]  ¿Usted de niña ayudaba mucho en casa?
[0:20:50.00]-[0:20:52.00]  Hombre, yo de niña poco fui al colegio.
[0:20:52.00]-[0:20:54.00]  Yo poco fui al colegio.
[0:20:56.00]-[0:20:59.00]  Porque teníamos que ayudarle a los padres en triliar,
[0:20:59.00]-[0:21:01.00]  que entonces tú no sabes lo que es triliar.
[0:21:01.00]-[0:21:04.00]  Pues el trigo el de alcenteno se cogía una pareja de vacas.
[0:21:04.00]-[0:21:12.00]  Se le ponía un trilio que es de madera con piedrecitas por debajo y triliábamos.
[0:21:12.00]-[0:21:14.00]  Y teníamos que limpiar a mano.
[0:21:14.00]-[0:21:17.00]  Como ahora hay máquinas para limpiar y para coger el grano y para esas cosas,
[0:21:17.00]-[0:21:18.00]  pues entonces no.
[0:21:18.00]-[0:21:22.00]  Entonces teníamos que salir a la era, a un valle que hay ahí,
[0:21:22.00]-[0:21:26.00]  a un sitio, pues allí tirábamos la cebada, el alcenteno y todo,
[0:21:26.00]-[0:21:28.00]  y teníamos que triliar a mano.
[0:21:28.00]-[0:21:31.00]  Y teníamos que levantarnos a las 4 de la mañana a limpiar.
[0:21:31.00]-[0:21:35.00]  Que limpiar es, cuando viene el aire, pues tirar para arriba
[0:21:35.00]-[0:21:37.00]  y sale el grano para un lado y la faja para otro.
[0:21:37.00]-[0:21:40.00]  ¿Qué te parece? ¿A qué yo no lo conocí, y vosotros?
[0:21:40.00]-[0:21:42.00]  Pues era bonito, ¿eh?
[0:21:42.00]-[0:21:45.00]  De verdad, mi marido antes de morir decía,
[0:21:45.00]-[0:21:51.00]  mira, la vida más bonita tendríamos más trabajos y todo,
[0:21:51.00]-[0:21:53.00]  pero era más bonita que ahora.
[0:21:53.00]-[0:21:55.00]  Por eso te acabo de decir.
[0:21:55.00]-[0:21:59.00]  Porque nos iban a ayudar a limpiar y yo iba a ayudarle a otra.
[0:21:59.00]-[0:22:04.00]  Y en fin, y ahora no hay nadie a ayudarte.
[0:22:04.00]-[0:22:07.00]  Y vamos tampoco, vamos.
[0:22:07.00]-[0:22:11.00]  ¿Y hay que obedecer a los padres más que ahora?
[0:22:11.00]-[0:22:15.00]  Bueno, pues entonces les teníamos mucho respeto a los padres,
[0:22:15.00]-[0:22:16.00]  más que hoy sí.
[0:22:16.00]-[0:22:19.00]  Entonces, no, yo mis hijos me tienen en sí.
[0:22:19.00]-[0:22:21.00]  Yo no puedo decir nada de ellos al contrario.
[0:22:21.00]-[0:22:24.00]  Tengo 10, pero 10 soles, de verdad.
[0:22:24.00]-[0:22:26.00]  Yo no puedo decir nada al contrario.
[0:22:26.00]-[0:22:30.00]  Yo aquí todos los domingos tengo gente de Madrid, de Valladolid,
[0:22:30.00]-[0:22:32.00]  porque tengo dos en Valladolid.
[0:22:32.00]-[0:22:35.00]  Dos hijas casadas en Valladolid.
[0:22:35.00]-[0:22:38.00]  Y luego tengo cinco en Madrid.
[0:22:38.00]-[0:22:43.00]  Tengo el de Valencia, tengo otro noviedo que tiene un almacén de vinos.
[0:22:43.00]-[0:22:45.00]  Y luego, pues eso.
[0:22:45.00]-[0:22:47.00]  Que vamos, que yo sí, yo.
[0:22:47.00]-[0:22:49.00]  Uno tengo aquí, casado.
[0:22:49.00]-[0:22:53.00]  Uno tengo aquí casado, es la casa de esa, la casa de la enseña.
[0:22:53.00]-[0:22:55.00]  Ahora no está, no está.
[0:22:55.00]-[0:22:58.00]  Y él ya se fue a su pueblo con los niños.
[0:22:58.00]-[0:23:01.00]  Y ese niño que está ahí es el nieto mío.
[0:23:01.00]-[0:23:03.00]  Se quedó a comer conmigo.
[0:23:04.00]-[0:23:07.00]  ¿Pregañaba mucho entre las hermanas o los hermanos?
[0:23:07.00]-[0:23:08.00]  Yo estos no.
[0:23:08.00]-[0:23:12.00]  Yo estos míos no, pero ya, como hoy, hay gente que sí,
[0:23:12.00]-[0:23:14.00]  otra gente que no.
[0:23:14.00]-[0:23:16.00]  Y eso, igual que hoy.
[0:23:17.00]-[0:23:23.00]  Antes algunos se llevaban bien con los hermanos, otros, pero vamos,
[0:23:23.00]-[0:23:26.00]  de esa cosa no tengo que decir nada, al contrario.
[0:23:26.00]-[0:23:29.00]  Mis hijos fueron buenos, estuvieron trabajando siempre.
[0:23:29.00]-[0:23:32.00]  Ellos se han casado, igual vienen todos aquí.
[0:23:32.00]-[0:23:35.00]  En el verano nos juntamos 25 y 30.
[0:23:35.00]-[0:23:38.00]  Claro, con los nietos ya hay todo.
[0:23:38.00]-[0:23:41.00]  Mírate, mira, todos los que somos ni faltan cuatro.
[0:23:42.00]-[0:23:43.00]  9.
[0:23:44.00]-[0:23:49.00]  Cuando hicimos las bodas de oro, las hicimos en un hotel ahí en Pitigudino.
[0:23:49.00]-[0:23:55.00]  Pues nos juntemos todos. Nos juntemos 53.
[0:23:58.00]-[0:24:01.00]  Así que cuando nos juntamos todos aquí, ¡toma no!
[0:24:01.00]-[0:24:02.00]  Mira qué familia.
[0:24:02.00]-[0:24:06.00]  Pues mira, tengo 22 nietos.
[0:24:08.00]-[0:24:12.00]  Y tengo 10 hijos, con 10 que se han casado, 20.
[0:24:12.00]-[0:24:14.00]  Así que mírate.
[0:24:14.00]-[0:24:17.00]  Nosotros, mi familia también somos bastantes.
[0:24:17.00]-[0:24:18.00]  Ah, sí.
[0:24:18.00]-[0:24:20.00]  Pero no llegamos.
[0:24:20.00]-[0:24:24.00]  Claro, claro, es que ahora los nietos, pues mira, ya se me casa un nieto.
[0:24:25.00]-[0:24:26.00]  En Valladolid.
[0:24:27.00]-[0:24:28.00]  Fui a la boda.
[0:24:30.00]-[0:24:33.00]  Y sola, con tantos hijos, bueno, porque quiero.
[0:24:33.00]-[0:24:35.00]  Porque he estado en Valladolid ya dos meses.
[0:24:37.00]-[0:24:41.00]  Luego me vine porque íbamos a la manga de excursión.
[0:24:42.00]-[0:24:44.00]  Estuvimos para 15 días.
[0:24:44.00]-[0:24:46.00]  Y ahora vamos a Tenerife.
[0:24:47.00]-[0:24:48.00]  Tengo allí una nieta.
[0:24:48.00]-[0:24:49.00]  ¿No soy nadie?
[0:24:49.00]-[0:24:52.00]  Tengo en las islas, al pie de Tenerife.
[0:24:53.00]-[0:24:56.00]  Tú que sabes cómo es, porque yo no hemos ido a Tenerife.
[0:24:56.00]-[0:24:58.00]  Mi marido y yo fuimos a Tenerife, pero lo pagamos nosotros, ¿eh?
[0:24:58.00]-[0:25:00.00]  Fue porque quisimos.
[0:25:00.00]-[0:25:03.00]  Se quedaron aquí la mayor y un hijo, en el comercio.
[0:25:04.00]-[0:25:09.00]  Y nos fuimos los dos a Tenerife con una hija que él es,
[0:25:09.00]-[0:25:14.00]  de Iberia, que ya está trabajando en Iberia.
[0:25:14.00]-[0:25:18.00]  Y como tenían el viaje pagao ellos, se iban 15 días a Tenerife.
[0:25:18.00]-[0:25:20.00]  Y dijeron, ¿por qué no vais? ¿Por qué no vais?
[0:25:20.00]-[0:25:23.00]  Aunque lo tengáis que pagar, venga, vamos.
[0:25:23.00]-[0:25:26.00]  Y cuando mi marido fuimos a ver Tenerife.
[0:25:26.00]-[0:25:28.00]  Pero tengo allí una nieta en las islas.
[0:25:28.00]-[0:25:30.00]  Que no, no sé, la sé.
[0:25:30.00]-[0:25:33.00]  A ver si me trae las señas, porque si voy, pues para que me vaya a ver.
[0:25:35.00]-[0:25:37.00]  Aunque bueno, que la tengo allí de mi profesor.
[0:25:37.00]-[0:25:39.00]  Está allá, lleva cuatro años allí.
[0:25:40.00]-[0:25:44.00]  Pero no te sé decir dónde, porque no tengo las señas todavía.
[0:25:44.00]-[0:25:47.00]  Porque el otro día le dije, me llama ella siempre.
[0:25:48.00]-[0:25:49.00]  Y yo nunca la llamo.
[0:25:50.00]-[0:25:53.00]  Y le dije a su madre, tráeme las señas, porque si voy,
[0:25:53.00]-[0:25:55.00]  pues nos vamos ahora en el mes de junio.
[0:25:55.00]-[0:25:57.00]  Digo, pues si voy, pues para verla.
[0:25:57.00]-[0:25:58.00]  Entonces, ¿tú eres de Tenerife?
[0:25:58.00]-[0:25:59.00]  Sí.
[0:25:59.00]-[0:26:00.00]  Qué bonito, ¿eh? Es verdad.
[0:26:00.00]-[0:26:01.00]  Sí, es muy bonito.
[0:26:01.00]-[0:26:05.00]  De yo, casi, no, de acá, sí.
[0:26:05.00]-[0:26:07.00]  Sí, hombre, de país, sí.
[0:26:07.00]-[0:26:08.00]  Sí, sí, las romantías.
[0:26:09.00]-[0:26:11.00]  Y fíjate cómo está allá, desde cuando yo fui.
[0:26:11.00]-[0:26:13.00]  Uy, hace diez años que no voy tampoco.
[0:26:13.00]-[0:26:14.00]  Fíjate.
[0:26:14.00]-[0:26:16.00]  Ah, porque todo este paso loco a mí.
[0:26:16.00]-[0:26:18.00]  Seguramente no lo conoceré tan poco.
[0:26:18.00]-[0:26:19.00]  Sí, sí.
[0:26:19.00]-[0:26:21.00]  Bueno, pues así ha sido mi vida, hija.
[0:26:21.00]-[0:26:22.00]  Ya os la conté.
[0:26:23.00]-[0:26:24.00]  ¿Y la juventud antes?
[0:26:24.00]-[0:26:25.00]  No te digo.
[0:26:25.00]-[0:26:27.00]  ¿Se volvía temprano a hora de llegar a casa?
[0:26:27.00]-[0:26:28.00]  O sea, ¿cuánto tiempo?
[0:26:28.00]-[0:26:31.00]  No te digo.
[0:26:31.00]-[0:26:33.00]  Pues a la hora del rosario que llamábamos,
[0:26:33.00]-[0:26:35.00]  a la hora del rosario, que había siempre rosario en los domingos,
[0:26:35.00]-[0:26:37.00]  pues tenían que estar en casa.
[0:26:37.00]-[0:26:40.00]  Entonces, sí, no es como ahora, que se van a Vitibudino
[0:26:40.00]-[0:26:43.00]  y viene a las cuatro, a las cinco de la mañana y a las seis.
[0:26:43.00]-[0:26:44.00]  Entonces, no.
[0:26:44.00]-[0:26:46.00]  Entonces, decíamos, a las doce en casa.
[0:26:46.00]-[0:26:49.00]  Y a las doce estaban y a las once en casa, pues a las once estaban.
[0:26:49.00]-[0:26:51.00]  No se acababa el baile.
[0:26:51.00]-[0:26:52.00]  Había baile por la tarde.
[0:26:52.00]-[0:26:56.00]  Al salir del rosario, a las cuatro de la tarde, empezaba el baile.
[0:26:56.00]-[0:27:00.00]  Y luego ya, pues se acababa el baile y ya se venían a casa a cenar.
[0:27:00.00]-[0:27:02.00]  Cenaban y volvían al baile.
[0:27:02.00]-[0:27:05.00]  Pero eran las once y estaban en casa.
[0:27:05.00]-[0:27:07.00]  Y hoy, sin embargo, pues no.
[0:27:08.00]-[0:27:11.00]  Las mías mayores, pues sí, me tocó todavía eso.
[0:27:11.00]-[0:27:13.00]  Pero después ya los otros, ya no.
[0:27:13.00]-[0:27:15.00]  Ya no, ya no, ya no, hija, ya no.
[0:27:15.00]-[0:27:17.00]  ¿Había muchas fiestas en el pueblo?
[0:27:17.00]-[0:27:18.00]  Muchas, sí, muchas.
[0:27:19.00]-[0:27:23.00]  Había la Virgen del Rosario, que era el mayor domar.
[0:27:23.00]-[0:27:25.00]  Mis hijas siempre, tengo cinco.
[0:27:25.00]-[0:27:27.00]  Tengo cinco varones y cinco hembras.
[0:27:27.00]-[0:27:31.00]  Pues mis hijas fueron mayores domar de esa Virgen del Rosario.
[0:27:31.00]-[0:27:32.00]  La tuve muchos años yo aquí.
[0:27:32.00]-[0:27:35.00]  Pero una vez me entraron a robar cuando tenía el comercio.
[0:27:35.00]-[0:27:38.00]  Y me dio miedo porque tenía muchas cosas muy buenas la Virgen.
[0:27:38.00]-[0:27:41.00]  Y se la llevé al señor scudá.
[0:27:42.00]-[0:27:43.00]  Porque me daba miedo.
[0:27:43.00]-[0:27:46.00]  Digo, toma, pues tenía las colonas que son muy buenas.
[0:27:46.00]-[0:27:47.00]  Y muchas cosas.
[0:27:47.00]-[0:27:49.00]  Y digo, quita, quita, quita.
[0:27:49.00]-[0:27:50.00]  Y mis hijos empezaron a marchar.
[0:27:50.00]-[0:27:52.00]  Y digo, estábamos solos.
[0:27:52.00]-[0:27:56.00]  Y como aquella noche que nos entraron a robar, nos quitaron la rejar de las ventanas y todo.
[0:27:56.00]-[0:27:58.00]  Y miramos qué sentimos.
[0:27:58.00]-[0:28:00.00]  Que si no, mira a la que nos preparan.
[0:28:01.00]-[0:28:04.00]  Pero sentimos y vamos.
[0:28:05.00]-[0:28:07.00]  Sí, quedó la cosa de susto.
[0:28:08.00]-[0:28:10.00]  Pero ya te digo, sí, sí.
[0:28:11.00]-[0:28:14.00]  ¿Y se podía elegir la profesión antes?
[0:28:14.00]-[0:28:18.00]  O sea, tu padre tuvo el cultivo, tú de niño en ayuda.
[0:28:18.00]-[0:28:20.00]  Sí que ha estado en el cultivo de familia.
[0:28:20.00]-[0:28:22.00]  Sí, al que quieras, sí.
[0:28:22.00]-[0:28:24.00]  O cada uno podía elegir.
[0:28:24.00]-[0:28:26.00]  No, sí hombre.
[0:28:26.00]-[0:28:28.00]  Mi marido fue antes que nos casemos, cacharrero.
[0:28:28.00]-[0:28:30.00]  Cacharrero te voy a decir lo que es.
[0:28:30.00]-[0:28:35.00]  Hacer cántaros y cosas floreros, mira, como aquel muy bonito.
[0:28:35.00]-[0:28:37.00]  O así, de esas cosas.
[0:28:39.00]-[0:28:44.00]  Y después ya cuando pusimos al comercio, pues ya no lo dejó porque claro, todos no podíamos asistir.
[0:28:44.00]-[0:28:49.00]  Y luego ya dejó la labor porque ya como se fueron todos los chicos, pues ya no nos podían ayudar tampoco.
[0:28:49.00]-[0:28:51.00]  Sí, en fin, ya lo dejamos.
[0:28:51.00]-[0:28:54.00]  Sí, ya lo dejamos.
[0:28:54.00]-[0:28:56.00]  ¿Y había...
[0:28:57.00]-[0:29:02.00]  O sea, ¿de qué se preocupaba la gente más que nada?
[0:29:02.00]-[0:29:05.00]  ¿Fundamental en los productivos?
[0:29:05.00]-[0:29:09.00]  Nos preocupábamos en todo, hijo mío, porque comíamos de todo eso.
[0:29:09.00]-[0:29:10.00]  Claro, ¿por qué eso?
[0:29:10.00]-[0:29:13.00]  Hubo unos años ahí cuando la guerra, que no teníamos ni pan.
[0:29:13.00]-[0:29:17.00]  Yo a mí no me faltó el pan porque entonces había un molinero
[0:29:17.00]-[0:29:22.00]  que siempre nos daba la harina para amasar.
[0:29:22.00]-[0:29:23.00]  Pero hubo gente que...
[0:29:23.00]-[0:29:24.00]  ¿Te dan el pan entonces?
[0:29:24.00]-[0:29:29.00]  Sí, sí, yo sí. Yo sí tengo un horno allá abajo, en una casa que tengo para allá abajo.
[0:29:29.00]-[0:29:33.00]  Lo tengo todavía porque allí asan mis hijos los tostones y los corderos.
[0:29:34.00]-[0:29:39.00]  Cuando venimos, cuando vienen así por Navidad o así, pues lo asan allí.
[0:29:40.00]-[0:29:42.00]  Hay que ver.
[0:29:42.00]-[0:29:44.00]  ¿Cómo es la vida, hija?
[0:29:44.00]-[0:29:47.00]  ¿Y sobre el cura?
[0:29:47.00]-[0:29:48.00]  No hay cura.
[0:29:48.00]-[0:29:49.00]  ¿Y sobre la religión?
[0:29:49.00]-[0:29:52.00]  Sí, muy bien. Antes daba religión y ahora ya no.
[0:29:52.00]-[0:29:53.00]  ¿Misa?
[0:29:53.00]-[0:29:56.00]  Ahora ya no. Como viene de Salamanca ya no se preocupa de esas cosas.
[0:29:56.00]-[0:30:02.00]  Pero antes había las chicas del pueblo, daban doctrina a las chicas,
[0:30:02.00]-[0:30:04.00]  a todo lo pequeño, claro.
[0:30:04.00]-[0:30:08.00]  Y luego el señor cura iba también cuando le parecía que tal y eso.
[0:30:08.00]-[0:30:10.00]  Había rosario, había misa, había todo.
[0:30:10.00]-[0:30:14.00]  Ahora ya casi ni misa porque el día de los presos no tenemos ni cura.
[0:30:16.00]-[0:30:19.00]  ¿Y alguien temía las tormentas?
[0:30:19.00]-[0:30:21.00]  Había temores en aquello.
[0:30:21.00]-[0:30:24.00]  Sí hombre, las tormentas. A mí me da mucho miedo de eso.
[0:30:24.00]-[0:30:26.00]  ¡Uhh! ¿Quién me mete a la cama?
[0:30:26.00]-[0:30:28.00]  Cuando hay una tormenta me meto a la cama.
[0:30:28.00]-[0:30:30.00]  Cuando estoy sola me meto a la cama.
[0:30:30.00]-[0:30:32.00]  Me da mucho miedo.
[0:30:32.00]-[0:30:33.00]  Había muchos temores.
[0:30:33.00]-[0:30:36.00]  Sí, porque mataron a uno aquí.
[0:30:36.00]-[0:30:40.00]  Mató la tormenta a uno, un día vacas y todo eso ha matado aquí.
[0:30:40.00]-[0:30:41.00]  ¿Vives tormentas?
[0:30:41.00]-[0:30:42.00]  Sí, sí, sí.
[0:30:42.00]-[0:30:44.00]  ¿A dónde está? ¿De dónde te has encontrado?
[0:30:44.00]-[0:30:46.00]  No, no, no. Sigo hoy, pasa lo mismo.
[0:30:46.00]-[0:30:48.00]  Mira, hace poco como una tormenta y mató a un...
[0:30:58.00]-[0:31:00.00]  Así que bueno, ves, la vida es así.
[0:31:00.00]-[0:31:01.00]  Así es.
[0:31:01.00]-[0:31:05.00]  ¿Y el cura se veía... había solo cura o había varios?
[0:31:05.00]-[0:31:06.00]  No, no, había uno solo.
[0:31:06.00]-[0:31:07.00]  Solo uno.
[0:31:07.00]-[0:31:08.00]  Sí, sí, sí.
[0:31:08.00]-[0:31:15.00]  Lo que tiene es que ese sacerdote tenía mucha gente así, conocida y venía mucha gente a su casa, muchos de estos que están estudiando y esas cosas.
[0:31:15.00]-[0:31:20.00]  Entonces venían muchos muchachos de Valladolid a lo mejor, esos sitios de gente.
[0:31:20.00]-[0:31:23.00]  Y se enteró cura en una noche en su casa.
[0:31:23.00]-[0:31:24.00]  Sí hombre.
[0:31:24.00]-[0:31:30.00]  Uy, yo tuve un sacerdote aquí que lo tuve seis años, comiendo en mi casa y cenando.
[0:31:30.00]-[0:31:34.00]  Quedarse se quedaba en su casa, pero aquí venía a comer.
[0:31:34.00]-[0:31:40.00]  Estaba solo el hombre y lo atendía una chica de aquí, porque era...
[0:31:40.00]-[0:31:44.00]  Claro, no sabía ni guisar ni hacer nada, claro, la muchacha.
[0:31:44.00]-[0:31:50.00]  Y entonces pues, fue y me dice un día, ¿por qué no me das de comer, mujer?
[0:31:50.00]-[0:31:52.00]  ¿Por qué no me das de comer?
[0:31:52.00]-[0:31:58.00]  Usted que, claro, que tiene el comerci, tal y cual, pues me puede dar de comer.
[0:31:58.00]-[0:32:05.00]  En ese cuartito de la izquierda, según me entro, que tengo mi cama ahora, pues ahí le tenía una camilla y ahí comía.
[0:32:05.00]-[0:32:08.00]  Estuvo muchos años conmigo, nosotros aquí.
[0:32:08.00]-[0:32:09.00]  Claro, y la relación con...
[0:32:09.00]-[0:32:10.00]  Sí, sí, sí.
[0:32:10.00]-[0:32:11.00] ...con usted será bastante...
[0:32:11.00]-[0:32:12.00]  Muy bien.
[0:32:12.00]-[0:32:13.00] ...después de lo que ahora...
[0:32:13.00]-[0:32:14.00]  Muy bien.
[0:32:14.00]-[0:32:15.00] ...come y vive.
[0:32:15.00]-[0:32:17.00]  No, no, yo me tengo muy bien.
[0:32:17.00]-[0:32:24.00]  Mira, con el señor pura de Vitibudino, de Maravilla, que lo conozco desde hace muchos años.
[0:32:24.00]-[0:32:29.00]  Pero sí, no, y el que viene ahora de Salamanca igual.
[0:32:29.00]-[0:32:30.00]  ¿Y te venía muy solo?
[0:32:30.00]-[0:32:32.00]  Mira, yo tengo una vela ahí para llevarse al alabégen.
[0:32:32.00]-[0:32:35.00]  Sí, yo sí, yo con eso sí.
[0:32:35.00]-[0:32:42.00]  Y aquel cura, pues claro, el hombre estaba aquí solo, las hermanas ya estaban casadas, la madre ya era de edad.
[0:32:42.00]-[0:32:46.00]  Y claro, pues no podían venir con él, pero estuvo aquí muchos años, muchos, muchos, muchos.
[0:32:46.00]-[0:32:51.00]  Nos arregló la iglesia muy bien, nos dejó la iglesia muy arreglada, muy arreglada, muy arreglada.
[0:32:51.00]-[0:32:54.00]  Y le hemos hecho unas puertas nuevas, entre todo el pueblo hemos pagado,
[0:32:54.00]-[0:32:57.00]  y le hemos hecho unas puertas preciosas a la iglesia.
[0:32:57.00]-[0:32:58.00]  ¿Y hay toros?
[0:32:58.00]-[0:33:00.00]  Bueno, pues antes sí, pero ahora ya no.
[0:33:00.00]-[0:33:01.00]  ¿Ahora sí?
[0:33:01.00]-[0:33:05.00]  Sí, antes había dos veces al año corrida, pero ahora ya no.
[0:33:05.00]-[0:33:07.00]  ¿Y orquesta?
[0:33:07.00]-[0:33:12.00]  Y orquesta también, y orquesta por las fiestas también trae una orquesta, los chicos.
[0:33:12.00]-[0:33:14.00]  ¿Hay alguna fiesta que tenga nombre, o sea una...
[0:33:14.00]-[0:33:16.00]  San Juan y San Blas.
[0:33:16.00]-[0:33:17.00]  ¿Y cuándo son?
[0:33:17.00]-[0:33:22.00]  Pues ahora San Juan es en el mes de julio, San Juan.
[0:33:22.00]-[0:33:28.00]  Y luego San Blas es en el mes de febrero, el 3 de febrero.
[0:33:28.00]-[0:33:34.00]  Esas son las fiestas del pueblo, verdaderas, vamos, las que traían a eso.
[0:33:34.00]-[0:33:39.00]  Y después ya no traían la vaquilla, ya no traían pa' matar la vaca,
[0:33:39.00]-[0:33:44.00]  pues ahora compran carne y se van a la dehesa, con música y con eso,
[0:33:44.00]-[0:33:49.00]  la gente que quiera, la casada y soteros, se van pa' ir para la dehesa a comer la carne de la chura,
[0:33:49.00]-[0:33:51.00]  la compran en biti.
[0:33:51.00]-[0:33:53.00]  Sí.
[0:33:53.00]-[0:33:58.00]  Yo no he ido nunca, pero mi marido sí, mis hijos también, mi niño sí.
[0:33:58.00]-[0:34:03.00]  ¿Y los animales, o sea las enfermedades de los animales?
[0:34:03.00]-[0:34:06.00]  Pues el veterinario, que hay veterinario y semitubrino.
[0:34:06.00]-[0:34:07.00]  Sí, sí.
[0:34:07.00]-[0:34:09.00]  ¿Y cómo se avisaba el veterinario?
[0:34:09.00]-[0:34:11.00]  El veterinario por teléfono, lo llamas ahora mismo y vienen enseguida.
[0:34:11.00]-[0:34:12.00]  ¿Y antes?
[0:34:12.00]-[0:34:16.00]  La I-4, I-5, y antes igual, sí, sí.
[0:34:16.00]-[0:34:18.00]  ¿Y no tardaba mucho?
[0:34:18.00]-[0:34:21.00]  No, no, no, como los llaves enseguida vienen, sí.
[0:34:21.00]-[0:34:26.00]  Hombre, si están en alguna cosa que eso pues tardará, a lo mejor un cuarto de hora,
[0:34:26.00]-[0:34:30.00]  o media hora, si están ocupados, pero vamos, que no, yo creo que no.
[0:34:30.00]-[0:34:33.00]  ¿El cura intervenía mucho en la vida del pueblo?
[0:34:33.00]-[0:34:38.00]  Bueno, pues sí, él iba por las casas, entonces iba por las casas cuando estaba la gente enferma,
[0:34:38.00]-[0:34:43.00]  a darle comunión y esas cosas, ahora ya, pues sí, también, si lo llamas, si viene, sí.
[0:34:43.00]-[0:34:46.00]  Si lo llamas, si viene, pero vamos.
[0:34:46.00]-[0:34:50.00]  ¿Y se celebraba igual las comuniones y los bótizos de los...
[0:34:50.00]-[0:34:52.00]  En el pueblo todo, sí, sí.
[0:34:52.00]-[0:34:58.00]  Porque en el salón del baile, yo hice en esa casa que ha hecho mi hijo ahora, la casa,
[0:34:58.00]-[0:35:02.00]  yo hice ahí dos bodas de mis hijos.
[0:35:02.00]-[0:35:08.00]  Pues ya no, ya después dieron inicio a Salamanca, Madrid, a estos dos, pues ya está.
[0:35:08.00]-[0:35:11.00]  Ya se acabaron las bodas aquí en Peralejo.
[0:35:11.00]-[0:35:16.00]  Pero antes, sí, antes no podías pagar un hotel, pues ¿dónde ibas a ir?
[0:35:16.00]-[0:35:19.00]  Yo mis hijos, la comunión de mis hijos, la hice toda en casa.
[0:35:19.00]-[0:35:26.00]  Con los familiares, claro, con mi padre, mi madre, mi suegro, mi suegra, y en fin, esas cosas.
[0:35:26.00]-[0:35:32.00]  Perdona, que voy a hacerme la comida, no sé qué hacer.
[0:35:32.00]-[0:35:39.00]  Pues tengo judías verdes con patata.
[0:35:39.00]-[0:35:43.00]  Y luego tengo pollo para frito.
[0:35:43.00]-[0:35:47.00]  Y al niño, como no le gustan los ojos verdes, por el frío unas patatas.
[0:35:47.00]-[0:35:50.00]  Y luego tengo queso, chorizo, lo que quiera.
[0:35:50.00]-[0:35:53.00]  Y le voy a hacer una tortilla porque le encanta pa' merendar.
[0:35:53.00]-[0:35:56.00]  Dijo, no quiero chorizo, quiero una tortilla pa' merendar.
[0:35:56.00]-[0:36:00.00]  Bueno, pues te voy a hacer una tortilla redonda.
[0:36:00.00]-[0:36:08.00]  Él dice que es tortilla redonda, no quiere francesa, tortilla redonda.
[0:36:08.00]-[0:36:12.00]  ¿Y si el queso se hace en el pueblo todo día?
[0:36:12.00]-[0:36:19.00]  Bueno, no, no, no, porque ahora como tienen las ovejas que le dan la leche ahí a las cooperativas,
[0:36:19.00]-[0:36:23.00]  pues ya no hacen, traen el queso de las cooperativas.
[0:36:23.00]-[0:36:29.00]  Le dan la leche y le compran el queso luego a las cooperativas.
[0:36:29.00]-[0:36:33.00]  ¿Cuándo se curaba algún mosquito?
[0:36:33.00]-[0:36:34.00]  El jamón.
[0:36:34.00]-[0:36:35.00]  ¿Tenía algún...
[0:36:35.00]-[0:36:39.00]  Bueno, pues hay gente que no lo cura, pero...
[0:36:39.00]-[0:36:45.00]  Y claro, pues a lo mejor hay gente que a lo mejor si no lo cura bien, pues eso.
[0:36:45.00]-[0:36:47.00]  Pero vamos, por regla general, no.
[0:36:47.00]-[0:36:50.00]  A mí nunca jamás se me ha tocado un jamón.
[0:36:50.00]-[0:36:53.00]  ¿Con los matronces hacía alguna fiesta familiar?
[0:36:53.00]-[0:36:56.00]  Sí, bueno, bueno, eso más.
[0:36:56.00]-[0:36:57.00]  ¿Qué se volvían, no?
[0:36:57.00]-[0:37:03.00]  Claro, se jugaba la partida, se jugaban esas cosas con los familiares en casa.
[0:37:03.00]-[0:37:07.00]  Y ahora igual, ahora que se junten pues igual.
[0:37:07.00]-[0:37:08.00]  Sí.
[0:37:08.00]-[0:37:14.00]  ¿Y a los hijos antes, por ejemplo, o sea, los padres aconsejaban a los hijos o...
[0:37:14.00]-[0:37:15.00]  Toma, no.
[0:37:15.00]-[0:37:17.00]  ¿O sea, no se mandaban más que nada?
[0:37:17.00]-[0:37:18.00]  O sea, era más de...
[0:37:18.00]-[0:37:22.00]  Si se mandaban mucho a los hijos, o...
