[0:00:00.00]-[0:00:02.00]  ¿Ya está grabando?
[0:19:18.92]-[0:19:20.92]  pues los montones para arriba.
[0:19:20.92]-[0:19:24.92]  Sí, hay que trabajar, claro, hay que trabajar.
[0:19:24.92]-[0:19:28.92]  Con la orquesta, hay que montonar, y luego, barrerlo a todo alrededor,
[0:19:28.92]-[0:19:30.92]  todo lo que pilla la palma, pues hay que arreglarla.
[0:19:30.92]-[0:19:34.92]  Para luego meter otra palma, de trigo, de cebada, o lo que sea.
[0:19:34.92]-[0:19:37.92]  ¿Y cómo se aventaba antes?
[0:19:37.92]-[0:19:40.92]  Aventaba, pues había máquinas, había máquinas.
[0:19:40.92]-[0:19:43.92]  Antes de las máquinas, pues a mano, con la orquesta,
[0:19:43.92]-[0:19:45.92]  pues tirando para arriba, para el aire.
[0:19:45.92]-[0:19:48.92]  Ahí no venga el aire, como cambia muchas veces el aire,
[0:19:48.92]-[0:19:51.92]  pues bueno, pilla a veces, y cuando viene el aire fuerte,
[0:19:51.92]-[0:19:55.92]  pues arriba, con la orquesta de palo, y tiraba.
[0:19:55.92]-[0:19:59.92]  Y luego, pues luego que vinieran ya las máquinas,
[0:19:59.92]-[0:20:02.92]  pues bueno, las máquinas, ponía al favor del aire,
[0:20:02.92]-[0:20:06.92]  y por el elevador, pues salía orquesta al elevador,
[0:20:06.92]-[0:20:10.92]  y eso ya lo iba, unas cribas, iban mandando la paja, y la cebada.
[0:20:10.92]-[0:20:13.92]  Por un lado caía la paja, por el culo, hablando claro,
[0:20:13.92]-[0:20:16.92]  por el culo de la máquina, pues salía la paja,
[0:20:16.92]-[0:20:20.92]  y por el lateral, salía el grano, y ahí iba.
[0:20:20.92]-[0:20:22.92]  ¿Y luego con la paja qué hacían?
[0:20:22.92]-[0:20:24.92]  Pues la paja era para los animales, para las bestias,
[0:20:24.92]-[0:20:29.92]  para los mulos, para cabras, ovejas, para los animales.
[0:20:29.92]-[0:20:32.92]  Y el grano, pues para venderlo, para venderlo,
[0:20:32.92]-[0:20:36.92]  para cada uno que tuviera, al reloj que tenga, pues así nace.
[0:20:36.92]-[0:20:38.92]  ¿Y dónde lo guardabas el grano?
[0:20:38.92]-[0:20:41.92]  Pues en una habitación, siempre cuando no haya humedad,
[0:20:41.92]-[0:20:44.92]  siempre que no haya humedad, porque si no, se entallecen y se pone.
[0:20:44.92]-[0:20:47.92]  Bueno, pues en una habitación, por ejemplo aquí arriba,
[0:20:47.92]-[0:20:50.92]  aquí arriba en el ayuntamiento, eso es un sitio perfecto.
[0:20:50.92]-[0:20:53.92]  Tengo mucho trabajo subir la escalera y todo,
[0:20:53.92]-[0:20:56.92]  sí, pero es un sitio perfecto, porque aquí está el hueco,
[0:20:56.92]-[0:21:01.92]  y ahí está al aire, y eso nunca le pasa nada.
[0:21:01.92]-[0:21:04.92]  Aquí sí, la mejor lo he hecho aquí en esta habitación,
[0:21:04.92]-[0:21:07.92]  sí, un año la mejor no le pasa nada,
[0:21:07.92]-[0:21:10.92]  pero al segundo año ya empieza una palomilla,
[0:21:10.92]-[0:21:13.92]  que es el bicho que entra, que le llamamos la palomilla,
[0:21:13.92]-[0:21:15.92]  y ya se pica, se va, y ya se puede,
[0:21:15.92]-[0:21:19.92]  porque eso se come lo que es el corazón del grano,
[0:21:19.92]-[0:21:22.92]  y luego ya no vale para nada, ya no vale para nada.
[0:21:22.92]-[0:21:26.92]  Ni alimenta a los animales, ni hace nada,
[0:21:26.92]-[0:21:30.92]  porque ya ni lo cierra y no nace, eso es palomilla.
[0:21:30.92]-[0:21:34.92]  ¿Y antes para sembrar, cómo se sembraba, se agaba?
[0:21:34.92]-[0:21:37.92]  A mano, con los mulos, pues yo con los mulos he sembrado
[0:21:37.92]-[0:21:40.92]  pues hasta hace 13 años que llevo ahora con el tractor que tengo.
[0:21:40.92]-[0:21:42.92]  Hasta hace poco lo hacía.
[0:21:42.92]-[0:21:45.92]  Yo hace 13 años, ahora en junio, el día 13 de este mes,
[0:21:45.92]-[0:21:49.92]  ha hecho 13 años que lo tengo, que antes yo con mulos,
[0:21:49.92]-[0:21:53.92]  con mulos todavía desde que nací hasta que ahora hace 13 años,
[0:21:53.92]-[0:21:57.92]  pues sembrándolo a mano, porque yo tengo la sembrera en mi casa,
[0:21:57.92]-[0:22:02.92]  entonces lo llevamos a colar al hombro, tirando, tirando grano,
[0:22:02.92]-[0:22:05.92]  y hay que saber porque hay que llevar cruzado el grano,
[0:22:05.92]-[0:22:08.92]  aquí tiramos con la palca, y aquí con la palca,
[0:22:08.92]-[0:22:11.92]  para que las dos puntas se crucen,
[0:22:11.92]-[0:22:14.92]  aquí en medio que se crucen, porque si no, se echa el paso,
[0:22:14.92]-[0:22:16.92]  y no tiene nada más que para dos lados, pues sale nada más que aquí,
[0:22:16.92]-[0:22:19.92]  no tiene que tirar, aquí y aquí.
[0:22:19.92]-[0:22:23.92]  Hay que llevarlo cruzado, empuñado, y casi sale perfectamente,
[0:22:23.92]-[0:22:26.92]  sale perfectamente, sale bien.
[0:22:26.92]-[0:22:30.92]  Y luego pues ahora con los mulos, bien con el alberquedero,
[0:22:30.92]-[0:22:35.92]  o con el romano, que le llaman el romano, el de palo.
[0:22:35.92]-[0:22:41.92]  Bueno, pues una vez, según las tierras que sean, pues así nace, así nace.
[0:22:41.92]-[0:22:46.92]  Así lo hemos hecho siempre, en toda la vida.
[0:22:46.92]-[0:22:49.92]  Pues luego arreglamos, luego cuando ya está nacido,
[0:22:49.92]-[0:22:52.92]  ya te enveja nadie, pues arreglamos, y ya lo arreglamos, ya.
[0:22:52.92]-[0:22:55.92]  ¿Y quién enseñó a ustedes a sembrar?
[0:22:55.92]-[0:22:59.92]  Yo llevo ya muchos años, mis padres y mi abuelo,
[0:22:59.92]-[0:23:04.92]  esto ya viene de muchos años, ya viene de muchos años.
[0:23:04.92]-[0:23:08.92]  Y ya, ahí no te voy a explicar porque ya viene por...
[0:23:08.92]-[0:23:14.92]  ¿Y luego cuando tenían el trigo guardado, después lo llevaban al molito?
[0:23:14.92]-[0:23:21.92]  Había veces que había que entregar, había agricultores que estaban apuntados
[0:23:21.92]-[0:23:27.92]  a lo que era el gobierno, y tenían que llevar al silo que hay encima del pueblo,
[0:23:27.92]-[0:23:31.92]  y en el par de aire, ahí en silo, y tenían que entregar una cantidad de trigo.
[0:23:31.92]-[0:23:36.92]  Era forzoso, estaba declarado y tenían que entregar 10.000 kilos,
[0:23:36.92]-[0:23:39.92]  10.000 kilos, 10.000 kilos, 1000 kilos, 1000 kilos.
[0:23:39.92]-[0:23:43.92]  Cada uno lo que pudiera, lo que tuviese, y lo demás,
[0:23:43.92]-[0:23:48.92]  pues tú ya lo vendías a fuera parte, tú lo vendías, gastabas,
[0:23:48.92]-[0:23:51.92]  cada uno hacía lo que podía.
[0:23:51.92]-[0:23:56.92]  Y la remolacha, pues había bancas de remolacha, que se sembraban,
[0:23:56.92]-[0:24:00.92]  y luego te llevabas a la fábrica, y la fábrica pues ya, la vendías.
[0:24:00.92]-[0:24:04.92]  Y te pagaban para como tuvieras el kilo y...
[0:24:04.92]-[0:24:07.92]  ¿Y no se acordó usted que tuvieras que moler aquí en el pueblo?
[0:24:07.92]-[0:24:12.92]  Moler aquí, sí, ya digo, mi primo este, ahí en la pantaneta,
[0:24:12.92]-[0:24:16.92]  que nosotros le llamábamos el molino, de hecho le llamábamos el molino.
[0:24:16.92]-[0:24:21.92]  La vida de eso, había un molino que, porque ahí pues,
[0:24:21.92]-[0:24:25.92]  mucha familia, varias familias se han creado ahí, a fuerza de moler.
[0:24:25.92]-[0:24:29.92]  Pero llegaban de ahí, de la molienda, pues se han creado ahí.
[0:24:29.92]-[0:24:31.92]  ¿Cómo era el molino? ¿De viento?
[0:24:31.92]-[0:24:34.92]  No, era de agua, era de agua.
[0:24:34.92]-[0:24:38.92]  Este era eléctrico, este de mi primo, es eléctrico.
[0:24:38.92]-[0:24:43.92]  Era una piedra grande, luego tenía su turba, y le echaba la turba, el grano,
[0:24:43.92]-[0:24:46.92]  y eso va cayendo por unas maderas que iban por unas maderas,
[0:24:46.92]-[0:24:51.92]  como un cañón, iba cayendo poco a poco, y eso, una piedra, iba moliendo.
[0:24:51.92]-[0:24:54.92]  Y eso va dando vueltas y iba moliendo, entre dos piedras,
[0:24:54.92]-[0:24:58.92]  entre dos piedras, porque las piedras eran gordas, eran gordas.
[0:24:58.92]-[0:25:02.92]  Y bueno, iba dando vueltas y eso se molía ahí, me dije.
[0:25:02.92]-[0:25:06.92]  Si uno lo ajuste, porque ellos tienen unos puntos más y otros puntos menos,
[0:25:06.92]-[0:25:12.92]  y eso pues, te lo trataba como tú quisieras, más gordo, más fino,
[0:25:12.92]-[0:25:14.92]  como tú quieras, como uno quiera.
[0:25:14.92]-[0:25:16.92]  ¿Y cómo pagaban al molinero?
[0:25:16.92]-[0:25:20.92]  El molinero era, si era por dinero, pues así como si estuviera al kilo,
[0:25:20.92]-[0:25:24.92]  a 50 céntimos, bueno a 50 céntimos, pero de antes, de antes, no de hoy.
[0:25:24.92]-[0:25:28.92]  Y luego, pues el maquila, que le llaman la maquila, que la majao,
[0:25:28.92]-[0:25:33.92]  mira, pues la majao de un kilo te vea cobrar un cuarto kilo,
[0:25:33.92]-[0:25:37.92]  bueno, pues tú te llevas tres cuartos y el otro un kilo, un cuarto kilo,
[0:25:37.92]-[0:25:38.92]  y así ni va.
[0:25:38.92]-[0:25:41.92]  Que es la maquila, que le llamamos la maquila.
[0:25:43.92]-[0:25:48.92]  Tengo un objeto de allá, cada uno, arreglado el bolsillo que tuviese.
[0:25:48.92]-[0:25:50.92]  No, yo quiero dar todo lo mío, ¿vale?
[0:25:50.92]-[0:25:58.92]  Pues luego, si me vale 10 pesetas o vale 15, el mole, un saco de ese va,
[0:25:58.92]-[0:26:02.92]  pues bueno, tú tienes que darle 10 o 15 pesetas, o una o media,
[0:26:02.92]-[0:26:04.92]  a como estaba antes en la vida.
[0:26:04.92]-[0:26:08.92]  Ahora luego, ya después, pues yo estoy viendo más niveles de vida y ya,
[0:26:08.92]-[0:26:09.92]  entre cosas.
[0:26:09.92]-[0:26:11.92]  Pues entonces, ¿usted siempre ha trabajado en el campo?
[0:26:11.92]-[0:26:13.92]  Sí, sí, yo desde que nací.
[0:26:13.92]-[0:26:16.92]  Yo desde que nací, estoy liado en el campo.
[0:26:16.92]-[0:26:18.92]  ¿Por su familia también de aquí del pueblo?
[0:26:18.92]-[0:26:21.92]  Sí, sí, mi familia ha sido toda de aquí del pueblo.
[0:26:23.92]-[0:26:26.92]  Por parte de mis padres y por parte de mi madre.
[0:26:26.92]-[0:26:27.92]  Ah, por parte de los padres.
[0:26:27.92]-[0:26:29.92]  Sí, sí, todo, aquí todo, sí.
[0:26:29.92]-[0:26:32.92]  Yo estoy de aquí nacido y criado aquí en el pueblo.
[0:26:32.92]-[0:26:34.92]  ¿Y sus padres eran agricultores?
[0:26:34.92]-[0:26:38.92]  Mi padre fue agricultor, y mi madre, antes que mi padre fue mi madre,
[0:26:38.92]-[0:26:43.92]  pero mi madre ya se dio, bueno, sin padre, pues en la guerra.
[0:26:43.92]-[0:26:48.92]  Pero antes de la guerra ya tiraban tierra ellos, y el muro, y el carro, y todo.
[0:26:48.92]-[0:26:53.92]  Sí, pero yo, pequeñía, porque tenía tres años, cuatro años,
[0:26:53.92]-[0:26:58.92]  cuando sus padres murieron y luego con mi hermano, ella fue luego llamadista,
[0:26:58.92]-[0:27:02.92]  y mi abuela, hasta que ella no.
[0:27:02.92]-[0:27:05.92]  ¿Y por aquí hay caza? ¿Para que la gente vaya de cacería?
[0:27:05.92]-[0:27:08.92]  Sí, también hay cacería, hombre, ahí está.
[0:27:08.92]-[0:27:09.92]  A mí no.
[0:27:09.92]-[0:27:12.92]  Me gusta, pero es que es un perro, un gargoyle.
[0:27:12.92]-[0:27:16.92]  Nunca, he tenido dos o tres veces, pero yo no salí tampoco a cacer.
[0:27:16.92]-[0:27:18.92]  Es una cosa que no...
[0:27:18.92]-[0:27:21.92]  Me gusta verlo, pero yo practicando no.
[0:27:21.92]-[0:27:24.92]  No me gusta practicarlo porque loco, no me gusta practicarlo.
[0:27:24.92]-[0:27:26.92]  ¿Y para ir a coger conejos?
[0:27:26.92]-[0:27:31.92]  Yo conejo ahora mismo tengo en mi casa, yo tengo conejo, estoy alto ya de conejo.
[0:27:31.92]-[0:27:36.92]  Tengo en mi casa ahora mismo tres, y en otro freddo tengo otro...
[0:27:36.92]-[0:27:40.92]  cuatro, cuatro, cinco, otro cinco, más dos crías.
[0:27:40.92]-[0:27:44.92]  Tengo un caldo que no te...
[0:27:44.92]-[0:27:47.92]  Y estoy yo solo, y yo estoy soltero, y no tengo ya,
[0:27:47.92]-[0:27:50.92]  como ya digo, no tengo padre ni madre, y voy a...
[0:27:50.92]-[0:27:54.92]  y hasta mañana me fui a las seis y media de la mañana a regar,
[0:27:54.92]-[0:27:56.92]  y estaba regando una alfarfa.
[0:27:56.92]-[0:27:58.92]  ¿Por qué pronto te has levantado?
[0:27:58.92]-[0:28:01.92]  Sí, yo me levanto todos los días igual, a las seis, a las seis y media, a las siete...
[0:28:01.92]-[0:28:03.92]  y luego por ahí a hacer...
[0:28:03.92]-[0:28:07.92]  ¿Y tomas una copa? Sí, tomo una copa, pero hay lo primero de antes,
[0:28:07.92]-[0:28:09.92]  el trabajo de antes.
[0:28:09.92]-[0:28:11.92]  ¿Por qué va usted normalmente al bares?
[0:28:11.92]-[0:28:16.92]  Sí, yo voy a ir a las más que el bares, y luego ya pues ahora iba para mi casa,
[0:28:16.92]-[0:28:19.92]  pues si no se presentan ustedes pues yo voy a mi casa.
[0:28:19.92]-[0:28:24.92]  Ya les hago animales, ya están listos hasta luego de tarde, luego de tarde yo te doy otra vuelta y...
[0:28:24.92]-[0:28:26.92]  ¿Qué más animales tiene conejos?
[0:28:26.92]-[0:28:31.92]  Tengo un caballo, tengo una yegua, que eso es... para mí es lo de lo más grande.
[0:28:31.92]-[0:28:33.92]  ¿Ah sí? ¿Le gustan los caballos? Sí.
[0:28:33.92]-[0:28:38.92]  Y luego antes yo me dio un ceñahilla que hice yo cualquier cosilla, porque...
[0:28:38.92]-[0:28:43.92]  qué sé yo, andas con ellos y mira, y te dan muy bien.
[0:28:43.92]-[0:28:45.92]  ¿Y cómo lo ha enseñado?
[0:28:45.92]-[0:28:47.92]  Hablando, a fuerza, a hablar.
[0:28:47.92]-[0:28:49.92]  Es como los perros, ¿no? Sí, sí, sí.
[0:28:49.92]-[0:28:54.92]  Es el animal, porque el animal es a la fuerza de hablar, de hablar.
[0:28:54.92]-[0:28:58.92]  No pega, si pega no enseña a nadie, ni a los críos, ni a nadie, dice que no,
[0:28:58.92]-[0:29:01.92]  es hablando, hablando y no me diga nada.
[0:29:01.92]-[0:29:06.92]  No te puedes dar por cansado, porque si te das por cansado, por vencido, entonces no haces nada.
[0:29:06.92]-[0:29:11.92]  Hoy un día vas a hacer una cosa y esta cosa la tienes que hacer.
[0:29:11.92]-[0:29:13.92]  Cuando termine esa, pues luego te enseña otra.
[0:29:13.92]-[0:29:16.92]  Pero primero vente una, pero no te cambies de una a otra, no.
[0:29:16.92]-[0:29:18.92]  Siempre la misma, la misma, la misma.
[0:29:18.92]-[0:29:21.92]  Y hasta que ella se vea obligada, ya, y ya.
[0:29:21.92]-[0:29:26.92]  Ya no, ahora ya, yo digo, ahora digo cualquier cosa que diga, y ya está.
[0:29:26.92]-[0:29:28.92]  ¿Y le ha puesto nombre también a la yegua?
[0:29:28.92]-[0:29:30.92]  Sí, se llama Marinera.
[0:29:30.92]-[0:29:32.92]  ¿Marinera? Marinera se llama.
[0:29:32.92]-[0:29:34.92]  ¿Y luego cómo dice? Sí.
[0:29:34.92]-[0:29:40.92]  Porque ella medio tordilla, medio blanca, medio gris, medio torda, pero bueno, es la Marinera.
[0:29:40.92]-[0:29:44.92]  Y a mí me hace ver, a ver, yo, ¡parece una locura!
[0:29:44.92]-[0:29:47.92]  Está conmigo ella, conmigo, yo con ella.
[0:29:47.92]-[0:29:53.92]  Yo entro ahora al colegial, ustedes están conmigo y ella empieza a llamarme, a renunciar.
[0:29:53.92]-[0:29:55.92]  ¿Sí? Sí.
[0:29:55.92]-[0:29:58.92]  Y luego así me da las manos, me digo la otra, la otra.
[0:29:58.92]-[0:30:02.92]  Le digo que me dé un beso, me pega con la lengua, llamáme a la cara.
[0:30:02.92]-[0:30:07.92]  Sí, te estira, me llama, me tira la gorra al suelo, me la coge.
[0:30:07.92]-[0:30:09.92]  ¿La gorra del suelo? Sí, sí.
[0:30:09.92]-[0:30:14.92]  La navaja, la meto a la navaja, porque siempre hay que llevar navaja por burguita, por porquichuda,
[0:30:14.92]-[0:30:18.92]  pues siempre hay que llevarla, aquí en el campo siempre hay que llevar la navaja.
[0:30:18.92]-[0:30:22.92]  Aquí, esto tiene aquí los dientes señalados de ella, lo que pasa es que no la veo.
[0:30:22.92]-[0:30:27.92]  Aquí, esa la tiro yo haciendo cerrar el suelo, abierta no, porque se puede cortar, pero aquí cerrado,
[0:30:27.92]-[0:30:29.92]  y que venga, cógenla.
[0:30:29.92]-[0:30:31.92]  Y me la coge, me la caga.
[0:30:31.92]-[0:30:34.92]  Ah, pues no debe ser fácil enseñarle a hacer tantas cosas, ¿no?
[0:30:34.92]-[0:30:40.92]  No, pero es fácil. A fuerza de hablale, a fuerza de hablale y regañarle, y hay que regañarle,
[0:30:40.92]-[0:30:43.92]  hay veces que hay que regañarle, pero no pega, pega nada.
[0:30:43.92]-[0:30:49.92]  Ahora, una vez que yo ya llego a mi casa, digo ¿qué haces?
[0:30:49.92]-[0:30:54.92]  Y me empieza, hombre, ya está la piel, ¿eh?
[0:30:54.92]-[0:30:58.92]  Y empieza a laverme, le estoy limpiando el picebre, pues para que come, pues,
[0:30:58.92]-[0:31:02.92]  le estoy limpiando todo el día, le estoy limpiando, y ella viene por detrás,
[0:31:02.92]-[0:31:06.92]  como con la boca, a llamarme la atención, porque muchas veces ahí,
[0:31:06.92]-[0:31:08.92]  que yo voy a ir y luego hablan, porque no le hablan.
[0:31:08.92]-[0:31:11.92]  Y ella me coge de la suegra y digo ¿ya estamos?
[0:31:11.92]-[0:31:14.92]  Digo ¿ya estamos jugando? Digo ¿estás tijeta que te voy a dar?
[0:31:14.92]-[0:31:20.92]  No, pero ahí, jajaja, y ella, jajaja, y bueno, que no, no se mueve.
[0:31:20.92]-[0:31:21.92]  ¿Y monta usted en ella también?
[0:31:21.92]-[0:31:27.92]  Sí, la monto, y un crío pequeño, y una mujer, puede montar ahí, sí, todo el mundo.
[0:31:27.92]-[0:31:30.92]  Y ahora, usted no lo conoce, y usted llega a la cuada y no le estalla,
[0:31:30.92]-[0:31:33.92]  y usted la puede coger, puede manosear por cualquier sitio.
[0:31:33.92]-[0:31:34.92]  Ah, es muy mansa.
[0:31:34.92]-[0:31:38.92]  Sí, sí, es muy noble, es divina, sí.
[0:31:38.92]-[0:31:40.92]  Y tiene ahora seis años.
[0:31:40.92]-[0:31:42.92]  ¿Y dónde la compró?
[0:31:42.92]-[0:31:47.92]  En un grupo que se llama Ferreira, pero que la compré yo hace ya cuatro años,
[0:31:47.92]-[0:31:49.92]  y tenía dos años y medio cuando yo la compré.
[0:31:49.92]-[0:31:55.92]  Y yo, conmigo sí, pues, está gorda como, está muy gorda.
[0:31:55.92]-[0:31:57.92]  Yo le echa, le como, le echa, le como, a mí me gustan los animales,
[0:31:57.92]-[0:32:00.92]  los trozos bien, los trozos bien.
[0:32:00.92]-[0:32:01.92]  ¿Cómo tienen que estar?
[0:32:01.92]-[0:32:05.92]  No, yo, si yo con los míos, no pasa nada.
[0:32:05.92]-[0:32:07.92]  ¿Y siempre ha tenido caballos también?
[0:32:07.92]-[0:32:13.92]  Sí, mulos y caballos, yo estuve antes, hace años, en los cinta y...
[0:32:13.92]-[0:32:19.92]  los 61, tuve que vender una yegua, porque yo ya llevaba un año en su hija,
[0:32:19.92]-[0:32:23.92]  y mi padre ya mayor ya, y digo, nada, no te dejo una yegua,
[0:32:23.92]-[0:32:26.92]  no te dejo una.
[0:32:26.92]-[0:32:29.92]  Y le di, lo tiraba, y le vendí.
[0:32:29.92]-[0:32:32.92]  Pero en el sentido hasta ahora no había tenido ninguna.
[0:32:32.92]-[0:32:35.92]  Y ahora sí, tengo esa y esa no la vendo ni nada,
[0:32:35.92]-[0:32:38.92]  hasta que no se muera conmigo no la vendo.
[0:32:38.92]-[0:32:41.92]  Esta deje de estar de jefa.
[0:32:41.92]-[0:32:45.92]  Si yo falto y me muero yo, bueno, hará a mis hermanos o lo que sea,
[0:32:45.92]-[0:32:47.92]  lo que ellos quieran, pero si no, no.
[0:32:47.92]-[0:32:50.92]  Si no, no, no, yo no la vendo.
[0:32:50.92]-[0:32:53.92]  Y ya que tiene uno peruero, es que...
[0:32:53.92]-[0:32:55.92]  ¿La usas para ir de Romería o crees?
[0:32:55.92]-[0:33:00.92]  Sí, la he sacado y la he visto aquí, en San Antón, en enero,
[0:33:00.92]-[0:33:02.92]  el 17 de enero de San Antón.
[0:33:02.92]-[0:33:07.92]  Y aquí a Cezú les hace una fiesta, pues para ir al cimenterio,
[0:33:07.92]-[0:33:09.92]  porque decimos al cimenterio,
[0:33:09.92]-[0:33:12.92]  que nosotros llegábamos antes las nueve de cuarta,
[0:33:12.92]-[0:33:14.92]  pero hoy ya no se da nueve,
[0:33:14.92]-[0:33:17.92]  no hay nada más que una carrera de la puerta del cuarta hacia arriba
[0:33:17.92]-[0:33:21.92]  y ya llegaba la puerta del cimenterio, ya estaba tres carreras, pero ya está.
[0:33:21.92]-[0:33:23.92]  Pero bueno, pero la adornamos.
[0:33:23.92]-[0:33:26.92]  Yo tengo mi mantón de manila paella, mi montura nueva,
[0:33:26.92]-[0:33:28.92]  una silla, como quiera llamarle,
[0:33:28.92]-[0:33:32.92]  y luego mis lazas, la cola, la cabeza, la cara,
[0:33:32.92]-[0:33:36.92]  tengo unos pompones de lana, eso, y yo la adorno.
[0:33:36.92]-[0:33:38.92]  Pues la llevo usted mejor que una reina.
[0:33:38.92]-[0:33:41.92]  Sí, hombre, yo tengo fotografía ahí en mi casa,
[0:33:41.92]-[0:33:45.92]  tengo fotografía ahí, y sí, digo que...
[0:33:45.92]-[0:33:48.92]  ¿Y sabe hacer eso que hacen los caballeros con las patas?
[0:33:48.92]-[0:33:51.92]  Sí, yo le he hecho, pero era cuando yo,
[0:33:51.92]-[0:33:55.92]  yo andando, andando yo le hago lo que yo quiero.
[0:33:55.92]-[0:33:58.92]  Yo le pongo el bocado, me pongo el par de tres,
[0:33:58.92]-[0:34:01.92]  dos riendas largas, que me llaman las riendas largas,
[0:34:01.92]-[0:34:04.92]  y aquí a la mitad de la plaza,
[0:34:04.92]-[0:34:06.92]  estoy capaz de estar media hora andando.
[0:34:06.92]-[0:34:10.92]  Y ya salía a masacrar y levantando los manos y las patas,
[0:34:10.92]-[0:34:12.92]  y bailando, bailando,
[0:34:12.92]-[0:34:16.92]  y luego hace el paso español, el paso español lo hace,
[0:34:16.92]-[0:34:18.92]  tiene todo, sí.
[0:34:18.92]-[0:34:21.92]  Yo muchas veces no tengo tiempo,
[0:34:21.92]-[0:34:25.92]  y yo estoy solo y llevo mucha tierra, mucho campo, y...
[0:34:25.92]-[0:34:27.92]  Ah, tiene mucho campo.
[0:34:27.92]-[0:34:30.92]  Tengo mucho campo, y yo soy solo para todo,
[0:34:30.92]-[0:34:32.92]  para todo, para bueno, para malo, para todo.
[0:34:32.92]-[0:34:34.92]  ¿No tiene nadie que le ayude en el caballo?
[0:34:34.92]-[0:34:37.92]  A mí nadie. Si a mí me ayuda alguien es porque yo le ayudo a ellos,
[0:34:37.92]-[0:34:40.92]  y ellos me ayudan a mí, pero si no, nadie.
[0:34:40.92]-[0:34:42.92]  Estoy solo, solo, estoy solo.
[0:34:42.92]-[0:34:44.92]  ¿Y qué tienes sembrado ahora?
[0:34:44.92]-[0:34:46.92]  Ahora mismo tengo ceba.
[0:34:46.92]-[0:34:48.92]  Ceba, he tenido avenates, el forraje,
[0:34:48.92]-[0:34:50.92]  que el forraje es para ella, que no es para nadie, para la nieve.
[0:34:50.92]-[0:34:53.92]  Y alfalfa que estaba esta mañana derrigando es para ella,
[0:34:53.92]-[0:34:55.92]  y para los conejos, y para todo lo que hay, bueno,
[0:34:55.92]-[0:34:58.92]  para todos los animales, yo para los animales.
[0:34:58.92]-[0:35:03.92]  Pero luego tengo otras cuatro,
[0:35:03.92]-[0:35:06.92]  cuatro, tres, siete, siete, siete,
[0:35:06.92]-[0:35:10.92]  once, once porcera sembrado de ceba.
[0:35:10.92]-[0:35:12.92]  Y la ceba está buena.
[0:35:12.92]-[0:35:16.92]  Y tengo que, ya mismo, ya mismo hay que empezar a hacer gas.
[0:35:16.92]-[0:35:18.92]  Llega la cosechadora y me cosecha, y yo,
[0:35:18.92]-[0:35:21.92]  pues me traigo grano, me traigo todo.
[0:35:21.92]-[0:35:23.92]  Y, junto.
[0:35:23.92]-[0:35:25.92]  ¿Y olivo por aquí hay?
[0:35:25.92]-[0:35:28.92]  Hay algunos, no mucho, pero hay algunos, sí.
[0:35:28.92]-[0:35:31.92]  Esto de olivo no lo he tratado nunca.
[0:35:31.92]-[0:35:33.92]  Al menos sí he tenido, y tengo algunos,
[0:35:33.92]-[0:35:36.92]  y otros no tengo, pero no, tampoco.
[0:35:36.92]-[0:35:38.92]  Yo, bueno, tengo ahí una viña ahí,
[0:35:38.92]-[0:35:41.92]  unos míos olivos, unos míos almendros por ahí,
[0:35:41.92]-[0:35:47.92]  pero esa viña, que no la tengo bien mirada,
[0:35:47.92]-[0:35:49.92]  porque no está bien mirada, no.
[0:35:49.92]-[0:35:51.92]  ¿Y hay mucha gente que tenga olivo aquí?
[0:35:51.92]-[0:35:58.92]  Aquí hay tres o cuatro parcelas, o cuatro o seis parcelas.
[0:35:58.92]-[0:36:01.92]  Tengo olivo, sí.
[0:36:01.92]-[0:36:05.92]  Hay personas que ahí, que me forma el entero,
[0:36:05.92]-[0:36:07.92]  o bueno, no tiene que ver una,
[0:36:07.92]-[0:36:09.92]  en frente de la cantera esa de piedra,
[0:36:09.92]-[0:36:11.92]  hay una que ya es la mejor que hay,
[0:36:11.92]-[0:36:13.92]  ya es la mejor que hay, es así el dueño de la comida,
[0:36:13.92]-[0:36:15.92]  porque no tiene otra cosa que hacer,
[0:36:15.92]-[0:36:17.92]  y está con la barbela o con el jugo.
[0:36:17.92]-[0:36:19.92]  Es una maravilla, tiene, es una maravilla.
[0:36:19.92]-[0:36:21.92]  Al final, la aceituna, ahí tiene.
[0:36:21.92]-[0:36:23.92]  Sí, es así.
[0:36:23.92]-[0:36:26.92]  Ahora, hay un señor que también se ha criado aquí en el campo,
[0:36:26.92]-[0:36:29.92]  y eso es un fenómeno, es un fenómeno.
[0:36:29.92]-[0:36:31.92]  ¿Y cómo se recogía la aceituna antes?
[0:36:31.92]-[0:36:35.92]  Pues poniendo un faldo y unos tres labanes,
[0:36:35.92]-[0:36:39.92]  como que era llamalí, y hasta cajón, a palos, a palos,
[0:36:39.92]-[0:36:41.92]  a palos, sí.
[0:36:41.92]-[0:36:46.92]  Es que con las máquinas se puede, se puede no dar la maravilla,
[0:36:46.92]-[0:36:48.92]  pero sí lo tiene muy espeso,
[0:36:48.92]-[0:36:51.92]  y lo que es el labanico no le da tiempo abrido,
[0:36:51.92]-[0:36:54.92]  y tiene que cogerlo a mano, tiene que cogerlo a mano.
[0:36:54.92]-[0:36:57.92]  O ardeñar, o correr, o ir como una manecilla,
[0:36:57.92]-[0:36:59.92]  y dirá que la manecilla...
