[0:00:00.00]-[0:00:01.20]  ¿La matanza?
[0:17:47.20]-[0:17:49.20]  permitido, no es como ahora.
[0:17:49.20]-[0:17:51.20]  Ahora le pegan a un niño, y denunciaba,
[0:17:51.20]-[0:17:53.20]  y denunciaba bien, y yo no entiendo que debe ser así,
[0:17:53.20]-[0:17:55.20]  porque no le deben de pegar así a los niños.
[0:17:55.20]-[0:17:57.20]  Oye, para eso estamos los padres,
[0:17:57.20]-[0:17:59.20]  para aprenderlos,
[0:17:59.20]-[0:18:01.20]  y se hay que darles una torta.
[0:18:01.20]-[0:18:03.20]  Pero antes, oye, antes había una disciplina.
[0:18:05.20]-[0:18:07.20]  ¿Animaban los maestros a los niños como…?
[0:18:07.20]-[0:18:09.20]  Sí, los animaban.
[0:18:11.20]-[0:18:13.20]  Es que yo ahí no te puedo contestar,
[0:18:13.20]-[0:18:15.20]  porque no lo sé, los maestros a los niños ahora.
[0:18:17.20]-[0:18:19.20]  Antes, yo que sé,
[0:18:19.20]-[0:18:21.20]  antes como les tenías tanto respeto,
[0:18:21.20]-[0:18:23.20]  pues no tenías confianza con ellos.
[0:18:23.20]-[0:18:25.20]  Ahora ya, por los chavales, pues ya van con los profesores,
[0:18:25.20]-[0:18:27.20]  y ya nos sabemos como antes.
[0:18:27.20]-[0:18:29.20]  ¿Y recuerdas si quizá está animado a quedarte en el pueblo?
[0:18:31.20]-[0:18:33.20]  Claro, sí, sí, sí.
[0:18:35.20]-[0:18:37.20]  Sí, porque teníamos otro ambiente,
[0:18:37.20]-[0:18:39.20]  y en el pueblo, pues claro,
[0:18:39.20]-[0:18:41.20]  trabajábamos mucho.
[0:18:41.20]-[0:18:43.20]  ¿Cómo llaman aquí a los niños?
[0:18:45.20]-[0:18:47.20]  Bueno, ¿cómo les llaman?
[0:18:47.20]-[0:18:49.20]  Pues, los chavales…
[0:18:49.20]-[0:18:51.20]  ¿Rapaces también?
[0:18:51.20]-[0:18:53.20]  Sí, rapaces, sí, chavales.
[0:18:53.20]-[0:18:55.20]  ¿Y los niños?
[0:18:55.20]-[0:18:57.20]  Los chavales, sí, chavales.
[0:18:57.20]-[0:18:59.20]  Y mira el chaval,
[0:18:59.20]-[0:19:01.20]  mira ese rapaz,
[0:19:01.20]-[0:19:03.20]  pero bueno, el rapaz se usa poco ahora,
[0:19:03.20]-[0:19:05.20]  más el chaval.
[0:19:07.20]-[0:19:09.20]  ¿Y la medicina de antes, había médico?
[0:19:09.20]-[0:19:11.20]  Sí, sí, siempre,
[0:19:11.20]-[0:19:13.20]  yo me recuerdo siempre de mi entorno,
[0:19:13.20]-[0:19:15.20]  siempre de un médico.
[0:19:15.20]-[0:19:17.20]  Precisamente lo mataron los rojos,
[0:19:17.20]-[0:19:19.20]  al médico de Allende de Castro, me recuerdo yo,
[0:19:19.20]-[0:19:21.20]  le quitaron los narices, le metieron los rojos,
[0:19:21.20]-[0:19:23.20]  y le quitaron los narices al médico,
[0:19:23.20]-[0:19:25.20]  y me mandaron a casa.
[0:19:25.20]-[0:19:27.20]  Era un médico buenísimo.
[0:19:27.20]-[0:19:29.20]  ¿Y cómo se avisaba el médico? ¿Cuándo?
[0:19:29.20]-[0:19:31.20]  Pues, cuando…
[0:19:31.20]-[0:19:33.20]  Oye, si ibas a casa de él, si estabas enferma,
[0:19:33.20]-[0:19:35.20]  ibas a casa de él y te consultaba,
[0:19:35.20]-[0:19:37.20]  y iba a casa,
[0:19:37.20]-[0:19:39.20]  estabas enferma en una cama,
[0:19:39.20]-[0:19:41.20]  pues te iba a visitar a casa.
[0:19:41.20]-[0:19:43.20]  Sí, muy bien.
[0:19:43.20]-[0:19:45.20]  ¿Y enfermera?
[0:19:45.20]-[0:19:47.20]  No, no, no, todo eso,
[0:19:47.20]-[0:19:49.20]  a lo mejor había una señora que se utilizaba
[0:19:49.20]-[0:19:51.20]  con unas inyecciones, ¿sabes?
[0:19:51.20]-[0:19:53.20]  Que si pegaba, pegaba, si tenía…
[0:19:53.20]-[0:19:55.20]  Bueno, si infestaba, no es como ahora,
[0:19:55.20]-[0:19:57.20]  que hay mucha higiene, pero antes no.
[0:19:57.20]-[0:19:59.20]  Antes había una vecina allí de la abuela,
[0:19:59.20]-[0:20:01.20]  era la que ponía las inyecciones.
[0:20:01.20]-[0:20:03.20]  Era una señora.
[0:20:03.20]-[0:20:05.20]  ¿Y la otra novia?
[0:20:05.20]-[0:20:07.20]  Una señora del pueblo, se dedicaba a ello.
[0:20:07.20]-[0:20:09.20]  Una señora que entendiera,
[0:20:09.20]-[0:20:11.20]  todo el mundo la llamaba.
[0:20:11.20]-[0:20:13.20]  ¿Lo sabés?
[0:20:13.20]-[0:20:15.20]  Cuando nací a tu padre, yo tenía una señora de esas,
[0:20:15.20]-[0:20:17.20]  ahí en Cacabellos, que me metieron en Cacabellos.
[0:20:17.20]-[0:20:19.20]  Pero ¿ella sabía algo?
[0:20:19.20]-[0:20:21.20]  De coger niños.
[0:20:21.20]-[0:20:23.20]  Que a mí me nació tu padre en Algas,
[0:20:23.20]-[0:20:25.20]  y fíjate, ella me lo cogió.
[0:20:25.20]-[0:20:27.20]  Así en Algas.
[0:20:27.20]-[0:20:29.20]  Fue mi niño practicante, pero de aquella me había nacido.
[0:20:29.20]-[0:20:31.20]  ¿Cómo se avisaba?
[0:20:31.20]-[0:20:33.20]  ¿También iba a buscarla?
[0:20:33.20]-[0:20:35.20]  Sí, iba a buscarla, a ver, a casa.
[0:20:35.20]-[0:20:37.20]  Ya venía, a lo mejor ya unos días antes
[0:20:37.20]-[0:20:39.20]  de dar a luz, ya se lo decías,
[0:20:39.20]-[0:20:41.20]  a ver si te podía atender, y ya decía,
[0:20:41.20]-[0:20:43.20]  bueno, pues a la hora que sea, vais y me llamáis,
[0:20:43.20]-[0:20:45.20]  y sí iba a buscar, y venía a casa.
[0:20:45.20]-[0:20:47.20]  ¿Y al médico había que pagarle a él?
[0:20:47.20]-[0:20:51.20]  Pues sí, sí, se le pagaba, porque se le pagaba,
[0:20:51.20]-[0:20:53.20]  tenía como, ¿cómo te diría yo?
[0:20:53.20]-[0:20:55.20]  Era, le llaman una venencia,
[0:20:55.20]-[0:20:59.20]  no sé cómo lo entendéis vosotros, así, venencia.
[0:20:59.20]-[0:21:01.20]  La venencia era una cuota que se le pagaba
[0:21:01.20]-[0:21:03.20]  al mes o al año.
[0:21:03.20]-[0:21:05.20]  Estaba venido, no sabes,
[0:21:05.20]-[0:21:07.20]  ahora no sé cómo se dice,
[0:21:07.20]-[0:21:09.20]  antes era, le llamabas a venencia,
[0:21:09.20]-[0:21:13.20]  está venido al médico, y tal,
[0:21:13.20]-[0:21:15.20]  entonces venía un señor, todos los años,
[0:21:15.20]-[0:21:17.20]  o todos los meses, y le cobraba,
[0:21:17.20]-[0:21:19.20]  venía por las casas, y cobraba para el médico,
[0:21:19.20]-[0:21:21.20]  en tanto que ponía al médico,
[0:21:21.20]-[0:21:23.20]  a razón de la familia que fueras, pagabas.
[0:21:23.20]-[0:21:25.20]  ¿Y si no pagaba?
[0:21:25.20]-[0:21:27.20]  Bueno, pues ya, un día que no necesitaras,
[0:21:27.20]-[0:21:29.20]  pues ya tenías que pagarle todo junto,
[0:21:29.20]-[0:21:31.20]  tenías que pagarle la consulta.
[0:21:33.20]-[0:21:35.20]  ¿Recuerdas algún caso en el que el médico
[0:21:35.20]-[0:21:37.20]  no atendió a alguien?
[0:21:37.20]-[0:21:39.20]  No, no.
[0:21:39.20]-[0:21:41.20]  ¿Siempre iba?
[0:21:41.20]-[0:21:43.20]  Yo lo que me recuerdo es de un médico
[0:21:43.20]-[0:21:45.20]  que me mostró que no era católico,
[0:21:45.20]-[0:21:47.20]  y no lo querían enterrar en el cementerio,
[0:21:47.20]-[0:21:49.20]  de eso sí me recuerdo,
[0:21:49.20]-[0:21:51.20]  pero todo el mundo lo quería,
[0:21:51.20]-[0:21:53.20]  porque si no tenía, a lo mejor,
[0:21:53.20]-[0:21:55.20]  para pagar la consulta, les consultaba gratis,
[0:21:55.20]-[0:21:57.20]  era muy buen médico.
[0:21:57.20]-[0:21:59.20]  A aquel le llamaban don Manxin,
[0:21:59.20]-[0:22:01.20]  lo mataron los racos, y ese otro, don Manxin,
[0:22:01.20]-[0:22:03.20]  era muy bueno, muy buena persona,
[0:22:03.20]-[0:22:05.20]  no era católico,
[0:22:05.20]-[0:22:07.20]  y no iba a nunca a misa,
[0:22:07.20]-[0:22:09.20]  y después cuando se murió,
[0:22:09.20]-[0:22:11.20]  que ya se murió, que había nacido tu padre,
[0:22:11.20]-[0:22:13.20]  que vivía en Cacabelo, sin un hermano mío,
[0:22:13.20]-[0:22:15.20]  que se murió, fue al entierro,
[0:22:15.20]-[0:22:17.20]  y dice que lo enterraron de noche,
[0:22:17.20]-[0:22:19.20]  porque no lo querían enterrar,
[0:22:19.20]-[0:22:21.20]  lo enterraron sin cura,
[0:22:21.20]-[0:22:23.20]  porque el obispo no dejaba enterrar
[0:22:23.20]-[0:22:25.20]  el cementerio, porque nunca fue a misa.
[0:22:25.20]-[0:22:27.20]  Ya ves tú.
[0:22:27.20]-[0:22:29.20]  Y era un médico buenísimo para todo el mundo,
[0:22:29.20]-[0:22:31.20]  porque si no tenías para pagarle,
[0:22:31.20]-[0:22:33.20]  no te lo pagaba, y tenía medicinas él,
[0:22:33.20]-[0:22:35.20]  porque antiguamente, a lo mejor,
[0:22:35.20]-[0:22:37.20]  les daban una medicina, se la regalaban a los médicos,
[0:22:37.20]-[0:22:39.20]  y si no tenías para comprar medicinas,
[0:22:39.20]-[0:22:41.20]  te la agarrarían.
[0:22:41.20]-[0:22:43.20]  Ese médico, pues buenísimo,
[0:22:43.20]-[0:22:45.20]  todo el mundo lo admiraba,
[0:22:45.20]-[0:22:47.20]  pero sin embargo no lo querían enterrar en el cementerio,
[0:22:47.20]-[0:22:49.20]  no enterraron ahí ni en ese pueblo en Cacabelo.
[0:22:49.20]-[0:22:51.20]  ¿Cómo llamaba aquel otro?
[0:22:51.20]-[0:22:53.20]  Partera,
[0:22:53.20]-[0:22:55.20]  o camadrona.
[0:22:55.20]-[0:22:57.20]  Partera tenía dos nombres,
[0:22:57.20]-[0:22:59.20]  Partera y Camadrona.
[0:22:59.20]-[0:23:01.20]  ¿Ya había el pueblo de Fato, no?
[0:23:01.20]-[0:23:03.20]  Sí, antes no había,
[0:23:03.20]-[0:23:05.20]  como ahora.
[0:23:05.20]-[0:23:07.20]  Yo, tu padre me nací en casa, yo no.
[0:23:07.20]-[0:23:09.20]  ¿Y al cordón umbilical, cómo llamaba?
[0:23:09.20]-[0:23:11.20]  Del embrigo,
[0:23:11.20]-[0:23:13.20]  esto, el cordón,
[0:23:13.20]-[0:23:15.20]  siempre le digo cordón.
[0:23:15.20]-[0:23:17.20]  ¿Y al embrigo?
[0:23:17.20]-[0:23:19.20]  Al embrigo.
[0:23:19.20]-[0:23:21.20]  ¿Se asustaban con las enfermedades o con los partos?
[0:23:21.20]-[0:23:23.20]  ¿Cómo?
[0:23:23.20]-[0:23:25.20]  ¿Que si se asustaban con las enfermedades o con los partos?
[0:23:25.20]-[0:23:27.20]  ¿Si se asustaban?
[0:23:27.20]-[0:23:29.20]  ¿O había miedo a las enfermedades?
[0:23:29.20]-[0:23:31.20]  No, no, siempre hubo miedo.
[0:23:31.20]-[0:23:33.20]  Y del parto, pues igual.
[0:23:33.20]-[0:23:35.20]  Y en las enfermedades, hombre,
[0:23:35.20]-[0:23:37.20]  siempre estaba, se preocupaba.
[0:23:37.20]-[0:23:39.20]  ¿Te preocupaban mucho los maridos?
[0:23:39.20]-[0:23:41.20]  ¿Y los partos, por qué?
[0:23:41.20]-[0:23:43.20]  Bueno, no solían estar
[0:23:43.20]-[0:23:45.20]  en el parte.
[0:23:45.20]-[0:23:47.20]  El marido se echaba
[0:23:47.20]-[0:23:49.20]  fuera de la parte de fuera,
[0:23:49.20]-[0:23:51.20]  no estaba, era cosa ya de mujeres,
[0:23:51.20]-[0:23:53.20]  de la partera, que le llamaban.
[0:23:53.20]-[0:23:55.20]  Y bueno,
[0:23:55.20]-[0:23:57.20]  a lo mejor los familiares,
[0:23:57.20]-[0:23:59.20]  pero a lo mejor el marido, pues claro, se asustaba.
[0:23:59.20]-[0:24:01.20]  ¿Si tenías una herida,
[0:24:01.20]-[0:24:03.20]  la tocaban o esperaban a que llegara el médico?
[0:24:03.20]-[0:24:05.20]  Pues, oye, bueno,
[0:24:05.20]-[0:24:07.20]  si tenéis una herida, depende como fuera.
[0:24:07.20]-[0:24:09.20]  Si eso ya te decías la cura,
[0:24:09.20]-[0:24:11.20]  un poco de alcohol lo desinfestaba,
[0:24:11.20]-[0:24:13.20]  si poníais una venda y ya está.
[0:24:13.20]-[0:24:15.20]  Ahora si era una herida grave,
[0:24:15.20]-[0:24:17.20]  pues claro, ya tenía que llamar al médico.
[0:24:19.20]-[0:24:21.20]  ¿Recuerdas lo que en casa
[0:24:21.20]-[0:24:23.20]  nunca había visto de una herida, de alguien
[0:24:23.20]-[0:24:25.20]  que se ha infectado?
[0:24:25.20]-[0:24:27.20]  No, no, no.
[0:24:27.20]-[0:24:29.20]  Yo me recuerdo de una
[0:24:29.20]-[0:24:31.20]  que
[0:24:31.20]-[0:24:33.20]  ya veras, había dado a luz
[0:24:33.20]-[0:24:35.20]  hace poco.
[0:24:35.20]-[0:24:37.20]  Este era de Castro.
[0:24:37.20]-[0:24:39.20]  Me crié allí.
[0:24:39.20]-[0:24:41.20]  Y entonces, tenía una,
[0:24:41.20]-[0:24:43.20]  tuvo una niña, así,
[0:24:43.20]-[0:24:45.20]  recién dada a luz. Y entonces fue
[0:24:45.20]-[0:24:47.20]  a casa de una tía, y cuando llegó
[0:24:47.20]-[0:24:49.20]  pues la encontró colgada,
[0:24:49.20]-[0:24:51.20]  así, detrás de la puerta,
[0:24:51.20]-[0:24:53.20]  con una cuerda, escoroneta.
[0:24:53.20]-[0:24:55.20]  Y entonces ella, como que
[0:24:55.20]-[0:24:57.20]  había dado a luz, hacía poco,
[0:24:57.20]-[0:24:59.20]  tenía un dedo, se había hecho un corte
[0:24:59.20]-[0:25:01.20]  en un dedo, y se le hizo la cangrena.
[0:25:01.20]-[0:25:03.20]  Dicen que fue del susto.
[0:25:03.20]-[0:25:05.20]  Eso es lo que me preguntas,
[0:25:05.20]-[0:25:07.20]  así, de esas cosas.
[0:25:07.20]-[0:25:09.20]  Y después de Castro, muchos,
[0:25:09.20]-[0:25:11.20]  sí, de heridas así del pueblo,
[0:25:11.20]-[0:25:13.20]  una señora la cogió una vaca,
[0:25:13.20]-[0:25:15.20]  con los cuernos,
[0:25:15.20]-[0:25:17.20]  le hizo heridas, la tuvieron que llevar
[0:25:17.20]-[0:25:19.20]  para con cerrada, muy mala.
[0:25:19.20]-[0:25:21.20]  Y te cuento,
[0:25:21.20]-[0:25:23.20]  que en la casa,
[0:25:23.20]-[0:25:25.20]  te cuento,
[0:25:25.20]-[0:25:27.20]  de un chico,
[0:25:27.20]-[0:25:29.20]  que venía de regar de noche,
[0:25:29.20]-[0:25:31.20]  y resulta que era un ladrón.
[0:25:31.20]-[0:25:33.20]  Y me montaba un caballo,
[0:25:33.20]-[0:25:35.20]  y entonces había, antes se
[0:25:35.20]-[0:25:37.20]  cegaba el trigo, sabes,
[0:25:37.20]-[0:25:39.20]  ahora, bueno, se ponían, se hacían
[0:25:39.20]-[0:25:41.20]  unas medas, unos mederos,
[0:25:41.20]-[0:25:43.20]  unas medas así altas. Y él venía
[0:25:43.20]-[0:25:45.20]  de regar, y fue, y cargó unos,
[0:25:45.20]-[0:25:47.20]  llevaba unos manojos,
[0:25:47.20]-[0:25:49.20]  y cargó unos manojos en el coche,
[0:25:49.20]-[0:25:51.20]  en el coche, en el caballo,
[0:25:51.20]-[0:25:53.20]  y llevaba así delante de él, y en este
[0:25:53.20]-[0:25:55.20]  llego el ama, llegó el dueño.
[0:25:55.20]-[0:25:57.20]  Él venía de regar, y el otro iba a regar
[0:25:57.20]-[0:25:59.20]  allí para, sabes, para unas fincas
[0:25:59.20]-[0:26:01.20]  así, que se regaba de noche, porque había
[0:26:01.20]-[0:26:03.20]  poca agua. Y entonces,
[0:26:03.20]-[0:26:05.20]  aquel señor, que era el dueño,
[0:26:05.20]-[0:26:07.20]  lo pilló, cargando el
[0:26:07.20]-[0:26:09.20]  eso. Y después había
[0:26:09.20]-[0:26:11.20]  Guaria Civil, allí en Castro, y el, claro,
[0:26:11.20]-[0:26:13.20]  el dueño fue yo, en tal Guaria Civil, y él
[0:26:13.20]-[0:26:15.20]  después le dio mucha vergüenza a ese chico,
[0:26:15.20]-[0:26:17.20]  y había unos,
[0:26:17.20]-[0:26:19.20]  bueno, en la línea
[0:26:19.20]-[0:26:21.20]  de la luz, subió
[0:26:21.20]-[0:26:23.20]  por un poste que llamaban, por los
[0:26:23.20]-[0:26:25.20]  palos esos, y se colgó
[0:26:25.20]-[0:26:27.20]  y se quemó. Pero no se murió.
[0:26:27.20]-[0:26:29.20]  Se mostró mucho tiempo
[0:26:29.20]-[0:26:31.20]  muy malo, muy malo, muy malo. El día de hoy
[0:26:31.20]-[0:26:33.20]  que anda así, como de...
[0:26:33.20]-[0:26:35.20]  Porque después la línea, o sea, la luz lo
[0:26:35.20]-[0:26:37.20]  despidió, lo quemó todo, y lo tiró al suelo.
[0:26:37.20]-[0:26:39.20]  Y después lo llevaron para Conferrada,
[0:26:39.20]-[0:26:41.20]  y bueno, curó, pero
[0:26:41.20]-[0:26:43.20]  bueno, está así malo. Todavía vive.
[0:26:43.20]-[0:26:45.20]  Sí.
[0:26:45.20]-[0:26:47.20]  Se más.
[0:26:47.20]-[0:26:49.20]  ¿Tienes alguna
[0:26:49.20]-[0:26:51.20]  enfermedad solo, o te ha pasado algo?
[0:26:51.20]-[0:26:53.20]  No, yo no.
[0:26:53.20]-[0:26:55.20]  Yo no, bueno, sí, oye,
[0:26:55.20]-[0:26:57.20]  siempre hay alguna chaque, pero
[0:26:57.20]-[0:26:59.20]  las rimas, lo que he tenido,
[0:26:59.20]-[0:27:01.20]  asiática, y eso.
[0:27:01.20]-[0:27:03.20]  Pero en el momento, oye,
[0:27:03.20]-[0:27:05.20]  puedo estar mala, o de la
[0:27:05.20]-[0:27:07.20]  rima, o de una gripe,
[0:27:07.20]-[0:27:09.20]  o por ahí ha sido alguna cosa, pero
[0:27:09.20]-[0:27:11.20]  así, como las... Bueno, ahora dos operaciones,
[0:27:11.20]-[0:27:13.20]  de las piernas,
[0:27:13.20]-[0:27:15.20]  de la cadera, pero otra cosa
[0:27:15.20]-[0:27:17.20]  no he tenido, no.
[0:27:17.20]-[0:27:19.20]  No es que sea una estrope.
[0:27:19.20]-[0:27:21.20]  ¿Y la medicina que había antes que la...
[0:27:21.20]-[0:27:23.20]  de plantas? Pues no,
[0:27:23.20]-[0:27:25.20]  yo de lo que me recuerdo, eso
[0:27:25.20]-[0:27:27.20]  ya sería ya muy antiguo, yo de lo que
[0:27:27.20]-[0:27:29.20]  me recuerdo, que ya había
[0:27:29.20]-[0:27:31.20]  penicilina,
[0:27:31.20]-[0:27:33.20]  llamaban, esto es penicilina,
[0:27:33.20]-[0:27:35.20]  unas inyecciones,
[0:27:35.20]-[0:27:37.20]  que se ponía eso para el pulmón,
[0:27:39.20]-[0:27:41.20]  ya que me ponía la penicilina.
[0:27:41.20]-[0:27:43.20]  Y la penicilina, y eso dice que
[0:27:43.20]-[0:27:45.20]  venía del extranjero, que aquí en España
[0:27:45.20]-[0:27:47.20]  no la vio, la traían del extranjero.
[0:27:47.20]-[0:27:49.20]  Y bueno, antes la gente,
[0:27:49.20]-[0:27:51.20]  yo que sé, pues a lo mejor sí, se curaban con plantas,
[0:27:51.20]-[0:27:53.20]  o con fervuros, así,
[0:27:53.20]-[0:27:55.20]  catarro, o así, no sabes, antes
[0:27:55.20]-[0:27:57.20]  así, medicamente como ahora, claro, no lo sabía.
[0:27:57.20]-[0:27:59.20]  Pero bueno, yo
[0:27:59.20]-[0:28:01.20]  ya de lo que me voy recordando, yo
[0:28:01.20]-[0:28:03.20]  ya había
[0:28:03.20]-[0:28:05.20]  o teníamos jarabe para catarro,
[0:28:05.20]-[0:28:07.20]  y así ya te ponían
[0:28:07.20]-[0:28:09.20]  inyecciones, y ya salió
[0:28:09.20]-[0:28:11.20]  la penicilina, sabes,
[0:28:11.20]-[0:28:13.20]  y ya de lo otro,
[0:28:13.20]-[0:28:15.20]  como si curaba a la gente, ya más mayor,
[0:28:15.20]-[0:28:17.20]  yo ya no me recuerdo.
[0:28:17.20]-[0:28:19.20]  Me hacían con fervuros, y así, cosas,
[0:28:19.20]-[0:28:21.20]  se daban masajes,
[0:28:21.20]-[0:28:23.20]  así, cuando tenías un dolor, te daban
[0:28:23.20]-[0:28:25.20]  así, unas friegas, decían friegas,
[0:28:25.20]-[0:28:27.20]  así, unos masajes, así, con
[0:28:27.20]-[0:28:29.20]  alcohol, como a mí ahora, que me duele este hombro.
[0:28:29.20]-[0:28:31.20]  Hoy me duele este hombro,
[0:28:31.20]-[0:28:33.20]  casi no puedo mover.
[0:28:33.20]-[0:28:35.20]  Y eso me feo, ahora, el cambio del tiempo.
[0:28:35.20]-[0:28:39.20]  Sí. Ay, yo no me lo...
[0:28:39.20]-[0:28:43.20]  Oye, esa mucha gente, pues a lo mejor se le infestaba,
[0:28:43.20]-[0:28:45.20]  la inyección, o
[0:28:45.20]-[0:28:47.20]  a lo mejor te ponían así, a lo mejor te hacían choque,
[0:28:47.20]-[0:28:49.20]  te hacían choque, a lo mejor te hacía daño,
[0:28:49.20]-[0:28:51.20]  bueno, mucha gente, ya sabes,
[0:28:51.20]-[0:28:53.20]  estaba enferma.
[0:28:53.20]-[0:28:55.20]  ¿Nacían muchos niños muertos? ¿Cuántos?
[0:28:55.20]-[0:28:57.20]  Pues,
[0:28:57.20]-[0:28:59.20]  yo creo que sí, y se morían muchos niños,
[0:28:59.20]-[0:29:01.20]  en el mes de agosto,
[0:29:01.20]-[0:29:03.20]  se morían muchos niños.
[0:29:03.20]-[0:29:05.20]  ¿Sí? Sí.
[0:29:05.20]-[0:29:07.20]  ¿En gran partida? Sí, en el mes de agosto,
[0:29:07.20]-[0:29:09.20]  con aquel calor, pues antes había más calor
[0:29:09.20]-[0:29:11.20]  que hay ahora.
[0:29:11.20]-[0:29:13.20]  Cuando no había delantos, pues los niños se morían,
[0:29:13.20]-[0:29:15.20]  se morían muchos niños, se les entraba
[0:29:15.20]-[0:29:17.20]  una es la diteria,
[0:29:17.20]-[0:29:19.20]  diteria que es la garganta que los aboga,
[0:29:21.20]-[0:29:23.20]  y que otras enfermedades, así que
[0:29:23.20]-[0:29:25.20]  les daban los niños.
[0:29:25.20]-[0:29:27.20]  El tifos,
[0:29:27.20]-[0:29:29.20]  meningitis,
[0:29:29.20]-[0:29:31.20]  sí, les daban mucho a los niños, que ahora eso
[0:29:31.20]-[0:29:33.20]  no, no, no,
[0:29:33.20]-[0:29:35.20]  antes los niños tenían, cada poco,
[0:29:35.20]-[0:29:37.20]  a muchos niños se morían de meningitis,
[0:29:37.20]-[0:29:39.20]  se quedaban mal, y ahora ya no da eso,
[0:29:39.20]-[0:29:41.20]  porque se ve que son las vacunas,
[0:29:41.20]-[0:29:43.20]  o lo que sea, ahora se lo han quitado.
[0:29:45.20]-[0:29:47.20]  ¿Habían antes muchos hijos?
[0:29:47.20]-[0:29:49.20]  ¿La gente tenía hijos? Muchos, sí.
[0:29:49.20]-[0:29:51.20]  Sí, porque nosotros mismos fuimos,
[0:29:51.20]-[0:29:53.20]  mi madre tuvo 13 hijos,
[0:29:53.20]-[0:29:55.20]  y cuando murió mi padre,
[0:29:55.20]-[0:29:57.20]  pues quedamos 8.
[0:29:57.20]-[0:29:59.20]  Sí, antes se tenían muchos hijos,
[0:29:59.20]-[0:30:01.20]  había gente, a lo mejor de 15,
[0:30:01.20]-[0:30:03.20]  18, corto, ni nadie, gente que los tiene.
[0:30:05.20]-[0:30:07.20]  Porque un otro día en la televisión salió una,
[0:30:07.20]-[0:30:09.20]  que tenía 14.
[0:30:09.20]-[0:30:11.20]  Pero bueno, antes más,
[0:30:11.20]-[0:30:13.20]  antes se tenía más.
[0:30:15.20]-[0:30:17.20]  Entonces, pues, se volvía mal,
[0:30:17.20]-[0:30:19.20]  porque con tantos hijos,
[0:30:19.20]-[0:30:21.20]  pues ya ves tú.
[0:30:21.20]-[0:30:23.20]  No es como ahora, antes pues,
[0:30:23.20]-[0:30:25.20]  hacían una pota de caldo,
[0:30:25.20]-[0:30:27.20]  y la gente comía el caldo, y comía
[0:30:27.20]-[0:30:29.20]  matanza, y ahora no, porque ahora la gente
[0:30:29.20]-[0:30:31.20]  comía placer, porque no es como antes.
[0:30:31.20]-[0:30:33.20]  Ahora la gente, pues, aquí en los pueblos
[0:30:33.20]-[0:30:35.20]  vive muy bien, ¿eh?
[0:30:35.20]-[0:30:37.20]  Siempre con las matanzas, y bueno,
[0:30:37.20]-[0:30:39.20]  toda la vida en los pueblos,
[0:30:39.20]-[0:30:41.20]  siempre con las matanzas, y todo.
[0:30:41.20]-[0:30:43.20]  ¿Antiguamente? ¿Cómo? ¿Qué obligaciones
[0:30:43.20]-[0:30:45.20]  tenía un niño, antiguamente?
[0:30:45.20]-[0:30:47.20]  Claro que tenía que hacer.
[0:30:47.20]-[0:30:49.20]  Bueno, pues, pues nada, pues jugar,
[0:30:49.20]-[0:30:51.20]  cuando era pequeño, y después ir a colegio,
[0:30:51.20]-[0:30:53.20]  y bueno,
[0:30:53.20]-[0:30:55.20]  y nada, obligaciones ninguna,
[0:30:55.20]-[0:30:57.20]  porque no es como ahora.
[0:30:57.20]-[0:30:59.20]  Ibas a la escuela, y ala,
[0:30:59.20]-[0:31:01.20]  y si ya valías para trabajar, ya pasabas
[0:31:01.20]-[0:31:03.20]  a trabajar, cuando valías.
[0:31:03.20]-[0:31:05.20]  ¿Y una niña había distinto entre un niño y una niña?
[0:31:05.20]-[0:31:07.20]  Pues una niña trabajaba igual.
[0:31:07.20]-[0:31:09.20]  Pero la niña más en casa, ¿eh?
[0:31:09.20]-[0:31:11.20]  Sí, pero al campo se iba mucho,
[0:31:11.20]-[0:31:13.20]  a trabajar,
[0:31:13.20]-[0:31:15.20]  cuando ya eras pequeña.
[0:31:15.20]-[0:31:17.20]  Sí, porque yo me recuerdo de ir muy pronto al campo,
[0:31:19.20]-[0:31:21.20]  y quedarme allí con mis hermanos,
[0:31:21.20]-[0:31:23.20]  y mi madre,
[0:31:23.20]-[0:31:25.20]  y mi hermana, que por ejemplo iba a trabajar con mis hermanas,
[0:31:25.20]-[0:31:27.20]  que eran las mayores, y yo quedaba cuidada de mis hermanos,
[0:31:27.20]-[0:31:29.20]  y yo pues, como teníamos cerdos,
[0:31:29.20]-[0:31:31.20]  pues yo ya le cocía,
[0:31:31.20]-[0:31:33.20]  teníamos así una caldera así grande,
[0:31:33.20]-[0:31:35.20]  así con una cocina de esas bajas,
[0:31:35.20]-[0:31:37.20]  así con la pregancia,
[0:31:37.20]-[0:31:39.20]  como le llamábamos,
[0:31:39.20]-[0:31:41.20]  y cuando dábamos la caldera allí, yo le cocía ya los cerdos,
[0:31:41.20]-[0:31:43.20]  y era bien pequeñina, con mis hermanos todos por ahí alrededor.
[0:31:43.20]-[0:31:45.20]  Ya trabajabas mucho,
[0:31:45.20]-[0:31:47.20]  no es como ahora. Ahora no.
[0:31:47.20]-[0:31:49.20]  No tenéis esos problemas.
[0:31:49.20]-[0:31:51.20]  Sí, mucho.
[0:31:51.20]-[0:31:53.20]  ¿Se insultaban los niños mucho?
