[0:00:00.00]-[0:00:02.00]  ¿Se quiere granada o...?
[0:18:21.00]-[0:18:23.00]  No se me quitará eso.
[0:18:23.00]-[0:18:26.00]  Mira, por ejemplo, el pollo, ¿no?
[0:18:26.00]-[0:18:30.00]  Ponía un pie aquí encima de las dos patas.
[0:18:30.00]-[0:18:34.00]  Si traía un corde bien, si no, yo no, no más que patas al revés.
[0:18:34.00]-[0:18:39.00]  El pie aquí. Y ahora cogía, aguantaba el pollo, lo volvía pa' atrás,
[0:18:39.00]-[0:18:43.00]  le quitaba un poco de plumaje y le limpiaba con una...
[0:18:43.00]-[0:18:46.00]  porque a mí me gusta limpiar.
[0:18:46.00]-[0:18:48.00]  Y le daba el corte.
[0:18:48.00]-[0:18:53.00]  El primer corte y de seguida la sangre, porque nadie se la come, ¿no?
[0:18:53.00]-[0:18:56.00]  Hay quien le guste mucho esta vecina que yo los dije a ustedes.
[0:18:56.00]-[0:18:59.00]  Yo le iba a matar. Un día le maté seis pollos.
[0:18:59.00]-[0:19:02.00]  Pero unos pollos desagradables, pesaban a 10 kilos cada uno.
[0:19:02.00]-[0:19:05.00]  Me llevé todo el día arreglando el pollo.
[0:19:05.00]-[0:19:09.00]  Digo, me tiene que pagar bien porque esto no lo hace ni un matarífego.
[0:19:09.00]-[0:19:11.00]  Y entonces la sangre ya no la quería.
[0:19:11.00]-[0:19:15.00]  Digo, pero tampoco me gusta echarla en el suelo porque tú sabes que es muy feo, ¿no?
[0:19:15.00]-[0:19:19.00]  Le digo, si no la quiere pues la tira en el cubo de la basura o lo que sea.
[0:19:19.00]-[0:19:24.00]  Y nada, ya después, agua caliente, otras veces me decía que le quitara las pieles.
[0:19:24.00]-[0:19:28.00]  Lo amarraba por las palas, si no tenía nadie que me ayudara.
[0:19:28.00]-[0:19:30.00]  Y los corraba.
[0:19:30.00]-[0:19:33.00]  Y así le iba sacando yo la piel, otras veces encima de una mesa,
[0:19:33.00]-[0:19:37.00]  iba cortándole, cortándole, cortándole y le cortaba así la piel.
[0:19:37.00]-[0:19:41.00]  Después la abría con unas hachas, le quitaba lo de dentro y se lo corraba.
[0:19:41.00]-[0:19:45.00]  Se lo amarraba por una parte y se lo corraba para que se le secara.
[0:19:45.00]-[0:19:49.00]  ¿Y cómo ha dicho? ¿Con qué lo cortaba? ¿Con una?
[0:19:49.00]-[0:19:51.00]  Hacha.
[0:19:51.00]-[0:19:54.00]  Para abrirle por la parte de adelante.
[0:19:54.00]-[0:19:56.00]  Pero ¿qué llaman aquí hacha?
[0:19:56.00]-[0:19:58.00]  ¿Tú no sabes lo que es una hacha?
[0:19:58.00]-[0:20:00.00]  Sí, pero ¿tan grande compraba?
[0:20:00.00]-[0:20:02.00]  No, porque yo tengo ahí una así más o menos.
[0:20:02.00]-[0:20:08.00]  Que la tengo para mi marido cortarme a lo mejor la costilla que compraba ahí en la Serranía y cosas de esas.
[0:20:08.00]-[0:20:11.00]  Tengo una hacha medianita ahí.
[0:20:11.00]-[0:20:15.00]  Y así, así se arreglan los dos pollos.
[0:20:15.00]-[0:20:19.00]  Y después va a quitarle las plumas, si no quiere que le quite la piel,
[0:20:19.00]-[0:20:24.00]  con agua bien caliente, en un barraño grande se le echa por encima y se le va dando vuelta
[0:20:24.00]-[0:20:27.00]  hasta que se le va poniendo las plumas blandas.
[0:20:27.00]-[0:20:31.00]  Y ya empezas a las alayas, quita de plumas.
[0:20:31.00]-[0:20:36.00]  Y a lavarlo bien lavaito y abrirle la pechuga y se le quita todo.
[0:20:36.00]-[0:20:41.00]  Si es una gallina tiene huevos, muchas tienen los huevos con la casca y todo.
[0:20:41.00]-[0:20:42.00]  ¿Dentro?
[0:20:42.00]-[0:20:43.00]  Sí.
[0:20:43.00]-[0:20:45.00]  ¡Uy! Cuantísimas matas yo puedo.
[0:20:45.00]-[0:20:48.00]  ¿Y ella? ¿Cuánto se le corta?
[0:20:48.00]-[0:20:50.00]  ¿Entiendas a boletear?
[0:20:50.00]-[0:20:56.00]  Sí, pero por eso le tengo yo con el pie mío las dos patas para pillar, ¿no?
[0:20:56.00]-[0:20:59.00]  Para que no boletee.
[0:20:59.00]-[0:21:01.00]  Debe ser difícil, ¿eh?
[0:21:01.00]-[0:21:08.00]  A mí no me da miedo a ninguno de matar a la gallina ni nada de esas cosas.
[0:21:08.00]-[0:21:13.00]  Es que nosotros la de la capital somos mocadiles, pero eso no quiere decir que no.
[0:21:13.00]-[0:21:17.00]  No, es que mi sobrino este también que va a venir esta tarde,
[0:21:17.00]-[0:21:22.00]  yo qué sé, el padre de campo y mi hermana también, bueno,
[0:21:22.00]-[0:21:25.00]  se fue para Huervas hace ya muchos años, mi hermana ha ido en Huervas.
[0:21:25.00]-[0:21:32.00]  Pero que el chico después tiene otro con 25 años que es de... es de humanista.
[0:21:32.00]-[0:21:37.00]  El grande es profesor y tú sabes que... yo qué sé, se da cuenta de los estudios,
[0:21:37.00]-[0:21:42.00]  el otro dice que quiere entrar en la policía.
[0:21:42.00]-[0:21:46.00]  Digo, pues sigue tú con el camión que está repartiendo productos de limpieza y eso,
[0:21:46.00]-[0:21:48.00]  que la policía va a estar lejos.
[0:21:48.00]-[0:21:50.00]  No le gusta.
[0:21:50.00]-[0:21:56.00]  Sí, a mí sí me gusta, pero que estamos difíciles las cosas ahora, ¿no?
[0:21:56.00]-[0:21:59.00]  El listo es, el niño, el niño es muy listo.
[0:21:59.00]-[0:22:04.00]  Y el grande también, el grande se ha tenido que operar en Barcelona dos veces de la vida.
[0:22:04.00]-[0:22:05.00]  Dos veces o tres.
[0:22:05.00]-[0:22:06.00]  ¿Por qué?
[0:22:06.00]-[0:22:09.00]  Porque tuvo desprendimiento de retina.
[0:22:09.00]-[0:22:12.00]  ¿Por qué? ¿Por la detención alta?
[0:22:12.00]-[0:22:16.00]  Yo no sé por qué, porque mi hermana de seguida le hago alguna pregunta a él,
[0:22:16.00]-[0:22:22.00]  y yo le digo que no le quiere tocar en el tema de eso.
[0:22:22.00]-[0:22:24.00]  Y es de ser muy...
[0:22:24.00]-[0:22:27.00]  El chico siempre está con mi madre diciéndole cosas.
[0:22:27.00]-[0:22:30.00]  Dice, te voy a dar un paseo en la silla de ruedas.
[0:22:30.00]-[0:22:32.00]  Te voy a llevar parte.
[0:22:32.00]-[0:22:36.00]  El otro, de más capacidad, claro, tiene 30 años y el chico tiene 25.
[0:22:36.00]-[0:22:39.00]  Son cinco años de diferencia, quiera que no.
[0:22:39.00]-[0:22:43.00]  Y según la condición de los agentes, porque a lo mejor son 80 años,
[0:22:43.00]-[0:22:46.00]  tienen muchos flores y con mucha gana de Watsa siempre.
[0:22:46.00]-[0:22:52.00]  Y otros más jóvenes no tienen tanta gana de Watsa.
[0:22:52.00]-[0:22:53.00]  ¿Y su madre qué está ahí?
[0:22:53.00]-[0:22:59.00]  Mi madre está en un sillón grande con un cojín de estos,
[0:22:59.00]-[0:23:02.00]  como yo trabajaba en ayuda a domicilio.
[0:23:02.00]-[0:23:11.00]  Entonces le solicité a través de la enfermera de enlace el cojín.
[0:23:11.00]-[0:23:14.00]  No me olvido conocerse de esas cosas.
[0:23:14.00]-[0:23:17.00]  Unos cojines que hay para que no se pique y demás.
[0:23:17.00]-[0:23:22.00]  Y para las 24 horas son de esposa y tienen su forro gratificado.
[0:23:22.00]-[0:23:26.00]  Y su cajita y todo, viene con las obstrucciones para poderlo lavar,
[0:23:26.00]-[0:23:28.00]  la funda y todo.
[0:23:28.00]-[0:23:30.00]  Y entonces cuando tiene que ir al cuarto de baño,
[0:23:30.00]-[0:23:35.00]  pues hay que pasar de la silla que está ahí asentada a la silla de ruedas.
[0:23:35.00]-[0:23:37.00]  Y para llevarla a la habitación lo mismo.
[0:23:37.00]-[0:23:39.00]  Pero ella no tiene ninguna novedad.
[0:23:39.00]-[0:23:46.00]  Mi madre la tiene, pero la cabeza la tiene con los 16 años como un reloj.
[0:23:46.00]-[0:23:50.00]  Si estuviera ahí, me contaba todas estas cosas que estoy yo diciendo igual,
[0:23:50.00]-[0:23:52.00]  porque ella iba conmigo aquí en Cabo.
[0:23:52.00]-[0:23:56.00]  A preparar en la matanza, acá está mi vecina que la guía también maestra escuela.
[0:23:56.00]-[0:23:59.00]  Aquí hay muchos maestros.
[0:23:59.00]-[0:24:01.00]  ¿Ves a la maestra escuela?
[0:24:01.00]-[0:24:07.00]  Tengo otro primo hermano en Sevilla que también es maestro escuela.
[0:24:07.00]-[0:24:13.00]  Está en Olivares, que vino ella aquí a la clase, a Castillejo,
[0:24:13.00]-[0:24:17.00]  y él también estaba allí, se enamoraron y se casaron.
[0:24:17.00]-[0:24:21.00]  La niña tiene 22 años, con la carrera ya terminada.
[0:24:21.00]-[0:24:24.00]  Y el niño está también a puntura de caramelo.
[0:24:24.00]-[0:24:30.00]  Los dos tienen caramelo de coche también.
[0:24:30.00]-[0:24:34.00]  ¿Y los pollos que usted mataba, es decir, eran suyos, no?
[0:24:34.00]-[0:24:38.00]  De nuestro, del campo y de la vecina esta que es un sobrino,
[0:24:38.00]-[0:24:43.00]  que está colocado en algo de...
[0:24:43.00]-[0:24:45.00]  espérate que no vuelve...
[0:24:45.00]-[0:24:48.00]  de la electricidad.
[0:24:48.00]-[0:24:52.00]  Directo, no, es directo, no puede ser, espérate.
[0:24:54.00]-[0:24:58.00]  Jefe de Sevillana.
[0:25:00.00]-[0:25:03.00]  Y los compraba en una granja que había a la salida.
[0:25:03.00]-[0:25:06.00]  Y eran unos pollos enormes, desagrad.
[0:25:06.00]-[0:25:09.00]  Y claro, traía por lo menos 6 pollos, traje, trajo 10.
[0:25:09.00]-[0:25:13.00]  Digo, pues esto tendrá que hacer en dos días, porque va a hacer demasiado
[0:25:13.00]-[0:25:17.00]  tener yo que arreglar mi casa y matar de tantos pollos.
[0:25:17.00]-[0:25:19.00]  Y después con un muchacho me pagaba.
[0:25:19.00]-[0:25:22.00]  Pobre, hace ya un chorro de años, pero...
[0:25:22.00]-[0:25:27.00]  No lo sé, por lo menos 2.000 pesetas, 3.000 pesetas me daba por arreglar el orto.
[0:25:27.00]-[0:25:29.00]  ¿A su lo por arreglarlo?
[0:25:29.00]-[0:25:31.00]  Por matarlo y arreglárselo.
[0:25:31.00]-[0:25:35.00]  En fin, entero se los dejaba yo que los picara a la momentamene.
[0:25:35.00]-[0:25:37.00]  Como si fuera de la collería.
[0:25:37.00]-[0:25:40.00]  Pero eran muy grandes los pollos de esa era.
[0:25:40.00]-[0:25:44.00]  ¿Y qué has dicho que hacía? ¿Con la sangre nunca se aprovechaba?
[0:25:44.00]-[0:25:45.00]  No.
[0:25:45.00]-[0:25:47.00]  Ah, después por dentro tiene...
[0:25:47.00]-[0:25:48.00]  ¿De la sangre del pollo?
[0:25:48.00]-[0:25:50.00]  De la sangre del pollo, a mí, yo no...
[0:25:50.00]-[0:25:51.00]  Ella me decía, llévatela.
[0:25:51.00]-[0:25:54.00]  Y yo por no decirle que no me la traía, pero después la tiraba.
[0:25:54.00]-[0:25:59.00]  Pero dentro sí me lo daba la azadura y el librito que le dije.
[0:25:59.00]-[0:26:01.00]  Que es el Pedré.
[0:26:01.00]-[0:26:03.00]  No sé si sabrás tú lo que es.
[0:26:03.00]-[0:26:08.00]  Es una bolsa que tiene por dentro y tiene... es como el buche.
[0:26:08.00]-[0:26:13.00]  Y entonces donde le da un cortecito se abre y sale una piea entera.
[0:26:13.00]-[0:26:17.00]  Es como el buche del cochino, que se le quita también esa piea.
[0:26:17.00]-[0:26:18.00]  Sí, más o menos.
[0:26:18.00]-[0:26:24.00]  Y eso me lo daba ella a mí, si eran 5 o 6 y hacía yo un arroz con menudillo de eso estaba riquísimo.
[0:26:24.00]-[0:26:27.00]  Y aparte de pollos, ¿tenían más animales?
[0:26:27.00]-[0:26:30.00]  Borrego también, mi marido los mata.
[0:26:30.00]-[0:26:32.00]  ¿Y los borregos cómo...?
[0:26:32.00]-[0:26:36.00]  Por los borregos se mata al revés, por aquí por la cabeza.
[0:26:36.00]-[0:26:38.00]  ¿Y con ellos qué se... qué se...
[0:26:38.00]-[0:26:43.00]  Pues nada, los mataba y los preparaba y nosotros los traíamos para ponerlos en el congelador,
[0:26:43.00]-[0:26:45.00]  que ya era nuestro del campo.
[0:26:45.00]-[0:26:51.00]  Los preparaba las chuletas por una parte, las manillas por otra, las patas intercambiadas
[0:26:51.00]-[0:26:56.00]  las manillas por otra, las patas siempre las dejaba en la montera para que me echaran el horno,
[0:26:56.00]-[0:27:00.00]  que está muy rica la carne de gordero, las chuletas para zarlas, no le gustan.
[0:27:00.00]-[0:27:02.00]  Sí le gustan.
[0:27:02.00]-[0:27:03.00]  Sí, sí, a nosotros no.
[0:27:03.00]-[0:27:10.00]  La otra acá me pasé cardereta, aquí hay una señora que es gitana, pero viene mucho para acá,
[0:27:10.00]-[0:27:16.00]  porque me dice, anda, que como tú nadie, porque hay que verlo que tú llevas para adelante las niñas,
[0:27:16.00]-[0:27:19.00]  la comida, está trabajando, no tiene cardereta.
[0:27:19.00]-[0:27:25.00]  Me digo, ya no hay cardereta, porque siempre le da, es muy buena,
[0:27:25.00]-[0:27:30.00]  viene y me ayuda a limpiar el patio los fines de semana, los viernes por la tarde,
[0:27:30.00]-[0:27:34.00]  y yo le coso algo que traía de ropa que ella no sabe,
[0:27:34.00]-[0:27:37.00]  si es una farda que se la tenga que arreglar se la arreglo yo,
[0:27:37.00]-[0:27:42.00]  da lo mejor camisa del marido, cosas así, porque el marido es muy delgadín y no le dicen el...
[0:27:42.00]-[0:27:44.00]  fíjate si será delgadín.
[0:27:44.00]-[0:27:49.00]  Y entonces yo le arreglo las camisas, los dobladillos de los pantalones,
[0:27:49.00]-[0:27:56.00]  y claro, como no tiene otra cosa que darme, pues me echo una mano en algo que me pueda ayudar.
[0:27:57.00]-[0:28:03.00]  Después cuando ella cobra el paro, me pide cosas de Cristian Lai para la hija.
[0:28:04.00]-[0:28:09.00]  Ayer estuvo aquí rifando, y le digo, ¿qué trae ahora rifando?
[0:28:09.00]-[0:28:11.00]  Dice, dos huevos de sábana.
[0:28:11.00]-[0:28:16.00]  Dice, ay, nunca te toca a ti, digo, bueno, que le toca a otro, mejor que le hace más falta que a mí.
[0:28:16.00]-[0:28:17.00]  Le digo yo.
[0:28:17.00]-[0:28:22.00]  Así que me dijo que tenía que cocerle unas cortinas, digo, ya cuando termine de trabajar,
[0:28:22.00]-[0:28:25.00]  porque yo trabajando no puedo estar...
[0:28:25.00]-[0:28:32.00]  porque viene una a las cinco y media, que si te duchas rápido tienes que ir al supermercado a comprar algo.
[0:28:33.00]-[0:28:37.00]  Y dije, no, que los niños que viene mi hija a las tres y media o a las cuatro de trabajar,
[0:28:37.00]-[0:28:44.00]  las más chicas, las de 22 años, esas vienen porque están estando de fuera y están cogiendo arándalos.
[0:28:44.00]-[0:28:45.00]  ¿Ah, sí?
[0:28:45.00]-[0:28:46.00]  Sí.
[0:28:46.00]-[0:28:47.00]  ¿Y dónde los cogen?
[0:28:47.00]-[0:28:53.00]  Pues en la finca de un muchacho, es de aquí, no, es la mujer de aquí y es de Santilvestre,
[0:28:53.00]-[0:28:55.00]  pero están viviendo aquí.
[0:28:55.00]-[0:28:58.00]  Y entonces tiene fresa y tiene arándalos.
[0:28:58.00]-[0:29:06.00]  Y esta mi hija empezó un jueves por la tarde, de las tres, no, de las seis a las nueve,
[0:29:06.00]-[0:29:08.00]  y me decía una...
[0:29:08.00]-[0:29:12.00]  como yo estaba barriendo en la calle y me sonó el móvil y me dice, mamá, que esta tarde voy a trabajar,
[0:29:12.00]-[0:29:16.00]  y me dice la que estaba conmigo, y tu hija la metiste y ella trabaja por la tarde,
[0:29:16.00]-[0:29:20.00]  y digo, pues claro, porque lo que salga, si es por la tarde, pues por la tarde,
[0:29:20.00]-[0:29:25.00]  cuando los niños vayan a venir a casa, ya yo estoy, porque ella a las cinco y media me los trae
[0:29:25.00]-[0:29:28.00]  y a las cinco y media llego yo, así que ya me trajo para acá los niños,
[0:29:28.00]-[0:29:30.00]  los niños son buenísimos para comer.
[0:29:30.00]-[0:29:37.00]  A veces comió la niña tres platos de patata, que hice patata con rafel, y se comió tres platos,
[0:29:37.00]-[0:29:40.00]  de estos platos honditos, pero tres veces.
[0:29:40.00]-[0:29:44.00]  Y el abuelo dejó un poco, y cuando me doy cuenta que estaba comiendo las obras del abuelo,
[0:29:44.00]-[0:29:48.00]  digo, no, como mamá, hija, y dice, es que me gusta mucho.
[0:29:48.00]-[0:29:53.00]  Es muy grandiosa, con cuatro años que tiene, y me dice, me está molestando mi hermano, abuela.
[0:29:53.00]-[0:29:58.00]  Y digo, te está molestando, el hermano tiene seis años, pero es desagrado también de grande.
[0:29:58.00]-[0:30:06.00]  Y el hermano, el viernes, le ha hecho armeja con arroz, y la madre pues se lo quito,
[0:30:06.00]-[0:30:11.00]  y cuando va a las tres y diez del cuarto, le echo la ropa que esté a punto cuando llegue ella.
[0:30:11.00]-[0:30:16.00]  Y los niños se comieron cada uno su plato de arroz, ya debe haber almorzado en el comedor,
[0:30:16.00]-[0:30:20.00]  pero almuerzan muy temprano, a las dos por ahí, pues hasta ahora ya los niños tienen hambre,
[0:30:20.00]-[0:30:22.00]  y que son de mucho comer.
[0:30:22.00]-[0:30:27.00]  Se tomó un tazón de fresa picada con azúcar, y un yogur el niño.
[0:30:27.00]-[0:30:29.00]  Y la niña nada más quedó.
[0:30:29.00]-[0:30:32.00]  Y a las cinco me estaba diciendo que quería merenda.
[0:30:32.00]-[0:30:34.00]  Otro tazón de leche con cereal.
[0:30:34.00]-[0:30:37.00]  Digo, me voy a volver loca con la comida.
[0:30:37.00]-[0:30:42.00]  Denme, porque después las hermanas de esta niña mía, de esta castaña ahora,
[0:30:42.00]-[0:30:46.00]  hasta cuatro días por saber el comedor, porque es malísima para comer.
[0:30:46.00]-[0:30:48.00]  Qué mala, qué mala, qué mala.
[0:30:48.00]-[0:30:51.00]  Cuatro días, y cuatro días que ha tenido que almorzar para acá a las dos con la hermana,
[0:30:51.00]-[0:30:53.00]  y he tenido que tener la comida preparada.
[0:30:53.00]-[0:31:01.00]  Un día le dejé macarrónes preparados, otro día pucheros, otro día que era patata con carne.
[0:31:01.00]-[0:31:04.00]  Loca, al poco, loca.
[0:31:04.00]-[0:31:06.00]  De la cabeza con la comida de él.
[0:31:06.00]-[0:31:08.00]  ¿Qué te haría que comas?
[0:31:08.00]-[0:31:14.00]  No, pero que, a ver si me entiende, que cuatro días comiendo aquí porque no ha querido comer,
[0:31:14.00]-[0:31:18.00]  porque no sé qué era el lenteje, no ha querido comer el lenteje en el comedor.
[0:31:18.00]-[0:31:23.00]  Entonces, para que ella se dé cuenta, por las punta, cuatro días del comedor.
[0:31:23.00]-[0:31:27.00]  Y después tiene el hermanito de cuatro años que está comiendo en la escuela,
[0:31:27.00]-[0:31:32.00]  que ese me dice, abuela, me he comido dos platos de puré de verduras,
[0:31:32.00]-[0:31:37.00]  me he comido una empanada de pescado, y me, yo qué sé, yo qué sé,
[0:31:37.00]-[0:31:39.00]  y le digo, ¿y cómo comiste una de esas?
[0:31:39.00]-[0:31:41.00]  Y me dice, es más asquerosa para la comida.
[0:31:41.00]-[0:31:44.00]  Digo, sí que es asquerosa tu m... para la comida.
[0:31:44.00]-[0:31:46.00]  Y yo con él perdi una palabra, pero es tu m...
[0:31:46.00]-[0:31:50.00]  tu madre va a tener que dejar de trabajar porque cuando lleve cuatro partes ya,
[0:31:50.00]-[0:31:52.00]  me parece ya que no puede entrar en el comedor.
[0:31:52.00]-[0:31:56.00]  Aquí me va a tocar mucho el ovacete a mí porque ya de ahora ya no iré a trabajar,
[0:31:56.00]-[0:31:58.00]  y la traerán para acá y almorzar ahí.
[0:31:58.00]-[0:32:01.00]  Pero si la niña está ahí, a lo mejor creo que nos gusta la comida.
[0:32:01.00]-[0:32:07.00]  Claro, lo mismo hace la comida del comedor que la comida nuestra de casa.
[0:32:07.00]-[0:32:11.00]  Le hago yo a esto, le hice la otra noche un puré de calabacín,
[0:32:11.00]-[0:32:15.00]  estaba riquísimo, de calabacín, el nuestro del campo.
[0:32:15.00]-[0:32:20.00]  Que no lo asusté, pero de la frutería.
[0:32:20.00]-[0:32:23.00]  Bueno, pues yo preparo, le echo una rodadita de patata,
[0:32:23.00]-[0:32:26.00]  la cebollita y el calabacín.
[0:32:26.00]-[0:32:30.00]  Y un poquito de sal, y ya fuego lento, fuego lento,
[0:32:30.00]-[0:32:33.00]  porque va a faltar un poquito de agüita.
[0:32:33.00]-[0:32:36.00]  Y después le pongo los quesitos.
[0:32:36.00]-[0:32:42.00]  Y se los hago en la batidora, se los muelo y se los comen en unos platos,
[0:32:42.00]-[0:32:47.00]  se los ponen trocitos del pan, este de biscotín, este que es de tostadito,
[0:32:47.00]-[0:32:50.00]  se los ponen y se los comen.
[0:32:50.00]-[0:32:56.00]  Esta novia se comió media barra mojándome el pan, es la comida.
[0:32:56.00]-[0:33:00.00]  Si tiene cuatro años y tiene un 33 de zapato.
[0:33:00.00]-[0:33:02.00]  Es de esa regla.
[0:33:02.00]-[0:33:04.00]  Pues pongala un poquito...
[0:33:04.00]-[0:33:06.00]  Sí, pero si es que me está asco.
[0:33:06.00]-[0:33:12.00]  ¿Te doy cuenta?
[0:33:12.00]-[0:33:16.00]  Está es mi...
[0:33:16.00]-[0:33:22.00]  Está hija mía muy simpática también, la madre de mi.
[0:33:22.00]-[0:33:26.00]  Si quiere, yo voy, que va a oír, mira lo gratis, escuchando hacer esto.
[0:33:26.00]-[0:33:27.00]  ¡Amá!
[0:33:27.00]-[0:33:28.00]  ¿Qué?
[0:33:28.00]-[0:33:30.00]  ¿Qué está?
[0:33:30.00]-[0:33:32.00]  ¡Vente para acá!
[0:33:32.00]-[0:33:33.00]  Pero, ¿qué ha pasado?
[0:33:33.00]-[0:33:35.00]  ¿Qué ha pasado de qué, hija?
[0:33:35.00]-[0:33:40.00]  Ya viste, p***, un gopérano habla, la hija, el niño y mi cuñazo ese que está visto en la tele.
[0:33:40.00]-[0:33:45.00]  ¿Qué me ha visto en la tele?
[0:33:45.00]-[0:33:49.00]  Dile a tu cuñazo si te cree que se está quedando conmigo.
[0:33:49.00]-[0:33:51.00]  ¿P***? ¿Y a mi cuñazo? ¿Y ya?
[0:33:51.00]-[0:33:53.00]  ¿Has visto a su madre en la cena de ahora mismo?
[0:33:53.00]-[0:33:55.00]  Más tarde me verás, ahora no.
[0:33:55.00]-[0:33:57.00]  ¿A qué hora de qué es?
[0:33:57.00]-[0:34:03.00]  Espérate que te voy a pasar la señora que está aquí conmigo.
[0:34:03.00]-[0:34:04.00]  ¿Qué es? ¿Quién es su hija?
[0:34:04.00]-[0:34:07.00]  Es la cuña de mi hija.
[0:34:07.00]-[0:34:10.00]  Hola, buenas tardes.
[0:34:10.00]-[0:34:15.00]  Si, mire, somos un grupo de investigación de la Universidad Autónoma de Madrid.
[0:34:15.00]-[0:34:20.00]  Y estamos hablando con su, exactamente suegra o...
[0:34:20.00]-[0:34:22.00]  No, él ahí, pregúntale a ti ahí.
[0:34:22.00]-[0:34:25.00]  ¿Es usted?
[0:34:25.00]-[0:34:26.00]  Es mi hija.
[0:34:26.00]-[0:34:31.00]  Es su hija, bueno, pues es que estamos haciendo una entrevista a su madre sobre las matanzas
[0:34:31.00]-[0:34:34.00]  y sobre cómo era la vida de antes.
[0:34:34.00]-[0:34:39.00]  Y hubiéramos querido hablar con alguien un poco mayor, pero más mayor que su madre, quiero decir,
[0:34:39.00]-[0:34:44.00]  pero ella ha sido tan amable y nos está contando todo perfectamente.
[0:34:44.00]-[0:34:45.00]  Uy, se ha cortado.
[0:34:45.00]-[0:34:48.00]  ¿Ha cortado?
[0:34:48.00]-[0:34:51.00]  Uy, esta mañana me ha pasado a mí.
[0:34:51.00]-[0:34:54.00]  Me he tenido que tomar dos mapis.
[0:34:54.00]-[0:34:56.00]  Ah, eso es lo que tomaba yo, pero ya...
[0:34:56.00]-[0:34:59.00]  Porque me lo ha dicho...
[0:34:59.00]-[0:35:02.00]  No te rías, que dices que hablas como si fuéramos mayores de la edad.
[0:35:02.00]-[0:35:04.00]  No, me lo he dado.
[0:35:04.00]-[0:35:08.00]  Me lo tomé y me tuve que acostar cuando se fue mi marido porque estaba borracha,
[0:35:08.00]-[0:35:11.00]  pero como si me hubiese estado toda la noche de jarana, ¿no?
[0:35:17.00]-[0:35:18.00]  ¿Quién ha sentado usted?
[0:35:18.00]-[0:35:20.00]  Yo no.
[0:35:20.00]-[0:35:29.00]  Ay, cómo me gustaba esa canción.
[0:35:29.00]-[0:35:33.00]  ¿Por qué cortaste?
[0:35:33.00]-[0:35:36.00]  ¿Pero va a venir para acá?
[0:35:36.00]-[0:35:40.00]  Dile que no tarde mucho, que venga.
[0:35:40.00]-[0:35:42.00]  Venga, adiós.
[0:35:42.00]-[0:35:45.00]  Dice que quiera, abuela.
[0:35:45.00]-[0:35:50.00]  Esta lleva aquí desde el año nuevo siempre aquí con nosotros
[0:35:50.00]-[0:35:53.00]  porque la madre está trabajando y entonces se queda aquí,
[0:35:53.00]-[0:35:55.00]  pero ya lo dice ella.
[0:35:55.00]-[0:35:57.00]  El hermano está en el instituto de Mallamonte.
[0:35:57.00]-[0:35:59.00]  Dos noches, mi tío, dos noches yo.
[0:35:59.00]-[0:36:01.00]  Porque se pega.
[0:36:01.00]-[0:36:04.00]  Quien quiera venir los va a quedarse y los dos no los conciento yo
[0:36:04.00]-[0:36:07.00]  porque uno tiene 14 años y la niña tiene 10
[0:36:07.00]-[0:36:09.00]  y se pone un poquito en celado uno con el otro y se pega.
[0:36:09.00]-[0:36:14.00]  Y yo no necesito que está cogiendo sofocones por la noche con los niños, vamos.
[0:36:14.00]-[0:36:17.00]  Entonces se queda dos noches uno tras dos noches otro.
[0:36:17.00]-[0:36:21.00]  Esta noche le toca a...
[0:36:21.00]-[0:36:23.00]  y mañana la noche.
[0:36:23.00]-[0:36:27.00]  Pero mientras que esté yo trabajando se tiene que quedar todas las noches
[0:36:27.00]-[0:36:30.00]  porque mañana lleva ella los niños al colegio.
[0:36:30.00]-[0:36:33.00]  Los niños de mi hija, la que está cogiendo los arándanos.
[0:36:33.00]-[0:36:35.00]  O sea que todos aquí colaboran.
[0:36:35.00]-[0:36:40.00]  Están con 10 años más simpáticas y tiene un reaño ella
[0:36:40.00]-[0:36:43.00]  para poder tirar para adelante como que.
[0:36:43.00]-[0:36:46.00]  Y el hermano, lo mismo el hermano, estábamos por la Semana Santa
[0:36:46.00]-[0:36:51.00]  fue a Badajoz a tocar en la banda de música.
[0:36:51.00]-[0:36:56.00]  Estuvo en Isla Cristina, en Mallamonte, en Lepe y después aquí.
[0:36:56.00]-[0:36:58.00]  ¿Qué bote que toca ahí?
[0:36:58.00]-[0:37:00.00]  El sofazón toca.
[0:37:02.00]-[0:37:04.00]  Y la niña no sé yo lo que es.
[0:37:04.00]-[0:37:05.00]  La niña...
[0:37:05.00]-[0:37:06.00]  Es de viento, ¿no?
[0:37:06.00]-[0:37:07.00]  Sí.
[0:37:07.00]-[0:37:10.00]  La niña te toca las árboles rocieras con una flauta
[0:37:10.00]-[0:37:13.00]  de que era de las tías cuando estaba en el colegio de mi hija.
[0:37:13.00]-[0:37:16.00]  Que te vuelve Lucas, la niña escucha.
[0:37:16.00]-[0:37:20.00]  Vino el otro día la supervisora mía de Christian Ley y me dice
[0:37:20.00]-[0:37:21.00]  ¡hoy la niña!
[0:37:21.00]-[0:37:22.00]  La niña me dice
[0:37:22.00]-[0:37:27.00]  ¿Vas de Rocío a ganarse el dinero allí tocando las árboles rocieras?
[0:37:27.00]-[0:37:29.00]  Y el Rocío es como lo vemos en la televisión en Madrid
