[0:00:00.00]-[0:00:02.00]  Hola, ¿cómo estás?
[0:14:48.00]-[0:14:50.00]  A apartarlas
[0:14:50.00]-[0:14:52.00]  Cuando yo ya iba al colegio
[0:14:52.00]-[0:14:54.00]  Pues ya teníamos clases
[0:14:54.00]-[0:14:56.00]  Ellas tenían una clase y nosotras otra
[0:14:58.00]-[0:15:00.00]  Yo pagaba un duro
[0:15:00.00]-[0:15:02.00]  Como cinco pesetas
[0:15:02.00]-[0:15:04.00]  Entonces dice que era cinco pesetas
[0:15:04.00]-[0:15:06.00]  Pero cinco pesetas era
[0:15:06.00]-[0:15:08.00]  Era dinero, ¿o? Sí, sí, al mes
[0:15:08.00]-[0:15:10.00]  Eso tenía que pagar mi madre
[0:15:10.00]-[0:15:12.00]  Entonces siempre decía mi madre
[0:15:12.00]-[0:15:14.00]  Estas mojas siempre buscan algo
[0:15:14.00]-[0:15:16.00]  Porque una vez que si la niña le breta
[0:15:16.00]-[0:15:18.00]  Que si la otra siempre era con
[0:15:18.00]-[0:15:20.00]  Un
[0:15:20.00]-[0:15:22.00]  75 céntimos
[0:15:22.00]-[0:15:24.00]  No llegaba la peseta pero
[0:15:24.00]-[0:15:26.00]  Siempre a las veces había que comprar algo en el colegio
[0:15:26.00]-[0:15:28.00]  La goma de borrar, que si el lápiz
[0:15:28.00]-[0:15:30.00]  Que si la libreta
[0:15:30.00]-[0:15:32.00]  Y siempre era cinco con algo de pico
[0:15:32.00]-[0:15:34.00]  Y siempre
[0:15:34.00]-[0:15:36.00]  Al menos al pico ya te digo que a lo mejor era 50 o 75
[0:15:38.00]-[0:15:40.00]  Y la otra era de esos
[0:15:40.00]-[0:15:42.00]  No jugaban en el patio conmigo
[0:15:42.00]-[0:15:44.00]  No jugaban nada
[0:15:44.00]-[0:15:46.00]  Pero como yo ya te di, era un poquillo más chilla
[0:15:46.00]-[0:15:48.00]  Porque yo tenía dos hermanos mayores
[0:15:48.00]-[0:15:50.00]  Y un tío
[0:15:50.00]-[0:15:52.00]  Primo hermano de mi madre
[0:15:52.00]-[0:15:54.00]  Que era de la edad de mi mano
[0:15:54.00]-[0:15:56.00]  Me criaba con tres perones
[0:15:58.00]-[0:16:00.00]  Entonces, pues
[0:16:00.00]-[0:16:02.00]  Era maluca
[0:16:02.00]-[0:16:04.00]  Y quería ser joven también
[0:16:04.00]-[0:16:06.00]  Cuando veía que me mandaban
[0:16:06.00]-[0:16:08.00]  Con el pito que yo no quería
[0:16:08.00]-[0:16:10.00]  También tenía el pito
[0:16:10.00]-[0:16:12.00]  Y mi madre me decía
[0:16:12.00]-[0:16:14.00]  Cuando salga el arcoíris
[0:16:14.00]-[0:16:16.00]  Que si tú tengas dinero para comprar un reoplanos
[0:16:16.00]-[0:16:18.00]  Porque entonces los aviones
[0:16:18.00]-[0:16:20.00]  Se les decía aquí
[0:16:20.00]-[0:16:22.00]  Reoplanos
[0:16:22.00]-[0:16:24.00]  Y se te sube y en el arcoíris te orinas
[0:16:24.00]-[0:16:26.00]  Y ya te haces niño
[0:16:26.00]-[0:16:28.00]  Y yo decía, tienes que tener mucho dinero
[0:16:28.00]-[0:16:30.00]  Siempre me dejaban
[0:16:30.00]-[0:16:32.00]  Que guardaran la lucha
[0:16:32.00]-[0:16:34.00]  Pero yo quería ser niño
[0:16:34.00]-[0:16:36.00]  Porque allá empezaban a jugar
[0:16:36.00]-[0:16:38.00]  En la escalera de la casa de suelo
[0:16:38.00]-[0:16:40.00]  Ya en los días de la guerra
[0:16:40.00]-[0:16:42.00]  Que no nos dejaban de salir
[0:16:42.00]-[0:16:44.00]  En las escaleras y en el patio
[0:16:44.00]-[0:16:46.00]  En mi casa había dos escaleras
[0:16:46.00]-[0:16:48.00]  La Farsa y la otra
[0:16:48.00]-[0:16:50.00]  Porque cuando fregaban la otra
[0:16:50.00]-[0:16:52.00]  De Marmú
[0:16:52.00]-[0:16:54.00]  Pues no queríamos que la pisaran
[0:16:54.00]-[0:16:56.00]  Hasta que estuviera muy seca
[0:16:56.00]-[0:16:58.00]  Por la otra escalera subíamos
[0:16:58.00]-[0:17:00.00]  Y yo estaba con ellos
[0:17:00.00]-[0:17:02.00]  Y quería ser amigo aquello
[0:17:02.00]-[0:17:04.00]  Capitán, lo mío
[0:17:04.00]-[0:17:06.00]  Pero yo era la más chica
[0:17:06.00]-[0:17:08.00]  Y aprendí a encender los mitos antes de aquello
[0:17:08.00]-[0:17:10.00]  Mi mano era
[0:17:10.00]-[0:17:12.00]  Un 4 años conmigo
[0:17:12.00]-[0:17:14.00]  Pero se quemó y dio susto
[0:17:14.00]-[0:17:16.00]  Y luego empezaba a silbar antes que ellos
[0:17:16.00]-[0:17:18.00]  Y ellos eran todos mayores
[0:17:18.00]-[0:17:20.00]  Estos eran mis amigos de la guerra
[0:17:20.00]-[0:17:22.00]  Que no nos dejaban de salir
[0:17:22.00]-[0:17:24.00]  Y estábamos allí
[0:17:24.00]-[0:17:26.00]  No, los domingos nos bañaban
[0:17:26.00]-[0:17:28.00]  No teníamos tina
[0:17:28.00]-[0:17:30.00]  En la casa de mi abuela
[0:17:30.00]-[0:17:32.00]  En frente había una palabar
[0:17:32.00]-[0:17:34.00]  La ropa
[0:17:34.00]-[0:17:36.00]  Era cuadrada
[0:17:36.00]-[0:17:38.00]  Pero forrada en
[0:17:38.00]-[0:17:40.00]  En latú
[0:17:40.00]-[0:17:42.00]  No sé cómo se llamaba aquel latú
[0:17:42.00]-[0:17:44.00]  Ahora mismo
[0:17:44.00]-[0:17:46.00]  Y allí con el sol se calentaba
[0:17:46.00]-[0:17:48.00]  Y allí nos iban a bañar
[0:17:48.00]-[0:17:50.00]  Yo sí me acuerdo que a mí era la primera
[0:17:50.00]-[0:17:52.00]  Y ya me llevaban para cocinar
[0:17:52.00]-[0:17:54.00]  Y allí me secaban
[0:17:54.00]-[0:17:56.00]  Y a los otros los secaban en el comedor
[0:17:56.00]-[0:17:58.00]  Pues ya eran más mayores
[0:17:58.00]-[0:18:00.00]  Y yo, puntuosa, quería ser niño
[0:18:00.00]-[0:18:02.00]  Ya en el colegio
[0:18:02.00]-[0:18:04.00]  Ya empecé con la amiga
[0:18:04.00]-[0:18:06.00]  Y entonces las niñas gratuitas
[0:18:06.00]-[0:18:08.00]  Yo era que comía
[0:18:08.00]-[0:18:10.00]  Me tenía que ir al colegio
[0:18:10.00]-[0:18:12.00]  Pero mi mamá, mi mamá
[0:18:12.00]-[0:18:14.00]  Si no abren hasta las
[0:18:14.00]-[0:18:16.00]  Hasta las dos no lo abren
[0:18:16.00]-[0:18:18.00]  Pues yo ya me voy
[0:18:18.00]-[0:18:20.00]  Yo ya he comido, pues me voy
[0:18:20.00]-[0:18:22.00]  También caprichosa
[0:18:22.00]-[0:18:24.00]  Yo comía en mi casa
[0:18:24.00]-[0:18:26.00]  Aquí que hay que comer
[0:18:26.00]-[0:18:28.00]  Mamá, que me voy a comer allí
[0:18:28.00]-[0:18:30.00]  Yo comía donde a mí me gustaba
[0:18:30.00]-[0:18:32.00]  Y entonces terminábamos pronto
[0:18:32.00]-[0:18:34.00]  Y me iba
[0:18:34.00]-[0:18:36.00]  Y yo con las niñas gratuitas
[0:18:36.00]-[0:18:38.00]  Yo teniendo muchas amigas
[0:18:38.00]-[0:18:40.00]  De la otra clase, porque algunas niñas
[0:18:40.00]-[0:18:42.00]  De mi clase eran muy estiradas
[0:18:42.00]-[0:18:44.00]  Y no querían nada
[0:18:44.00]-[0:18:46.00]  Yo no, yo no
[0:18:46.00]-[0:18:48.00]  Yo nunca me sentí
[0:18:48.00]-[0:18:50.00]  Más que a otras niñas
[0:18:50.00]-[0:18:52.00]  Hasta vaya yo a una
[0:18:52.00]-[0:18:54.00]  Que ahora está con la cabeza
[0:18:54.00]-[0:18:56.00]  Perdí a la pobre
[0:18:56.00]-[0:18:58.00]  Yo le decía
[0:18:58.00]-[0:19:00.00]  Vente a mi patio a jugar
[0:19:00.00]-[0:19:02.00]  No puedo, digo, ¿por qué no puedes?
[0:19:02.00]-[0:19:04.00]  Dice, porque yo no me deja
[0:19:04.00]-[0:19:06.00]  Yo no puedo pasar por tu patio
[0:19:06.00]-[0:19:08.00]  Para salir a la calle
[0:19:08.00]-[0:19:10.00]  Pues vente a jugar, tú dices que vienes a jugar conmigo
[0:19:10.00]-[0:19:12.00]  Yo no comprendía
[0:19:12.00]-[0:19:14.00]  Que ellas tenían que estar en un lado
[0:19:14.00]-[0:19:16.00]  Y yo tenía que estar en otro
[0:19:16.00]-[0:19:18.00]  Eso me costó mucho trabajo
[0:19:18.00]-[0:19:20.00]  Y usted no podía pasar tampoco a su lado
[0:19:20.00]-[0:19:22.00]  No, yo iba a la clase de ellas
[0:19:22.00]-[0:19:24.00]  Porque para prepararnos la comunión
[0:19:24.00]-[0:19:26.00]  Ya se iban todas las niñas
[0:19:26.00]-[0:19:28.00]  Y quedaban unas más que las que ellas eran más
[0:19:28.00]-[0:19:30.00]  Y nosotros éramos siete, ocho
[0:19:30.00]-[0:19:32.00]  Y en su edición ella ya había muchos más
[0:19:32.00]-[0:19:34.00]  Y además tenían una monja
[0:19:34.00]-[0:19:36.00]  Que las tenía así de recta
[0:19:36.00]-[0:19:38.00]  Y llegaban, ellas iban así
[0:19:38.00]-[0:19:40.00]  Y se sentaban en los bancos
[0:19:40.00]-[0:19:42.00]  La monja con el libro
[0:19:42.00]-[0:19:44.00]  ¡Pum!
[0:19:44.00]-[0:19:46.00]  Y no se movían
[0:19:46.00]-[0:19:48.00]  Más bien
[0:19:48.00]-[0:19:50.00]  Y nosotros muy malas
[0:19:50.00]-[0:19:52.00]  Yo con las piernas
[0:19:52.00]-[0:19:54.00]  Y ella mirando para el otro
[0:19:54.00]-[0:19:56.00]  Si soltaba la puerta, ve que entraba
[0:19:56.00]-[0:19:58.00]  Y de arriba me veía la monja
[0:19:58.00]-[0:20:00.00]  ¡Que no miras para atrás!
[0:20:00.00]-[0:20:02.00]  ¡Que no miras para atrás!
[0:20:02.00]-[0:20:04.00]  Eso me regañaba mucho
[0:20:04.00]-[0:20:06.00]  Y me metía el pie debajo del asiento
[0:20:06.00]-[0:20:08.00]  Muy mala
[0:20:08.00]-[0:20:10.00]  Muy mala educada
[0:20:10.00]-[0:20:12.00]  Para pagar dinero
[0:20:12.00]-[0:20:14.00]  No nos molestaban
[0:20:14.00]-[0:20:16.00]  No nos regañaban
[0:20:16.00]-[0:20:18.00]  Y la otra era un encanto
[0:20:18.00]-[0:20:20.00]  Además, era muchísimas más
[0:20:20.00]-[0:20:22.00]  Y se llenaba la hilencia con la de ellas
[0:20:22.00]-[0:20:24.00]  Y yo me quería ir con ellas
[0:20:24.00]-[0:20:26.00]  Entonces los dineros
[0:20:26.00]-[0:20:28.00]  No me entraba mucho en la cabeza
[0:20:28.00]-[0:20:30.00]  ¿Y las demás de su clase
[0:20:30.00]-[0:20:32.00]  Se peleaban a lo mejor
[0:20:32.00]-[0:20:34.00]  Con los niños gratuitas?
[0:20:34.00]-[0:20:36.00]  No, no
[0:20:36.00]-[0:20:38.00]  Te llevaban bien
[0:20:38.00]-[0:20:40.00]  Lo que es que no las miraban
[0:20:40.00]-[0:20:42.00]  A otras sí
[0:20:42.00]-[0:20:44.00]  A otras también eran caritativas
[0:20:44.00]-[0:20:46.00]  Con ellas
[0:20:46.00]-[0:20:48.00]  Pero
[0:20:48.00]-[0:20:50.00]  De pelear no
[0:20:50.00]-[0:20:52.00]  Es que salíamos
[0:20:52.00]-[0:20:54.00]  Unos para un lado y otras por otro
[0:20:54.00]-[0:20:56.00]  Y nos llevábamos uniformes
[0:20:56.00]-[0:20:58.00]  Y decíamos capitanas
[0:20:58.00]-[0:21:00.00]  Y ellas no
[0:21:00.00]-[0:21:02.00]  Y esa cosa me dolía a mí
[0:21:02.00]-[0:21:04.00]  Y luego más después
[0:21:04.00]-[0:21:06.00]  Cuando ahora ya han empezado que no
[0:21:06.00]-[0:21:08.00]  Hay una clase
[0:21:08.00]-[0:21:10.00]  Ahora como paga mucho el Estado
[0:21:10.00]-[0:21:12.00]  Pues ya allí no hay niñas gratuitas
[0:21:12.00]-[0:21:14.00]  Ni con pago, allí son todas iguales
[0:21:14.00]-[0:21:16.00]  Y eso ha cambiado mucho
[0:21:16.00]-[0:21:18.00]  Eso sí me gusta
[0:21:18.00]-[0:21:20.00]  Y luego las monjas también
[0:21:20.00]-[0:21:22.00]  Me acudí a una niña gitana
[0:21:22.00]-[0:21:24.00]  Y otro día no llevaba ni una pargata
[0:21:24.00]-[0:21:26.00]  Y se ponía a jugar con nosotros
[0:21:26.00]-[0:21:28.00]  A saltar
[0:21:28.00]-[0:21:30.00]  Cuando no debía de entrar con ellos
[0:21:30.00]-[0:21:32.00]  Ya tendría los 7 años
[0:21:32.00]-[0:21:34.00]  O los 8
[0:21:34.00]-[0:21:36.00]  Y había una monja
[0:21:36.00]-[0:21:38.00]  Era americana
[0:21:38.00]-[0:21:40.00]  Y yo dije no
[0:21:40.00]-[0:21:42.00]  No, tú no puedes entrar
[0:21:42.00]-[0:21:44.00]  Y yo dije es malo
[0:21:44.00]-[0:21:46.00]  Porque de ahora que entres y aprendas también
[0:21:46.00]-[0:21:48.00]  Dice no, eso la madre roba
[0:21:48.00]-[0:21:50.00]  Son mitanos, esa madre roba
[0:21:50.00]-[0:21:52.00]  Y yo dije, roba
[0:21:52.00]-[0:21:54.00]  Pero luego de más ya digo, bueno claro que robaría
[0:21:54.00]-[0:21:56.00]  Porque tenía que dar de comer a su cío
[0:21:56.00]-[0:21:58.00]  Y si no lo reclamaba tendría que robar
[0:21:58.00]-[0:22:00.00]  Pero eso lo comprendí más tarde
[0:22:00.00]-[0:22:02.00]  Y no la dejaban de entrar al colegio
[0:22:02.00]-[0:22:04.00]  Y a mí me daba lástima de ella
[0:22:04.00]-[0:22:06.00]  Porque ella muchas veces quería entrar
[0:22:06.00]-[0:22:08.00]  Me entró contigo
[0:22:08.00]-[0:22:10.00]  Y digo sí, métete detrás
[0:22:10.00]-[0:22:12.00]  De esa niña
[0:22:12.00]-[0:22:14.00]  Y luego ya
[0:22:14.00]-[0:22:16.00]  No es porque diga que yo sea más carida
[0:22:16.00]-[0:22:18.00]  Pero luego después
[0:22:18.00]-[0:22:20.00]  Cuando yo tenía
[0:22:20.00]-[0:22:22.00]  Los 16 años
[0:22:22.00]-[0:22:24.00]  A los 17
[0:22:24.00]-[0:22:26.00]  Una abuela mía era de la Viñuela
[0:22:26.00]-[0:22:28.00]  Entonces había primahermana de mi padre
[0:22:28.00]-[0:22:30.00]  Y como yo tuve disfos a los 13 años
[0:22:30.00]-[0:22:32.00]  Me quedé mudergadilla
[0:22:32.00]-[0:22:34.00]  Me mandaban allí porque ahí había mucha comida más
[0:22:34.00]-[0:22:36.00]  Que en mi casa a lo mejor
[0:22:36.00]-[0:22:38.00]  Y se murió
[0:22:38.00]-[0:22:40.00]  Había la estación
[0:22:40.00]-[0:22:42.00]  Estaba a 3 kilómetros
[0:22:42.00]-[0:22:44.00]  Y yo estaba en la estación
[0:22:44.00]-[0:22:46.00]  Y yo estaba en la estación
[0:22:46.00]-[0:22:48.00]  La estación estaba a 3 kilómetros
[0:22:48.00]-[0:22:50.00]  Una estación que ya desaparecido
[0:22:50.00]-[0:22:52.00]  Que era la del sur urbano
[0:22:52.00]-[0:22:54.00]  Y esa llegaba hasta
[0:22:54.00]-[0:22:56.00]  Periana
[0:22:56.00]-[0:22:58.00]  Y a Periana había
[0:22:58.00]-[0:23:00.00]  Un tren de cremallera
[0:23:00.00]-[0:23:02.00]  Se quitaban los vagones
[0:23:02.00]-[0:23:04.00]  Y se quedaba uno y subía de cremallera
[0:23:04.00]-[0:23:06.00]  A otro pueblo
[0:23:06.00]-[0:23:08.00]  Entonces de
[0:23:08.00]-[0:23:10.00]  La estación al
[0:23:10.00]-[0:23:12.00]  Pueblo pues había unos 3 kilómetros
[0:23:12.00]-[0:23:14.00]  Entonces había una madre
[0:23:14.00]-[0:23:16.00]  Gitana con una niña en brazo
[0:23:16.00]-[0:23:18.00]  Que venía de operar la de la espina
[0:23:18.00]-[0:23:20.00]  Y le dio de subirla
[0:23:20.00]-[0:23:22.00]  Para mí habían mandado mis tíos una tartana
[0:23:22.00]-[0:23:24.00]  Y el hombre dice no
[0:23:24.00]-[0:23:26.00]  Que va a llevar todas las cosas
[0:23:26.00]-[0:23:28.00]  Y yo le digo no
[0:23:28.00]-[0:23:30.00]  Porque la tartana
[0:23:30.00]-[0:23:32.00]  Puede contraer con 4 porque no va a poder con la niña
[0:23:32.00]-[0:23:34.00]  Que si que se suba aquí a mi lado
[0:23:34.00]-[0:23:36.00]  Que si que si
[0:23:36.00]-[0:23:38.00]  Eso si lo he sentido
[0:23:38.00]-[0:23:40.00]  Será por mi madre
[0:23:40.00]-[0:23:42.00]  Que no tenía madre y lo acudía mucho
[0:23:42.00]-[0:23:44.00]  Yo nunca
[0:23:44.00]-[0:23:46.00]  Yo soy un carita
[0:23:46.00]-[0:23:48.00]  Y la gente conmigo
[0:23:48.00]-[0:23:50.00]  Era una abuelita muy contenta
[0:23:50.00]-[0:23:52.00]  Y a la madre no la dio de subir
[0:23:52.00]-[0:23:54.00]  Y tenía que venir a la pobrecita
[0:23:54.00]-[0:23:56.00]  Es muy contenta la madre de que venía a subir a su vida
[0:23:56.00]-[0:23:58.00]  Pues en aquel verano
[0:23:58.00]-[0:24:00.00]  Que yo estaba allí pues se murió
[0:24:00.00]-[0:24:02.00]  Entonces empecé
[0:24:02.00]-[0:24:04.00]  Dieron mira cuando aquí no se muere
[0:24:04.00]-[0:24:06.00]  Le llevan flores, yo coí muchos jarmines
[0:24:06.00]-[0:24:08.00]  Porque allí en el jardín de mis tíos tenían muchos jarmines
[0:24:08.00]-[0:24:10.00]  Para llevarlo y quise yo ir a llevarlo
[0:24:10.00]-[0:24:12.00]  Y el otro día me dió que no
[0:24:12.00]-[0:24:14.00]  Y yo dije tú que vas a ir allí
[0:24:14.00]-[0:24:16.00]  Y yo dije no me viva allí arriba por el castillo
[0:24:16.00]-[0:24:18.00]  Que él decía yo voy a preguntar
[0:24:18.00]-[0:24:20.00]  Y le llevo los jarmines
[0:24:20.00]-[0:24:22.00]  Y yo dije tú que los jarmines
[0:24:22.00]-[0:24:24.00]  Los mandamos con
[0:24:24.00]-[0:24:26.00]  ¿Cómo se llama?
[0:24:26.00]-[0:24:28.00]  Era una muchacha
[0:24:28.00]-[0:24:30.00]  Allí había 4
[0:24:30.00]-[0:24:32.00]  Unas para la baja para el otro
[0:24:32.00]-[0:24:34.00]  No, no tú no vas allí que a ellos no les gustamos nosotros
[0:24:34.00]-[0:24:36.00]  Que ellos dicen para yo
[0:24:36.00]-[0:24:38.00]  Que no, uy tú vas allí y allí no quieren
[0:24:38.00]-[0:24:40.00]  ¿Por qué no les puedo llevar los jarmines a la niña?
[0:24:40.00]-[0:24:42.00]  Que no
[0:24:42.00]-[0:24:44.00]  No me diaron de llevar los jarmines
[0:24:44.00]-[0:24:46.00]  Y aquel sentimiento lo tenía yo siempre
[0:24:46.00]-[0:24:48.00]  Dijo bueno porque no me iba yo a entrar
[0:24:48.00]-[0:24:50.00]  Es que me iba a salar a la oita
[0:24:50.00]-[0:24:52.00]  No me iban a matar
[0:24:52.00]-[0:24:54.00]  Al contrario, ahora comprendo lo que es
[0:24:54.00]-[0:24:56.00]  Lo que me agradecería
[0:24:56.00]-[0:24:58.00]  Porque ahora es la otra calle que yo viví
[0:24:58.00]-[0:25:00.00]  Y el niño lo pilló el coche
[0:25:00.00]-[0:25:02.00]  En la calle
[0:25:02.00]-[0:25:04.00]  Y enseguida fui yo a su casa a verlo
[0:25:04.00]-[0:25:06.00]  Bueno por lo agradecía
[0:25:06.00]-[0:25:08.00]  Siempre estamos ya de amiga, amiga, amiga
[0:25:08.00]-[0:25:10.00]  Y ahora me venía yo de otra calle
[0:25:10.00]-[0:25:12.00]  Y siempre que me abraza
[0:25:12.00]-[0:25:14.00]  Los gitanos son buenos
[0:25:14.00]-[0:25:16.00]  Lo que pasa es que lo vemos
[0:25:16.00]-[0:25:18.00]  Siempre lo vemos apartado mucho
[0:25:18.00]-[0:25:20.00]  Y hoy no
[0:25:20.00]-[0:25:22.00]  Ya se están educando
[0:25:22.00]-[0:25:24.00]  Con mucho trabajo
[0:25:24.00]-[0:25:26.00]  Pero se van metiendo
[0:25:26.00]-[0:25:28.00]  En la sociedad
[0:25:28.00]-[0:25:30.00]  Y ya se aceptan
[0:25:30.00]-[0:25:32.00]  Ya hay muchos con dinero
[0:25:32.00]-[0:25:34.00]  Pues ya se aceptan más los gitanos
[0:25:34.00]-[0:25:36.00]  ¿Qué más queréis que os diga?
[0:25:36.00]-[0:25:38.00]  Pues yo estoy hablando mucho
[0:25:38.00]-[0:25:40.00]  Sí, sí, pero bueno
[0:25:40.00]-[0:25:42.00]  Cuando diga disparate
[0:25:42.00]-[0:25:44.00]  Me dejas ahí
[0:25:44.00]-[0:25:46.00]  Pues no dice usted ningún disparate
[0:25:46.00]-[0:25:48.00]  Tiene mucha razón
[0:25:48.00]-[0:25:50.00]  He contado cosas de la niñez
[0:25:50.00]-[0:25:52.00]  ¿A qué cosas jugaban con sus hermanos?
[0:25:52.00]-[0:25:54.00]  Oh, con mi hermano
[0:25:54.00]-[0:25:56.00]  ¡Qué pelea!
[0:25:56.00]-[0:25:58.00]  A ellos los reyes le echaban patines
[0:25:58.00]-[0:26:00.00]  Había una muñeca
[0:26:00.00]-[0:26:02.00]  La muñeca suelta
[0:26:02.00]-[0:26:04.00]  Yo quiero un patín
[0:26:04.00]-[0:26:06.00]  Y pues que los reyes a mí no me han echado patines
[0:26:06.00]-[0:26:08.00]  Entonces, mi primo
[0:26:08.00]-[0:26:10.00]  Yo le digo primo
[0:26:10.00]-[0:26:12.00]  Que era tío
[0:26:12.00]-[0:26:14.00]  Se llamaba...
[0:26:14.00]-[0:26:16.00]  Y acá a él le decíamos García
[0:26:16.00]-[0:26:18.00]  Y a mi hermano me...
[0:26:18.00]-[0:26:20.00]  Entonces ellos me emprestaban patines
[0:26:20.00]-[0:26:22.00]  Desde la esquina Barrero
[0:26:22.00]-[0:26:24.00]  A la calle de Ovipo
[0:26:24.00]-[0:26:26.00]  Hasta aquella esquina, venga, venga
[0:26:26.00]-[0:26:28.00]  Mi hermano nunca
[0:26:28.00]-[0:26:30.00]  Yo tenía que ser niña
[0:26:30.00]-[0:26:34.00]  Y qué otra reyes que también pasé yo mucho más rato
[0:26:34.00]-[0:26:36.00]  La bicicleta tampoco era para las niñas
[0:26:36.00]-[0:26:42.00]  La bicicleta yo le hiciera unos tres ciclos que eran de tres ruedas
[0:26:42.00]-[0:26:44.00]  Y tampoco a mí no
[0:26:44.00]-[0:26:46.00]  A mí no
[0:26:46.00]-[0:26:48.00]  A mí me echaban las cosas de niña
[0:26:48.00]-[0:26:50.00]  Entonces que yo
[0:26:50.00]-[0:26:52.00]  Los más rato que yo pasaba los reyes
[0:26:52.00]-[0:26:54.00]  Y con ellos
[0:26:54.00]-[0:26:56.00]  Y mi hermano
[0:26:56.00]-[0:26:58.00]  Mi hermano siempre me ha emprestado todo
[0:26:58.00]-[0:27:00.00]  Jugaban ellos mucho al salto rato
[0:27:00.00]-[0:27:02.00]  Ellos un se agacha y el otro así
[0:27:02.00]-[0:27:04.00]  Le pone las manos y saltan por arriba
[0:27:04.00]-[0:27:06.00]  Eso era de niño
[0:27:06.00]-[0:27:08.00]  Pues yo quería jugar
[0:27:08.00]-[0:27:10.00]  Entonces mi hermano y mi hija me llevaban a mi casa
[0:27:10.00]-[0:27:12.00]  Y en el cuerpo casa
[0:27:12.00]-[0:27:14.00]  Que era muy grande
[0:27:14.00]-[0:27:16.00]  Venga, yo te me agacho
[0:27:16.00]-[0:27:18.00]  Salta tú
[0:27:18.00]-[0:27:20.00]  Y jugaba yo al salto rato
[0:27:20.00]-[0:27:22.00]  En la calle nunca te ven y tú eras niña
[0:27:22.00]-[0:27:24.00]  Así que yo en la calle no podía jugar al salto rato
[0:27:24.00]-[0:27:26.00]  Yo al saltar
[0:27:26.00]-[0:27:28.00]  A una, a otra
[0:27:28.00]-[0:27:30.00]  Eso también jugábamos
[0:27:30.00]-[0:27:32.00]  Los aros
[0:27:32.00]-[0:27:34.00]  También
[0:27:34.00]-[0:27:36.00]  Eran más de niños pero vaya
[0:27:36.00]-[0:27:38.00]  Yo también tuve aros
[0:27:38.00]-[0:27:40.00]  Y que me ha jugado te digo yo
[0:27:40.00]-[0:27:42.00]  Los niños jugaban mucho a las bolas
[0:27:42.00]-[0:27:44.00]  Entonces nosotros en el colegio también jugábamos
[0:27:44.00]-[0:27:46.00]  A las bolas
[0:27:46.00]-[0:27:48.00]  Y
[0:27:48.00]-[0:27:50.00]  Ya después de la guerra
[0:27:50.00]-[0:27:52.00]  Ya tenía yo para los doce años
[0:27:52.00]-[0:27:54.00]  Y entonces había
[0:27:54.00]-[0:27:56.00]  Como en la guerra
[0:27:56.00]-[0:27:58.00]  No se podían llevar niñas internas
[0:27:58.00]-[0:28:00.00]  Que había una
[0:28:00.00]-[0:28:02.00]  Que todavía está en la casa
[0:28:02.00]-[0:28:04.00]  Y vive una hermana
[0:28:04.00]-[0:28:06.00]  Y había la más chica
[0:28:06.00]-[0:28:08.00]  Que tenía unos catorce o quince años
[0:28:08.00]-[0:28:10.00]  Por la meter en el colegio
[0:28:10.00]-[0:28:12.00]  Interna, porque al padre lo mataron
[0:28:12.00]-[0:28:14.00]  En la guerra
[0:28:14.00]-[0:28:16.00]  Y
[0:28:16.00]-[0:28:18.00]  Y a ella la metieron interna
[0:28:18.00]-[0:28:20.00]  En la victoria, que ella ninguna
[0:28:20.00]-[0:28:22.00]  Había ido, la hermana había una
[0:28:22.00]-[0:28:24.00]  O
[0:28:24.00]-[0:28:26.00]  Nunca fueron a los colegios
[0:28:26.00]-[0:28:28.00]  De aquí de Antequera, estaban en
[0:28:28.00]-[0:28:30.00]  En Madrid, en el corazón
[0:28:30.00]-[0:28:32.00]  De Jesús, no sé
[0:28:32.00]-[0:28:34.00]  A esa no, y luego después
[0:28:34.00]-[0:28:36.00]  No sé si fue
[0:28:36.00]-[0:28:38.00]  A Suiza, a un colegio de Suiza
[0:28:38.00]-[0:28:40.00]  Todo de bien
[0:28:40.00]-[0:28:42.00]  Pero entonces pues no podría ir al extranjero
[0:28:42.00]-[0:28:44.00]  Lo que fuera, a la
[0:28:44.00]-[0:28:46.00]  Interna allí
[0:28:46.00]-[0:28:48.00]  Y era un poquillo
[0:28:48.00]-[0:28:50.00]  Rarilla, ella se ponía bueno
[0:28:50.00]-[0:28:52.00]  Y le gané un día una bola
[0:28:52.00]-[0:28:54.00]  Que era
[0:28:54.00]-[0:28:56.00]  Blanca con unas cosas azules
[0:28:56.00]-[0:28:58.00]  Una bola más especial que la de otras
[0:28:58.00]-[0:29:00.00]  De barro, pero decía que
[0:29:00.00]-[0:29:02.00]  Había hecho fujería y yo decía que no
[0:29:02.00]-[0:29:04.00]  Que la había ganado, que la había ganado
[0:29:04.00]-[0:29:06.00]  Y entonces, correr por todos los lados
[0:29:06.00]-[0:29:08.00]  Tanto corrí, corrí, que me metí
[0:29:08.00]-[0:29:10.00]  En la clausura
[0:29:10.00]-[0:29:12.00]  Y me metí detrás de una puerta y era
[0:29:12.00]-[0:29:14.00]  La cocina, y había
[0:29:14.00]-[0:29:16.00]  Eso se me acuerda los clavillos y algunos paños
[0:29:16.00]-[0:29:18.00]  Y coroaba detrás, y las monjas
[0:29:18.00]-[0:29:20.00]  Resando, yo yo yo yo
[0:29:20.00]-[0:29:22.00]  Había dos, las novices
