[0:00:00.00]-[0:00:02.00]  ¿Dónde estudiáis vosotras?
[0:16:27.00]-[0:16:30.00]  Ahora si nos tenemos que duchar dos veces al día, nos duchamos dos,
[0:16:30.00]-[0:16:32.00]  si no tenemos que duchar tres, tres, ¿por qué?
[0:16:32.00]-[0:16:34.00]  Porque está todo muy cómodo, mucha ropa para podernos cambiar,
[0:16:34.00]-[0:16:36.00]  pero antes no era eso.
[0:16:36.00]-[0:16:39.00]  Entonces, a lo mejor una vez a la semana, o dos veces a la semana,
[0:16:39.00]-[0:16:42.00]  depende de las casas, porque se iba a casa de mucha gente,
[0:16:42.00]-[0:16:45.00]  a lo mejor iban dos veces a la ribera y las pobrecitas alguna vez con el,
[0:16:45.00]-[0:16:48.00]  incluso colgaban la ropa cargada y andando para abajo y andando para arriba,
[0:16:48.00]-[0:16:53.00]  otras no, tal vez tenían una burriquita o tenían algo para poder llevar al costado de la ropa.
[0:16:53.00]-[0:16:56.00]  Y esas cosas, hija.
[0:16:56.00]-[0:17:01.00]  ¿Y se ha notado, por ejemplo, eso, cómo son las casas ahora y cómo eran antes?
[0:17:01.00]-[0:17:05.00]  Claro, si notas, sí, porque el pueblo nos ha dado un cambio tremendo.
[0:17:05.00]-[0:17:07.00]  Yo creo que casi todos los pueblos, ¿no?
[0:17:07.00]-[0:17:08.00]  ¿Usted vivía aquí siempre?
[0:17:08.00]-[0:17:10.00]  Sí, siempre, siempre, y la casa está tal como estaba, bueno,
[0:17:10.00]-[0:17:12.00]  aquí voy a decir tal como estaba.
[0:17:12.00]-[0:17:15.00]  Esto era de madero, por ejemplo, unos maderos muy malinos, muy deblinos,
[0:17:15.00]-[0:17:17.00]  eso se quitó y se echó bóveda.
[0:17:17.00]-[0:17:20.00]  Ahí eran también de madero y se echaron bóveda.
[0:17:20.00]-[0:17:22.00]  El suelo, el mismo que tenía.
[0:17:22.00]-[0:17:25.00]  Las habitaciones eran de baldosa y esto de baldosa.
[0:17:25.00]-[0:17:30.00]  Baldosa son de esas que se pintaban, no sé si os acordáis o os han hablado de alguna.
[0:17:30.00]-[0:17:33.00]  Las casas de los pueblos antes tenían un empegravito,
[0:17:33.00]-[0:17:36.00]  como está la calle de esas piedrecitas chicas,
[0:17:36.00]-[0:17:39.00]  había un empebradito así toda la casa, ¿no? Antes.
[0:17:39.00]-[0:17:43.00]  Y luego a los lados había unas baldosas, como los ladrillos digamos, pero más finitas,
[0:17:43.00]-[0:17:46.00]  y se pintaban de pintura, en roja.
[0:17:46.00]-[0:17:49.00]  Entonces estaban muy brillantitas las de los lados y por aquí,
[0:17:49.00]-[0:17:51.00]  como entraban las betis, entraban todo por ahí,
[0:17:51.00]-[0:17:55.00]  pues estaban las piedrecitas esas y esas se fregaban las piedrecitas
[0:17:55.00]-[0:17:59.00]  y luego las baldocitas esas se limpiaban un poco más, a veces, en seco que fregar.
[0:17:59.00]-[0:18:00.00]  Y así.
[0:18:00.00]-[0:18:01.00]  Claro.
[0:18:01.00]-[0:18:03.00]  Y entonces, ¿qué diferencias? Y además el agua corriente,
[0:18:03.00]-[0:18:06.00]  ahora mismo en las casas, los años desde que llevamos con agua corriente,
[0:18:06.00]-[0:18:08.00]  pero un montón de años, un montón.
[0:18:08.00]-[0:18:14.00]  Antes de casarme yo y ya hace, no sé, unos 43 años, unos que ahora.
[0:18:14.00]-[0:18:17.00]  Antes de casarme yo ya teníamos el agua corriente en casa.
[0:18:17.00]-[0:18:22.00]  O sea que han sido ya muchos años los que llevamos de ir mejorando las cosas.
[0:18:22.00]-[0:18:27.00]  Así que, poco a poco, bueno, pues ha mejorado bastante, bastante, sí, bastante.
[0:18:27.00]-[0:18:31.00]  Y luego eso, más ayudas ahora, más cosas, ¿no?
[0:18:31.00]-[0:18:36.00]  Ahora mismo hay muchas mujeres en el paro, están en el ayuntamiento, por ejemplo,
[0:18:36.00]-[0:18:39.00]  hoy mismo había dos barriendo la calle, a pesar de domingo,
[0:18:39.00]-[0:18:42.00]  barren las calles, las mujeres, las mandan al cementerio, por ejemplo,
[0:18:42.00]-[0:18:45.00]  limpiar el cementerio también, hacer cosas por ahí, en fin,
[0:18:45.00]-[0:18:48.00]  que ahora hay otras cosas, ahora hay otras cosas que antes, a ver.
[0:18:48.00]-[0:18:51.00]  Lo que pasa es que ahora necesitamos más.
[0:18:51.00]-[0:18:54.00]  Necesitamos mucho más.
[0:18:54.00]-[0:18:58.00]  Entonces decíamos que estaba la vida mala y ahora también decimos que está mala.
[0:18:58.00]-[0:19:00.00]  ¿Pero por qué? Pues por eso.
[0:19:00.00]-[0:19:02.00]  Porque necesitamos mucho.
[0:19:02.00]-[0:19:06.00]  La vida se ha puesto así y entonces hay que llevarlo como va las cosas, ¿no?
[0:19:06.00]-[0:19:08.00]  Lo que pasa es que es lo que decimos los mayores ya,
[0:19:08.00]-[0:19:12.00]  que si no tenemos la cantidad, no entran en casa,
[0:19:12.00]-[0:19:15.00]  la cantidad que tú necesitas tampoco te puede permitir ciertas cosas, ¿no?
[0:19:15.00]-[0:19:21.00]  Pero bueno, que dentro de todo, pues va la cosa bastante mejor, claro.
[0:19:21.00]-[0:19:24.00]  Vivid con otras comodidades en los pueblos.
[0:19:24.00]-[0:19:27.00]  Luego los del campo, ya os estoy diciendo, está a base de maquinaria.
[0:19:27.00]-[0:19:31.00]  O las cosechadoras en verano, en un día se tienen toda la recolección hecha,
[0:19:31.00]-[0:19:36.00]  mientras que antes, madre mía, se llevaban los pobres torveranos trillando, limpiando,
[0:19:36.00]-[0:19:39.00]  y ahora van a limpiar hoy, y ahora por lo menos tenemos que venir,
[0:19:39.00]-[0:19:42.00]  porque no hace aire, uno se puede limpiar, bueno.
[0:19:42.00]-[0:19:46.00]  Y esas cosas así, tan... hombre, pues ya ahora no, eso en los pueblos no.
[0:19:46.00]-[0:19:50.00]  Ahora en los pueblos se vive muchísimo mejor, sí, sí, sí, mucho mejor.
[0:19:50.00]-[0:19:53.00]  Y encima, mejor en el sentido, ¿cómo diría yo?
[0:19:53.00]-[0:19:56.00]  Porque como la mayoría de las personas tenemos nuestras casas,
[0:19:56.00]-[0:19:59.00]  ahora mismo si tuviera que pagar una renta alta por esta casa,
[0:19:59.00]-[0:20:01.00]  lo mejor, ¿no? Pues ya no me daba de decir tanto, ¿no?
[0:20:01.00]-[0:20:03.00]  Y en vez de tener una casa tan grande como tengo,
[0:20:03.00]-[0:20:06.00]  porque tengo la puerta que tiene hasta la otra, hasta la otra calle,
[0:20:06.00]-[0:20:09.00]  pues en vez de ser una casa tan grande, pues sería un excesito para chiquititos,
[0:20:09.00]-[0:20:11.00]  que te tenía que aportar, ¿no? Y todas esas cosas.
[0:20:11.00]-[0:20:14.00]  Y si no tenía para tener una casa en el pueblo y tenía que vivir en el campo,
[0:20:14.00]-[0:20:16.00]  pues tendría que estar viviendo en el campo, ¿no?
[0:20:16.00]-[0:20:21.00]  Como antiguamente, y eso ya hoy no. Aquí la cosa ha cambiado muchísimo.
[0:20:21.00]-[0:20:24.00]  Y yo creo que en todos los pueblos, por la general, habrá pueblos,
[0:20:24.00]-[0:20:27.00]  a lo mejor algunos que tengo, pero yo creo que la mayoría,
[0:20:27.00]-[0:20:30.00]  la mayoría de todos se nota el cambio.
[0:20:31.00]-[0:20:34.00]  Y con respecto a cómo ha cambiado los cultivos, por ejemplo,
[0:20:34.00]-[0:20:37.00]  ¿usted lo nota luego en la comida? Porque, no sé,
[0:20:37.00]-[0:20:40.00]  bueno, lo habíamos estado hablando, que hay mucha gente que se queja.
[0:20:40.00]-[0:20:41.00]  Bueno, las cosas nos saben igual.
[0:20:41.00]-[0:20:45.00]  Bueno, yo creo que si se queja, se quejan las que lo compran todos,
[0:20:45.00]-[0:20:47.00]  las que lo criamos en casa, ¿no?
[0:20:47.00]-[0:20:50.00]  Porque nosotros estamos criando, exactamente igual,
[0:20:50.00]-[0:20:53.00]  si tenemos un trocito allí en el campo, tenemos un trocito,
[0:20:53.00]-[0:20:56.00]  y a lo mejor sembramos los pimientos, los tomates.
[0:20:56.00]-[0:21:00.00]  Mayormente lo más, lo más preciso, las patatas.
[0:21:00.00]-[0:21:02.00]  Ya hace tres o cuatro años no las sembramos,
[0:21:02.00]-[0:21:06.00]  porque ya mi marido está solo en el campo y él ya tiene muchos aleos,
[0:21:06.00]-[0:21:08.00]  y él es más mayor y ya para qué tanta tontería.
[0:21:08.00]-[0:21:09.00]  Para nosotros dos solos. Entonces, no.
[0:21:09.00]-[0:21:13.00]  Ni las patatas ya sembramos, ni los ajos, ni las cebollas incluso tampoco.
[0:21:13.00]-[0:21:16.00]  Entonces, nada más que sembramos los pimientos, los tomates,
[0:21:16.00]-[0:21:21.00]  algunos estos días verdes, que también en el verano,
[0:21:21.00]-[0:21:24.00]  calabacines, cositas de esas así, pero nada,
[0:21:24.00]-[0:21:28.00]  a lo mejor tomamos tres casitas, como para casa, para nosotros y ya está.
[0:21:28.00]-[0:21:31.00]  Y entonces, ahora mismo, todo eso, tú haces un pimiento de eso
[0:21:31.00]-[0:21:34.00]  y tiene el gusto lo mismo que lo ha tenido toda la vida.
[0:21:34.00]-[0:21:37.00]  Lo que pasa es que, bueno, tenemos ahora mismo, que es lo que yo creo,
[0:21:37.00]-[0:21:40.00]  vamos, yo no sé, no sé si soy un torpe yo o es que yo me lo parece así,
[0:21:40.00]-[0:21:43.00]  pero ahora mismo, en tiempo que no es de temporada, tenemos esas frutas,
[0:21:43.00]-[0:21:46.00]  esas verduras, esos pimientos, esos tomates,
[0:21:46.00]-[0:21:48.00]  que a lo mejor no tienen el gusto que tienen los nuestros,
[0:21:48.00]-[0:21:50.00]  pero si lo nuestro es que los sembramos en su tiempo,
[0:21:50.00]-[0:21:52.00]  cuando tienen que ser los tomates, ¿no?
[0:21:52.00]-[0:21:55.00]  Tenemos tomates a lo mejor de todo el año, a base de invernaderos,
[0:21:55.00]-[0:21:57.00]  a base de productos y de cosas para...
[0:21:57.00]-[0:22:00.00]  esos tomates no pueden tener el gusto que tienen los naturales.
[0:22:00.00]-[0:22:04.00]  ¿Naturales, no? Fíjate si os digo que mi marido le encanta el tomate crudo,
[0:22:04.00]-[0:22:06.00]  a mí no tanto, pero a él sí.
[0:22:06.00]-[0:22:08.00]  Y cuando se los tengo que comprar es que no los quiere.
[0:22:08.00]-[0:22:10.00]  Se los hace frutas crudos, no se los hace.
[0:22:10.00]-[0:22:11.00]  Comprad, ¿sabes?
[0:22:11.00]-[0:22:13.00]  Y los quiere recién cogidos de la mata,
[0:22:13.00]-[0:22:15.00]  que los coge con la viña de tempera y toda fresquita,
[0:22:15.00]-[0:22:17.00]  que los abra en medio, se los come sin sal,
[0:22:17.00]-[0:22:19.00]  porque le tiene la tensión alta, un poquito,
[0:22:19.00]-[0:22:22.00]  y se los come sin sal, y es rico, dice que qué bueno le sabe.
[0:22:22.00]-[0:22:27.00]  Y por eso digo, por eso dirán, es lo que yo, vamos, comprendo yo,
[0:22:27.00]-[0:22:29.00]  a lo mejor yo soy demasiado torpe,
[0:22:29.00]-[0:22:32.00]  pero comprendo yo que por eso dirán que no saben las cosas como antes,
[0:22:32.00]-[0:22:35.00]  y es que tenemos que tener en cuenta que estamos comiendo todo el año
[0:22:35.00]-[0:22:37.00]  toda clase de fruta, toda clase de verdura, toda...
[0:22:37.00]-[0:22:39.00]  Y las cosas de temporada, y si no, no sé si lo oís,
[0:22:39.00]-[0:22:42.00]  muchas veces en la tele los cocineros y todo el mundo lo dicen, ¿no?,
[0:22:42.00]-[0:22:44.00]  que las cosas de temporada siempre están mucho mejores, ¿no?,
[0:22:44.00]-[0:22:46.00]  que las que están artificiales.
[0:22:46.00]-[0:22:50.00]  ¿Sabes? Porque eso es así, eso es así.
[0:22:50.00]-[0:22:53.00]  La tierra, nosotros antes, mira, bebíamos de la fuente,
[0:22:53.00]-[0:22:55.00]  de todas las fuentes bebíamos antes,
[0:22:55.00]-[0:22:57.00]  y nadie pasaba nada, ni nadie se moría, ni nadie,
[0:22:57.00]-[0:22:59.00]  de todas las fuentes.
[0:22:59.00]-[0:23:02.00]  Y ahora yo, yo misma estoy comprando el agua para beber,
[0:23:02.00]-[0:23:06.00]  porque, mira, antes no se echaba ericidas y cosas de estas que están,
[0:23:06.00]-[0:23:08.00]  los productos de estas que se están ahora.
[0:23:08.00]-[0:23:11.00]  Antes no se echaba nada de eso, porque se ayuda con el sápto,
[0:23:11.00]-[0:23:14.00]  que es lo que estamos diciendo, los trabajos de antes, de la agricultura,
[0:23:14.00]-[0:23:17.00]  con el sápto, que arrancaban la hierba que había mala,
[0:23:17.00]-[0:23:21.00]  y ya está, bueno, pues ahora para que esa hierba no creza,
[0:23:21.00]-[0:23:24.00]  ni salga incluso, pues vengan productos, vengan productos.
[0:23:24.00]-[0:23:29.00]  Para mí, pues, son cosas que eso, cuando llueve, ¿eh?
[0:23:29.00]-[0:23:32.00]  ¿Y eso qué? Eso se va filtrando, ¿y dónde va?
[0:23:32.00]-[0:23:36.00]  A los manantíes, donde se trae el agua a la fuente,
[0:23:36.00]-[0:23:38.00]  y a todas esas cosas, ¿no?
[0:23:38.00]-[0:23:41.00]  Entonces hay época que podemos beber de una fuente,
[0:23:41.00]-[0:23:44.00]  solo aquí en el pueblo, una, que está preparada desde luego,
[0:23:44.00]-[0:23:46.00]  porque le echamos cloro y eso.
[0:23:46.00]-[0:23:48.00]  Pero hay una temporada, nada más, en la que podemos beber,
[0:23:48.00]-[0:23:52.00]  y además, pues no podemos, porque no está en condiciones.
[0:23:52.00]-[0:23:54.00]  Entonces, te quiero decir con esto,
[0:23:54.00]-[0:23:57.00]  que son muchas cosas que esto ha cambiado tanto.
[0:23:57.00]-[0:23:59.00]  Luego lo que decimos.
[0:23:59.00]-[0:24:04.00]  Ahora mismo se está hablando mucho también de lo ecológico, ¿no?
[0:24:04.00]-[0:24:07.00]  De la ecología, digamos, los olivos ecológicos,
[0:24:07.00]-[0:24:09.00]  los troeocológicos, los heterócológicos,
[0:24:09.00]-[0:24:14.00]  pero sabemos que los ecológicos no, porque la aceituna.
[0:24:14.00]-[0:24:18.00]  La aceituna, como no le eches los productos que necesita el olivo,
[0:24:18.00]-[0:24:24.00]  la aceituna se va dañada completamente cuando va a hacer aceite, digamos, ¿no?
[0:24:24.00]-[0:24:26.00]  Como no le eches los productos que necesita,
[0:24:26.00]-[0:24:29.00]  pues se va dañada.
[0:24:29.00]-[0:24:31.00]  Entonces, ¿cómo puede ser ecológico? ¿Ecológico para qué?
[0:24:31.00]-[0:24:34.00]  Para los animales, si quieren comerse, se les cae al suelo y ¡tá!
[0:24:34.00]-[0:24:38.00]  Pero para hacerle aceite luego, que no es tan sana.
[0:24:38.00]-[0:24:41.00]  Entonces, no es rentable para ninguna persona que tenga,
[0:24:41.00]-[0:24:43.00]  por ejemplo, que viva de los olivos.
[0:24:43.00]-[0:24:46.00]  Nosotros no, porque los que tenemos son un poco malos.
[0:24:46.00]-[0:24:48.00]  Pero, por ejemplo, personas que tengan,
[0:24:48.00]-[0:24:51.00]  que hay aquí en el pueblo, tienen bastante terreno de olivos,
[0:24:51.00]-[0:24:54.00]  nada más viven del olivar.
[0:24:54.00]-[0:24:57.00]  Entonces, si no los cuida, no le echan lo que necesita,
[0:24:57.00]-[0:24:59.00]  pues se no les rinde, ¿no?
[0:24:59.00]-[0:25:02.00]  Entonces, lo que digo es que ha cambiado todo tanto, tanto,
[0:25:02.00]-[0:25:06.00]  que ya es muy difícil que se puedan hacer las cosas como se hacían antes.
[0:25:06.00]-[0:25:08.00]  Es muy difícil.
[0:25:08.00]-[0:25:11.00]  ¿Y a la hora de cocinar usted lo nota también? ¿Las comidas se hacen distintos?
[0:25:11.00]-[0:25:14.00]  No, yo no. Yo en mi casa no, porque en mi casa de luego lo tenemos todo natural.
[0:25:14.00]-[0:25:16.00]  Ya te digo, lo tenemos casi todo de casa.
[0:25:16.00]-[0:25:20.00]  Porque, vamos, ahora, desde hace tres años, como te digo, compro las patatas
[0:25:20.00]-[0:25:22.00]  y sí, la fruta también la tengo que comprar,
[0:25:22.00]-[0:25:25.00]  porque en verano sí tengo fruta de la nuestra, ¿no?
[0:25:25.00]-[0:25:27.00]  Pero en verano solamente.
[0:25:27.00]-[0:25:29.00]  Luego ya todo el año hay que estarla comprando.
[0:25:29.00]-[0:25:33.00]  Entonces, bueno, hay unas cosas que están peor, pero vamos, no lo noto yo demasiado.
[0:25:33.00]-[0:25:35.00]  ¿Qué frutas tienen aquí? ¿Qué árboles?
[0:25:35.00]-[0:25:42.00]  Pues aquí, aquí de frutales, por regla de edad, tenemos de pera, manzana,
[0:25:42.00]-[0:25:45.00]  hay también naranjo, pero los menos.
[0:25:45.00]-[0:25:48.00]  Aquí la naranja en este terreno no huea mucho.
[0:25:48.00]-[0:25:51.00]  Mis cuñadas lo tienen, nosotros nuestros no la podemos tener.
[0:25:51.00]-[0:25:53.00]  La tienen y no son malitas, pero no, no.
[0:25:53.00]-[0:25:57.00]  No es como, claro, una naranja que tú te comes, una naranja que está tan rica.
[0:25:57.00]-[0:26:00.00]  Trae lo que trae, pero está mejor.
[0:26:00.00]-[0:26:02.00]  Y las nuestras me están así como más perrinas.
[0:26:02.00]-[0:26:05.00]  No, yo no las tengo desde luego, pero en cuñadas me traen cuando las tienen.
[0:26:05.00]-[0:26:08.00]  Y las tienen todo el invierno y me traen a lo mejor.
[0:26:08.00]-[0:26:11.00]  Y ya te digo, están más perrotas, más...
[0:26:11.00]-[0:26:14.00]  Pero bueno, están más naturales también, eso sí.
[0:26:16.00]-[0:26:18.00]  Así que, ¿qué más digo, querida?
[0:26:18.00]-[0:26:21.00]  ¿Qué comidas aquí a Isabel normalmente?
[0:26:21.00]-[0:26:24.00]  No sé, que usted lleve comiendo desde pequeña y se la ha sido haciendo.
[0:26:24.00]-[0:26:28.00]  Sí, aquí lo que se hacía siempre, siempre se hacía el cocido.
[0:26:28.00]-[0:26:30.00]  El cocido era diario.
[0:26:30.00]-[0:26:33.00]  Y el día de fiesta se hacía un poquito extraordinario, digamos,
[0:26:33.00]-[0:26:36.00]  como decíamos aquí nosotros.
[0:26:36.00]-[0:26:40.00]  Era un cumpleaños de uno de los de la familia.
[0:26:40.00]-[0:26:43.00]  Nosotros desde luego hemos comido siempre, porque como hemos tenido carnicería,
[0:26:43.00]-[0:26:45.00]  pues comíamos carne, comíamos de todo.
[0:26:45.00]-[0:26:48.00]  Aquellos pobrecitos de entonces, de mi época, cuando yo era chiquitita,
[0:26:48.00]-[0:26:51.00]  bueno, no podíamos esas cosas, era la pojera, que entonces estaba...
[0:26:51.00]-[0:26:53.00]  nada más que había hambre y ya está.
[0:26:53.00]-[0:26:56.00]  Pero bueno, por eso te digo que no te puedo contar exactamente una cosa ni otra,
[0:26:56.00]-[0:27:00.00]  pero estoy orientando sobre lo que había y lo que hay.
[0:27:00.00]-[0:27:03.00]  Y entonces yo más o menos, como yo tengo las cosas en casa,
[0:27:03.00]-[0:27:06.00]  yo tengo mi carne de cerdo, mi carne de chivito,
[0:27:06.00]-[0:27:09.00]  como te digo, de pollo del campo, los tengo en el campo, los huevos del campo,
[0:27:09.00]-[0:27:11.00]  de mi gallinita, de...
[0:27:11.00]-[0:27:13.00]  Pues entonces, te quiero decir con esto,
[0:27:13.00]-[0:27:17.00]  que yo lo noto poco porque tengo la mayoría de las cosas son todas naturales de mi casa.
[0:27:17.00]-[0:27:19.00]  Entonces yo no te puedo decir...
[0:27:19.00]-[0:27:23.00]  El queso lo hago yo, no lo comemos nosotros, lo hacemos todos.
[0:27:23.00]-[0:27:25.00]  ¿Y platos típicos, dulces?
[0:27:25.00]-[0:27:26.00]  Sí, sí, también mucho.
[0:27:26.00]-[0:27:27.00]  A mí a nosotros nos encanta,
[0:27:27.00]-[0:27:30.00]  tenemos la manteca de los cerdos, es que acá están, en algo.
[0:27:30.00]-[0:27:33.00]  Aunque estemos gorditas luego, pero...
[0:27:33.00]-[0:27:37.00]  Hacemos las perrunillas, que son muy tradicionales aquí.
[0:27:37.00]-[0:27:38.00]  ¿Cómo se hacen?
[0:27:38.00]-[0:27:40.00]  Muy ricas.
[0:27:40.00]-[0:27:43.00]  Nos podemos explicar así un poco, nos animamos.
[0:27:43.00]-[0:27:47.00]  Si se quiere, os doy la regla ahora mismo, la apuntáis.
[0:27:47.00]-[0:27:51.00]  Medio kilo de manteca de cerdo, manteca blanca de cerdo.
[0:27:51.00]-[0:27:53.00]  Se la tiene que estar hecha y todo,
[0:27:53.00]-[0:27:56.00]  o sea que no comprarla del matadero recién sacada del cerdo.
[0:27:56.00]-[0:27:58.00]  Hecha, manteca hecha blanca.
[0:27:58.00]-[0:28:00.00]  Medio kilo de manteca.
[0:28:00.00]-[0:28:03.00]  Un cuarto de azúcar.
[0:28:03.00]-[0:28:07.00]  Tres huevos.
[0:28:07.00]-[0:28:10.00]  Un poco de canela.
[0:28:10.00]-[0:28:12.00]  Y si le queréis echar una levadurita,
[0:28:12.00]-[0:28:14.00]  una levadurina de esas que se compran sobre,
[0:28:14.00]-[0:28:16.00]  porque para que se hagan más grandes.
[0:28:16.00]-[0:28:18.00]  Tú las ves chiquititas y luego te crecen un poco más, ¿no?
[0:28:18.00]-[0:28:20.00]  Y harina a la camita,
[0:28:20.00]-[0:28:22.00]  de eso no os puedo decir cantidad,
[0:28:22.00]-[0:28:24.00]  porque es que por regla en era,
[0:28:24.00]-[0:28:27.00]  sobre un kilo, un kilo y algo, ¿sabes?
[0:28:27.00]-[0:28:29.00]  Se puede llevar de harina.
[0:28:29.00]-[0:28:32.00]  Tienes que amasar primero la manteca bien, bien, bien.
[0:28:32.00]-[0:28:34.00]  Si la puedes hacer casi líquido,
[0:28:34.00]-[0:28:36.00]  porque la amasas mucho con la mano,
[0:28:36.00]-[0:28:39.00]  o bueno, si quieres un batido, pero con la mano se adelanta más.
[0:28:39.00]-[0:28:41.00]  Te lavas bien la mano antes, dígala.
[0:28:41.00]-[0:28:43.00]  Y luego le echas la azúcar, le echas los huevos.
[0:28:43.00]-[0:28:45.00]  Ah, los huevos eso les iba a decir.
[0:28:45.00]-[0:28:47.00]  Los huevos apartáis una clara.
[0:28:47.00]-[0:28:50.00]  Apartas una clara. De los tres huevos apartas una clara.
[0:28:50.00]-[0:28:52.00]  Y no se las eches a la masa.
[0:28:52.00]-[0:28:54.00]  Esa luego para darle por encima.
[0:28:54.00]-[0:28:57.00]  Y ya le echas eso, la manteca,
[0:28:57.00]-[0:28:59.00]  la azúcar, un poquito de canela,
[0:28:59.00]-[0:29:02.00]  canela molida, porque en trama cogerías los trozos, ¿no?
[0:29:02.00]-[0:29:05.00]  Y es mejor molida la canela.
[0:29:05.00]-[0:29:08.00]  Y un poquito también me gusta las ralladuras del limón.
[0:29:08.00]-[0:29:10.00]  La cáscara del limón un poquito rallado,
[0:29:10.00]-[0:29:12.00]  también le da un sabor muy bueno.
[0:29:12.00]-[0:29:15.00]  Y nada más, hay quien le echa también un poco de aguardiente,
[0:29:15.00]-[0:29:18.00]  eso ya luego es a gusto cada una.
[0:29:18.00]-[0:29:20.00]  Pero a mí se endurece mucho con el aguardiente,
[0:29:20.00]-[0:29:22.00]  yo no se lo echo desde luego.
[0:29:22.00]-[0:29:24.00]  Echo nada más que eso.
[0:29:24.00]-[0:29:26.00]  Y harina, cuando ya le vas echando todas esas cosas,
[0:29:26.00]-[0:29:28.00]  le vas echando harina poco a poco, poco a poco.
[0:29:28.00]-[0:29:30.00]  Y según te vas emitiendo la masa,
[0:29:30.00]-[0:29:32.00]  le vas echando de harina, ¿no?
[0:29:32.00]-[0:29:34.00]  Echarle de golpe, porque entonces a lo mejor le echas mucha, ¿no?
[0:29:34.00]-[0:29:36.00]  Le echas de poco a poco, eso.
[0:29:36.00]-[0:29:40.00]  Y así, hasta que ya tú la ves, tú la coges y ya empiezas a hacerla,
[0:29:40.00]-[0:29:42.00]  así como si fuera un...
[0:29:42.00]-[0:29:44.00]  No te explico.
[0:29:44.00]-[0:29:48.00]  Un trocito así, como si fuera una croqueta, un poquito más gordita.
[0:29:48.00]-[0:29:50.00]  Y luego ya la estripas así, así,
[0:29:50.00]-[0:29:53.00]  y te queda así igualadita la perronilla.
[0:29:53.00]-[0:29:56.00]  Y cuando ya la tengas hecha, la pones en una bandejita de horno, ¿no?
[0:29:56.00]-[0:29:58.00]  Pero antes de entrarla en el horno,
[0:29:58.00]-[0:30:02.00]  esa clara que habéis apartado, la batís bien batida,
[0:30:02.00]-[0:30:04.00]  y entonces la coges y con una brochita,
[0:30:04.00]-[0:30:07.00]  yo tengo siempre una brochita en la cocina para esa cosa, ¿no?
[0:30:07.00]-[0:30:10.00]  Mojas la brocha en esa clara, le das a la perronilla,
[0:30:10.00]-[0:30:13.00]  la mojas así en la azúcar, y ya la vas poniendo.
[0:30:13.00]-[0:30:16.00]  Y entonces, claro, al cocerse, pues eso se queda muy bonito,
[0:30:16.00]-[0:30:18.00]  y encima estamos ricos.
[0:30:18.00]-[0:30:19.00]  Muy ricos.
[0:30:19.00]-[0:30:21.00]  ¡Uy! Si yo me cojo la receta,
[0:30:21.00]-[0:30:22.00]  a ustedes vamos a estar aquí todo el día.
[0:30:22.00]-[0:30:24.00]  Tenéis que venir otro día a hacer la receta,
[0:30:24.00]-[0:30:26.00]  otro día a otra cosa.
[0:30:26.00]-[0:30:27.00]  Pero para donde te vayas.
[0:30:27.00]-[0:30:30.00]  Yo, mira, mira, nada más que te tienes que hacer una idea.
[0:30:30.00]-[0:30:33.00]  Si yo estoy aquí ahora mismo sola, ¿por qué hoy domingo tengo lo que está fregando?
[0:30:33.00]-[0:30:35.00]  Por ejemplo, eh,
[0:30:35.00]-[0:30:36.00]  pues puanten eso nada más.
[0:30:36.00]-[0:30:38.00]  Que con todo lo grande que son los días,
[0:30:38.00]-[0:30:40.00]  yo estoy desde por la mañana hasta por la noche y siempre tengo algo que hacer.
[0:30:40.00]-[0:30:43.00]  Y enseñaron desde muy chiquitita nada más que a trabajar,
[0:30:43.00]-[0:30:45.00]  a divertirme nunca.
[0:30:45.00]-[0:30:49.00]  Entonces, fíjate si habré aprendido a hacer cosas.
[0:30:49.00]-[0:30:52.00]  Pero bueno, yo sería así y ya está.
[0:30:52.00]-[0:30:55.00]  Mi marido era el campo todo el día.
[0:30:55.00]-[0:30:57.00]  Porque era lo que quiere sus bichitos y ya está,
[0:30:57.00]-[0:31:00.00]  él se va a cuidar sus bichitos, viene por la noche y...
[0:31:00.00]-[0:31:02.00]  Yo le tengo aquí todo a punto y...
[0:31:02.00]-[0:31:04.00]  Y aquí por la noche para comer y acostarse.
[0:31:04.00]-[0:31:06.00]  Y si tenemos que ir a algún sitio algún día,
[0:31:06.00]-[0:31:09.00]  pero vamos, que salimos muy poco.
[0:31:09.00]-[0:31:11.00]  Así que te quiero decir con esto que claro,
[0:31:11.00]-[0:31:12.00]  si que voy a estar aquí sola aburrida todo el día, ¿no?
[0:31:12.00]-[0:31:15.00]  Pues aprendo, sé que hay 40 cosas.
[0:31:15.00]-[0:31:16.00]  Y así, mía.
[0:31:16.00]-[0:31:18.00]  Y usted que tiene nietos nota la diferencia.
[0:31:18.00]-[0:31:19.00]  Dos niñas que tengo, dos nietos.
[0:31:19.00]-[0:31:22.00]  Nota la diferencia como en las pequeñas con...
[0:31:22.00]-[0:31:23.00]  Bueno, todavía son muy chiquititas.
[0:31:23.00]-[0:31:24.00]  Mis niñas son más que chiquititas para la verdad.
[0:31:24.00]-[0:31:26.00]  Yo tiene cuatro años nada más.
[0:31:26.00]-[0:31:30.00]  Pero bueno, yo lo único que me acuerdo es que éramos muy chiquititas, muy chiquititas.
