[0:00:00.00]-[0:00:03.00]  ¿Nos quiere hablar un poco de la matanza? ¿Usted ha hecho matanza?
[0:22:31.80]-[0:22:40.80]  Y de las carrales cuando ya se hacía, cuando ya hervía y todo eso, después ya lo tapaban y ya pues estaba bien.
[0:22:40.80]-[0:22:42.80]  ¿Pero qué son las carrales?
[0:22:42.80]-[0:22:46.80]  Carrales, pues carrales que había de cemento y carrales de madera.
[0:22:46.80]-[0:22:49.80]  ¿Que es donde se pisaba?
[0:22:49.80]-[0:23:01.80]  No, no, es donde después de pisar, la uva la pisaba, iba un pilón y ese pilón después con calderos o con lo que fuera se echaba en las vasijas.
[0:23:01.80]-[0:23:12.80]  Y las vasijas pues después cuando el vino estaba aquella fomentaba y todo eso, pues lo tapaban y ya lo transijaban, como llaman eso.
[0:23:12.80]-[0:23:14.80]  ¿Era para casa o había suficiente?
[0:23:14.80]-[0:23:24.80]  Era para casa, pero después vendían, por ejemplo, vendían como el trigo, lo vendían como la cebada, el que tuviera mucho pues lo vendían.
[0:23:24.80]-[0:23:33.80]  Porque aquí un señor que aquí vivía, pues hoy se necesita usted un cántaro, iba por él o venían de fuera por vino.
[0:23:33.80]-[0:23:42.80]  Como ahora por ejemplo, si iba a Balderas o va a Mallorca o a eso se va por vino, pa' embotellar y todo eso, pero entonces lo tenía aquí en el pueblo.
[0:23:42.80]-[0:23:45.80]  ¿Y ahora qué hacen con el vino?
[0:23:45.80]-[0:23:54.80]  Ahora pues como aquí ya no hay de eso, pues creo yo que lo harán igual, lo meterán, porque entonces había también cooperativas que cogían el vino lo mismo que el trigo.
[0:23:54.80]-[0:24:04.80]  Y ellos llevaban la uva y ya estaba, se lo pagaban y allí lo hacían y después ellos venderían, lo venderían.
[0:24:04.80]-[0:24:08.80]  ¿Y ahora si quiere uno vino a comprar?
[0:24:08.80]-[0:24:12.80]  Ahora si quiere uno vino pues tiene que ir por ejemplo a la tienda o al bar o…
[0:24:12.80]-[0:24:15.80]  A Mallorca que está la cooperativa.
[0:24:15.80]-[0:24:23.80]  O ir a Mallorca, o decir traer un garrafón o traer lo que quiera, pero aquí no y antes también lo había.
[0:24:27.80]-[0:24:29.80]  A ver, seguimos con él.
[0:24:29.80]-[0:24:35.80]  Y por ejemplo el aceite, ¿cómo hacían antes para el aceite? ¿Aquí siempre lo han comprado o cómo?
[0:24:35.80]-[0:24:38.80]  Aquí siempre se ha comprado el aceite.
[0:24:38.80]-[0:24:47.80]  Había tiendas y ibas por ello el aceite o por ello y si no venían personas de fuera a vender y eso.
[0:24:47.80]-[0:24:50.80]  ¿Y qué aceite compraban más?
[0:24:50.80]-[0:24:53.80]  ¿Qué aceite era más frecuente comprar? ¿Qué tipo de aceite?
[0:24:53.80]-[0:25:00.80]  Entonces yo creo que no existía, antiguamente no existía más que la de oliva, después es cuando ya ha venido la otra.
[0:25:00.80]-[0:25:05.80]  ¿Qué vino cree que era mejor aquí?
[0:25:05.80]-[0:25:11.80]  Ay yo de eso no la puedo decir cuál era mejor, no lo sé.
[0:25:11.80]-[0:25:15.80]  Eso ya se queda para los hombres que dicen que mejor este vino o mejor el otro.
[0:25:15.80]-[0:25:17.80]  A usted no le gusta el vino.
[0:25:17.80]-[0:25:18.80]  No, no.
[0:25:18.80]-[0:25:24.80]  ¿Y aquí por ejemplo pescado tomaban alguna vez?
[0:25:24.80]-[0:25:25.80]  ¿Pescado?
[0:25:25.80]-[0:25:26.80]  Sí.
[0:25:26.80]-[0:25:31.80]  Siempre hubo que venían a vender y vienen a venderlo.
[0:25:31.80]-[0:25:41.80]  Ahora aquí la hija mía pues tiene pescado y aquí en el pueblo pues vende tres veces al día.
[0:25:41.80]-[0:25:46.80]  ¿Y dónde traen el pescado?
[0:25:46.80]-[0:25:53.80]  El pescado le trae de Palencia o de Valladolid o de León. Este va a Palencia casi siempre.
[0:25:53.80]-[0:25:58.80]  ¿Qué más cosas? ¿Qué pasa aquí? ¿Había miel aquí en el pueblo?
[0:25:58.80]-[0:25:59.80]  ¿Cuál?
[0:25:59.80]-[0:26:00.80]  Miel.
[0:26:00.80]-[0:26:01.80]  Ah sí, también había mucho.
[0:26:01.80]-[0:26:02.80]  Ah sí.
[0:26:02.80]-[0:26:06.80]  Bueno, y hubo un año que se murieron todas.
[0:26:06.80]-[0:26:07.80]  Cuéntenme sus cosas.
[0:26:07.80]-[0:26:08.80]  ¿Y por qué?
[0:26:08.80]-[0:26:17.80]  Pues no sé, vi una enfermedad que todas se morían, se murieron. Yo tenía por lo menos seis y no me quedo ninguno.
[0:26:17.80]-[0:26:19.80]  Y ahora tengo uno.
[0:26:19.80]-[0:26:21.80]  ¿Panales viste?
[0:26:21.80]-[0:26:22.80]  ¿Eh?
[0:26:22.80]-[0:26:24.80]  ¿Tenía colmenas?
[0:26:24.80]-[0:26:25.80]  Colmena, colmena.
[0:26:25.80]-[0:26:26.80]  ¿Tenía seis colmenas?
[0:26:26.80]-[0:26:36.80]  Sí, pero bueno, ahí sí tenía seis. Pero estas que de casa, porque ahora las hacen ya más modernas, ya vienen todas en cajones y eso no.
[0:26:36.80]-[0:26:41.80]  Esto no. Esto es un cajón nada más que mete el chime allí y ya está.
[0:26:41.80]-[0:26:44.80]  ¿Y cómo era el cultivo de la miel? Cuéntenme un poco.
[0:26:44.80]-[0:26:53.80]  El último, los de antes. Y bueno, es igual, porque yo lo mismo es el de ahora que es el de antes. Pues nada, tengo eso, cuando veo le abro.
[0:26:53.80]-[0:27:04.80]  Le miro y si tiene mucha miel, pues corto los panales, les pongo en una cesta que escurra y después me guardo la miel, la cera.
[0:27:04.80]-[0:27:08.80]  La he hecho otra vez para que la acaben de rebañar ellas.
[0:27:08.80]-[0:27:10.80]  ¿Y con la miel qué haces?
[0:27:10.80]-[0:27:14.80]  Con la miel, como es poca, pues nada, para guardarla.
[0:27:22.80]-[0:27:23.80]  ¿Nada no?
[0:27:23.80]-[0:27:35.80]  No, mucho, mucho, mucho no. Ahora aquí hay una vecina aquí abajo que ha comprado cuatro y va, ha tenido suerte, que han enjambrado mucho y tuvo mucha miel.
[0:27:35.80]-[0:27:39.80]  ¿Pero qué pasa, que ya no se paga bien o qué? ¿O que es muy engorroso?
[0:27:39.80]-[0:27:44.80]  No, es que eso, es que las abejas son aventureras también.
[0:27:44.80]-[0:27:46.80]  ¿Por qué son aventureras?
[0:27:46.80]-[0:27:52.80]  Porque a lo mejor se marchan o a lo mejor no dan, según venga los años de flores también.
[0:27:52.80]-[0:27:56.80]  Y aquí la miel de qué tipo es, de qué tipo de flores?
[0:27:56.80]-[0:28:09.80]  Bueno, aquí pues la miel de las flores de todo esto que hay, porque romero y de las flores estas que hay por el campo, como clavelles, ellas se agarran a todas las flores que hay.
[0:28:09.80]-[0:28:16.80]  Y en otros sitios pues hay muchas frutales y muchas cosas, y también a los frutales también van, pero aquí como eso no hay.
[0:28:16.80]-[0:28:20.80]  ¿Y qué miel cree que es mejor, de qué tipo cree que es mejor la...?
[0:28:20.80]-[0:28:32.80]  Pues no sé, porque dicen que según lo que coman así es, yo esta miel que he tenido yo, era como, se quedaba buena, buena, y dicen que esa miel no es miel.
[0:28:32.80]-[0:28:39.80]  Aquel que la ha visto, pues dice no es miel, esta se queda, ¿cómo le diría yo?, muy dura.
[0:28:39.80]-[0:28:46.80]  Y esta otra, no, esta otra, ella ve que es ligerina, que casi no vale para untarla en el pan.
[0:28:46.80]-[0:28:56.80]  Y esta otra sí, ahora si la quiere usted más blanda también, pues la pone al baño María y ya esa dureza se quita y ya queda más ralica.
[0:28:56.80]-[0:29:10.80]  Ahora yo he tenido, ya digo, cuando mucho, pues he tenido seis, que fue cuando se murieron todos, ahora tengo uno, ya lo tengo del año pasado y todavía no he podido catarle porque no tiene miel.
[0:29:10.80]-[0:29:13.80]  No tiene miel porque las flores no están...
[0:29:13.80]-[0:29:28.80]  Estas cajas que venden ahora, pues ya traen la cera y ya empiezan ellas a trabajar, porque ya tienen la cera, pero las que tenemos en nuestros cajones y en estos sitios, pues tienen que hacer la cera ellas.
[0:29:28.80]-[0:29:32.80]  Así que mientras hacen la cera no están haciendo la miel.
[0:29:32.80]-[0:29:36.80]  ¿Y la cera nunca se la quedan ustedes para verla?
[0:29:36.80]-[0:29:46.80]  Yo me acuerdo aquí un vecino que tenía muchos también, la cera la hacía y venían y se la compraban y hacían velas entonces de ellas.
[0:29:46.80]-[0:29:54.80]  Bueno y para todo, porque muchos también la hacían envuelta con aceite y valía para las manos y para todas esas cosas.
[0:29:54.80]-[0:30:13.80]  Yo nunca lo... y muchas veces la cera esa la lava, esos desperdicios de la cera, cuando en un sitio ha habido miel, pues coge en el barreño y lo lava el plato ese y después ese agua la pone a arviz.
[0:30:13.80]-[0:30:24.80]  Y tiene que estar quitando espuma, espuma, espuma hasta que se queda clarito y después eso vale pues para hacer licor, para muchas cosas, ese agua, agua de miel que llama.
[0:30:24.80]-[0:30:25.80]  ¿Agua de miel?
[0:30:25.80]-[0:30:30.80]  Que muchos lo beben así también y también para rebajar la leche o las cosas esas.
[0:30:30.80]-[0:30:32.80]  Ah, no conocía yo esa agua de miel.
[0:30:32.80]-[0:30:43.80]  Sí, sí, sí, sí, pero yo la he tenido, la última ya la tiré porque parece que se ponía, tenía una capina de mo, pero bueno, ese mo la quita y ya está.
[0:30:43.80]-[0:30:46.80]  Sí, sí, pero eso se hacía.
[0:30:46.80]-[0:30:50.80]  ¿Y jabón ha hecho usted alguna vez?
[0:30:50.80]-[0:30:51.80]  ¿Jabón?
[0:30:51.80]-[0:30:54.80]  ¿Jabón? Ah, también antiguamente se hacía de eso, jabón.
[0:30:54.80]-[0:30:56.80]  ¿Puede decirnos cómo hacía el jabón?
[0:30:56.80]-[0:31:09.80]  Pues el jabón entonces se compraba o si a lo mejor metía lo que acabo de decir, los chorizos en conserva y ese aceite no se usaba porque siempre tiene ya gusto, pues eso se usaba para hacer jabón.
[0:31:09.80]-[0:31:21.80]  Lo echaba en un barreño, echaba un poco de detergente para que jabonara más y la sopa y después revolviendo, revolviendo hasta que, hasta que espesaba.
[0:31:21.80]-[0:31:23.80]  ¿Y no había que echar ninguna otra cosa más?
[0:31:23.80]-[0:31:40.80]  No, no, nada. Bueno y entonces antes no se echaba ese jabón que echábamos de esto, por ejemplo, ariel o eso, pues echa un poco ese o lo que fuera, porque enverrenaran, pero antiguamente no se echaba nada, nada más que el aceite, el agua y la sosa.
[0:31:40.80]-[0:31:44.80]  ¿Y siguen usando ese jabón ahora o ya?
[0:31:44.80]-[0:32:05.80]  Bueno, ahora ya no se usa todo eso, ahora ya como ya nos gusta el polvo porque es más práctico, porque llega así gustar a ese jabón, pues la manteca hoy de los cerdos está regalada porque nadie las compra, porque nadie quiere ya cosas de grasas y sin embargo no se hace.
[0:32:05.80]-[0:32:14.80]  Ahora ya va por los sobres, los papeles esos, el ariel o el ese o todo eso y ya es más práctico.
[0:32:14.80]-[0:32:21.80]  Es más práctico. ¿Y antes para lavar cómo era? ¿De dónde tenían el agua? ¿Dónde sacaban el agua? ¿Iban al río o...?
[0:32:21.80]-[0:32:35.80]  Bueno, entonces aquí había una reguera, aquí no había, aquí había antes una reguera, una reguera que la tenían apresada y como entonces llovía más y había más cantidad de agua y todo y allí se iba a lavar y se lava.
[0:32:35.80]-[0:32:50.80]  Había que partir el carama con una taja de pico, ¿sabes lo que es una taja? Esas tajas que ponen ahora muchas para lavar en las pilas, pues entonces en vez de tener eso, pues tenía un pico y ese pico iba, le pinchaba la tierra, ponía de rodillas y a lavar.
[0:32:50.80]-[0:32:53.80]  Y si se lava había que partir el carama lo para lavar.
[0:32:53.80]-[0:32:55.80]  Sí, qué frío.
[0:32:55.80]-[0:33:05.80]  Todo eso después ya aquí ya hicieron unos lavaderos y en esos lavaderos se ha lavado y ahora ya como ya hay agua en casa, pues ya ni lavaderos ni reguera ni nada.
[0:33:05.80]-[0:33:10.80]  ¿Y el agua antes cómo se traía el agua a casa? Porque no habría agua corriente.
[0:33:10.80]-[0:33:18.80]  Bueno, entonces había pues lo que acabo de decir, un caño que estaba ahí en una fuente y se iba por agua allí, los pozos.
[0:33:18.80]-[0:33:21.80]  ¿Y cómo se iba por agua? ¿Cómo se traía el agua?
[0:33:21.80]-[0:33:26.80]  Ah bueno, pues con botijos o con caldero o con una cosa así.
[0:33:26.80]-[0:33:35.80]  Y si tenía pozo y se bebía el agua de él, porque había muchos que no se bebía el agua, aunque había pozo, para los animales y todo eso.
[0:33:35.80]-[0:33:38.80]  Sacaban del pozo y si se bebía pues para todo.
[0:33:38.80]-[0:33:41.80]  ¿Y cuántas veces había que ir al día?
[0:33:41.80]-[0:33:51.80]  A lo mejor siempre se tenía cántaros que llamábamos para decir ir a llenarles y ya tener para todo el día.
[0:33:51.80]-[0:33:55.80]  Porque como entonces no se bañaba uno como ahora.
[0:33:55.80]-[0:33:59.80]  ¿Y cómo era entonces? ¿Cómo había que ir a por el cántaro entonces?
[0:33:59.80]-[0:34:03.80]  Si iba por agua a la fuente, que llamábamos o al caño o como fuera.
[0:34:03.80]-[0:34:10.80]  Había muchas fuentes que tenían dos caños echando, aquí no, era nada más llegar, coger el caldero y llenarle y ya está.
[0:34:10.80]-[0:34:12.80]  ¿Y a casa te lo llevabas?
[0:34:12.80]-[0:34:15.80]  Se traía para casa los calderos o en un cántaro o en dos cántaros.
[0:34:15.80]-[0:34:18.80]  ¿Y en casa dónde guardabas el agua?
[0:34:18.80]-[0:34:24.80]  Pues un sitio que tuviera a propósito para poderles tener.
[0:34:24.80]-[0:34:31.80]  La tenía un botijo, o a lo mejor encima la trebe o eso para beber y ya está.
[0:34:31.80]-[0:34:34.80]  ¿Y antes qué pasa? ¿Que se lavaba uno muchísimo menos?
[0:34:34.80]-[0:34:41.80]  Yo creo que se lavaba uno menos que antes, porque no había tantos baños y tantas cosas y tantas duchas y todo eso.
[0:34:41.80]-[0:34:43.80]  Todo eso antes no lo había.
[0:34:43.80]-[0:34:51.80]  Se lavaba uno, no se iba a dejar uno de lavar, pero vamos, no es como ahora, porque ahora tenías que lavarte, tienes que lavarte,
[0:34:51.80]-[0:34:54.80]  tenías que hacer la ducha o te metes en la bañera y ya está.
[0:34:54.80]-[0:34:59.80]  Y entonces si querías lavarte, pues tenías que lavarte bien como pudieras.
[0:34:59.80]-[0:35:01.80]  Ya no era igual.
[0:35:01.80]-[0:35:04.80]  ¿Y con agua caliente se lavaba?
[0:35:04.80]-[0:35:11.80]  Se calentaría el agua, se calentaba el agua y ya está. En un balde se lavaba uno, como se pudiera.
[0:35:11.80]-[0:35:12.80]  ¿Una vez a la semana?
[0:35:12.80]-[0:35:17.80]  Bueno, sí, se lavaba uno una vez a la semana, las cosas son como son.
[0:35:17.80]-[0:35:26.80]  Me acuerdo yo que íbamos a arrancar y veníamos con los pies llenos de tierra y llenos de todo y venía uno con ganas de acostarse, no de lavarse.
[0:35:26.80]-[0:35:29.80]  Tenía un trapo para limpiarse y andando.
[0:35:29.80]-[0:35:35.80]  La vida de entonces ahora en estas cosas ha cambiado muchísimo, pero mucho.
[0:35:35.80]-[0:35:40.80]  ¿Y el agua era buena de la Redera o es mejor el agua del río?
[0:35:40.80]-[0:35:52.80]  Era buena, bueno, río aquí como no lo hemos tenido, pero creo que era buena porque iba de la que yo veía, de manantiales que había que corrían y de eso, era buena.
[0:35:52.80]-[0:35:54.80]  Sí, sí, sí.
[0:35:54.80]-[0:36:07.80]  Ahora, del arce, pues aquí hemos tenido los lavaderos que caían de un artesiano, que el artesiano siempre sale más caliente y también se lava porque ya echaba menos el artesiano y también se lava.
[0:36:07.80]-[0:36:13.80]  Se lava todo, claro. Madre mía, qué vida manzura entonces.
[0:36:13.80]-[0:36:15.80]  ¿Entonces era...?
[0:36:15.80]-[0:36:19.80]  ¿Con lava cómo se hacía, cómo lavaban la roca?
[0:36:19.80]-[0:36:35.80]  Para lavar entonces se mudaba uno los domingos, se metía en jabón y se refregaba el lunes y después se tenía tendido al verde, a lo mejor dos o tres días y después se le sacaba a planchar, toda la semana lavando.
[0:36:35.80]-[0:36:39.80]  ¿Pero no se aclaraba después de dos o tres días?
[0:36:39.80]-[0:37:01.80]  Se tendía, se le iba a lavar, se le quitaba la porquería y se tenía en jabón. Después si había verde, se tendía al verde porque era todo blanco entonces, porque no había como ahora todo esto de color, se tendía al verde y después cuando lo recogías y ya estaba bien blanco, pues se iba a desacar, a aclarar.
[0:37:01.80]-[0:37:03.80]  ¿Y luego?
[0:37:03.80]-[0:37:18.80]  Y luego pues plancharlo, igual que ahora. Lo que es que ahora es rápido, con las lavadoras se lava, se plancha si se quiere en el día, todo. Y casi hay muchas cosas que ahora casi ni a un plancharlas.
[0:37:18.80]-[0:37:26.80]  ¿Y usted ha hecho eso que llaman la alejía caliente o la colada con ceniza o ha oído hablar de eso o ya no lo ha conocido?
[0:37:26.80]-[0:37:29.80]  ¿De la colada caliente, de eso, de qué, de la ropa?
[0:37:29.80]-[0:37:30.80]  Sí.
[0:37:30.80]-[0:37:31.80]  ¿La colada?
[0:37:31.80]-[0:37:32.80]  Sí.
[0:37:32.80]-[0:37:34.80]  ¿La colada? Y que llamaban en Moseso, de lavarlo.
[0:37:34.80]-[0:37:44.80]  No, pero es una cosa que era con cenizas, que se ponía toda la ropa en un caldero y entonces se ponía ceniza encima y se echaba agua caliente por encima.
[0:37:44.80]-[0:37:46.80]  Yo no he oído nunca eso.
[0:37:46.80]-[0:37:48.80]  No, eso nunca lo ha conocido aquí, ¿no?
[0:37:48.80]-[0:37:49.80]  Yo nunca he oído eso.
[0:37:49.80]-[0:37:53.80]  Que era con ceniza y se quedaba la ropa muy blanca. No, eso no lo conoce.
[0:37:53.80]-[0:37:55.80]  Y eso nunca lo he oído, ¿no?
[0:37:55.80]-[0:37:59.80]  ¿Y con la lana antes, antiguamente, qué hacían?
[0:37:59.80]-[0:38:05.80]  Pues la lana, pues se traía, se compraba la lana, de cual, de cosas de las ovejas esas.
[0:38:05.80]-[0:38:16.80]  Pues se iba por un vellón o dos vellones, si era para colchón se lavaba con 15 o 16 vellones o quislos y se metían en el colchón.
[0:38:16.80]-[0:38:25.80]  Y si era para aislar, pues se traía y se hilaba la roca, se hilaba y después se tejía para hacer los calcés y esas cosas.
[0:38:25.80]-[0:38:33.80]  ¿Y para los colchones había que hacer algo especial a la lana? ¿Había que dar un golpe? ¿Cómo se preparaba la lana para el colchón?
[0:38:33.80]-[0:38:40.80]  Para el colchón pues lavarla igual. Lo que es que cuando ibas a comprarla siempre pedías que no fuera muy blanda.
[0:38:40.80]-[0:38:45.80]  Porque había lana que valía más para aislar que para lo otro.
[0:38:45.80]-[0:38:56.80]  Siempre se pedía vellones que fueran buenos, un poco más duros, porque después cuando hacía cada dos años los colchones que se desarmaban y se variaban.
[0:38:56.80]-[0:39:01.80]  Esto cuéntenos cómo era esto. Bueno, termine con lo de la lana, que tenía que ser lana un poco dura, ¿no?
[0:39:01.80]-[0:39:10.80]  Claro, y después ya se me hacía el colchón, se le ponía el colchón, los vellones así y se le cosía, se embastillaban.
[0:39:10.80]-[0:39:13.80]  ¿Y luego para limpiar los colchones cada dos años cómo era esto?
[0:39:13.80]-[0:39:18.80]  Bueno, pues eso se quitaba, había algunas que el desarmaban todo a la funda.
[0:39:18.80]-[0:39:29.80]  Pero hay otras que por ejemplo la cabecera del colchón se deshagio, se vaciaba y se ponía en unas tablas o un alambre
[0:39:29.80]-[0:39:37.80]  y con una varita se variaba para que cayera la broza abajo y después se volvía a hacer el colchón.
[0:39:37.80]-[0:39:46.80]  Si era de cabecera, pues entre dos se metía bien, se cosía la cabecera, se embastillaba y ya estaba.
[0:39:46.80]-[0:39:49.80]  ¿Y no había que dar unos golpes o...?
[0:39:49.80]-[0:39:51.80]  Mucho, mucho para que...
[0:39:51.80]-[0:39:53.80]  ¿Y la lana que se hacía, se lavaba a la vez?
[0:39:53.80]-[0:40:02.80]  No, no, porque la lana no siendo por ejemplo que se lavara que hubiera habido un enfermo,
[0:40:02.80]-[0:40:06.80]  entonces había un enfermo que se vendía ese colchón.
[0:40:06.80]-[0:40:20.80]  Y si no pues nada más era variarle, se lavaba la funda y el colchón se lavaba porque la lana siempre estaba blanca y quedaba esponjosa otra vez, se volvía a poner en el colchón.
[0:40:20.80]-[0:40:26.80]  Siempre ponían más centeno, pero por aquí yo he conocido poco.
[0:40:26.80]-[0:40:32.80]  ¿Y qué otros cultivos tenían que no fueran de cereal?
[0:40:32.80]-[0:40:43.80]  Bueno, entonces se sembraban antiguamente muchas cosas, garbanzos, lentejas, pues muchas cosas se sembraban entonces.
[0:40:43.80]-[0:40:45.80]  ¿Y el garbanzo para qué se utilizaba?
[0:40:45.80]-[0:40:54.80]  El garbanzo pues igual que los otros para la casa se consumían y el otro se vendía.
[0:40:54.80]-[0:40:56.80]  ¿Y se pagaba bien o...?
[0:40:56.80]-[0:41:05.80]  Bueno, pues entonces como entonces y ahora pues, ahora ya el garbanzo se siembra poco o nada, y si siembra alguno pues es a lo mejor para el gastillo o para él.
[0:41:05.80]-[0:41:15.80]  Ahora lo que más se siembra ya es la cerada y ahora pues están sembrando ya digo que esto los girasoles.
[0:41:15.80]-[0:41:23.80]  ¿Y la paja de centeno, del trigo, todo esto, qué hacían con la paja?
[0:41:23.80]-[0:41:29.80]  Bueno, antes se trillaba, pues se recogía la paja.
[0:41:29.80]-[0:41:32.80]  ¿Y cómo era eso de recogerla? ¿Puede contar un poco?
[0:41:32.80]-[0:41:41.80]  Bueno, es que entonces por ejemplo se sembraba el trigo o la cebada o lo que fuera y después la segaban con una máquina, hacían morenas.
[0:41:41.80]-[0:41:48.80]  Después había que esas morenas acarrearlas con los carros, que entonces eran carros, y se traían a la hea y se trillaba.
[0:41:48.80]-[0:42:03.80]  Y entonces esa paja era muy molidina, entonces se encerraba en los pajares para los animales y lo que tuviera ahí para venderlo, como por ejemplo muchos vendían paja, lo vendían en sacas.
[0:42:03.80]-[0:42:14.80]  Y ahora no, pues ahora son alpacas, qué hacen esas alpacas, qué hacen de paja, porque eso no vale, y ahora esa paja no vale para la lumbre, nada más vale para cosas de cama y todas esas cosas.
[0:42:14.80]-[0:42:19.80]  Pero también hacían adobe, ¿no? Porque todos estos pueblos de por aquí...
[0:42:19.80]-[0:42:23.80]  No, pero eso no vale ni para hacer adobes tampoco.
[0:42:23.80]-[0:42:26.80]  ¿Usted ha hecho adobes cuando era joven? ¿Ha hecho adobes?
[0:42:26.80]-[0:42:27.80]  Pues sí.
[0:42:27.80]-[0:42:29.80]  ¿Me puede contar cómo se hace el adobe?
[0:42:29.80]-[0:42:44.80]  Bueno, pues el adobe se cava la tierra, se echa paja, se echa el agua y después con un marcal que había, se llenaba con la pala y después con las manos y ya estaba.
[0:42:44.80]-[0:42:46.80]  Sacaba el marcal y ya estaba hecho el adobe.
[0:42:46.80]-[0:42:49.80]  Pero había que esperar un tiempo, ¿había que meterlo en el horno?
[0:42:49.80]-[0:42:50.80]  No.
[0:42:50.80]-[0:42:52.80]  ¿Siempre es solo el sol?
[0:42:52.80]-[0:42:59.80]  Sí, siempre es solo el sol. Cuando ya estaban secos, se pinaban y después se recogían y es de lo que hacían las casas y lo que hacían las cosas.
[0:42:59.80]-[0:43:02.80]  ¿Y costaba mucho hacer los adobes?
[0:43:02.80]-[0:43:08.80]  Todo cuesta trabajo. Ahora no hay nada que no cueste trabajo.
[0:43:08.80]-[0:43:12.80]  Pero tardaban mucho el hacer, pero si llovía se podían estropear, ¿no?
[0:43:12.80]-[0:43:18.80]  Bueno, sí. O venían y a lo mejor te les pisaban y también les estropeaban.
[0:43:18.80]-[0:43:21.80]  Y ya te habías quedado sin ellos, ¿no?
[0:43:21.80]-[0:43:28.80]  Claro, había muchos que tenías que volverles a tirar y cavarles y volverlo a hacer. Machacarlo y volverlo a hacer.
[0:43:28.80]-[0:43:39.80]  Caray. ¿Y nos puede contar alguna receta aquí del pueblo, así algo que hiciera con pastas o con tortas o rosquillas?
[0:43:39.80]-[0:43:46.80]  Bueno, entonces donde había los hornos, pues se hacía dulces. Y iba a amasar, pues se hacía torta.
[0:43:46.80]-[0:43:48.80]  ¿Y cómo eran las tortas? ¿De manteca?
[0:43:48.80]-[0:43:55.80]  No, no, no. La torta es exacta al pan. No es más que las tienden y le echaban siempre el aceite por encima.
[0:43:55.80]-[0:43:58.80]  Le echaban así y salía muy rica.
[0:43:58.80]-[0:44:01.80]  ¿Eso es una cosa que se hacía aquí siempre, cada vez que se amasaba?
[0:44:01.80]-[0:44:05.80]  Sí, cuando se amasaba pues se hacía una torta o hacía dos.
[0:44:05.80]-[0:44:10.80]  No, se hacía muchas porque eran un poco palagosas para tirarlas así al horno.
[0:44:10.80]-[0:44:18.80]  Como eran grandecicas, pues como se doblaban, pues ya digo que de una o dos, un pan a lo mejor para dos tortas y ya estaba.
[0:44:18.80]-[0:44:23.80]  ¿Y no había aquí, por ejemplo, magalenas o rosquillas?
[0:44:23.80]-[0:44:30.80]  No, se hacía de todo. Cuando se iba a los hornos, entonces la que no tenía horno, pues hacía los dulces en casa.
[0:44:30.80]-[0:44:38.80]  Y la que no, pues iba al horno donde machaba y ahí se hacían rosquillas, se hacían pelusas, se hacían de todas las clases de dulces.
[0:44:38.80]-[0:44:41.80]  ¿Y cómo eran las pelusas?
[0:44:41.80]-[0:44:47.80]  Ah, pues ya, ¿qué quiere que la diga? Casi las pelusas es una cosa que había en una cuarto, como se hacía.
[0:44:47.80]-[0:44:51.80]  No sé la pelusa, si será con claras olas o con qué será, no se lo digo.
[0:44:51.80]-[0:44:58.80]  ¿Y no había algún tipo de dulce especial para las fiestas o para las bodas o para las...?
[0:44:58.80]-[0:45:06.80]  Bueno, pues por los dulces esos que la digo, cosas de pastas, cosas de las pastas, que eran de manteca, las magalenas,
[0:45:06.80]-[0:45:11.80]  porque ahora la magalena pues ya es corriente, ya va a desayunar y para eso, y entonces pues no lo era.
[0:45:11.80]-[0:45:12.80]  Era una cosa excepcional.
[0:45:12.80]-[0:45:14.80]  Claro, eran cosas de esas.
[0:45:14.80]-[0:45:23.80]  Y vamos a hablar ahora un poco ya de costumbres y eso. Por ejemplo, cuando iba a la boda, ¿qué era costumbre que regalaran los novios?
[0:45:23.80]-[0:45:28.80]  ¿Era costumbre que regalara el novio algo a la novia o la novia algo al novio?
[0:45:28.80]-[0:45:39.80]  Aquí en Villalba era la costumbre del novio comprarle el vestido y la novia comprarle la camisa, la corbata y los zapatos.
[0:45:39.80]-[0:45:40.80]  A él.
[0:45:40.80]-[0:45:47.80]  Eso era la costumbre de antes. Ahora ya no lo sé. Ahora con tramas se regalen mejor, ¿no?
[0:45:47.80]-[0:45:51.80]  Sí. ¿Y cómo era el vestido de ella? O sea, ¿qué él compraba a ella?
[0:45:51.80]-[0:45:52.80]  El vestido.
[0:45:52.80]-[0:45:55.80]  Y la novia era el...
[0:45:55.80]-[0:45:56.80]  ¿El traje también?
[0:45:56.80]-[0:46:03.80]  No. La novia era la camisa, la corbata y los zapatos. El traje ya era cosa de él.
[0:46:03.80]-[0:46:04.80]  ¿Y los anillos?
[0:46:04.80]-[0:46:09.80]  Y los anillos pues... Yo me casé y no me llevé anillos. Le llevé prestados.
[0:46:09.80]-[0:46:19.80]  El que les tenía, pues le podía y les compraba y nada más. El que no le tenía, pues no le llevaba. Entonces seguramente que muchos no le llevarían.
[0:46:19.80]-[0:46:28.80]  ¿Y los padres? ¿Qué era costumbre que los padres ayudaran o dieran?
[0:46:28.80]-[0:46:36.80]  Bueno, el que podía ayudarles, pues les ayudaban. Y muchos pues... A lo mejor estaban en casa de los padres un año, dos años.
[0:46:36.80]-[0:46:38.80]  ¿Por qué no tenían casa propia?
