[0:00:00.00]-[0:00:01.00]  Mira.
[0:22:49.00]-[0:22:56.00]  pero siguen recogiendo aceituna, este año la cojo una diez, porque ya como las tienen que dar pa' cogerla,
[0:22:56.00]-[0:23:04.00]  y el que va a coger la que le tiene que coger aquello, no le tiene cuenta y no vaya a trabajar pa', pa' nada, pa' no ganar,
[0:23:04.00]-[0:23:12.00]  ¿usted ha recogido aceituna? Sí, he recogido mucha, con mi hija y mi marido, mucha, a kilos, es un trabajo muy duro, ¿no?
[0:23:12.00]-[0:23:23.00]  Es muy duro, yo me iba con mis niñas, eran ya grandes, eran necesitas, y un varón que tenía, y tengo, por 7-8 años tenía, 8,
[0:23:23.00]-[0:23:34.00]  y el pobrecito vino y le decía, yo, José, aquel niño y aquella, ya salta, a ver cómo están, que ya vamos a acabar nosotros en este,
[0:23:34.00]-[0:23:42.00]  iba ese y miraba y me traía una aceituna de cada uno, mamá, este está, uy, pero este que está ahora que malo, que malo, que malo, no va a dar,
[0:23:42.00]-[0:23:50.00]  digo, aceituna al suelo, a coger de nuevo, y mis niñas se le iban a coger otra vez pa' llenar el seto, ¿sabes?
[0:23:50.00]-[0:23:59.00]  Cuando que estaba allá, que yo veía que iba a saltar alguno y no, el sexto, vete, al inio, se iba al inio y ya no lo cogía nadie,
[0:23:59.00]-[0:24:08.00]  que lo cogía yo ya, ¿sabes? Y esa era la cosa que se llevaba, trabajaba ahí, para poder llevar a la casa y luchar.
[0:24:08.00]-[0:24:16.00]  Pero a usted también le gustaba mucho la postura, ¿no? Ah, cosas así me gustan, no, no, dos cosas más que para mis hijos,
[0:24:16.00]-[0:24:24.00]  porque eran chicos y no tenía nada para comprar, podía comprarle la tela para el vestido, pero si se los llevaba a la postura,
[0:24:24.00]-[0:24:32.00]  era para llevar dinero, pues yo me veía a mi casa y había una postura que aquí cerquita y yo decía, mirá,
[0:24:32.00]-[0:24:38.00]  que te vengo con las patas a la niña, así que yo te coso a ti lo que tú quieras, venga, que yo te hago aquí lo que tú quieras,
[0:24:38.00]-[0:24:47.00]  ay, ay, cárrate, cárrate, anda, y venga, que para cortar le voy a tirar a la niña, y a la que me sentaba y ella me cortaba y de final,
[0:24:47.00]-[0:24:52.00]  me daba para cortar y para todo, rompí sus, haciendo las misillas, sus patas y sus cosas.
[0:24:52.00]-[0:24:54.00]  O sea, usted ya sabe hacerlo.
[0:24:54.00]-[0:25:02.00]  Yo, la mocita mía, se lo ha hecho y mi nieta, mozada, esto, de la ropa, ahora no, ahora ya se compra más barata,
[0:25:02.00]-[0:25:04.00]  te sale más barata comprar que hacerla.
[0:25:04.00]-[0:25:07.00]  Pero es muy difícil hacer los cortes de las mangas.
[0:25:07.00]-[0:25:17.00]  Hombre, tú tienes que tener una idea, como no tengas idea, no lo haces, es muy difícil tú decir, esto, tengo que dármelo aquí en este dedo,
[0:25:17.00]-[0:25:24.00]  que tú, si esto es de mi, que sabes que es más, pero si no haces eso nunca, si tú, por Dios, ¿qué es algo?
[0:25:24.00]-[0:25:32.00]  A ver, a ver la boca, esto te entra aquí, tienes que destaparlo, mirá, todas esas cosas, y ahora, si te lo das, si no te lo das,
[0:25:32.00]-[0:25:38.00]  si no tienes que vendar, si no tienes que poner para trapo, pues, oye, pensarlo, por lo mismo, la costura.
[0:25:38.00]-[0:25:45.00]  A tú saberlo no va después, venga, te da, te pone y no necesitas más, si no, hacer tu oído y ya está.
[0:25:45.00]-[0:25:48.00]  Pero usted ahora cose mucho, ¿no?, para pasar el tiempo.
[0:25:48.00]-[0:25:57.00]  Yo ahora, esto, mira, hoy el pantalón, esto porque me gusta hacerlo, lo hago, un cojín, todas esas cosas,
[0:25:57.00]-[0:26:04.00]  y cuando cae, así voy haciendo. ¿Y cose a mano también, o sea, con ganchillo?
[0:26:04.00]-[0:26:13.00]  Eso lo hago menos, porque me gusta más la costura. El ganchito también lo he cogido para hacer todo, cae eso, pero ahora, ¿no?
[0:26:13.00]-[0:26:20.00]  ¿Y ha hecho alguna vez algún traje de flamenca? No, lo he hecho pero cortado, a mis nietos, a mis nietas.
[0:26:20.00]-[0:26:27.00]  Eso tiene que ser muy complicado. Pues no, no te quedas, pues eso está todo arrasado, tú le vas pasando a tus hilos,
[0:26:27.00]-[0:26:32.00]  los volantes los vas luego igual, y teniendo ideas, pues los vas poniendo todo muy bien.
[0:26:32.00]-[0:26:38.00]  ¿Y en la feria se viste en todos de flamenco? Sí, se viste mucha gente, los chiquitos, las chiquitas,
[0:26:38.00]-[0:26:44.00]  a los chiquitos, a estos dos, mis nietos, los más chiquitos, que hice todos de flamenco.
[0:26:44.00]-[0:26:51.00]  Al último día hice uno de flamenco y estaba viendo por ahí la gorra, estaba la madre de uno, mi niño,
[0:26:51.00]-[0:26:57.00]  con una gorra lunar de blanco y de fondo de engrana, estaba precioso.
[0:26:57.00]-[0:27:07.00]  Y al otro día, a todos, si es a mi chica de otra nieta que tengo, pues dos años seguidos, ha ganado en la...
[0:27:07.00]-[0:27:19.00]  en esto, hoy, en el miércoles se dice eso, porque tú sabes que un golpe dice un caballo de cartón.
[0:27:19.00]-[0:27:25.00]  Y es de montaña, pero en vez de ir montaña, este era el caballo.
[0:27:25.00]-[0:27:33.00]  Y aquí llevaba una rá, corta así, por ahí metía la pierna a la niña, por aquí iban tanto.
[0:27:33.00]-[0:27:42.00]  Aquí se iba a dar el caballo y llevaba su rienda, esa musardame, su cuerda, la línea aquí cogida.
[0:27:42.00]-[0:27:50.00]  El niño iba haciendo así, andando, la niña, y el caballo tan gracioso, que para ese... vamos, una cosa.
[0:27:50.00]-[0:27:54.00]  Otro de indio, muchas cosas, todos me se venían a la mañana...
[0:27:54.00]-[0:27:56.00]  ¿Esto es en la feria o en los carnavales?
[0:27:56.00]-[0:27:57.00]  En los carnavales.
[0:27:57.00]-[0:27:59.00]  ¿Han sido hace poco los carnavales?
[0:27:59.00]-[0:28:03.00]  Hace poco, sí, este año no, este año no se ha vestido ni nada.
[0:28:03.00]-[0:28:07.00]  Y el año pasado sí, pero... ah, el año pasado se ve esto.
[0:28:07.00]-[0:28:08.00]  Hola, muy buenas.
[0:28:08.00]-[0:28:09.00]  Adiós, mi amiga.
[0:28:09.00]-[0:28:10.00]  Hola.
[0:28:10.00]-[0:28:11.00]  ¿Qué tal?
[0:28:11.00]-[0:28:12.00]  ¿Y tu nieta?
[0:28:12.00]-[0:28:16.00]  Esta, de mi nieta, y aquella, de mi nieto.
[0:28:16.00]-[0:28:17.00]  Buenas.
[0:28:17.00]-[0:28:18.00]  ¿Qué tal, Rau?
[0:28:18.00]-[0:28:20.00]  Pues mira, aquí me han pasado, y se han entrado.
[0:28:20.00]-[0:28:21.00]  ¿Han comido?
[0:28:21.00]-[0:28:24.00]  Hasta aquí preguntándome unas cosas y ya está.
[0:28:24.00]-[0:28:25.00]  ¿Cosa de qué?
[0:28:25.00]-[0:28:29.00]  El campo, el trabajo, lo que hay, lo que no hay.
[0:28:29.00]-[0:28:34.00]  Y yo qué voy a decir, si ya tuviera y no se da nada.
[0:28:34.00]-[0:28:36.00]  ¿Y esto qué es, un encuenta de qué?
[0:28:36.00]-[0:28:41.00]  Para la universidad, para un trabajo, de las antiguas costumbres del pueblo.
[0:28:41.00]-[0:28:42.00]  ¿De ahí del pueblo?
[0:28:42.00]-[0:28:44.00]  Sí.
[0:28:44.00]-[0:28:49.00]  Aquí acostumbré, hoy hay otras que no había entonces, es más...
[0:28:49.00]-[0:28:57.00]  Pero vamos, que trabajando, hay trabajo, para poder luchar.
[0:28:57.00]-[0:28:58.00]  ¿Qué ves?
[0:28:58.00]-[0:28:59.00]  ¿Tú ahora has llegado?
[0:28:59.00]-[0:29:01.00]  Ahora.
[0:29:01.00]-[0:29:04.00]  ¿Has comido?
[0:29:04.00]-[0:29:05.00]  ¿Y señorita?
[0:29:05.00]-[0:29:07.00]  Hola, ¿qué tal?
[0:29:07.00]-[0:29:08.00]  Hola.
[0:29:08.00]-[0:29:11.00]  Aquí hacemos casi todo de familia, ese es de una sobrina.
[0:29:11.00]-[0:29:12.00]  ¿Ah, sí?
[0:29:12.00]-[0:29:14.00]  O sea, que no son hermanos ni nada.
[0:29:14.00]-[0:29:15.00]  No.
[0:29:15.00]-[0:29:17.00]  Todos primos.
[0:29:17.00]-[0:29:18.00]  Bueno, muy buenas.
[0:29:18.00]-[0:29:20.00]  ¿Y este es mi hijo?
[0:29:20.00]-[0:29:21.00]  El señor es su hijo.
[0:29:21.00]-[0:29:23.00]  ¿Quién es el primo de su hijo del campo?
[0:29:23.00]-[0:29:25.00]  Yo, vengo a salir por aquí.
[0:29:25.00]-[0:29:26.00]  Ah, sí, ¿qué ha pasado?
[0:29:26.00]-[0:29:27.00]  Y le digo, ya la van a robar.
[0:29:27.00]-[0:29:29.00]  No, no me la van a robar.
[0:29:29.00]-[0:29:31.00]  A mí no me roba nadie.
[0:29:31.00]-[0:29:32.00]  No tengo una gorda.
[0:29:32.00]-[0:29:35.00]  Tiempo, a lo mejor.
[0:29:35.00]-[0:29:36.00]  Que me van a robar.
[0:29:36.00]-[0:29:41.00]  Yo estoy que he trabajado en la Junta y pasé por ahí, digo, no, pues de qué.
[0:29:41.00]-[0:29:44.00]  ¿Él viene de, cómo le dicen eso que estabas tú?
[0:29:44.00]-[0:29:45.00]  De los juegos.
[0:29:45.00]-[0:29:47.00]  De los juegos.
[0:29:47.00]-[0:29:51.00]  De los fractales de los juegos.
[0:29:51.00]-[0:29:53.00]  Ella estamos por un vacío.
[0:29:53.00]-[0:29:55.00]  ¿Cómo está?
[0:29:55.00]-[0:29:56.00]  ¿Cómo está?
[0:29:56.00]-[0:29:57.00]  ¿Cómo está?
[0:29:57.00]-[0:29:58.00]  ¿Cómo está?
[0:29:58.00]-[0:29:59.00]  ¿Cómo está?
[0:29:59.00]-[0:30:04.00]  Ella, a comerse a la 7 que se va vendrá cada uno.
[0:30:04.00]-[0:30:07.00]  Con ganas de té mano, a comer.
[0:30:07.00]-[0:30:09.00]  Ay, por Dios.
[0:30:09.00]-[0:30:12.00]  ¿Y qué recuerda usted un poco de cuando era joven?
[0:30:12.00]-[0:30:14.00]  ¿Cómo era la vida aquí en el pueblo?
[0:30:14.00]-[0:30:16.00]  La vida muy mala.
[0:30:16.00]-[0:30:19.00]  Trabajaba mucho y ya está.
[0:30:19.00]-[0:30:20.00]  ¿Qué va a recordar?
[0:30:20.00]-[0:30:22.00]  Solo se trabajaba.
[0:30:22.00]-[0:30:30.00]  Entonces, a los trabajos con los padres, al campo, al calmo, al que se arabara, arrancar las herbas, esa cosa.
[0:30:30.00]-[0:30:32.00]  ¿Y cómo conoció a su marido?
[0:30:32.00]-[0:30:33.00]  Cony.
[0:30:33.00]-[0:30:36.00]  Yo lo conocía aquí, vivía ahí, yo vivía ahí por encima.
[0:30:36.00]-[0:30:40.00]  Cojí yo el cántaro y el cubo y me iba por agua, al pila, un pila que hay ahí.
[0:30:40.00]-[0:30:41.00]  Y estaba en la puerta.
[0:30:41.00]-[0:30:42.00]  Me veía.
[0:30:42.00]-[0:30:45.00]  Si él venía del campo, yo lo veía de venir.
[0:30:45.00]-[0:30:52.00]  Y casi que no tuvimos que decirnos nada porque estábamos cansados de vernos.
[0:30:52.00]-[0:30:54.00]  Estábamos cansados de vernos.
[0:30:54.00]-[0:30:57.00]  Pero, ¡qué vida!
[0:30:57.00]-[0:31:01.00]  Entonces, una vida más tranquila.
[0:31:01.00]-[0:31:05.00]  Estaba la guerra, se metió la guerra en medio.
[0:31:05.00]-[0:31:08.00]  Ahora viene, mira que acompaña a todos.
[0:31:08.00]-[0:31:09.00]  ¿Viene dentro de jóvenes, no?
[0:31:09.00]-[0:31:10.00]  Vamos.
[0:31:10.00]-[0:31:11.00]  ¿Qué pasa?
[0:31:11.00]-[0:31:17.00]  Bueno, no me acompaña con jóvenes porque estoy muy vieja, tengo 84 años.
[0:31:17.00]-[0:31:19.00]  ¿Pero eso qué es?
[0:31:19.00]-[0:31:22.00]  Eso es 10, 12, 20 ahora.
[0:31:22.00]-[0:31:23.00]  ¿Qué pasa, va?
[0:31:23.00]-[0:31:25.00]  87, tiene mi padre y está con un chaval.
[0:31:25.00]-[0:31:26.00]  ¿Como tu padre?
[0:31:26.00]-[0:31:27.00]  27.
[0:31:27.00]-[0:31:29.00]  Tu padre está más muy bien.
[0:31:29.00]-[0:31:32.00]  Cuando estuvo ahí el vídeo todo está muy bien.
[0:31:32.00]-[0:31:35.00]  Vamos, vamos a ayudarle a limpiar un poquitito ahí la casa.
[0:31:35.00]-[0:31:36.00]  Ay, madre mía.
[0:31:36.00]-[0:31:39.00]  Anda, no tiene nadie ahora.
[0:31:39.00]-[0:31:40.00]  Yo no sé, yo no he visto.
[0:31:40.00]-[0:31:47.00]  Ahora verás tú, porque faltan ya los jefes de este mes, porque al otro son cinco días nada más.
[0:31:47.00]-[0:31:52.00]  Son cinco días que pasan, nos anfilamos las uñas, nos damos el tinte, nos reparamos la...
[0:31:53.00]-[0:31:54.00]  Bueno, venga.
[0:31:54.00]-[0:31:55.00]  Es apatío, hija.
[0:31:56.00]-[0:31:58.00]  Pues ya mía, así era la vida.
[0:31:59.00]-[0:32:05.00]  Yo estaba en mi casa, mi faena con mi madre, el lavado, el esto, el otro y la está.
[0:32:05.00]-[0:32:10.00]  Entonces, como estaba con mi madre no trabajaba por ahí en las casas de nadie, estaba en la mía.
[0:32:10.00]-[0:32:15.00]  Después de casa sí, después de casa he trabajado mucho en todo.
[0:32:15.00]-[0:32:20.00]  Lo mismo he hecho dulce, que me llevaba las vecinas aquí,
[0:32:20.00]-[0:32:23.00]  ¡ay, que viene ahora la feria, lo tengo!
[0:32:23.00]-[0:32:27.00]  Así me hacen un piñonate, así me hacen los pastillos, así me hacen las tortas.
[0:32:28.00]-[0:32:29.00]  ¿Cómo se dan las tortas?
[0:32:29.00]-[0:32:34.00]  Las tortas las está haciendo hasta hace poco ya, no porque las tortas ahí en una panadería se cuecen ahí.
[0:32:34.00]-[0:32:37.00]  Pero ahora ya no voy, mis hijas.
[0:32:37.00]-[0:32:40.00]  Yo se lo digo muchas veces, ya saben hacerlo.
[0:32:40.00]-[0:32:42.00]  Las tortas hasta le...
[0:32:43.00]-[0:32:47.00]  Se echa la manteca, un kilo de manteca,
[0:32:49.00]-[0:32:52.00]  y coge dos kilos de harina y le echa lo que almente luego.
[0:32:52.00]-[0:32:54.00]  Eso lo bate, es muy batido.
[0:32:54.00]-[0:32:58.00]  Le echa el limón enrolado, limón enrolado.
[0:33:00.00]-[0:33:01.00]  Y...
[0:33:01.00]-[0:33:03.00]  Y esto es aceite.
[0:33:04.00]-[0:33:06.00]  Un poquito de aceite también para que se ponga...
[0:33:07.00]-[0:33:10.00]  A mí me gusta más, con un poquito de aceite que solo con manteca.
[0:33:11.00]-[0:33:13.00]  Y ahí es un clavo.
[0:33:13.00]-[0:33:15.00]  El clavo también se le echa un poquito molido.
[0:33:16.00]-[0:33:17.00]  También está muy bueno.
[0:33:18.00]-[0:33:21.00]  Y ahora la masa, tu masa la vas amasando, la vas amasando muy bien.
[0:33:21.00]-[0:33:23.00]  Con una mita de agua, templada.
[0:33:24.00]-[0:33:25.00]  Y esto.
[0:33:27.00]-[0:33:29.00]  Si me acuerdo, qué tonta.
[0:33:29.00]-[0:33:31.00]  De esa.
[0:33:31.00]-[0:33:33.00]  No es ahí nada más, poquito, poquito.
[0:33:33.00]-[0:33:36.00]  Y ahora el otro va dando vueltas, dando vueltas y la hace ya...
[0:33:36.00]-[0:33:39.00]  Después ya como está la masa ya durita,
[0:33:39.00]-[0:33:43.00]  la vas estupando, la vas haciendo en un molde sustosa.
[0:33:44.00]-[0:33:47.00]  Y quedan ya las tortas como tú las quieras.
[0:33:47.00]-[0:33:48.00]  Si las quieres más gordas, más gordas.
[0:33:48.00]-[0:33:49.00]  Un ponés así.
[0:33:50.00]-[0:33:52.00]  Le quitas aquí, hace el pico y aquí.
[0:33:53.00]-[0:33:54.00]  Y aquí y aquí.
[0:33:54.00]-[0:33:58.00]  Y aquí. Y otras se hacen en el honda.
[0:34:00.00]-[0:34:03.00]  Mira, coño, para qué yo voy a hacer una torta.
[0:34:07.00]-[0:34:08.00]  ¿Y eso se mete al horno?
[0:34:08.00]-[0:34:09.00]  Eso no es el horno.
[0:34:10.00]-[0:34:12.00]  Se mete, con el pan se mete.
[0:34:13.00]-[0:34:15.00]  ¿Ese tiene horno o es un horneo?
[0:34:15.00]-[0:34:16.00]  Ya no, ya no hay horno aquí.
[0:34:17.00]-[0:34:19.00]  Pero había un horno general para todo el horno.
[0:34:19.00]-[0:34:23.00]  Se iba a casa, en casa casi en todas, había horno.
[0:34:23.00]-[0:34:24.00]  La masa al pan.
[0:34:25.00]-[0:34:31.00]  En el horno tenía un horno y ahí hacíamos la torta.
[0:34:31.00]-[0:34:33.00]  Hacíamos en el horno.
[0:34:33.00]-[0:34:34.00]  ¿También hacían pan?
[0:34:34.00]-[0:34:35.00]  Y pan, sí, claro.
[0:34:36.00]-[0:34:41.00]  La hacíamos a masa los praderos, tulio y uva y sus cosas.
[0:34:42.00]-[0:34:45.00]  Pues todas las cosas, coño, no hay todo más.
[0:34:47.00]-[0:34:48.00]  La vida que era entonces así.
[0:34:48.00]-[0:34:52.00]  Cuéntanos un poquito sobre su boda, el día de su boda.
[0:34:53.00]-[0:34:56.00]  Lo que tuve que contar de mi boda, de ir a la iglesia ahí, hablar con el cura,
[0:34:56.00]-[0:34:58.00]  de decirle al cura cuántos pecados tenía.
[0:35:02.00]-[0:35:04.00]  Que si tenía muchos pecados.
[0:35:05.00]-[0:35:08.00]  Y yo dije, ¿no tengo pecados?
[0:35:08.00]-[0:35:14.00]  Pero no sé, me gustaría saber si alguno habré comprometido.
[0:35:14.00]-[0:35:20.00]  Ahora le voy a decir a ti, si son estos mis novios, no, estos vete al coño.
[0:35:24.00]-[0:35:27.00]  Eso es como cuando mi hija fue a hacer la comunión, la que me subió,
[0:35:27.00]-[0:35:30.00]  la que me se ha muerto, como cada 14 años me subió yo.
[0:35:31.00]-[0:35:32.00]  Y, ¿sabes qué?
[0:35:33.00]-[0:35:36.00]  Vino la maestra que estaba muy cerquita y la maestra me dijo,
[0:35:36.00]-[0:35:40.00]  no, no, tienes que ir, tienes que ir a con Murga hoy.
[0:35:40.00]-[0:35:42.00]  Anda usted, ¿tú no voy?
[0:35:42.00]-[0:35:43.00]  Que sí, que sí.
[0:35:44.00]-[0:35:45.00]  Digo, ya, cuándo, anda.
[0:35:45.00]-[0:35:50.00]  Me estaba comiendo una ensalada, así que con Murga, harta de ensalada,
[0:35:50.00]-[0:35:51.00]  le estuve a picar.
[0:35:52.00]-[0:35:55.00]  Y digo, usted ve ahí, y me fui a la iglesia.
[0:35:56.00]-[0:35:58.00]  Cuando entró en la iglesia, estaba el cura esperándome.
[0:35:59.00]-[0:36:03.00]  Ya se lo habría dicho la maestra, y dice, ¿usted es la madre de Mari?
[0:36:03.00]-[0:36:04.00]  Sí, sí, de María.
[0:36:05.00]-[0:36:08.00]  Pues mírate, aquí está.
[0:36:08.00]-[0:36:11.00]  Pues mírate, para con Murga, que no...
[0:36:12.00]-[0:36:14.00]  Digo, mírate, no, no, no, confesar.
[0:36:15.00]-[0:36:17.00]  Digo, ya, puso usted.
[0:36:17.00]-[0:36:21.00]  Y me puse, me puse, cuando dice, mírate, ¿cuántos hijos tiene usted?
[0:36:22.00]-[0:36:23.00]  Digo, ahí mírate, pues tengo tres.
[0:36:25.00]-[0:36:26.00]  Tengo tres.
[0:36:26.00]-[0:36:27.00]  Dice, ¿por qué, por qué?
[0:36:27.00]-[0:36:28.00]  Y por qué no han venido más.
[0:36:29.00]-[0:36:30.00]  ¿Porque usted no ha querido?
[0:36:30.00]-[0:36:32.00]  ¿O porque no lo ha hecho usted bien?
[0:36:32.00]-[0:36:34.00]  ¿Porque no han venido o usted no lo ha hecho bien?
[0:36:34.00]-[0:36:36.00]  A mí me dio vergüenza de no escapar con Tatares.
[0:36:36.00]-[0:36:37.00]  Me casé.
[0:36:37.00]-[0:36:41.00]  Pero digo, padre cura, repíteme usted otra vez, porque no...
[0:36:42.00]-[0:36:43.00]  No lo ha oído.
[0:36:44.00]-[0:36:48.00]  Y me lo vuelvo a decir y digo, ah, mire usted, de todo ha visto en la viña.
[0:36:49.00]-[0:36:50.00]  Una vez es viña, otra vez es más.
[0:36:51.00]-[0:36:53.00]  Y dice, pues ya está, ya está, levantate usted, va a ser un...
[0:36:55.00]-[0:36:57.00]  Así que eso es la vida, ¿sí?
[0:36:57.00]-[0:36:59.00]  Cuatro catedros por estos mundos hundiendo y ya está.
[0:37:00.00]-[0:37:02.00]  Y los curas, pues, que ya me ponen...
[0:37:03.00]-[0:37:04.00]  Como yo le diga, la gana.
[0:37:04.00]-[0:37:08.00]  Y recuerda un poquito sobre los años de escuela, cuando iba...
[0:37:09.00]-[0:37:11.00]  Al colegio iba y estaba enfrente.
[0:37:12.00]-[0:37:15.00]  Y iba al de los santos.
[0:37:17.00]-[0:37:22.00]  No completaba ya, me iba a la Semana Santa, por ahí ya me iba al campo.
[0:37:23.00]-[0:37:24.00]  Y me llevaba mi madre.
[0:37:25.00]-[0:37:27.00]  Pero después, antes estaba ahí.
[0:37:27.00]-[0:37:30.00]  Y iba a la escuela y antes de ir a la escuela tenía que dejar a mi madre.
[0:37:30.00]-[0:37:32.00]  Era Guataíba, del Pilar.
[0:37:32.00]-[0:37:33.00]  Era Guataíba.
[0:37:34.00]-[0:37:35.00]  Y todo fregado.
[0:37:36.00]-[0:37:37.00]  Para irse al colegio.
[0:37:37.00]-[0:37:39.00]  Para irme al colegio, que entrábamos a las nueve.
[0:37:39.00]-[0:37:41.00]  Y cuando llegaba al colegio, algunas veces me pasaba...
[0:37:41.00]-[0:37:43.00]  Y había una mina después.
[0:37:43.00]-[0:37:47.00]  Y me cogía la maestra y me reñía y me cogía en club.
[0:37:47.00]-[0:37:52.00]  En club, en el salón de afuera, que era un salón donde anotaban los mapas.
[0:37:52.00]-[0:37:53.00]  En club así.
[0:37:54.00]-[0:37:57.00]  Y cuando se iba, los agachaba y me sentaba en el suelo.
[0:37:57.00]-[0:38:01.00]  Yo sentía que tenía tacones, sentía, me volvía a levantarme y ponía otra vez.
[0:38:02.00]-[0:38:03.00]  Y así era el colegio.
[0:38:03.00]-[0:38:06.00]  Y aprendimos poquito, pero vamos, algo aprendí.
[0:38:07.00]-[0:38:08.00]  ¿Era un colegio de monjas?
[0:38:09.00]-[0:38:11.00]  No, un colegio como los colegios que hay hoy.
[0:38:12.00]-[0:38:16.00]  Además que entonces los maestros, estarían casi como estábamos nosotros.
[0:38:18.00]-[0:38:22.00]  ¿Y era un colegio de chicos y chicas o eran solo chicas?
[0:38:23.00]-[0:38:25.00]  No, no eran solo chicas.
[0:38:25.00]-[0:38:27.00]  ¿Era un colegio de chicas o eran solo chicas?
[0:38:28.00]-[0:38:31.00]  No, éramos todas grandes y antes las más chicas.
[0:38:32.00]-[0:38:38.00]  Un colegio de hasta los 8 años por ahí, nos mató.
[0:38:39.00]-[0:38:40.00]  ¿Había hombres también?
[0:38:41.00]-[0:38:42.00]  Sí.
[0:38:43.00]-[0:38:44.00]  Aquí estaban los hombres, esta parte.
[0:38:45.00]-[0:38:48.00]  Había dos colegios, se combinaban uno con el otro.
[0:38:49.00]-[0:38:51.00]  Uno los hombres y la niña aquí en la calle.
[0:38:51.00]-[0:38:54.00]  Pero vamos que así era la cosa.
[0:38:55.00]-[0:39:00.00]  ¿Qué había otro que estaba más ahora que si aquí el colegio, que si aquí los niños chicos?
[0:39:01.00]-[0:39:02.00]  No, no, no.
[0:39:03.00]-[0:39:08.00]  ¿Y usted ha notado mucha diferencia entre la vida anterior y ahora cómo están las cosas?
[0:39:09.00]-[0:39:12.00]  Bueno, ahora mismo, es que no me acuerdo de lo que pasó.
[0:39:13.00]-[0:39:14.00]  Pero que varía un harta.
[0:39:14.00]-[0:39:27.00]  Porque hoy varía todo, en comida, en vestir, estar en tu casa y en casa de alba o de este lado o de otro.
[0:39:28.00]-[0:39:29.00]  Bueno, entonces nos iba nada de todo.
[0:39:30.00]-[0:39:33.00]  Iban cada vez dina, si tu madre te dejaba.
[0:39:34.00]-[0:39:36.00]  Si no, ni en cada vez dina que estaba en frente.
[0:39:37.00]-[0:39:38.00]  Porque era así la vida.
[0:39:38.00]-[0:39:43.00]  Porque éramos todos muy... y las madres no, ¿para qué no?
[0:39:44.00]-[0:39:47.00]  Porque luego era otra cosa, que a lo mejor iban todos en casa de estar en frente mismas.
[0:39:48.00]-[0:39:50.00]  Y tu madre, ¿qué está haciendo? ¿Qué es esto? ¿Qué es lo otro?
[0:39:51.00]-[0:39:52.00]  ¿Y qué habéis comido?
[0:39:53.00]-[0:39:55.00]  Y eso las madres no querían que se dijeran.
[0:39:56.00]-[0:39:57.00]  Tanto hablar y tanto enterar el mundo.
[0:39:58.00]-[0:40:01.00]  Y hoy no. Hoy nadie tiene que estar para acelerar, habla todo el mundo como quiere.
[0:40:02.00]-[0:40:04.00]  Y lo que hace y lo que no hace.
[0:40:05.00]-[0:40:06.00]  Entonces iba a decir que nadie lo cabía.
[0:40:06.00]-[0:40:07.00]  Nada.
[0:40:08.00]-[0:40:09.00]  Que era así la vida.
[0:40:10.00]-[0:40:11.00]  ¿Ha dicho que tiene tres hijos, no?
[0:40:12.00]-[0:40:13.00]  Yo tengo... no.
[0:40:14.00]-[0:40:16.00]  Nada más tengo dos. Se murió la madre que la tengo ahí.
[0:40:17.00]-[0:40:23.00]  Dos tengo este que está aquí y la otra que es mayor que cinco años de este pan.
[0:40:24.00]-[0:40:26.00]  ¿Viven todos aquí en la misma casa?
[0:40:27.00]-[0:40:28.00]  Ahí viven.
[0:40:29.00]-[0:40:30.00]  Y mis nietos, todos.
[0:40:31.00]-[0:40:32.00]  Estamos todos juntos.
[0:40:32.00]-[0:40:37.00]  No... y no es decir que estamos... son dos hijos nada más.
[0:40:38.00]-[0:40:42.00]  Los nietos de uno están en una casa y los nietos de la otra que nada más tienen esa grande,
[0:40:43.00]-[0:40:44.00]  pues la de otro lado.
[0:40:45.00]-[0:40:47.00]  Entonces me voy para allá para acostarme en camija.
[0:40:48.00]-[0:40:49.00]  Me paso antes en camijo.
[0:40:50.00]-[0:40:51.00]  Están allí, están comiendo esto y lo otro.
[0:40:52.00]-[0:40:53.00]  Las chiquitas no han salido, no han salido.
[0:40:54.00]-[0:40:59.00]  Las mismas me voy en camijo de mía y allí me siento y allí veo la tele o lo que haya.
[0:40:59.00]-[0:41:02.00]  Eso es lo más cuesto. Según ver el negocio, hacía algo.
[0:41:03.00]-[0:41:04.00]  Que veo la cosa muy claro, muy bien.
[0:41:05.00]-[0:41:06.00]  Estoy allí sentada conmigo, no se mete nadie.
[0:41:07.00]-[0:41:10.00]  Ni reno, ni nuegras, ni leches.
[0:41:11.00]-[0:41:12.00]  Para mí son todas gana.
[0:41:13.00]-[0:41:15.00]  Porque yo no me he puesto más con ninguna.
[0:41:16.00]-[0:41:17.00]  ¡Pucha!
[0:41:18.00]-[0:41:19.00]  Estas cuñas.
[0:41:21.00]-[0:41:22.00]  Ven para acá.
[0:41:23.00]-[0:41:24.00]  Un mentirón.
[0:41:25.00]-[0:41:26.00]  Coño, que traté de preguntar a la cosa.
[0:41:26.00]-[0:41:29.00]  Te voy a leer a voces y se van a entrar la gente antes que tú.
[0:41:30.00]-[0:41:32.00]  Por aquí, por los corrales, esto se entra toda la gente.
[0:41:33.00]-[0:41:34.00]  Ven para acá, ven.
[0:41:35.00]-[0:41:36.00]  Hola, ¿qué pasa?
