[0:00:00.00]-[0:00:02.00]  ¿Podemos estar con ustedes?
[0:22:04.00]-[0:22:05.00]  Pues muchísimo.
[0:22:05.00]-[0:22:07.00]  ¿Y se hacía algo con los pinos?
[0:22:07.00]-[0:22:12.00]  Hombre, pues si vivía, estos no vivían con eso de los pinos.
[0:22:12.00]-[0:22:16.00]  Ahora ya no porque no vale nada la madera.
[0:22:16.00]-[0:22:22.00]  No, pero antes ¿se vendía la madera de los pinos o sólo se vendía la madera?
[0:22:22.00]-[0:22:24.00]  ¿No se utilizaba la resina?
[0:22:24.00]-[0:22:25.00]  Esto no vale.
[0:22:25.00]-[0:22:26.00]  ¿No?
[0:22:26.00]-[0:22:30.00]  No, no, no. Mira, ahí sabes, ¿dónde está Gea? El bardín, Gea.
[0:22:30.00]-[0:22:31.00]  ¿Y más detrás?
[0:22:31.00]-[0:22:32.00]  Gea del bardín.
[0:22:32.00]-[0:22:33.00]  ¿Habéis venido por el bardín?
[0:22:33.00]-[0:22:34.00]  Sí.
[0:22:34.00]-[0:22:39.00]  ¿Habéis venido al bardín?
[0:22:39.00]-[0:22:40.00]  Sí, sí.
[0:22:40.00]-[0:22:41.00]  Pues se pasaba por Gea.
[0:22:41.00]-[0:22:42.00]  Sí.
[0:22:42.00]-[0:22:46.00]  Pues esos montes que se ven en el bín al Gea, esos sí, esos son de eso.
[0:22:46.00]-[0:22:47.00]  Sí.
[0:22:47.00]-[0:22:48.00]  Pero ahora ya no.
[0:22:48.00]-[0:22:49.00]  Pues ahí habéis visto muchos pinos.
[0:22:49.00]-[0:22:53.00]  Ahora ya no lo hacen tampoco porque yo creo que tampoco.
[0:22:53.00]-[0:22:57.00]  Pero aquí sólo se cultivaba centeno y…
[0:22:57.00]-[0:22:58.00]  Sí, cebada y avena.
[0:22:58.00]-[0:22:59.00]  Y avena, trigo.
[0:22:59.00]-[0:23:00.00]  Trigo.
[0:23:00.00]-[0:23:01.00]  ¿En qué época?
[0:23:01.00]-[0:23:04.00]  En toda, en toda época, en toda.
[0:23:04.00]-[0:23:05.00]  ¿Ahora están sembrados?
[0:23:05.00]-[0:23:06.00]  Y ahora mismo.
[0:23:06.00]-[0:23:09.00]  ¿Ahora están sembrados o se recoge en agosto?
[0:23:09.00]-[0:23:18.00]  Lo que pasa es que antes no había nada más que dos o tres, o bueno, yo llegué a conocer
[0:23:18.00]-[0:23:20.00]  52 variedades de trigo.
[0:23:20.00]-[0:23:23.00]  Pero aquí no.
[0:23:23.00]-[0:23:24.00]  ¿Aquí sembradas también?
[0:23:24.00]-[0:23:27.00]  Sí que se, había que había 52 variedades.
[0:23:27.00]-[0:23:28.00]  Ah, pero bueno, aquí no.
[0:23:28.00]-[0:23:38.00]  Pero mira, desde entonces de que yo sabía que había 52, hasta ahora la presente, ya
[0:23:38.00]-[0:23:45.80]  sé que hay 100 justas, 100 justas más, desde que lo seo que hay 100 justas y ahora aumentaba
[0:23:45.80]-[0:23:46.80]  algo más.
[0:23:46.80]-[0:23:55.70]  O sea, que eso de las variedades, pues aquí se ha conocido mucho en que el rendimiento,
[0:23:55.70]-[0:23:59.40]  el rendimiento de las variedades.
[0:23:59.40]-[0:24:07.60]  Porque hay a lo mejor una variedad que te da, por ejemplo, pues 2000 kilos la Italia
[0:24:07.60]-[0:24:11.60]  y el otro te da 4000 gratis y ahí.
[0:24:11.60]-[0:24:18.00]  A lo mejor es un poco peor, te lo pagan un poco menos, pero recompensa porque de ahí
[0:24:18.00]-[0:24:19.00]  dolen kilos.
[0:24:19.00]-[0:24:25.00]  Y antes, cuando la gente se iba al campo, ¿qué hacían con los niños?
[0:24:25.00]-[0:24:26.00]  ¿Dónde los dejaban?
[0:24:26.00]-[0:24:27.00]  ¿O se iban también al campo?
[0:24:27.00]-[0:24:28.00]  Uy, eso hay mucho que…
[0:24:28.00]-[0:24:29.00]  No, hombre, pero…
[0:24:29.00]-[0:24:30.00]  ¿Y si quedaría la madre con ellos?
[0:24:30.00]-[0:24:31.00]  ¿O qué?
[0:24:31.00]-[0:24:32.00]  Sí.
[0:24:32.00]-[0:24:33.00]  ¿La madre no ayudaba en el campo?
[0:24:33.00]-[0:24:34.00]  También ayudaba.
[0:24:34.00]-[0:24:35.00]  Sí.
[0:24:35.00]-[0:24:36.00]  ¿Y los chicos?
[0:24:36.00]-[0:24:37.00]  Sí.
[0:24:37.00]-[0:24:38.00]  ¿Y los chicos?
[0:24:38.00]-[0:24:39.00]  Sí.
[0:24:39.00]-[0:24:40.00]  ¿Y los chicos?
[0:24:40.00]-[0:24:41.00]  Sí.
[0:24:41.00]-[0:24:42.00]  ¿Y los niños?
[0:24:42.00]-[0:24:43.00]  Y los niños con la abuela.
[0:24:43.00]-[0:24:44.00]  Con la abuela.
[0:24:44.00]-[0:24:45.00]  ¿No hablas de eso en la capital?
[0:24:45.00]-[0:24:46.00]  ¿No hablas de eso en la capital?
[0:24:46.00]-[0:24:47.00]  ¿Los niños lo rechazan a la abuela?
[0:24:47.00]-[0:24:48.00]  Sí.
[0:24:48.00]-[0:24:49.00]  Sí.
[0:24:49.00]-[0:24:50.00]  Pero no para ir al campo.
[0:24:50.00]-[0:24:55.00]  Y, por ejemplo, si pasaba algo en el campo, ¿cómo se avisaba?
[0:24:55.00]-[0:24:56.00]  Uy, eso…
[0:24:56.00]-[0:24:57.00]  ¿Cómo avisaban a los demás?
[0:24:57.00]-[0:24:58.00]  Eso hicieron una pena.
[0:24:58.00]-[0:24:59.00]  ¿Sí?
[0:24:59.00]-[0:25:00.00]  ¿Cómo se hacía?
[0:25:00.00]-[0:25:01.00]  ¿Qué hacía usted?
[0:25:01.00]-[0:25:07.00]  ¿Nunca le ha pasado a usted nada que le haya tenido que avisar o que le hayan avisado?
[0:25:07.00]-[0:25:13.00]  Pues venir con una caballería, buscar el médico y bajarlo.
[0:25:13.00]-[0:25:15.00]  Aquí, pero aquí siempre ha habido médicos.
[0:25:15.00]-[0:25:17.00]  En este pueblo siempre ha habido médicos.
[0:25:17.00]-[0:25:19.00]  ¿Y en el seminario también?
[0:25:19.00]-[0:25:22.00]  Siempre ha habido médicos y en el seminario y en todo.
[0:25:22.00]-[0:25:24.00]  Y cuando te haces falta, pues a la terapia.
[0:25:24.00]-[0:25:25.00]  Con la población.
[0:25:25.00]-[0:25:32.00]  ¿Y cuando se avisaban se utilizaba, yo que sé, a lo mejor una campana o alguna señal
[0:25:32.00]-[0:25:33.00]  o algo?
[0:25:33.00]-[0:25:34.00]  No, no.
[0:25:34.00]-[0:25:37.00]  No, no me pongas la mano.
[0:25:37.00]-[0:25:38.00]  No, no.
[0:25:38.00]-[0:25:41.00]  Dejame estar.
[0:25:41.00]-[0:25:45.00]  Entonces las mujeres ayudaban a cosechar.
[0:25:45.00]-[0:25:47.00]  También las ayudaban.
[0:25:47.00]-[0:25:50.00]  Aquí el cigar se cegaba a mano.
[0:25:50.00]-[0:25:57.00]  Luego ya yo y nosotros, porque éramos ya de los ricos, vivíamos en la masada.
[0:25:57.00]-[0:25:59.00]  Entonces, ahora de los más pobres.
[0:25:59.00]-[0:26:02.00]  Éramos más ricos que los que había aquí en el pueblo.
[0:26:02.00]-[0:26:09.00]  Sí, pues entonces ya a los nueve años ya iba con máquina.
[0:26:09.00]-[0:26:11.00]  Con una máquina de cegar.
[0:26:11.00]-[0:26:13.00]  Cegadora, gavilladora.
[0:26:13.00]-[0:26:16.00]  Cegaba y hacía gavillas.
[0:26:16.00]-[0:26:18.00]  ¿Y qué es una gavilla?
[0:26:18.00]-[0:26:21.00]  Tanto estudiantes y no saben nada.
[0:26:21.00]-[0:26:24.00]  Pues para eso estamos preguntando.
[0:26:24.00]-[0:26:28.00]  Pues mira, si quieres voy y te lo enseño lo que es una gavilladora.
[0:26:28.00]-[0:26:29.00]  No, no, no.
[0:26:29.00]-[0:26:30.00]  Explíquenlo.
[0:26:30.00]-[0:26:32.00]  Oye, un montón de hijos.
[0:26:32.00]-[0:26:37.00]  Una gavilladora y una cegadora atadora también.
[0:26:37.00]-[0:26:42.00]  Tengo en la masada una cegadora, gavilladora y una cegadora atadora.
[0:26:42.00]-[0:26:43.00]  Que ceda y ata.
[0:26:43.00]-[0:26:45.00]  Sí, pero ¿qué ata?
[0:26:45.00]-[0:26:46.00]  La mies que cega.
[0:26:46.00]-[0:26:47.00]  La mies.
[0:26:47.00]-[0:26:48.00]  Sí.
[0:26:48.00]-[0:26:49.00]  Sí, la mies que cega.
[0:26:49.00]-[0:26:52.00]  Y a eso se le llama gavilla.
[0:26:52.00]-[0:26:57.00]  Sí, lo que tiran suelto, que está sin atar, se llama gavilla.
[0:26:57.00]-[0:26:59.00]  Y lo otro es un ar.
[0:26:59.00]-[0:27:03.00]  Y antes aquí venía gente de fuera para ayudar en la cosecha.
[0:27:03.00]-[0:27:06.00]  Sí, venían peones.
[0:27:06.00]-[0:27:07.00]  Venían así que la mano.
[0:27:07.00]-[0:27:09.00]  ¿Y se les llamaba así, peones?
[0:27:09.00]-[0:27:10.00]  Peones, sí.
[0:27:10.00]-[0:27:11.00]  Peones se llamaba.
[0:27:11.00]-[0:27:12.00]  Y cobraban.
[0:27:12.00]-[0:27:13.00]  Venían, eh.
[0:27:13.00]-[0:27:14.00]  Y cobraban.
[0:27:14.00]-[0:27:18.00]  Hombre, que cobraban, ¿lástima?
[0:27:18.00]-[0:27:21.00]  Venían de Ademud.
[0:27:21.00]-[0:27:23.00]  ¿Sabes dónde está Ademud?
[0:27:23.00]-[0:27:24.00]  No.
[0:27:24.00]-[0:27:25.00]  No.
[0:27:25.00]-[0:27:26.00]  Me suena a mí.
[0:27:26.00]-[0:27:28.00]  ¿No habéis oído el perro de Mekón de Ademud?
[0:27:28.00]-[0:27:31.00]  Es muy desnombrable.
[0:27:31.00]-[0:27:34.00]  Y ¿sabéis dónde está bien?
[0:27:34.00]-[0:27:35.00]  De Yecla, Valencia.
[0:27:35.00]-[0:27:36.00]  De Yecla.
[0:27:36.00]-[0:27:38.00]  Es un lugar que ha ido.
[0:27:38.00]-[0:27:41.00]  Por ahí venían, aquí a cegar.
[0:27:41.00]-[0:27:49.00]  Pero de Ademud, eso está ahí en el límite de Valencia y Teruel.
[0:27:49.00]-[0:27:56.00]  Hay un corro ahí que no sé qué hace que se meten el uno en el otro y el otro en el
[0:27:56.00]-[0:27:58.00]  otro.
[0:27:58.00]-[0:28:00.00]  Entre Teruel y Valencia.
[0:28:00.00]-[0:28:02.00]  Eso es el rincón de Ademud.
[0:28:02.00]-[0:28:07.00]  Que ahí se quería muy buena fruta de manzanas y uvas y todo eso muy bueno.
[0:28:07.00]-[0:28:09.00]  ¿Y quién les pagaba?
[0:28:09.00]-[0:28:10.00]  ¿Qué?
[0:28:10.00]-[0:28:11.00]  ¿Qué quién les pagaba?
[0:28:11.00]-[0:28:16.00]  Buscaban dos o tres días.
[0:28:16.00]-[0:28:20.00]  Pues y cegaban los peones que necesitaban.
[0:28:20.00]-[0:28:22.00]  Yo necesitaba dos peones.
[0:28:22.00]-[0:28:23.00]  El otro necesitaba cuatro.
[0:28:23.00]-[0:28:25.00]  El otro necesitaba dos.
[0:28:25.00]-[0:28:32.00]  Y así pues a lo mejor venía una cuadrilla de ocho o diez y se distribuían para los
[0:28:32.00]-[0:28:33.00]  tres.
[0:28:33.00]-[0:28:38.00]  O los foliaba todo uno según la hacienda que tenía.
[0:28:38.00]-[0:28:46.00]  Y yo ya te digo, en mi casa también se daban con peones y cuando yo tuve nueve años ya
[0:28:46.00]-[0:28:49.00]  se compró la máquina y luego ya se compró atadora.
[0:28:49.00]-[0:28:51.00]  Se daba atadora.
[0:28:51.00]-[0:28:54.00]  Se daba y ataba.
[0:28:54.00]-[0:28:57.00]  Y luego eso a recoger a re.
[0:28:57.00]-[0:29:03.00]  Eso era una ventaja de también.
[0:29:03.00]-[0:29:07.00]  Y luego después a carrear.
[0:29:07.00]-[0:29:08.00]  ¿El qué?
[0:29:08.00]-[0:29:14.00]  A carrear, era carrear, era por las mies con el carro.
[0:29:14.00]-[0:29:22.00]  Y cargabas el carro de mies y luego llegabas al aire y hacinabas un cuadro así.
[0:29:22.00]-[0:29:25.00]  Y hacinarlo para que no se mojara lo que tuviera.
[0:29:25.00]-[0:29:27.00]  ¿El qué se hacía con él?
[0:29:27.00]-[0:29:28.00]  Hacinar.
[0:29:28.00]-[0:29:29.00]  ¿A por tornarlo?
[0:29:29.00]-[0:29:30.00]  Sí, sí.
[0:29:30.00]-[0:29:36.00]  Dice, toda mi vida asegando y aún no he podido hacinar.
[0:29:36.00]-[0:29:45.00]  Ni tampoco ir al bolino ni me se me va a amasar.
[0:29:45.00]-[0:29:49.00]  ¿Y la gente que venía de fuera solo venían hombres o también venían mujeres?
[0:29:49.00]-[0:29:53.00]  No, no mujeres.
[0:29:53.00]-[0:29:54.00]  ¿Mujeres no?
[0:29:54.00]-[0:29:55.00]  No.
[0:29:55.00]-[0:29:56.00]  ¿Ninguna?
[0:29:56.00]-[0:30:01.00]  Entonces las mujeres no teníais el valor que tenís ahora.
[0:30:01.00]-[0:30:07.00]  Ahora tenís ya el valor como los hombres y algunas y a lo mejor por encima.
[0:30:07.00]-[0:30:11.00]  Pero entonces no llegabas, no llegabas a eso.
[0:30:11.00]-[0:30:19.00]  A eso no había nadie de médicas ni nada que tuviera como ahora.
[0:30:19.00]-[0:30:22.00]  Vamos de todo, que te quiera, que te quiera, que te quiera.
[0:30:22.00]-[0:30:23.00]  Y aquí se ha...
[0:30:23.00]-[0:30:26.00]  Y también vosotras habéis algo de eso, de algo de eso.
[0:30:26.00]-[0:30:28.00]  Estamos en ello estudiéndolo.
[0:30:28.00]-[0:30:31.00]  Estamos en ello.
[0:30:31.00]-[0:30:34.00]  ¿Y aquí no se ha cultivado miel?
[0:30:34.00]-[0:30:37.00]  Sí, sí, sí, sí.
[0:30:37.00]-[0:30:45.00]  ¿Y por qué no se ha cultivado miel?
[0:30:45.00]-[0:30:51.00]  Lo que le llaman la jara, que antes era particular y hoy es del pueblo porque la ha comprado,
[0:30:51.00]-[0:30:58.00]  pues ahí ya lo primero que vi yo ahí hacer, o sea, ahí cosecharan miel.
[0:30:58.00]-[0:31:03.00]  Porque está en muy abrigo y bueno, y las entendían.
[0:31:03.00]-[0:31:08.00]  En cualquier país eso no se entiende, las bichas de gas.
[0:31:08.00]-[0:31:11.00]  Y sí, sí, se han hecho.
[0:31:11.00]-[0:31:18.00]  Pero venían, es por ahí ya de Muci, por ahí como te digo, pues las trasladaban con carros, las traían.
[0:31:18.00]-[0:31:19.00]  Y de Valencia.
[0:31:19.00]-[0:31:26.00]  Porque entonces no había, cuando Dívaro Dívaro I llegaba, no había camiones, las traían con carro.
[0:31:26.00]-[0:31:34.00]  Y las ponían, aquí las traían cuando estaba ahora en, pero ya en,
[0:31:34.00]-[0:31:45.00]  era último orde este o en junio, era último orde este y en este mes ya últimos, pues ya aquí hay flores.
[0:31:45.00]-[0:31:49.00]  Y había mucha flor entonces.
[0:31:49.00]-[0:31:56.00]  Porque se sembraba pipirigayo que se decía aquí o esparceta.
[0:31:56.00]-[0:31:58.00]  ¿No lo conocís tampoco?
[0:31:58.00]-[0:31:59.00]  No, no sé.
[0:31:59.00]-[0:32:02.00]  Para ser listo y arte.
[0:32:02.00]-[0:32:03.00]  En Madrid ni nada de eso.
[0:32:03.00]-[0:32:06.00]  En Madrid solo hay coches y edificios sin contaminación.
[0:32:06.00]-[0:32:13.00]  Pues en Madrid no habrá, pero esparceta sí que se estará en Madrid y está en toda España.
[0:32:13.00]-[0:32:16.00]  ¿Y pipirigayo que se decía aquí? ¿Había mucho pipirigayo?
[0:32:16.00]-[0:32:26.00]  Pipirigayo es la esparceta. Aquí le decimos pipirigayo, pero en castellano se llama esparceta.
[0:32:26.00]-[0:32:30.00]  Y si no mirad el trinche un poco a ver.
[0:32:30.00]-[0:32:34.00]  ¿Y aquí las abejas se las llamaba así o tenían algún nombre especial?
[0:32:34.00]-[0:32:35.00]  ¿Abejas?
[0:32:35.00]-[0:32:39.00]  Sí, a las abejas. ¿Abejas se les llamaba?
[0:32:39.00]-[0:32:42.00]  Bueno, apicultura o como quieras decir.
[0:32:42.00]-[0:32:46.00]  A las abejas, si tenían otro nombre.
[0:32:46.00]-[0:32:52.00]  Es que es muy parecido a abeja y oveja.
[0:32:52.00]-[0:32:54.00]  Igual.
[0:32:54.00]-[0:33:03.00]  Pero lo que pasa es que es una cosa pertenece a apicultura y la otra cosa.
[0:33:03.00]-[0:33:07.00]  Bueno, pues ya vamos a cambiarle de tema, ¿vale?
[0:33:07.00]-[0:33:08.00]  Ahora sí.
[0:33:08.00]-[0:33:10.00]  Ahora otro tema y ya dejamos a las abejas.
[0:33:10.00]-[0:33:14.00]  ¿Usted ha ido al colegio?
[0:33:14.00]-[0:33:18.00]  Muy poco. No sé, nomás que...
[0:33:18.00]-[0:33:30.00]  Mal leer, mal sumar, mal restar y mal multiplicar, dividir, ya no sé.
[0:33:30.00]-[0:33:39.00]  Y antes cuando iba al colegio, ¿Iban todos los niños y las niñas juntos o había separación entre niños y niñas?
[0:33:39.00]-[0:33:42.00]  Sí, sí, sí. No había... Estaba cada uno iba a los ríos.
[0:33:42.00]-[0:33:46.00]  No es como ahora que ya hacen el conjunto.
[0:33:46.00]-[0:33:55.00]  Porque las chicas tenían más que aprender que los chicos porque tenían que aprender a coger y a dorar y todas esas cosas.
[0:33:55.00]-[0:33:58.00]  Y los maestros no lo hacían.
[0:33:58.00]-[0:34:02.00]  Y las chicas llevaban maestra y los chicos llevaban maestro.
[0:34:02.00]-[0:34:06.00]  Y ahora va lo mismo una cosa con la palabra. ¿Es verdad?
[0:34:06.00]-[0:34:07.00]  Sí.
[0:34:07.00]-[0:34:09.00]  Pues todo eso.
[0:34:09.00]-[0:34:16.00]  ¿Y qué le gustaría que enseñaran hoy que no enseñan?
[0:34:16.00]-[0:34:23.00]  ¿A usted le gustaría que ya enseñaran algo de antes o en el colegio?
[0:34:23.00]-[0:34:25.00]  Pero ¿qué quieres que...
[0:34:25.00]-[0:34:29.00]  Sí, a ver, hoy en el colegio enseñan unas cosas, ¿no?
[0:34:29.00]-[0:34:32.00]  Y a usted le enseñaron otras, ¿no?
[0:34:32.00]-[0:34:42.00]  Pues si le gustaría que a la gente como nosotros, por ejemplo, más pequeños, le enseñaran algo en especial que antes enseñaba y ahora no.
[0:34:42.00]-[0:34:44.00]  Pues no, yo qué tienes que decir.
[0:34:44.00]-[0:34:46.00]  Todo lo que no sabemos del campo.
[0:34:46.00]-[0:34:47.00]  Por ejemplo, como esto.
[0:34:47.00]-[0:34:49.00]  Debíamos saberlo, ¿verdad?
[0:34:49.00]-[0:34:59.00]  Hombre, yo creo que sí porque lo del campo yo creo que lo habéis tenido que pasar una cosa de las primeras en los estudios.
[0:34:59.00]-[0:35:07.00]  Claro, pero al no vivir en el campo lo podemos aprender, pero no lo conocemos.
[0:35:07.00]-[0:35:16.00]  Claro, es que lo que pasa es que no es la teórica como la práctica.
[0:35:16.00]-[0:35:31.00]  Pero es que con la teórica la práctica va muy pronto, más pronto que si solo llevas la práctica. ¿Es verdad o no?
[0:35:31.00]-[0:35:33.00]  Sí, sí.
[0:35:33.00]-[0:35:36.00]  Entonces, pues no.
[0:35:36.00]-[0:35:46.00]  Aquí la práctica es la rutina que empiezas a ver. A los 9 años ya había ido detrás de un par de muslos. A los 9 años.
[0:35:46.00]-[0:35:47.00]  ¿Qué?
[0:35:47.00]-[0:35:48.00]  A la frontera.
[0:35:48.00]-[0:35:50.00]  Me tenían que llevar mis padres a la cárcel.
[0:35:50.00]-[0:35:54.00]  Oye, pero ¿no sabéis que aquí este pueblo van a hacer muchas cosas? Aguas termales.
[0:35:54.00]-[0:35:55.00]  No, eso no hemos llegado.
[0:35:55.00]-[0:35:56.00]  ¿A ver si no habéis llegado?
[0:35:56.00]-[0:35:57.00]  ¿Cómo que no habéis llegado?
[0:35:57.00]-[0:35:58.00]  Pues es que es lo antiguo ya.
[0:35:58.00]-[0:36:01.00]  No, hombre, si es que eso es lo que nos interesa a nosotros.
[0:36:01.00]-[0:36:03.00]  Si lo que les interesa es lo antiguo.
[0:36:03.00]-[0:36:06.00]  Es lo que nos interesa. Más que lo moderno.
[0:36:06.00]-[0:36:16.00]  Pues eso de la agricultura no hemos terminado, no habíamos terminado. Aquí hemos dicho del afinamiento, del afinar.
[0:36:16.00]-[0:36:36.00]  Después del afinar venía lo siguiente, a tender la parva en la era y a trillar con trillos y mulos, un par de mulos o dos. Echabas un par de mulos, le hago vueltas así y el otro así. Y luego a remover la parva para que se trillea, a remover la mies para que se trillara.
[0:36:36.00]-[0:36:46.00]  Y luego a ablentar al aire, luego a que llevarla con el trimon, luego a cargarte las taras y llevarla subidas allá al último piso. No te creas que no ya...
[0:36:46.00]-[0:36:48.00]  ¿Y qué es la parva?
[0:36:48.00]-[0:36:49.00]  No, es grande.
[0:36:49.00]-[0:36:50.00]  ¿Qué es la parva?
[0:36:50.00]-[0:36:52.00]  ¿La parva qué es?
[0:36:52.00]-[0:36:54.00]  Si estás no sabes nada.
[0:36:54.00]-[0:37:00.00]  ¿Pero yo no sabes lo que es? Dice, mira, la parva tendida y el parparranco. ¿Qué quiere decir eso?
[0:37:00.00]-[0:37:06.00]  No.
[0:37:06.00]-[0:37:08.00]  Pues ya lo aprendéis.
[0:37:08.00]-[0:37:10.00]  Hoy sepultaba que estuviera aquí enredado.
[0:37:10.00]-[0:37:23.00]  Hoy si está mi nieto que está durmiendo, nos ha levantado. Si viene aquí, me vea, me vea aquí, a estos se ríen los tripas.
[0:37:23.00]-[0:37:28.00]  Que tiene 23 años y también está estudiando.
[0:37:28.00]-[0:37:33.00]  Bueno, que no me has dicho que lo que es la parva.
[0:37:33.00]-[0:37:39.00]  Pues la parva se tira, se coge la mies y se tira por todo el aire.
[0:37:39.00]-[0:37:41.00]  ¿El aire sabe lo que es?
[0:37:41.00]-[0:37:43.00]  Tampoco.
[0:37:43.00]-[0:37:47.00]  Pero estás bien en la que aprendes, que no les vamos a cobrar.
[0:37:47.00]-[0:37:49.00]  Y un pajar sabe lo que es.
[0:37:49.00]-[0:37:51.00]  Donde se guarda la paja.
[0:37:51.00]-[0:37:58.00]  Dice, era, era, y ahora ni pajar, ni era.
[0:37:58.00]-[0:38:11.00]  Mira, la era es un sitio mariano que ponen y allí tienden el trigo que han regado y luego van por las caballerías y unos trillos que había ahí daban vueltas hasta que se decía la paja.
[0:38:11.00]-[0:38:23.00]  Luego a recoger la parva echábamos a una caballería una tabla atravesada y ganchaba.
[0:38:23.00]-[0:38:29.00]  Por ejemplo, esta era la tabla y llevaba así un palo.
[0:38:29.00]-[0:38:35.00]  Y se ganchaba aquí la caballería con un tiro y otra ala a recoger la parva.
[0:38:35.00]-[0:38:39.00]  Y la recogía la parva y allá aumentó.
[0:38:39.00]-[0:38:43.00]  Y luego abrentada con el aire.
[0:38:43.00]-[0:38:45.00]  ¿Ablentar?
[0:38:45.00]-[0:38:47.00]  Aventar.
[0:38:47.00]-[0:38:49.00]  No lo sé cómo se dice.
[0:38:49.00]-[0:38:51.00]  ¿Y qué es eso?
[0:38:51.00]-[0:38:55.00]  Se lleva la paja y queda el grano.
[0:38:55.00]-[0:38:58.00]  ¿El qué se lleva la paja?
[0:38:58.00]-[0:38:59.00]  El aire.
[0:38:59.00]-[0:39:01.00]  Ah, el aire, y eso se llama abrentar.
[0:39:01.00]-[0:39:03.00]  Se llama abrentar.
[0:39:03.00]-[0:39:09.00]  Luego ya hicieron máquinas abrentadoras.
[0:39:09.00]-[0:39:18.00]  Se echaba la miel a la máquina y tiraba la paja para adelante y el grano para atrás.
[0:39:18.00]-[0:39:23.00]  Y ya había algo de ventana.
[0:39:23.00]-[0:39:27.00]  Y bueno, y ahora ya otra cosa que quieras que digas.
[0:39:27.00]-[0:39:34.00]  No sé, el tema que nos ha dejado así a medias, el profesor antes tenía mucha autoridad.
[0:39:34.00]-[0:39:37.00]  ¿Le tenía miedo usted al profe?
[0:39:37.00]-[0:39:41.00]  Hombre, eso dependía.
[0:39:41.00]-[0:39:51.00]  Aquí teníamos un maestro que era muy bueno, muy buen señor.
[0:39:51.00]-[0:39:54.00]  Pero a veces se ponía el hijo.
[0:39:54.00]-[0:40:02.00]  Nos metía unos golpes así con una cosa en la cabeza, un chichón.
[0:40:02.00]-[0:40:08.00]  Y a lo mejor no estaba ninguno y estaba la hermana, o sea la hermana de él, o sea la hija.
[0:40:08.00]-[0:40:11.00]  Uy, aquella que venía.
[0:40:11.00]-[0:40:14.00]  Pero nada más aquello era un rato solo.
[0:40:14.00]-[0:40:22.00]  Pero si al maestro le tienes miedo, no es muy mala cosa.
[0:40:22.00]-[0:40:25.00]  Oye, ¿cuándo dijiste que un tío de 80 años lo estaba viviendo?
[0:40:25.00]-[0:40:27.00]  ¿Y usted le tenía miedo?
[0:40:27.00]-[0:40:29.00]  ¿Ochenta y seis años?
[0:40:29.00]-[0:40:33.00]  Los primeros se daba 87.
[0:40:33.00]-[0:40:38.00]  Bueno, nací el año 14, sin saber de cuantas.
[0:40:38.00]-[0:40:41.00]  Está usted fenomenal.
[0:40:41.00]-[0:40:45.00]  Estoy como nunca.
[0:40:45.00]-[0:40:48.00]  ¿Y usted le tenía miedo al profe?
[0:40:48.00]-[0:40:52.00]  Bueno, no, cuando estaba aquel sí.
[0:40:52.00]-[0:40:55.00]  Tenía más respeto que ahora.
[0:40:55.00]-[0:40:59.00]  En Perú, no, no, allí se iba uno mal, le dije usted.
[0:40:59.00]-[0:41:09.00]  Luego, estábamos en la masada, aquí teníamos una abuela.
[0:41:09.00]-[0:41:13.00]  Y estábamos con ella algún invierno que estuvo, yo poco.
[0:41:13.00]-[0:41:21.00]  Y le decía al maestro que con que le entregara la piel era bastante.
[0:41:21.00]-[0:41:23.00]  O sea que...
[0:41:23.00]-[0:41:27.00]  Que ahora no se les pega a los críos ni nada.
[0:41:27.00]-[0:41:30.00]  Entonces había que atender al maestro, ¿no?
[0:41:30.00]-[0:41:32.00]  Porque si no, madre mía.
[0:41:32.00]-[0:41:36.00]  Lo que hacía, sabes lo que hacían algunos, pues se cogían miedo y no venían a la escuela.
[0:41:36.00]-[0:41:40.00]  Ni si van por allá a memoria, ni nos iban a la escuela.
[0:41:40.00]-[0:41:45.00]  Pero si se ha de andar así mal, para aprender mal.
[0:41:45.00]-[0:41:50.00]  Luego yo también he sido yo muy malo para esto.
[0:41:50.00]-[0:41:51.00]  ¿Para los estudios?
[0:41:51.00]-[0:41:52.00]  Sí, he sido muy malo.
[0:41:52.00]-[0:41:53.00]  ¿No le han gustado?
[0:41:53.00]-[0:41:54.00]  No le han gustado nada.
[0:41:54.00]-[0:41:56.00]  ¿Y no ha ido mucho a clase entonces?
[0:41:56.00]-[0:41:57.00]  Muy poco, muy poco.
[0:41:57.00]-[0:42:02.00]  Si te dice que en los nueve años iba a trabajar al campo.
[0:42:02.00]-[0:42:06.00]  Ya, pero ¿le obligaron sus padres o por gusto propio?
[0:42:06.00]-[0:42:08.00]  ¿No iba porque no quería?
[0:42:08.00]-[0:42:12.00]  Me mandarían, pues habría que haberlo.
[0:42:12.00]-[0:42:18.00]  Me mandarían a labrar, pues a labrar.
[0:42:18.00]-[0:42:20.00]  Y bueno, y pasaba.
[0:42:20.00]-[0:42:22.00]  ¿Engracen lo que harían?
[0:42:22.00]-[0:42:23.00]  ¿Qué harían lo que harían?
[0:42:23.00]-[0:42:28.00]  Pues que tenían que haber metido a mi padre a la cárcel lo primero por mandarme a mí a labrar.
[0:42:28.00]-[0:42:29.00]  Madre mía.
[0:42:29.00]-[0:42:34.00]  Con un par de mulos, pues bueno, de los que había por aquí, de los mejores.
