[0:00:00.00]-[0:00:03.00]  No importa, ¿te apetece?
[0:18:20.00]-[0:18:22.00]  que fuera, igual había
[0:18:22.00]-[0:18:24.00]  cuatro para ese lado,
[0:18:24.00]-[0:18:26.00]  y cuatro para el otro lado.
[0:18:26.00]-[0:18:28.00]  Y ahí a dar palos
[0:18:28.00]-[0:18:30.00]  hasta que salía
[0:18:30.00]-[0:18:32.00]  el grano.
[0:18:32.00]-[0:18:34.00]  Y luego pues,
[0:18:34.00]-[0:18:36.00]  a recoger, a echar al aire
[0:18:36.00]-[0:18:38.00]  para que salga la
[0:18:38.00]-[0:18:40.00]  porcia, que quede el grano limpio.
[0:18:40.00]-[0:18:42.00]  ¿Cómo?
[0:18:42.00]-[0:18:44.00]  Echarlo al aire, para que
[0:18:44.00]-[0:18:46.00]  la palaiza la llevara al aire.
[0:18:46.00]-[0:18:48.00]  Y el grano
[0:18:48.00]-[0:18:50.00]  para poner.
[0:18:50.00]-[0:18:52.00]  ¿Y con eso
[0:18:52.00]-[0:18:54.00]  hacían las...
[0:18:54.00]-[0:18:56.00]  El pan.
[0:18:56.00]-[0:18:58.00]  ¿Y cómo se hace?
[0:18:58.00]-[0:19:00.00]  Amasando.
[0:19:00.00]-[0:19:02.00]  Pero, ¿cómo...?
[0:19:02.00]-[0:19:04.00]  Para que se llevara el molín.
[0:19:04.00]-[0:19:06.00]  Y al final,
[0:19:06.00]-[0:19:08.00]  como te decía,
[0:19:08.00]-[0:19:10.00]  se achaban para la semana,
[0:19:10.00]-[0:19:12.00]  el pan,
[0:19:12.00]-[0:19:14.00]  se masa con agua caliente,
[0:19:14.00]-[0:19:16.00]  y con viento, y sal.
[0:19:16.00]-[0:19:18.00]  Y luego se tiene ahí una hora o dos
[0:19:18.00]-[0:19:20.00]  reposando,
[0:19:20.00]-[0:19:22.00]  que llaman, para que
[0:19:22.00]-[0:19:24.00]  se levante.
[0:19:24.00]-[0:19:26.00]  Y luego se
[0:19:26.00]-[0:19:28.00]  prende el horno,
[0:19:28.00]-[0:19:30.00]  que nosotros aquí llamamos forno.
[0:19:30.00]-[0:19:32.00]  Ah, sí.
[0:19:32.00]-[0:19:34.00]  Y cuando estaba para
[0:19:34.00]-[0:19:36.00]  meter el pan, se
[0:19:36.00]-[0:19:38.00]  veía, tenía aquí uno pequeñín.
[0:19:38.00]-[0:19:40.00]  Ah.
[0:19:40.00]-[0:19:42.00]  A ver.
[0:19:42.00]-[0:19:44.00]  El otro que tiene es que es canche de juguete.
[0:19:44.00]-[0:20:00.00]  ¿Y eso va a que se lo hace uno a uno?
[0:20:00.00]-[0:20:02.00]  No, no, no, yo hago perfecto, no se preocupe.
[0:20:02.00]-[0:20:04.00]  ¿Y...
[0:20:04.00]-[0:20:06.00]  o sea que se hacía el pan en casa?
[0:20:06.00]-[0:20:08.00]  Sí.
[0:20:08.00]-[0:20:10.00]  Todo era en casa.
[0:20:10.00]-[0:20:12.00]  Todo era en casa.
[0:20:12.00]-[0:20:14.00]  Y el pan era para
[0:20:14.00]-[0:20:16.00]  la barraña de maíz.
[0:20:16.00]-[0:20:18.00]  ¿Y qué es eso?
[0:20:18.00]-[0:20:20.00]  De maíz.
[0:20:20.00]-[0:20:22.00]  También se cosechaba maíz.
[0:20:22.00]-[0:20:24.00]  Y el pan era para
[0:20:24.00]-[0:20:26.00]  repasar.
[0:20:26.00]-[0:20:28.00]  Ah, sí.
[0:20:28.00]-[0:20:30.00]  Y para el día de la fiesta
[0:20:30.00]-[0:20:32.00]  a casa, porque no había
[0:20:32.00]-[0:20:34.00]  que comer.
[0:20:34.00]-[0:20:36.00]  Había que cosechar mucho,
[0:20:36.00]-[0:20:38.00]  otros cosechaban menos,
[0:20:38.00]-[0:20:40.00]  y había que ir
[0:20:40.00]-[0:20:42.00]  repartiendo el pan.
[0:20:42.00]-[0:20:44.00]  Había veces que no,
[0:20:44.00]-[0:20:46.00]  no se comía todo
[0:20:46.00]-[0:20:48.00]  los días pan.
[0:20:48.00]-[0:20:50.00]  Era boloña.
[0:20:50.00]-[0:20:52.00]  ¿Y qué otras cosas comían?
[0:20:52.00]-[0:20:54.00]  Cocitos de patatas,
[0:20:54.00]-[0:20:56.00]  de aves versas,
[0:20:56.00]-[0:20:58.00]  lentejas,
[0:20:58.00]-[0:21:00.00]  arvazos.
[0:21:00.00]-[0:21:02.00]  ¿Y cómo se cultivaba todo eso?
[0:21:02.00]-[0:21:04.00]  No, no, eso había que comprarlo.
[0:21:04.00]-[0:21:06.00]  Ah, vale.
[0:21:06.00]-[0:21:08.00]  No siendo las habas,
[0:21:08.00]-[0:21:10.00]  las habas cosechaban aquí.
[0:21:10.00]-[0:21:12.00]  Pero los garbanzos y lentejas
[0:21:12.00]-[0:21:14.00]  y eso pues se compraba.
[0:21:14.00]-[0:21:16.00]  También querían mercado
[0:21:16.00]-[0:21:18.00]  y comprar.
[0:21:20.00]-[0:21:22.00]  ¿Y qué platos
[0:21:22.00]-[0:21:24.00]  típicos se
[0:21:24.00]-[0:21:26.00]  tomaban aquí?
[0:21:26.00]-[0:21:28.00]  Bueno, platos lo más típico pues eran
[0:21:28.00]-[0:21:30.00]  el cocido de verjas.
[0:21:30.00]-[0:21:32.00]  Verdura.
[0:21:32.00]-[0:21:34.00]  ¿Pero cómo se hace? ¿Qué tiene?
[0:21:34.00]-[0:21:36.00]  Y pues
[0:21:36.00]-[0:21:38.00]  verjas, patatas,
[0:21:38.00]-[0:21:40.00]  habas y
[0:21:40.00]-[0:21:42.00]  como lo llamamos el cerdo,
[0:21:42.00]-[0:21:44.00]  tocido,
[0:21:44.00]-[0:21:46.00]  morcilla, chorizo.
[0:21:46.00]-[0:21:48.00]  Y cuanto más
[0:21:48.00]-[0:21:50.00]  echadas, mejor bote salía.
[0:21:50.00]-[0:21:52.00]  Sí.
[0:21:54.00]-[0:21:56.00]  ¿Y dulces?
[0:21:56.00]-[0:21:58.00]  Bueno, dulces también.
[0:21:58.00]-[0:22:00.00]  Aquí lo más típico de aquí era
[0:22:00.00]-[0:22:02.00]  el arroz con leche.
[0:22:02.00]-[0:22:04.00]  ¿Ah, sí?
[0:22:04.00]-[0:22:06.00]  Y luego, sé,
[0:22:06.00]-[0:22:08.00]  cuarenta cosas, grisuelo se llama.
[0:22:08.00]-[0:22:10.00]  ¿Y qué es?
[0:22:10.00]-[0:22:12.00]  Es una harina muy, harina de pan,
[0:22:12.00]-[0:22:14.00]  pero muy líquida.
[0:22:14.00]-[0:22:16.00]  Y echar
[0:22:16.00]-[0:22:18.00]  por la sartén con una cucharada
[0:22:18.00]-[0:22:20.00]  y esparcerlo
[0:22:20.00]-[0:22:22.00]  y queda como, queda tan fino
[0:22:22.00]-[0:22:24.00]  como esto. Que está muy rico.
[0:22:24.00]-[0:22:26.00]  Sí.
[0:22:28.00]-[0:22:30.00]  ¿Y lo tomaban en fiestas o...?
[0:22:30.00]-[0:22:32.00]  Bueno,
[0:22:32.00]-[0:22:34.00]  también eso usaba, si amas, para los carnavales.
[0:22:34.00]-[0:22:36.00]  Ah, sí.
[0:22:36.00]-[0:22:38.00]  ¿Celebraban carnaval? ¿Y cómo era? ¿Cómo lo celebraban?
[0:22:38.00]-[0:22:40.00]  Bueno, pues
[0:22:40.00]-[0:22:42.00]  el carnaval también era base, ese día era base
[0:22:42.00]-[0:22:44.00]  de compango, de cerdo,
[0:22:44.00]-[0:22:46.00]  bastante...
[0:22:46.00]-[0:22:48.00]  ese día no faltaba compango
[0:22:48.00]-[0:22:50.00]  para toda la familia.
[0:22:50.00]-[0:22:52.00]  Y con frutíos, claro.
[0:22:52.00]-[0:22:54.00]  Y después grisuelos,
[0:22:54.00]-[0:22:56.00]  otros que llamaban pericos,
[0:22:56.00]-[0:22:58.00]  que se llamaban horninas,
[0:22:58.00]-[0:23:00.00]  así, ¿no?
[0:23:00.00]-[0:23:02.00]  Y bullinas.
[0:23:02.00]-[0:23:04.00]  Que vienen ser
[0:23:04.00]-[0:23:06.00]  casadillas, ¿o se las conocéis?
[0:23:06.00]-[0:23:08.00]  No.
[0:23:08.00]-[0:23:10.00]  Y así.
[0:23:12.00]-[0:23:14.00]  ¿Y qué hacían en el carnaval?
[0:23:14.00]-[0:23:16.00]  ¿Se disfrazaban?
[0:23:16.00]-[0:23:18.00]  Mucha gente, sí.
[0:23:18.00]-[0:23:20.00]  Una temporada, cuando era
[0:23:20.00]-[0:23:22.00]  chavaluco, no, porque
[0:23:22.00]-[0:23:24.00]  estaba por el vipo al franco.
[0:23:24.00]-[0:23:26.00]  Sí.
[0:23:26.00]-[0:23:28.00]  Sí, porque dicen que se había, que se dieran
[0:23:28.00]-[0:23:30.00]  casos de llevarse vecinos
[0:23:30.00]-[0:23:32.00]  mal.
[0:23:32.00]-[0:23:34.00]  Y entonces que el día de carnaval
[0:23:34.00]-[0:23:36.00]  lo aprovechaban
[0:23:36.00]-[0:23:38.00]  y hubo
[0:23:38.00]-[0:23:40.00]  un sitio que había matanzas,
[0:23:40.00]-[0:23:42.00]  de matanzas, y hubo otro.
[0:23:42.00]-[0:23:44.00]  Y iba a se disfrazaban, no sabían
[0:23:44.00]-[0:23:46.00]  quién era.
[0:23:46.00]-[0:23:48.00]  Decían.
[0:23:48.00]-[0:23:50.00]  Pero
[0:23:50.00]-[0:23:52.00]  y después como una temporada muy grande
[0:23:52.00]-[0:23:54.00]  muy grande, muy grande
[0:23:54.00]-[0:23:56.00]  por el vipo.
[0:23:56.00]-[0:23:58.00]  Y ahora no, ya ahí
[0:23:58.00]-[0:24:00.00]  que además murió un franco.
[0:24:00.00]-[0:24:02.00]  Bueno, ya después, ya a última hora, ya
[0:24:02.00]-[0:24:04.00]  se disfrazaba algo.
[0:24:04.00]-[0:24:06.00]  Pero ahora aquí, en el día carnaval en Avilés
[0:24:06.00]-[0:24:08.00]  como en Nueva Canaizos.
[0:24:08.00]-[0:24:10.00]  Es exageradísimo.
[0:24:10.00]-[0:24:12.00]  Sí.
[0:24:14.00]-[0:24:16.00]  ¿Y qué más fiestas había en el pueblo?
[0:24:16.00]-[0:24:18.00]  ¿Qué más fiestas había?
[0:24:18.00]-[0:24:20.00]  Bueno, pues cada pueblo
[0:24:20.00]-[0:24:22.00]  tenía, tenía una.
[0:24:22.00]-[0:24:24.00]  Aquí había dos fiestas.
[0:24:24.00]-[0:24:26.00]  Y ahora Santa Isabel,
[0:24:26.00]-[0:24:28.00]  el 8 de julio, y que la magra viene para aquí
[0:24:28.00]-[0:24:30.00]  nunca lo celebraron.
[0:24:30.00]-[0:24:32.00]  Y San Bartolo,
[0:24:32.00]-[0:24:34.00]  el 24 de agosto.
[0:24:34.00]-[0:24:36.00]  Y ahora hay
[0:24:36.00]-[0:24:38.00]  treinta y
[0:24:38.00]-[0:24:40.00]  cuatro años,
[0:24:40.00]-[0:24:42.00]  o treinta y cinco, o treinta y tres
[0:24:42.00]-[0:24:44.00]  que empezamos a hacer
[0:24:44.00]-[0:24:46.00]  la festival de la fresa.
[0:24:46.00]-[0:24:48.00]  De la fresa de candamo.
[0:24:48.00]-[0:24:50.00]  Que ahora ya perdió mucho,
[0:24:50.00]-[0:24:52.00]  hay muy poca. Y era una fiesta muy
[0:24:52.00]-[0:24:54.00]  bastante importante
[0:24:54.00]-[0:24:56.00]  de muchísima gente.
[0:24:56.00]-[0:24:58.00]  Es gente que
[0:24:58.00]-[0:25:00.00]  le manda la fresa a la fresa.
[0:25:00.00]-[0:25:02.00]  ¿Y qué es lo que se hacen esas fiestas?
[0:25:02.00]-[0:25:04.00]  Que...
[0:25:04.00]-[0:25:06.00]  Pues a la fiesta y a trabajar,
[0:25:06.00]-[0:25:08.00]  a vender fresas.
[0:25:08.00]-[0:25:10.00]  Y poníamos nosotros
[0:25:10.00]-[0:25:12.00]  el chile, el barro,
[0:25:12.00]-[0:25:14.00]  y a vender.
[0:25:14.00]-[0:25:16.00]  Y a trabajar como negocios.
[0:25:16.00]-[0:25:18.00]  Y lo que se sacaba pues era para
[0:25:18.00]-[0:25:20.00]  la comunidad del pueblo,
[0:25:20.00]-[0:25:22.00]  para cerrar los caminos.
[0:25:22.00]-[0:25:24.00]  Y eso.
[0:25:28.00]-[0:25:30.00]  Y bueno, yo quiero hacerle una pregunta.
[0:25:30.00]-[0:25:32.00]  ¿Cómo se conocían antes los hombres y las mujeres?
[0:25:32.00]-[0:25:34.00]  ¿Cómo?
[0:25:34.00]-[0:25:36.00]  ¿Se conocían antes los hombres y las mujeres?
[0:25:36.00]-[0:25:38.00]  Viviendo el baile.
[0:25:38.00]-[0:25:40.00]  Ah, había baile.
[0:25:40.00]-[0:25:42.00]  Bueno, claro.
[0:25:42.00]-[0:25:44.00]  Al charrón que llamaban.
[0:25:44.00]-[0:25:46.00]  En casi todas las aldeas había
[0:25:46.00]-[0:25:48.00]  charrón.
[0:25:48.00]-[0:25:50.00]  Y hacia el baile.
[0:25:50.00]-[0:25:52.00]  ¿Y cuándo era el baile?
[0:25:52.00]-[0:25:54.00]  Los domingos.
[0:25:54.00]-[0:25:56.00]  O sea, todas las semanas.
[0:25:56.00]-[0:25:58.00]  Sí, sí. Bueno,
[0:25:58.00]-[0:26:00.00]  no todas las semanas había baile
[0:26:00.00]-[0:26:02.00]  en todos los salones.
[0:26:02.00]-[0:26:04.00]  Igual no, porque
[0:26:04.00]-[0:26:06.00]  aquí en Gandago había uno,
[0:26:08.00]-[0:26:10.00]  dos,
[0:26:10.00]-[0:26:12.00]  tres,
[0:26:12.00]-[0:26:14.00]  cuatro.
[0:26:14.00]-[0:26:16.00]  Sí, salía cuatro dentro
[0:26:16.00]-[0:26:18.00]  de todos los salones.
[0:26:18.00]-[0:26:20.00]  Y si tienen que
[0:26:20.00]-[0:26:22.00]  sortearse para
[0:26:22.00]-[0:26:24.00]  para tener
[0:26:24.00]-[0:26:26.00]  algo, pues se hacía
[0:26:26.00]-[0:26:28.00]  baile en todos los domingos,
[0:26:28.00]-[0:26:30.00]  en todos los sitios,
[0:26:30.00]-[0:26:32.00]  no hacían nada. No venaban para la orquesta.
[0:26:32.00]-[0:26:34.00]  Que primeramente,
[0:26:34.00]-[0:26:36.00]  eso a mí no me tocó,
[0:26:36.00]-[0:26:38.00]  pero primeramente era
[0:26:38.00]-[0:26:40.00]  una gaita o la cordillón.
[0:26:40.00]-[0:26:42.00]  Y hacía baile, ¿eh?
[0:26:42.00]-[0:26:44.00]  Y después ya,
[0:26:44.00]-[0:26:46.00]  cuando fue expulso a viendo,
[0:26:46.00]-[0:26:48.00]  y había orquesta.
[0:26:48.00]-[0:26:50.00]  Así es, en
[0:26:50.00]-[0:26:52.00]  Mendoza, había un salón
[0:26:52.00]-[0:26:54.00]  muy bueno, muy bueno,
[0:26:54.00]-[0:26:56.00]  grande. Y donde
[0:26:56.00]-[0:26:58.00]  nació, de donde
[0:26:58.00]-[0:27:00.00]  nació allí cerca, también había otro
[0:27:00.00]-[0:27:02.00]  que era mejor, un salón grandísimo.
[0:27:02.00]-[0:27:04.00]  Luego a Timuria sí,
[0:27:04.00]-[0:27:06.00]  aquí abajo había uno, pero
[0:27:06.00]-[0:27:08.00]  más que pequeño. Era según la...
[0:27:10.00]-[0:27:12.00]  Según el chivileo, era rico.
[0:27:12.00]-[0:27:14.00]  Un montón de cosas. El salón
[0:27:14.00]-[0:27:16.00]  era mejor y más grande.
[0:27:16.00]-[0:27:18.00]  Y si el chivileo
[0:27:18.00]-[0:27:20.00]  era propio, pues
[0:27:20.00]-[0:27:22.00]  un salón pequeño.
[0:27:26.00]-[0:27:28.00]  Y ha dicho que ahí se conocían los...
[0:27:28.00]-[0:27:30.00]  ¿Y cómo?
[0:27:30.00]-[0:27:32.00]  O sea, alguien quería
[0:27:32.00]-[0:27:34.00]  hablar con una mujer y ¿qué hacían?
[0:27:34.00]-[0:27:36.00]  Pues preguntar, y a lo mejor
[0:27:36.00]-[0:27:38.00]  iba a buscar a la que bailaba.
[0:27:38.00]-[0:27:40.00]  Levanta las calabazas,
[0:27:40.00]-[0:27:42.00]  era decirte que no.
[0:27:44.00]-[0:27:46.00]  Se bailaba, pues sí.
[0:27:46.00]-[0:27:48.00]  Y empezaba a ser
[0:27:48.00]-[0:27:50.00]  coño.
[0:27:50.00]-[0:27:52.00]  Y se cuajaba, cuajaba, y se
[0:27:52.00]-[0:27:54.00]  no cuajaba, pues nada, a otro lado.
[0:27:54.00]-[0:27:56.00]  ¿Y cómo era?
[0:27:56.00]-[0:27:58.00]  ¿El novialco cómo era?
[0:28:00.00]-[0:28:02.00]  Nada uno a su manera.
[0:28:02.00]-[0:28:04.00]  Pero ¿podían estar solos?
[0:28:04.00]-[0:28:06.00]  ¡Que va!
[0:28:06.00]-[0:28:08.00]  ¿No?
[0:28:08.00]-[0:28:10.00]  ¡Que se acoñe la madre de la cosa!
[0:28:10.00]-[0:28:12.00]  ¡Que no la dejaba la ya!
[0:28:18.00]-[0:28:20.00]  ¿Y se veían...
[0:28:20.00]-[0:28:22.00]  Si se conocían el baile,
[0:28:22.00]-[0:28:24.00]  ¿se veían en el baile solamente?
[0:28:24.00]-[0:28:26.00]  No, después ya se va.
[0:28:26.00]-[0:28:28.00]  Se quedaba de novios.
[0:28:28.00]-[0:28:30.00]  Pues iba ya los domingos
[0:28:30.00]-[0:28:32.00]  jueves a casa.
[0:28:34.00]-[0:28:36.00]  Y los domingos ella no podía salir
[0:28:36.00]-[0:28:38.00]  y todo lo que fuera pues
[0:28:38.00]-[0:28:40.00]  ibas a casa, o aunque salió ibas
[0:28:40.00]-[0:28:42.00]  a casa para ir al baile.
[0:28:42.00]-[0:28:44.00]  Y así.
[0:28:44.00]-[0:28:46.00]  O sea que iban a la casa de la novia.
[0:28:48.00]-[0:28:50.00]  Y allí tampoco estarían solos.
[0:28:50.00]-[0:28:52.00]  ¡Que va!
[0:28:52.00]-[0:28:54.00]  ¡Que va!
[0:28:54.00]-[0:28:56.00]  ¿Y cómo era?
[0:28:58.00]-[0:29:00.00]  ¿Estaban sentados con...?
[0:29:00.00]-[0:29:02.00]  Sentados solos por su casa.
[0:29:02.00]-[0:29:04.00]  Cuando ya ibas,
[0:29:04.00]-[0:29:06.00]  ahora ibas casarte y ya te mandaban
[0:29:06.00]-[0:29:08.00]  pasar pa casa, a la cocina.
[0:29:08.00]-[0:29:10.00]  Y así.
[0:29:12.00]-[0:29:14.00]  ¿Y tenían que hablar con los padres para...?
[0:29:14.00]-[0:29:16.00]  Claro.
[0:29:16.00]-[0:29:18.00]  ¿Y cómo... qué decían?
[0:29:18.00]-[0:29:20.00]  Dirí la mano a la novia, a la hija.
[0:29:20.00]-[0:29:22.00]  Se te decía que sí, bien.
[0:29:22.00]-[0:29:24.00]  Y al cuarto no me seguís, se te decía que no.
[0:29:24.00]-[0:29:26.00]  Y ella y él
[0:29:26.00]-[0:29:28.00]  se gustaban pues.
[0:29:28.00]-[0:29:30.00]  Era igual que dijera el padre que sí, que dijera que no.
[0:29:30.00]-[0:29:34.00]  Se casaba de igual.
[0:29:34.00]-[0:29:36.00]  ¿Y cómo eran las bodas?
[0:29:36.00]-[0:29:38.00]  Bueno, había bodas
[0:29:38.00]-[0:29:40.00]  bastante grandes.
[0:29:40.00]-[0:29:42.00]  Sí.
[0:29:42.00]-[0:29:44.00]  Había bodas bastante grandes, había bodas.
[0:29:46.00]-[0:29:48.00]  Yo me cuento...
[0:29:48.00]-[0:29:50.00]  Era la época mía, ¿no?
[0:29:50.00]-[0:29:52.00]  Pero de atrás me acuerdo
[0:29:52.00]-[0:29:54.00]  de ir a mi padre y contarle a mi madre
[0:29:54.00]-[0:29:56.00]  que me di casarse
[0:29:56.00]-[0:29:58.00]  y venir pa casa
[0:29:58.00]-[0:30:00.00]  y dormir en casa como otro día cualquiera
[0:30:00.00]-[0:30:02.00]  y a trabajar.
[0:30:02.00]-[0:30:04.00]  No había luna de miel, ni había viaje,
[0:30:04.00]-[0:30:06.00]  ni había nada.
[0:30:06.00]-[0:30:08.00]  La novia hacía...
[0:30:08.00]-[0:30:10.00]  y esto empezó a...
[0:30:10.00]-[0:30:12.00]  a brise
[0:30:12.00]-[0:30:14.00]  y había luna de miel, unos más,
[0:30:14.00]-[0:30:16.00]  otros menos.
[0:30:16.00]-[0:30:18.00]  Nosotros somos tres
[0:30:18.00]-[0:30:20.00]  años aubiernos.
[0:30:20.00]-[0:30:22.00]  Sí.
[0:30:22.00]-[0:30:24.00]  Pero está bien.
[0:30:24.00]-[0:30:26.00]  Aquellos, pues hay 45 años, pues ya...
[0:30:26.00]-[0:30:28.00]  ya estaba, ya se trabajaba bien, ya.
[0:30:30.00]-[0:30:32.00]  ¿Y celebraron...
[0:30:32.00]-[0:30:34.00]  dieron la comida o...?
[0:30:34.00]-[0:30:36.00]  Sí, en Amilés, en un restaurante en Amilés
[0:30:36.00]-[0:30:38.00]  éramos
[0:30:38.00]-[0:30:40.00]  ciento y algo.
[0:30:42.00]-[0:30:44.00]  Nos casaron
[0:30:44.00]-[0:30:46.00]  dos hijos y dos hijas
[0:30:46.00]-[0:30:48.00]  y ciento y pico, pero...
[0:30:48.00]-[0:30:50.00]  pico...
[0:30:50.00]-[0:30:52.00]  ciento y pico y doscientos.
[0:30:52.00]-[0:30:54.00]  No, hubo bodas aquí
[0:30:54.00]-[0:30:56.00]  y doscientos y pico.
[0:30:58.00]-[0:31:00.00]  Madre mía, pero...
[0:31:00.00]-[0:31:02.00]  había tanta gente en el pueblo.
[0:31:04.00]-[0:31:06.00]  Vecinos y amigos y...
[0:31:08.00]-[0:31:10.00]  nietos.
[0:31:12.00]-[0:31:14.00]  ¿Y qué le iba a decir? ¿El cura...? ¿Había cura en el pueblo?
[0:31:14.00]-[0:31:16.00]  Sí.
[0:31:16.00]-[0:31:18.00]  Bueno, no todo sí.
[0:31:18.00]-[0:31:20.00]  En las casas de los...
[0:31:20.00]-[0:31:22.00]  aquí en todo
[0:31:22.00]-[0:31:24.00]  el pueblo, que nosotros andamos, había cinco...
[0:31:24.00]-[0:31:26.00]  o hay once parroquias.
[0:31:28.00]-[0:31:30.00]  ¿Y en este pueblo sí que había...?
[0:31:30.00]-[0:31:32.00]  No.
[0:31:32.00]-[0:31:34.00]  Yo era con siete vecinos, y no quería ver cura.
[0:31:34.00]-[0:31:36.00]  ¡Siete!
[0:31:36.00]-[0:31:38.00]  El cura que tenemos, nosotros, era aquí en la parroquia.
[0:31:38.00]-[0:31:40.00]  Aquí, que llama en Ventosa.
[0:31:40.00]-[0:31:42.00]  Y en esta parroquia sí
[0:31:42.00]-[0:31:44.00]  está ahí el cura, que es...
[0:31:44.00]-[0:31:46.00]  el cura éste está jubilado, pero
[0:31:46.00]-[0:31:48.00]  pero por la parroquia estuvieron
[0:31:48.00]-[0:31:50.00]  siete y siete años.
[0:31:50.00]-[0:31:52.00]  Entonces, sí,
[0:31:52.00]-[0:31:54.00]  así tú ya sigues aquí.
[0:31:54.00]-[0:31:56.00]  Pero claro,
[0:31:56.00]-[0:31:58.00]  ahora es que se van muchos los curas.
[0:31:58.00]-[0:32:00.00]  Así.
[0:32:00.00]-[0:32:02.00]  Vi un cura de Oviedo, que era de la parte
[0:32:02.00]-[0:32:04.00]  de Villar, ¿no?
[0:32:04.00]-[0:32:06.00]  Vi un cura de Oviedo que está en
[0:32:06.00]-[0:32:08.00]  un seminario en la pared, no sé dónde.
[0:32:08.00]-[0:32:10.00]  Y el día que andábamos a decir
[0:32:10.00]-[0:32:12.00]  misa, hasta
[0:32:12.00]-[0:32:14.00]  a los iglesias.
[0:32:14.00]-[0:32:16.00]  Y el cura éste, porque
[0:32:16.00]-[0:32:18.00]  bueno, ya va éste, pero
[0:32:18.00]-[0:32:20.00]  el cura que hay...
[0:32:24.00]-[0:32:26.00]  once menos
[0:32:26.00]-[0:32:28.00]  tres menos once...
[0:32:28.00]-[0:32:30.00]  va ocho parroquia.
[0:32:30.00]-[0:32:32.00]  Ocho mil parroquias lleva
[0:32:32.00]-[0:32:34.00]  un cura.
[0:32:34.00]-[0:32:36.00]  Madre mía.
[0:32:36.00]-[0:32:38.00]  Sí, que qué te parece, no hay cura.
[0:32:38.00]-[0:32:40.00]  ¿No hay que estudiar para curas?
[0:32:40.00]-[0:32:42.00]  O sea que antes había muchos más.
[0:32:42.00]-[0:32:44.00]  Antes, acá
[0:32:44.00]-[0:32:46.00]  el parroquia el cura.
[0:32:46.00]-[0:32:48.00]  Ahora va tomar
[0:32:48.00]-[0:32:50.00]  más ropa y cura.
[0:32:50.00]-[0:32:52.00]  Y antes cuando murió
[0:32:52.00]-[0:32:54.00]  una persona, pues ahí
[0:32:54.00]-[0:32:56.00]  entierro de primera y de segunda.
[0:32:56.00]-[0:32:58.00]  ¿Cómo?
[0:32:58.00]-[0:33:00.00]  ¿Entierro de primera y de segunda?
[0:33:00.00]-[0:33:02.00]  De primera
[0:33:02.00]-[0:33:04.00]  de primera te llamabas.
[0:33:04.00]-[0:33:06.00]  Y acordé de
[0:33:06.00]-[0:33:08.00]  ver entierros
[0:33:08.00]-[0:33:10.00]  tres o cuatro curas.
[0:33:10.00]-[0:33:12.00]  ¿En serio?
[0:33:12.00]-[0:33:16.00]  Porque era rico.
[0:33:16.00]-[0:33:18.00]  Y a mí me encantó.
[0:33:18.00]-[0:33:20.00]  El morir no, el morir todo
[0:33:20.00]-[0:33:22.00]  es el rico y el pobre.
[0:33:22.00]-[0:33:24.00]  Y un entierro normal como ahora
[0:33:24.00]-[0:33:26.00]  es un cura.
[0:33:26.00]-[0:33:28.00]  Pero mejor
[0:33:28.00]-[0:33:30.00]  tres o cuatro curas.
[0:33:30.00]-[0:33:32.00]  Entierro mayor.
[0:33:32.00]-[0:33:34.00]  Entonces, ese día que llegaba
[0:33:34.00]-[0:33:36.00]  primero al cielo,
[0:33:36.00]-[0:33:38.00]  se quede.
[0:33:38.00]-[0:33:40.00]  Se quede.
[0:33:40.00]-[0:33:42.00]  ¿Y qué le iba a decir?
[0:33:42.00]-[0:33:44.00]  ¿Se trataba distinto a los curas
[0:33:44.00]-[0:33:46.00]  antes que ahora?
[0:33:46.00]-[0:33:48.00]  Los curas
[0:33:48.00]-[0:33:50.00]  eran también
[0:33:50.00]-[0:33:52.00]  eran duros.
[0:33:52.00]-[0:33:54.00]  Sí.
[0:33:54.00]-[0:33:56.00]  A ver, cuénteme eso.
[0:33:56.00]-[0:33:58.00]  ¿Qué hacían?
[0:33:58.00]-[0:34:00.00]  Si no ibas a mi
[0:34:00.00]-[0:34:02.00]  se aposachaban de la multa.
[0:34:02.00]-[0:34:04.00]  O se te pescaban, vaya,
[0:34:04.00]-[0:34:06.00]  se te pescaban trabajando los domingos.
[0:34:06.00]-[0:34:08.00]  No pudies trabajar.
[0:34:08.00]-[0:34:10.00]  No.
[0:34:10.00]-[0:34:12.00]  ¿No?
[0:34:12.00]-[0:34:14.00]  Como la hora que llegas
[0:34:14.00]-[0:34:16.00]  se te pescaban cagándote Dios.
[0:34:16.00]-[0:34:18.00]  Bueno, lo otro
[0:34:18.00]-[0:34:20.00]  multa que te crió
[0:34:20.00]-[0:34:22.00]  antes, ¿eh?
[0:34:22.00]-[0:34:24.00]  Ahora, ya hay años
[0:34:24.00]-[0:34:26.00]  que nada.
[0:34:26.00]-[0:34:28.00]  Y los curas pues
[0:34:28.00]-[0:34:30.00]  yo la verdad con ese caso
[0:34:30.00]-[0:34:32.00]  es una amistad como si fuera
[0:34:32.00]-[0:34:34.00]  un paisano más.
[0:34:34.00]-[0:34:36.00]  Trátelo bueno,
[0:34:36.00]-[0:34:38.00]  trátelo bueno,
[0:34:38.00]-[0:34:40.00]  tanto solos, trátelo de tú.
[0:34:40.00]-[0:34:42.00]  Y
