[0:00:00.00]-[0:00:02.00]  ¿Ya está?
[0:23:25.00]-[0:23:27.00]  Sí, sí, sí.
[0:23:27.00]-[0:23:33.00]  ¿Y recordaba usted alguna anécdota de pequeña que desobedeciera a sus padres, hiciera alguna travesuría?
[0:23:33.00]-[0:23:46.00]  De pequeña no quedará bastante mayor. Por la fiesta mayor de Funeda, las amigas dicen, vamos a ir a Funeda, que es fiesta mayor.
[0:23:46.00]-[0:23:50.00]  Y yo digo, oh, no me dejarán venir.
[0:23:50.00]-[0:23:59.00]  Bueno, vamos con la bicicleta que tenemos parientes allá, dejaremos la bicicleta allá en el patio de los parientes suyos.
[0:23:59.00]-[0:24:06.00]  Y digo, bueno, pregunto en casa y me dicen, mi padre, ¿no?
[0:24:06.00]-[0:24:10.00]  Va, que va a Fulana, a la sotana, va a la nieva.
[0:24:10.00]-[0:24:13.00]  Bueno, pero tarde no, eh.
[0:24:13.00]-[0:24:18.00]  No, no, no, vendremos pronto, venderemos prontita.
[0:24:18.00]-[0:24:25.00]  Fuimos, damos la vuelta para el pueblo, capa aquí, capa allá, dejamos las bicicletas, aquella casa.
[0:24:25.00]-[0:24:30.00]  Pues resulta que cuando llegamos para venirnos, aquí en la casa no había nadie.
[0:24:30.00]-[0:24:33.00]  Como se sabe, también existen.
[0:24:33.00]-[0:24:42.00]  Sí. Al final, cuando terminaron el baile, aquí la gente vinieron para casa, para ver a tarde.
[0:24:42.00]-[0:24:53.00]  Cuando llegué a casa, el primer ropetón, bajé todas las escaleras, todas.
[0:24:53.00]-[0:24:57.00]  Cuando subí para arriba, todo me... de sangre.
[0:24:57.00]-[0:25:03.00]  En vez de... ay, no, a punto de volver a...
[0:25:03.00]-[0:25:06.00]  ¿Por qué, claro? Yo no había... ¿no lo habéis dicho?
[0:25:06.00]-[0:25:13.00]  Ya me expliqué que no había los señores, que no había nadie, que no pudimos venir, pero nada de nada.
[0:25:13.00]-[0:25:17.00]  No. Esto para otro día.
[0:25:17.00]-[0:25:26.00]  ¿Y usted nota que hay mucha diferencia entre la relación que tenía con sus padres y la que tiene ahora su hijo, sus hijos con usted?
[0:25:26.00]-[0:25:32.00]  Sí, claro, claro, muy diferente, eh. Total, casi.
[0:25:32.00]-[0:25:36.00]  Pero bueno, yo veo la diferencia de ahora más.
[0:25:36.00]-[0:25:39.00]  Mi hijo ya no espanta la diferencia.
[0:25:39.00]-[0:25:41.00]  Antes era mucho y ahora es...
[0:25:41.00]-[0:25:48.00]  Ahora es un abandono. Tanto, tanto. Es demasiado lo que hacen los hijos.
[0:25:48.00]-[0:25:52.00]  Yo creo, a mí me parece...
[0:25:52.00]-[0:25:59.00]  A lo mejor si hubieran tenido pequeñitos de mi hijo, también hubiera sido un poco toberante.
[0:25:59.00]-[0:26:06.00]  Pero esto tampoco lo puedo saber porque no tiene ni novia ni está casado ni tiene hijos.
[0:26:06.00]-[0:26:11.00]  A lo mejor en el momento no puedo decir nada.
[0:26:11.00]-[0:26:19.00]  Pero a lo mejor si los hubiera tenido, también hubiera dejado hacer las cosas a los niños.
[0:26:19.00]-[0:26:22.00]  A lo mejor, digo yo.
[0:26:22.00]-[0:26:27.00]  Pero a mí me parece que hubiera... porque a mi hijo...
[0:26:27.00]-[0:26:29.00]  Lo maestro va, eh.
[0:26:29.00]-[0:26:33.00]  Cuéntennos alguna travesura de su hijo, alguna niñota.
[0:26:33.00]-[0:26:37.00]  Hay una travesura, tantas como quieras, cuando era pequeño.
[0:26:37.00]-[0:26:43.00]  Siempre marcharse, pasar de una calle para otra sin mirar nada.
[0:26:43.00]-[0:26:47.00]  Suerte que entonces no había tantos coches ni nada.
[0:26:47.00]-[0:26:51.00]  Una vecina siempre se lo llevaba de la calle y dice...
[0:26:51.00]-[0:26:55.00]  Un día me sube el niño y dice,
[0:26:55.00]-[0:26:58.00]  ¡Coge el niño que no lo quiero más!
[0:26:58.00]-[0:27:00.00]  Y yo digo, ¿qué te ha hecho?
[0:27:00.00]-[0:27:05.00]  Y él dice, no lo que me ha hecho, no lo que se podía hacer.
[0:27:05.00]-[0:27:09.00]  Yo digo, ¿qué se ha hecho? ¿Qué ha hecho?
[0:27:09.00]-[0:27:14.00]  Y dice, todo el mundo tenía unos perros en casa.
[0:27:14.00]-[0:27:18.00]  Y así pues hacía un dinerito, cabre del invierno y así.
[0:27:18.00]-[0:27:25.00]  Y dice, no se le ha corrido ninguna cosa más que poner las manos dentro de los perros.
[0:27:25.00]-[0:27:28.00]  A los comedores oñé las manos a todos los perros.
[0:27:28.00]-[0:27:31.00]  Y yo digo, ¡ay, qué susto he pasado!
[0:27:31.00]-[0:27:34.00]  Digo, mira, ¿por qué te lo llevas?
[0:27:34.00]-[0:27:36.00]  Así es así.
[0:27:36.00]-[0:27:38.00]  Es que era un poco tremendo.
[0:27:38.00]-[0:27:43.00]  Pero bueno, no exageradamente.
[0:27:43.00]-[0:27:46.00]  Es que estaba de otra manera, no es como ahora.
[0:27:46.00]-[0:27:47.00]  Claro.
[0:27:47.00]-[0:27:48.00]  Cambia la cosa.
[0:27:48.00]-[0:27:51.00]  Esas son las travesuras tan antípicas del niño.
[0:27:51.00]-[0:27:55.00]  Pero cosas grandes no ha hecho.
[0:27:55.00]-[0:27:57.00]  No, no, no.
[0:27:57.00]-[0:28:00.00]  Era un niño que iba con todo el mundo.
[0:28:00.00]-[0:28:04.00]  Allí en la calle siempre estaba en una casa u otra.
[0:28:04.00]-[0:28:10.00]  Una vez mi madre cuando llegaba a casa,
[0:28:10.00]-[0:28:12.00]  ¿qué sirve esto?
[0:28:12.00]-[0:28:15.00]  Yo llegaba cansada de la tienda.
[0:28:15.00]-[0:28:17.00]  ¿Qué se ha hecho esto? ¿Qué se ha hecho?
[0:28:17.00]-[0:28:21.00]  Y yo me subía los nervios.
[0:28:21.00]-[0:28:24.00]  Cojo, le doy una bufetada.
[0:28:24.00]-[0:28:29.00]  ¡Pum! Se cae así.
[0:28:29.00]-[0:28:33.00]  Y había la escalera, se quedó por la cabeza aquí.
[0:28:33.00]-[0:28:36.00]  Si se toca aquí.
[0:28:36.00]-[0:28:41.00]  Pero mira, si hubiera sido a los cientos de ahora
[0:28:41.00]-[0:28:44.00]  y hubiera pasado algo, entonces nunca nadie.
[0:28:44.00]-[0:28:46.00]  Si le habías pegado, le habías pegado.
[0:28:46.00]-[0:28:51.00]  Pero ahora, pégale un chico y que te pase algo, pégale.
[0:28:51.00]-[0:28:55.00]  Ahora está muy controlado. Está demasiado controlado.
[0:28:55.00]-[0:28:56.00]  Demasiado.
[0:28:56.00]-[0:29:02.00]  Y aquí ha pasado que han denunciado los padres.
[0:29:02.00]-[0:29:08.00]  Las chicas de 30, 40 años denunciaron a los padres.
[0:29:08.00]-[0:29:10.00]  Deja que quiera correr.
[0:29:10.00]-[0:29:13.00]  Va bien.
[0:29:13.00]-[0:29:16.00]  No, no, no. ¿Qué quieres que te diga?
[0:29:16.00]-[0:29:18.00]  No sé si...
[0:29:18.00]-[0:29:23.00]  Bueno, sabes que pasa que cuando son chicos los dejan hacer todo
[0:29:23.00]-[0:29:28.00]  y entonces cuando suena la hora que quisiéramos todos que la cosa...
[0:29:28.00]-[0:29:29.00]  Pues no.
[0:29:29.00]-[0:29:32.00]  Mandan más ellos y los padres.
[0:29:32.00]-[0:29:36.00]  Y es esto. No pasa nada más.
[0:29:36.00]-[0:29:39.00]  Ah, bueno.
[0:29:39.00]-[0:29:42.00]  Nos interesaría también saber usted cómo conoció a su marido
[0:29:42.00]-[0:29:44.00]  y cómo se conocen las parejas.
[0:29:44.00]-[0:29:51.00]  Ay, mira. Es muy bonito. Es muy bonito cómo nos conocíamos.
[0:29:51.00]-[0:29:54.00]  Mira.
[0:29:54.00]-[0:29:56.00]  A la punta de mi calle...
[0:29:56.00]-[0:29:59.00]  Bueno, pasando capa aquí, ¿no?
[0:29:59.00]-[0:30:04.00]  Había una casa así.
[0:30:04.00]-[0:30:06.00]  A ver, cómo te lo explico.
[0:30:06.00]-[0:30:10.00]  A la punta de mi calle subíamos, hacía una vuelta así
[0:30:10.00]-[0:30:13.00]  y había una calle para aquí abajo y otra por allá.
[0:30:13.00]-[0:30:15.00]  Y ahí ponían todos los chicos.
[0:30:15.00]-[0:30:18.00]  A ver cómo pasaba en la calle.
[0:30:18.00]-[0:30:21.00]  Y, claro, siempre estaba lleno.
[0:30:21.00]-[0:30:24.00]  Por la noche, normalmente por la noche.
[0:30:24.00]-[0:30:27.00]  En un pueblo todo el mundo se conoce.
[0:30:27.00]-[0:30:28.00]  Todo el mundo se conoce.
[0:30:28.00]-[0:30:33.00]  Entonces, pues bailando, conversando...
[0:30:33.00]-[0:30:37.00]  Tiene siempre tu grupito.
[0:30:37.00]-[0:30:40.00]  Pero yo ya me marché del grupito.
[0:30:40.00]-[0:30:45.00]  Me fui a uno de mayor, me gustaba más.
[0:30:45.00]-[0:30:49.00]  Pues yo nos llevábamos casi siete años con mi marido.
[0:30:49.00]-[0:30:51.00]  Pobre.
[0:30:51.00]-[0:30:54.00]  Pero grupito se refiere cuando usted salía...
[0:30:54.00]-[0:30:55.00]  Con las amigas.
[0:30:55.00]-[0:30:56.00]  Pero siempre con amigas.
[0:30:56.00]-[0:30:57.00]  Sí, sí.
[0:30:57.00]-[0:30:58.00]  Sí, sí.
[0:30:58.00]-[0:31:01.00]  No, pero nos juntábamos a veces.
[0:31:01.00]-[0:31:06.00]  Pues yo, pues bailábamos y cada grupo...
[0:31:06.00]-[0:31:09.00]  Los de la misma edad bailábamos.
[0:31:09.00]-[0:31:14.00]  Pero entonces, claro, cuando te haces mayor...
[0:31:14.00]-[0:31:18.00]  Pues ya vas yendo cambiando.
[0:31:18.00]-[0:31:19.00]  Entonces, ya...
[0:31:19.00]-[0:31:22.00]  O bailas a chicos más grandes...
[0:31:22.00]-[0:31:26.00]  Ya vas rompiendo con las amistades más...
[0:31:26.00]-[0:31:29.00]  Al menos es lo que me pasó a mí.
[0:31:29.00]-[0:31:30.00]  Al menos es lo que me pasó a mí.
[0:31:30.00]-[0:31:31.00]  Y de así.
[0:31:31.00]-[0:31:32.00]  Sí.
[0:31:32.00]-[0:31:34.00]  Siempre te hacían gracia los chicos más grandes.
[0:31:34.00]-[0:31:35.00]  Sí, exacto.
[0:31:35.00]-[0:31:36.00]  Mis mayores.
[0:31:36.00]-[0:31:37.00]  Sí.
[0:31:37.00]-[0:31:38.00]  Sí, es que es verdad.
[0:31:38.00]-[0:31:42.00]  Y entonces, pues claro, hay personas que no...
[0:31:42.00]-[0:31:49.00]  Que hay amigas que fueron de la misma edad y se casaron y tal.
[0:31:49.00]-[0:31:50.00]  Muy bien.
[0:31:50.00]-[0:31:55.00]  Pero también fuimos varias, pues más grandes.
[0:31:55.00]-[0:32:02.00]  Porque cuando llegábamos que comenzábamos ya a vernos las orejas, creo yo.
[0:32:02.00]-[0:32:06.00]  Entonces, pues los mayores nos hacían más gracia, no sé por qué.
[0:32:06.00]-[0:32:07.00]  Sí.
[0:32:07.00]-[0:32:12.00]  Y entonces, pues mira, yo me decanté para mayor.
[0:32:12.00]-[0:32:16.00]  ¿Y cómo era la etapa de novia-duo antes?
[0:32:16.00]-[0:32:19.00]  Estaba más controlado, imagino que ahora, por los padres.
[0:32:19.00]-[0:32:21.00]  Y tal, y tal.
[0:32:21.00]-[0:32:22.00]  Te guardaban como...
[0:32:22.00]-[0:32:23.00]  Como...
[0:32:23.00]-[0:32:24.00]  Como una juez.
[0:32:24.00]-[0:32:26.00]  Sí, una juez de la corona.
[0:32:26.00]-[0:32:27.00]  Es bizarro.
[0:32:27.00]-[0:32:28.00]  Sí, sí.
[0:32:28.00]-[0:32:29.00]  No se puede decir precisamente.
[0:32:29.00]-[0:32:33.00]  Una cosa exagerada era también.
[0:32:33.00]-[0:32:34.00]  Un poco exagerada.
[0:32:34.00]-[0:32:37.00]  Bueno, tiempos más atrás aún más.
[0:32:37.00]-[0:32:40.00]  Sí, porque a mí ya no me guardaron de...
[0:32:40.00]-[0:32:45.00]  Al cine, aquí, allá, por ahí, tranquilos.
[0:32:45.00]-[0:32:48.00]  Pero un poco más para allá, los padres...
[0:32:48.00]-[0:32:50.00]  Hay la madre aquí, la silla, y la abuela.
[0:32:50.00]-[0:32:51.00]  Sí.
[0:32:51.00]-[0:32:54.00]  Y tú allí, a aguantar.
[0:32:54.00]-[0:33:02.00]  A mí me dijeron, no, ya, ya, esto ya se comenzaba a poner un poco más viejo.
[0:33:02.00]-[0:33:03.00]  Sí.
[0:33:03.00]-[0:33:05.00]  ¿Con qué edad se casó?
[0:33:05.00]-[0:33:07.00]  Con 22 años y medio.
[0:33:07.00]-[0:33:11.00]  ¿Y cómo fue la boda? ¿Cómo eran las bodas antes?
[0:33:11.00]-[0:33:16.00]  Las bodas, había muy guapas y había muy normalitas.
[0:33:16.00]-[0:33:18.00]  ¿Todo repetía? ¿Todo repetía?
[0:33:18.00]-[0:33:22.00]  Sí, la mía fue muy normalita, tirando pequeñita.
[0:33:22.00]-[0:33:25.00]  Pero bueno, me encanté.
[0:33:25.00]-[0:33:27.00]  Hicimos un poco de...
[0:33:27.00]-[0:33:29.00]  ¿Algiendas?
[0:33:29.00]-[0:33:40.00]  No, en el matín. Un poco así de comidita, de un chocolate y una coca y una mica de cosas.
[0:33:40.00]-[0:33:42.00]  Y pronto, nada más.
[0:33:42.00]-[0:33:46.00]  ¿Y el vestido, cómo era? ¿Cómo lo han vestido?
[0:33:46.00]-[0:33:49.00]  El vestido era el mío.
[0:33:49.00]-[0:33:51.00]  ¿A mí a qué vestían largo y tal?
[0:33:51.00]-[0:33:52.00]  Guapas.
[0:33:52.00]-[0:33:53.00]  Pues yo no.
[0:33:53.00]-[0:33:57.00]  Yo a mi padre me dijo que no, y que no.
[0:33:57.00]-[0:34:00.00]  Porque este vestido no se llevaba más.
[0:34:00.00]-[0:34:09.00]  Pues bueno, y me compré una falda con una chaquetilla y un sombrerito y ya está.
[0:34:09.00]-[0:34:11.00]  ¿Y era blanco el vestido?
[0:34:11.00]-[0:34:17.00]  Sí, era blanco, tirando... No, esto demasiado subido.
[0:34:17.00]-[0:34:21.00]  Era casi blanco, pero no era blanco.
[0:34:21.00]-[0:34:26.00]  Y me dijo, si te compras un traje, después lo podrás llevar.
[0:34:26.00]-[0:34:30.00]  Y digo, no sé si tiene razón el hombre.
[0:34:30.00]-[0:34:36.00]  Sí, tanto. El blanco largo no lo llevaría, pero este tampoco, que no lo volvía a autoritar.
[0:34:36.00]-[0:34:40.00]  O sea, es igual de una manera que otra.
[0:34:40.00]-[0:34:49.00]  Yo me hacía más gracia largo y claro, más novia, pero sin traje largo.
[0:34:49.00]-[0:34:53.00]  ¿Y quién pagaba la boda? ¿Los padres de la novia, los padres de la novia?
[0:34:53.00]-[0:34:57.00]  A medias, a medias, sí.
[0:34:57.00]-[0:35:00.00]  ¿Y luego había viaje de...
[0:35:00.00]-[0:35:03.00]  Sí, sí, sí, que luego tuvimos, sí.
[0:35:03.00]-[0:35:05.00]  ¿Y dónde fueron?
[0:35:05.00]-[0:35:11.00]  Fuimos a Oscilar, a Zaragoza. Dos o tres días a Zaragoza.
[0:35:11.00]-[0:35:16.00]  Fuimos a Valencia. De Valencia también dos o tres días.
[0:35:16.00]-[0:35:20.00]  Entonces fuimos a Madrid, dos o tres días más, no me acuerdo.
[0:35:20.00]-[0:35:23.00]  Y, bueno, no me acuerdo. Dos o tres días.
[0:35:23.00]-[0:35:27.00]  Entonces fuimos a Barcelona, de Madrid a Barcelona.
[0:35:27.00]-[0:35:29.00]  Pues es mucho, ¿eh?
[0:35:29.00]-[0:35:32.00]  También. 14 o 15.
[0:35:32.00]-[0:35:36.00]  En Casel 29, me parece que llegamos a U13.
[0:35:36.00]-[0:35:38.00]  ¿29 de septiembre?
[0:35:38.00]-[0:35:40.00]  Mira, ahora estábamos.
[0:35:40.00]-[0:35:42.00]  ¿Y medias de las porquias todos teníamos?
[0:35:42.00]-[0:35:46.00]  Sí, sí. Teníamos un kilométrico que decían entonces,
[0:35:46.00]-[0:35:51.00]  que compramos una tarjeta kilométrica y aún no gastamos en los billetes.
[0:35:51.00]-[0:35:52.00]  Pues es mucho, ¿eh?
[0:35:52.00]-[0:35:59.00]  Sí. Y entonces Barcelona, que estuvimos, que estuvimos a casa de unos tíos de mi marido,
[0:35:59.00]-[0:36:08.00]  entonces dijo la chica, la prima de mi marido, dice,
[0:36:08.00]-[0:36:14.00]  el que yo decía, ¿ves? Me hubiera gustado ir a Mallorca.
[0:36:14.00]-[0:36:17.00]  Y dice, pues ya irás a Mallorca ya.
[0:36:17.00]-[0:36:23.00]  Ah, no, no, no, que tenemos que marchar para casa, dijo mi marido.
[0:36:23.00]-[0:36:29.00]  Y dice, sí, sí, sí, venga, vamos que vamos a comprar los billetes.
[0:36:29.00]-[0:36:31.00]  Y sí, sí, nos fuimos a Mallorca también.
[0:36:31.00]-[0:36:33.00]  Fuimos a Mallorca.
[0:36:33.00]-[0:36:34.00]  ¿Como alguna vez vieron tú, eh?
[0:36:34.00]-[0:36:35.00]  Sí.
[0:36:35.00]-[0:36:36.00]  ¿Se les rijo, eh?
[0:36:36.00]-[0:36:37.00]  Sí, pues mira.
[0:36:37.00]-[0:36:38.00]  ¿Por qué aquí?
[0:36:38.00]-[0:36:39.00]  Sí.
[0:36:39.00]-[0:36:40.00]  ¿Por qué no habéis venido?
[0:36:40.00]-[0:36:41.00]  No, pero ya ni había que ir a nada.
[0:36:41.00]-[0:36:42.00]  ¿Por qué vieron?
[0:36:42.00]-[0:36:43.00]  Sí.
[0:36:43.00]-[0:36:44.00]  ¿Por qué no habéis venido?
[0:36:44.00]-[0:36:45.00]  No, porque aquí se queda bien lejos.
[0:36:45.00]-[0:36:46.00]  Se regrosa.
[0:36:46.00]-[0:36:47.00]  Muchos Barcelona.
[0:36:47.00]-[0:36:51.00]  Barcelona era el capital principal, pero los días con Manchín.
[0:36:51.00]-[0:36:52.00]  Sí, sí.
[0:36:52.00]-[0:36:53.00]  Y esto.
[0:36:53.00]-[0:36:54.00]  Sí, no, no.
[0:36:54.00]-[0:36:55.00]  ¿Qué se le dijo?
[0:36:55.00]-[0:36:56.00]  Sí, sí.
[0:36:56.00]-[0:36:57.00]  Yo ahora está contenta ya.
[0:36:57.00]-[0:36:58.00]  Claro.
[0:36:58.00]-[0:37:00.00]  Pues entonces a Mallorca.
[0:37:00.00]-[0:37:05.00]  No me he subido nunca más en un avión.
[0:37:05.00]-[0:37:09.00]  Fuimos a Mallorca, muy bien, muy bien, muy bien.
[0:37:09.00]-[0:37:11.00]  Fuimos a Mallorca, bien.
[0:37:11.00]-[0:37:13.00]  ¿No te mereaste el sofá, co?
[0:37:13.00]-[0:37:15.00]  No, no en barco, en avión.
[0:37:15.00]-[0:37:16.00]  Avión, avión.
[0:37:16.00]-[0:37:18.00]  ¿Y de vinida?
[0:37:18.00]-[0:37:21.00]  Hubo una tormenta.
[0:37:21.00]-[0:37:28.00]  Cuando salimos del hotel, nos vinieron a buscar, el agua subía arriba de las ventanillas del coche.
[0:37:28.00]-[0:37:33.00]  Tuvimos que parar antes de llegar al aeropuerto.
[0:37:33.00]-[0:37:37.00]  Y aquel señor decía, yo no había visto nunca esto.
[0:37:37.00]-[0:37:41.00]  Esto igual que uno la ría, ahora es de Rubí.
[0:37:41.00]-[0:37:43.00]  Nosotros no sabéis esto.
[0:37:43.00]-[0:37:44.00]  De Barcelona.
[0:37:44.00]-[0:37:47.00]  Que había, bueno, muchos muertos, ¿eh?
[0:37:47.00]-[0:37:48.00]  Sí.
[0:37:48.00]-[0:37:51.00]  De Rubí, en la provincia de Barcelona.
[0:37:51.00]-[0:37:54.00]  No lo había visto yo nunca más.
[0:37:54.00]-[0:37:58.00]  Yo ya soy un poco así.
[0:37:58.00]-[0:38:00.00]  Y ahí, dios.
[0:38:00.00]-[0:38:04.00]  Bueno, cuando paró de llover, surgió y nos llevó al aeropuerto.
[0:38:04.00]-[0:38:09.00]  Cuando llegamos al aeropuerto, no salía ningún avión.
[0:38:09.00]-[0:38:12.00]  No salía ningún avión.
[0:38:12.00]-[0:38:13.00]  Bueno, ahora qué hacemos.
[0:38:13.00]-[0:38:18.00]  Y claro, nos dijeron tranquilos, si no pueden marchar, los devolveremos al hotel y ya está.
[0:38:18.00]-[0:38:19.00]  Bueno, vale.
[0:38:19.00]-[0:38:22.00]  Pero por fin, tarde, tarde, tarde.
[0:38:22.00]-[0:38:29.00]  Si teníamos las nueve, pues era las doce o por ahí que salía el avión.
[0:38:29.00]-[0:38:32.00]  Llamaron que este avión salía.
[0:38:32.00]-[0:38:35.00]  Bueno, subimos al avión.
[0:38:35.00]-[0:38:37.00]  Se sube para arriba.
[0:38:37.00]-[0:38:41.00]  Cuando estuvo arriba, volvió a bajarse.
[0:38:41.00]-[0:38:49.00]  Yo, en aquel tiempo, figurate, me había movido de casa.
[0:38:49.00]-[0:38:53.00]  Se me dijo, ay dios, qué culpa es esta, es culpa mía.
[0:38:53.00]-[0:39:00.00]  Cuando le pareció que había pasado, se ve, volvió a la grasa el avión.
[0:39:00.00]-[0:39:05.00]  Acabo de un poco de rato que estábamos arriba.
[0:39:05.00]-[0:39:07.00]  Arriba, un, dos, tres.
[0:39:07.00]-[0:39:10.00]  Yo.
[0:39:10.00]-[0:39:12.00]  Un susto, un susto.
[0:39:12.00]-[0:39:14.00]  Yo.
[0:39:14.00]-[0:39:18.00]  Estaba, estaba fatal, eh, fatal.
[0:39:18.00]-[0:39:30.00]  Había, había dos chicas o tres de Zaragoza y tenían unas ganas de juego.
[0:39:30.00]-[0:39:33.00]  Y Richard y tal, y tal.
[0:39:33.00]-[0:39:37.00]  Bueno, yo pensaba que eran estas chicas.
[0:39:37.00]-[0:39:43.00]  Entonces había también un matrimonio que creo que eran extranjeros.
[0:39:43.00]-[0:39:53.00]  Cuando vi aquel matrimonio, aquel, las patas siempre a mí con ella porque se desvanecía la pobre.
[0:39:53.00]-[0:39:59.00]  Porque también le cogió un medio, un miedo y unos lloros y unos lloros.
[0:39:59.00]-[0:40:05.00]  Y yo entonces ya me daba un poco, ay, aquí ya nos salimos, aquí ya nos salimos.
[0:40:05.00]-[0:40:12.00]  Eh, no sé si, de ida para allá estuvimos unos tres cuartos de hora.
[0:40:12.00]-[0:40:18.00]  De vuelta, tira, eh, tira.
[0:40:18.00]-[0:40:21.00]  Y aquello y aquella.
[0:40:21.00]-[0:40:28.00]  Y entonces al final, bueno, ya dijo el capitán que había pasado las turbulencias, que era tarde,
[0:40:28.00]-[0:40:31.00]  que ahora ya pronto llegáramos a Barcelona y tal.
[0:40:31.00]-[0:40:36.00]  Y sí, sí, la verdad es que cuando dijo esto ya, como era sexta tarde.
[0:40:36.00]-[0:40:39.00]  Pero no he querido volver a subir nunca más en la pelota.
[0:40:39.00]-[0:40:48.00]  Y creo, no sé, no se puede decir nunca que no, pero creo que no voy a subir más.
[0:40:48.00]-[0:40:57.00]  Había alguno, había alguno que también lo hacía.
[0:40:57.00]-[0:41:00.00]  Bueno, es que mi marido pasaba una cosa.
[0:41:00.00]-[0:41:05.00]  Mi marido, aparte de ir a trabajar y trabajar a casa también,
[0:41:05.00]-[0:41:09.00]  bueno, lo mismo que yo, yo a cada casa estaba raro, para nosotros.
[0:41:09.00]-[0:41:20.00]  Entonces tenía tierras a medias, tenía la tierra de la toya, tenía la tierra de aquí abajo, de Chollat, de Chalmachollat.
[0:41:20.00]-[0:41:27.00]  Pues tenía la tierra y esto se lo quedaba él, se lo quedaba él, las ganancias.
[0:41:27.00]-[0:41:32.00]  Entonces esto lo tenía guardado porque yo no tenía ni un duro, esa sí la cosa.
[0:41:32.00]-[0:41:35.00]  Y eso lo tenía guardado y de aquello hicimos el viaje.
[0:41:35.00]-[0:41:44.00]  Pero eso, pero eso lo van a hacer, que si no a casa ni un duro, ni a alguna casa ni a la otra.
[0:41:44.00]-[0:41:49.00]  Mira, y de esto, bueno esto fue para adelante.
[0:41:49.00]-[0:42:02.00]  ¿Y le contó mucho a su marido al principio que era que estaba su padre?
[0:42:02.00]-[0:42:10.00]  Si estuvieramos cortejando, pues siete años me parece.
[0:42:10.00]-[0:42:15.00]  En seguida se vino a casa, siempre estaba en casa.
[0:42:15.00]-[0:42:19.00]  Cuando bajaba a veces decía, eh, ¿qué hacéis para comer?
[0:42:19.00]-[0:42:21.00]  Mira esto, me quedo.
[0:42:21.00]-[0:42:27.00]  Esto era una cosa rara antes, esto no se había.
[0:42:27.00]-[0:42:32.00]  Gustaba mucho de eso, a su casa iba poco, muy poco.
[0:42:32.00]-[0:42:34.00]  No le gustaba ir a la casa.
[0:42:34.00]-[0:42:39.00]  Él se pasaba, ¿qué hacéis aquí? ¿Qué?
[0:42:39.00]-[0:42:41.00]  ¿Qué hacéis aquí?
[0:42:41.00]-[0:42:49.00]  A mi madre, mira, a veces para la cena o así, mira hago esto, ah, ya me podría quedar.
[0:42:49.00]-[0:42:52.00]  Ah, mira si te quieres quedar, quédate y ya está.
[0:42:52.00]-[0:42:54.00]  Y dije que no le costó nada.
[0:42:54.00]-[0:42:57.00]  A mí sí, a mí sí que me costó.
[0:42:57.00]-[0:42:58.00]  ¿A usted le costó más?
[0:42:58.00]-[0:42:59.00]  Sí.
[0:42:59.00]-[0:43:04.00]  ¿No hará que las dos padres de la muestra estén más reables?
[0:43:04.00]-[0:43:07.00]  No sé, no, mis padres no, esto no.
[0:43:07.00]-[0:43:12.00]  Lo consideraron como si hubiera sido su hijo de seguida.
[0:43:12.00]-[0:43:21.00]  No es cuando se hizo mi padre viejo, más gran, mayor, entonces la cosa cambió.
[0:43:21.00]-[0:43:24.00]  No podía haber tanto.
[0:43:24.00]-[0:43:31.00]  Esto va, mira, después uno cuando se hace mayor.
[0:43:31.00]-[0:43:32.00]  Pero bueno.
[0:43:32.00]-[0:43:37.00]  Pero antes sí que un hijo de noche más de la opinión de los padres se iba a casarse.
[0:43:37.00]-[0:43:41.00]  A mí, claro, claro, sí, sí.
[0:43:41.00]-[0:43:48.00]  Sí, pero que entonces pues tenías que estar a las órdenes de ellos, a ver lo que debían, a ver lo que...
[0:43:48.00]-[0:43:51.00]  Y si no aprobaban los padres no podían casarse.
[0:43:51.00]-[0:43:55.00]  Sí, que se podían casar por el disgusto de los padres.
[0:43:55.00]-[0:43:56.00]  Había pocos, ¿eh?
[0:43:56.00]-[0:44:03.00]  Pero también sentías, decía, mira, se ha casado tal y no ha ido su padre, o no ha ido su madre.
[0:44:03.00]-[0:44:10.00]  También se sentía, decía esto, y es por las desavenencias que había.
[0:44:10.00]-[0:44:16.00]  Y privar a un hijo de no casarse con una persona que quería también, claro.
[0:44:16.00]-[0:44:21.00]  Porque no tenía dinero, porque lo que sea, y no querían, no querían.
[0:44:21.00]-[0:44:23.00]  Había que tampoco no querían, no querían.
[0:44:23.00]-[0:44:28.00]  Y al final pues se marchaban y...
[0:44:28.00]-[0:44:31.00]  Y aquí no eso se hacía.
[0:44:31.00]-[0:44:34.00]  Pero bueno, esto gracias a Dios ya ha pasado.
[0:44:34.00]-[0:44:37.00]  Sí, porque es culpa mía en que era.
[0:44:37.00]-[0:44:39.00]  A mí no me gustaba esto.
[0:44:39.00]-[0:44:43.00]  Porque si tú eres pobre, es que si tú eres rico, no.
[0:44:43.00]-[0:44:44.00]  Esto es igual.
[0:44:44.00]-[0:44:48.00]  Ahora hay pobres que se casan con hijos y ricas.
[0:44:48.00]-[0:44:50.00]  Ahora sí.
[0:44:50.00]-[0:44:53.00]  Pero antes no.
[0:44:53.00]-[0:44:54.00]  Antes no.
[0:44:54.00]-[0:45:00.00]  No había tampoco mucho dinero, ¿eh?
