[0:00:00.00]-[0:00:04.00]  ¿Aquí hacían matanza?
[0:22:35.00]-[0:22:38.00]  Y nunca ordeñaron la leche de oveja.
[0:22:38.00]-[0:22:40.00]  No, no, aquí no.
[0:22:40.00]-[0:22:41.00]  ¿Jamás?
[0:22:41.00]-[0:22:42.00]  No.
[0:22:42.00]-[0:22:44.00]  ¿Nunca bebió usted leche de oveja?
[0:22:44.00]-[0:22:46.00]  No, no, no, no.
[0:22:46.00]-[0:22:49.00]  ¿Ni tampoco se hizo queso con la leche de oveja?
[0:22:49.00]-[0:22:51.00]  No, no, no, aquí nosotros…
[0:22:51.00]-[0:22:53.00]  ¿Ni cuajada?
[0:22:53.00]-[0:22:59.00]  Cuajada sí, pero cuajada para comer en casa. Cuajada sí.
[0:22:59.00]-[0:23:00.00]  ¿De leche de oveja?
[0:23:00.00]-[0:23:08.00]  No, no, no, no. De leche de oveja no. Aquí en esta casa nunca se ordeñaron y en este pueblo yo creo que nadie ordeña ovejas.
[0:23:08.00]-[0:23:17.00]  Nunca me acuerdo yo, nosotros tuvimos muchísimas ovejas cuando éramos nosotros propias oveñas.
[0:23:17.00]-[0:23:28.00]  Pero era eso, papá iba para la cuadra que teníamos para allá, para arriba, para el monte y mataba un cordero cuando le apetecía o cuando podía
[0:23:28.00]-[0:23:31.00]  y lo traía y lo comíamos.
[0:23:31.00]-[0:23:43.00]  Y comíamos eso, pues lo que había en casa, la leche, eso, la manteca que se fría, había gallines, los huevos, el cerdo que se mataba
[0:23:43.00]-[0:23:52.00]  y era lo que se comía en casa, le compraba el azúcar, el aceite, el café, que aquí el café siempre…
[0:23:52.00]-[0:23:53.00]  ¿Era…?
[0:23:53.00]-[0:23:58.00]  El café, el café, el café, el café, el café, el café. El café, el café, el café, el café.
[0:23:58.00]-[0:24:02.00]  El café, el café, el café, el café.
[0:24:02.00]-[0:24:05.00]  Y con la lana de las ovejas, ¿cómo se hacía?
[0:24:05.00]-[0:24:10.00]  La lana de las ovejas antiguamente lo vendían, pero ahora nada, ahora lo tiran, no lo quiere nadie.
[0:24:10.00]-[0:24:11.00]  ¿No?
[0:24:11.00]-[0:24:12.00]  No.
[0:24:12.00]-[0:24:15.00]  ¿Y quién se ocupa de esquilar o…?
[0:24:15.00]-[0:24:17.00]  Cada uno de suyos.
[0:24:17.00]-[0:24:21.00]  ¿Y se llama esquilar o tresquilar o cómo…?
[0:24:21.00]-[0:24:24.00]  Tosquilar, es la palabra de aquí.
[0:24:24.00]-[0:24:29.00]  ¿Y entonces cada uno de las suyas nunca venía un señor encargado?
[0:24:29.00]-[0:24:41.00]  No, no, aquí ni van los vecinos, unos se ayudan a otros, los que tienen muchos, yo tengo un hermano que tiene aquí cinco, me parece que tiene, o seis, o cinco, seis.
[0:24:41.00]-[0:24:49.00]  Y me había quedado ayer de venir a Tosquilar, si no vino, eso cuando vendrá. Pero…
[0:24:49.00]-[0:24:52.00]  ¿Y antiguamente con la lana qué hacían?
[0:24:52.00]-[0:25:01.00]  Antiguamente pues no lo vendían, lo vendían y hacían los colchones de la casa, aquí los colchones eran de lana siempre.
[0:25:01.00]-[0:25:03.00]  ¿Cómo se hacía un colchón?
[0:25:03.00]-[0:25:10.00]  Pues el colchón había que ir al río a lavar la lana, se lavaba la lana, se secaba la lana y…
[0:25:10.00]-[0:25:13.00]  ¿Y cómo se lavaba? ¿Cómo…?
[0:25:13.00]-[0:25:18.00]  Como una camiseta, cogía…
[0:25:18.00]-[0:25:33.00]  Cogías un trozo, porque la lana se separa, cogías un trozo de lana y lo metías en un… se lavaba muy bien porque tienen una grasa que marcha muy bien, no hacía falta ni jabón ni nada.
[0:25:33.00]-[0:25:34.00]  ¿Ah no?
[0:25:34.00]-[0:25:35.00]  No.
[0:25:35.00]-[0:25:36.00]  ¿Nunca se lavaba con jabón?
[0:25:36.00]-[0:25:42.00]  No, no, con jabón, yo no me acuerdo nunca de haberlo… yo tengo oído cómo más lavarlo, sí.
[0:25:42.00]-[0:26:01.00]  Pero… siempre se va cogiendo a trozos porque si no te lo lleva el agua y así lavarlo una piedra, lavábamolo en una piedra y a clavarlo bien bien así sin soltarlo mucho y en un sitio donde no hubiera mucha corriente porque si no te lo llevaba.
[0:26:01.00]-[0:26:13.00]  Y después lo secábamos por ahí, se tendía por ahí al sol y después para hacer el colchón se bareaba con una vara para que quedara esponjoso la lana suelta.
[0:26:13.00]-[0:26:15.00]  ¿Y de qué color salía el colchón?
[0:26:15.00]-[0:26:22.00]  No, la lana es blanca, bueno hay ovejas negras pero normalmente, normalmente eran blancas.
[0:26:22.00]-[0:26:24.00]  ¿No cambiaba de color al… al… al…
[0:26:24.00]-[0:26:39.00]  Al lavarla queda más blanca porque en la oveja está más amarilla porque tiene la grasa, pero al lavarla queda más amarilla, más blanquina, queda blanca, blanca como eso, lavándolo bien.
[0:26:39.00]-[0:26:52.00]  Y después durante el año pues se hacían los colchones, a lo mejor una vez al año se lavaba la cubierta y se bareaba la lana y se hacía el colchón otra vez para que el colchón estuviese cómodo.
[0:26:52.00]-[0:26:54.00]  Eso era un trabajo tremendo.
[0:26:54.00]-[0:26:56.00]  Sí, todo el mundo se queja de ese trabajo.
[0:26:56.00]-[0:26:59.00]  Y hay que andar ahí dando palos aquí a la lana.
[0:26:59.00]-[0:27:01.00]  ¿Y lo hacían las mujeres?
[0:27:01.00]-[0:27:03.00]  Sí, sí, sí.
[0:27:03.00]-[0:27:06.00]  Sí, sí, eso era la labor de mujeres.
[0:27:06.00]-[0:27:15.00]  Las mujeres ahora por agosto o así, era el tiempo de solear la lana que decían, vamos a poner la lana al sol para…
[0:27:15.00]-[0:27:16.00]  Solear.
[0:27:16.00]-[0:27:17.00]  Solear.
[0:27:17.00]-[0:27:19.00]  Era poner la lana al sol.
[0:27:19.00]-[0:27:21.00]  Poner la lana al sol, eso mismo, sí.
[0:27:21.00]-[0:27:23.00]  ¿Y se dejaba muchos días?
[0:27:23.00]-[0:27:38.00]  No, no, se hacían en el día. Por ejemplo, sacabas el colchón por la mañana, ya que vieras que estaba bueno, y lo tenías ahí por la mañana al sol y después por la tarde te ponías y lo bareabas y lo hacías.
[0:27:38.00]-[0:27:46.00]  No era de días, además no había otro para poner en la cama, había que poner aquel, ya que ya no había respuesta.
[0:27:46.00]-[0:27:51.00]  Y así se conservaron los colchones de lana.
[0:27:51.00]-[0:27:54.00]  No, aquí ya no.
[0:27:54.00]-[0:27:57.00]  ¿Y aquí la lana se hilaba o…?
[0:27:57.00]-[0:28:02.00]  Pues sí, mi abuela hilaba, que yo tengo una pena no haber aprendido a hilar.
[0:28:02.00]-[0:28:12.00]  Y mi madre, que tampoco, siempre le decía a mamá, digo a mamá y tú, tú con Guadalina tantos años y nunca te hice, yo no tuve tiempo.
[0:28:12.00]-[0:28:19.00]  Pero mi abuela sí, mi abuela sí, me presta para acordarme de ella, parece que la estoy viendo.
[0:28:19.00]-[0:28:25.00]  Y me acuerdo a veces y digo yo, ¿cómo no pondría yo, cómo no aprendiría yo a hilar?
[0:28:25.00]-[0:28:30.00]  Pero a veces ponía así y no era fácil, no creas.
[0:28:30.00]-[0:28:41.00]  A veces ponía a ella y yo nada más me ponía, ella tenía un cacharro así, como si fuera un palo, lo metía aquí, tenía aquí un…
[0:28:41.00]-[0:28:42.00]  ¿Cómo se llamaba el fuso?
[0:28:42.00]-[0:28:45.00]  El fuso era el otro, el retorcer de lana.
[0:28:45.00]-[0:28:50.00]  Esto se llamaba la rueca, que era donde ponían la lana.
[0:28:50.00]-[0:28:56.00]  Y después el fuso era donde iban haciendo la lana, haciendo el hilo.
[0:28:56.00]-[0:29:01.00]  Y yo me ponía y qué, nada más cogía eso y caía.
[0:29:01.00]-[0:29:05.00]  Pero era fácil entonces convertir la lana en hilo.
[0:29:05.00]-[0:29:14.00]  Era fácil, relativamente fácil, pero claro para aprender era difícil, yo lo consideraba difícil.
[0:29:14.00]-[0:29:21.00]  Pero mi abuela, bueno, era vieja, vieja, me acuerdo que se sentaba ahí en la galería que teníamos
[0:29:21.00]-[0:29:31.00]  y estaba ahí, sobre sentada desilando y nos hacían jersé, fue cuando yo me acuerdo que yo lloraba porque no lo quería, porque picaba.
[0:29:31.00]-[0:29:39.00]  Había que poner algo debajo, pero fue cuando la guerra que tan mal se pasó, porque yo me acuerdo perfectamente,
[0:29:39.00]-[0:29:45.00]  yo tenía seis años cuando estalló la guerra y claro, si es que tenía y tres que duró,
[0:29:45.00]-[0:29:52.00]  pues y después de la guerra que hubo tantas casas, pues me acuerdo.
[0:29:52.00]-[0:29:54.00]  ¿Aquí se pasó mucha hambre?
[0:29:54.00]-[0:29:56.00]  No, no hambre no.
[0:29:56.00]-[0:30:04.00]  Aquí nosotros, en esta casa por lo menos no, no pasamos hambre porque teníamos de pasta, de todo, de comer.
[0:30:04.00]-[0:30:09.00]  Pasaste, pasamos hambre de pan, yo me acuerdo que pasábamos hambre de pan,
[0:30:09.00]-[0:30:20.00]  pero comíamos torta de harina de maíz, que sembrabamos maíz y entonces el maíz se hacía harina y comíamos eso.
[0:30:20.00]-[0:30:28.00]  Pasabas ganas de cosas, pasabas ganas de galletes, pasabas ganas de cosas que no tenías, pero de otra manera lo que dice hambre no.
[0:30:28.00]-[0:30:32.00]  ¿Cómo es la harina de maíz? ¿Aquí se hace laborona?
[0:30:32.00]-[0:30:33.00]  Sí.
[0:30:33.00]-[0:30:40.00]  ¿Nos puedes hablar cómo es hacer laborona? ¿Cuando era joven y ahora también?
[0:30:40.00]-[0:30:42.00]  Sí, yo te veo a la hora de hacer.
[0:30:42.00]-[0:30:44.00]  Sí, cuéntenos cómo…
[0:30:44.00]-[0:30:52.00]  Aquí era muy típico hacerlo para Semana Santa, para el día de Pascual. El día de Pascual la hice yo, aquí estaban mis hijos.
[0:30:52.00]-[0:30:55.00]  ¿Cómo se llama, laborona o la torta?
[0:30:55.00]-[0:31:06.00]  Laborona es lo del horno, que se mete en un cacharro y se mete en el horno. La torta se hace en la chapa o en la sartén, bueno ahora como no tenemos chapa.
[0:31:06.00]-[0:31:07.00]  ¿Con hojas?
[0:31:07.00]-[0:31:09.00]  Con hojas lo hacíamos, sí.
[0:31:09.00]-[0:31:15.00]  ¿Puedes explicarnos cómo era eso aquí? Es decir, ¿cómo se molía? Primero, ¿cómo se molía la harina?
[0:31:15.00]-[0:31:27.00]  Al molino, aquí abajo en el río había un molino de piedra, de piedras, echaban el maíz con dos piedras que los movía el agua, se molía.
[0:31:27.00]-[0:31:47.00]  Y después lo traíamos para casa, se llevaba la molienda que llamábamos y hacíamos igual que amasas por ejemplo un hojaldre, no precisamente un hojaldre, pero bueno amasado la harina con sal y agua, nada más.
[0:31:47.00]-[0:31:48.00]  Nada más.
[0:31:48.00]-[0:31:49.00]  Nada más que sal y agua.
[0:31:49.00]-[0:31:51.00]  ¿No se ponía levadura?
[0:31:51.00]-[0:32:08.00]  No, nada más, un poco de harina de pan. Yo por ejemplo ahora, ya que ya no lo había, pero yo ahora he hecho un poco de harina de pan porque queda más suave la morona con un poco de harina de pan.
[0:32:08.00]-[0:32:30.00]  Y después yo por ejemplo para eso la de pascua que la hacemos, que es típico de aquí, el acerrago, ya que llamamos, y se hace con chorizo, se mete chorizo, se mete tocino, un poco costilla de cerdo también, lo que quieras.
[0:32:30.00]-[0:32:31.00]  ¿Y esto se mete dónde?
[0:32:31.00]-[0:32:33.00]  En el horno, en una cacharra, un cacharro.
[0:32:33.00]-[0:32:35.00]  ¿Pero en el horno de leña?
[0:32:35.00]-[0:32:41.00]  No, no, en el horno, como lo hacía ahora, yo lo tengo en el horno eléctrico, normal.
[0:32:41.00]-[0:32:53.00]  Pero antiguamente pues aquí yo la cocina de carbón que teníamos aquí la quitamos, ahora era cuatro años yo creo que regulamos esta cocina.
[0:32:53.00]-[0:33:08.00]  Teníamos una cocina de carbón que ya estaba muy antigua y ya la quitamos, sin oscalización, y quitamos. Por debajo la cocina esa había que atizar porque si no la casa estaba muy fría.
[0:33:08.00]-[0:33:17.00]  Y entonces se cocían en el horno de la cocina, pero ahora se cuege en el horno ese y lo mismo que en el otro de la cocina.
[0:33:17.00]-[0:33:20.00]  ¿Y sube poco, claro?
[0:33:20.00]-[0:33:39.00]  No, esa no sube. Esa lo metes en una pota, en una lata, había... Yo ahora tengo una tartera ahí que ya está vieja, bueno vieja no, de esos colorades antiguos, aquí palavito dicen que no sirve, yo tengo los de esos otros de acerinosidable que tienen el palavito.
[0:33:39.00]-[0:33:47.00]  Y entonces en una de esas colorades que tenía aquí mamá, pues donde la meto, en el horno. Pero no sube, eso no sube.
[0:33:47.00]-[0:33:48.00]  ¿Por qué no tiene levadura?
[0:33:48.00]-[0:33:55.00]  No tiene levadura, entonces no sube, claro, no es como cuando metes un bizcocho que te sube, eso que ya tienes.
[0:33:55.00]-[0:33:58.00]  ¿Y la torta cómo era? ¿También de maíz?
[0:33:58.00]-[0:34:11.00]  La torta exactamente lo mismo, lo que pasa es que se cocía en la chapa de la cocina, bien sea con rama o bien sea untábamos a lo mejor la chapa con un poco de aceite y allí la poníamos.
[0:34:11.00]-[0:34:30.00]  Yo ahora la hago también a veces muy pocas porcinas, pero entonces en el sartén, hacemos lo con aceite frito, torta de cazo lo llamamos, que esa está muy buena también, a mí me encanta, con manteca de esto y una torta de esos de cazo.
[0:34:30.00]-[0:34:32.00]  ¿Y cómo sale?
[0:34:32.00]-[0:34:51.00]  Sale pues muy rico, la torta queda como la haces delgadina, así, o más delgada, la cuentes en la sartén y queda pues como si fuesen dos cortecinos de pan así, pero está muy rica.
[0:34:51.00]-[0:34:53.00]  ¿Y de qué color?
[0:34:53.00]-[0:35:02.00]  El color pues, como cuando haces un sándwich, ¿no sabes lo que es un sándwich?
[0:35:02.00]-[0:35:07.00]  Sí, pero el color de la harina, de la harina de maíz.
[0:35:07.00]-[0:35:11.00]  ¿La harina de maíz o el cocer la torta?
[0:35:11.00]-[0:35:14.00]  Ya cuando está hecha más o menos.
[0:35:14.00]-[0:35:23.00]  Antes de cocerlo, depende del color de la harina, porque la harina lo hay blanco y lo hay amarillo.
[0:35:23.00]-[0:35:24.00]  ¿La de maíz?
[0:35:24.00]-[0:35:29.00]  Sí, sí, por aquí había mucha harina blanca, de esa es más fina y mejor.
[0:35:29.00]-[0:35:30.00]  Ah, sí.
[0:35:30.00]-[0:35:33.00]  Sí, la harina blanca de maíz es mejor.
[0:35:33.00]-[0:35:35.00]  ¿Y también hay amarillo?
[0:35:35.00]-[0:35:50.00]  Sí, lo hay amarillo, ahora más amarillo que blanco, blanco hay poco, pero yo me acuerdo aquí en casa que papá era muy exquisito con esas cosas y lo que podía hacer en casa que fuera bueno, primero a lo mejor, y sembraba mucho blanco.
[0:35:50.00]-[0:36:07.00]  Y ahora todavía, yo tengo un sobrino, bueno, el sobrino es mi marido que vive en Collía, un pueblo que hay antes de llegar a Riondas, que es donde lo traigo yo la harina, pues también lo siembra blanco y amarillo, tiene los dos.
[0:36:07.00]-[0:36:11.00]  Ah, yo esto no lo había sabía, yo pensaba que era siempre...
[0:36:11.00]-[0:36:24.00]  No, pues hay dos clases, lo hay blanco y lo hay amarillo, y es más fino lo blanco que lo amarillo, a la hora de ir a comprar si lo tienes blanco, compro blanco, que es mejor.
[0:36:24.00]-[0:36:35.00]  Se nota un montón además, a la hora de comerlo y de cocinarlo, de amasarlo, ya queda más fino lo blanco que lo amarillo.
[0:36:35.00]-[0:36:39.00]  Y nada más hija, no sé qué más te puedo contar.
[0:36:39.00]-[0:36:41.00]  ¿Aquí plantaban escanda?
[0:36:41.00]-[0:36:44.00]  No, aquí no, la escanda es de ayer.
[0:36:44.00]-[0:36:49.00]  De ayer, no, porque por allí preguntamos si aquí nunca se plantó.
[0:36:49.00]-[0:36:53.00]  No, bueno, antiguamente, antiguamente, no sé yo.
[0:36:53.00]-[0:36:55.00]  ¿Y allí maíz no hay?
[0:36:55.00]-[0:36:57.00]  Bueno, sí, allí maíz no, es verdad.
[0:36:57.00]-[0:36:59.00]  Ahí escanda, pero no maíz.
[0:36:59.00]-[0:37:02.00]  No sé si en escanda hay espatatas y eso sí.
[0:37:02.00]-[0:37:08.00]  Y aquí para lavar, para lavar tenían que ir al río.
[0:37:08.00]-[0:37:10.00]  Sí, sí, al río.
[0:37:10.00]-[0:37:13.00]  ¿Cómo llevaban el río, la reguera o...?
[0:37:13.00]-[0:37:18.00]  Pues mira, el río para esa parte, que es mayor, lleva más agua.
[0:37:18.00]-[0:37:24.00]  Aquí donde aparcastes, bajando un poquito abajo, hay una riega, llamamos la riega.
[0:37:24.00]-[0:37:27.00]  La riega es como en otros sitios la reguera.
[0:37:27.00]-[0:37:31.00]  Eso es, como en ayer la reguera, en ayer por ejemplo la reguera.
[0:37:31.00]-[0:37:33.00]  Sí, por eso, oye.
[0:37:33.00]-[0:37:35.00]  Sí, aquí se riega.
[0:37:35.00]-[0:37:46.00]  Y ahí vamos a lavar durante el invierno porque había más agua, pero de verano está más y menos agua, entonces íbamos al río.
[0:37:46.00]-[0:37:50.00]  Y en unas piedras ahí de rodillas a lavar.
[0:37:50.00]-[0:37:56.00]  ¿Y el agua aquí es, no sé, buena o...?
[0:37:56.00]-[0:37:59.00]  Sí, aquí muy buena el agua.
[0:37:59.00]-[0:38:02.00]  Aquí tenemos agua, aquí en casa, y el agua...
[0:38:02.00]-[0:38:03.00]  ¿Se puede beber?
[0:38:03.00]-[0:38:04.00]  Es del pueblo, sí, sí.
[0:38:04.00]-[0:38:10.00]  Además hay una fuente ahí, el monte, que viene en directo, y muy buena.
[0:38:10.00]-[0:38:14.00]  Y no pagamos agua ni nada, se puso...
[0:38:14.00]-[0:38:17.00]  ¿Pero desde cuándo tienen agua en las casas?
[0:38:17.00]-[0:38:20.00]  No, ya hace muchos años.
[0:38:20.00]-[0:38:27.00]  Y hace, bueno, no sé los años que hará, pero igual las 40 años hay agua en las casas.
[0:38:27.00]-[0:38:32.00]  ¿Y aquí no hay agua está termal, no? ¿De que sale caliente?
[0:38:32.00]-[0:38:34.00]  No, no, no.
[0:38:34.00]-[0:38:39.00]  Había una fuente que se perdió, que fue una pena que se haya perdido esa fuente.
[0:38:39.00]-[0:38:44.00]  Pero en el momento que empezó a haber agua en las casas, las fuentes que había los dejaron.
[0:38:44.00]-[0:38:50.00]  Y ya había una fuente aquí para arriba, que era donde íbamos a buscar la agua para beber, porque aquí...
[0:38:50.00]-[0:38:58.00]  cuando no había agua, lo de la reguera, cómo iba el ganado a beber y como eso, pues no se usaba, se iba a...
[0:38:58.00]-[0:39:06.00]  para fregar el suelo, pero lo de beber era aparte, entonces había que ir a una fuente que había aquí para arriba.
[0:39:06.00]-[0:39:09.00]  Por un caldero de agua para beber.
[0:39:09.00]-[0:39:16.00]  Y esa fuente era fría, fría en verano, y en el invierno caliente.
[0:39:16.00]-[0:39:17.00]  Ah, sí.
[0:39:17.00]-[0:39:19.00]  Sí, salía el agua.
[0:39:19.00]-[0:39:26.00]  Me acuerdo que íbamos a lavar cuando estaba muy frío, por el invierno íbamos a lavar aquella fuente, porque estaba el agua calentina.
[0:39:26.00]-[0:39:31.00]  En esta lavar estaba el agua templada allí.
[0:39:31.00]-[0:39:34.00]  ¿Y en verano cómo está el agua?
[0:39:34.00]-[0:39:39.00]  Aquí no, fría. Sí, sí, el agua aquí sale fría.
[0:39:39.00]-[0:39:49.00]  No, si lo tenemos en el depósito, bueno, el depósito está aquí, se ve, es tuve en mi casa, pero habrá un kilómetro donde está cogida la fuente.
[0:39:49.00]-[0:39:53.00]  Y está una fuente virgen en el monte que no...
[0:39:53.00]-[0:39:55.00]  Y antes tenían que ir a por el agua, claro.
[0:39:55.00]-[0:39:56.00]  Claro, claro.
[0:39:56.00]-[0:39:58.00]  ¿Y cómo era eso con...?
[0:39:58.00]-[0:40:02.00]  Con un caldero en la cabeza.
[0:40:02.00]-[0:40:05.00]  ¿Cómo me haces que fui yo?
[0:40:05.00]-[0:40:10.00]  Y se tenían que poner un... o en la cabeza, ¿cómo era?
[0:40:10.00]-[0:40:11.00]  El roño.
[0:40:11.00]-[0:40:14.00]  Aquí lo llamaban el roño, no la rodilla.
[0:40:14.00]-[0:40:17.00]  La rodilla, no, aquí era el roño.
[0:40:17.00]-[0:40:18.00]  Pero era lo mismo.
[0:40:18.00]-[0:40:22.00]  Sí, lo mismo, una cosa redonda que se hacía así.
[0:40:22.00]-[0:40:23.00]  Y se ponía en la cabeza.
[0:40:23.00]-[0:40:26.00]  Se ponía en la cabeza y encima el caldero.
[0:40:26.00]-[0:40:28.00]  Madre mía, ¿y cómo no se caía?
[0:40:28.00]-[0:40:37.00]  Pues no se caía y veníamos por el camino con ello en la cabeza y a lo mejor con otra lata o con otra cosa en la mano para aprovechar el viaje.
[0:40:37.00]-[0:40:40.00]  Madre mía, qué fuerte le está en el cuello.
[0:40:40.00]-[0:40:47.00]  Yo sí, yo creo que sí tengo que poner ahora que no ando ni dos pasos en el medio del caldero.
[0:40:47.00]-[0:40:50.00]  ¿Y así estuvo haciéndolo hasta que se casó, o cómo?
[0:40:50.00]-[0:40:54.00]  Sí, sí, me casé con 23 años.
[0:40:54.00]-[0:41:05.00]  Y cuando venía, bueno, después ya, casarme yo ya, todavía tardaron unos años, pero yo estuve casada 51 años.
[0:41:05.00]-[0:41:11.00]  En 52, pues, tuvimos las bodas de oro para dos años.
[0:41:11.00]-[0:41:14.00]  Y en enero murió mi marido.
[0:41:19.00]-[0:41:22.00]  Y no sé, no me hacía que quisiera que te cuente.
[0:41:22.00]-[0:41:23.00]  ¿De qué color se casó usted?
[0:41:23.00]-[0:41:27.00]  Pues de negro, hija, de negro.
[0:41:27.00]-[0:41:30.00]  Por entonces le llamaba de negro.
[0:41:30.00]-[0:41:33.00]  Parecía una viuda en lugar de una novia. Nunca quise ver las fotos.
[0:41:33.00]-[0:41:39.00]  Ahora mi hija anduvo rostaleando y yo siempre estuve escondida porque no quería que las viera nadie.
[0:41:39.00]-[0:41:41.00]  Y ahora ella buscó y me quedó.
[0:41:41.00]-[0:41:42.00]  ¿Pero por qué?
[0:41:42.00]-[0:41:48.00]  Porque me veía horrible, si estaba más vieja que hoy y tenía 23 años.
[0:41:48.00]-[0:41:53.00]  Sí, de verdad, no creas que no.
[0:41:53.00]-[0:41:58.00]  Mira, esta fue cuando quiso hacer muchas bodas de oro.
[0:41:58.00]-[0:42:00.00]  Ah, sí.
[0:42:00.00]-[0:42:05.00]  Que hizo un año en septiembre, hace dos años, en septiembre.
[0:42:05.00]-[0:42:08.00]  Estupenda aquí, eh. Toda su familia.
[0:42:08.00]-[0:42:13.00]  Este es el hijo, la nieta, que esta debe estar en la cama porque levantóse y volvió.
[0:42:13.00]-[0:42:16.00]  Esta la tengo aquí conmigo ahora.
[0:42:16.00]-[0:42:22.00]  Esta es otra nieta, esta es la hija, el marido y la nuera.
[0:42:22.00]-[0:42:24.00]  Estamos todos ahí.
[0:42:24.00]-[0:42:26.00]  Pero usted tiene que ser muy joven, ¿no?
[0:42:26.00]-[0:42:28.00]  Sí, joven, joven.
[0:42:28.00]-[0:42:32.00]  No tiene una pinta estupenda porque por lo que ha dicho debe tener 74 años.
[0:42:32.00]-[0:42:33.00]  Pues sí.
[0:42:33.00]-[0:42:38.00]  Pues por eso que mi hija quisiera yo tener la pinta que tiene usted en los 74.
[0:42:38.00]-[0:42:39.00]  No, pues ahora bajé mucho.
[0:42:39.00]-[0:42:41.00]  Parece que tiene 10 menos.
[0:42:41.00]-[0:42:46.00]  Ahora bajé mucho. Desde que quedé vivo estoy muy deprimida y paso días.
[0:42:46.00]-[0:42:52.00]  Mira, hoy un día que no tuve ganas ni de lavarme, ni de bicharme, ni de vestirme todavía.
[0:42:52.00]-[0:42:55.00]  Bueno, pues a ver si con nuestra visita se anima un poco.
[0:42:55.00]-[0:42:58.00]  Sí, ¿no? Ni más ni menos. ¿Qué remedio tengo?
[0:42:58.00]-[0:43:03.00]  Hay que animarme, pero cuesta, eh.
[0:43:03.00]-[0:43:08.00]  Estos son los nietos de la primera comunión.
[0:43:08.00]-[0:43:13.00]  Esta es la de la hija y esta es la del hijo.
[0:43:13.00]-[0:43:16.00]  Ah, qué guapos.
[0:43:16.00]-[0:43:18.00]  Están buenísimas.
[0:43:18.00]-[0:43:25.00]  Son muy guapes, eh. La verdad, no creen que sean nietos ni nietes, pero son guapes.
[0:43:25.00]-[0:43:28.00]  ¿Y su marido trabajaba en la mina?
[0:43:28.00]-[0:43:30.00]  No, su marido fue funerario.
[0:43:30.00]-[0:43:32.00]  Ah, fue funerario.
[0:43:32.00]-[0:43:35.00]  Teníamos una funeraria, pero caso no tenía.
[0:43:35.00]-[0:43:37.00]  En moneda.
[0:43:37.00]-[0:43:43.00]  No, su marido fue el año pasado, en julio, agosto, en Colón.
[0:43:43.00]-[0:43:47.00]  Ah, sí.
[0:43:47.00]-[0:43:54.00]  Ya estaba el mar, el año pasado ya pasó el mar, el verano.
[0:43:54.00]-[0:43:56.00]  O sea, su hermano hace...
[0:43:56.00]-[0:43:58.00]  Hace cidra, hace todo.
[0:43:58.00]-[0:44:00.00]  El de los perros, el de todo.
[0:44:00.00]-[0:44:02.00]  La leche, la de todo, las ovejas.
[0:44:02.00]-[0:44:05.00]  No, la leche no. Bueno, las ovejas tienen cuatro hijos.
[0:44:05.00]-[0:44:10.00]  Su hermano tiene vaca, tiene mucho ganado de carne.
[0:44:10.00]-[0:44:13.00]  También tiene diez o catorce gatos.
[0:44:13.00]-[0:44:15.00]  ¿Y hace cidra de casa? ¿Hace cidra de casa?
[0:44:15.00]-[0:44:16.00]  Sí, sí, sí.
[0:44:16.00]-[0:44:19.00]  ¿Y cómo hace la cidra?
[0:44:19.00]-[0:44:25.00]  La cidra se lleva en las manzanas y después tiene una cosa para triturarlo.
[0:44:25.00]-[0:44:30.00]  Antes se hacía así, a mayo.
[0:44:30.00]-[0:44:37.00]  Ahora tiene una cosa con motor, así, lo que tiene que hacer así.
[0:44:37.00]-[0:44:45.00]  Y se echa la manzana aquí y contiene un motor, lo muele y lo va cogiendo y después lo va a echar en el lagar.
[0:44:45.00]-[0:44:52.00]  Y después en el lagar se pisa, tiene un estable para poner encima.
[0:44:52.00]-[0:44:54.00]  Y un torno para apretar.
[0:44:54.00]-[0:44:56.00]  ¿Un torno para...?
[0:44:56.00]-[0:45:04.00]  Un torno para apretar la madera que pones encima de las manzanas y a trituradas para que las cidras salgan por abajo.
[0:45:04.00]-[0:45:08.00]  Y sale como si fuera una fuente.
[0:45:08.00]-[0:45:10.00]  ¿Y sale con mucha dulce?
[0:45:10.00]-[0:45:15.00]  Bueno, sí, pero sale dulce, salga muy rico, dulce.
[0:45:15.00]-[0:45:16.00]  ¿No sale...
[0:45:16.00]-[0:45:18.00]  No, no, no.
[0:45:18.00]-[0:45:23.00]  Cuando está recién está muy dulce.
[0:45:23.00]-[0:45:27.00]  Y después lo echan en unas barricas.
[0:45:27.00]-[0:45:29.00]  ¿Aquí se llaman barricas o picas?
[0:45:29.00]-[0:45:31.00]  Barricas o pipas, sí.
[0:45:31.00]-[0:45:33.00]  Oles dos cosas.
[0:45:33.00]-[0:45:40.00]  Y después cuando ya está la cidra que ya hirvió, que sale la espuma por el agujero del...
[0:45:40.00]-[0:45:42.00] ...tiene que hervir, que llame.
[0:45:42.00]-[0:45:47.00]  Porque eches una botella de cidra dulce y te sale por...
[0:45:47.00]-[0:45:55.00] ...eso de la botella, una espuma blanca que es la basura de la cidra y es cuando se está haciendo.
[0:45:55.00]-[0:46:03.00]  Y entonces después que ya está hirvió la cidra y que lo prueban y ven que está bien, pues lo embotellan.
[0:46:03.00]-[0:46:07.00]  Se corche, un corcho fuerte y ya está.
