[0:00:00.00]-[0:00:02.00]  Diganme tus nombres.
[0:14:17.00]-[0:14:19.00]  porque como son barrios
[0:14:19.00]-[0:14:21.00]  entonces no es barriado
[0:14:21.00]-[0:14:23.00]  cuando venías aquí a misa o algo
[0:14:23.00]-[0:14:25.00]  pero entonces decían
[0:14:25.00]-[0:14:27.00]  misa por la mañana y después de una tarde
[0:14:27.00]-[0:14:29.00]  venías al rosario
[0:14:29.00]-[0:14:31.00]  y te contaba si jugábamos ahí en la
[0:14:31.00]-[0:14:33.00]  plaza
[0:14:33.00]-[0:14:35.00]  o sea a saltar o a
[0:14:35.00]-[0:14:37.00]  o algo a la pelota
[0:14:37.00]-[0:14:39.00]  los hombres a la pelota o lo que sea
[0:14:39.00]-[0:14:41.00]  se pasaba un rato
[0:14:41.00]-[0:14:43.00]  ¿te contabas de algún juego típico?
[0:14:43.00]-[0:14:45.00]  por ejemplo los hombres empezaron con la pelota
[0:14:45.00]-[0:14:47.00]  y jugaban a las tamas por ejemplo
[0:14:47.00]-[0:14:49.00]  aquí eso nos han jugado
[0:14:49.00]-[0:14:51.00]  si también jugábamos
[0:14:51.00]-[0:14:53.00]  ¿y tanto chicos como chicas?
[0:14:53.00]-[0:14:55.00]  si, si, si y a saltar con la
[0:14:55.00]-[0:14:57.00]  bomba
[0:14:57.00]-[0:14:59.00]  y así esos juegos
[0:14:59.00]-[0:15:01.00]  los hombres la pelota
[0:15:01.00]-[0:15:03.00]  y las cartas
[0:15:03.00]-[0:15:05.00]  y por ahí
[0:15:05.00]-[0:15:07.00]  ¿y no le da la pena por ejemplo que los niños que ahora
[0:15:07.00]-[0:15:09.00]  los que viven más en ciudad no puedan estar
[0:15:09.00]-[0:15:11.00]  como se estaba aquí antes en los pueblos
[0:15:11.00]-[0:15:13.00]  siempre en la calle o en la parte de la tierra?
[0:15:13.00]-[0:15:15.00]  si, si claro que da pena
[0:15:15.00]-[0:15:17.00]  porque los niños aún
[0:15:17.00]-[0:15:19.00]  estaban aquí ahora que no pueden estar
[0:15:19.00]-[0:15:21.00]  así
[0:15:21.00]-[0:15:23.00]  aparte de que hay tanta circulación y tanto
[0:15:23.00]-[0:15:25.00]  movimiento pues
[0:15:25.00]-[0:15:27.00]  hay mucho peligro
[0:15:27.00]-[0:15:29.00]  ¿pero aquí
[0:15:29.00]-[0:15:31.00]  siguen habiendo niños?
[0:15:31.00]-[0:15:33.00]  hombre si, si aquí si
[0:15:33.00]-[0:15:35.00]  ¿que viven aquí?
[0:15:35.00]-[0:15:37.00]  si en el pueblo si, no hay muchos pero viven
[0:15:37.00]-[0:15:39.00]  ahí mismo en la casa esa hay dos niños
[0:15:39.00]-[0:15:41.00]  ¿pero tienen escuela?
[0:15:41.00]-[0:15:43.00]  no
[0:15:43.00]-[0:15:45.00]  ahí se ha dicho
[0:15:45.00]-[0:15:47.00]  los llevan sus padres
[0:15:47.00]-[0:15:49.00]  o si no pasa el autobús
[0:15:49.00]-[0:15:51.00]  y tienen que salir ahí a
[0:15:51.00]-[0:15:53.00]  la carretera
[0:15:53.00]-[0:15:55.00]  la carretera general que los coge el autobús
[0:15:55.00]-[0:15:57.00]  y comen en el colegio
[0:15:57.00]-[0:15:59.00]  y luego por la tarde los vuelven
[0:15:59.00]-[0:16:01.00]  si
[0:16:01.00]-[0:16:03.00]  nos ha dicho que hacían el jabón y eso
[0:16:03.00]-[0:16:05.00]  y la alimentación que
[0:16:05.00]-[0:16:07.00]  tenían antes
[0:16:07.00]-[0:16:09.00]  también era más accesible
[0:16:09.00]-[0:16:11.00]  mayormente lo que se criaban
[0:16:11.00]-[0:16:13.00]  que se criaban y que se tenía
[0:16:13.00]-[0:16:15.00]  que herdos
[0:16:15.00]-[0:16:17.00]  eso gallinas
[0:16:17.00]-[0:16:19.00]  tenía los huevos de casa, conejos, panomos
[0:16:19.00]-[0:16:21.00]  pollos
[0:16:21.00]-[0:16:23.00]  y luego corderos
[0:16:23.00]-[0:16:25.00]  que también se tenía ovejas
[0:16:25.00]-[0:16:27.00]  luego patatas, cebollas
[0:16:27.00]-[0:16:29.00]  tomates, pimientos
[0:16:29.00]-[0:16:31.00]  el vino también se hacía en casa
[0:16:31.00]-[0:16:33.00]  que tenías viñas
[0:16:33.00]-[0:16:35.00]  y se hacía el vino en casa y todo
[0:16:35.00]-[0:16:37.00]  mayormente antes
[0:16:37.00]-[0:16:39.00]  todo se... o sea que antiguamente
[0:16:39.00]-[0:16:41.00]  no hacia para salir del pueblo
[0:16:41.00]-[0:16:43.00]  poco, poco, poco
[0:16:43.00]-[0:16:45.00]  a comprar poco
[0:16:45.00]-[0:16:47.00]  ¿y para que se solía salir?
[0:16:47.00]-[0:16:49.00]  bueno aparte para visitar a alguien
[0:16:49.00]-[0:16:51.00]  para alguna cosa más, para médicos
[0:16:51.00]-[0:16:53.00]  pues si, pero
[0:16:53.00]-[0:16:55.00]  antes no sé
[0:16:55.00]-[0:16:57.00]  pues el médico de cabeza era lo que estaba
[0:16:57.00]-[0:16:59.00]  en incia y nada más fuera poco se salía
[0:16:59.00]-[0:17:01.00]  no sé si no había tantas
[0:17:01.00]-[0:17:03.00]  enfermedades o es que
[0:17:03.00]-[0:17:05.00]  no sé
[0:17:05.00]-[0:17:07.00]  no te cuidabas tanto
[0:17:07.00]-[0:17:09.00]  también, eso influye
[0:17:09.00]-[0:17:11.00]  si
[0:17:11.00]-[0:17:13.00]  aunque hayan cambiado algunas cosas
[0:17:13.00]-[0:17:15.00]  a peor
[0:17:15.00]-[0:17:17.00]  otras cosas a mejor
[0:17:17.00]-[0:17:19.00]  pues a mejor
[0:17:19.00]-[0:17:21.00]  ¿y eso pues?
[0:17:21.00]-[0:17:23.00]  si, de los médicos
[0:17:23.00]-[0:17:25.00]  y las enfermedades
[0:17:25.00]-[0:17:27.00]  o sea los enfermos y todo hay mucho mejor ahora
[0:17:27.00]-[0:17:29.00]  más asistencia y todo
[0:17:29.00]-[0:17:31.00]  ya lo creo, si
[0:17:31.00]-[0:17:33.00]  ¿y de la religión?
[0:17:33.00]-[0:17:35.00]  ¿de la religión?
[0:17:35.00]-[0:17:37.00]  pues mira hay de todo
[0:17:37.00]-[0:17:39.00]  hay de todo, si
[0:17:39.00]-[0:17:41.00]  aquí mira
[0:17:41.00]-[0:17:43.00]  que eres mayor pues
[0:17:43.00]-[0:17:45.00]  vienes aquí porque tienes fe
[0:17:45.00]-[0:17:47.00]  tienes vocación y te reúnes
[0:17:47.00]-[0:17:49.00]  y te ves con los vecinos y pasas un rato
[0:17:49.00]-[0:17:51.00]  como la dicen por la tarde
[0:17:51.00]-[0:17:53.00]  hasta ahora, pues no sé
[0:17:53.00]-[0:17:55.00]  pasas un rato y te reúnes
[0:17:55.00]-[0:17:57.00]  y te ves
[0:17:57.00]-[0:17:59.00]  y piensas que no te has mandado nada
[0:17:59.00]-[0:18:01.00]  por ejemplo cuando eran pequeños
[0:18:01.00]-[0:18:03.00]  bueno aparte la de cura se tenía mucho respeto
[0:18:03.00]-[0:18:05.00]  y le daba por favor
[0:18:05.00]-[0:18:07.00]  ya lo creo, si, si
[0:18:07.00]-[0:18:09.00]  y antes en las escuelas entraban
[0:18:09.00]-[0:18:11.00]  y la profesora contestaba
[0:18:11.00]-[0:18:13.00]  siempre quedaba con cenita
[0:18:13.00]-[0:18:15.00]  ¿y les hacían rezar también?
[0:18:15.00]-[0:18:17.00]  cuando llegábamos al colegio
[0:18:17.00]-[0:18:19.00]  te hacían rezar
[0:18:19.00]-[0:18:21.00]  cuando nos encontrábamos con un cura cualquiera que fuera
[0:18:21.00]-[0:18:23.00]  te daba la mano para que le empezara
[0:18:23.00]-[0:18:25.00]  y las mujeres con mantillas
[0:18:25.00]-[0:18:27.00]  si, si
[0:18:27.00]-[0:18:29.00]  ¿y tú te acuerdas de eso?
[0:18:29.00]-[0:18:31.00]  mira, que las tengo
[0:18:31.00]-[0:18:33.00]  ¿tienes las cuatro?
[0:18:33.00]-[0:18:35.00]  ahora nada
[0:18:35.00]-[0:18:37.00]  ahora nada
[0:18:37.00]-[0:18:39.00]  a veces aún en verano sin nada
[0:18:39.00]-[0:18:41.00]  de mangas, y enseñando el brazo
[0:18:41.00]-[0:18:43.00]  y buenos escotes
[0:18:43.00]-[0:18:45.00]  aquí la solecito
[0:18:45.00]-[0:18:47.00]  claro, claro
[0:18:47.00]-[0:18:49.00]  bueno, nosotras no
[0:18:49.00]-[0:18:51.00]  pero la gente joven pues si
[0:18:51.00]-[0:18:53.00]  y vuelva cambiando y todo
[0:18:53.00]-[0:18:55.00]  claro, nosotras
[0:18:55.00]-[0:18:57.00]  pues mira, con la edad
[0:18:57.00]-[0:18:59.00]  pues no te llevaras un trascote
[0:18:59.00]-[0:19:01.00]  y eso, pero vamos
[0:19:01.00]-[0:19:03.00]  no tan abrigadas como ahora
[0:19:09.00]-[0:19:11.00]  ¿ahí sonabas mi casa?
[0:19:11.00]-[0:19:13.00]  ¿es por aquí?
[0:19:13.00]-[0:19:15.00]  si, si
[0:19:15.00]-[0:19:17.00]  ¿bajaste del pueblo a cazar?
[0:19:17.00]-[0:19:19.00]  si, ya lo creo
[0:19:19.00]-[0:19:21.00]  la temporada del jabalí mucho
[0:19:21.00]-[0:19:23.00]  ¿es lo que más?
[0:19:23.00]-[0:19:25.00]  antes había conejos, pero ahora no
[0:19:25.00]-[0:19:27.00]  y hay perdices y todo eso
[0:19:27.00]-[0:19:29.00]  pero ahora hay mi poca casa
[0:19:29.00]-[0:19:31.00]  solamente los jabalí
[0:19:31.00]-[0:19:33.00]  ¿lo que más es verdad?
[0:19:33.00]-[0:19:35.00]  ¿lo que más se come?
[0:19:35.00]-[0:19:37.00]  si, si
[0:19:37.00]-[0:19:39.00]  es igual que la matanza del cerdo
[0:19:39.00]-[0:19:41.00]  que va a cazar lo mismo
[0:19:41.00]-[0:19:43.00]  hacen embutidos
[0:19:43.00]-[0:19:45.00]  otra cosa no, pero hacen embutidos
[0:19:45.00]-[0:19:47.00]  ¿y ahora te haces la matanza?
[0:19:47.00]-[0:19:49.00]  de jabalí
[0:19:49.00]-[0:19:51.00]  no, no, no, vamos
[0:19:51.00]-[0:19:53.00]  a mi me han traído, he temido jabalí porque me han traído
[0:19:53.00]-[0:19:55.00]  pero si en mi casa no
[0:19:55.00]-[0:19:57.00]  no eran cazados de jabalí
[0:19:57.00]-[0:19:59.00]  no iban
[0:19:59.00]-[0:20:01.00]  ¿y de qué resucitación?
[0:20:01.00]-[0:20:03.00]  de cerdo, si
[0:20:03.00]-[0:20:05.00]  ¿y cómo lo hacían?
[0:20:05.00]-[0:20:07.00]  pues mataban
[0:20:07.00]-[0:20:09.00]  el cerdo y cofías la sangre
[0:20:09.00]-[0:20:11.00]  y después
[0:20:11.00]-[0:20:13.00]  hacíamos tortetas de la sangre
[0:20:13.00]-[0:20:15.00]  con sangre, harina
[0:20:15.00]-[0:20:17.00]  y grasa
[0:20:17.00]-[0:20:19.00]  y hacíamos una pasta
[0:20:19.00]-[0:20:21.00]  una masa y después las hacíamos
[0:20:21.00]-[0:20:23.00]  así redondicas o
[0:20:23.00]-[0:20:25.00]  con un agujero y las hacíamos
[0:20:25.00]-[0:20:27.00]  en un caldero con agua
[0:20:27.00]-[0:20:29.00]  ¿y la morcilla?
[0:20:29.00]-[0:20:31.00]  la morcilla igual, la morcilla pero con el intestino
[0:20:31.00]-[0:20:33.00]  la morcilla
[0:20:33.00]-[0:20:35.00]  las tortetas sin intestino
[0:20:35.00]-[0:20:37.00]  la morcilla se necesitaba intestino
[0:20:37.00]-[0:20:39.00]  los lavábamos los
[0:20:39.00]-[0:20:41.00]  intestinos bien limpios y después
[0:20:41.00]-[0:20:43.00]  lo hacíamos con arroz
[0:20:43.00]-[0:20:45.00]  y sangre y
[0:20:45.00]-[0:20:47.00]  pan, hacíamos también otra
[0:20:47.00]-[0:20:49.00]  pasta y los lavábamos los
[0:20:49.00]-[0:20:51.00]  embutidos y a la vez la morcilla
[0:20:51.00]-[0:20:53.00]  y después las carnes más
[0:20:53.00]-[0:20:55.00]  buenas, hacíamos los embutidos
[0:20:55.00]-[0:20:57.00]  la longaniza, el solchichón
[0:20:57.00]-[0:20:59.00]  y chorizo
[0:20:59.00]-[0:21:01.00]  ¿y eso para consumo propio o luego también eso se vendía?
[0:21:01.00]-[0:21:03.00]  no, no, no, para el consumo propio
[0:21:03.00]-[0:21:05.00]  el año es muy largo
[0:21:05.00]-[0:21:07.00]  hay un refrán que dice
[0:21:07.00]-[0:21:09.00]  hay más días que longanizas
[0:21:11.00]-[0:21:13.00]  que era muy largo el año
[0:21:13.00]-[0:21:15.00]  se hacía con serba también
[0:21:15.00]-[0:21:17.00]  el lomo y la costilla
[0:21:17.00]-[0:21:19.00]  se hacía trozos y se
[0:21:19.00]-[0:21:21.00]  salaba un poquito y se guardaba
[0:21:21.00]-[0:21:23.00]  4 o 6 días así con sal y
[0:21:23.00]-[0:21:25.00]  después se hacía freír con aceite
[0:21:25.00]-[0:21:27.00]  se ponían unas
[0:21:27.00]-[0:21:29.00]  cacelas de barro
[0:21:29.00]-[0:21:31.00]  y las cubrías con aceite y se guardaba
[0:21:31.00]-[0:21:33.00]  todo ese tiempo eso
[0:21:33.00]-[0:21:35.00]  todo el año
[0:21:35.00]-[0:21:37.00]  sacando y sacando y aquello siempre se conservaba
[0:21:37.00]-[0:21:39.00]  entonces la mujer
[0:21:39.00]-[0:21:41.00]  era la que lo cocinaba y el hombre claro que
[0:21:41.00]-[0:21:43.00]  había alguna mujer que lo hiciese
[0:21:43.00]-[0:21:45.00]  no, no, no
[0:21:45.00]-[0:21:47.00]  si no mataba el cerdo no
[0:21:47.00]-[0:21:49.00]  ¿se adhista más de una persona para hacerlo?
[0:21:49.00]-[0:21:51.00]  si, o ya lo creo
[0:21:51.00]-[0:21:53.00]  te ayudabas con los vecinos
[0:21:53.00]-[0:21:55.00]  y el cerdo para cogerlo
[0:21:55.00]-[0:21:57.00]  ¿tú sabes que te querías que se
[0:21:57.00]-[0:21:59.00]  quiera estar quieto?
[0:21:59.00]-[0:22:01.00]  ¿y entonces tenías cuadras?
[0:22:01.00]-[0:22:03.00]  si, claro, claro
[0:22:03.00]-[0:22:05.00]  ¿tenían todos los animales ahí?
[0:22:05.00]-[0:22:07.00]  si, todo, todo
[0:22:07.00]-[0:22:09.00]  eso mismo era una cuadra
[0:22:09.00]-[0:22:11.00]  un conejar y todo eso, mira ahora no hay otra casa
[0:22:11.00]-[0:22:13.00]  todo, todo
[0:22:13.00]-[0:22:15.00]  ¿tenía vacas también?
[0:22:15.00]-[0:22:17.00]  también, algunas casas también
[0:22:17.00]-[0:22:19.00]  en mi casa no, pero algunas
[0:22:19.00]-[0:22:21.00]  casas también tenían vacas
[0:22:21.00]-[0:22:23.00]  si, mayormente ovejas
[0:22:23.00]-[0:22:25.00]  y cabras
[0:22:25.00]-[0:22:27.00]  ganabas entonces, ahora más bien
[0:22:27.00]-[0:22:29.00]  como las granjas tienen muchas
[0:22:29.00]-[0:22:31.00]  vacas
[0:22:31.00]-[0:22:33.00]  pero antes mayormente ovejas
[0:22:33.00]-[0:22:35.00]  cabras y cerdos
[0:22:35.00]-[0:22:37.00]  si, también se criaban cerdos pequeñitos
[0:22:37.00]-[0:22:39.00]  tenías cerdas
[0:22:39.00]-[0:22:41.00]  madres, si
[0:22:41.00]-[0:22:43.00]  y las hacías criar y te criaban
[0:22:43.00]-[0:22:45.00]  cerditos pequeños
[0:22:45.00]-[0:22:47.00]  y a los dos masivos así los vendías
[0:22:47.00]-[0:22:49.00]  ¿y no te gustaba mucho
[0:22:49.00]-[0:22:51.00]  mantenerlos a los animales?
[0:22:51.00]-[0:22:53.00]  pues un poco, si un poco si
[0:22:53.00]-[0:22:55.00]  pero luego siempre es beneficio
[0:22:55.00]-[0:22:57.00]  claro
[0:22:57.00]-[0:22:59.00]  de lo que criabas en el huerto
[0:22:59.00]-[0:23:01.00]  de las verduras, de los
[0:23:01.00]-[0:23:03.00]  patatas, de todo lo que se criaba
[0:23:03.00]-[0:23:05.00]  en el huerto se nos hacía
[0:23:05.00]-[0:23:07.00]  comida para ellos
[0:23:07.00]-[0:23:09.00]  luego de lo del campo, del grano
[0:23:09.00]-[0:23:11.00]  de la cebada o del trigo
[0:23:11.00]-[0:23:13.00]  pues también
[0:23:13.00]-[0:23:15.00]  pero ya no se hace eso
[0:23:15.00]-[0:23:17.00]  no, habrá
[0:23:17.00]-[0:23:19.00]  ahora ya se lo comrán
[0:23:19.00]-[0:23:21.00]  y nota mucho
[0:23:21.00]-[0:23:23.00]  la diferencia, el sabor
[0:23:23.00]-[0:23:25.00]  de las cosas cuando las hacías
[0:23:25.00]-[0:23:27.00]  pues no, ya nos hemos acostumbrado
[0:23:27.00]-[0:23:29.00]  porque ya llevamos
[0:23:29.00]-[0:23:31.00]  un trabajo
[0:23:31.00]-[0:23:33.00]  eso está bien, ¿no?
[0:23:33.00]-[0:23:35.00]  no, si que decíamos
[0:23:35.00]-[0:23:37.00]  hay otra cosa es criarlo en casa, más
[0:23:37.00]-[0:23:39.00]  buen sabor y todo, pero ya nos hemos acostumbrado
[0:23:39.00]-[0:23:41.00]  y ya lo encontramos tan bueno
[0:23:41.00]-[0:23:43.00]  como lo hicíamos en casa
[0:23:43.00]-[0:23:45.00]  y como ya nos cansamos, que somos mayores
[0:23:45.00]-[0:23:47.00]  por 10 años, lo vamos a comprar
[0:23:47.00]-[0:23:49.00]  y así, ya está hecho
[0:23:49.00]-[0:23:51.00]  ¿y un día normal?
[0:23:51.00]-[0:23:53.00]  ¿cómo?
[0:23:53.00]-[0:23:55.00]  ¿cómo eran los días normales?
[0:23:55.00]-[0:23:57.00]  sí, o por ejemplo
[0:23:57.00]-[0:23:59.00]  lo que va a ser levantarnos y desayunar
[0:23:59.00]-[0:24:01.00]  y después por las cosas de la
[0:24:01.00]-[0:24:03.00]  casa y a lavar como tenías que
[0:24:03.00]-[0:24:05.00]  ir a lavar fuera, cogerte el balde
[0:24:05.00]-[0:24:07.00]  de la ropa hacia el lado
[0:24:07.00]-[0:24:09.00]  y a lavar al lavadero
[0:24:09.00]-[0:24:11.00]  y otros al
[0:24:11.00]-[0:24:13.00]  huerto, a lo mejor a hacer
[0:24:13.00]-[0:24:15.00]  cosas en el huerto
[0:24:15.00]-[0:24:17.00]  y luego lo de la casa, la comida
[0:24:17.00]-[0:24:19.00]  que entonces se guisaba con
[0:24:19.00]-[0:24:21.00]  leña, con un fuego bajo
[0:24:21.00]-[0:24:23.00]  con leña, pues todo el día tenías que estar guisando
[0:24:23.00]-[0:24:25.00]  porque si no, no te se cocía la comida
[0:24:25.00]-[0:24:27.00]  no te se cocía la comida
[0:24:27.00]-[0:24:29.00]  ¿verdad?
[0:24:29.00]-[0:24:31.00]  ¿estaba muy bien vivido?
[0:24:31.00]-[0:24:33.00]  ¿el padre del hombre o el de la mujer?
[0:24:33.00]-[0:24:35.00]  sí, sí, ya lo creo
[0:24:35.00]-[0:24:37.00]  llevarles la comida al campo
[0:24:37.00]-[0:24:39.00]  llevarles la comida al campo y todo
[0:24:39.00]-[0:24:41.00]  todos los días, todos los días
[0:24:41.00]-[0:24:43.00]  pero quizá no ayudas en casa
[0:24:43.00]-[0:24:45.00]  porque estaban todos los días fuera
[0:24:45.00]-[0:24:47.00]  cuando venían a casa tenían que dar
[0:24:47.00]-[0:24:49.00]  de comer a los animales
[0:24:49.00]-[0:24:51.00]  a las
[0:24:51.00]-[0:24:53.00]  caballerías de la granza
[0:24:53.00]-[0:24:55.00]  a las ovejas o a los corderitos pequeños
[0:24:55.00]-[0:24:57.00]  tenían que darles la comida y ya tenían
[0:24:57.00]-[0:24:59.00]  tarea también en casa
[0:24:59.00]-[0:25:01.00]  pero si había mujeres que ayudasen en el campo
[0:25:01.00]-[0:25:03.00]  también
[0:25:03.00]-[0:25:05.00]  también, sí, yo ya lo creo
[0:25:05.00]-[0:25:07.00]  me tocaba ir al campo también
[0:25:07.00]-[0:25:09.00]  uy, todo, cuando la bendimia
[0:25:09.00]-[0:25:11.00]  no lo creo
[0:25:11.00]-[0:25:13.00]  cuando se cogían las judías, las cebollas
[0:25:13.00]-[0:25:15.00]  y todo
[0:25:15.00]-[0:25:17.00]  y las patatas y todo
[0:25:17.00]-[0:25:19.00]  y nos querían ayudar
[0:25:19.00]-[0:25:21.00]  y nos iban a gubernar
[0:25:21.00]-[0:25:23.00]  eso sí
[0:25:23.00]-[0:25:25.00]  ¿y lo normal es dejar la escuela
[0:25:25.00]-[0:25:27.00]  pronto para ayudar en casa?
[0:25:27.00]-[0:25:29.00]  pues no, eso no
[0:25:29.00]-[0:25:31.00]  eso no, pero
[0:25:31.00]-[0:25:33.00]  sí que, o sea
[0:25:33.00]-[0:25:35.00]  como nos ponían de veres cuando llegabas a casa
[0:25:35.00]-[0:25:37.00]  ahora mismo en este tiempo que ya iba
[0:25:37.00]-[0:25:39.00]  pronto, pues te mandaban a cuidar
[0:25:39.00]-[0:25:41.00]  los animales, a lo mejor
[0:25:41.00]-[0:25:43.00]  o hacer algo
[0:25:43.00]-[0:25:47.00]  y ahora, ¿cómo es su vida?
[0:25:47.00]-[0:25:49.00]  ¿la nuestra?
[0:25:49.00]-[0:25:51.00]  pues nada, a nuestras jubiladas
[0:25:51.00]-[0:25:53.00]  hacernos lo que se puede
[0:25:53.00]-[0:25:55.00]  y ya está
[0:25:55.00]-[0:25:57.00]  pero se levantan y...
[0:25:57.00]-[0:25:59.00]  sí, por desayunar, o haciarnos desayunar
[0:25:59.00]-[0:26:01.00]  y luego haces la cama
[0:26:01.00]-[0:26:03.00]  lo de casa, luego pues
[0:26:03.00]-[0:26:05.00]  barrer y fregar
[0:26:05.00]-[0:26:07.00]  y todo
[0:26:07.00]-[0:26:09.00]  y como a veces las nueras
[0:26:09.00]-[0:26:11.00]  trabajan, pues tienes que cuidar los nietos
[0:26:11.00]-[0:26:13.00]  o tienes que prepararles la comida
[0:26:13.00]-[0:26:15.00]  o algo
[0:26:15.00]-[0:26:17.00]  ¿y en invierno qué tal están? porque como ahora mal se, a lo mejor no pueden dar un paseo
[0:26:17.00]-[0:26:19.00]  ¿qué pueden hacer hoy?
[0:26:19.00]-[0:26:21.00]  ah pues mira la televisión
[0:26:21.00]-[0:26:23.00]  programa tras programa
[0:26:23.00]-[0:26:25.00]  la calefacción y en marcha
[0:26:25.00]-[0:26:27.00]  y la televisión y allí
[0:26:27.00]-[0:26:29.00]  ¿mejor que con la radio?
[0:26:29.00]-[0:26:31.00]  mejor hombre, mejor, claro
[0:26:31.00]-[0:26:33.00]  ¿y qué programas ve de usted?
[0:26:33.00]-[0:26:35.00]  pues yo me gusta mucho el telediario
[0:26:35.00]-[0:26:37.00]  y programas así
[0:26:37.00]-[0:26:39.00]  de distracción
[0:26:39.00]-[0:26:41.00]  películas por la tarde
[0:26:41.00]-[0:26:43.00]  y así cosas
[0:26:43.00]-[0:26:45.00]  corrientes, no veo así
[0:26:45.00]-[0:26:47.00]  nada del otro mundo
[0:26:55.00]-[0:26:57.00]  sí, hemos estado ya
[0:26:57.00]-[0:26:59.00]  ayer ire recorriendo
[0:26:59.00]-[0:27:01.00]  ah, hola
[0:27:01.00]-[0:27:03.00]  claro, claro
[0:27:05.00]-[0:27:07.00]  estaba con la torre que hemos subido
[0:27:07.00]-[0:27:09.00]  para montar
[0:27:09.00]-[0:27:11.00]  ¿y ahí no son las cascantes?
[0:27:11.00]-[0:27:13.00]  no, acá
[0:27:13.00]-[0:27:15.00]  Avizanda
[0:27:15.00]-[0:27:17.00]  ¿Avizanda vais?
[0:27:17.00]-[0:27:19.00]  no estamos en Avizanda
[0:27:19.00]-[0:27:21.00]  ahora vamos para Saviña Nigo
[0:27:21.00]-[0:27:23.00]  y desde Avizanda he subido aquí
[0:27:23.00]-[0:27:25.00]  ¿y en ahí se han habido estado?
[0:27:25.00]-[0:27:27.00]  sí, hemos estado
[0:27:27.00]-[0:27:29.00]  ¿y ahora vais a Saviña Nigo?
[0:27:29.00]-[0:27:31.00]  sí
[0:27:31.00]-[0:27:33.00]  ya vamos todo el día desde por la mañana
[0:27:33.00]-[0:27:35.00]  claro, sí
[0:27:35.00]-[0:27:37.00]  para descansar
[0:27:37.00]-[0:27:39.00]  claro, por eso ahora ya encontréis poco
[0:27:39.00]-[0:27:41.00]  gente por la calle para entrevistar
[0:27:41.00]-[0:27:43.00]  claro, sí
[0:27:43.00]-[0:27:45.00]  y no voy a tener ni unos kilómetros
[0:27:45.00]-[0:27:47.00]  de la casa de Saviña Nigo
[0:27:47.00]-[0:27:49.00]  ¿cómo cuántos?
[0:27:49.00]-[0:27:51.00]  no sé, no te lo puedo decir yo
[0:27:51.00]-[0:27:53.00]  pero el tiempo a lo mejor
[0:27:53.00]-[0:27:55.00]  una hora
[0:27:55.00]-[0:27:57.00]  sí, sí, una hora sí
[0:27:57.00]-[0:27:59.00]  ya lo creo
[0:27:59.00]-[0:28:01.00]  como te la rogues antes, por ejemplo cuando no había coches
[0:28:01.00]-[0:28:03.00]  después de dar garro
[0:28:03.00]-[0:28:05.00]  los burros
[0:28:05.00]-[0:28:07.00]  los caballos
[0:28:07.00]-[0:28:09.00]  con los mulos, y nos acabamos
[0:28:09.00]-[0:28:11.00]  los burros, los mulos
[0:28:11.00]-[0:28:13.00]  con el carro, después con los carros
[0:28:13.00]-[0:28:15.00]  tirado por caballos
[0:28:15.00]-[0:28:17.00]  y nos hace el carro
[0:28:19.00]-[0:28:21.00]  ¿y era normal, por ejemplo, que alguien
[0:28:21.00]-[0:28:23.00]  por ejemplo, la primera vez que llegó un tractor
[0:28:23.00]-[0:28:25.00]  oh sí, hombre, ya lo creo
[0:28:25.00]-[0:28:27.00]  eso que llama mucho la atención
[0:28:27.00]-[0:28:29.00]  ya lo creo, como cuando llegó la televisión
[0:28:29.00]-[0:28:31.00]  igual
[0:28:31.00]-[0:28:33.00]  más aún, eso, los tractores también
[0:28:33.00]-[0:28:35.00]  ya lo creo
[0:28:35.00]-[0:28:37.00]  igual así va mejor invento, ¿cree usted?
[0:28:37.00]-[0:28:39.00]  que ayuda más
[0:28:39.00]-[0:28:41.00]  para mí el tractor, porque
[0:28:41.00]-[0:28:43.00]  para la labranza
[0:28:43.00]-[0:28:45.00]  se hace con más facilidad, el trabajo es más duro
[0:28:45.00]-[0:28:47.00]  la televisión es que te distraes
[0:28:47.00]-[0:28:49.00]  y tienes noticias, te enteras
[0:28:49.00]-[0:28:51.00]  pero para el trabajo
[0:28:51.00]-[0:28:53.00]  para hacer esfuerzos, mejor el tractor
[0:28:53.00]-[0:28:55.00]  que no hay que hacer
[0:28:55.00]-[0:28:57.00]  ¿y antes cómo os informaban?
[0:28:57.00]-[0:28:59.00]  pues mira, la radio
[0:28:59.00]-[0:29:01.00]  el periódico
[0:29:01.00]-[0:29:03.00]  y si no, nada, mira
[0:29:03.00]-[0:29:05.00]  a lo mejor se moría uno y te enterabas
[0:29:05.00]-[0:29:07.00]  después
[0:29:07.00]-[0:29:09.00]  claro, pero
[0:29:09.00]-[0:29:11.00]  ¿el periódico que pueden ver ustedes
[0:29:11.00]-[0:29:13.00]  es de aquí, de La Comarca?
[0:29:13.00]-[0:29:15.00]  sí, o lo también
[0:29:15.00]-[0:29:17.00]  viene el Heraldo de Zaragoza
[0:29:17.00]-[0:29:19.00]  el altaragón de Huesca, luego la vanguardia
[0:29:19.00]-[0:29:21.00]  de Barcelona
[0:29:21.00]-[0:29:23.00]  y el deportivo de Zaragoza
[0:29:23.00]-[0:29:25.00]  y por ahí no, periódicos
[0:29:25.00]-[0:29:27.00]  hay bastantes
