[0:00:00.00]-[0:00:10.00]  ¿Cuál es su nombre?
[0:20:47.00]-[0:20:51.00]  Ahora este año también cayó, pero otra vez se caía nieve hasta pa' abajo,
[0:20:51.00]-[0:20:55.00]  hasta las casas, y frío.
[0:20:55.00]-[0:20:59.00]  Entonces, no había carretera.
[0:20:59.00]-[0:21:03.00]  ¿Cómo se hacía la gente, digamos, para bajar a la playa?
[0:21:03.00]-[0:21:05.00]  ¿Cuánto tiempo se tardaba más o menos?
[0:21:05.00]-[0:21:08.00]  Una vez, y algún burro y caminando.
[0:21:08.00]-[0:21:10.00]  Caminando, se caminaba mucho.
[0:21:10.00]-[0:21:11.00]  Se caminaba mucho.
[0:21:11.00]-[0:21:13.00]  Y caminaba y caminaba.
[0:21:13.00]-[0:21:14.00]  Entonces no había coche tampoco.
[0:21:14.00]-[0:21:16.00]  No había coche, no había carretera.
[0:21:16.00]-[0:21:18.00]  Algun coche, gasolidad, buco.
[0:21:18.00]-[0:21:22.00]  Uno era pequeño, había poco coche.
[0:21:22.00]-[0:21:26.00]  ¿Y los cabellos los traían de dónde?
[0:21:26.00]-[0:21:29.00]  De África los traía y los cambiaban por cabras.
[0:21:29.00]-[0:21:32.00]  Venían por manada a venderlo a ti.
[0:21:32.00]-[0:21:35.00]  Yo me acuerdo chiquita,
[0:21:35.00]-[0:21:38.00]  mi hermana y yo, que nosotros vivimos en Fania,
[0:21:38.00]-[0:21:41.00]  pero después está el túnel y está el escobonal,
[0:21:41.00]-[0:21:42.00]  que ya pertenece a Huíbar.
[0:21:42.00]-[0:21:44.00]  Entonces nos mandaba mi madre a moler el gofio,
[0:21:44.00]-[0:21:46.00]  y teníamos que comprar el trigo hormigio,
[0:21:46.00]-[0:21:50.00]  tostarlo en la casa con leña, hacer la hoguera y poner él ahí.
[0:21:50.00]-[0:21:54.00]  Los chenquen, que se llamaba esto de tostar el trigo,
[0:21:54.00]-[0:21:56.00]  hormigio, tostarlo.
[0:21:56.00]-[0:21:58.00]  Entonces a mi madre le ponían el talego,
[0:21:58.00]-[0:22:00.00]  y se vayan a moler allá el escobonal,
[0:22:00.00]-[0:22:02.00]  a casa de uno que tenía un molino de gofio,
[0:22:02.00]-[0:22:03.00]  y ir a moler.
[0:22:03.00]-[0:22:07.00]  Y después no se estén porque no va nadie a ir a buscar.
[0:22:07.00]-[0:22:10.00]  Ustedes, si no les van a moler temprano, se marchan.
[0:22:10.00]-[0:22:13.00]  Pero mi hermana y yo, con tal de no perder mañana la escuela,
[0:22:13.00]-[0:22:14.00]  porque si no teníamos que perder la escuela
[0:22:14.00]-[0:22:16.00]  para volver a buscar el gofio mañana,
[0:22:16.00]-[0:22:18.00]  esperábamos, pues esperábamos.
[0:22:18.00]-[0:22:20.00]  ¿Qué se nos hacía de noche?
[0:22:20.00]-[0:22:22.00]  Pues veníamos para y para acá de noche, llorando.
[0:22:22.00]-[0:22:24.00]  Mi hermana y yo nos iban a ir a encontrarnos.
[0:22:24.00]-[0:22:26.00]  Cuando llegamos debajo del túnel nos encontramos,
[0:22:26.00]-[0:22:30.00]  como los camellos están callados, con una placa camello.
[0:22:30.00]-[0:22:31.00]  Empezamos a gritar, mi hermano.
[0:22:31.00]-[0:22:34.00]  Y yo a los moros no hablábamos, pero nosotros lo entendíamos.
[0:22:34.00]-[0:22:37.00]  Y después cuando yo había, entonces había fielatos.
[0:22:37.00]-[0:22:41.00]  En cada municipio había un fielato para controlar lo que tú...
[0:22:41.00]-[0:22:45.00]  Porque no te dejabas, hasta hacienda y entonces estaban los fielatos.
[0:22:45.00]-[0:22:46.00]  ¿Por qué es un fielato?
[0:22:46.00]-[0:22:51.00]  Un fielato era que tú, por ejemplo, tenías que pagar por todo lo que llevaras tú.
[0:22:51.00]-[0:22:55.00]  Entonces, por todo lo que tú llevaras de mercancía a vender en otro sitio,
[0:22:55.00]-[0:22:57.00]  tenías que pagar en ese fielato.
[0:22:57.00]-[0:23:03.00]  Si llevabas dos conejos tenías que pagar, pues, media peseta o una peseta, qué sé yo.
[0:23:03.00]-[0:23:06.00]  Si llevabas un saco papas para venderlo en otro sitio tenías que pagar.
[0:23:06.00]-[0:23:10.00]  Por todo lo que tú pasaras por ese fielato había que pagar.
[0:23:10.00]-[0:23:18.00]  Y entonces cogió y estaba el fielatero ahí por la partita allá del túnel, que todavía está ahí la casa, el fielatero.
[0:23:18.00]-[0:23:23.00]  Y entonces cogimos y fuimos mi hermana y yo, después vino el fielatero, el pobre, con un farolito que tenía,
[0:23:23.00]-[0:23:24.00]  hasta que nos trajo para arriba.
[0:23:24.00]-[0:23:28.00]  Entonces pasamos el túnel, barranco para acá, caminando.
[0:23:28.00]-[0:23:29.00]  El fielatero era de Huina.
[0:23:29.00]-[0:23:36.00]  Mi madre después nos dio, nos pegó, mi madre nos pegó encima porque no hicimos lo que nos dijo.
[0:23:36.00]-[0:23:39.00]  Y aquí había otros, aquí más allá había otros.
[0:23:39.00]-[0:23:42.00]  Entre el municipio de Edfane y Arico hay otros.
[0:23:42.00]-[0:23:47.00]  Sí, en la audición de Arico, porque está casi en la linda.
[0:23:47.00]-[0:23:49.00]  De un pueblo a otro no podía pasar nada sin pagar.
[0:23:49.00]-[0:23:50.00]  No había que pagar.
[0:23:50.00]-[0:23:54.00]  Entonces había un cántar, ¿cómo era el cántar que había entonces?
[0:23:54.00]-[0:23:58.00]  Dice, al pasar por el fielato, ¿cómo era?
[0:23:58.00]-[0:23:59.00]  No me acuerdo.
[0:23:59.00]-[0:24:00.00]  Al pasar por el fielato.
[0:24:00.00]-[0:24:01.00]  ¿Lo he oído?
[0:24:01.00]-[0:24:02.00]  Sí, no me acuerdo.
[0:24:02.00]-[0:24:07.00]  Dice, al pasar por el fielato.
[0:24:07.00]-[0:24:13.00]  Que decía, dice, por aquí no pasa usted si no me enseñas el conejo, porque como la gente escondía todo.
[0:24:13.00]-[0:24:17.00]  Y era un cántar que le sacaron después y era bonito, pero yo no me acuerdo.
[0:24:17.00]-[0:24:19.00]  Sí, porque llevaban conejos.
[0:24:19.00]-[0:24:22.00]  Tú por todo había que pagar, ya te digo, era una hacienda.
[0:24:22.00]-[0:24:25.00]  De la estilo de antes, pero una hacienda.
[0:24:25.00]-[0:24:29.00]  Imagino que nadie quería al fielato.
[0:24:29.00]-[0:24:31.00]  No, ni lo querían y cogían.
[0:24:31.00]-[0:24:32.00]  Tendrían que pagar.
[0:24:32.00]-[0:24:36.00]  No, y antes, aparte de los fielatos, los ayuntamientos también cobraban.
[0:24:36.00]-[0:24:45.00]  Cobraban por un perro, por un burro, por una bestia, por las cabras, cobraban por todo.
[0:24:45.00]-[0:24:52.00]  Por una máquina de coser, si te dedicabas a coser algo para la calle, te cosabas por una bestia, te cobraban por todo.
[0:24:52.00]-[0:24:55.00]  Los municipios, los ayuntamientos.
[0:24:55.00]-[0:25:01.00]  Tenía un perrito en la casa, tenía que pagar, y una cabra había que pagar también.
[0:25:01.00]-[0:25:03.00]  Por todo lo que tenía había que pagar.
[0:25:03.00]-[0:25:07.00]  Y no había perras porque no teníamos de qué hacer perras.
[0:25:11.00]-[0:25:17.00]  Entonces el vino aquí, porque nosotros estuvimos ayer en el norte y allá se producía el vino.
[0:25:17.00]-[0:25:20.00]  Sí, el vino sí lo he visto yo siempre.
[0:25:20.00]-[0:25:21.00]  Sí, sí, sí.
[0:25:21.00]-[0:25:24.00]  Vino sí, se ha cosechado aquí toda la vida.
[0:25:24.00]-[0:25:30.00]  Ya te digo, vino, higos pasados, las papas, siempre.
[0:25:30.00]-[0:25:33.00]  De cosas que te diera la tierra, te producían la tierra.
[0:25:33.00]-[0:25:35.00]  Trigo, cebada, lenteja.
[0:25:35.00]-[0:25:39.00]  Cebada, trigo, todo eso, lenteja, todo eso lo plantaban.
[0:25:39.00]-[0:25:42.00]  Entonces estaba plantado, tú ves ahora que no está nada plantado,
[0:25:42.00]-[0:25:47.00]  pero entonces estaba plantado del mar a cumbre, donde había un rinconcito, ahí se plantaba.
[0:25:47.00]-[0:25:49.00]  Y garbanzos, y garbanzos.
[0:25:49.00]-[0:25:52.00]  Y garbanzos, todo, todo, todo lo teníamos que plantar nosotros.
[0:25:52.00]-[0:25:54.00]  Todo lo teníamos que plantar nosotros.
[0:25:54.00]-[0:25:56.00]  Todo para comer.
[0:25:56.00]-[0:26:01.00]  Al que se le daba y al que no, pues si no llovía.
[0:26:01.00]-[0:26:07.00]  Y aquí no había destilería para hacer el vino, no había donde hacer el...
[0:26:07.00]-[0:26:09.00]  para la vendimia, para la lagar.
[0:26:09.00]-[0:26:10.00]  Sí, sí, sí.
[0:26:10.00]-[0:26:11.00]  Cada uno lo hacía.
[0:26:11.00]-[0:26:13.00]  Tenía su lagar, su lagar, era lagar.
[0:26:13.00]-[0:26:14.00]  Cada uno tenía su lagar.
[0:26:14.00]-[0:26:17.00]  Un lagar que tenían, como decir, una tanquilla de cemento,
[0:26:17.00]-[0:26:21.00]  se le hacía una torna por un lado y era tanquillita para recogerlo
[0:26:21.00]-[0:26:24.00]  y ahí se repisaba, se ponía la uva toda.
[0:26:24.00]-[0:26:26.00]  Y el que no tenía, se lo...
[0:26:26.00]-[0:26:27.00]  Se lo medía el vecino.
[0:26:27.00]-[0:26:30.00]  Se lo entretaba de uno a otro, ¿no?
[0:26:30.00]-[0:26:32.00]  Que no tenía.
[0:26:32.00]-[0:26:34.00]  ¿Y esa era tarea de hombres y mujeres o era...?
[0:26:34.00]-[0:26:37.00]  La para coger la uva, si para hacer el mosto, no,
[0:26:37.00]-[0:26:40.00]  para el mosto lo hacían los hombres porque dice que las mujeres si se metían
[0:26:40.00]-[0:26:42.00]  en el lagar después no parían.
[0:26:42.00]-[0:26:44.00]  Eso lo decía toda la vida.
[0:26:44.00]-[0:26:46.00]  Es verdad, ese dicho.
[0:26:46.00]-[0:26:49.00]  Ese dicho estaba, sí.
[0:26:49.00]-[0:26:51.00]  Y bueno, es que estamos hablando así de dichos.
[0:26:51.00]-[0:26:56.00]  Hay leyendas aquí sobre, de Faznist, sobre cosas que pasaron en el pasado,
[0:26:56.00]-[0:27:00.00]  no sé, sobre lo huanche, el huanche, ¿cómo se llamaban los...?
[0:27:00.00]-[0:27:01.00]  El huanche, huanche, huanche.
[0:27:01.00]-[0:27:02.00]  ¿No hay historias ahí sobre...?
[0:27:02.00]-[0:27:05.00]  Sí, aquí hay un cementerio de huanche.
[0:27:05.00]-[0:27:09.00]  Está bonito porque hay un cementerio de huanche que se lo encontraron
[0:27:09.00]-[0:27:11.00]  y entonces empezaron a saquearlo.
[0:27:11.00]-[0:27:14.00]  Y no sé quién fueron, ¿los ingleses o quién fueron que trajeron ahora la momia
[0:27:14.00]-[0:27:15.00]  para aquí, para tener...
[0:27:15.00]-[0:27:17.00]  Ah, pero ese es la...
[0:27:17.00]-[0:27:19.00]  Un cementerio de huanche que hay.
[0:27:19.00]-[0:27:21.00]  En el barranco de aquí, en el barranco de aquí.
[0:27:21.00]-[0:27:24.00]  Y acá hay momia, no sé qué, pero eso lo saquearon ahí.
[0:27:24.00]-[0:27:28.00]  No, no, no, no, resulta que hay una historia, tú no has leído el libro este que está...
[0:27:28.00]-[0:27:30.00]  No, pero ahí no hay nada ya.
[0:27:30.00]-[0:27:34.00]  Hay un libro que escribió este de Guimar, el alcalde de Guimar.
[0:27:34.00]-[0:27:40.00]  Resulta que había un cementerio, encontraron un cementerio de momia
[0:27:40.00]-[0:27:42.00]  y la saquearon y sacó.
[0:27:42.00]-[0:27:44.00]  Llevaron una, una o dos fueron, no sé cuántas,
[0:27:44.00]-[0:27:47.00]  para Indio, la tierra, no sé para dónde llevaron la momia.
[0:27:47.00]-[0:27:52.00]  Que ahora la trajeron otra vez para aquí y llevaron más.
[0:27:52.00]-[0:27:58.00]  Entonces cogió uno, un agente que la que vio el saqueo y no estaba de acuerdo,
[0:27:58.00]-[0:28:00.00]  que estaba saqueando eso.
[0:28:00.00]-[0:28:06.00]  Y entonces cogió unos barrenos y los disparó y sepultó toda la cueva,
[0:28:06.00]-[0:28:09.00]  toda donde estaba el cementerio, los sepultó con unos barrenos,
[0:28:09.00]-[0:28:13.00]  cayeron los ricos y sepultó toda la entrada.
[0:28:13.00]-[0:28:18.00]  Y entonces ahora él sabe dónde estaba el hombre que lo hizo, lo sabe.
[0:28:18.00]-[0:28:25.00]  Y entonces tenía que dejarle el secreto a otro, antes de morir tiene que dejarle el secreto a otro,
[0:28:25.00]-[0:28:28.00]  dónde está el cementerio y ahí sucesivamente.
[0:28:28.00]-[0:28:31.00]  Y está así, pero no se sabe dónde está.
[0:28:31.00]-[0:28:33.00]  Sabe de esa persona sola.
[0:28:33.00]-[0:28:36.00]  Y está en el libro este que escribió este, cómo se llama, de Guimar,
[0:28:36.00]-[0:28:37.00]  este era el alcalde este.
[0:28:37.00]-[0:28:39.00]  Pues ese no sabía yo.
[0:28:39.00]-[0:28:40.00]  Pues sí, sí, sí.
[0:28:40.00]-[0:28:42.00]  La hueva que está aquí más allá.
[0:28:42.00]-[0:28:45.00]  Y esta que está aquí por el túnel, para acá, esa que está ahí,
[0:28:45.00]-[0:28:47.00]  que siempre han estado ahí y se han metido.
[0:28:47.00]-[0:28:48.00]  Por túnel, por barrio.
[0:28:48.00]-[0:28:49.00]  Sí, sí, sí.
[0:28:49.00]-[0:28:53.00]  Pues ahí había un cementerio, está el cementerio de Huachilo,
[0:28:53.00]-[0:28:54.00]  pero yo no me acuerdo cómo se llama.
[0:28:54.00]-[0:28:55.00]  Y ese dónde está, por ahí también.
[0:28:55.00]-[0:28:59.00]  Es que no te digo que no se sabe, que han escarbado.
[0:28:59.00]-[0:29:05.00]  No te acuerdas ahora Díaz que trajeron esa momia de ahí, de dónde fue,
[0:29:05.00]-[0:29:07.00]  venga la tierra, se la llevaron.
[0:29:07.00]-[0:29:11.00]  Varias momias, que no las quieren traer todas porque dicen que se estropean.
[0:29:11.00]-[0:29:15.00]  Y traeron esta muy, en una urna, la trajeron muy conservada,
[0:29:15.00]-[0:29:18.00]  y llegó conservada aquí a Santa Cruz, y no quieren.
[0:29:18.00]-[0:29:20.00]  Entonces, como yo, como vi que estaban saqueando,
[0:29:20.00]-[0:29:23.00]  era un cementerio de huachis que había ahí, y la estaban saqueando,
[0:29:23.00]-[0:29:27.00]  y el huachi lo sacaron y estaba ahí, íntegro.
[0:29:27.00]-[0:29:30.00]  Está ahí, lo trajeron ahora para aquí, para tener IFE.
[0:29:30.00]-[0:29:32.00]  Porque ahí sí, nunca había...
[0:29:32.00]-[0:29:35.00]  Si vas al museo lo verás, porque hace poco que lo trajeron,
[0:29:35.00]-[0:29:39.00]  pregunta por el último huachi que trajeron y de dónde lo trajeron,
[0:29:39.00]-[0:29:41.00]  que yo no me acuerdo.
[0:29:41.00]-[0:29:43.00]  Pues, de poco yo esta gente,
[0:29:43.00]-[0:29:46.00]  era esta gente que trabajaba en galerías y trabajaba,
[0:29:46.00]-[0:29:49.00]  y vi a esta gente de antes, estilo huachi también,
[0:29:49.00]-[0:29:52.00]  poco yo y tiro unos barrenos, y sepultó toda la cueva.
[0:29:52.00]-[0:29:55.00]  Cayeron todos esos ricos así, y sepultó toda la cueva.
[0:29:55.00]-[0:29:58.00]  Entonces, la han buscado, la han buscado y han preguntado dónde está,
[0:29:58.00]-[0:30:01.00]  y se han caminado todos y no encuentran la cueva ahora.
[0:30:01.00]-[0:30:03.00]  Ahora ya no encuentran la cueva.
[0:30:03.00]-[0:30:07.00]  Y sabe, y va dejando de un heredero, de uno a otro, dónde está la cueva.
[0:30:07.00]-[0:30:11.00]  Pero es un secreto y no pueden decir dónde está.
[0:30:11.00]-[0:30:14.00]  Uno a otro sí, lo sabe nada más una persona.
[0:30:14.00]-[0:30:17.00]  Y el último que lo sabía que era Valladares.
[0:30:17.00]-[0:30:21.00]  Valladares que también está en el libro este.
[0:30:21.00]-[0:30:26.00]  Se lo debo dicho a otra persona, pero no saben a quién tampoco.
[0:30:26.00]-[0:30:28.00]  Pero Valladares fue el último.
[0:30:28.00]-[0:30:30.00]  O a lo mejor será en Wimar, tal vez en Badajoz.
[0:30:30.00]-[0:30:33.00]  No, no, el cementerio está en el Barranco Herque.
[0:30:33.00]-[0:30:35.00]  En el Barranco Herque.
[0:30:35.00]-[0:30:38.00]  El cementerio está aquí y cada rato viene.
[0:30:38.00]-[0:30:40.00]  ¿Será la cueva esa?
[0:30:40.00]-[0:30:42.00]  No sé, no está en la cueva, no se sabe.
[0:30:42.00]-[0:30:46.00]  No te digo que no se sabe porque aquí caeron todos esos ricos encima y la sepultaron.
[0:30:46.00]-[0:30:50.00]  Porque esa es bajita, esa tiene que pasar arrastrándose.
[0:30:50.00]-[0:30:51.00]  Sí, pero esta...
[0:30:51.00]-[0:30:53.00]  Y la de adentro es alta.
[0:30:53.00]-[0:30:55.00]  Pero esta fue que la sepultaron.
[0:30:55.00]-[0:30:59.00]  Esta fue que la sepultaron, esta sepultada por los ricos que cayeron.
[0:30:59.00]-[0:31:01.00]  Pero no hay nada, ahí no hay nada.
[0:31:01.00]-[0:31:03.00]  No, ahí se ha metido todo.
[0:31:03.00]-[0:31:06.00]  La cueva de las miles y tantas momias, ¿no?
[0:31:06.00]-[0:31:10.00]  Pero eso lo saquearon, hay muchos siglos.
[0:31:10.00]-[0:31:15.00]  A lo mejor, hubo tres siglos que esas momias estaban.
[0:31:15.00]-[0:31:17.00]  Pero entonces se las llevaron.
[0:31:17.00]-[0:31:19.00]  La saquearon todo.
[0:31:19.00]-[0:31:21.00]  Bueno, ya estaban dentro de la cueva.
[0:31:21.00]-[0:31:25.00]  O busca el libro ese y cómpralo, que lo escribió este, ¿cómo se llama?
[0:31:25.00]-[0:31:27.00]  Sí, porque ese será otra cueva tal vez.
[0:31:27.00]-[0:31:28.00]  Sí, ya te digo.
[0:31:28.00]-[0:31:34.00]  Además está en secreto y viene en el Guía, esto del mapa de Tenerife, en la Guía.
[0:31:34.00]-[0:31:38.00]  Tienes la cueva esta, la otra que está ahí, que él dice, está ahí también.
[0:31:38.00]-[0:31:41.00]  Está la cueva del guano.
[0:31:41.00]-[0:31:46.00]  También aquí hay hornos hebrean todavía, que ya no hay alguno.
[0:31:46.00]-[0:31:51.00]  Que venían de Portugal para las vecinas.
[0:31:51.00]-[0:31:58.00]  Yo puedo verlos traídos para... Le había dicho, ya sabía que se hablaba de eso.
[0:31:58.00]-[0:32:05.00]  Es que yo tengo un cló que según el horno... Bueno, yo lo puedo...
[0:32:05.00]-[0:32:12.00]  Es así, el horno es un horno más grande encima, ¿no?
[0:32:12.00]-[0:32:15.00]  Lo hacían como en algo pendiente, ¿no?
[0:32:15.00]-[0:32:18.00]  Eso era para sacar...
[0:32:18.00]-[0:32:23.00]  Cortaban los pinos, sacaban la tea para los barcos,
[0:32:23.00]-[0:32:30.00]  porque antiguamente los barcos eran de madera y donde únicamente había pinos que podían dar labrea,
[0:32:30.00]-[0:32:37.00]  uno le decimos resina, otro le decimos brea, era aquí, en las islas.
[0:32:37.00]-[0:32:45.00]  Y entonces eso es un horno aquí, que es el grande,
[0:32:45.00]-[0:32:50.00]  y después debajo tiene una tarjea y aquí hay otro.
[0:32:50.00]-[0:32:56.00]  Y después es donde hacían los bloques de brea para los barcos.
[0:32:56.00]-[0:33:06.00]  Entonces aquí ponían la leña, los pinos, la tea, y eso pegaban a la resina, le daban fuego,
[0:33:06.00]-[0:33:10.00]  pegaban a la resina para aquí, para el depósito, para otro depósito.
[0:33:10.00]-[0:33:16.00]  Y después allí le daban fuego también a aquel, donde volvía a caer la resina,
[0:33:16.00]-[0:33:21.00]  que sería para refinarla más, se ven los hornos así.
[0:33:21.00]-[0:33:26.00]  Y después hacía otra tarjea que era ya donde hacían los bloques.
[0:33:26.00]-[0:33:28.00]  Ya salía ya...
[0:33:28.00]-[0:33:33.00]  Después bajarían con camello para el mar y con bestias o algo.
[0:33:33.00]-[0:33:35.00]  La brea era para darle a las maderas.
[0:33:35.00]-[0:33:38.00]  Eso fue en 1600.
[0:33:38.00]-[0:33:46.00]  La brea era para darle a las maderas para conservarlas y que flotaran los barcos y que se conservaran.
[0:33:46.00]-[0:33:51.00]  Sí, porque todos los barcos que tenían salideros calentaban eso,
[0:33:51.00]-[0:33:58.00]  y al calentarlos se derrite y entonces se las daban, porque eso queda como una piedra, igual que esto.
[0:33:58.00]-[0:34:05.00]  Por ejemplo, todavía, no sé si tú lo habrás visto, las botas estas que son para poner el vino,
[0:34:05.00]-[0:34:11.00]  son de piel, dentro se le pone brea para conservar el vino.
[0:34:11.00]-[0:34:14.00]  Sí, tendrán algo de agudo por dentro.
[0:34:14.00]-[0:34:19.00]  En mi casa siempre han traído botas de regalo y cuando se van poniendo bien sale la brea.
[0:34:19.00]-[0:34:25.00]  Y cuando Cristóbal Colón salió a descubrir las Américas, se le rompieron unos timones
[0:34:25.00]-[0:34:28.00]  y él vino a reponerlos aquí a Tenerife.
[0:34:28.00]-[0:34:32.00]  Pero estaba el Teide de la Erución y no pudo entrar.
[0:34:32.00]-[0:34:35.00]  Y después se fue para la Gomera y de la Gomera se fue para Las Palmas,
[0:34:35.00]-[0:34:40.00]  porque estaba el Teide cuando estaba el Teide de la Erución.
[0:34:40.00]-[0:34:42.00]  Eso está en la historia.
[0:34:42.00]-[0:34:49.00]  Sí, todos los barcos, claro, los barcos, todos, compraron la brea esa, los barcos grandes, ¿no?
[0:34:49.00]-[0:34:52.00]  Compraron la brea para poderse la...
[0:34:52.00]-[0:34:54.00]  ¿Y el pino canario por qué?
[0:34:54.00]-[0:34:58.00]  Porque si tenían un salidero tenían que tenerla para poderlo tapar.
[0:34:58.00]-[0:34:59.00]  ¿Y el pino canario en mi país?
[0:34:59.00]-[0:35:01.00]  Porque antes el monte llegaba hasta aquí.
[0:35:01.00]-[0:35:03.00]  Y eso te le voy a decir, el monte.
[0:35:03.00]-[0:35:05.00]  Y el monte lo quemaron todo así.
[0:35:05.00]-[0:35:08.00]  Sacando la madera porque era muy importante la madera canaria.
[0:35:08.00]-[0:35:15.00]  El pino canario era muy importante y lo fueron cortando porque allá hay un camino por el escobonal
[0:35:15.00]-[0:35:21.00]  que se llama el arrastradero porque era por donde arrastraban para ir a los barcos las maderas.
[0:35:21.00]-[0:35:22.00]  Se llama el arrastradero.
[0:35:22.00]-[0:35:24.00]  No hay madera, también llevaban.
[0:35:24.00]-[0:35:26.00]  Sí, sí, la madera, la madera se llama el arrastradero.
[0:35:26.00]-[0:35:29.00]  Aparte de la brea llevaban la madera.
[0:35:29.00]-[0:35:35.00]  Bueno, ahí mismo donde yo vivo en la zarza aquí más arriba había un cerradero.
[0:35:35.00]-[0:35:40.00]  Lo que pasa es que después se cayó y mató animales cuando se cayó.
[0:35:40.00]-[0:35:49.00]  Eso hay como cuatro siglos o por ahí, tres o cuatro siglos según la historia.
[0:35:49.00]-[0:35:57.00]  Y se cayó el cerradero y allí hay una fuente y hay un tornado grande y se fue cortado allí mismo.
[0:35:57.00]-[0:36:00.00]  Estaba todo lleno de vino.
[0:36:00.00]-[0:36:04.00]  Y de la madera la embarcan por el roque, por mi idea.
[0:36:04.00]-[0:36:06.00]  Sí, ahí estaba el embarcadero, los roques.
[0:36:06.00]-[0:36:08.00]  Ahí estaba el embarcadero.
[0:36:08.00]-[0:36:11.00]  Y mi madre cuando era chiquitita, que mi...
[0:36:11.00]-[0:36:17.00]  Yo soy de tradición de caladora, tradición de una artesanía que hay aquí en Canarias.
[0:36:17.00]-[0:36:20.00]  Y mi madre me decía siempre que se acordaba de ir...
[0:36:20.00]-[0:36:24.00]  Cuando estaba el Mar Bueno venían los veleros de las palmas
[0:36:24.00]-[0:36:29.00]  y traían las semillas de las papas, tres semillas de garbanzos y traían abono.
[0:36:29.00]-[0:36:35.00]  Y después iba mi madre, mi abuela y mis tías que eran más grandes, calaban colchas y calaban.
[0:36:35.00]-[0:36:39.00]  Y iba mi abuelo con un burro que tenía, iba los roques.
[0:36:39.00]-[0:36:44.00]  Cuando venían los veleros que estaba el Mar Bueno, iban los roques, venían los de las palmas,
[0:36:44.00]-[0:36:51.00]  traían semillas, ellos le daban abono y ellos le vendían, le daban por una colcha que calaba mi tía y mi mamá
[0:36:51.00]-[0:36:55.00]  y mi abuela, le daban cinco pesetas.
[0:36:55.00]-[0:37:01.00]  Y después de cinco pesetas las compraban en semillas y abono porque ahí venían los veleros a los roques.
[0:37:01.00]-[0:37:04.00]  Sí, cuando venían con el contrabando.
[0:37:04.00]-[0:37:09.00]  Y después del contrabando, me acuerdo yo cuando les trape lo que venían ahí que los agarraban.
[0:37:09.00]-[0:37:11.00]  Cuando estaban las cosas que empezaron...
[0:37:11.00]-[0:37:14.00]  Yo también me acuerdo, el camión que tenía...
[0:37:14.00]-[0:37:15.00]  Los camulloneros.
[0:37:15.00]-[0:37:24.00]  El camión que tenía el padre de mi abuelo, no traban mucha mercancía para arriba.
[0:37:24.00]-[0:37:27.00]  Ellos les traban por los roques.
[0:37:27.00]-[0:37:32.00]  Entraban por ahí, entraban y ahí estaban acechando como los piratas.
[0:37:32.00]-[0:37:36.00]  Cuando llegaban los barcos, esos los camulloneros se llamaban, ¿verdad?
[0:37:36.00]-[0:37:41.00]  Tenían los barcos, se quedaban en alta mar y con unos barcos más pequeñitos traían la mercancía hasta la tierra.
[0:37:41.00]-[0:37:49.00]  Estaba en barcadero y después ahí las repartían y traían cosas que estaban en contrabando que no había aquí a la venta.
[0:37:49.00]-[0:37:50.00]  No, que no había que comer.
[0:37:50.00]-[0:37:52.00]  No había después de ahí.
[0:37:52.00]-[0:37:57.00]  Traían de todo y después lo vendían como les daba las ganas.
[0:37:57.00]-[0:38:00.00]  ¿Y quién era aquí el patrono de FASBIA?
[0:38:00.00]-[0:38:04.00]  San Joaquín, el que es el único que tiene fundamento en el pueblo.
[0:38:04.00]-[0:38:08.00]  Decía un señor mayor, dice el único que tiene fundamento en este pueblo es San Joaquín.
[0:38:08.00]-[0:38:11.00]  El pobre está ahí y no dice nada.
[0:38:11.00]-[0:38:13.00]  No, sí, el de toda la vida.
[0:38:13.00]-[0:38:15.00]  ¿Y cuándo son las fiestas?
[0:38:15.00]-[0:38:22.00]  Fueron el 26 de julio, es el día de Santa Ana y San Joaquín, que son los abuelos de Cristo.
[0:38:22.00]-[0:38:25.00]  Se celebra aquí el día de los abuelos y de los matrimonios.
[0:38:25.00]-[0:38:29.00]  Y después la fiesta de la cena mediados de agosto.
[0:38:29.00]-[0:38:33.00]  ¿Y cómo se celebra? ¿Cómo era antes la celebración?
[0:38:33.00]-[0:38:40.00]  Pues antes era más o menos un baile, antes, antes, igual me acuerdo yo cuando era muchacha, un día de fiesta y la procesión y ya está.
[0:38:40.00]-[0:38:49.00]  Y la misa, la misa, a las doce y baile, verbena, a las doce del día había, era la misa, cuando se había terminado, a continuación de la misa había una verbena.
[0:38:49.00]-[0:38:56.00]  Y después por la tarde empezaba a las cinco, a las seis, o a las cuatro, a las cinco empezaba la verbena otra vez.
[0:38:56.00]-[0:39:01.00]  Lucha Canaria, los fuegos y verbena después hasta la amanecida.
[0:39:01.00]-[0:39:05.00]  Y mi madre siempre ponía ventorrillo y mi padre ahí ponía un ventorrillo.
[0:39:05.00]-[0:39:06.00]  ¿Qué es un ventorrillo?
[0:39:06.00]-[0:39:08.00]  Un ventorrillo es donde se vende…
[0:39:08.00]-[0:39:10.00]  Se vende la bebida.
[0:39:10.00]-[0:39:11.00]  Bebida, comida.
[0:39:11.00]-[0:39:15.00]  Y se ponía ventorrillo mi madre y mi padre ahí.
[0:39:15.00]-[0:39:17.00]  Eso se usan todavía.
