[0:00:00.00]-[0:00:01.00]  ¿Era eso?
[0:31:01.00]-[0:31:11.00]  Hay que avisar al veterinario, hay que sacar una guía para matar el cerdo tuyo y... un follón.
[0:31:11.00]-[0:31:21.00]  Eso es... aunque las matanzas que hacíamos estaban los cerdos vacunados, estaba sano y los vacunabas,
[0:31:21.00]-[0:31:33.00]  venía también el veterinario en ese tiempo, pero ahora tienen que hacer la prueba de la carne, porque la sobrasada es cruda
[0:31:33.00]-[0:31:46.00]  y que hay eso que llaman enfermedad. Pero yo de esto nunca he visto que nadie haya tenido nada de eso que inventan ahora.
[0:31:46.00]-[0:31:56.00]  Ahora, triquinosis se llama eso. Y te obligan a hacer un...
[0:31:56.00]-[0:32:08.00]  Y lo malo es, como todo, de hoy en día, que te pueden hacer la sobrasada, pero si tú has hecho la prueba de sobrasada,
[0:32:08.00]-[0:32:21.00]  aunque la encuentres buena, que no se nota eso, si tiene... si el resultado, al cabo de 20 días, no tengas prisa,
[0:32:21.00]-[0:32:32.00]  que eso, hoy en día, para hacer un análisis, pero tú te vas a urgencias y al cabo de una hora y media lo tienes, o menos,
[0:32:32.00]-[0:32:47.00]  pues eso para ellos tiene que estar como un cultivo. Supongo que ahora no lo sé cómo lo hacen, pero que eso luego te hace tirar todas las sobrasadas.
[0:32:47.00]-[0:32:49.00]  ¿Cómo te hace tirarlas? ¿Van a tu casa?
[0:32:49.00]-[0:32:52.00]  Sí, sí, sí, sí.
[0:32:52.00]-[0:33:08.00]  Van a tu casa, tú has declarado que hacía la matanza, has puesto este cerdo y tal, y digamos, si has guardado un jamón que está crudo
[0:33:08.00]-[0:33:15.00]  y la sobrasada que está cruda, todo eso te dice, ah, venga, todo eso ha incinerado.
[0:33:15.00]-[0:33:31.00]  Y antes se hacía, que yo he visto, que se volvía blanca la sobrasada, que eso a veces también la sobrasada se pega,
[0:33:31.00]-[0:33:44.00]  pero eso nunca han querido decir de qué es, pero eso pasaba porque es la limpieza, como todo, como casi todo.
[0:33:44.00]-[0:33:57.00]  Que eso, pues a lo mejor al limpiar las tripas, se limpiaban luego cuando habían quitado todo de dentro de las tripas,
[0:33:57.00]-[0:34:03.00]  se hacía con sal, vinagre y limón.
[0:34:03.00]-[0:34:05.00]  Sal, vinagre y limón.
[0:34:05.00]-[0:34:09.00]  Eso se daba tres o cuatro pasadas para que no...
[0:34:09.00]-[0:34:11.00]  ¿Eso se llamaba de alguna manera?
[0:34:11.00]-[0:34:22.00]  No, era la limpieza de las tripas, yo en mi casa siempre lo he visto así, y eso era para depurar o desinfectar la tripa para que no...
[0:34:22.00]-[0:34:35.00]  Pero no siempre está el dueño eso delante, que a lo mejor hay tres o cuatro personas y a lo mejor un trozo no lo pasaban bien
[0:34:35.00]-[0:34:43.00]  o te quedaba algo, igual que a lo mejor limpiar los platos y al fregar pues te puede quedar, yo que sé, una mancha de aceite pegada o...
[0:34:43.00]-[0:34:54.00]  Pues eso, que no... y la sobrasada se volvía blanca, porque además de productos naturales no se ponía nada más a la sobrasada.
[0:34:54.00]-[0:35:02.00]  Sal, pimiento rojo y pimiento picante, no se ponía nada más.
[0:35:02.00]-[0:35:04.00]  Que llevaba a la carne...
[0:35:04.00]-[0:35:12.00]  Y llevaba a la carne y grasa, porque también con la carne le añadía el grasa para que sea suave,
[0:35:12.00]-[0:35:16.00]  por si no le ponías nada de grasa te quedaba muy seca luego cuando...
[0:35:16.00]-[0:35:17.00]  Estaba como chorizo.
[0:35:17.00]-[0:35:20.00]  Sí, sí, quedaba más así.
[0:35:20.00]-[0:35:31.00]  Y eso yo he visto que si se volvía blanca, volver a pastarla.
[0:35:31.00]-[0:35:42.00]  Sacarla, hacer una tripa nueva, comprarla y vaciarla y volverla a trempar.
[0:35:42.00]-[0:35:44.00]  ¿Eso cómo se llamaba?
[0:35:44.00]-[0:35:52.00]  Eso venía a ser un repastón, porque volvías a amasarla para que se mezclaran bien las cosas,
[0:35:52.00]-[0:35:56.00]  pero no le podías añadir sal porque ya estaba en su punto,
[0:35:56.00]-[0:36:04.00]  pero a lo mejor le podías poner más pimiento rojo o más pimiento picante.
[0:36:04.00]-[0:36:07.00]  Eso también variaba según...
[0:36:07.00]-[0:36:12.00]  Porque eso también para luego cuando las colgabas en la pecha,
[0:36:12.00]-[0:36:22.00]  eso también se hacía un huvento con harina, pimienta negra, pero eso era para que no fueran las moscas.
[0:36:22.00]-[0:36:31.00]  Se ponía hasta laurel y algún pimiento picante triturado allí para que no te tiraran...
[0:36:31.00]-[0:36:34.00]  las moscas te pusieran los huevos allí.
[0:36:34.00]-[0:36:43.00]  Pero eso de las obras a la blanca en mi casa no lo he visto nunca.
[0:36:43.00]-[0:36:46.00]  Pero eso no... sé que hay.
[0:36:46.00]-[0:36:47.00]  De la corriente.
[0:36:47.00]-[0:36:50.00]  Sí, sí, sé que hay.
[0:36:50.00]-[0:36:52.00]  Y...
[0:36:52.00]-[0:36:55.00]  ¿Y estamos hablando de Buñola? ¿O de qué pueblo era?
[0:36:55.00]-[0:36:58.00]  No, eso era Campos, Yucmayor.
[0:36:58.00]-[0:37:01.00]  Campos, Yucmayor, vale, sí, sí.
[0:37:01.00]-[0:37:04.00]  Sí, en Buñola no he hecho nunca de matanzas.
[0:37:04.00]-[0:37:06.00]  Ah, vale.
[0:37:06.00]-[0:37:09.00]  No, yo desciendo de por allí, de por Campos.
[0:37:09.00]-[0:37:11.00]  Toda la vida ha vivido...
[0:37:11.00]-[0:37:18.00]  Sí, en Yucmayor hasta los 14 y luego hasta los 25 en Campos.
[0:37:18.00]-[0:37:20.00]  ¿Y la mili la hizo aquí?
[0:37:20.00]-[0:37:22.00]  No, con los moror.
[0:37:22.00]-[0:37:24.00]  Ah, la...
[0:37:24.00]-[0:37:26.00]  En el Ayun.
[0:37:26.00]-[0:37:28.00]  Ah, la...
[0:37:28.00]-[0:37:30.00]  La mili...
[0:37:30.00]-[0:37:33.00]  ¿Era en dos años de aquí? ¿No? ¿O era uno?
[0:37:33.00]-[0:37:34.00]  No, uno.
[0:37:34.00]-[0:37:35.00]  Era uno.
[0:37:35.00]-[0:37:39.00]  Uno y me regalaron 40 días.
[0:37:39.00]-[0:37:40.00]  Que ya va bien.
[0:37:40.00]-[0:37:41.00]  Sí.
[0:37:41.00]-[0:37:44.00]  El año que se murió Franco.
[0:37:44.00]-[0:37:48.00]  Tuve que ir al funeral a la fuerza.
[0:37:48.00]-[0:37:49.00]  Bueno.
[0:37:49.00]-[0:37:51.00]  No, no pasó nada.
[0:37:51.00]-[0:37:56.00]  Pero había la Marcha Verde también, cuando hice la mili.
[0:37:56.00]-[0:38:01.00]  De hecho los 40 días esos me los regalaron porque me los desidenciaron antes.
[0:38:01.00]-[0:38:02.00]  Ah, vaya.
[0:38:02.00]-[0:38:05.00]  O sea, ¿por qué nos teníamos que ir de allí?
[0:38:05.00]-[0:38:09.00]  Y todo... y después pues volvió a Campos aquí...
[0:38:09.00]-[0:38:15.00]  Sí, volví a Campos y me casé, compré un piso en Palma y viví...
[0:38:15.00]-[0:38:20.00]  20... no es 25 en Palma.
[0:38:20.00]-[0:38:26.00]  Y bueno, compré eso de Buñuelo hace 27 años.
[0:38:26.00]-[0:38:27.00]  Qué bien.
[0:38:27.00]-[0:38:31.00]  Sí, porque ha trabajado, bueno, a partir de las matanzas también en el campo y...
[0:38:31.00]-[0:38:34.00]  No, trabajaba en excavaciones y desmontes.
[0:38:34.00]-[0:38:35.00]  Ah.
[0:38:35.00]-[0:38:41.00]  Hay muchos desastres de Palma hechos míos.
[0:38:41.00]-[0:38:42.00]  Pues no será menos.
[0:38:42.00]-[0:38:43.00]  No, no, no.
[0:38:43.00]-[0:38:54.00]  Estoy con eso de la profesión más... como Julio Igüesier me siento más o menos.
[0:38:54.00]-[0:38:57.00]  Yendo a menos.
[0:38:57.00]-[0:39:00.00]  Sí, porque era famoso.
[0:39:00.00]-[0:39:09.00]  O sea, y ahora para hacer lo que hacía o de lo que sabes,
[0:39:09.00]-[0:39:13.00]  pues tienes que tener un cursillo de ocho horas.
[0:39:13.00]-[0:39:15.00]  Que te lo regalan por asistencia.
[0:39:15.00]-[0:39:16.00]  Claro.
[0:39:16.00]-[0:39:18.00]  Y que no te enseñan nada.
[0:39:18.00]-[0:39:21.00]  En la mayoría de los casos, nada.
[0:39:21.00]-[0:39:24.00]  Pero todo es igual eso.
[0:39:24.00]-[0:39:28.00]  Y eso no... eso es como una dictadura encubierta.
[0:39:28.00]-[0:39:33.00]  Es... si quitas la tecnología que ha salido,
[0:39:33.00]-[0:39:38.00]  es como si estuviéramos en el tiempo que Colón descubrió América, más o menos.
[0:39:38.00]-[0:39:44.00]  Que ahora se duda y todo, si también lo descubrió.
[0:39:44.00]-[0:39:46.00]  ¿Y la caza?
[0:39:46.00]-[0:39:50.00]  Porque me hablaba antes de ir a cazar, de... solían... ¿cómo solían?
[0:39:50.00]-[0:39:53.00]  Sí, yo no he sido nunca de eso.
[0:39:53.00]-[0:39:59.00]  Pero igual que tampoco voy del fútbol, pero...
[0:39:59.00]-[0:40:02.00]  pero que el que quiera ir, que vaya, ¿no?
[0:40:02.00]-[0:40:03.00]  No sé si me entiende.
[0:40:03.00]-[0:40:04.00]  Vale, vale.
[0:40:04.00]-[0:40:07.00]  Sí, de joven sí he ido a cazar.
[0:40:07.00]-[0:40:10.00]  Tordos o conejos.
[0:40:10.00]-[0:40:13.00]  Pero que no es una...
[0:40:13.00]-[0:40:16.00]  Es algo que me gusta y me gusta contemplarlo hoy.
[0:40:16.00]-[0:40:18.00]  Todavía eso.
[0:40:18.00]-[0:40:21.00]  Pero cazar no voy de...
[0:40:21.00]-[0:40:24.00]  No, no, no.
[0:40:24.00]-[0:40:26.00]  Muy bien. ¿Cuándo son las fiestas?
[0:40:26.00]-[0:40:32.00]  ¿Hay alguna fiesta en la Romería, alguna fiesta en popular?
[0:40:32.00]-[0:40:33.00]  Bueno, en...
[0:40:33.00]-[0:40:34.00]  Los Santos, el Patron...
[0:40:34.00]-[0:40:40.00]  Sí. En Yucmayor había en... Pascua,
[0:40:40.00]-[0:40:45.00]  que se iba la Romería de Cura y Gras y todo eso.
[0:40:45.00]-[0:40:49.00]  Eso es el lunes de Pascua, se iba.
[0:40:49.00]-[0:40:52.00]  Y ahora han cambiado los domingos, porque no...
[0:40:52.00]-[0:40:56.00]  Y en Campos hay en febrero San Blay,
[0:40:56.00]-[0:41:00.00]  que hay una ermita en medio de los huertos,
[0:41:00.00]-[0:41:07.00]  que hay en Yucmayor en Machecano y en Campos en Marhuerto.
[0:41:07.00]-[0:41:10.00]  Venía a ser una cosa como La Puebla,
[0:41:10.00]-[0:41:15.00]  que en La Puebla también hoy solo se dedican a horticultura.
[0:41:15.00]-[0:41:27.00]  Pero antes también había vacas y había toros y en Campos, pues quedan...
[0:41:27.00]-[0:41:30.00]  En ese tiempo que estaba yo en Campos,
[0:41:30.00]-[0:41:37.00]  a lo mejor había 800 o 1200 vaquerías.
[0:41:37.00]-[0:41:43.00]  Y ahora creo que quedan solo 5 o 6 o algo así.
[0:41:43.00]-[0:41:48.00]  Pero que también en ese tiempo que hablamos de las matanzas,
[0:41:48.00]-[0:41:57.00]  una familia con, digamos, con dos hectáreas de terreno,
[0:41:57.00]-[0:42:00.00]  se vivía y criaba a sus hijos.
[0:42:00.00]-[0:42:09.00]  Y hoy, aunque tengas 120 o 200 hectáreas, no se puede vivir.
[0:42:09.00]-[0:42:22.00]  Eso es el valor de la leche, porque tenemos un defecto que es el presumir.
[0:42:22.00]-[0:42:31.00]  Sí, entre otros, pero el presumir y la envidia es el mal de todos los males.
[0:42:31.00]-[0:42:36.00]  Porque eso cuando nos cambiamos de Yucmayor a Campos,
[0:42:36.00]-[0:42:44.00]  en Yucmayor no había ni luz, se hacía con un yundali o con una luz de cárbulo.
[0:42:44.00]-[0:42:52.00]  Que hoy no tendríamos luz porque también han prohibido el cárbulo.
[0:42:52.00]-[0:43:01.00]  Pero que cuando nos cambiamos fuimos y ya había luz.
[0:43:01.00]-[0:43:08.00]  Pero en Campos había, yo que sé, 1500 molinos de sacar agua.
[0:43:08.00]-[0:43:11.00]  Eso no costaba nada.
[0:43:11.00]-[0:43:19.00]  Una vez que había pagado el molino, venía a ser igual que una bomba de hinchar, la bicicleta.
[0:43:19.00]-[0:43:24.00]  Eso tenía una soleta que se hacía con estopa,
[0:43:24.00]-[0:43:28.00]  que la estopa era una cuerda que empleaban los fontaneros.
[0:43:28.00]-[0:43:39.00]  Y eso si no sacaba agua a la que tocaba, se tenía que sacar el eje de la bomba
[0:43:39.00]-[0:43:45.00]  y abajo tenía la soleta y tenías que reponer la soleta esa.
[0:43:45.00]-[0:43:50.00]  Pero eso duraba dos años o tres que no tenías que hacerlo.
[0:43:50.00]-[0:43:53.00]  Entonces se compraba el molino para la tierra.
[0:43:53.00]-[0:44:00.00]  Se compraba el molino, que eso antes lo hacía, había dos clases de carpinteros.
[0:44:00.00]-[0:44:09.00]  Había el que hacía muebles y había el que arreglaba los carros, las escaleras, las puertas.
[0:44:09.00]-[0:44:23.00]  El que era el carpintero de lujo y el carpintero rural.
[0:44:23.00]-[0:44:29.00]  Los carros llevaban las llantas de hierro y luego ya las pusieron de goma también,
[0:44:29.00]-[0:44:32.00]  pero que seguían arreglando carros.
[0:44:32.00]-[0:44:41.00]  Pero no existía la soldadura, sino que soldaba en el horno y al golpe de martillo.
[0:44:41.00]-[0:44:50.00]  Y luego, ¿qué te contaba ahora?
[0:44:50.00]-[0:44:53.00]  De los molinos.
[0:44:53.00]-[0:45:05.00]  Entonces los molinos, luego inventaron unas bombitas que eran con petróleo, no gasoil, petróleo.
[0:45:05.00]-[0:45:11.00]  Y eso uno decía a los otros, no yo el molino si no hace viento,
[0:45:11.00]-[0:45:17.00]  porque el molino si te tenía el estanque lleno, tenías que sacarlo del viento.
[0:45:17.00]-[0:45:23.00]  Y si no hacía viento no había agua.
[0:45:23.00]-[0:45:31.00]  Y inventaron las bombaresas de los molinos y eso de un vecino a otro y eso te gastaba,
[0:45:31.00]-[0:45:38.00]  que a lo mejor el petróleo valía tres pesetas cinco litros, porque era barato.
[0:45:38.00]-[0:45:46.00]  En ese tiempo la gasolina del coche valía siete cincuenta o algo así.
[0:45:46.00]-[0:45:56.00]  Eso de temprana edad, porque luego a los veinte años o así valía once cincuenta ya la gasolina,
[0:45:56.00]-[0:45:59.00]  cuando yo tuve el cannejo.
[0:45:59.00]-[0:46:08.00]  Pero cuando fui a la mili iba cuatro pesetas allí, y era súper.
[0:46:08.00]-[0:46:10.00]  Casi como ahora.
[0:46:10.00]-[0:46:20.00]  Y eso de motor se dejó a los molinos, que los molinos no llevaban,
[0:46:20.00]-[0:46:28.00]  solo que en invierno tenías que desvestirle las palas, las raspas, por si hacía un viento.
[0:46:28.00]-[0:46:30.00]  ¿Pero qué llevaban?
[0:46:30.00]-[0:46:38.00]  Los había que eran de madera también las raspas, pero los había que ya llevaban las raspas de hierro.
[0:46:38.00]-[0:46:48.00]  Esos de madera tenían unas barras estrechas, así como la bandera de Baleares, las raspas.
[0:46:48.00]-[0:46:54.00]  Pero los que eran de hierro no, llevaban toda la aspa hecha de...
[0:46:54.00]-[0:47:01.00]  Pero llevaban cinco o seis barras a cada aspas, y eso les desmontaban las aspas,
[0:47:01.00]-[0:47:08.00]  y así si hacía una ventolera, porque eso peligraba, como estaban en altura,
[0:47:08.00]-[0:47:14.00]  coger viento aunque estuviera afuera, y para que no lo arrancara el viento,
[0:47:14.00]-[0:47:19.00]  los tiraba el viento si hacía una ventolera.
[0:47:19.00]-[0:47:30.00]  Y esto luego acabó que con el motorcito este, que lo ponían en marcha rodando,
[0:47:30.00]-[0:47:35.00]  eso luego llegó la corriente a los sitios.
[0:47:35.00]-[0:47:42.00]  Y al llegar la corriente a los sitios, eso de la envidia,
[0:47:42.00]-[0:47:52.00]  era, sabes que me vale, bien yo he puesto una bomba allí, pan, doy al botón y tengo el agua afuera.
[0:47:52.00]-[0:47:55.00]  Y el ventilador también tenía que ponerlo.
[0:47:55.00]-[0:48:05.00]  Claro, y ni motor ni petróleo ni reto, y resulta que eso, la corriente,
[0:48:05.00]-[0:48:11.00]  aquí en Campos estuvimos 23 años.
[0:48:11.00]-[0:48:18.00]  Cuando llegamos, eso regábamos en motores eléctricos, ya había corriente cuando llegamos.
[0:48:18.00]-[0:48:29.00]  Y eso cuando llegamos, pagabas, hacías 100.000 pesetas en un mes de leche,
[0:48:29.00]-[0:48:34.00]  y pagabas de corriente 10.000 pesetas.
[0:48:34.00]-[0:48:35.00]  Estaba bien.
[0:48:35.00]-[0:48:37.00]  Estaba bien, eso.
[0:48:37.00]-[0:48:44.00]  Pero luego, eso, al cabo de dos años, o sea, cuando llevábamos a lo mejor 15 o 18,
[0:48:44.00]-[0:48:56.00]  la corriente iba subiendo, la leche también fue subiendo hasta esos 18 años.
[0:48:56.00]-[0:49:05.00]  Pero luego, cuando nos fuimos, hacíamos a lo mejor los mismos litros de leche,
[0:49:05.00]-[0:49:09.00]  se pagaba a 33 céntimos de peseta.
[0:49:09.00]-[0:49:15.00]  No, que se acabara un buen jornado todavía.
[0:49:15.00]-[0:49:23.00]  Pero de corriente ya pagabas unas 75.000 pesetas en los dos meses.
[0:49:23.00]-[0:49:24.00]  En los dos meses de...
[0:49:24.00]-[0:49:34.00]  Pero eso, además de eso, la leche, antes venía el lechero,
[0:49:34.00]-[0:49:41.00]  o el que recogía la leche por la mañana y por la tarde, que eso era...
[0:49:41.00]-[0:49:45.00]  Había otros, pero uno, esa gama, eso que hoy...
[0:49:45.00]-[0:49:50.00]  Estos del Lacao, había una cooperativa allí y recogían la leche.
[0:49:50.00]-[0:49:53.00]  Venía por la mañana y por la tarde.
[0:49:53.00]-[0:49:57.00]  Pero luego, para que no tuvieran que trabajar tanto,
[0:49:57.00]-[0:50:05.00]  tenía que poner un enfriador de leche y eso también iba en corriente.
[0:50:05.00]-[0:50:11.00]  Y lo único que yo me harté de comer nata, porque hacía nata eso.
[0:50:11.00]-[0:50:20.00]  Y venían solamente o cada dos días, porque era un tanque que cabía a lo mejor
[0:50:20.00]-[0:50:24.00]  700 o 800 litros, lo podías poner...
[0:50:24.00]-[0:50:28.00]  En una nevera, sólo que removía la leche y la enfriaba,
[0:50:28.00]-[0:50:32.00]  pero solamente servía para aquello, no servía para nada más.
[0:50:32.00]-[0:50:39.00]  Y eso ya iba de la ordeñadora, pues ya pegaba en el tanque ese.
[0:50:39.00]-[0:50:46.00]  Y eso, pues también pagaba la corriente que se comía esto.
[0:50:46.00]-[0:50:54.00]  Y la leche sigue en el mismo precio hoy, que hace casi 40 años.
[0:50:54.00]-[0:50:56.00]  O sea que...
[0:50:56.00]-[0:50:58.00]  ¿Y la electricidad ha subido?
[0:50:58.00]-[0:51:06.00]  Bueno, la electricidad, solamente en 10 años, ahora ha subido un 75%.
[0:51:06.00]-[0:51:12.00]  De una casa pagabas en ese tiempo, de una casa particular,
[0:51:12.00]-[0:51:19.00]  pues algo mejor, porque aquí además teníamos trifásico para los motores.
[0:51:19.00]-[0:51:24.00]  Y en la casa era 220.
[0:51:24.00]-[0:51:32.00]  Pero yo que sé, en la casa lo mejor que estabas...
[0:51:32.00]-[0:51:35.00]  No llegaba a mil pesetas.
[0:51:35.00]-[0:51:39.00]  Eso era casi tan barato como el butano.
[0:51:39.00]-[0:51:45.00]  O sea que una casa particular que tuvieran dos hijos y un matrimonio,
[0:51:45.00]-[0:51:56.00]  pues pagaban eso, 300 pesetas, 350, cada dos meses, que siempre ha sido así.
[0:51:56.00]-[0:52:03.00]  Y hoy pues pagas 100 euros o 150 o algo así.
[0:52:03.00]-[0:52:06.00]  Y eso es simplemente por...
[0:52:06.00]-[0:52:09.00]  Es igual que el agua.
[0:52:09.00]-[0:52:14.00]  El agua podía ir, bueno, en ese tiempo que yo era un crío,
[0:52:14.00]-[0:52:19.00]  podía ir a cualquier puerta a pedir un vaso de agua a una señora.
[0:52:19.00]-[0:52:23.00]  Y pues puede entrar y...
[0:52:23.00]-[0:52:31.00]  Y pues hoy el agua en sí no vale nada.
[0:52:31.00]-[0:52:37.00]  Pero se multiplica el resultado y el mantenimiento por tres.
[0:52:37.00]-[0:52:42.00]  De impuesto. De impuesto de qué.
[0:52:42.00]-[0:52:49.00]  ¿Y el agua hace años, cuando era pequeño, que ya había agua traída o...
[0:52:49.00]-[0:52:52.00]  No. Cada casa tenía una ojide.
[0:52:52.00]-[0:52:55.00]  ¿Cada casa tenía del molino, que lo sacaban con el molino o del...
[0:52:55.00]-[0:53:03.00]  No. O se llevaba también en camiones, aunque hubiera poco, pero era de la lluvia toda.
[0:53:03.00]-[0:53:07.00]  Pero los aljibes esos también es casi como la matanza.
[0:53:07.00]-[0:53:12.00]  Ahora dentro de Palma, todos esos patios y todo eso,
[0:53:12.00]-[0:53:19.00]  todos esos, había tres plantas y sacaban del mismo aljibes.
[0:53:19.00]-[0:53:25.00]  Pero ahora todo eso está relleno de escombros o lo han tirado.
[0:53:25.00]-[0:53:32.00]  Porque lo malo es rellenarlo de escombros, porque eso sí tienes que vaciarlo luego.
[0:53:32.00]-[0:53:41.00]  Pero eso también lo han prohibido y si era comunitario, ha tapado.
[0:53:41.00]-[0:53:44.00]  ¿Pero cómo... o sea, aljibes que estaban dentro de...
[0:53:44.00]-[0:53:50.00]  El aljibe normalmente estaba o al lado o dentro de la misma casa.
[0:53:50.00]-[0:53:57.00]  Y de la lluvia se ponía un filtro, lo que fuera, y luego se echaba un poco de cloro
[0:53:57.00]-[0:54:02.00]  para que no hubiera un bichito y ya está.
[0:54:02.00]-[0:54:05.00]  Y era agua buena y fresca y todo lo que...
[0:54:05.00]-[0:54:06.00]  De lluvia, claro.
[0:54:06.00]-[0:54:12.00]  Que se servían las cisternas, se servía de nevera cuando no había.
[0:54:12.00]-[0:54:19.00]  Porque solo había, cuando yo era pequeño, había esas neveras que se ponía el hielo dentro.
[0:54:19.00]-[0:54:26.00]  Y eso podías... luego tenían un grifo que podías beber el agua que había fundido el hielo.
[0:54:26.00]-[0:54:28.00]  ¿Y de dónde traían el hielo?
[0:54:28.00]-[0:54:35.00]  Había fábricas de hielo, tanto en los pueblos como en Palma mismo.
[0:54:35.00]-[0:54:41.00]  En Palma, en la calle Viñaza.
[0:54:41.00]-[0:54:43.00]  Hay...
[0:54:46.00]-[0:54:48.00]  Ahora no me acuerdo cómo se llama eso.
[0:54:53.00]-[0:54:58.00]  Hay un instituto que es este, después de su estación.
[0:54:58.00]-[0:55:02.00]  Luego hay una manzana antes de llegar que es la calle Viñaza.
[0:55:02.00]-[0:55:05.00]  Y eso se llamaba frío industrial.
[0:55:05.00]-[0:55:06.00]  ¿Ah, sí?
[0:55:06.00]-[0:55:11.00]  Y estaba hecho, lo sé por qué lo he tirado abajo yo.
[0:55:11.00]-[0:55:16.00]  Estaba hecho todo de cámaras, una manzana casi entera.
[0:55:16.00]-[0:55:22.00]  Daba a dos calles, daba a la calle esta que está el instituto y a la calle Viñaza.
[0:55:22.00]-[0:55:23.00]  Sí, claro.
[0:55:23.00]-[0:55:28.00]  Y eso eran cámaras recubiertas de coche, de corcho.
[0:55:28.00]-[0:55:34.00]  Y había toda una fábrica de hielo que hacían barras.
[0:55:34.00]-[0:55:37.00]  Que eso marchaba noche y día.
[0:55:37.00]-[0:55:41.00]  Y en Llumayor también y en Campos también había una fábrica.
[0:55:41.00]-[0:55:45.00]  Sí, pero antiguamente no habría fábricas, o sea, hace muchos años no había fábricas.
[0:55:45.00]-[0:55:53.00]  No, eso sería lo mejor de 1880, por ahí.
[0:55:53.00]-[0:55:54.00]  Algo así.
[0:55:54.00]-[0:56:01.00]  Y en Llumayor también está tirada la fábrica.
[0:56:01.00]-[0:56:05.00]  En Campos todavía no, pero no fabrican ya hace años.
[0:56:05.00]-[0:56:09.00]  Eso, el hielo se hace.
[0:56:09.00]-[0:56:11.00]  Entonces se ponía el...
[0:56:11.00]-[0:56:14.00]  Se ponía, las barras eran una cosa así,
[0:56:14.00]-[0:56:23.00]  y harían 60 centímetros por 20, por 15 o algo así.
[0:56:23.00]-[0:56:28.00]  Y eso tenían como unas tijeras, querían o la mitad o un cuarto.
[0:56:28.00]-[0:56:32.00]  Y iban a comprar un cuarto de barra y la metían en la nevera.
[0:56:32.00]-[0:56:34.00]  Y aquello mañana tenías que volver a volver.
[0:56:34.00]-[0:56:36.00]  ¿Cuánto duraba?
[0:56:36.00]-[0:56:38.00]  Más o menos 24 horas.
[0:56:38.00]-[0:56:41.00]  Y guardaban eso, 5-6.
[0:56:41.00]-[0:56:46.00]  En verano a lo mejor en vez de un cuarto tenías que llevar media para que durara.
[0:56:46.00]-[0:56:53.00]  Eso volvían con paja para que si tenían que ir muy lejos.
[0:56:53.00]-[0:57:00.00]  Y si estaba cerca, una cesta y capo de calo.
[0:57:00.00]-[0:57:05.00]  Porque has dicho que el aljibe se utilizaba para el agua, pero como nevera también, ¿no?
[0:57:05.00]-[0:57:06.00]  Sí.
[0:57:06.00]-[0:57:12.00]  Eso se ponía, los que no tenían nevera, se hacían en unos cestos de alambre,
[0:57:12.00]-[0:57:17.00]  con rejilla para poner el vino en fresco o un melón.
[0:57:17.00]-[0:57:19.00]  Y lo metían dentro del agua.
[0:57:19.00]-[0:57:26.00]  Y con la misma cuerda que sacaban el agua, lo metían en remojo.
[0:57:26.00]-[0:57:28.00]  ¿Y eso no afectaba al agua?
[0:57:28.00]-[0:57:29.00]  No.
[0:57:29.00]-[0:57:32.00]  Estaba dentro de botellas y el hierro tampoco.
[0:57:32.00]-[0:57:34.00]  El hierro depura el agua también.
[0:57:34.00]-[0:57:35.00]  ¿Ah, sí?
[0:57:35.00]-[0:57:36.00]  Sí.
[0:57:36.00]-[0:57:46.00]  El hierro normalmente era lo poco de alvanizado que se hacía de rejilla y no perdía tampoco.
[0:57:46.00]-[0:57:55.00]  No es lo mismo poner un hierro forjado, que entre sacarlo y meterlo se oxidaría.
[0:57:55.00]-[0:58:00.00]  Pero lo hacían de rejilla, que no se oxidaba.
[0:58:00.00]-[0:58:02.00]  Y no afectaba para nada.
[0:58:02.00]-[0:58:05.00]  ¿Y el vino también era de casa, se compraba?
[0:58:05.00]-[0:58:10.00]  Sí, el vino se compraba, pero había de casero.
[0:58:10.00]-[0:58:13.00]  Casero y particular, como digamos.
[0:58:13.00]-[0:58:14.00]  Sí.
[0:58:14.00]-[0:58:18.00]  Y que te lo vendían.
[0:58:18.00]-[0:58:20.00]  Me emborraché de pequeño.
[0:58:20.00]-[0:58:21.00]  Con vino.
[0:58:21.00]-[0:58:25.00]  De grande no me he emborrachado.
[0:58:25.00]-[0:58:27.00]  ¿Y eso cómo fue?
[0:58:27.00]-[0:58:36.00]  Eso tenía algo así como cuatro o cinco años, no tenía más.
[0:58:36.00]-[0:58:46.00]  Y eso era en ese tiempo y teníamos que ir a buscar eno.
[0:58:46.00]-[0:58:51.00]  El eno que se recogía para dar de comer a los animales.
[0:58:51.00]-[0:58:55.00]  Y claro, fuimos con mi padre a buscar el eno.
[0:58:55.00]-[0:59:03.00]  Y sé dónde me emborraché, o sea que no perdí todavía la conciencia.
[0:59:03.00]-[0:59:11.00]  Y para gente, o vecinos, que te ayudaban también y luego ayudaban a los vecinos.
[0:59:11.00]-[0:59:14.00]  Eso se hacía mucho antes.
[0:59:14.00]-[0:59:20.00]  Hoy no te dicen que son vecinos.
[0:59:20.00]-[0:59:25.00]  Yo tengo uno en Buñola y hace medio año que están y no me han dicho todavía.
[0:59:25.00]-[0:59:29.00]  Me hacen así con la mano cuando paso, pero nada más.
[0:59:29.00]-[0:59:35.00]  Y han traído dos caballos, que tampoco sé a qué se debe eso.
