[0:00:00.00]-[0:00:02.00]  78 años.
[0:36:48.00]-[0:37:02.00]  Aquí pues empanadas, tortillas, chorizos, carne a los corderos a las tacas que hacen muchos corderos,
[0:37:02.00]-[0:37:05.00]  y venden, los hacen allá.
[0:37:05.00]-[0:37:12.00]  Hay un chaval que ellos los asa todos los años, y este chaval mío que tiene unos cuantos oveces,
[0:37:12.00]-[0:37:20.00]  hasta dieciséis y dieciocho, tiene vendido, los que tienen para vender, que no los mata para él.
[0:37:20.00]-[0:37:31.00]  Y allí pues van el día, hay tres días, el primer día van al moratón de Tute,
[0:37:31.00]-[0:37:36.00]  ya están allá toda la noche jugando y cenen allá.
[0:37:36.00]-[0:37:50.00]  Luego al día siguiente, pues hay corrida de caballos, hay tiro al plato, y pues el día del veinticinco, la misa.
[0:37:50.00]-[0:37:55.00]  Y el día de la misa, pues ya la gente ya entonces ya lleva la merienda,
[0:37:55.00]-[0:38:02.00]  porque los corderos a Hugo, para los sube mucha gente, mucha gente.
[0:38:02.00]-[0:38:10.00]  Y tiro al plato, madre mía, miren ahí gente de que sé cuántos sitios a tirar al plato.
[0:38:10.00]-[0:38:18.00]  Y corrido de caballos igual, pasan una cantidad de caballos para allá, y hay una campa muy grande, muy guapa,
[0:38:18.00]-[0:38:25.00]  que se ve todo el valle, todo, hasta la viana, está muy bien.
[0:38:25.00]-[0:38:33.00]  Porque hay así capillines, perlontes por ahí, pero ahí está muy amplio, muy vistoso y muy alto,
[0:38:33.00]-[0:38:42.00]  y se ve muy bien todo, desde muy lejos. Con unos climáticos, ves que es yo cuánto.
[0:38:42.00]-[0:38:51.00]  Y aquí el invierno, como esto que veo, todo esto verde, tiene que llover mucho, ¿no?
[0:38:51.00]-[0:38:56.00]  Bueno, hay veces que vienen inviernos buenos. Este invierno vino mal.
[0:38:56.00]-[0:39:02.00]  Yo estoy aquí porque si no, no me dejen estar, les dije, si quieren que pase invierno con ellos, porque estoy sola.
[0:39:02.00]-[0:39:08.00]  Pero este invierno que yo vengo aquí, digo, dejadme en paz que estoy aquí en Andalavida.
[0:39:08.00]-[0:39:16.00]  Tengo luz, tengo carbón, tengo teléfono, y los panaderos, suben tres panaderos diarios al día, aquí.
[0:39:16.00]-[0:39:30.00]  Suben de los supermercados martes uno, miércoles otro, viernes otro, sábado otro.
[0:39:30.00]-[0:39:35.00]  Todos traen para vender, tienen necesidad de desplazarte.
[0:39:35.00]-[0:39:40.00]  Y los panaderos, tres panaderos diarios vienen también aquí.
[0:39:40.00]-[0:39:50.00]  Los vinateros también. Sí, nieve hubo mucho, no sé si te dijeron que había 40 centímetros.
[0:39:50.00]-[0:39:51.00]  ¿Cuajada?
[0:39:51.00]-[0:39:59.00]  Sí, sí que lo midieron y ellos hablaron que ya tenemos 40 centímetros de nieve.
[0:39:59.00]-[0:40:01.00]  ¿Y era blanda o dura?
[0:40:01.00]-[0:40:11.00]  Bueno, más blanda que dura. Dura sí fue, porque heló mucho, estaba muy helado, y puso eso muy duro.
[0:40:11.00]-[0:40:14.00]  Ahora que la carretera pasa una pala, ya la limpia.
[0:40:14.00]-[0:40:24.00]  Debió ir aquí, pues aquí quitaron los vecinos para poder salir de casa y salir al ganado que tiene ganado y eso.
[0:40:24.00]-[0:40:33.00]  Pero si llueve, ya muy mezclado con agua, pues agua, nieve, pues eso derrite muy luego.
[0:40:33.00]-[0:40:41.00]  Pero si nieve es seco, entonces cuaja mucho y sin embargo ya sube un montón.
[0:40:41.00]-[0:40:45.00]  Pero otros inviernos, nada, tiene vado muy poco.
[0:40:45.00]-[0:41:00.00]  Y llueve, bueno, hay temporainas que llueve bien, bastante, otras veces estos días trae agua, trae agua y la gente anda todos los días a la hierba y no cae ni una gota.
[0:41:00.00]-[0:41:02.00]  ¿No te da miedo la blanda?
[0:41:02.00]-[0:41:14.00]  Sí, el otro día estaba lavando la boca después de cenar y cuando estaba lavando la boca sentí un tron y un trueno tan gordo, tan gordo, tan gordo para mi que me pegó el chiquillo.
[0:41:14.00]-[0:41:17.00]  De miedo que me dio, ¿no?
[0:41:17.00]-[0:41:19.00]  Y estropearonse las televisiones, todo eso.
[0:41:19.00]-[0:41:26.00]  Veo en el poste, seguramente, el repetidor y no hubo televisión en dos días.
[0:41:26.00]-[0:41:30.00]  Y después sí, avisaron y ya lo arreglaron.
[0:41:30.00]-[0:41:36.00]  Relámpagos, y cuando llegué de nube que se llama, ¿oíste?
[0:41:36.00]-[0:41:56.00]  Unos relámpagos, yo al relámpago yo que más miedo tengo y verdaderamente tienen caído ya chispes, no en grande escala, pero sí que de hacer daño, sí.
[0:41:56.00]-[0:42:07.00]  Y hablando así, ¿no hay ninguna leyenda aquí en este pueblo, algún cuentecillo? No se acuerda.
[0:42:07.00]-[0:42:11.00]  Sí, yo sé que los de mis hermanos saben más que yo en esto.
[0:42:11.00]-[0:42:17.00]  Yo tengo la memoria un poco ya falla ahí.
[0:42:17.00]-[0:42:27.00]  Y antiguamente...
[0:42:27.00]-[0:42:29.00]  ¿Y había la costumbre del filandón?
[0:42:29.00]-[0:42:31.00]  ¿O no?
[0:42:31.00]-[0:42:33.00]  ¿De andar por las casas?
[0:42:33.00]-[0:42:37.00]  No, el filandón o el filanguiú de reunirse por las maestras de invierno.
[0:42:37.00]-[0:42:40.00]  Sí, sí, antes sí.
[0:42:40.00]-[0:42:47.00]  Antes como no había ni televisión, ni radio, ni eso, pues toda la gente que iba por las casas de unos o de otros,
[0:42:47.00]-[0:42:55.00]  contaban cuentos, leían libros, el que sabía leer, había libros muy antiguos y leían libros.
[0:42:55.00]-[0:43:00.00]  Pero yo de eso ya era más joven, ya no me acuerdo mucho de eso.
[0:43:00.00]-[0:43:07.00]  Pero en una casa que hay ahí había unos bolinos muy viejinos y primeramente antes de cenar,
[0:43:07.00]-[0:43:17.00]  comenzar el rosario todos los días y después cenar y después ya al filandón, como dices tú.
[0:43:17.00]-[0:43:22.00]  Ahora cada uno está en su casa y yo, por ejemplo, estoy ahí, estoy sola,
[0:43:22.00]-[0:43:26.00]  ceno, veo un poco la tela, cuando me padezco macho por la cama.
[0:43:26.00]-[0:43:36.00]  El otro día, el día San Juan, hicieron una foera ahí, estuvimos ahí hasta yo vine para casa a la una y diez,
[0:43:36.00]-[0:43:43.00]  que unos cuantos nenos que vinieron de La Viana, que son de aquí y están allá,
[0:43:43.00]-[0:43:49.00]  hicieron una comida, un pincheo y una foguera y todo muy bien.
[0:43:49.00]-[0:43:58.00]  Pasémoslo ahí hasta tras de la vida hasta tarde, porque yo tengo otra hija que está en el condado,
[0:43:58.00]-[0:44:04.00]  arriba de La Viana, y decían que habían estado hasta las dos de la mañana
[0:44:04.00]-[0:44:11.00]  y que habían estado allá, no sé si fueron los guardias, si municipales,
[0:44:11.00]-[0:44:16.00]  porque hicieron una foguera bastante grande y tuvieron que enchufar una manguera
[0:44:16.00]-[0:44:22.00]  para poder apagar un poco el fuego porque había mucha llamarada.
[0:44:22.00]-[0:44:30.00]  Y el chaval que la hizo aquí tenía allí un caldero con agua y cuando subía mucho,
[0:44:30.00]-[0:44:35.00]  el chaval echaba un poco de agua para apagarlo un poquito,
[0:44:35.00]-[0:44:41.00]  porque por si saltaba alguna chispa a un lado y prendía porque estaba tan seco,
[0:44:41.00]-[0:44:47.00]  había peligro a que prenda y después, ¿quién lo paga?
[0:44:47.00]-[0:44:56.00]  Y hoy es día San Pedro, en La Felguera por lo menos hay fiestes,
[0:44:56.00]-[0:45:01.00]  y yo soy ahí, hoy en Fademo Foguera, hoy es día San Pedro también,
[0:45:01.00]-[0:45:04.00]  pero no están los negros.
[0:45:04.00]-[0:45:10.00]  ¿Y usted se casó con su marido de qué color?
[0:45:10.00]-[0:45:13.00]  Con nosotros, sí.
[0:45:13.00]-[0:45:19.00]  Ah, de qué color yo...
[0:45:19.00]-[0:45:26.00]  Porque ahora, como hay tantos negros, con los blanques y blancos y negros,
[0:45:26.00]-[0:45:33.00]  pero antes no existía eso, pues antes no se casaba en blanco.
[0:45:33.00]-[0:45:42.00]  Pues yo habrá 56 o 77 años que me casé,
[0:45:42.00]-[0:45:50.00]  y un vestido azul marino y una lluvia azul marino y nada más.
[0:45:50.00]-[0:45:58.00]  Fuimos a Covadonga, si oíste hablar, bueno, pues fuimos hasta Covadonga,
[0:45:58.00]-[0:46:02.00]  y comimos allá y luego a Gasa.
[0:46:02.00]-[0:46:07.00]  Entonces nos hacían viajes de... como los mil nietes,
[0:46:07.00]-[0:46:14.00]  una que se casó que fue para Cuba y otra para otro lado, y yo, antes no había nada de todo eso.
[0:46:14.00]-[0:46:21.00]  Si hacían boda hacíanse también en casa, en casa donde eran algo grandes
[0:46:21.00]-[0:46:25.00]  y que no enviesen mucha gente, pues hacían la boda en casa,
[0:46:25.00]-[0:46:33.00]  una comida distinta de otros días, pero bueno, ya no, hacíanse en casa.
[0:46:33.00]-[0:46:37.00]  Y bastante se hicieron en este pueblo.
[0:46:37.00]-[0:46:45.00]  Bueno, de los carnavales sí había, pero no, como ahora no,
[0:46:45.00]-[0:46:50.00]  porque yo para los mil nietes hice ropa yo bastantes veces,
[0:46:50.00]-[0:46:57.00]  cuando andaban a la escuela, ahorita hay que hacerme un traje, hay que hacerme esto,
[0:46:57.00]-[0:47:05.00]  pero antes era con ropa viejo, las mujeres igual se vestían de hombre,
[0:47:05.00]-[0:47:11.00]  con pantalón, una camisa, una chaqueta, y los hombres igual se vestían,
[0:47:11.00]-[0:47:22.00]  a lo mejor de mujer, pero de otra manera, así como gastar dinero.
[0:47:22.00]-[0:47:28.00]  Unas nietes mías que fueron un día a Oviedo y fueron a un almacén
[0:47:28.00]-[0:47:36.00]  a comprar género para hacer los trajes, y preguntó a la de la tienda
[0:47:36.00]-[0:47:42.00]  cuántos metros quería, y dijo ella quiero cien metros.
[0:47:42.00]-[0:47:50.00]  Ella quedó separada, y dijo como cien metros, y dice somos un montón de ellos,
[0:47:50.00]-[0:47:56.00]  y hay que hacer un traje para cada una, y echemos la cuenta, y cien metros tenemos que llevar.
[0:47:56.00]-[0:48:02.00]  Pero ahora, los nenos, los niños pequeños todavía no se visten,
[0:48:02.00]-[0:48:07.00]  y cuando había escuela, ahora no hay escuela tampoco, porque no hay niños,
[0:48:07.00]-[0:48:12.00]  aquí no hay niños, hay tres nenos en el pueblo, y una más.
[0:48:12.00]-[0:48:20.00]  Y no están en la escuela, la escuela está recién hecha, de hace pocos años que la hicieron,
[0:48:20.00]-[0:48:26.00]  una escuela grande, verde que hay ahí para arriba, y esos nenos,
[0:48:26.00]-[0:48:32.00]  un traje buscarlos para llevarlos a Villori al colegio, y a traerlos.
[0:48:32.00]-[0:48:39.00]  Y ahora sí, vistense ahí en una escuela, pero aquí ahora no.
[0:48:39.00]-[0:48:42.00]  Entonces usted no fue a la escuela.
[0:48:42.00]-[0:48:47.00]  A la escuela fui bastante poco, porque yo era la primera de los hermanos,
[0:48:47.00]-[0:48:53.00]  mi madre tenía que ir a trabajar al campo, y yo tenía que cuidar de mis hermanos.
[0:48:53.00]-[0:48:58.00]  Y lo que anduve fue la noche, te daba en clase de noche,
[0:48:58.00]-[0:49:04.00]  a un señor que, bueno, no se terminó la carrera de maestro,
[0:49:04.00]-[0:49:09.00]  ejercía de maestro, y aquello fue lo que me valió, mucho me valió,
[0:49:09.00]-[0:49:13.00]  lo que aprendí, lo más de noche.
[0:49:13.00]-[0:49:15.00]  ¿Podía ver si aquello tiró arriba o...?
[0:49:15.00]-[0:49:17.00]  Ya, a ver, ¿dónde fue?
[0:49:20.00]-[0:49:27.00]  Y después, nada, después fui a coser, andaronme a coser, y dediquéme a coser,
[0:49:27.00]-[0:49:36.00]  hasta que ya dejé la vista cosiendo, cosía de noche y de día, cosía para afuera y eso,
[0:49:36.00]-[0:49:41.00]  cosí mucho, pero ahora coso lo mío y gracias,
[0:49:41.00]-[0:49:48.00]  porque no me compren, porque cómbrenmelo los hijos también,
[0:49:48.00]-[0:49:51.00]  pero no quiero que me lo compren, porque digo yo, hay tres armarios en casa,
[0:49:51.00]-[0:49:55.00]  estoy sola, y están los armarios hasta los topes, así que no me compréis nada,
[0:49:55.00]-[0:50:02.00]  porque no necesito nada, y si hago, compro, compro yo y hago lo yo también,
[0:50:02.00]-[0:50:08.00]  y para ellos bastante, para mis hermanos y todo, pero ahora no,
[0:50:08.00]-[0:50:13.00]  ahora ya coso poco, pero igual, bueno, en hacer ganchillo,
[0:50:13.00]-[0:50:23.00]  o hacer cosas para pasar el tiempo y para distraerte un poco y eso pues,
[0:50:23.00]-[0:50:29.00]  como estoy sola, la comida como seguida, la cama, la limpieza de la casa,
[0:50:29.00]-[0:50:33.00]  y pequeña, y pues hago lo yo, y después ya me siento,
[0:50:33.00]-[0:50:37.00]  y a la tarde aquí todos los días, asisto por aquí gente,
[0:50:37.00]-[0:50:41.00]  ya me partía, para pasar un poco el tiempo.
[0:50:43.00]-[0:50:45.00]  Entonces la ropa, usted hacía ropa?
[0:50:45.00]-[0:50:47.00]  Sí, sí, hice bastante.
[0:50:47.00]-[0:50:49.00]  ¿Cómo era la ropa? ¿Ropa o no?
[0:50:49.00]-[0:50:54.00]  Ropa pues, en vez de ser por ejemplo pantilones como ahora,
[0:50:54.00]-[0:51:07.00]  faldes, vestidos, y camises, y bueno, yo para mis hermanos pantalones,
[0:51:07.00]-[0:51:15.00]  y camises y eso también, yo lo hacía, hasta que fueron ya chavales, mozos.
[0:51:15.00]-[0:51:18.00]  ¿Dónde conseguían la tela para hacer la ropa?
[0:51:18.00]-[0:51:22.00]  En la Viana, en la plaza, ahí había, pues ahí todavía,
[0:51:22.00]-[0:51:26.00]  pero ahora ya no hay tanto género, porque ahora la ropa como bien,
[0:51:26.00]-[0:51:31.00]  ya sí todo hecho, pues, pero todavía el que quiera hacerlo él,
[0:51:31.00]-[0:51:35.00]  compra género, ya lo haría en casa.
[0:51:38.00]-[0:51:41.00]  ¿Y era distinto en verano y en invierno?
[0:51:41.00]-[0:51:45.00]  ¿Distinto? Sí, la ropa.
[0:51:45.00]-[0:51:49.00]  Sí, sí era distinto, en invierno pues una vez más abrirá el abrigo,
[0:51:49.00]-[0:51:53.00]  la chaqueta, el jersey, la falda, el jersey, pues abrigo,
[0:51:53.00]-[0:51:57.00]  y ahora de verano nada, traes cualquier cosa,
[0:51:57.00]-[0:52:04.00]  y yo siempre hacía pantilón, falda y jersey, o camisa y pantilón,
[0:52:04.00]-[0:52:06.00]  para andar por aquí.
[0:52:06.00]-[0:52:08.00]  ¿Hace frío aquí en verano?
[0:52:08.00]-[0:52:12.00]  No, bueno por la tarde y por la mañana, está un poco fresquita,
[0:52:12.00]-[0:52:16.00]  un poco fresquita, yo fui muchos años para Castilla de vacaciones,
[0:52:16.00]-[0:52:20.00]  y nada más que dos o tres por la mañana la ventana, ya sabía,
[0:52:20.00]-[0:52:27.00]  ya venía aquel fresquito de la mañana, pero no, aquí como lo ves ahora,
[0:52:27.00]-[0:52:31.00]  hombre, me siento que esté, que ha sido lloviendo,
[0:52:31.00]-[0:52:37.00]  que esté malón el tiempo, eso, pero si no, no, aguantando.
[0:52:37.00]-[0:52:41.00]  Será que estamos acostumbrados a este ambiente y a este clima,
[0:52:41.00]-[0:52:48.00]  y entonces, no, no, yo si está frío prendo la cocina de carbón,
[0:52:48.00]-[0:52:54.00]  si no, que si aguanto porque no la prendo, el gas, y uso nada más que gas.
[0:52:54.00]-[0:53:00.00]  Porque ya tenemos los bares de carbón, entonces cuando es invierno,
[0:53:00.00]-[0:53:03.00]  sí, piso la cocina de carbón, está más caliente,
[0:53:03.00]-[0:53:10.00]  porque una casa esa era de mi abuela, y no tenía calefacción,
[0:53:10.00]-[0:53:15.00]  la mía, mira, esas tres casas, y era todo la casa de mi abuela,
[0:53:15.00]-[0:53:20.00]  y después partieron la para tres hermanos, la mía y la del medio,
[0:53:20.00]-[0:53:24.00]  y las otras de unos primos.
[0:53:24.00]-[0:53:26.00]  ¿Su madre era de aquí?
[0:53:26.00]-[0:53:30.00]  Mi madre no, era mi padre, mi madre era de otro pueblo de allá,
[0:53:30.00]-[0:53:33.00]  de esos pueblos de allá.
[0:53:33.00]-[0:53:35.00]  ¿En qué trabajaba su madre?
[0:53:35.00]-[0:53:43.00]  Mi madre, a las vaques, a la tierra, a la hierba, hasta cegar,
[0:53:43.00]-[0:53:48.00]  como los hombres, con la guadaña, sagaban mis mujeres también,
[0:53:48.00]-[0:53:54.00]  mi madre sagó bastante, y una hermana mía y yo también sagábamos,
[0:53:54.00]-[0:53:59.00]  pero ella sagaba mejor que yo, no se me daba muy bien.
[0:53:59.00]-[0:54:06.00]  Y después las castañas, ponese por los árboles, con unos palos largos,
[0:54:06.00]-[0:54:11.00]  para tirar las castañas, y podía hacer recogida en el suelo,
[0:54:11.00]-[0:54:18.00]  y eso a mí también, subí a los árboles, y con una vara grande,
[0:54:18.00]-[0:54:33.00]  que es llamer, tirar los aricios donde salen las castañas.
[0:54:38.00]-[0:54:42.00]  ¿Y para la madera de los muebles qué madera utilizaban?
[0:54:42.00]-[0:54:51.00]  Pues aquí no había carpinteros, pero madera de castaño, madera de nogal,
[0:54:51.00]-[0:55:00.00]  y bueno, por ahí adelante todo matis y todo árboles,
[0:55:00.00]-[0:55:03.00]  pero ahora, por lo visto, no se puede cortar nada,
[0:55:03.00]-[0:55:07.00]  porque no te hacen cortar nada, hay que solicitar,
[0:55:07.00]-[0:55:10.00]  y hay que todo va a poder cortar.
[0:55:10.00]-[0:55:15.00]  Si quieres cortar un árbol tuyo que está en lo tuyo, tienes que solicitar.
[0:55:20.00]-[0:55:26.00]  Porque lo ordenen ellos así, y hay que ir al ayuntamiento y solicitar,
[0:55:26.00]-[0:55:29.00]  quiero cortar un árbol en tal sitio.
[0:55:29.00]-[0:55:36.00]  Y si hay un ecologista ahí en Villoria que un chaval de aquí vendió madera,
[0:55:36.00]-[0:55:40.00]  y había un árbol que decía que era un árbol muy guapo,
[0:55:40.00]-[0:55:44.00]  y decía, este chaval, ese córtelo también,
[0:55:44.00]-[0:55:49.00]  y dice, este árbol no se corta, y que no me entere yo que lo cortes.
[0:55:49.00]-[0:55:52.00]  Y dice, este árbol no se corta.
[0:55:56.00]-[0:56:00.00]  Por aquí, por ahí arriba, suben a lo mejor así,
[0:56:00.00]-[0:56:05.00]  todo el matorral crez tanto y todo eso, pues para limpiarlo un poco.
[0:56:05.00]-[0:56:08.00]  Una máquina para limpiarlo, entonces van al ayuntamiento,
[0:56:08.00]-[0:56:12.00]  solicitan una máquina y ven a limpiarlo la máquina,
[0:56:12.00]-[0:56:18.00]  porque si no, fíjense, después te estois, y no puedes ni pasar,
[0:56:18.00]-[0:56:21.00]  porque toda la porquería crez tantísimo.
[0:56:26.00]-[0:56:29.00]  Y aquí cuando se pone usted mal, por ejemplo,
[0:56:29.00]-[0:56:36.00]  yo no sé si tiene algún costripado o alguna enfermedad grave, ¿dónde van?
[0:56:37.00]-[0:56:43.00]  En Villoria tenemos una clínica y farmacia,
[0:56:43.00]-[0:56:50.00]  y si no, a Villa que se llama Valle del Nalón,
[0:56:50.00]-[0:56:55.00]  que hay un hospital, el más cercano ya,
[0:56:55.00]-[0:57:00.00]  ya pasando de Sama para abajo, un hospital,
[0:57:00.00]-[0:57:05.00]  y si no hay novia, si tienes que ir a un hospital.
[0:57:05.00]-[0:57:09.00]  Ahora al médico, por ejemplo, yo que estoy con un tratamiento,
[0:57:09.00]-[0:57:14.00]  pues voy a Villoria, si pasaste de Villoria,
[0:57:14.00]-[0:57:19.00]  pues ahí hay una clínica y una farmacia, y recetar,
[0:57:19.00]-[0:57:27.00]  o al médico, ahí tenemos una médica y un practicante,
[0:57:27.00]-[0:57:30.00]  y eso es lo que tenemos.
[0:57:31.00]-[0:57:33.00]  ¿Y antiguamente cómo lo hacían?
[0:57:33.00]-[0:57:38.00]  Antiguamente que si lo hacían, había médicos en la viana,
[0:57:38.00]-[0:57:43.00]  y llegan a la viana, y entonces había médicos,
[0:57:43.00]-[0:57:50.00]  y no había seguros como ahora, iba en particular pagando,
[0:57:50.00]-[0:57:52.00]  como ahora no.
[0:57:52.00]-[0:57:56.00]  Ahora nosotros pagamos un seguro y vas, y tienes gratis,
[0:57:56.00]-[0:58:02.00]  hospital y clínica y lo que sea todo, pero hay meditación,
[0:58:02.00]-[0:58:08.00]  también los jubilados, pero los que están en activo,
[0:58:08.00]-[0:58:13.00]  esos tienen que pagar un tanto por ciento la meditación.
[0:58:13.00]-[0:58:17.00]  Yo creé una rodilla, que me pusieron una prótesis,
[0:58:17.00]-[0:58:25.00]  y estuve allá ingresada 15 días, y esos 15 días pues gratis.
[0:58:25.00]-[0:58:31.00]  Yo los míos, yo dios mío si hubiera sacado yo carnes,
[0:58:31.00]-[0:58:35.00]  así iba para donde quería, ahora tengo que andar llamándolos,
[0:58:35.00]-[0:58:39.00]  venía a buscarme, venía a llevarme a tal sitio.
[0:58:39.00]-[0:58:45.00]  Tengo una hija en condado, ella está trabajando, tiene coche,
[0:58:45.00]-[0:58:51.00]  un chaval que está trabajando tiene coche, el marido tiene un almacén de vinos, tiene coche.
[0:58:51.00]-[0:59:00.00]  El vive en la casa con los suegros, no, uno es en cada piso,
[0:59:00.00]-[0:59:03.00]  y los suegros también tienen coche, dios mío, mami,
[0:59:03.00]-[0:59:05.00]  todos tienen coches en la casa.
[0:59:05.00]-[0:59:11.00]  Y otra que tengo ahí para arriba de Villori, ahí hay Etolibia,
[0:59:11.00]-[0:59:15.00]  ahí puedes buscar Etolibia para ahí para arriba.
[0:59:15.00]-[0:59:21.00]  Están mi hija sola y el marido, los hijos que ya están dos están casados y viven en La Viana.
[0:59:21.00]-[0:59:26.00]  Otra terminó una carrera y está en Valencia.
[0:59:26.00]-[0:59:33.00]  Todos tienen coche, el marido tiene coche, tiene Suzuki para andar por allí,
[0:59:33.00]-[0:59:38.00]  tiene un tractor para andar a la hierba y moto.
[0:59:38.00]-[0:59:44.00]  Los patisones morenos, cuando venga el tiempo de pagar el seguro, menuda.
[0:59:44.00]-[0:59:49.00]  Y a la que está en Valencia dice que lo paga él también el seguro,
[0:59:49.00]-[0:59:57.00]  que ya está trabajando pero tiene que pagar la vivienda de casa,
[0:59:57.00]-[1:00:03.00]  pagar la letra del coche, pagar una cochera que ella,
[1:00:03.00]-[1:00:08.00]  porque dice que en la calle no puedo dejarla, tengo que recogerlo.
[1:00:08.00]-[1:00:12.00]  Y el padre dice que el pago te lo lleva el seguro, no te preocupes, lo hago yo.
[1:00:12.00]-[1:00:19.00]  Y cuando viene la hora de pagar, menuda, pagar por todo eso.
[1:00:19.00]-[1:00:22.00]  ¿Y su rodilla? ¿Qué le pasó a su rodilla?
[1:00:22.00]-[1:00:27.00]  Mi rodilla desgaste.
[1:00:27.00]-[1:00:31.00]  Desde aquí hasta aquí, ¿vieron esto todo?
[1:00:31.00]-[1:00:38.00]  Tengo aquí una prótesis, un hueso, un hierro y cuando me operaron dije yo,
[1:00:38.00]-[1:00:43.00]  no me pueden poner una estrecha local.
[1:00:43.00]-[1:00:46.00]  Y dijeron nada pero así pusieronme la.
[1:00:46.00]-[1:00:49.00]  Y dejaronme la espalda mal, que tengo la mal.
[1:00:49.00]-[1:00:56.00]  Y sentía cerrar el hueso que estaba estropeado.
[1:00:56.00]-[1:00:59.00]  No me dolía, pero yo sentía loé.
[1:00:59.00]-[1:01:07.00]  Pusieron una tela así delante y luego cuando se pusieron a poner el hierro ése que está ahí,
[1:01:07.00]-[1:01:14.00]  con un martillo calcáralo allá, pero fuertemente.
[1:01:14.00]-[1:01:19.00]  Y desde la primera no fueron a ponerla, no fueron a ponerla.
[1:01:19.00]-[1:01:25.00]  La hubieron quitado otra vez y volver, seguramente no cogía en el hueco que había.
[1:01:25.00]-[1:01:30.00]  Y después cemento, meter allá cemento.
[1:01:30.00]-[1:01:32.00]  ¿Le salió mucha sangre?
[1:01:32.00]-[1:01:35.00]  ¿Cuándo lo vi, osida? Claro que sí.
[1:01:35.00]-[1:01:38.00]  Tuve que dar sangre para si me lo necesitaba.
[1:01:38.00]-[1:01:45.00]  Pero tú no sientes nada, no ves nada porque si te anestecen en tela,
[1:01:45.00]-[1:01:47.00]  no sientes nada ni oyes nada.
[1:01:47.00]-[1:01:54.00]  Yo oí a los hablar y oí a los, conmigo los enfermeros allí la atención cada minuto.
[1:01:54.00]-[1:01:59.00]  Y después empecé así a temblar, temblar, temblar y ¿qué te pasa? ¿qué te pasa?
[1:01:59.00]-[1:02:04.00]  Y tienes fiel los pies y digo no lo sé porque no lo siento.
[1:02:04.00]-[1:02:09.00]  No sé si está frío, si no miro a la enfermera y dice sí está muy frío.
[1:02:09.00]-[1:02:14.00]  Fuero me trajeron una mantilla y entonces ya calenté y ya reaccioné un poco.
[1:02:14.00]-[1:02:18.00]  Además, estoy con tratamiento de nervios y yo voy hoy todo así,
[1:02:18.00]-[1:02:22.00]  sin desayunar nada y sin tomar ninguna de mi hidrodilación.
[1:02:22.00]-[1:02:27.00]  Yo no sé si es frío, si hay nervios, si qué es lo que tengo.
[1:02:27.00]-[1:02:36.00]  Y pues traje muletes bastante tiempo y no me quedó bien igual.
[1:02:36.00]-[1:02:41.00]  Y tengo la otra, te desgaste de hueso y eso pues.
[1:02:41.00]-[1:02:46.00]  Hay que operar mucha gente, pero son pobres los enfermeros.
[1:02:46.00]-[1:02:48.00]  Esto de andar con los huesos.
[1:02:48.00]-[1:02:50.00]  ¿Para ti ya quedó bien?
[1:02:50.00]-[1:02:54.00]  Bueno, yo doblar, doblóla bien, pero a los cambios del tiempo,
[1:02:54.00]-[1:02:59.00]  cuando va a hacer cambio del tiempo, pues siento dolor.
[1:02:59.00]-[1:03:01.00]  ¿Y de los qué es que tal está?
[1:03:01.00]-[1:03:05.00]  Tengo artrosis, tengo estoporosis.
[1:03:05.00]-[1:03:08.00]  Operarme hay poco de un ojo.
[1:03:08.00]-[1:03:12.00]  Y el otro tengo una catarata y no me lo sacaron operándolo
[1:03:12.00]-[1:03:16.00]  porque ya no lo operaron una vez cuando tenía 17 años.
[1:03:16.00]-[1:03:20.00]  Lo operaron mal en aquellos tiempos.
[1:03:20.00]-[1:03:26.00]  Y ahora dije que no me lo pueden operar, pero lo meé este.
[1:03:26.00]-[1:03:31.00]  ¿Para ti te quedó mejor que las de otros vecinos?
[1:03:31.00]-[1:03:35.00]  Bueno, yo la rodilla, por lo menos tengo más fuerza en ella,
[1:03:35.00]-[1:03:39.00]  y más que en la otra, que la otra también me duele,
[1:03:39.00]-[1:03:43.00]  pero ya me dijo que tengo desgaste en esta cadera también.
[1:03:43.00]-[1:03:47.00]  Y la última vez que estuve allá, me dijo,
[1:03:47.00]-[1:03:51.00]  bueno, tienes desgaste de cadera, hay que poner una prótesis.
[1:03:51.00]-[1:03:54.00]  Y a mí me dice, nada, pero yo me meto.
[1:03:54.00]-[1:03:56.00]  No me salió la otra todavía.
[1:03:56.00]-[1:04:01.00]  Me meten la quirófana otra vez a ponerla en la cadera.
[1:04:01.00]-[1:04:04.00]  Y ahora sí estoy tirando, con meditación.
[1:04:04.00]-[1:04:08.00]  Pero cuando ya levanté, me gozo, me olía las dos.
[1:04:08.00]-[1:04:12.00]  Y pues también tengo unos sobres que me mandaron en el hospital,
[1:04:12.00]-[1:04:16.00]  y tomo un sobre y entonces ya por el día ya estoy bastante bien.
[1:04:16.00]-[1:04:23.00]  Pero qué va, bajar a Villoria, bajar y subir, andando nada.
[1:04:23.00]-[1:04:30.00]  Y ya no ando bien, pero costoso, no sé qué.
[1:04:30.00]-[1:04:37.00]  ¿Y la misa aquí, cómo se hace?
[1:04:37.00]-[1:04:40.00]  La misa a Villoria.
