[0:00:00.00]-[0:00:01.00]  ¿Y por qué?
[0:15:48.24]-[0:15:49.44]  Mi padre era de aquí.
[0:15:49.44]-[0:15:51.40]  ¿Y con sus hermanos la relación era buena también?
[0:15:51.40]-[0:15:54.52]  Sí, sí, madre mía muy buena, muy buena, muy buena.
[0:15:54.52]-[0:15:56.12]  O sea, la gente jamás se llevaba bien.
[0:15:56.12]-[0:15:58.36]  Hombre, no, siempre había algún...
[0:15:58.36]-[0:16:04.24]  Sí, también discutía la gente y se enfadaban y reían y todo, cosa de pueblos pequeños.
[0:16:04.24]-[0:16:05.24]  Ya.
[0:16:05.24]-[0:16:06.24]  Pues sí.
[0:16:06.24]-[0:16:09.32]  ¿Y con los padres tenían ustedes confianza para contarles problemas?
[0:16:09.32]-[0:16:12.32]  Hay una barrera muy grande.
[0:16:12.32]-[0:16:18.64]  No, no, entonces cuando yo era no, no, había mucho respeto, mucho respeto.
[0:16:18.64]-[0:16:19.64]  Ya.
[0:16:19.64]-[0:16:24.92]  Sí, sí, no es como ahora, que ahora mira, pero antes había mucho respeto.
[0:16:24.92]-[0:16:27.12]  Y si querían contar algo porque, pues yo que sé...
[0:16:27.12]-[0:16:32.52]  ¿Y si llegabas, hablaban con sus hermanos, con sus amigos, a quién recurrían?
[0:16:32.52]-[0:16:33.52]  Ya no me acuerdo.
[0:16:33.52]-[0:16:35.52]  Bueno, pues no pasa nada.
[0:16:35.52]-[0:16:37.12]  No, no, no sé, no.
[0:16:37.12]-[0:16:40.44]  Con las amigas, mucho con las amigas, con las amigas.
[0:16:40.44]-[0:16:44.80]  Siempre tenías amigas que tenías mucha, mucha intimidad y les contabas tus cosas,
[0:16:44.80]-[0:16:47.68]  tus... sí, se hablaba mucho, sí.
[0:16:47.68]-[0:16:54.16]  Con los padres, no, que con los padres parecía que eran, no sé, pasa que te daban más respeto.
[0:16:54.16]-[0:16:56.56]  Piensa que ahora es mejor la relación o es peor.
[0:16:56.56]-[0:16:57.56]  Mejor ahora.
[0:16:57.56]-[0:16:58.56]  Y ahora lo veo mejor.
[0:16:58.56]-[0:16:59.56]  Muy bien.
[0:16:59.56]-[0:17:00.56]  Mejor la veo.
[0:17:00.56]-[0:17:01.56]  A ver.
[0:17:01.56]-[0:17:08.88]  Y con respecto al profesor, también la relación, ¿el profesor ayudaba o simplemente enseñaba
[0:17:08.88]-[0:17:11.08]  o era cercano, era distante?
[0:17:11.08]-[0:17:17.00]  No, yo a mí me tocó una maestra ya muy mayor y era... no, era muy buena.
[0:17:17.00]-[0:17:19.44]  Sí, no, no, no era distante, no.
[0:17:19.44]-[0:17:20.44]  No era distante.
[0:17:20.44]-[0:17:23.44]  No, no era distante.
[0:17:23.44]-[0:17:24.44]  Ya.
[0:17:24.44]-[0:17:26.52]  ¿Eran niños de todas las edades en la misma clase o eran diferentes?
[0:17:26.52]-[0:17:35.28]  No, ay, cuando iba yo no, eran todos de diferente edad, desde, me parece que era de siete años
[0:17:35.28]-[0:17:36.52]  hasta catorce años.
[0:17:36.52]-[0:17:37.52]  Todos juntos en la misma edad.
[0:17:37.52]-[0:17:40.24]  Todos juntos, chicas, las chicas juntas y los chicos juntos.
[0:17:40.24]-[0:17:41.24]  Ah, bueno, claro, que era distante.
[0:17:41.24]-[0:17:43.00]  Que después ya se creó la escuela de párvulos.
[0:17:43.00]-[0:17:45.20]  Muy bien, sí, eso ya no lo sé.
[0:17:45.20]-[0:17:49.68]  Pero ya era yo mayor, cuando se creó ya era yo mayor.
[0:17:49.68]-[0:17:50.68]  Muy bien.
[0:17:50.68]-[0:17:56.96]  Y otra cosa, las relaciones, porque claro, bueno, las relaciones sentimentales, ¿no?,
[0:17:56.96]-[0:18:00.92]  de los chicos y las chicas existirían a partir de determinado momento, ¿no?
[0:18:00.92]-[0:18:01.92]  Sí, sí, sí.
[0:18:01.92]-[0:18:05.56]  Es decir, porque claro, en un pueblo en el que por un lado los chicos y por otro lado
[0:18:05.56]-[0:18:08.20]  las chicas, ¿cómo se conocen los chicos y las chicas?
[0:18:08.20]-[0:18:11.20]  Pues en el baile, en el baile, como había baile.
[0:18:11.20]-[0:18:12.20]  ¿Qué es el baile?
[0:18:12.20]-[0:18:19.08]  Pues el baile, pues, ahora ver que hablaré del baile, que yo lo he tenido en casa, el
[0:18:19.08]-[0:18:20.08]  baile.
[0:18:20.08]-[0:18:21.08]  ¿Qué onda?
[0:18:21.08]-[0:18:23.56]  Pues a tocar con una pianola.
[0:18:23.56]-[0:18:24.56]  Anda.
[0:18:24.56]-[0:18:26.80]  Yo he tocado mucho con una pianola.
[0:18:26.80]-[0:18:30.08]  Una panorá que, vean, no sabéis lo que es, era una pianola, ¿verdad?
[0:18:30.08]-[0:18:31.08]  ¿La pianola es esta?
[0:18:31.08]-[0:18:33.60]  No, eso es el oranillo de Madrid.
[0:18:33.60]-[0:18:34.60]  El oranillo de Madrid.
[0:18:34.60]-[0:18:36.36]  Claro, el que venimos de allí.
[0:18:36.36]-[0:18:37.36]  Aquí es pianola.
[0:18:37.36]-[0:18:40.80]  Era una pianola, la pianola era una cosa que se daba con los pies.
[0:18:40.80]-[0:18:41.80]  Ah, vale.
[0:18:41.80]-[0:18:47.68]  Y, pero había, madre mía, de todo, tangos, balsés, chotis, polcas, de todo había, de
[0:18:47.68]-[0:18:48.68]  todo.
[0:18:48.68]-[0:18:52.96]  Y en el baile, ese era un sitio que podías alternar con los chicos.
[0:18:52.96]-[0:18:55.48]  ¿Y eso que se hacía en la plaza o en una casa?
[0:18:55.48]-[0:18:56.48]  No, no, en un sitio cerrado.
[0:18:56.48]-[0:18:57.48]  En un sitio cerrado.
[0:18:57.48]-[0:19:00.48]  Aún lo llamó yo el baile.
[0:19:00.48]-[0:19:05.08]  ¿Y eso lo preparaban los chicos y lo aprobaban los padres?
[0:19:05.08]-[0:19:06.08]  ¿Lo preparaban los padres?
[0:19:06.08]-[0:19:14.04]  No, no, eso eran los jóvenes, los jóvenes y los mozos, que decíamos aquí, los mozos.
[0:19:14.04]-[0:19:15.40]  Lo preparaban los mozos.
[0:19:15.40]-[0:19:17.88]  ¿Y los padres daban su aprobación, no pasaba nada?
[0:19:17.88]-[0:19:18.88]  No, no, no.
[0:19:18.88]-[0:19:23.08]  Bueno, también se supone que antes la gente era mucho más, ¿no?
[0:19:23.08]-[0:19:24.08]  No.
[0:19:24.08]-[0:19:25.08]  Supongo.
[0:19:25.08]-[0:19:30.48]  No, aquí íbamos y por la tarde, pues por la noche, se hacía el baile, pero se hacía,
[0:19:30.48]-[0:19:34.28]  empezaba a las siete, hasta ya las nueve, las nueve y media.
[0:19:34.28]-[0:19:38.48]  Y después a la noche, pues hacían baile, había quien las dejaba salir, las padres
[0:19:38.48]-[0:19:40.80]  que las dejaban salir por la noche y otros no, según.
[0:19:40.80]-[0:19:46.40]  Yo, como lo tenía en casa, pues la verdad, como tenía que ir a tocar, pues a mí me
[0:19:46.40]-[0:19:48.68]  dejaban a todas horas.
[0:19:48.68]-[0:19:49.68]  Claro.
[0:19:49.68]-[0:19:51.44]  Como estaba en casa, no tenía que salir.
[0:19:51.44]-[0:19:56.40]  ¿Y esto lo hacían los fines de semana o cuándo lo hacían?
[0:19:56.40]-[0:19:57.40]  Los bailes.
[0:19:57.40]-[0:20:01.20]  Los bailes eran los domingos y los días de fiestas.
[0:20:01.20]-[0:20:07.80]  Y luego, si por ejemplo, un chico y una chica se gustaban, luego salían por el pueblo,
[0:20:07.80]-[0:20:09.68]  estaban pasando por el pueblo.
[0:20:09.68]-[0:20:10.68]  Y por la carretera.
[0:20:10.68]-[0:20:11.68]  Bueno, y por la carretera.
[0:20:11.68]-[0:20:12.68]  Claro, sí.
[0:20:12.68]-[0:20:15.16]  Por el pueblo no, pero más por la carretera.
[0:20:15.16]-[0:20:17.96]  Ya, ¿cómo funciona aquí lo de los chismorreos?
[0:20:17.96]-[0:20:20.16]  ¿Pos he visto a Pepito?
[0:20:20.16]-[0:20:21.16]  ¡Uy!
[0:20:21.16]-[0:20:22.16]  Aquello.
[0:20:22.16]-[0:20:23.16]  Claro, te cabría mucho, ¿no?
[0:20:23.16]-[0:20:24.16]  Si en un pueblo pequeño.
[0:20:24.16]-[0:20:33.48]  Te juntabas en el río, en el barranco, que decíamos aquí a la bar y pues ya sabes, pues
[0:20:33.48]-[0:20:34.48]  iba fulana con la otra, ¿no?
[0:20:34.48]-[0:20:35.48]  ¿Lo has visto tú, chica?
[0:20:35.48]-[0:20:37.52]  Vamos, si serán novios, si no serán.
[0:20:37.52]-[0:20:39.30]  El chismorreo aquel de...
[0:20:39.30]-[0:20:42.52]  Pero todos se decían los corridos en la fuente cuando ibas a buscar agua.
[0:20:42.52]-[0:20:46.32]  Todos los corridos estos de ir a buscar agua a la fuente y de ir a lavar al río.
[0:20:46.32]-[0:20:47.32]  Ya.
[0:20:47.32]-[0:20:49.32]  Y luego se casaban aquí la gente en el pueblo.
[0:20:49.32]-[0:20:53.48]  Hombre, aquí no se casaban muchos, pero sí, sí se casaban, sí.
[0:20:53.48]-[0:20:55.92]  De aquí no se casaban muchos, no.
[0:20:55.92]-[0:20:58.36]  ¿Y las bodas?
[0:20:58.36]-[0:21:03.12]  ¿Cómo se hacían las bodas?
[0:21:03.12]-[0:21:04.12]  ¿Quién las organizaba?
[0:21:04.12]-[0:21:09.60]  Ah, ya había aquí, aquí había bodas muy graciosas.
[0:21:09.60]-[0:21:10.60]  Había bodas.
[0:21:10.60]-[0:21:18.04]  Una se casó, una tía mía y cuando se casó salió a la puerta de la iglesia ya cuando
[0:21:18.04]-[0:21:23.72]  se había casado y le dijo al, no sé, al que era su marido, re Dios que ganas teñi
[0:21:23.72]-[0:21:24.72]  de cogete.
[0:21:24.72]-[0:21:28.20]  Porque claro, hasta la boda...
[0:21:28.20]-[0:21:29.20]  Hasta la boda, nanaí.
[0:21:29.20]-[0:21:30.20]  Ah, esto también.
[0:21:30.20]-[0:21:35.20]  Quiero preguntárselo antes, pero he querido ser discreto.
[0:21:35.20]-[0:21:42.72]  Pues eso, eso un familiar mío, eh, salió de la iglesia y en la puerta de la iglesia
[0:21:42.72]-[0:21:46.16]  las palabras que le dijo, en vez de dar un beso le dijo, re Dios que ganas teñi de
[0:21:46.16]-[0:21:47.16]  cogete.
[0:21:47.16]-[0:21:48.16]  Está bien.
[0:21:48.16]-[0:21:51.16]  Entonces, en los test también una gente muy espontánea, ¿no?
[0:21:51.16]-[0:21:52.16]  Sí, pues sí.
[0:21:52.16]-[0:21:54.88]  ¿Cómo piensan que ha cambiado la gente desde entonces hasta ahora?
[0:21:54.88]-[0:21:57.56]  Pues no lo sé, no lo sé.
[0:21:57.56]-[0:21:58.56]  Más, mejores.
[0:21:58.56]-[0:21:59.56]  ¿Ahora o antes?
[0:21:59.56]-[0:22:00.56]  Sí, no.
[0:22:00.56]-[0:22:07.92]  Antes, no sé, ahora la juventud no se preocupa tanto de esos chismorreos ni de nada.
[0:22:07.92]-[0:22:10.12]  Antes se preocupaba la gente más.
[0:22:10.12]-[0:22:16.84]  Ahora la juventud de hoy en día no se preocupa ni de ese, pues que vaya, pero antes no, antes
[0:22:16.84]-[0:22:20.96]  decían, oye chica, sabes qué, fulana, me parece que está en estado, me parece que
[0:22:20.96]-[0:22:23.44]  no sé qué, me parece que no sé cuántas.
[0:22:23.44]-[0:22:29.08]  Y después teníamos un médico, cuando se casaba, si algún antrepueblo y pueblo, decían,
[0:22:29.08]-[0:22:32.96]  no sé lo que pasa, pero ahora todos los mocetes salen siete mesinos.
[0:22:32.96]-[0:22:33.96]  Ya.
[0:22:33.96]-[0:22:44.08]  Pues sí, eso lo he dicho por un médico, eh.
[0:22:44.08]-[0:22:45.08]  Por un médico, bueno.
[0:22:45.08]-[0:22:48.24]  Por un médico que yo entonces era cría que no me acuerdo.
[0:22:48.24]-[0:22:50.28]  No, se acuerda bastante bien, ¿eh?
[0:22:50.28]-[0:22:51.28]  Se acuerda, se acuerda.
[0:22:51.28]-[0:22:52.28]  No, me acuerdo.
[0:22:52.28]-[0:22:55.84]  Luego cuando la gente se casaba, la pareja se iba a vivir en una casa, se iban a vivir
[0:22:55.84]-[0:22:56.84]  con los padres.
[0:22:56.84]-[0:23:00.36]  A ellos se quedaban con los padres, sí, la mayoría se quedaban con los padres.
[0:23:00.36]-[0:23:03.24]  Con los padres de uno, del chico, de la chica, o da igual.
[0:23:03.24]-[0:23:04.24]  Según, según.
[0:23:04.24]-[0:23:05.24]  Da igual, ¿no?
[0:23:05.24]-[0:23:06.24]  Según.
[0:23:06.24]-[0:23:07.24]  Estupendo.
[0:23:07.24]-[0:23:08.24]  Según.
[0:23:08.24]-[0:23:11.40]  Si a lo mejor en una casa necesitaban un hombre, pues la mujer pues se quedaba.
[0:23:11.40]-[0:23:14.08]  Hoy el hombre se quedaba en casa y iba la mujer.
[0:23:14.08]-[0:23:15.08]  Ya.
[0:23:15.08]-[0:23:16.08]  Sí.
[0:23:16.08]-[0:23:18.08]  Si luego tenían hijos también en la casa o iban a otra.
[0:23:18.08]-[0:23:20.92]  No, no, no, no, los hijos los tenían, se quedaban en la casa.
[0:23:20.92]-[0:23:24.20]  O sea que a lo mejor las tres generaciones dentro de la misma casa se quedaban, ¿no?
[0:23:24.20]-[0:23:25.20]  Sí, sí.
[0:23:25.20]-[0:23:26.20]  Muy bien.
[0:23:26.20]-[0:23:27.20]  Pues a ver.
[0:23:27.20]-[0:23:33.24]  No, yo me quedé en casa y mis hermanos salieron.
[0:23:33.24]-[0:23:35.48]  Yo me quedé en casa y mis hermanos salieron.
[0:23:35.48]-[0:23:36.96]  Ah, bueno, muy bien.
[0:23:36.96]-[0:23:42.04]  O sea, usted se casó y su marido fue a casa de sus padres.
[0:23:42.04]-[0:23:43.04]  Sí.
[0:23:43.04]-[0:23:44.04]  Ah, no, no, no.
[0:23:44.04]-[0:23:45.04]  Mi marido era de fuera, era forano.
[0:23:45.04]-[0:23:46.04]  Ya.
[0:23:46.04]-[0:23:51.64]  Pues a ver, una cosa, ya que está hablando del médico, ¿quién era el médico del pueblo?
[0:23:51.64]-[0:23:53.24]  ¿Había médico en el pueblo o venía del pueblo?
[0:23:53.24]-[0:23:55.72]  No, no, no, hoy aquí había médico.
[0:23:55.72]-[0:23:59.84]  Tenía practicante, teníamos farmacia, aquí había de todo.
[0:23:59.84]-[0:24:03.20]  Sí, sí, había de todo.
[0:24:03.20]-[0:24:04.20]  ¿Y matrona también?
[0:24:04.20]-[0:24:06.20]  Y farmacia, bueno, también.
[0:24:06.20]-[0:24:07.20]  ¿Matrona?
[0:24:07.20]-[0:24:08.20]  ¿No para los partos?
[0:24:08.20]-[0:24:10.60]  Sí, sí, sí, sí, también había.
[0:24:10.60]-[0:24:11.60]  La tía...
[0:24:11.60]-[0:24:12.60]  Sí.
[0:24:12.60]-[0:24:13.60]  Bien.
[0:24:13.60]-[0:24:18.20]  ¿Cómo avisaron al médico cuando había, iban a su casa?
[0:24:18.20]-[0:24:21.76]  Lo llamaban, iban a casa a llamar, trucaban.
[0:24:21.76]-[0:24:22.76]  Ya.
[0:24:22.76]-[0:24:23.76]  Muy bien.
[0:24:23.76]-[0:24:27.88]  ¿Y atendía siempre a todo el mundo o solamente a los...
[0:24:27.88]-[0:24:32.48]  Hombre, era la parturienta, pero si un parto le venía un poco mal, pues llamaban al médico,
[0:24:32.48]-[0:24:34.68]  si no, pues no, no hacía falta.
[0:24:34.68]-[0:24:37.52]  ¿Recuerda algún caso en el que el médico no atendiera a alguien?
[0:24:37.52]-[0:24:40.04]  No, no, no, de eso no recuerdo nada.
[0:24:40.04]-[0:24:41.04]  Era una persona...
[0:24:41.04]-[0:24:44.24]  Sí, era una persona, sí.
[0:24:44.24]-[0:24:45.24]  Muy bien.
[0:24:45.24]-[0:24:48.48]  ¿Y tenían ustedes miedo entonces de enfermedades?
[0:24:48.48]-[0:24:49.48]  Ah, no, no.
[0:24:49.48]-[0:24:51.04]  ¿En los partos, por ejemplo?
[0:24:51.04]-[0:24:52.04]  No, no.
[0:24:52.04]-[0:24:54.04]  No había miedo.
[0:24:54.04]-[0:24:56.64]  ¿Cómo vivían los embarazos, por ejemplo?
[0:24:56.64]-[0:24:57.64]  Ah, pues bien.
[0:24:57.64]-[0:25:02.44]  Bien, se vivía, pues nada, pues está embarazada, embarazada, que devuelve, pues que devuelva,
[0:25:02.44]-[0:25:03.44]  ya se le pasará.
[0:25:03.44]-[0:25:04.44]  Ya, muy bien.
[0:25:04.44]-[0:25:11.28]  ¿Y si tenían alguna herida, la tocaban ustedes en casa, esperaban llegar al médico, cómo...
[0:25:11.28]-[0:25:14.36]  Ay, no, se curaban en casa.
[0:25:14.36]-[0:25:19.84]  Yo tuve un dedo malo y mi madre me ponía aceite caliente con miel.
[0:25:19.84]-[0:25:22.96]  Ay, cebolla caliente con miel.
[0:25:22.96]-[0:25:27.52]  Y así se me iba madurando y cuando se maduraba pues se reventaba solo y ¡hala!
[0:25:27.52]-[0:25:28.52]  Ya está curado.
[0:25:28.52]-[0:25:29.52]  Muy bien.
[0:25:29.52]-[0:25:34.20]  Si había algo más grave, ¿algún hospital que hubiera cerca o...?
[0:25:34.20]-[0:25:38.60]  No, aquí, a Zaragoza, se iba al Hospital de Gracia de Zaragoza.
[0:25:38.60]-[0:25:39.60]  ¿Cómo iban?
[0:25:39.60]-[0:25:42.60]  ¿Tenían medio transporte, coche, ustedes, un autobús o...?
[0:25:42.60]-[0:25:46.96]  Pues no me acuerdo, pues serían coche y un autobús.
[0:25:46.96]-[0:25:48.88]  Había coches y teníamos un coche.
[0:25:48.88]-[0:25:49.88]  Coche había, sí.
[0:25:49.88]-[0:25:50.88]  Coche había.
[0:25:50.88]-[0:25:51.88]  Muy bien.
[0:25:51.88]-[0:25:56.56]  Hasta SOS, hasta Sangüesa teníamos coche.
[0:25:56.56]-[0:26:01.68]  La Petaca y luego el padre de las...
[0:26:01.68]-[0:26:02.68]  Tenían coche, sí.
[0:26:02.68]-[0:26:03.68]  Muy bien.
[0:26:03.68]-[0:26:04.68]  Correo había todos los días.
[0:26:04.68]-[0:26:05.68]  Ah, correo también.
[0:26:05.68]-[0:26:07.68]  Correo había todos los días.
[0:26:07.68]-[0:26:10.36]  Y otra cosa también, lo de la panadería.
[0:26:10.36]-[0:26:15.16]  Panadería, ¿tenían ustedes aquí, tenían obrador o tenían alguien que traía el pan
[0:26:15.16]-[0:26:16.16]  de fuera?
[0:26:16.16]-[0:26:17.84]  No, tuvimos, hubo panadería.
[0:26:17.84]-[0:26:20.44]  Mira, esa era la panadería, el horno del pueblo.
[0:26:20.44]-[0:26:24.68]  Esto que está aquí detrás de él era el horno del pueblo, se amasaba en casa.
[0:26:24.68]-[0:26:28.16]  Pero después ya puse una panadería aquí afuera y había panadero.
[0:26:28.16]-[0:26:29.16]  Muy bien.
[0:26:29.16]-[0:26:30.16]  Sí.
[0:26:30.16]-[0:26:31.16]  El panadero era también del pueblo.
[0:26:31.16]-[0:26:32.16]  No, no.
[0:26:32.16]-[0:26:35.32]  El panadero era de Sada, de Sada de aquí de Navarra.
[0:26:35.32]-[0:26:36.32]  Sí, sí, sí.
[0:26:36.32]-[0:26:38.20]  ¿Y la leche, por ejemplo, la compraban o...?
[0:26:38.20]-[0:26:40.40]  La leche sí había vacas también en el pueblo.
[0:26:40.40]-[0:26:41.40]  ¿Y ovejas?
[0:26:41.40]-[0:26:44.52]  Y ovejas también, sí, pero de vaca, de vaca, la leche era de vaca.
[0:26:44.52]-[0:26:45.52]  Es mejor, ¿no?
[0:26:45.52]-[0:26:47.52]  Hombre, mejor, de vaca, pues mejor.
[0:26:47.52]-[0:26:49.64]  ¿Y la matían para que no se pusiera mala?
[0:26:49.64]-[0:26:51.72]  Ay, no se ponía mala.
[0:26:51.72]-[0:26:53.50]  Se comía todos los días.
[0:26:53.50]-[0:26:55.92]  Todos los días se compraba.
[0:26:55.92]-[0:26:59.86]  Se ordenaba todos los días y todos los días si ibas a buscar la leche la comprabas para
[0:26:59.86]-[0:27:00.86]  el día.
[0:27:00.86]-[0:27:01.86]  Sí.
[0:27:01.86]-[0:27:02.86]  Muy bien.
[0:27:02.86]-[0:27:06.64]  ¿Y los quesos, por ejemplo, iban a comprarlos o los producían como...?
[0:27:06.64]-[0:27:08.16]  Ah, quesos, no, no, quesos no.
[0:27:08.16]-[0:27:09.84]  Aquí hacían quesos pero para casa.
[0:27:09.84]-[0:27:15.20]  Sí, simplemente pues alguien que hacía quesos era pues para casa.
[0:27:15.20]-[0:27:16.20]  Muy bien.
[0:27:16.20]-[0:27:17.20]  Sí.
[0:27:17.20]-[0:27:20.20]  ¿Porque las verduras y tal las cultivaban ustedes?
[0:27:20.20]-[0:27:21.20]  Si, las verduras si.
[0:27:21.20]-[0:27:23.20]  Y fueron los embutidos además de la morcilla.
[0:27:23.20]-[0:27:26.20]  Ah, de todo eso se hacía de casas, si, todo eso si.
[0:27:26.20]-[0:27:27.20]  ¿Y qué más?
[0:27:27.20]-[0:27:28.20]  El pan.
[0:27:28.20]-[0:27:33.20]  El pan también había panadería aquí, el pan era de... si había pan.
[0:27:33.20]-[0:27:37.20]  Y luego lo que decíamos antes, la sal, la azúcar, vinagre...
[0:27:37.20]-[0:27:39.20]  Pues había, oh, había un comercio muy bueno aquí.
[0:27:39.20]-[0:27:41.20]  Cinco comercios luego a ver.
[0:27:41.20]-[0:27:42.20]  Ah.
[0:27:42.20]-[0:27:43.20]  Cinco comercios.
[0:27:43.20]-[0:27:46.20]  ¿Sabes usted de dónde traían las cosas?
[0:27:46.20]-[0:27:47.20]  De Pamplona.
[0:27:47.20]-[0:27:48.20]  De Pamplona, si.
[0:27:48.20]-[0:27:49.20]  Aquí se traía mucho de Pamplona.
[0:27:49.20]-[0:27:50.20]  Muy bien.
[0:27:50.20]-[0:27:51.20]  Como estaba cerca.
[0:27:51.20]-[0:27:52.20]  Sí, de Pamplona.
[0:27:52.20]-[0:27:56.20]  Y entonces, ¿cómo es que iban al hospital a Zaragoza y no a Pamplona si es que era más cerca?
[0:27:56.20]-[0:28:01.20]  Pues porque como eso era la provincia de Zaragoza, pues todo el mundo se iba a Zaragoza.
[0:28:01.20]-[0:28:03.20]  Ahora sin embargo es distinto, ahora vas a Pamplona.
[0:28:03.20]-[0:28:06.20]  O sea que ahora, antes se iba a Zaragoza.
[0:28:06.20]-[0:28:08.20]  ¿Y salían mucho del pueblo?
[0:28:08.20]-[0:28:09.20]  No.
[0:28:09.20]-[0:28:10.20]  No lo viajaban mucho, ¿no?
[0:28:10.20]-[0:28:11.20]  No, no, no.
[0:28:11.20]-[0:28:12.20]  Había que ir en burro.
[0:28:12.20]-[0:28:17.20]  Cualquiera marchaba, pues estaba a tres horas bajar a San Huesa y estaba a 20 kilómetros.
[0:28:17.20]-[0:28:18.20]  Ya.
[0:28:18.20]-[0:28:20.20]  A ver.
[0:28:20.20]-[0:28:21.20]  Pues sí.
[0:28:21.20]-[0:28:29.20]  Entonces, ¿qué sabían ustedes de otros sitios de España como Madrid, Barcelona?
[0:28:29.20]-[0:28:32.20]  Porque claro, antes la gente no se movía tanto.
[0:28:32.20]-[0:28:34.20]  Con los periódicos.
[0:28:34.20]-[0:28:36.20]  Con los periódicos, había periódicos.
[0:28:36.20]-[0:28:37.20]  Claro, sí, sí.
[0:28:37.20]-[0:28:43.20]  Sí, estaba el Heraldo, el noticiero, noticiero y Heraldo, era lo que más sabía.
[0:28:43.20]-[0:28:45.20]  ¿Leían ustedes presa entonces?
[0:28:45.20]-[0:28:47.20]  Sí, sí, sí, sí, sí, sí, sí, sí.
[0:28:47.20]-[0:28:49.20]  Sí, el Heraldo.
[0:28:49.20]-[0:28:50.20]  Muy bien.
[0:28:50.20]-[0:28:52.20]  En mi casa el Heraldo era lo que...
[0:28:52.20]-[0:28:56.20]  Sí, además mi padre fue muchos, muchos años corresponsal del Heraldo.
[0:28:56.20]-[0:28:57.20]  Ah.
[0:28:57.20]-[0:28:58.20]  Sí.
[0:28:58.20]-[0:29:00.20]  Muy bien.
[0:29:00.20]-[0:29:05.20]  Y con respecto a libros, ¿tenían ustedes algún tipo de librería?
[0:29:05.20]-[0:29:07.20]  ¿Tenían inquietudes de leer?
[0:29:07.20]-[0:29:10.20]  No, sí pusieron una biblioteca, pero duró poco.
[0:29:10.20]-[0:29:12.20]  No sé qué pasó con la... de cría yo, ¿eh?
[0:29:12.20]-[0:29:13.20]  Me acuerdo de cría.
[0:29:13.20]-[0:29:14.20]  Muy bien.
[0:29:14.20]-[0:29:16.20]  Sí, me acuerdo de cría, pero sí.
[0:29:16.20]-[0:29:24.20]  En la escuela de los chicos, sí pusieron una biblioteca, pero no sé qué pasó con aquello que la gente no...
[0:29:24.20]-[0:29:25.20]  leía poco.
[0:29:25.20]-[0:29:26.20]  Ya.
[0:29:26.20]-[0:29:28.20]  Es que tampoco no les quedaba tiempo de leer a la gente.
[0:29:28.20]-[0:29:30.20]  Ya.
[0:29:30.20]-[0:29:31.20]  Como se hacía todo a mano.
[0:29:31.20]-[0:29:33.20]  Claro, todo, quería trabajar.
[0:29:33.20]-[0:29:36.20]  Segar a mano, todo, todo, todo, todo, todo.
[0:29:36.20]-[0:29:37.20]  Lavar la ropa también.
[0:29:37.20]-[0:29:38.20]  Lavar la ropa, ¡ay!
[0:29:38.20]-[0:29:39.20]  Sí, lavar la ropa, niña.
[0:29:39.20]-[0:29:40.20]  ¿Cómo la lavaban?
[0:29:40.20]-[0:29:44.20]  Mira, en una lavadera y en el río, y dale que te pego, y pego que te dale.
[0:29:44.20]-[0:29:45.20]  ¡Ahí, a la!
[0:29:45.20]-[0:29:46.20]  ¡A darle!
[0:29:46.20]-[0:29:47.20]  A cegarla bien.
[0:29:47.20]-[0:29:49.20]  Y eso también a las niñas, que también la ayudarían, ¿no?
[0:29:49.20]-[0:29:50.20]  ¿A quién?
[0:29:50.20]-[0:29:51.20]  Las niñas también, ¿no?
[0:29:51.20]-[0:29:52.20]  A las madres, o sea, iban las madres.
[0:29:52.20]-[0:29:54.20]  Sí, sí, sí, sí, sí, mucho, mucho.
[0:29:54.20]-[0:29:56.20]  De cría ya tenías que ir a lavar, toma.
[0:29:56.20]-[0:29:58.20]  ¿Y las telas, de dónde las sacaban?
[0:29:58.20]-[0:30:03.20]  ¿La ropa la hacían ustedes o la compraban?
[0:30:03.20]-[0:30:04.20]  Ah, no, compraban las telas y hacían los vestidos.
[0:30:04.20]-[0:30:05.20]  ¿Y la tela dónde las compraban?
[0:30:05.20]-[0:30:06.20]  Pues, muchas veces en Sanhuesa.
[0:30:06.20]-[0:30:10.20]  Aquí mucho se bajaba Sanhuesa, como era el pueblo más cerca.
[0:30:10.20]-[0:30:14.20]  Y allá había muchos comercios y de todo, pues en Sanhuesa.
[0:30:14.20]-[0:30:15.20]  Muy bien.
[0:30:15.20]-[0:30:17.20]  ¿Y teníamos tres máquinas de coser en casa o hacían a mano?
[0:30:17.20]-[0:30:19.20]  Sí, sí, eso sí, no, no, no, la máquina de coser.
[0:30:19.20]-[0:30:23.20]  Sí, yo tengo máquina desde el año 48.
[0:30:23.20]-[0:30:27.20]  Y cuando aprendían a bordar, ¿pero también les enseñaban a coser a máquina?
[0:30:27.20]-[0:30:29.20]  ¿O solo hacían viendo a sus madres?
[0:30:29.20]-[0:30:33.20]  Ah, yo no, yo viendo a mi madre coser, pues se me ponía y ya estaba.
[0:30:33.20]-[0:30:37.20]  Al principio no me dejaba porque le iba a romper, pero al final aún le pillaba la vuelta.
[0:30:37.20]-[0:30:39.20]  Estupendo, muy bien.
[0:30:39.20]-[0:30:42.20]  ¿Y el tema del calzado?
[0:30:42.20]-[0:30:45.20]  Calzado también había un zapatero, pero remendón.
