[0:00:00.00]-[0:00:05.00]  Estamos con Errigoiti.
[0:18:04.00]-[0:18:11.00]  Siempre, a lo mejor, ya no nos llamaban los que nos decían, chicos, hay que ir con los carones, chicos, españoles y macarrones.
[0:18:11.00]-[0:18:14.00]  Es que todos los días, oye, comíamos macarrones.
[0:18:14.00]-[0:18:15.00]  Sí.
[0:18:15.00]-[0:18:16.00]  Macarrones, ¿eh?
[0:18:16.00]-[0:18:17.00]  A mí me ha pasado igual.
[0:18:17.00]-[0:18:18.00]  Sí.
[0:18:18.00]-[0:18:19.00]  Siempre.
[0:18:19.00]-[0:18:20.00]  Pues ya lo mismo.
[0:18:20.00]-[0:18:22.00]  Todos los días, macarrones.
[0:18:22.00]-[0:18:28.00]  Siempre, españoles, macarrones.
[0:18:28.00]-[0:18:32.00]  ¿Y le impresionó, conoció al Papa, o lo vio de lejos?
[0:18:32.00]-[0:18:34.00]  No, a lo del Samos, sí.
[0:18:34.00]-[0:18:35.00]  ¿Y le impresionó?
[0:18:35.00]-[0:18:38.00]  No.
[0:18:38.00]-[0:18:39.00]  ¿Le saludó?
[0:18:39.00]-[0:18:40.00]  Está igual de viejo que ahora.
[0:18:40.00]-[0:18:41.00]  ¿Eh?
[0:18:41.00]-[0:18:42.00]  Está igual de viejo que ahora.
[0:18:42.00]-[0:18:45.00]  Este no era, cuando se me... Este no era, este no.
[0:18:45.00]-[0:18:47.00]  ¿Qué Papa estaba entonces?
[0:18:47.00]-[0:18:50.00]  No sé, no me acuerdo de qué Papa era.
[0:18:50.00]-[0:18:52.00]  No era mayor, eh.
[0:18:52.00]-[0:18:53.00]  Pues era... No me acuerdo.
[0:18:53.00]-[0:18:56.00]  No, no me acuerdo de qué Papa era.
[0:18:56.00]-[0:18:58.00]  ¿Y qué cosas les dijo?
[0:18:58.00]-[0:18:59.00]  ¿El Papa?
[0:18:59.00]-[0:19:00.00]  Sí.
[0:19:00.00]-[0:19:01.00]  Nos dijo muchas cosas.
[0:19:01.00]-[0:19:07.00]  Además, había negros y... De muchos sitios fueron entonces, era la penicillación, no sé lo que había.
[0:19:07.00]-[0:19:11.00]  Y de muchos sitios había eso.
[0:19:11.00]-[0:19:15.00]  Y luego, el autobús nos llevaba a ver las cosas.
[0:19:15.00]-[0:19:23.00]  Estábamos en un hotel, y el hotel tenía autobús para llevar a la gente a ver los sitios que había allí.
[0:19:23.00]-[0:19:27.00]  Había sitios donde mataban a los cristianos también.
[0:19:27.00]-[0:19:32.00]  Y esa casa todavía también se vuelve en la tele alguna vez, ya, por la edad de esa casa.
[0:19:32.00]-[0:19:33.00]  Sí.
[0:19:33.00]-[0:19:35.00]  Y íbamos.
[0:19:35.00]-[0:19:42.00]  Y resulta que una vez fuimos a verle... Algo había de esto en el Vaticano.
[0:19:42.00]-[0:19:46.00]  Y fuimos a ver y nos escape el autobús, nos deja allí en el Vaticano.
[0:19:46.00]-[0:19:50.00]  Cogemos un tazis y llevaron a esto.
[0:19:50.00]-[0:19:53.00]  Resulta que un tazista nos cobró bien.
[0:19:53.00]-[0:19:59.00]  Y mi hermana y otras amigas que venían en otro tazis, una barbaridad les cobró.
[0:19:59.00]-[0:20:02.00]  Así que, ahí aladronas también allí.
[0:20:02.00]-[0:20:03.00]  Les tomó el pelo.
[0:20:03.00]-[0:20:05.00]  Hombre. Claro.
[0:20:05.00]-[0:20:08.00]  Estas no son de aquí, vamos a cobrar, dirían.
[0:20:08.00]-[0:20:10.00]  ¿Con quién fue usted?
[0:20:10.00]-[0:20:13.00]  Yo fuimos otras tres hermanas y otras amigas.
[0:20:13.00]-[0:20:16.00]  Fui a hacer una aclaración de aquí.
[0:20:16.00]-[0:20:24.00]  Fuimos, nos entremos en esto en Francia a las diez de la mañana en el tren.
[0:20:24.00]-[0:20:30.00]  Y al día siguiente, a las una de la mañana, nos llegamos a esto.
[0:20:30.00]-[0:20:34.00]  Al Vaticano.
[0:20:34.00]-[0:20:38.00]  Así que, el viaje muy cansado era.
[0:20:38.00]-[0:20:42.00]  En casi todas las familias había gente religiosa que se dedicaba.
[0:20:42.00]-[0:20:44.00]  Sí.
[0:20:44.00]-[0:20:45.00]  En su familia.
[0:20:45.00]-[0:20:52.00]  Además, ahora no se reza, pero antes, por las noches de mes, siempre, en Santo Rosario, rezábamos.
[0:20:52.00]-[0:20:55.00]  Y ahora, todo se ha terminado.
[0:20:55.00]-[0:20:57.00]  ¿Usted sigue rezando?
[0:20:57.00]-[0:20:59.00]  Yo, en mis oraciones, acorado también.
[0:20:59.00]-[0:21:02.00]  A la mañana y a la noche, siempre, en mis oraciones.
[0:21:02.00]-[0:21:07.00]  ¿Y de ser joven, se metería monja?
[0:21:07.00]-[0:21:11.00]  No, no. Eso no me ha gustado nunca. De monjas no me ha gustado nunca.
[0:21:11.00]-[0:21:12.00]  ¿Por qué?
[0:21:12.00]-[0:21:16.00]  Porque no me ha gustado.
[0:21:16.00]-[0:21:19.00]  Los monjas antes venían a pedir.
[0:21:19.00]-[0:21:22.00]  Y un día, me acuerdo, venían a pedir.
[0:21:22.00]-[0:21:26.00]  Ahora no vienen. Antes venían muchas monjas a pedir.
[0:21:26.00]-[0:21:30.00]  Y recogían algunas, pedían alubias, otras pedían huevos.
[0:21:30.00]-[0:21:34.00]  Resulta que una vez me vienen y... ¿Qué recojen? Les digo.
[0:21:34.00]-[0:21:37.00]  Alubias. Pues tengo sin desganarte. Les dije.
[0:21:37.00]-[0:21:40.00]  ¡Ah! Bajen ustedes un montoncito. Y ya, hacemos enseguida.
[0:21:40.00]-[0:21:43.00]  Les bajo, y me dicen.
[0:21:43.00]-[0:21:45.00]  Mete usted ahora en un saco esos.
[0:21:45.00]-[0:21:48.00]  Les meten en el saco y me dicen. Pegue usted ahora esos.
[0:21:48.00]-[0:21:50.00]  No me dicen ellas, las monjas.
[0:21:50.00]-[0:21:55.00]  Me hacen pegar a mí, desganar a mí las alubias.
[0:21:55.00]-[0:21:57.00]  Sí.
[0:21:57.00]-[0:22:00.00]  También venían frailes.
[0:22:00.00]-[0:22:05.00]  Venían y pedían también, pedían huevos o alubias.
[0:22:05.00]-[0:22:08.00]  Y para qué las querían.
[0:22:08.00]-[0:22:10.00]  Para ellos, para el convento.
[0:22:10.00]-[0:22:12.00]  Querían, se llevaban al convento.
[0:22:12.00]-[0:22:15.00]  ¿Y no tenían en el convento medios? ¿Ellos no tenían huerta?
[0:22:15.00]-[0:22:17.00]  No sé ni lo que tenían.
[0:22:17.00]-[0:22:20.00]  Y venían muchos monjas y frailes, venían muchos.
[0:22:20.00]-[0:22:23.00]  Y me acuerdo que hay en Múgica, en otro pueblo ahí abajo.
[0:22:23.00]-[0:22:25.00]  Este se llama Múgica.
[0:22:25.00]-[0:22:29.00]  Que les fueron las monjas, no sé si fueron los frailes.
[0:22:29.00]-[0:22:31.00]  Un chavalito en casa.
[0:22:31.00]-[0:22:37.00]  Y claro, nosotros no íbamos a Garnica a hacer compras los lunes.
[0:22:37.00]-[0:22:40.00]  Y llevábamos huevos para vender y así.
[0:22:40.00]-[0:22:46.00]  Creo que tenía la madre, el chaval de la madre tenía una cesta de huevos.
[0:22:46.00]-[0:22:51.00]  Y le dicen que recogían huevos, les dijo.
[0:22:51.00]-[0:22:54.00]  Y el chaval trae toda la cesta y les dice, no, no se coge toda la cesta.
[0:22:54.00]-[0:23:02.00]  ¿Qué le pasó a ese chico cuando regresó a su casa?
[0:23:02.00]-[0:23:05.00]  No sé porque eran de otro pueblo.
[0:23:05.00]-[0:23:10.00]  Dijeron que los frailes que le sabían llevaban toda la cesta de huevos.
[0:23:10.00]-[0:23:12.00]  Como les escribió huevos.
[0:23:12.00]-[0:23:15.00]  Y la madre que tenía la cesta de huevos para llevar a Garnica.
[0:23:15.00]-[0:23:18.00]  Para hacer compras.
[0:23:18.00]-[0:23:21.00]  Pues sí.
[0:23:21.00]-[0:23:25.00]  Si usted, de ser la madre de ese chico, usted...
[0:23:25.00]-[0:23:30.00]  Le hice una paliza buena.
[0:23:30.00]-[0:23:31.00]  O igual no.
[0:23:31.00]-[0:23:33.00]  El perro no tenía la culpa.
[0:23:33.00]-[0:23:35.00]  Lo que tenía la culpa eran ellos.
[0:23:35.00]-[0:23:37.00]  Porque eso no se hace.
[0:23:37.00]-[0:23:38.00]  Claro.
[0:23:38.00]-[0:23:39.00]  Sí.
[0:23:39.00]-[0:23:46.00]  ¿A qué juegos, qué nombres de juegos y cómo se jugaba cuando era pequeña?
[0:23:46.00]-[0:23:48.00]  ¿Qué nombres de juegos recuerda?
[0:23:48.00]-[0:23:51.00]  Nada más que saltar en la cuerda. Con la cuerda nada más.
[0:23:51.00]-[0:23:53.00]  Y a escondites.
[0:23:53.00]-[0:23:54.00]  Y nada más.
[0:23:54.00]-[0:23:57.00]  No sé, no hay otra cosa.
[0:23:57.00]-[0:23:59.00]  Y también sí, con esto.
[0:23:59.00]-[0:24:02.00]  Con un mapeo también se jugaba. No sé cómo se hacía.
[0:24:02.00]-[0:24:04.00]  En el suelo, no sé. No me acuerdo del nombre.
[0:24:04.00]-[0:24:06.00]  ¿A la china no se le llamaba?
[0:24:06.00]-[0:24:07.00]  No.
[0:24:07.00]-[0:24:11.00]  A la china no sé cómo se llamaba.
[0:24:11.00]-[0:24:12.00]  No.
[0:24:12.00]-[0:24:14.00]  No me acuerdo.
[0:24:14.00]-[0:24:15.00]  Eso también.
[0:24:15.00]-[0:24:18.00]  No sé cómo le llamarían aquí.
[0:24:18.00]-[0:24:21.00]  ¿Y qué tal relación tenía con sus padres?
[0:24:21.00]-[0:24:25.00]  Ah, bien. Mucho respeto a los padres.
[0:24:25.00]-[0:24:27.00]  La madre nos pegaba mucho.
[0:24:27.00]-[0:24:34.00]  Pero una mirada del padre no se os da más que las palizas de la madre.
[0:24:34.00]-[0:24:38.00]  ¿Qué travesuras, cuéntenos qué travesuras hizo?
[0:24:38.00]-[0:24:41.00]  ¿Qué cosas hizo usted?
[0:24:41.00]-[0:24:45.00]  Ya te voy a decir. Era jovencita yo.
[0:24:45.00]-[0:24:47.00]  Sí, era jovencita.
[0:24:47.00]-[0:24:48.00]  ¿Esa es hija suya?
[0:24:48.00]-[0:24:49.00]  No, es de...
[0:24:49.00]-[0:24:52.00]  Esos vienen a pasar el día, de Penuerson.
[0:24:52.00]-[0:24:54.00]  La madre la huerta.
[0:24:54.00]-[0:24:58.00]  Yo no sé cuándo se incendiaría, once o doce o no sé.
[0:24:58.00]-[0:25:04.00]  Y me dijo la madre, pues cuando se cueten las alubias, le vas a echar a las alubias la berza.
[0:25:04.00]-[0:25:06.00]  Me dice la madre.
[0:25:06.00]-[0:25:09.00]  Bueno, agur.
[0:25:09.00]-[0:25:11.00]  Y me dice la madre.
[0:25:11.00]-[0:25:19.00]  Y claro, en el puchero de barro colgado de esto, como se dice, en el fuego de abajo,
[0:25:19.00]-[0:25:24.00]  resulta que cuando se cocieron las alubias, se echó las berzas.
[0:25:24.00]-[0:25:29.00]  Y luego le agarré así con la mano esto, y como estaba caliente, le dejé,
[0:25:29.00]-[0:25:34.00]  pega a la esquina y ahí se va al fuego todas las alubias.
[0:25:34.00]-[0:25:42.00]  En aquel momento, tenía un hermano pequeño y más malo, he hecho una piedra grande a la cocina.
[0:25:42.00]-[0:25:44.00]  Y dije, ¡eh, ya te va de rama!
[0:25:44.00]-[0:25:46.00]  Ves, ya has roto el puchero.
[0:25:46.00]-[0:25:48.00]  Me salvé.
[0:25:48.00]-[0:25:50.00]  Qué bien me salvé.
[0:25:53.00]-[0:25:54.00]  No te rías, ¿eh?
[0:25:54.00]-[0:25:56.00]  Es verdad.
[0:25:56.00]-[0:25:57.00]  Le hizo la culpa a su hermano.
[0:25:57.00]-[0:25:59.00]  Claro que sí.
[0:25:59.00]-[0:26:09.00]  Y agarró al puchero, que estaba caliente el agarradero, y le dejé y pegó la pared y salí de su suelo.
[0:26:09.00]-[0:26:13.00]  Porque de haberle dicho usted a su amá lo que había pasado...
[0:26:13.00]-[0:26:15.00]  No, yo, ¿sabes lo que hice?
[0:26:15.00]-[0:26:20.00]  Cogí el cacharro, y como no había en casa agua, iba por agua yo, antes que viniera mi amá a casa.
[0:26:20.00]-[0:26:27.00]  Y sabe que tenía el hermano, cogió el puchero, y habas, teníamos en la huerta,
[0:26:27.00]-[0:26:31.00]  y puso colgado para los sábados el puchero antes que viniera la madre.
[0:26:31.00]-[0:26:36.00]  Tenía puesto colgado de los sábados el puchero, y de la pobre madre,
[0:26:36.00]-[0:26:41.00]  a las dos de la tarde a casa, y a las alivias, y le dije, no puedo.
[0:26:42.00]-[0:26:44.00]  Y ahí está.
[0:26:44.00]-[0:26:47.00]  Y yo no tenía que poner otra cosa.
[0:26:47.00]-[0:26:49.00]  ¿Y le enteraste a su madre? ¿Qué le habría hecho?
[0:26:49.00]-[0:26:50.00]  No.
[0:26:50.00]-[0:26:51.00]  Ah, pero no se enteró de mí.
[0:26:51.00]-[0:26:54.00]  Yo no le dije nada, que había rota aquél.
[0:26:54.00]-[0:26:56.00]  Bueno, qué mala.
[0:26:56.00]-[0:26:58.00]  Pero de haberle contado la verdad...
[0:26:58.00]-[0:27:01.00]  No le conté nunca.
[0:27:01.00]-[0:27:06.00]  Imagínese por un momento que le cuenta, usted le cuenta la verdad a su madre.
[0:27:06.00]-[0:27:10.00]  De haberle contado la verdad, ¿cómo habría sido la madre...?
[0:27:10.00]-[0:27:15.00]  No me hubiese pegado, pero en aquel momento sí me hubiese pegado.
[0:27:15.00]-[0:27:19.00]  Hasta luego no, tampoco le conté.
[0:27:19.00]-[0:27:24.00]  Pero al momento que se rompió el puchero, esa beiba, y me echó a mi hermano.
[0:27:24.00]-[0:27:29.00]  Y en el momento que se rompió, le echó una piedra grande en la cocina.
[0:27:29.00]-[0:27:31.00]  Le digo, ¿qué, qué andas?
[0:27:31.00]-[0:27:33.00]  Y ya ha roto el puchero, le digo yo.
[0:27:33.00]-[0:27:35.00]  Y él también creyó eso.
[0:27:35.00]-[0:27:37.00]  El hermano también.
[0:27:37.00]-[0:27:38.00]  Lo creó.
[0:27:38.00]-[0:27:40.00]  ¿Cree yo? Sí.
[0:27:40.00]-[0:27:45.00]  ¿Qué animales tenían en casa?
[0:27:45.00]-[0:27:48.00]  Pues esto, bejas y carneros.
[0:27:48.00]-[0:27:49.00]  ¿Para qué tenían?
[0:27:49.00]-[0:27:51.00]  Carneros para vender.
[0:27:51.00]-[0:27:54.00]  También matábamos cerdo y carneros también matábamos.
[0:27:54.00]-[0:27:56.00]  ¿Cuándo mataban?
[0:27:56.00]-[0:28:01.00]  Ahora, por noviembre o diciembre, así se matan los cerdos.
[0:28:01.00]-[0:28:03.00]  ¿Cada cerdo tiene su San Martín?
[0:28:03.00]-[0:28:04.00]  San Martín.
[0:28:04.00]-[0:28:06.00]  Que es el 11 de noviembre.
[0:28:06.00]-[0:28:07.00]  Noviembre.
[0:28:07.00]-[0:28:09.00]  ¿Para qué mataban cerdo?
[0:28:09.00]-[0:28:11.00]  Para casa.
[0:28:11.00]-[0:28:13.00]  Para la familia.
[0:28:13.00]-[0:28:14.00]  Para la familia, sí.
[0:28:14.00]-[0:28:15.00]  ¿Lo vendían?
[0:28:15.00]-[0:28:16.00]  No.
[0:28:16.00]-[0:28:18.00]  Y carneros también matábamos.
[0:28:18.00]-[0:28:33.00]  Y luego, la cocina, que le llamábamos, resulta que luego la cocina hacíamos así cachos grandes y poníamos esto, sal, se ponían duros y aquellos luego colgábamos en la cocina.
[0:28:33.00]-[0:28:45.00]  Y luego, pues cuando te hacía falta, pues quitabas trocitos de eso, ponían el remojo y con, con, seguir con huevos y más ricos que la carne y esos se quedaban, sí.
[0:28:45.00]-[0:28:47.00]  ¿Lo salaban para que durara más?
[0:28:47.00]-[0:28:53.00]  Sí, sí, salabas, salabas, pero había que poner el remojo, lo demás no se podía comer.
[0:28:53.00]-[0:28:54.00]  ¿Y ahumar? ¿No lo ahumaran?
[0:28:54.00]-[0:28:55.00]  Eh, no.
[0:28:55.00]-[0:28:56.00]  No.
[0:28:56.00]-[0:28:57.00]  No.
[0:28:57.00]-[0:29:02.00]  Y hacemos chorizos y a casa, todos.
[0:29:02.00]-[0:29:04.00]  La otra cosa no había, eh.
[0:29:04.00]-[0:29:11.00]  En la navidad de ese eran berza y pollo.
[0:29:11.00]-[0:29:16.00]  Eso era el jamar que había de grande.
[0:29:16.00]-[0:29:22.00]  ¿Y las fiestas grandes del pueblo cómo las celebraban? ¿Venían familias de otros sitios?
[0:29:22.00]-[0:29:36.00]  Ah, lo que celebrábamos era, ponía, mi madre ponía caldo, hacía sopa, ponía garbanzo, alubias, sopa y garbanzo y alubias y luego guisado. Eso era el manjar.
[0:29:36.00]-[0:29:38.00]  ¿Y comían mejor que comían el resto del año?
[0:29:38.00]-[0:29:44.00]  Sí. El año, alubias y leche, por encima y nada más.
[0:29:44.00]-[0:29:46.00]  La otra cosa no había ahí.
[0:29:46.00]-[0:29:51.00]  ¿Y la familia qué venía, eh, para qué venía?
[0:29:51.00]-[0:29:56.00]  A pasar el día, a celebrar. Nosotros a mí íbamos luego a casa de ellos, cuando eran las fiestas.
[0:29:56.00]-[0:29:59.00]  ¿Pero venían para un día o venían para más días?
[0:29:59.00]-[0:30:01.00]  No, igual dos días estaban.
[0:30:01.00]-[0:30:03.00]  ¿Y cómo se arreglaban para dormir en la casa?
[0:30:03.00]-[0:30:06.00]  Hombre, dos o tres cuadras, igual en la cama.
[0:30:06.00]-[0:30:07.00]  ¿Cuántos?
[0:30:07.00]-[0:30:09.00]  Dos o tres, igual en la cama.
[0:30:09.00]-[0:30:10.00]  Un poco apretados los amores.
[0:30:10.00]-[0:30:15.00]  Sí, eso también pasaba en todas nuestras casas.
[0:30:15.00]-[0:30:16.00]  Sí, hombre.
[0:30:16.00]-[0:30:19.00]  Claro, los abuelos y como eran casas grandes además de pueblo, ¿no?
[0:30:19.00]-[0:30:21.00]  Más grandes que ahora los pisos.
[0:30:21.00]-[0:30:28.00]  No creas. No. Pero nosotros en la aldea, nuestras casas, vivíamos.
[0:30:28.00]-[0:30:45.00]  No sé si empieza todavía. No. Ahora no está grabando. A ver, ahora ya, ¿no?
[0:30:45.00]-[0:30:51.00]  ¿Cuándo hicieron baño en la casa?
[0:30:51.00]-[0:30:59.00]  No estoy por nada. Ni bater tampoco.
[0:30:59.00]-[0:31:00.00]  ¿Cómo se apañaban?
[0:31:00.00]-[0:31:01.00]  A la cuadra.
[0:31:01.00]-[0:31:02.00]  Al corral.
[0:31:02.00]-[0:31:03.00]  A la cuadra.
[0:31:03.00]-[0:31:04.00]  Sí.
[0:31:04.00]-[0:31:09.00]  Nada entonces. Bueno, ¿no habéis preparado la comida todavía o qué?
[0:31:09.00]-[0:31:10.00]  No, hemos hecho el fuego.
[0:31:10.00]-[0:31:11.00]  Ah, muy bien.
[0:31:11.00]-[0:31:14.00]  Y bueno, los animales.
[0:31:14.00]-[0:31:15.00]  Si hace frío venís aquí, ¿eh?
[0:31:15.00]-[0:31:16.00]  Vale, vale.
[0:31:16.00]-[0:31:17.00]  Sí.
[0:31:17.00]-[0:31:27.00]  Vamos a ver, entonces, ¿no se movían los animales, no? Cuando iban a verles.
[0:31:27.00]-[0:31:28.00]  ¿Qué?
[0:31:28.00]-[0:31:30.00]  Que no se movían los animales, ¿no? Cuando iban a visitarles.
[0:31:30.00]-[0:31:31.00]  No, que va.
[0:31:31.00]-[0:31:42.00]  Y vamos a ver, en el pueblo ustedes a quienes más respetaban era. ¿Al cura?
[0:31:42.00]-[0:31:43.00]  Al cura.
[0:31:43.00]-[0:31:44.00]  ¿Al alcalde le respetaban o no?
[0:31:44.00]-[0:31:45.00]  No al alcalde nada.
[0:31:45.00]-[0:31:48.00]  O sea, no existiría al alcalde.
[0:31:48.00]-[0:31:51.00]  Al cura era todo lo que hacía.
[0:31:51.00]-[0:31:52.00]  Y...
[0:31:52.00]-[0:31:59.00]  No te reíches, oye.
[0:31:59.00]-[0:32:01.00]  ¿A los maestros se les respetaba?
[0:32:01.00]-[0:32:02.00]  A los maestros sí.
[0:32:02.00]-[0:32:03.00]  A los maestros sí.
[0:32:03.00]-[0:32:08.00]  ¿Y los maestros, cuando ustedes no hacían lo que tenían que hacer?
[0:32:08.00]-[0:32:15.00]  La maestra nos pegaba en la escuela y tenía unos palos.
[0:32:15.00]-[0:32:16.00]  ¡Epa!
[0:32:16.00]-[0:32:17.00]  No me digas eso, no me digas eso.
[0:32:17.00]-[0:32:18.00]  ¿A ver, está pero no me ha dicho...
[0:32:18.00]-[0:32:19.00]  ¡Ah, Dios!
[0:32:19.00]-[0:32:20.00]  Puta charrita.
[0:32:20.00]-[0:32:21.00]  Ya, vamos a ver, vamos a ver.
[0:32:21.00]-[0:32:22.00]  No me digas eso, no me digas eso.
[0:32:22.00]-[0:32:23.00]  Está pero no me ha dicho.
[0:32:23.00]-[0:32:26.00]  Está diciendo algo agradable, eso sí que sabemos, ¿verdad?
[0:32:26.00]-[0:32:29.00]  No entendemos usquera, pero sabemos que está diciendo algo agradable.
[0:32:29.00]-[0:32:30.00]  Chicas guapas que estáis.
[0:32:30.00]-[0:32:31.00]  Chicas guapas, chicas guapas.
[0:32:31.00]-[0:32:33.00]  A ver, que esto tiene que ser...
[0:32:33.00]-[0:32:35.00]  Una que es de Marcelo.
[0:32:35.00]-[0:32:36.00]  Una que es de Marcelo.
[0:32:36.00]-[0:32:38.00]  ¿Esto es un arreglo?
[0:32:38.00]-[0:32:39.00]  Sí, ya puedo decir.
[0:32:39.00]-[0:32:43.00]  Nosotros no tenemos ni caserío, ni pinar, ni nada.
[0:32:43.00]-[0:32:44.00]  Nada, nada.
[0:32:44.00]-[0:32:47.00]  Un coche viejo para las tres, no tenemos más que eso.
[0:32:47.00]-[0:32:49.00]  Este es mi vecino al mar, se ha puesto de ventana nueva ahora.
[0:32:49.00]-[0:32:51.00]  ¿Ahora tú lo dirías?
[0:32:51.00]-[0:32:53.00]  Está muy bien, ¿eh?
[0:32:53.00]-[0:32:54.00]  ¿Va, voy a decorarla?
[0:32:54.00]-[0:32:55.00]  ¿Eh?
[0:32:55.00]-[0:32:56.00]  ¿Va, te voy a decorar?
[0:32:56.00]-[0:32:57.00]  Vaya.
[0:32:57.00]-[0:32:58.00]  Vale.
[0:32:58.00]-[0:32:59.00]  Bueno.
[0:32:59.00]-[0:33:00.00]  ¿Eso es el agote?
[0:33:00.00]-[0:33:01.00]  Bueno, vayan.
[0:33:01.00]-[0:33:03.00]  Bueno, se estén bien, ¿eh?
[0:33:03.00]-[0:33:04.00]  Sí.
[0:33:04.00]-[0:33:06.00]  Están muy simpáticos estos mutiles, ¿no?
[0:33:06.00]-[0:33:07.00]  Sí.
[0:33:07.00]-[0:33:08.00]  ¿Cómo se llaman?
[0:33:08.00]-[0:33:09.00]  Separaos, no sé.
[0:33:09.00]-[0:33:10.00]  Sí.
[0:33:10.00]-[0:33:11.00]  El primero sí, no sé, el otro no lo conozco.
[0:33:11.00]-[0:33:12.00]  Pero son majos, ¿no?
[0:33:12.00]-[0:33:13.00]  Sí, muy majos.
[0:33:13.00]-[0:33:14.00]  ¿No?
[0:33:14.00]-[0:33:15.00]  Sí, muy majos.
[0:33:15.00]-[0:33:16.00]  Él me dijo cómo se llama Separao y todo, me dijo.
[0:33:16.00]-[0:33:17.00]  Ya.
[0:33:17.00]-[0:33:18.00]  ¿Usted hace aquí menús?
[0:33:18.00]-[0:33:19.00]  Sí.
[0:33:19.00]-[0:33:20.00]  ¿Hace menús?
[0:33:20.00]-[0:33:21.00]  Nos va a hacer de comer.
[0:33:21.00]-[0:33:22.00]  Sí.
[0:33:22.00]-[0:33:23.00]  ¿Eh?
[0:33:23.00]-[0:33:25.00]  Los sábados y domingos damos comidas.
[0:33:25.00]-[0:33:26.00]  Muy bien.
[0:33:26.00]-[0:33:30.00]  Pues nos vamos a quedar aquí a comer porque tiene pinta de ser un buen restaurante, ¿qué
[0:33:30.00]-[0:33:31.00]  no?
[0:33:31.00]-[0:33:32.00]  ¿Cocina usted?
[0:33:32.00]-[0:33:33.00]  ¿Eh?
[0:33:33.00]-[0:33:34.00]  Sí.
[0:33:34.00]-[0:33:35.00]  Bueno, mira, mira, que bien.
[0:33:35.00]-[0:33:36.00]  Sí.
[0:33:36.00]-[0:33:37.00]  Venga, pues muchísimas gracias por el tiempo, ¿eh?
[0:33:37.00]-[0:33:38.00]  ¿Vos díste algo?
[0:33:38.00]-[0:34:06.00]  No.
