[0:00:00.00]-[0:00:02.00]  Están en misa ahora.
[0:14:19.00]-[0:14:21.00]  Durante el invierno, pues estamos cuatro.
[0:14:23.00]-[0:14:25.00]  ¿Dura el invierno aquí?
[0:14:25.00]-[0:14:27.00]  Es muy frío. Llevamos esos siete meses ya
[0:14:27.00]-[0:14:29.00]  de invierno que estamos hartas, sabes.
[0:14:29.00]-[0:14:31.00]  Hay mitías con estufa, la calentación.
[0:14:31.00]-[0:14:33.00]  Cada uno con lo que tiene y se hace largo.
[0:14:33.00]-[0:14:35.00]  Dura el invierno más que
[0:14:35.00]-[0:14:37.00]  a 1 kilómetro.
[0:14:37.00]-[0:14:39.00]  A verano o se van tres. Aquí el último de octubre
[0:14:39.00]-[0:14:41.00]  ya tienes que encender. Ya tiene frío.
[0:14:41.00]-[0:14:43.00]  Y hasta estamos en mayo y mira.
[0:14:43.00]-[0:14:45.00]  Antillero estuvimos con entes.
[0:14:45.00]-[0:14:47.00]  Sí, sí.
[0:14:47.00]-[0:14:49.00]  Es de frío. Muy largo.
[0:14:53.00]-[0:14:55.00]  ¿Y el cura vive aquí en el pueblo?
[0:14:55.00]-[0:14:57.00]  Sí. El cura vive aquí en el pueblo.
[0:14:57.00]-[0:14:59.00]  El cura muy majo, tenemos muy joven.
[0:14:59.00]-[0:15:01.00]  Muy joven.
[0:15:01.00]-[0:15:03.00]  Va con la juventud, el cura muy majo, sí.
[0:15:03.00]-[0:15:05.00]  Lo único que no viven aquí son los maestros.
[0:15:05.00]-[0:15:07.00]  Eso es lo que antes...
[0:15:07.00]-[0:15:09.00]  Antes vivían en el pueblo y claro, pues había más.
[0:15:09.00]-[0:15:11.00]  Ahora no, ahora van a ir bien a cuenca.
[0:15:11.00]-[0:15:13.00]  Les tenía que obligar a vivir aquí.
[0:15:13.00]-[0:15:15.00]  Y va a ir.
[0:15:15.00]-[0:15:17.00]  Era otra cosa.
[0:15:17.00]-[0:15:19.00]  Porque terminan la clase, a la cuenca.
[0:15:19.00]-[0:15:21.00]  Ya no saben nada del pueblo.
[0:15:21.00]-[0:15:23.00]  Les tendrían más a mano.
[0:15:23.00]-[0:15:25.00]  Y estarían más por el pueblo.
[0:15:25.00]-[0:15:27.00]  Y así por todo.
[0:15:27.00]-[0:15:29.00]  Claro.
[0:15:33.00]-[0:15:35.00]  Y luego...
[0:15:35.00]-[0:15:37.00]  Las bolas,
[0:15:37.00]-[0:15:39.00]  ¿cuál es la diferencia entre antes y ahora?
[0:15:39.00]-[0:15:41.00]  Muy antes las bolas eran mejor que ahora.
[0:15:41.00]-[0:15:43.00]  Hombre mejor.
[0:15:43.00]-[0:15:45.00]  Cada tiempo tenía su cosa.
[0:15:45.00]-[0:15:47.00]  Lo que pasa es que antes una boda era tu día.
[0:15:47.00]-[0:15:49.00]  Casaba la gente, pero mañana hacían desayuno
[0:15:49.00]-[0:15:51.00]  con chocolatitos de pollo en los bollos.
[0:15:51.00]-[0:15:53.00]  A mediodía comida, a noche cena.
[0:15:53.00]-[0:15:55.00]  Ahora se casan aquí y a los restaurantes afuera.
[0:15:55.00]-[0:15:57.00]  A cuenca, al campillo,
[0:15:57.00]-[0:15:59.00]  aquí hay restaurantes, a esos sitios.
[0:15:59.00]-[0:16:01.00]  Y antes daba gusto aquí las bolas porque se crucían más en el pueblo.
[0:16:01.00]-[0:16:03.00]  Claro.
[0:16:03.00]-[0:16:05.00]  Era la boda muy distinta.
[0:16:05.00]-[0:16:07.00]  ¿Cómo se celebraba?
[0:16:07.00]-[0:16:09.00]  Aquí hacían por la mañana el chocolate con pollo.
[0:16:09.00]-[0:16:11.00]  A mediodía solían hacer pollos en salsa,
[0:16:11.00]-[0:16:13.00]  o paellas.
[0:16:13.00]-[0:16:15.00]  A la noche otra cosa.
[0:16:15.00]-[0:16:17.00]  O sea que era todo el día de boda.
[0:16:17.00]-[0:16:19.00]  Se daba hasta bajita luz días.
[0:16:19.00]-[0:16:21.00]  Pero ahora...
[0:16:21.00]-[0:16:23.00]  Se celebraba en las casas.
[0:16:23.00]-[0:16:25.00]  Sí, lo hacían las personas del pueblo.
[0:16:25.00]-[0:16:27.00]  Había una señora que se dedicaba a guisar por las bolas.
[0:16:27.00]-[0:16:29.00]  Iba a toda la bolas a guisar.
[0:16:29.00]-[0:16:31.00]  Y se celebraba.
[0:16:31.00]-[0:16:33.00]  Los polos teníamos baile.
[0:16:33.00]-[0:16:35.00]  Y la boda lucía mucho más que ahora.
[0:16:35.00]-[0:16:37.00]  Ahora se casan aquí corriendo corriendo
[0:16:37.00]-[0:16:39.00]  al restaurante.
[0:16:39.00]-[0:16:41.00]  La gente se daba la vuelta por el pueblo.
[0:16:41.00]-[0:16:43.00]  Hay gente que se montaba en un burro,
[0:16:43.00]-[0:16:45.00]  entonces la montaba con la novia vestida.
[0:16:45.00]-[0:16:47.00]  Se pasaba.
[0:16:47.00]-[0:16:49.00]  Pero como todo se va modernizando,
[0:16:49.00]-[0:16:51.00]  hay que ir cambiando.
[0:16:51.00]-[0:16:53.00]  ¿Y se invitaba todo el pueblo?
[0:16:53.00]-[0:16:55.00]  No.
[0:16:55.00]-[0:16:57.00]  No, todo el pueblo no. Pero bueno, siempre eran las bolas grandes.
[0:16:57.00]-[0:16:59.00]  Porque aquí no es pueblo, las familias son grandes.
[0:16:59.00]-[0:17:01.00]  Y siempre era la boda grande.
[0:17:01.00]-[0:17:03.00]  Pero todo el pueblo se convidaban.
[0:17:07.00]-[0:17:09.00]  ¿Y luego se iba al de viaje o no?
[0:17:09.00]-[0:17:11.00]  Pues antiguamente no se iba nadie.
[0:17:11.00]-[0:17:13.00]  Luego ya en mis épocas ya se iba la gente al viaje.
[0:17:13.00]-[0:17:15.00]  Pero no creas que fuera de España, ¿no?
[0:17:15.00]-[0:17:17.00]  Pues de Cerqueta o de Valencia,
[0:17:17.00]-[0:17:19.00]  o de Barcelona, o de la gente.
[0:17:19.00]-[0:17:21.00]  Porque no había medios
[0:17:21.00]-[0:17:23.00]  económicos.
[0:17:23.00]-[0:17:25.00]  Entonces tenía que ser por un sitio cerca.
[0:17:25.00]-[0:17:27.00]  No es como ahora que se van allá, de Cristo por el gorro.
[0:17:27.00]-[0:17:29.00]  Pero ahora antes no.
[0:17:29.00]-[0:17:31.00]  Tenías que hacer la boda y crearte en el pueblo.
[0:17:31.00]-[0:17:33.00]  No se podía.
[0:17:33.00]-[0:17:35.00]  ¿O si iban a Valencia o cerca?
[0:17:35.00]-[0:17:37.00]  Cerca.
[0:17:37.00]-[0:17:39.00]  Porque salía, que no salían todos.
[0:17:39.00]-[0:17:41.00]  Ahora sí, ahora que no se van a viajar novios
[0:17:41.00]-[0:17:43.00]  para que no se ha casado.
[0:17:47.00]-[0:17:49.00]  ¿Y las fiestas de semana santa?
[0:17:49.00]-[0:17:51.00]  Las fiestas de semana santa son muy bonitas
[0:17:51.00]-[0:17:53.00]  porque hacen los quintos de una fiesta.
[0:17:53.00]-[0:17:55.00]  Los quintos,
[0:17:55.00]-[0:17:57.00]  los que se vivían a la mili, ahora como ya no hay mili,
[0:17:57.00]-[0:17:59.00]  pero bueno, a ellos les gusta y siguen haciendo, ¿lo sabes?
[0:17:59.00]-[0:18:01.00]  Los siguen celebrando.
[0:18:01.00]-[0:18:03.00]  Es muy bonita porque ponen
[0:18:03.00]-[0:18:05.00]  la enrama que llamamos nosotros,
[0:18:05.00]-[0:18:07.00]  lo adornan ahí en la puerta de la iglesia,
[0:18:07.00]-[0:18:09.00]  ponen cuatro pinos,
[0:18:09.00]-[0:18:11.00]  los adornan, hacen un ramo
[0:18:11.00]-[0:18:13.00]  cada año hacen una cosa, un año hacen el centro de salud,
[0:18:13.00]-[0:18:15.00]  otro año el ayuntamiento, otro año la plaza,
[0:18:15.00]-[0:18:17.00]  y lo adornan con dulces.
[0:18:19.00]-[0:18:21.00]  La fachada de esto hecha pero todo con dulces.
[0:18:21.00]-[0:18:23.00]  Este año han hecho la fuente,
[0:18:23.00]-[0:18:25.00]  pero todo con dulces,
[0:18:25.00]-[0:18:27.00]  con bizcochos, o letillas madurena con chocolate,
[0:18:27.00]-[0:18:29.00]  eso está muy bonito.
[0:18:29.00]-[0:18:31.00]  Y luego lleva cada quinto,
[0:18:31.00]-[0:18:33.00]  que quinto cada persona, ¿no?
[0:18:33.00]-[0:18:35.00]  Chicos y chicas, llevan uno a poner un conejo,
[0:18:35.00]-[0:18:37.00]  otro una gallina, un pollo, y los cuelgan en latas.
[0:18:37.00]-[0:18:39.00]  Y lo pasan por tu pueblo con la música.
[0:18:39.00]-[0:18:41.00]  Los cantando y el ramo,
[0:18:41.00]-[0:18:43.00]  eso está muy bonito.
[0:18:43.00]-[0:18:45.00]  Y eso como les gusta a los gente joven,
[0:18:45.00]-[0:18:47.00]  pues no lo han perdido.
[0:18:47.00]-[0:18:49.00]  Las chicas también.
[0:18:49.00]-[0:18:51.00]  Y van los padres y las madres y hacen comilonas
[0:18:51.00]-[0:18:53.00]  y se lo pasan todo el día, todo el día.
[0:18:53.00]-[0:18:55.00]  Y se lo pasan en grande.
[0:18:55.00]-[0:18:57.00]  Yo cuando han sido mis hijos también lo he hecho.
[0:18:57.00]-[0:18:59.00]  Y me lo he divertido tanto como ellos.
[0:18:59.00]-[0:19:01.00]  Claro.
[0:19:01.00]-[0:19:03.00]  Porque te juntas tantos matrimonios,
[0:19:03.00]-[0:19:05.00]  pues ya ves, te lo pasas de maravilla.
[0:19:05.00]-[0:19:07.00]  Te lo pasas muy bien, eso está muy bien.
[0:19:07.00]-[0:19:09.00]  Luego hacen procesiones.
[0:19:09.00]-[0:19:11.00]  El viernes santo, el jueves santo,
[0:19:11.00]-[0:19:13.00]  el domingo por la mañana la resurrección del niño,
[0:19:13.00]-[0:19:15.00]  se encuentra el alfie con el niño allá en el Calvario,
[0:19:15.00]-[0:19:17.00]  y también es muy bonita esa fachada.
[0:19:17.00]-[0:19:19.00]  La samaranta está muy bien.
[0:19:19.00]-[0:19:21.00]  Y luego se come lo que adornan.
[0:19:21.00]-[0:19:23.00]  Eso se lo comen los quintos y los padres.
[0:19:23.00]-[0:19:25.00]  Y aquí hay costumbre de dar a cada vecino
[0:19:25.00]-[0:19:27.00]  o cada amistad que tienes un poco de ramo.
[0:19:27.00]-[0:19:29.00]  Un poquito a cada uno para que lo cate.
[0:19:29.00]-[0:19:31.00]  Cada uno al vecino, al que se lleva bien.
[0:19:31.00]-[0:19:33.00]  Pero eso está muy bien.
[0:19:33.00]-[0:19:35.00]  Esa es la samaranta.
[0:19:35.00]-[0:19:37.00]  Viene mucha gente,
[0:19:37.00]-[0:19:39.00]  viene tanto como el verano.
[0:19:39.00]-[0:19:41.00]  Viene mucha gente, mucha.
[0:19:41.00]-[0:19:43.00]  ¿Y hay fiesta de carnaval?
[0:19:43.00]-[0:19:45.00]  Sí, también hay carnavales.
[0:19:45.00]-[0:19:47.00]  Aquí la viste mucho la gente.
[0:19:47.00]-[0:19:49.00]  Hay carnaval.
[0:19:49.00]-[0:19:51.00]  Hay carnaval.
[0:19:51.00]-[0:19:53.00]  Se disfraza mucha gente.
[0:19:53.00]-[0:19:55.00]  Se lo pasan muy bien. Hacen cenas
[0:19:55.00]-[0:19:57.00]  y hacen baile.
[0:19:57.00]-[0:19:59.00]  Y se lo pasan muy bien.
[0:19:59.00]-[0:20:01.00]  Hay disfrazo.
[0:20:01.00]-[0:20:03.00]  En febrero, cuando son los carnavales.
[0:20:03.00]-[0:20:05.00]  Se lo pasan muy bien.
[0:20:05.00]-[0:20:07.00]  ¿Y hay peñas?
[0:20:07.00]-[0:20:09.00]  Aquí se llama la fiesta de agosto
[0:20:09.00]-[0:20:11.00]  la peña de los anochaores.
[0:20:11.00]-[0:20:13.00]  La habréis visto en algún este de la plaza.
[0:20:13.00]-[0:20:15.00]  Que pueden ir a la fiesta los anochaores.
[0:20:15.00]-[0:20:17.00]  Que no duerminen toda la noche.
[0:20:17.00]-[0:20:19.00]  Eso no duerminó todos los años.
[0:20:19.00]-[0:20:21.00]  Toda la noche pide fiesta.
[0:20:21.00]-[0:20:23.00]  Hasta que el cuerpo aguanta.
[0:20:23.00]-[0:20:25.00]  Pero son ocho días y la gente no se va a aguantar.
[0:20:25.00]-[0:20:27.00]  ¿Ocho días sin dormir?
[0:20:27.00]-[0:20:29.00]  Porque con el calor.
[0:20:29.00]-[0:20:31.00]  Y tanto baile y tanto.
[0:20:31.00]-[0:20:33.00]  Yo no se va a aguantar la gente.
[0:20:33.00]-[0:20:35.00]  Yo eso no puedo aguantarlo ya.
[0:20:35.00]-[0:20:37.00]  Ya me hago mayor y ya no puedo.
[0:20:37.00]-[0:20:39.00]  Yo tampoco me puedo aguantar.
[0:20:39.00]-[0:20:41.00]  No, pero los jóvenes se aguantan.
[0:20:41.00]-[0:20:43.00]  Los jóvenes se aguantan.
[0:20:43.00]-[0:20:45.00]  Se pasan muy bien así.
[0:20:45.00]-[0:20:47.00]  ¿Y hacen corrida de toros también?
[0:20:47.00]-[0:20:49.00]  Algunos años.
[0:20:49.00]-[0:20:51.00]  Porque los toros llevan muchos problemas ahora.
[0:20:51.00]-[0:20:53.00]  No es como antes que salían y hacían toros.
[0:20:53.00]-[0:20:55.00]  Pero ahora llevan muchos problemas.
[0:20:55.00]-[0:20:57.00]  Tienes que tener médico, tienes que tener ambulancia.
[0:20:57.00]-[0:20:59.00]  Y eso lleva mucho gasto.
[0:20:59.00]-[0:21:01.00]  Entonces...
[0:21:01.00]-[0:21:03.00]  No hacen todos los años. Este año pasado no hubo.
[0:21:03.00]-[0:21:05.00]  Y hace muchos años que haces y ahí arriba de esta tucina
[0:21:05.00]-[0:21:07.00]  hay una plaza a medias de hacer, por cierto.
[0:21:07.00]-[0:21:09.00]  Y ahí hacen toros.
[0:21:09.00]-[0:21:11.00]  Otros años lo hacen por aquí, por las calles.
[0:21:11.00]-[0:21:13.00]  Hasta Pan y en la calle están los toros.
[0:21:13.00]-[0:21:15.00]  Pero eso no se lo hace todos los años porque lleva mucho gasto.
[0:21:15.00]-[0:21:17.00]  Eso lleva mucho gasto.
[0:21:17.00]-[0:21:19.00]  ¿Cómo está? ¿Está muy controlado?
[0:21:19.00]-[0:21:21.00]  Eso está muy controlado.
[0:21:21.00]-[0:21:23.00]  Y si tienes algún accidente, prepárate.
[0:21:23.00]-[0:21:25.00]  Eso está muy controlado.
[0:21:25.00]-[0:21:27.00]  ¿Había algún accidente?
[0:21:27.00]-[0:21:29.00]  ¿En serio?
[0:21:29.00]-[0:21:31.00]  Ven.
[0:21:31.00]-[0:21:33.00]  Eso reno, pero estudiante.
[0:21:33.00]-[0:21:35.00]  Y este es muy fiestero.
[0:21:35.00]-[0:21:37.00]  Este es mocoleón. Mira, ven aquí.
[0:21:37.00]-[0:21:39.00]  Que yo estoy me quedando ya seca.
[0:21:39.00]-[0:21:41.00]  Estas chicas son estudiantes y quieren cosas al saber del pueblo.
[0:21:41.00]-[0:21:43.00]  ¿De qué?
[0:21:43.00]-[0:21:45.00]  De todo. De las costumbres de aquí, de todo de aquí.
[0:21:45.00]-[0:21:47.00]  Pero sobre todo de costumbres antiguas.
[0:21:47.00]-[0:21:49.00]  De antiguas.
[0:21:49.00]-[0:21:51.00]  Eso le he dicho, digo,
[0:21:51.00]-[0:21:53.00]  ven si vienen la...
[0:21:53.00]-[0:21:55.00]  No sé si está en misa o si está limpiando allí.
[0:21:55.00]-[0:21:57.00]  Digo que la Mari es que está en el ayuntamiento
[0:21:57.00]-[0:21:59.00]  y sabe muchas cosas de antes.
[0:21:59.00]-[0:22:01.00]  ¿Qué paco también?
[0:22:01.00]-[0:22:03.00]  ¿Qué paco?
[0:22:03.00]-[0:22:05.00]  ¿Qué paco?
[0:22:05.00]-[0:22:07.00]  ¿Qué paco?
[0:22:07.00]-[0:22:09.00]  ¿Qué paco?
[0:22:09.00]-[0:22:11.00]  Pues no lo he visto yo en la misa.
[0:22:11.00]-[0:22:13.00]  Yo no lo había boceado.
[0:22:13.00]-[0:22:15.00]  Pero no lo he visto.
[0:22:15.00]-[0:22:17.00]  Me extraña que no lo he visto yo.
[0:22:17.00]-[0:22:19.00]  La Mari sabe que llega...
[0:22:19.00]-[0:22:21.00]  también...
[0:22:21.00]-[0:22:23.00]  Este es como pueblo. Me gusta mucho el pueblo.
[0:22:23.00]-[0:22:25.00]  Este es el
[0:22:25.00]-[0:22:27.00]  presidente de la asociación de jóvenes.
[0:22:27.00]-[0:22:29.00]  ¿Qué pasa?
[0:22:29.00]-[0:22:31.00]  Hola.
[0:22:31.00]-[0:22:33.00]  Este es el exalcalde
[0:22:33.00]-[0:22:35.00]  que había antes.
[0:22:35.00]-[0:22:37.00]  Este ha sido nuestro alcalde de siempre.
[0:22:37.00]-[0:22:39.00]  Nos ha hecho mucho, nos ha hecho mucho este hombre.
[0:22:39.00]-[0:22:41.00]  Qué pena que pasen los años.
[0:22:43.00]-[0:22:45.00]  Y si no pasan,
[0:22:45.00]-[0:22:47.00]  mala cosa.
[0:22:47.00]-[0:22:49.00]  Malo que se han muerto antes.
[0:22:49.00]-[0:22:51.00]  Hoy se han muerto ellos.
[0:22:51.00]-[0:22:53.00]  Y mira, le he dicho a la Pilar
[0:22:53.00]-[0:22:55.00]  y dice, han tocado, debe ser una mujer.
[0:22:55.00]-[0:22:57.00]  No, es un hombre que han tocado tres veces.
[0:22:57.00]-[0:22:59.00]  Pues se le ha ido un toque.
[0:22:59.00]-[0:23:01.00]  Han tocado tres veces.
[0:23:01.00]-[0:23:03.00]  Le he dicho yo, a su nombre, hoy que se han muerto.
[0:23:03.00]-[0:23:05.00]  100 mujeres tocando y siempre tres.
[0:23:05.00]-[0:23:07.00]  Y ya no sabe eso.
[0:23:07.00]-[0:23:09.00]  Pues a ese hombre le he dicho, a el Eduardo,
[0:23:09.00]-[0:23:11.00]  que te cabe el soluterio.
[0:23:11.00]-[0:23:13.00]  Porque fue el viernes a Cuenca, al hospital, y lo vio y estaba muy mal.
[0:23:13.00]-[0:23:15.00]  Sí, estaba ya muy mal.
[0:23:15.00]-[0:23:17.00]  Y yo te cabe el soluterio.
[0:23:17.00]-[0:23:19.00]  El hombre.
[0:23:19.00]-[0:23:21.00]  ¿Qué tienes a la familia aquí?
[0:23:21.00]-[0:23:23.00]  No, estas chicas que son estudiantes y quieren
[0:23:23.00]-[0:23:25.00]  saber cosas del pueblo.
[0:23:25.00]-[0:23:27.00]  ¿Saben ustedes de quienes algo?
[0:23:27.00]-[0:23:29.00]  ¿Quieren cosas de las de antes, de antiguas?
[0:23:29.00]-[0:23:31.00]  De mayor que yo, tradiciones, diganle usted alguna.
[0:23:31.00]-[0:23:33.00]  Pero vosotros no sois de cardenetas.
[0:23:33.00]-[0:23:35.00]  No.
[0:23:35.00]-[0:23:37.00]  ¿De familias de cardenetas?
[0:23:37.00]-[0:23:39.00]  ¿De dónde vivís?
[0:23:39.00]-[0:23:41.00]  De Madrid, somos.
[0:23:41.00]-[0:23:43.00]  ¡Mira!
[0:23:43.00]-[0:23:45.00]  ¡De los gatos!
[0:23:45.00]-[0:23:47.00]  Yo también era hasta Madrid muchos años.
[0:23:47.00]-[0:23:49.00]  Toda la vida hasta que se ha jubilado.
[0:23:49.00]-[0:23:51.00]  Ya ha sido nuestro alcalde.
[0:23:51.00]-[0:23:53.00]  Este también sabe mucho, este hombre.
[0:23:53.00]-[0:23:55.00]  Lo que pasa es que ya se hace mayor.
[0:23:55.00]-[0:23:57.00]  Si quieren saber cosas antiguas, de antes.
[0:23:57.00]-[0:23:59.00]  ¿Quieren saber cosas de antes?
[0:23:59.00]-[0:24:01.00]  Sí, que son estudiantes.
[0:24:01.00]-[0:24:03.00]  ¿Quieren saber?
[0:24:05.00]-[0:24:07.00]  Aprender cosas de cardenetas.
[0:24:09.00]-[0:24:11.00]  Más que nada de la matanza,
[0:24:11.00]-[0:24:13.00]  cómo se hacían antes las cosas.
[0:24:13.00]-[0:24:15.00]  Matando al cochino y metiéndose
[0:24:15.00]-[0:24:17.00]  el cuchillo.
[0:24:17.00]-[0:24:19.00]  Es diferente ahora.
[0:24:19.00]-[0:24:21.00]  Bueno, mataron al material.
[0:24:21.00]-[0:24:23.00]  Ahora lo matan con aquello eléctrico.
[0:24:23.00]-[0:24:25.00]  Bueno, para el gorrino
[0:24:25.00]-[0:24:27.00]  sería mejor lo eléctrico.
[0:24:27.00]-[0:24:29.00]  Pero antes de terminar,
[0:24:29.00]-[0:24:31.00]  para las matanzas que había,
[0:24:31.00]-[0:24:33.00]  era una fiesta.
[0:24:33.00]-[0:24:35.00]  Entre coger el cerdo
[0:24:35.00]-[0:24:37.00]  y echarle
[0:24:37.00]-[0:24:39.00]  un gancho.
[0:24:39.00]-[0:24:41.00]  Y a los chicos nos gustaba.
[0:24:41.00]-[0:24:43.00]  Se pasaba muy bien la matanza antes.
[0:24:43.00]-[0:24:45.00]  Toda la familia a comer todo el día
[0:24:45.00]-[0:24:47.00]  en la matanza se pasaba muy bien.
[0:24:47.00]-[0:24:49.00]  No, no tocó.
[0:24:49.00]-[0:24:51.00]  Su madre ya está ahí.
[0:24:51.00]-[0:24:53.00]  Muy bien.
[0:24:53.00]-[0:24:55.00]  Conocer pueblos.
[0:24:55.00]-[0:24:57.00]  Es bonito eso.
[0:24:57.00]-[0:24:59.00]  Es bonito, sí.
[0:24:59.00]-[0:25:01.00]  Se aprende mucho.
[0:25:01.00]-[0:25:03.00]  Y se ven muchas miserias.
[0:25:03.00]-[0:25:05.00]  Ahora ya no.
[0:25:05.00]-[0:25:07.00]  Ahora digo que ha cambiado todo mucho.
[0:25:07.00]-[0:25:09.00]  Se ha modificado todo dentro de los aspectos.
[0:25:09.00]-[0:25:11.00]  En médicos, en todas las cosas.
[0:25:11.00]-[0:25:13.00]  En matanzas, en fiestas, en todo.
[0:25:13.00]-[0:25:15.00]  Pero antes llovía.
[0:25:15.00]-[0:25:17.00]  En bodas.
[0:25:17.00]-[0:25:19.00]  Las bodas antes eran muy diferentes a las de ahora.
[0:25:19.00]-[0:25:21.00]  Se ha cambiado todo.
[0:25:21.00]-[0:25:23.00]  Antes era todo el día de bodas y también que te lo pasabas.
[0:25:23.00]-[0:25:25.00]  Y bailes también.
[0:25:25.00]-[0:25:27.00]  Teníamos hambre también.
[0:25:27.00]-[0:25:29.00]  Y hambre.
[0:25:29.00]-[0:25:31.00]  Ahora estás harta y no quieres que te convidan a la boda
[0:25:31.00]-[0:25:33.00]  por no dar perras.
[0:25:33.00]-[0:25:35.00]  Los bailes que hemos hecho en mi casa.
[0:25:35.00]-[0:25:37.00]  Antes llevabas un cuello, un conejo y llevas a la boda.
[0:25:37.00]-[0:25:39.00]  Cuando nos daban un pan a lo mejor que nos regalaban.
[0:25:41.00]-[0:25:43.00]  Bailábamos alrededor.
[0:25:43.00]-[0:25:45.00]  Antes había mucho hambre.
[0:25:45.00]-[0:25:47.00]  Y estaba todo de cerdo bueno.
[0:25:47.00]-[0:25:49.00]  Hasta los zapatos de cerdo estaban buenos.
[0:25:49.00]-[0:25:51.00]  Ahora no. Ahora estás harto y no te gustan.
[0:25:51.00]-[0:25:53.00]  Cambia mucho la vida.
[0:25:53.00]-[0:25:55.00]  Ahora no se pasan fatigues.
[0:25:55.00]-[0:25:57.00]  Ahora vas a trabajar.
[0:25:57.00]-[0:25:59.00]  Y trabajas en limpio.
[0:25:59.00]-[0:26:01.00]  Es muy fácil. Con tantas cosas.
[0:26:01.00]-[0:26:03.00]  La única pega que hay ahora.
[0:26:03.00]-[0:26:05.00]  La carretera es el que me entera.
[0:26:05.00]-[0:26:07.00]  Que vengas.
[0:26:07.00]-[0:26:09.00]  Que tú eres mayor que las chicas.
[0:26:09.00]-[0:26:11.00]  No, solo hablar.
[0:26:11.00]-[0:26:13.00]  Claro.
[0:26:13.00]-[0:26:15.00]  Que quieren cosas de antes.
[0:26:15.00]-[0:26:17.00]  Tú eres mayor que nosotros.
[0:26:17.00]-[0:26:19.00]  Así que tú decides que decidas más cosas.
[0:26:19.00]-[0:26:21.00]  Cosas de antes.
[0:26:21.00]-[0:26:23.00]  Y lo que se hacía antes.
[0:26:23.00]-[0:26:25.00]  Bueno, si ya tenemos un...
[0:26:25.00]-[0:26:27.00]  ¿Un qué?
[0:26:27.00]-[0:26:29.00]  ¿Un qué? A ver, ¿cómo se dice?
[0:26:29.00]-[0:26:31.00]  ¿Un millón?
[0:26:31.00]-[0:26:33.00]  No. Un chico que lo está recogiendo aquí.
[0:26:33.00]-[0:26:35.00]  ¿Quién es ese?
[0:26:35.00]-[0:26:37.00]  El de la Tierra Forestal.
[0:26:37.00]-[0:26:39.00]  El hijo de la Gregoria.
[0:26:39.00]-[0:26:41.00]  César.
[0:26:41.00]-[0:26:43.00]  Si están recogiendo todas las cosas antiguas.
[0:26:43.00]-[0:26:45.00]  De fotografía, de cosas, de cosas.
[0:26:45.00]-[0:26:47.00]  Van a hacer un libro y no sé qué.
[0:26:47.00]-[0:26:49.00]  ¿Y a los viejos no se los llevan?
[0:26:49.00]-[0:26:51.00]  Ay no, por Dios. No te se lleven.
[0:26:51.00]-[0:26:53.00]  No, no, no, no.
[0:26:53.00]-[0:26:55.00]  Que no te se lleven.
[0:26:55.00]-[0:26:57.00]  Que tú eres del 80.
[0:26:57.00]-[0:26:59.00]  Y vosotras que vais recogiendo cosas.
[0:26:59.00]-[0:27:01.00]  Cuéntales cosas tú que eres mayor.
[0:27:01.00]-[0:27:03.00]  Yo ya les he contado la matanza de la Torre del Mar.
[0:27:03.00]-[0:27:05.00]  Claro.
[0:27:05.00]-[0:27:07.00]  Les he contado las bodas de antes como se hacían.
[0:27:07.00]-[0:27:09.00]  Yo en lo que me acuerdo las bodas.
[0:27:09.00]-[0:27:11.00]  Yo en lo que me acuerdo las bodas.
[0:27:11.00]-[0:27:13.00]  Ya usaban mejor porque era vieja.
[0:27:13.00]-[0:27:15.00]  Y los guachos cuando jugábamos al sirio.
[0:27:15.00]-[0:27:17.00]  Y al vasque.
[0:27:17.00]-[0:27:19.00]  ¿Qué? ¿Pepito?
[0:27:19.00]-[0:27:21.00]  ¿Cuántos jugabas al sirio?
[0:27:21.00]-[0:27:23.00]  ¿Y al vasque?
[0:27:23.00]-[0:27:25.00]  ¿No sabéis cuál es el deporte
[0:27:25.00]-[0:27:27.00]  del sirio que estamos hablando?
[0:27:27.00]-[0:27:29.00]  ¿Al sirio?
[0:27:29.00]-[0:27:31.00]  Ese era un deporte de los chicos.
[0:27:31.00]-[0:27:33.00]  En vez de irnos a la discoteca.
[0:27:33.00]-[0:27:35.00]  Tenían un trozo de madera.
[0:27:35.00]-[0:27:37.00]  Ya no me acuerdo.
[0:27:37.00]-[0:27:39.00]  Y lo ponían de pie.
[0:27:39.00]-[0:27:41.00]  Y luego con unos palos.
[0:27:41.00]-[0:27:43.00]  Sí.
[0:27:43.00]-[0:27:45.00]  Hacían una raya.
[0:27:45.00]-[0:27:47.00]  Se llamaba la choca.
[0:27:47.00]-[0:27:49.00]  La choca.
[0:27:49.00]-[0:27:51.00]  La choca era un trozo redondo.
[0:27:51.00]-[0:27:53.00]  Sí, un trozo.
[0:27:53.00]-[0:27:55.00]  La uta, digamos.
[0:27:55.00]-[0:27:57.00]  No, la uta era lo otro.
[0:27:57.00]-[0:27:59.00]  Eso era...
[0:27:59.00]-[0:28:01.00]  La choca.
[0:28:01.00]-[0:28:03.00]  Y con los palos.
[0:28:03.00]-[0:28:05.00]  Se ponía así.
[0:28:05.00]-[0:28:07.00]  Y con los palos te acachabas.
[0:28:07.00]-[0:28:09.00]  ¡Sirio! Y el otro contestaba ¡Mario!
[0:28:09.00]-[0:28:11.00]  Y a lo mejor le daba...
