[0:00:00.00]-[0:00:02.00]  de aquí, ¿no?
[0:23:43.76]-[0:23:46.76]  ¿y cuánto tiempo tenías que estar sin lavarte?
[0:23:46.76]-[0:23:49.76]  los 40 días
[0:23:49.76]-[0:23:54.76]  los 40 días, tenías que estar sin lavarte
[0:23:54.76]-[0:23:57.76]  sin lavarte sí
[0:23:57.76]-[0:24:01.76]  no ducharte, no mojarte la cabeza, no lavarte los pies
[0:24:01.76]-[0:24:04.76]  luego un aseo, pero...
[0:24:04.76]-[0:24:09.76]  ¿y luego los bebés cómo se los cuidaba? porque ahora hay biberón o...
[0:24:09.76]-[0:24:13.76]  hombre, pues antes la madre que tenía pecho, la que no
[0:24:13.76]-[0:24:17.76]  pues a base de maicena clarita
[0:24:17.76]-[0:24:21.76]  y no había biberones, pero había unos vasos y la goma
[0:24:21.76]-[0:24:24.76]  se ponía la goma en el vaso y ya está
[0:24:24.76]-[0:24:27.76]  y luego, pues como no había pico
[0:24:27.76]-[0:24:30.76]  no había pañales de esos, había pico y las casitas
[0:24:30.76]-[0:24:34.76]  pero el niño con las casitas y el pico
[0:24:34.76]-[0:24:37.76]  se hacía pipí, se hacía de todo
[0:24:37.76]-[0:24:42.76]  ¿sabes? y en la cuna se le ponía una empapadera
[0:24:42.76]-[0:24:45.76]  para que el colchón no lo calase
[0:24:45.76]-[0:24:49.76]  pero luego sábanas y de todo, estaba todo el día lavando
[0:24:49.76]-[0:24:52.76]  ¿y cuánto tiempo se les daba el pecho?
[0:24:52.76]-[0:24:56.76]  según... ahí yo le oí decir en mi casa
[0:24:56.76]-[0:25:01.76]  que mi hermano tenía 2 años y le estaba dándole el pecho a mi madre
[0:25:01.76]-[0:25:04.76]  jamás, se le daba mucho pecho antes
[0:25:04.76]-[0:25:08.76]  porque había leche, ahora con las cosas estas modernas
[0:25:08.76]-[0:25:11.76]  o no hay leche, o la que tiene leche no se los puede dar
[0:25:11.76]-[0:25:14.76]  porque tiene que trabajar
[0:25:14.76]-[0:25:18.76]  ¿sabes? pero prácticamente luego ya empezaron a venir harinas
[0:25:18.76]-[0:25:23.76]  yo criaba 5 y a mi nieta se cría 6
[0:25:23.76]-[0:25:28.76]  y los 4, los 4 primero los crié normal
[0:25:28.76]-[0:25:32.76]  como ya vino el otro y había las braquitas de plástico
[0:25:32.76]-[0:25:35.76]  esas braquitas, esos piquitos de plástico
[0:25:35.76]-[0:25:38.76]  le ponías la gasa y el piquito de plástico
[0:25:38.76]-[0:25:41.76]  y luego ya vino mi nieta y ya tenía, había pañales
[0:25:41.76]-[0:25:44.76]  ya son distintos y biberones y cosas
[0:25:44.76]-[0:25:47.76]  ahora con los potitos, antes no, antes con la comida
[0:25:47.76]-[0:25:51.76]  y sopas de maicena y las cremas de arroz
[0:25:51.76]-[0:25:54.76]  pero de estas que... no de la farmacia
[0:25:54.76]-[0:25:57.76]  lo que había antes
[0:25:57.76]-[0:25:59.76]  antes se ve, pues sí, no era lo mismo que ahora
[0:25:59.76]-[0:26:01.76]  se criaban los niños muy sanos, eh
[0:26:01.76]-[0:26:02.76]  claro
[0:26:02.76]-[0:26:04.76]  porque se criaban los niños sanísimos
[0:26:04.76]-[0:26:06.76]  porque yo tengo un hermano que nació gordísimo
[0:26:06.76]-[0:26:09.76]  y se crió con crema, con arroz molido
[0:26:09.76]-[0:26:11.76]  que iba mi padre a moler el arroz
[0:26:11.76]-[0:26:15.76]  en esas piedras antiguas que molían antes el trigo para hacer el pan en casa
[0:26:15.76]-[0:26:18.76]  porque aquí había un señor que tenía una piedra de esas
[0:26:18.76]-[0:26:22.76]  y mi padre iba, molía el arroz
[0:26:22.76]-[0:26:24.76]  y le hacíamos, le sacamos unos paquitos de anís
[0:26:24.76]-[0:26:26.76]  y mi hermano se crió con arroz molido
[0:26:26.76]-[0:26:28.76]  y se crió gordísimo
[0:26:28.76]-[0:26:31.76]  gordísimo, gordísimo que se crió
[0:26:31.76]-[0:26:33.76]  y los míos pues bueno
[0:26:33.76]-[0:26:36.76]  lo que había antes, maicena y eso
[0:26:36.76]-[0:26:39.76]  el maillot bueno se crió un poquito mejor porque estaban más delicados
[0:26:39.76]-[0:26:43.76]  y ese sí, el plafimón antes que había, que eso costaba carísimo
[0:26:43.76]-[0:26:44.76]  ¿Qué era?
[0:26:44.76]-[0:26:47.76]  pues una harina especial de la farmacia
[0:26:47.76]-[0:26:50.76]  que había, luego ya los otros había otra clase de harina
[0:26:50.76]-[0:26:53.76]  pero vamos que esa harina
[0:26:53.76]-[0:26:56.76]  empezaban enseguida a comer papillas, eh
[0:26:56.76]-[0:26:58.76]  las papillas, pues los bañabas, pues lo que había
[0:26:58.76]-[0:27:00.76]  las tinas de plástico que había antes
[0:27:00.76]-[0:27:02.76]  había otra cosa
[0:27:02.76]-[0:27:05.76]  las tinas de plástico que calentaban el agua y a la tina
[0:27:07.76]-[0:27:10.76]  esa es la vida de Antilobo
[0:27:10.76]-[0:27:12.76]  aquí hay una fiesta que es el Cristo
[0:27:12.76]-[0:27:13.76]  el Cristo
[0:27:13.76]-[0:27:15.76]  sí, se celebraba mucho antes el Cristo
[0:27:15.76]-[0:27:21.76]  había toros que hay en una huerta grande
[0:27:21.76]-[0:27:24.76]  que ahí con meadoras salía así de frente se ve
[0:27:24.76]-[0:27:27.76]  bueno pues con los carros y los remolques
[0:27:27.76]-[0:27:30.76]  se hacía la plaza
[0:27:30.76]-[0:27:34.76]  se traían los toros y bueno hacían la corrida ahí
[0:27:34.76]-[0:27:38.76]  y luego ahora la hay pero en la fiesta
[0:27:38.76]-[0:27:42.76]  y luego un chico de aquí pues nada tenía un caballo muy bonito
[0:27:42.76]-[0:27:44.76]  y salía a pedir la llave y eso
[0:27:44.76]-[0:27:45.76]  a pedir la llave
[0:27:45.76]-[0:27:47.76]  llave como los toreros no
[0:27:47.76]-[0:27:49.76]  no sé nada de toros
[0:27:49.76]-[0:27:53.76]  sí, por lo visto antes salían y iban a la presentación
[0:27:53.76]-[0:27:56.76]  y a la llave de los toros
[0:27:56.76]-[0:27:59.76]  y bueno lo hacían muchísimas carrozas
[0:27:59.76]-[0:28:02.76]  y se pasaban por el pueblo con la
[0:28:02.76]-[0:28:04.76]  en las carrozas el día de San Isidro
[0:28:04.76]-[0:28:07.76]  pero ya ese señor se murió y ya
[0:28:07.76]-[0:28:10.76]  el Cristo es aburrido, el Cristo ya no es nada
[0:28:10.76]-[0:28:13.76]  y luego tenemos con la Romería de San Isidro
[0:28:13.76]-[0:28:16.76]  antes era más bonita que ahora
[0:28:16.76]-[0:28:20.76]  porque había un, era todo campo de encinas
[0:28:20.76]-[0:28:22.76]  era un monte, antes era un monte
[0:28:22.76]-[0:28:24.76]  y hacían las carrozas
[0:28:24.76]-[0:28:27.76]  y iban todo el mundo en carros
[0:28:27.76]-[0:28:29.76]  luego ya empezaron los tractores
[0:28:29.76]-[0:28:31.76]  íbamos al ayuntamiento
[0:28:31.76]-[0:28:35.76]  y en el ayuntamiento salía San Isidro
[0:28:35.76]-[0:28:37.76]  y detrás de la carroza de San Isidro
[0:28:37.76]-[0:28:40.76]  que había muchísimas carrozas muy bonitas
[0:28:40.76]-[0:28:44.76]  pues íbamos todos en fila detrás de San Isidro
[0:28:44.76]-[0:28:46.76]  llegabas al monte
[0:28:46.76]-[0:28:49.76]  era como un monte y era muy bonito todo encinas
[0:28:49.76]-[0:28:52.76]  ahora ya han cambiado, ya la gente va en coche
[0:28:52.76]-[0:28:54.76]  va en moto
[0:28:54.76]-[0:28:56.76]  van en tractores
[0:28:56.76]-[0:28:59.76]  y ya pues no es lo mismo
[0:28:59.76]-[0:29:02.76]  sale San Isidro y bueno detrás de la carroza de San Isidro
[0:29:02.76]-[0:29:04.76]  hay quien va detrás de San Isidro
[0:29:04.76]-[0:29:07.76]  y eso, y ahora han hecho allí
[0:29:07.76]-[0:29:10.76]  en un terreno de la ermita, han puesto una alameda
[0:29:10.76]-[0:29:12.76]  han sembrado todo lo que ha listo
[0:29:12.76]-[0:29:14.76]  y bueno pues ahí lo hacen y están muy bien
[0:29:14.76]-[0:29:17.76]  se van el día antes que hacen casetas
[0:29:17.76]-[0:29:21.76]  y el día antes se van a pasar la noche allí
[0:29:21.76]-[0:29:24.76]  a coger sitio, pasan la noche y ya
[0:29:24.76]-[0:29:26.76]  de tanta gente va
[0:29:26.76]-[0:29:28.76]  sí, sí, la juventud
[0:29:28.76]-[0:29:31.76]  si, el sábado se va el viernes
[0:29:31.76]-[0:29:34.76]  están allí viernes, sábado y domingo
[0:29:34.76]-[0:29:37.76]  hasta el domingo se quedan allí por las noches con las tiendas
[0:29:37.76]-[0:29:40.76]  y las cosas, sí, eso es el día 15 de mayo
[0:29:40.76]-[0:29:44.76]  sí, sí, pues vamos el pueblo ha cambiado mucho
[0:29:44.76]-[0:29:48.76]  me parece ya no hay ambiente que había antes tan bonito
[0:29:48.76]-[0:29:51.76]  nosotros antes no íbamos a
[0:29:51.76]-[0:29:54.76]  todos los días a pasear a la calle de la estación para arriba y para abajo
[0:29:54.76]-[0:29:58.76]  había unas ventanas y la que tenía suerte la cogía y se sentaba
[0:29:58.76]-[0:30:01.76]  porque no teníamos asiento ni nada
[0:30:01.76]-[0:30:04.76]  salíamos allí a pasear y ya te digo a la estación
[0:30:04.76]-[0:30:09.76]  y bueno, nos sentábamos en los bares arriba del cine
[0:30:09.76]-[0:30:13.76]  había un salón grande
[0:30:13.76]-[0:30:16.76]  y iban las parejas allí a sentarse
[0:30:16.76]-[0:30:20.76]  y eso, pero estábamos bien y bailábamos las mujeres con las mujeres
[0:30:20.76]-[0:30:23.76]  sí, bailábamos
[0:30:23.76]-[0:30:27.76]  y lo mismo que bailábamos, por ejemplo tú y yo
[0:30:27.76]-[0:30:30.76]  ahora van dos chicos y nos sacan a bailar
[0:30:30.76]-[0:30:33.76]  ya iban ellos y decían yo bailo con fulanita y tú con el otra
[0:30:33.76]-[0:30:36.76]  y claro, se ponían cada uno al lado de su pareja
[0:30:36.76]-[0:30:39.76]  ya ves, así era antes
[0:30:39.76]-[0:30:44.76]  te sentabas en el banco esperando que llegara uno y te sacara a bailar
[0:30:44.76]-[0:30:46.76]  si no, no llegaba ninguno yo
[0:30:46.76]-[0:30:50.76]  y te apetecía bailar, bailamos y bailábamos las dos
[0:30:50.76]-[0:30:53.76]  y luego iban los hombres a partir
[0:30:53.76]-[0:30:56.76]  así, así era
[0:30:56.76]-[0:30:59.76]  las antigüedades de aquí, ya te digo
[0:30:59.76]-[0:31:03.76]  y aquí pues lo mismo, era el casino y aquí venían la gente a bailar
[0:31:03.76]-[0:31:06.76]  a mi tío le gustaba mucho la música
[0:31:06.76]-[0:31:10.76]  y le encantaba tener aquí todos los días orquesta
[0:31:10.76]-[0:31:13.76]  ¿y en qué se ha notado más el cambio del pueblo?
[0:31:13.76]-[0:31:17.76]  se ha notado mucho en todo, en la juventud
[0:31:17.76]-[0:31:20.76]  y en todo, en todo, se ha notado mucho
[0:31:20.76]-[0:31:24.76]  ¿estaba más, peor educada la juventud?
[0:31:24.76]-[0:31:27.76]  pero no aquí, en general
[0:31:27.76]-[0:31:30.76]  la educación de la juventud no es aquí
[0:31:30.76]-[0:31:33.76]  yo creo que es en general
[0:31:33.76]-[0:31:36.76]  pero el pueblo antes tenía mejor ambiente que ahora
[0:31:36.76]-[0:31:39.76]  ahora hay mucha juventud pero es muy distinta
[0:31:39.76]-[0:31:43.76]  muy distinta a la de antes
[0:31:43.76]-[0:31:46.76]  porque antes no se bebía
[0:31:46.76]-[0:31:49.76]  no se fumaba
[0:31:49.76]-[0:31:52.76]  si te bebías, era una...
[0:31:52.76]-[0:31:55.76]  no cenabas
[0:31:55.76]-[0:31:59.76]  vamos que no bebíamos, nos tomábamos una cerveza, un refresco
[0:31:59.76]-[0:32:04.76]  la señora del baile tenía una salita allí
[0:32:04.76]-[0:32:07.76]  y vendía pues creo que si una copita coñar
[0:32:07.76]-[0:32:10.76]  y luego tenía pues pasteles
[0:32:10.76]-[0:32:13.76]  y así sí
[0:32:13.76]-[0:32:17.76]  ¿y no se iba a otros pueblos, a las fiestas de otros pueblos?
[0:32:17.76]-[0:32:19.76]  antiguamente no se salía
[0:32:19.76]-[0:32:21.76]  aquí venían muchos forasteros
[0:32:21.76]-[0:32:24.76]  mi marido es forastero
[0:32:24.76]-[0:32:27.76]  ¿de dónde es?
[0:32:27.76]-[0:32:30.76]  mi marido, aquí antes venían muchos forasteros
[0:32:30.76]-[0:32:33.76]  nosotros salimos porque antiguamente no había coche
[0:32:33.76]-[0:32:35.76]  no había moto, no tenían...
[0:32:35.76]-[0:32:38.76]  no había posibilidades para salir
[0:32:38.76]-[0:32:41.76]  entonces pues no salía la juventud
[0:32:41.76]-[0:32:44.76]  ahora, en el tren sí venía mucho personal
[0:32:44.76]-[0:32:47.76]  mi marido tenía una moto y venía en la moto
[0:32:47.76]-[0:32:50.76]  mi marido es de Don Benito
[0:32:50.76]-[0:32:53.76]  pero desde cuatro meses vive en Mérida
[0:32:53.76]-[0:32:56.76]  y él venía al baile, claro
[0:32:56.76]-[0:32:59.76]  cuando a lo mejor muchos dejaban las novias
[0:32:59.76]-[0:33:02.76]  ¿y cómo se conocieron en el baile?
[0:33:02.76]-[0:33:05.76]  este pueblo ha sido muy acogedado por ateros
[0:33:05.76]-[0:33:08.76]  y además era un pueblo que el baile duraba
[0:33:08.76]-[0:33:11.76]  el más tardío de todos estos pueblos
[0:33:11.76]-[0:33:14.76]  era este el último que cerraba el baile
[0:33:14.76]-[0:33:17.76]  y entonces cuando ya veníamos de recorridos de otros pueblos
[0:33:17.76]-[0:33:20.76]  pues ya no veníamos al baile
[0:33:20.76]-[0:33:23.76]  ¿y de dejar las novias?
[0:33:23.76]-[0:33:26.76]  ¿de dejar las novias? venían de otros pueblos y otros
[0:33:26.76]-[0:33:29.76]  ¿ya venían con... de dejar las... ya estaban con las novias?
[0:33:29.76]-[0:33:32.76]  no, no, no, no, pero que claro que también este pueblo
[0:33:32.76]-[0:33:35.76]  también le ha gustado ahí
[0:33:35.76]-[0:33:38.76]  y que había muy buena juventud
[0:33:38.76]-[0:33:41.76]  mayormente en las fiestas y eso cuando ya se tardaban
[0:33:41.76]-[0:33:44.76]  no porque sea el pueblo, pero lo puede decir él
[0:33:44.76]-[0:33:47.76]  había juventud y las chicas eran muy monas
[0:33:47.76]-[0:33:50.76]  había muchachas, una juventud muy guapa
[0:33:50.76]-[0:33:53.76]  ¿por qué venían los ateros? porque eran muy acogedoras
[0:33:53.76]-[0:33:56.76]  había mucha calidad
[0:33:56.76]-[0:33:59.76]  y que había aquí en Pucas de la Galliana
[0:33:59.76]-[0:34:02.76]  en Galliana, de mucha juventud, mucha juventud había
[0:34:02.76]-[0:34:05.76]  y que valía mucho
[0:34:05.76]-[0:34:08.76]  era un pueblo bueno, cogían, morían los forasteros
[0:34:08.76]-[0:34:11.76]  estos de riñas ni nada
[0:34:11.76]-[0:34:14.76]  son constructivos y formaban escala
[0:34:14.76]-[0:34:17.76]  ¿a quién no le gusta que vengan los forasteros a las bares?
[0:34:17.76]-[0:34:20.76]  y no había nunca algunos problemas
[0:34:20.76]-[0:34:23.76]  pero vamos de tarde en tarde no era el clásico pueblo
[0:34:23.76]-[0:34:26.76]  como el de Calamonte y eso así
[0:34:26.76]-[0:34:29.76]  que era una de las fiestas más importantes de ese pueblo
[0:34:29.76]-[0:34:32.76]  pues claro era la vez que no teníamos que venir
[0:34:32.76]-[0:34:35.76]  corriendo desde Calamonte a Mérida
[0:34:35.76]-[0:34:38.76]  porque nos esperaban a la salida del valle
[0:34:38.76]-[0:34:41.76]  y Peñascazo viene y Peñascazo va y a correr a la trocha
[0:34:41.76]-[0:34:44.76]  ¿sabes? ese era un conceptivo
[0:34:44.76]-[0:34:47.76]  donde únicamente hemos salido
[0:34:47.76]-[0:34:50.76]  es allá a Parragalejo
[0:34:50.76]-[0:34:53.76]  se celebraba mucho Shambla
[0:34:53.76]-[0:34:56.76]  Shambla se celebraba mucho
[0:34:56.76]-[0:34:59.76]  y entonces eso sí, ¿ves?
[0:34:59.76]-[0:35:02.76]  no había coche, no había moto, pero como está ahí unos kilómetros
[0:35:02.76]-[0:35:05.76]  y el baile ahí en Parragalejo empezaba cuando llegaba la juventud del pueblo
[0:35:05.76]-[0:35:08.76]  llegábamos con mi amo
[0:35:08.76]-[0:35:11.76]  y ala, a Parragalejo andando
[0:35:11.76]-[0:35:14.76]  si a lo mejor venían para acá tenían suerte
[0:35:14.76]-[0:35:17.76]  de que algunos ya tenían una moto
[0:35:17.76]-[0:35:20.76]  o en bicicleta
[0:35:20.76]-[0:35:23.76]  llegábamos, ya están aquí la gente del pueblo
[0:35:23.76]-[0:35:26.76]  del Garrovilla, nos poníamos en la puerta del baile
[0:35:26.76]-[0:35:29.76]  ya empezaba el baile a las 4 de la tarde
[0:35:29.76]-[0:35:32.76]  y bueno, ahí cada uno estaba hasta la hora que podía
[0:35:32.76]-[0:35:35.76]  porque a lo mejor si nos teníamos que venir andando
[0:35:35.76]-[0:35:38.76]  tenías que salir temprano, si no tenías un transporte
[0:35:38.76]-[0:35:41.76]  es donde únicamente ha salido el pueblo
[0:35:41.76]-[0:35:44.76]  y el matinete también se llevaba antes
[0:35:44.76]-[0:35:47.76]  y una cosa bonita que había entonces
[0:35:47.76]-[0:35:50.76]  que antes te ibas al matinee a las 4 de la mañana
[0:35:50.76]-[0:35:53.76]  se tomaba tu bermuda y todo de garrafa
[0:35:53.76]-[0:35:56.76]  no es igual que hoy que ya venía embotellado antes de garrafa
[0:35:56.76]-[0:35:59.76]  claro, no había tampoco posibles para los otros embotellados
[0:35:59.76]-[0:36:02.76]  y entonces pues te pasabas un rato por la mañana
[0:36:02.76]-[0:36:05.76]  era agradable, te venías a comer
[0:36:05.76]-[0:36:08.76]  y luego por la tarde otra vez volvíamos a ir
[0:36:08.76]-[0:36:11.76]  pues te ibas de paseo
[0:36:11.76]-[0:36:14.76]  y bueno, es buenísima, no es igual que hoy
[0:36:14.76]-[0:36:17.76]  hoy ya está todo muy adulterado
[0:36:17.76]-[0:36:20.76]  muy adulterado, entonces no se conocían los porros
[0:36:20.76]-[0:36:23.76]  no quita que alguno
[0:36:23.76]-[0:36:26.76]  pero vamos, por aquí por los porros
[0:36:26.76]-[0:36:29.76]  por las generaciones se tocaba ese palo
[0:36:29.76]-[0:36:32.76]  porque seguía los padres, estábamos encima de los hijos
[0:36:32.76]-[0:36:35.76]  igualmente como yo he dicho, iban las madres a por los hijos
[0:36:35.76]-[0:36:38.76]  y entonces eso, antes tenías que ligarte primero a la madre
[0:36:38.76]-[0:36:41.76]  porque se sentaban en los bancos, cabían al rededor del baile
[0:36:41.76]-[0:36:44.76]  y cuando iban a sacar
[0:36:44.76]-[0:36:47.76]  a la chica que sea, miraban a la chica para la madre
[0:36:47.76]-[0:36:50.76]  y hacia la madre con la cabeza
[0:36:50.76]-[0:36:53.76]  no le gustaba el palo, también
[0:36:53.76]-[0:36:56.76]  el palo a la madre y la hija no bailaba
[0:36:56.76]-[0:36:59.76]  así que los que éramos un poco más piscarones y más finos
[0:36:59.76]-[0:37:02.76]  o primero que hacían, iban a la madre y les decían
[0:37:02.76]-[0:37:05.76]  ¿por qué no me dejas de bailar con chicas que son muy bonitas?
[0:37:05.76]-[0:37:08.76]  y yo le dije, me dejas de bailar con una chica
[0:37:08.76]-[0:37:11.76]  y algunos de ellos dijeron, mira, más que yo muy bien
[0:37:11.76]-[0:37:14.76]  y es que antes para darte un beso, un novio
[0:37:14.76]-[0:37:17.76]  tenías que llevar 3 o 4 meses hablando con el novio
[0:37:17.76]-[0:37:20.76]  para darte un beso
[0:37:20.76]-[0:37:23.76]  eso, eso, venías y bueno
[0:37:23.76]-[0:37:26.76]  tenías un poquito de rimarte, te ponía la mano aquí
[0:37:26.76]-[0:37:29.76]  tenías ahí una distancia que
[0:37:29.76]-[0:37:32.76]  que estaba aislado totalmente
[0:37:32.76]-[0:37:35.76]  porque estaban seguidas ahí la madre
[0:37:35.76]-[0:37:38.76]  formando el escándalo, ¿sabes?
[0:37:38.76]-[0:37:41.76]  que hoy ya es distinto, a mí me gustaba mucho más la vida
[0:37:41.76]-[0:37:44.76]  de todos, antes ya te digo, bailabas, bailabas
[0:37:44.76]-[0:37:47.76]  un día y bailabas con otro, y bueno, pues ya medio se te declaraba
[0:37:47.76]-[0:37:50.76]  y además con bailar un día y otro ya sabías
[0:37:50.76]-[0:37:53.76]  pero, ya te digo
[0:37:53.76]-[0:37:56.76]  a la esquina
[0:37:56.76]-[0:37:59.76]  de la esquina, que no pasara para arriba
[0:37:59.76]-[0:38:02.76]  a mí, mire, mi padre era de la Renfe
[0:38:02.76]-[0:38:05.76]  iba todos los domingos, cuando salía
[0:38:05.76]-[0:38:08.76]  pasaba el tren de las 12, iba todos los días
[0:38:08.76]-[0:38:11.76]  en la bicicleta, que tenía bicicleta
[0:38:11.76]-[0:38:14.76]  y llegaba al baile
[0:38:14.76]-[0:38:17.76]  ponía la bicicleta, parcaba la bicicleta, se entraba dentro del baile
[0:38:17.76]-[0:38:20.76]  se tomaba un par de vasitos y me decía, ¿pa casa?
[0:38:20.76]-[0:38:23.76]  y veníamos los tres, ya desde que entró en casa
[0:38:23.76]-[0:38:26.76]  ya te digo que vinieron sus padres a pedir la entrada
[0:38:26.76]-[0:38:29.76]  y ya nos veníamos mi padre
[0:38:29.76]-[0:38:32.76]  mi padre, él y yo, los tres
[0:38:32.76]-[0:38:35.76]  él cogía, arrancaba la moto, se iba y mi padre y yo nos entrábamos en casa
[0:38:35.76]-[0:38:38.76]  ni despedirnos
[0:38:38.76]-[0:38:41.76]  ni despedirnos podíamos
[0:38:41.76]-[0:38:44.76]  pero era muy bonita
[0:38:44.76]-[0:38:47.76]  la vida de antes era muy bonita
[0:38:47.76]-[0:38:50.76]  porque, no sé
[0:38:50.76]-[0:38:53.76]  era eso
[0:38:53.76]-[0:38:56.76]  tenías mucha más ilusión
[0:38:56.76]-[0:38:59.76]  entonces tenías más ilusión por eso
[0:38:59.76]-[0:39:02.76]  mi marido, él trabajaba en Mérida
[0:39:02.76]-[0:39:05.76]  tenía una gana que llegara en las 14 de la noche
[0:39:05.76]-[0:39:08.76]  para que viniese
[0:39:08.76]-[0:39:11.76]  y como le caiga bien el tío
[0:39:11.76]-[0:39:14.76]  ya estamos todos liados
[0:39:14.76]-[0:39:17.76]  entonces te caía muy bien un chico
[0:39:17.76]-[0:39:20.76]  pero como tenías tanta tirante
[0:39:20.76]-[0:39:23.76]  tenías que llevar meses
[0:39:23.76]-[0:39:26.76]  porque yo me tiré tres meses para dar un beso
[0:39:26.76]-[0:39:29.76]  y eso porque iba ahí a Cáceres
[0:39:29.76]-[0:39:32.76]  y venía siempre con las cositas estas
[0:39:32.76]-[0:39:35.76]  de que tenemos los hombres
[0:39:35.76]-[0:39:38.76]  y a ver si podíamos algo
[0:39:38.76]-[0:39:41.76]  y así un día y otro día y otro día
[0:39:41.76]-[0:39:44.76]  pero como la quería continuaba el día
[0:39:44.76]-[0:39:47.76]  pero a mí esto de hoy no me gusta
[0:39:47.76]-[0:39:50.76]  porque a una chica le gusta un chico
[0:39:50.76]-[0:39:53.76]  y se entrega a él
[0:39:53.76]-[0:39:56.76]  lo mismo que se entrega a ella
[0:39:56.76]-[0:39:59.76]  mayormente se entrega a ella más
[0:39:59.76]-[0:40:02.76]  y perdonad
[0:40:02.76]-[0:40:05.76]  porque la libertad por lo que quiera que sea
[0:40:05.76]-[0:40:08.76]  y eso antiguamente se terminó
[0:40:08.76]-[0:40:11.76]  nosotros mismos fuimos de Romería
[0:40:11.76]-[0:40:14.76]  fuimos a una caldereta
[0:40:14.76]-[0:40:17.76]  hicimos una carroza y nos fuimos a una caldereta
[0:40:17.76]-[0:40:20.76]  pero yo no tenía ni pensamiento de él ni nada
[0:40:20.76]-[0:40:23.76]  a ver, fuimos a la caldereta
[0:40:23.76]-[0:40:26.76]  y muy bien, él por su lado y yo por el mío
[0:40:26.76]-[0:40:29.76]  lo que era antiguamente
[0:40:29.76]-[0:40:32.76]  y nada, pues cuando estábamos allí sentados
[0:40:32.76]-[0:40:35.76]  llegó con un ramo de adelfa
[0:40:35.76]-[0:40:38.76]  que no sabía
[0:40:38.76]-[0:40:41.76]  un ramo de adelfa
[0:40:41.76]-[0:40:44.76]  y entonces bueno, pues luego ya
[0:40:44.76]-[0:40:47.76]  vinimos juntos en el tractor con todos
[0:40:47.76]-[0:40:50.76]  pero bueno, sentado a mi lado
[0:40:50.76]-[0:40:53.76]  y bueno, ya se fue a América, se estuvo arreglando
[0:40:53.76]-[0:40:56.76]  vino enseguida y a partir de ahí ya empezamos a...
[0:40:56.76]-[0:40:59.76]  estuvimos tres años y medio de novios
[0:40:59.76]-[0:41:02.76]  tres años y medio
[0:41:02.76]-[0:41:05.76]  y bueno, nos casamos, me quedé aquí a vivir en mi casa
[0:41:05.76]-[0:41:08.76]  y la boda era diferente, ¿no?
[0:41:08.76]-[0:41:11.76]  sí, yo fui vestida de blanco
[0:41:11.76]-[0:41:14.76]  se vestían de blanco pero las que iban...
[0:41:14.76]-[0:41:17.76]  no virgen de sopa porque tampoco es eso
[0:41:17.76]-[0:41:20.76]  pero la mayoría iban virgen y se vestían de blanco
[0:41:20.76]-[0:41:23.76]  no hay mucha hoy que el domingo va con una barriga así
[0:41:23.76]-[0:41:26.76]  que va como antes
[0:41:26.76]-[0:41:29.76]  antiguamente todo el mundo, de no ser la de luto, ve hoy como no se guarda luto
[0:41:29.76]-[0:41:32.76]  porque yo precisamente me quise casar de negro
[0:41:32.76]-[0:41:35.76]  pero no me dejaron
[0:41:35.76]-[0:41:38.76]  yo era la que era... como antiguamente los lutos se llevaban mucho
[0:41:38.76]-[0:41:41.76]  se murió una hermana de mi madre
[0:41:41.76]-[0:41:44.76]  que era la que nos había criado a nosotros
[0:41:44.76]-[0:41:47.76]  y hacía nada más que cuatro meses, o cinco, o cero, verdad
[0:41:47.76]-[0:41:50.76]  y yo, como tenía luto por ella, me quería casar de negro
[0:41:50.76]-[0:41:53.76]  o azul marino
[0:41:53.76]-[0:41:56.76]  pasa que él dijo que no, eso era así una vez al año
[0:41:56.76]-[0:41:59.76]  una vez en la vida
[0:41:59.76]-[0:42:02.76]  y que no me casaba
[0:42:02.76]-[0:42:05.76]  y luego, fuimos a la iglesia y luego fuimos al salón
[0:42:05.76]-[0:42:08.76]  me hizo una señora, a casa de una tía mía
[0:42:08.76]-[0:42:11.76]  que tenía de esas cocinas antiguas de las matanzas
[0:42:11.76]-[0:42:14.76]  porque ella hacía mucha matanza
[0:42:14.76]-[0:42:17.76]  y allí me hizo la comida
[0:42:17.76]-[0:42:20.76]  ya se empezaron a llevar los muslillos de pollo
[0:42:20.76]-[0:42:23.76]  porque antes se hacía arroz con pollo en las bodas
[0:42:23.76]-[0:42:26.76]  arroz con pollo
[0:42:26.76]-[0:42:29.76]  y los dulces, y una tarta y ya está
[0:42:29.76]-[0:42:32.76]  y la estoy haciendo a estilo cubierto
[0:42:32.76]-[0:42:35.76]  cuando yo ya me casé la hice al estilo cubierto
[0:42:35.76]-[0:42:38.76]  puse muslo de pollo
[0:42:38.76]-[0:42:41.76]  al horno
[0:42:41.76]-[0:42:44.76]  puse huevos cocidos con guarnición y esas cosas
[0:42:44.76]-[0:42:47.76]  y antiguamente sí
[0:42:47.76]-[0:42:50.76]  y antiguamente duraban las bodas un par de días
[0:42:50.76]-[0:42:53.76]  antiguamente sí duraban las bodas un par de días
[0:42:53.76]-[0:42:56.76]  ahora no, ahora se hace la despedida de soltero
[0:42:56.76]-[0:42:59.76]  unas veces lo hacen el novio por un lado
