[0:00:00.00]-[0:00:02.00]  ¿Usted nació aquí entonces?
[0:16:32.00]-[0:16:34.00]  La mujer pide para los gitanos.
[0:16:34.00]-[0:16:36.00]  El gitano come, pero ella tiene que partirse y ir a pedir.
[0:16:36.00]-[0:16:38.00]  Y aquí pasaba igual, iban las gitanas con su testa.
[0:16:38.00]-[0:16:40.00]  Se vestían de...
[0:16:40.00]-[0:16:44.00]  Pues como de gitanas, con unas faldas largas, grandes.
[0:16:44.00]-[0:16:46.00]  Negras, no creas que de color.
[0:16:46.00]-[0:16:48.00]  O con otro color vestido.
[0:16:48.00]-[0:16:50.00]  O con flores.
[0:16:50.00]-[0:16:52.00]  Como esos vestidos de las gitanas.
[0:16:52.00]-[0:16:56.00]  Y un manpón así de Manila, o parecido a eso.
[0:16:56.00]-[0:17:00.00]  Y después se puso a comer.
[0:17:00.00]-[0:17:02.00]  Y hacíamos la comida pues a la fuera del pueblo.
[0:17:02.00]-[0:17:06.00]  Nosotros hacíamos ahí, por las heras, a la escuela.
[0:17:06.00]-[0:17:08.00]  Ahí, por ahí, para entregar el palomar.
[0:17:08.00]-[0:17:10.00]  Pues ahí se hacían la comida.
[0:17:10.00]-[0:17:12.00]  ¿Y qué se hacía, por ejemplo, una comida de esas?
[0:17:12.00]-[0:17:14.00]  No, si comíamos bien, ¿no?
[0:17:14.00]-[0:17:16.00]  Porque hacían tortillas de chorizo, tortillas.
[0:17:16.00]-[0:17:18.00]  Y se compraba bacalao, y se sacaba dinero.
[0:17:18.00]-[0:17:22.00]  Se compraba bacalao, y se hacía bacalao a hoja riero.
[0:17:22.00]-[0:17:26.00]  O bacalao a la salsa verde.
[0:17:26.00]-[0:17:28.00]  ¿Cómo era esa?
[0:17:28.00]-[0:17:30.00]  ¿Qué condimentos llevaba eso?
[0:17:30.00]-[0:17:34.00]  Eso, coño, el ajo a riero pues lleva, ya sabes, el pimiento frito.
[0:17:34.00]-[0:17:36.00]  Con aceite y el ajo picado.
[0:17:36.00]-[0:17:38.00]  Y un poco de vinagre.
[0:17:38.00]-[0:17:42.00]  Y un poquito de vinagre se llama ajo a riero, bacalao a hoja riero.
[0:17:42.00]-[0:17:48.00]  Otra vez, y por la noche, pues ponía hasta un chime de alubias a comer.
[0:17:48.00]-[0:17:50.00]  Y comíamos para la noche todo.
[0:17:50.00]-[0:17:52.00]  ¿Te acuerdas de un detalle de estos?
[0:17:52.00]-[0:17:54.00]  ¿Eso sabes quién nos lo hizo a nosotros?
[0:17:54.00]-[0:17:56.00]  ¿Doyos?
[0:17:56.00]-[0:17:58.00]  Estábamos en las escuelas, estábamos...
[0:17:58.00]-[0:18:02.00]  Pues éramos los gitanos, que los mayores que éramos nosotros.
[0:18:02.00]-[0:18:04.00]  Pues teníamos el policía, yo 20 años entonces.
[0:18:04.00]-[0:18:06.00]  Y estábamos, a menos, acá sobramos 8.
[0:18:06.00]-[0:18:08.00]  8 y 8, 16.
[0:18:08.00]-[0:18:12.00]  Y teníamos no comida mujer, teníamos a base de cordero.
[0:18:12.00]-[0:18:14.00]  Se mataba aquí.
[0:18:14.00]-[0:18:18.00]  Sí, sí, lo comprábamos nosotros y lo matábamos para comerle a nosotros.
[0:18:18.00]-[0:18:24.00]  Y nosotros aportábamos, ex, perras, o dios que se, tal como fuera, ¿verdad?
[0:18:24.00]-[0:18:28.00]  Y poníamos, bueno, hacíamos la comida, se hacía allí.
[0:18:28.00]-[0:18:35.00]  Tenía la comida allí en un cachadumbre con una sartén, vamos, un trevedre, se llamaba.
[0:18:35.00]-[0:18:41.00]  Y allí se ponía la calzola de barro y chichichí con aceite y eso, lo guisábamos allí.
[0:18:41.00]-[0:18:46.00]  Pero llegaba un día que si no se había echado la chala aquella, polvos de...
[0:18:46.00]-[0:18:47.00]  De tica tica.
[0:18:47.00]-[0:18:49.00]  De esos que... ¿Cómo se llaman?
[0:18:49.00]-[0:18:51.00]  De jalapa.
[0:18:51.00]-[0:18:52.00]  De jalapa.
[0:18:52.00]-[0:18:54.00]  Que esos dan una diarrea que te hacían calar un tío a rastallar.
[0:18:54.00]-[0:18:56.00]  ¿Polvos de jalapa?
[0:18:56.00]-[0:18:58.00]  Normalmente, sí.
[0:18:58.00]-[0:19:00.00]  Se los cuento normalmente, como eran.
[0:19:00.00]-[0:19:02.00]  Esos polvos te daban una diarrea.
[0:19:02.00]-[0:19:05.00]  ¿Por qué no se les daba de tener el pantalón o la braga a la mujer puesta?
[0:19:05.00]-[0:19:07.00]  ¿Por qué antes de ponerla tiene que quitarla?
[0:19:07.00]-[0:19:09.00]  ¿Para uno que estuviera finido?
[0:19:09.00]-[0:19:10.00]  Sí, el que no.
[0:19:10.00]-[0:19:12.00]  El además es que después no podía...
[0:19:12.00]-[0:19:16.00]  Se comía esa comida y que la tienes que devolver toda la poquitita, se estaba mal.
[0:19:16.00]-[0:19:18.00]  Pero me dieron esa paella.
[0:19:18.00]-[0:19:21.00]  Y él lo había en los bailes, pues, precioso, con el chicanillo, yo lo que llevaba.
[0:19:21.00]-[0:19:23.00]  Tú llevabas el chicanillo.
[0:19:23.00]-[0:19:27.00]  Teníamos baile, pues, el lunes empezábamos.
[0:19:27.00]-[0:19:30.00]  El Domingo Gordo, que se llama.
[0:19:30.00]-[0:19:33.00]  Lunes, Domingo. Luego, lunes, de Carrabalba, atrás.
[0:19:33.00]-[0:19:37.00]  Y luego estaba el miércoles de semilla, que se hacía la sardina...
[0:19:37.00]-[0:19:39.00]  El entero de la sardina.
[0:19:39.00]-[0:19:41.00]  ¿Cómo era aquello?
[0:19:41.00]-[0:19:43.00]  Eso era muy bonito.
[0:19:43.00]-[0:19:45.00]  La entero de la sardina, aquí mismo.
[0:19:45.00]-[0:19:47.00]  Lo voy a leer un poco.
[0:19:47.00]-[0:19:49.00]  Ahí mismo, en la plaza, eso es la plaza, ¿verdad?
[0:19:49.00]-[0:19:53.00]  Pues ahí, a la orilla aquella, con cuatro palos o tres palos,
[0:19:53.00]-[0:19:55.00]  hacían un púlpito que le llamaba.
[0:19:55.00]-[0:19:57.00]  ¿Como un antarcillo?
[0:19:57.00]-[0:19:59.00]  No, no, eso era de verdad.
[0:19:59.00]-[0:20:01.00]  Un púlpito, un púlpito, un púlpito.
[0:20:01.00]-[0:20:05.00]  Es grandísima, la rueda de un carro, de esos que te digo yo,
[0:20:05.00]-[0:20:08.00]  de esos, pues grandes, ¿verdad?
[0:20:08.00]-[0:20:11.00]  Y en esos se fijaban las ruedas en eso.
[0:20:11.00]-[0:20:13.00]  Y se llevaban el púlpito.
[0:20:13.00]-[0:20:15.00]  Y allí se ponía el tío a pedricar.
[0:20:15.00]-[0:20:18.00]  Un señor, un hombre, un tío que era chistoso,
[0:20:18.00]-[0:20:20.00]  porque si no, no valía para eso.
[0:20:20.00]-[0:20:22.00]  Era mi chico.
[0:20:22.00]-[0:20:24.00]  Era pastor.
[0:20:24.00]-[0:20:26.00]  Y ese era pedricado.
[0:20:26.00]-[0:20:30.00]  Y se ponía allí a pedricar, y lo que dijera,
[0:20:30.00]-[0:20:34.00]  a mí no me acuerdo, pero se podía pedricar el...
[0:20:34.00]-[0:20:37.00]  Como era chistoso, pues era el que le hacía de cura.
[0:20:37.00]-[0:20:41.00]  No ha pedido, si no era, a polo.
[0:20:41.00]-[0:20:44.00]  Y estaba muy bien, pero uno de esos,
[0:20:44.00]-[0:20:46.00]  pasó un caso muy serio.
[0:20:46.00]-[0:20:49.00]  Estaba entonces el polo, entre los motos,
[0:20:49.00]-[0:20:51.00]  se partieron dos bandas.
[0:20:51.00]-[0:20:53.00]  Dos bandas.
[0:20:53.00]-[0:20:56.00]  Y había unas bandas de moros que llamaban,
[0:20:56.00]-[0:21:00.00]  con caballos y todo, y recorrían por todo el campo,
[0:21:00.00]-[0:21:02.00]  como una batalla, y todo eso.
[0:21:02.00]-[0:21:05.00]  Sí, sí, pero con trabucos, o sea, con escopetas,
[0:21:05.00]-[0:21:07.00]  pero no para tirar a matar, ¿entiendes?
[0:21:07.00]-[0:21:09.00]  A lo mejor con perdido, ¿no?
[0:21:09.00]-[0:21:11.00]  Sí, pero no era para matar, no valía eso.
[0:21:11.00]-[0:21:15.00]  Y esos un año, pues se enfadaron unos motos con otros.
[0:21:15.00]-[0:21:17.00]  Entonces yo era más joven.
[0:21:17.00]-[0:21:19.00]  Era yo más joven ese día, te contaba.
[0:21:19.00]-[0:21:21.00]  Yo era bastante más joven.
[0:21:21.00]-[0:21:27.00]  Y unos con otros, pasó un laberinto que se cerraron.
[0:21:27.00]-[0:21:31.00]  Y aquí en esto de la iglesia, había un portal de la iglesia.
[0:21:31.00]-[0:21:34.00]  Y en esos carnavales, admitió Cácero,
[0:21:34.00]-[0:21:37.00]  que era sagristán de la iglesia, de aquí, del Pura,
[0:21:37.00]-[0:21:42.00]  sagristán, pues ahí le condenaban a Cadellas Pedraveso,
[0:21:42.00]-[0:21:44.00]  a Ocarle.
[0:21:44.00]-[0:21:45.00]  A Ocarle, sí.
[0:21:45.00]-[0:21:48.00]  Y este portal tenía vigas, pues por bajo,
[0:21:48.00]-[0:21:51.00]  así en esta forma, nosotros lo sabemos de esto.
[0:21:51.00]-[0:21:53.00]  El pendolete es el agua.
[0:21:53.00]-[0:21:54.00]  El pendolete es como un triángulo.
[0:21:54.00]-[0:21:55.00]  Es así, mira.
[0:21:55.00]-[0:21:57.00]  El pendolete es así.
[0:21:57.00]-[0:21:59.00]  Y aquí en el medio va un palo así.
[0:21:59.00]-[0:22:00.00]  Recto.
[0:22:00.00]-[0:22:01.00]  Recto, así.
[0:22:01.00]-[0:22:05.00]  Pero la viga así, pues no se ve, porque va a metir así.
[0:22:05.00]-[0:22:07.00]  Ahí en esa pared y en esta pared.
[0:22:07.00]-[0:22:08.00]  Y va el pendolete así puesto.
[0:22:08.00]-[0:22:11.00]  Bueno, y así iba una atravesada toda la porbaja.
[0:22:11.00]-[0:22:14.00]  Y en esa la holcaban, pero no le iban a holcar por la caja
[0:22:14.00]-[0:22:15.00]  o por el cuello, porque la holcaban por el cuello,
[0:22:15.00]-[0:22:18.00]  no podía vivir el tío, la holcaban por bajo los ovacos.
[0:22:18.00]-[0:22:20.00]  Por bajo los ovacos.
[0:22:20.00]-[0:22:22.00]  Y esto es un poco resonante.
[0:22:22.00]-[0:22:25.00]  Pero este tío, mira frente mío.
[0:22:25.00]-[0:22:28.00]  Le holcaban y cuando tiraban por encima,
[0:22:28.00]-[0:22:29.00]  ¡fu!
[0:22:29.00]-[0:22:30.00]  Y le salían los mocos.
[0:22:30.00]-[0:22:33.00]  Unos mocos más verdes que yo en la puta vida,
[0:22:33.00]-[0:22:36.00]  les vi yo más verdes que yo en la puta vida.
[0:22:36.00]-[0:22:38.00]  Eso es que te cuento, eso es de los...
[0:22:38.00]-[0:22:40.00]  Me estoy preguntando de antigüedad, ¿verdad?
[0:22:40.00]-[0:22:41.00]  Porque yo le...
[0:22:41.00]-[0:22:42.00]  A ti te lo preguntaba, creo que echaría ibaba.
[0:22:42.00]-[0:22:44.00]  Pues ibaba y todo.
[0:22:44.00]-[0:22:45.00]  Como la alcavarria salía de todo.
[0:22:45.00]-[0:22:47.00]  La alcavarria hasta la lengua.
[0:22:47.00]-[0:22:49.00]  No, no, ya nada de la virtud de acero.
[0:22:49.00]-[0:22:51.00]  Iba por bajo los ovacos, tiraba, ¡fu!
[0:22:51.00]-[0:22:52.00]  La lengua fuera.
[0:22:52.00]-[0:22:53.00]  ¡Fu!
[0:22:53.00]-[0:22:54.00]  Y ahora.
[0:22:54.00]-[0:22:55.00]  Y así los cagaban al tío.
[0:22:55.00]-[0:22:57.00]  Y el entero de la salida, ¿donde está eso?
[0:22:57.00]-[0:22:59.00]  Pues enterraba después.
[0:22:59.00]-[0:23:01.00]  Iban de atrás en un carrucho.
[0:23:01.00]-[0:23:03.00]  Un carro pequeño, ¿verdad?
[0:23:03.00]-[0:23:04.00]  Pero le cubrían, ¿verdad?
[0:23:04.00]-[0:23:06.00]  Le cubrían con un pueblo que se llamaba.
[0:23:06.00]-[0:23:09.00]  Y allí metían, pues no, lo que llamaban las salinas,
[0:23:09.00]-[0:23:12.00]  un juguete que iba a las tres o cuatro de la mañana.
[0:23:12.00]-[0:23:13.00]  ¿Cuántas iban?
[0:23:13.00]-[0:23:16.00]  Cuatro chicas jóvenes, vestidas de negro todas,
[0:23:16.00]-[0:23:17.00]  con paño lo negro.
[0:23:17.00]-[0:23:18.00]  Iban de llorona.
[0:23:18.00]-[0:23:19.00]  Iban de llorona.
[0:23:19.00]-[0:23:20.00]  Iban haciendo, ¡uh, uh, uh!
[0:23:20.00]-[0:23:22.00]  Y venga a llorar la llorona.
[0:23:22.00]-[0:23:25.00]  Y se le iba a enterrar a las bodegas.
[0:23:25.00]-[0:23:26.00]  ¿Pero qué le iba a enterrar?
[0:23:26.00]-[0:23:30.00]  Nada, pues un pez con ardilla de madera.
[0:23:30.00]-[0:23:32.00]  Pues eso eran las salinas.
[0:23:32.00]-[0:23:33.00]  ¿Que le llamaban salinas?
[0:23:33.00]-[0:23:36.00]  Claro, entero de salinas, pues claro, había que llevar un pez, un algo,
[0:23:36.00]-[0:23:38.00]  para saber que eran entero de salinas.
[0:23:38.00]-[0:23:41.00]  Entonces iban como en una profisión o algo así.
[0:23:41.00]-[0:23:43.00]  Sí, sí, todo, así, así.
[0:23:43.00]-[0:23:45.00]  Una profisión, ¡bah!
[0:23:45.00]-[0:23:48.00]  Iban los cientos tíos, muchachos,
[0:23:48.00]-[0:23:51.00]  pero aquí iban muchísimos pasada, del entero de la ardilla.
[0:23:51.00]-[0:23:53.00]  Era un entero que estaba bastante bien.
[0:23:53.00]-[0:23:56.00]  O sea que aquí había habido una fiesta muy grandita.
[0:23:56.00]-[0:23:59.00]  Vamos a empezar con la fiesta del pueblo, que es el Antonio de Padua.
[0:23:59.00]-[0:24:01.00]  ¿El 13 de junio?
[0:24:01.00]-[0:24:02.00]  El 13 de junio.
[0:24:02.00]-[0:24:03.00]  Sí.
[0:24:03.00]-[0:24:07.00]  Entonces la fiesta del pueblo, pues había poco.
[0:24:07.00]-[0:24:10.00]  Venía las chicas que estaban sirviendo en la capital,
[0:24:10.00]-[0:24:13.00]  en Valladolid, que era donde estaban sirviendo,
[0:24:13.00]-[0:24:17.00]  y venían pues dos autocares, porque entonces había aquí ya línea de autocares,
[0:24:17.00]-[0:24:19.00]  directa, de aquí sí.
[0:24:19.00]-[0:24:21.00]  Aquí era el tocado, directo de aquí a Valladolid.
[0:24:21.00]-[0:24:23.00]  Hay otro camión.
[0:24:23.00]-[0:24:25.00]  Venían dos autocares de chicas.
[0:24:25.00]-[0:24:27.00]  ¿Pero por el tarde, dos o tres?
[0:24:27.00]-[0:24:28.00]  Que recogían allí a las chicas.
[0:24:28.00]-[0:24:30.00]  Claro, pero venían a pasar esos días.
[0:24:30.00]-[0:24:33.00]  Venía a pasar la fiesta en casa de su padre hoy,
[0:24:33.00]-[0:24:36.00]  y esta traía una amiga, esa traía otra amiga que estaba viviendo allí,
[0:24:36.00]-[0:24:38.00]  una compañera, otra, una.
[0:24:38.00]-[0:24:43.00]  Y nos traían a su casa, y había pues cuatro bailes aquí en este pueblo.
[0:24:43.00]-[0:24:46.00]  Cuatro bailes en una panera que se llama,
[0:24:46.00]-[0:24:48.00]  o sea, en los locales, lo llamamos naves, ¿no entiendes?
[0:24:48.00]-[0:24:50.00]  Pero entonces era una panera.
[0:24:50.00]-[0:24:53.00]  O en un pajar nos llevaba la paja, porque no había panera bastante.
[0:24:53.00]-[0:24:56.00]  Se limpiaba ese pajar, se le barría bien,
[0:24:56.00]-[0:25:01.00]  se le daba todo alrededor de blanco, con calvivo, como fuera,
[0:25:01.00]-[0:25:04.00]  y luego se le adornaba esa panera, pues con...
[0:25:04.00]-[0:25:08.00]  ¿Con bandas, con esto de las cenas, de las cenas, de las tocos?
[0:25:08.00]-[0:25:12.00]  Sí, con estas cintas, no, cintas, cintas de esas serpentinas.
[0:25:12.00]-[0:25:15.00]  Se llamaba que se tiraba la armentina,
[0:25:15.00]-[0:25:19.00]  y lo colgaba así, de una a otra, de una a otra, y hacías un cruz.
[0:25:19.00]-[0:25:21.00]  Y ya para el cielo, veces menos, ¿entiendes?
[0:25:21.00]-[0:25:26.00]  Pero bueno, hacían los laterales, se ponían unas cerraduras de mulas,
[0:25:26.00]-[0:25:30.00]  y metías por ramos de rosas, de flores, de esto, de...
[0:25:30.00]-[0:25:34.00]  y de zarzas, o de cosas de esas, y lo llevabas todo, el zarza.
[0:25:34.00]-[0:25:37.00]  Y ya duraba el baile, pues eso, se empezaba el baile a las...
[0:25:37.00]-[0:25:40.00]  No, aquí el baile era en las plazas de la música,
[0:25:40.00]-[0:25:43.00]  y si había una música aquí de baile, una música, una...
[0:25:43.00]-[0:25:47.00]  Era en la de San Pedro a Tarcel, pues una banda, sí, que se había contratado,
[0:25:47.00]-[0:25:49.00]  y eso lo ha contratado el ayuntamiento.
[0:25:49.00]-[0:25:50.00]  ¿Lo ha contratado?
[0:25:50.00]-[0:25:53.00]  El ayuntamiento, el dinero, lo que puede ser más, no me da.
[0:25:53.00]-[0:25:56.00]  En aquellos tiempos, pues había a lo mejor 20 euros, digo yo, por tres días,
[0:25:56.00]-[0:25:58.00]  y ya sería mucho.
[0:25:58.00]-[0:26:02.00]  Yo entonces ganaba el jornal, era tres reales, siete reales, y ya, pues entonces...
[0:26:02.00]-[0:26:07.00]  Y había, digo, el baile era aquí, empezaba pues a las cinco, o las seis de la tarde,
[0:26:07.00]-[0:26:11.00]  o más tarde, las seis, y estaba aquí pues hasta las diez,
[0:26:11.00]-[0:26:15.00]  el baile, pero había un baile aquí que estaba esto todo lleno,
[0:26:15.00]-[0:26:18.00]  es que esto no se hiciera esto, era todo de barro.
[0:26:18.00]-[0:26:19.00]  Todo de barro, porque...
[0:26:19.00]-[0:26:21.00]  Entonces esto era todo barro, no creas, va esto nada,
[0:26:21.00]-[0:26:23.00]  y la calle es todo barro, todo era de barro.
[0:26:23.00]-[0:26:26.00]  Y había aquí, pues una caseta con...
[0:26:26.00]-[0:26:29.00]  En el portal de la iglesia había un tío que hacía churros,
[0:26:29.00]-[0:26:32.00]  que ahí vivía con una familia que tenía cuatro o cinco churros,
[0:26:32.00]-[0:26:34.00]  y la mujer...
[0:26:34.00]-[0:26:35.00]  Y estaba haciendo la niña de noche churros.
[0:26:35.00]-[0:26:38.00]  Y estaba ahí todo, ahí dormía todo, ahí.
[0:26:38.00]-[0:26:41.00]  Ahí tiraban un cacho colchón o colchonetas, y todo ahí.
[0:26:41.00]-[0:26:44.00]  Y a las cinco... bueno, a las cuatro no se hacía churros.
[0:26:44.00]-[0:26:47.00]  Porque como el baile después de terminarse aquí,
[0:26:47.00]-[0:26:50.00]  cenabas en casa, muy inmediatamente cenabas en casa.
[0:26:50.00]-[0:26:53.00]  Ahora, vamos a bailar para... porque ese día los bailes particulares.
[0:26:53.00]-[0:26:56.00]  Uno pone, ni yo con otros cinco, seis o otros,
[0:26:56.00]-[0:26:59.00]  sino siete amigos, o ocho, diez, juntos.
[0:26:59.00]-[0:27:01.00]  Habíamos un baile en tránsito, una gran palera.
[0:27:01.00]-[0:27:03.00]  Otros ocho, diez, otros vayan a grabar.
[0:27:03.00]-[0:27:05.00]  Otros ocho, diez en aquella, o diez o quince,
[0:27:05.00]-[0:27:07.00]  teníamos yo, aproximadamente.
[0:27:07.00]-[0:27:09.00]  Pero en mi...
[0:27:09.00]-[0:27:10.00]  ¿Cuántas muchachas llevas tú?
[0:27:10.00]-[0:27:13.00]  Yo llevo a mis malas, llevo a mi prima de tal,
[0:27:13.00]-[0:27:16.00]  y llevo pues mil, tres de Valladolid, a dos forasteras.
[0:27:16.00]-[0:27:19.00]  Coño, cuando nos juntamos con 20 muchachas,
[0:27:19.00]-[0:27:21.00]  coño, pues dándonos un baile.
[0:27:21.00]-[0:27:25.00]  Y llegamos el otro día, coño, pero te voy a llamar, te voy a llamar.
[0:27:25.00]-[0:27:27.00]  Después se dieron los cuatro bailes,
[0:27:27.00]-[0:27:30.00]  y estábamos en amistad los del pueblo,
[0:27:30.00]-[0:27:33.00]  porque si yo llamaba a cuatro muchachas,
[0:27:33.00]-[0:27:36.00]  porque si había gritado, ha hecho otro vecino ese,
[0:27:36.00]-[0:27:39.00]  la otra amiguita, y que se la llamaba yo,
[0:27:39.00]-[0:27:41.00]  y ya no nos hablábamos.
[0:27:41.00]-[0:27:43.00]  A ver, la mía se fue a enseñar.
[0:27:43.00]-[0:27:46.00]  La mía era esa, era mía, porque el tío que más llamaba personas,
[0:27:46.00]-[0:27:48.00]  o sea, más chicas de Albaile,
[0:27:48.00]-[0:27:51.00]  era más gallo, más contento.
[0:27:51.00]-[0:27:53.00]  Yo le he dado cuatro.
[0:27:53.00]-[0:27:56.00]  Mira, te voy a contar un detalle aquí, dios mío.
[0:27:56.00]-[0:27:58.00]  Un señor que no bailaba,
[0:27:58.00]-[0:28:01.00]  ni ha bailado nunca, ni ha sabido bailar en la vida.
[0:28:01.00]-[0:28:03.00]  Pero tenía cuatro hermanas.
[0:28:03.00]-[0:28:05.00]  ¿Qué no sabía bailar hombre?
[0:28:05.00]-[0:28:07.00]  Y tenía cuatro hermanas.
[0:28:07.00]-[0:28:09.00]  Sin embargo, era jefe de los del gato.
[0:28:09.00]-[0:28:12.00]  ¿Y qué hermano le ha dado cuatro hermanas a la baile?
[0:28:12.00]-[0:28:15.00]  ¿Y entonces quién le ha dado cuatro hermanas?
[0:28:15.00]-[0:28:18.00]  Había que pedir permiso a ese señor para bailar con...
[0:28:18.00]-[0:28:21.00]  No, después tú ibas a la baile, que eso te permisionaba.
[0:28:21.00]-[0:28:24.00]  Tú ibas a la baile y esta y esta, los cuatro, yo y la baile de los cinco,
[0:28:24.00]-[0:28:26.00]  que tenés aquí, ibas a la baile.
[0:28:26.00]-[0:28:30.00]  Si tú te gustaba bailar conmigo, a ese no bailar porque no estaba la gana.
[0:28:30.00]-[0:28:32.00]  ¡Claro, si era así!
[0:28:32.00]-[0:28:35.00]  Si el baile era así, si tú tenías agrado más conmigo,
[0:28:35.00]-[0:28:37.00]  o al revés, o con ese, conmigo,
[0:28:37.00]-[0:28:40.00]  pues sí, bailo contigo para el seis, bailo contigo para el siete.
[0:28:40.00]-[0:28:42.00]  Y llevaban algocito para...
[0:28:42.00]-[0:28:43.00]  ¡Qué coño!
[0:28:43.00]-[0:28:46.00]  Después, te daba uno a pedir que...
[0:28:46.00]-[0:28:50.00]  Oye, para, te toques conmigo, y si no querías bailar contigo,
[0:28:50.00]-[0:28:53.00]  pues no lo sé, pues ya le tengo da.
[0:28:53.00]-[0:28:57.00]  ¡Nada! O llegaba tú, con esta muchacha, con esta, o supongo,
[0:28:57.00]-[0:28:59.00]  yo no quería bailar con aquella.
[0:28:59.00]-[0:29:02.00]  Y yo decía, pues mira, para el cuatro, para el tres.
[0:29:02.00]-[0:29:05.00]  Oye, para el que ve, coño, que no, que bailo con Mulán.
[0:29:05.00]-[0:29:07.00]  Que te hace todo lo equivocado.
[0:29:07.00]-[0:29:09.00]  Pero es que yo no quería bailar con él, porque no quiero bailar.
[0:29:09.00]-[0:29:12.00]  Por alguna cosa, para hacer una página mala, no quería bailar con él.
[0:29:12.00]-[0:29:15.00]  No bailaba, o al revés, la muchacha contigo.
[0:29:15.00]-[0:29:17.00]  Lo había de decir en mi patria.
[0:29:17.00]-[0:29:18.00]  ¿Allí conocías a su mujer?
[0:29:18.00]-[0:29:21.00]  Ah, es claro, conocí yo aquí, en este pueblo, en este, en este.
[0:29:21.00]-[0:29:23.00]  En los bailes se supone que se conocían más gente.
[0:29:23.00]-[0:29:26.00]  Sí, hombre, todavía había bailes, ¿verdad? Antes de casarnos.
[0:29:26.00]-[0:29:28.00]  Nos casábamos nosotros...
[0:29:28.00]-[0:29:30.00]  ¿En qué años se casaban?
[0:29:30.00]-[0:29:33.00]  Trenta... Trenta y ocho años nos casamos ya.
[0:29:33.00]-[0:29:36.00]  En el del cincuenta y tres.
[0:29:36.00]-[0:29:38.00]  En el cincuenta y ocho se nos casaban.
[0:29:38.00]-[0:29:40.00]  Entonces la conocimiento, que sabía bailes, ¡bah!
[0:29:40.00]-[0:29:42.00]  Aquí había bailes.
[0:29:42.00]-[0:29:45.00]  En la altura había tres o cuatro bailes todavía, pero nunca la hay reír.
[0:29:45.00]-[0:29:47.00]  Pues cuéntennos un poquito la boda.
[0:29:47.00]-[0:29:48.00]  Ah, la boda está...
[0:29:48.00]-[0:29:49.00]  ¿Cómo eran las bodas?
[0:29:49.00]-[0:29:50.00]  Hoy la boda mía.
[0:29:50.00]-[0:29:53.00]  No vamos a alegar a cómo dormíamos una día a la boda, eh.
[0:29:53.00]-[0:29:57.00]  No vamos a... Dice que se cuente la boda...
[0:29:57.00]-[0:29:59.00]  ¿Qué se va a meter ya como... el día como se lloría la boda?
[0:29:59.00]-[0:30:01.00]  No se puede ir, eh.
[0:30:01.00]-[0:30:03.00]  Solo hasta que...
[0:30:03.00]-[0:30:04.00]  Bueno, te vamos a contar...
[0:30:04.00]-[0:30:06.00]  Solo, solo es hasta la consumición del día.
[0:30:06.00]-[0:30:07.00]  Eso.
[0:30:07.00]-[0:30:08.00]  A la boda.
[0:30:08.00]-[0:30:09.00]  La noche ya va a acabar.
[0:30:09.00]-[0:30:10.00]  Ya está, ya está.
[0:30:10.00]-[0:30:12.00]  Bueno, pues la boda vamos a contar de la boda.
[0:30:12.00]-[0:30:13.00]  A ver.
[0:30:13.00]-[0:30:14.00]  Pues nosotros éramos unos pobres.
[0:30:14.00]-[0:30:15.00]  Como yo soy pobre.
[0:30:15.00]-[0:30:16.00]  Un pobre, ¿no es verdad?
[0:30:16.00]-[0:30:18.00]  ¿Tenían algún apodo y cómo lo llamaban a...?
[0:30:18.00]-[0:30:19.00]  ¿A mí?
[0:30:19.00]-[0:30:20.00]  Sí.
[0:30:20.00]-[0:30:22.00]  A mí me llamaban...
[0:30:22.00]-[0:30:23.00]  El apodo mío...
[0:30:23.00]-[0:30:25.00]  Porque a su familia...
[0:30:25.00]-[0:30:27.00]  Era de mi abuelo, tradición de mi abuelo con paz de este.
[0:30:27.00]-[0:30:28.00]  Nosotros...
[0:30:28.00]-[0:30:29.00]  Yo no la conocía a mi abuelo.
[0:30:29.00]-[0:30:30.00]  Pero ellos llamaban...
[0:30:30.00]-[0:30:31.00]  A mi abuelo le llamaban el carabino.
[0:30:31.00]-[0:30:32.00]  Le llamaban el carabino.
[0:30:32.00]-[0:30:34.00]  Y después yo y mi padre que habíamos hecho el pueblo, pues el carabino.
[0:30:34.00]-[0:30:35.00]  Ajá.
[0:30:35.00]-[0:30:37.00]  Y después llegamos los hijos al carabino y seguí.
[0:30:37.00]-[0:30:39.00]  Y luego...
[0:30:39.00]-[0:30:56.00]  Y entonces llevaba a San Pedro al pueblo, los compraban de la mente, porque les compraban
[0:30:56.00]-[0:31:02.00]  en las casas de los sabradores y les hacían para la cocina, les conservaban para el verano
[0:31:02.00]-[0:31:03.00]  para los obreros.
[0:31:03.00]-[0:31:04.00]  Sí, sí.
[0:31:04.00]-[0:31:12.00]  Y como mi abuelo llevaba bastantes chivos, llevaba paredes, y bueno, pues mi abuelo fue
[0:31:12.00]-[0:31:13.00]  chivero.
[0:31:13.00]-[0:31:14.00]  Pues mi padre chivero.
[0:31:14.00]-[0:31:15.00]  Pues dales una falta, hombre.
[0:31:15.00]-[0:31:16.00]  No me visantes mucho.
[0:31:16.00]-[0:31:17.00]  ¿Este no es abuelo de...
[0:31:17.00]-[0:31:18.00]  Bien, tomen una fatiga, verás.
[0:31:18.00]-[0:31:19.00]  No, no, ya que no me fue.
