[0:00:00.00]-[0:00:02.00]  Hola, ¿ves? ¿En verdad?
[0:23:05.00]-[0:23:10.00]  Eso lo que dice la televisión, que mata a la abundante, esa mujer.
[0:23:10.00]-[0:23:14.00]  Y lo digo por la televisión, pero si no, no sabría nada.
[0:23:14.00]-[0:23:15.00]  Claro.
[0:23:15.00]-[0:23:17.00]  ¿Usted qué suele hacer todos los días?
[0:23:17.00]-[0:23:19.00]  ¿Qué suele hacer cada día?
[0:23:19.00]-[0:23:23.00]  Me refiero, ¿se levanta, va al mercado?
[0:23:23.00]-[0:23:27.00]  Pues ahora iba a ir a la camisería, que no ha ido.
[0:23:27.00]-[0:23:38.00]  Pues antes mi vida era criar cerdos, cuando joven, ordeñar vacas, llevar campo.
[0:23:38.00]-[0:23:44.00]  Lo llevaba mi marido al campo y yo llevaba a una con él todo lo que había en el corral.
[0:23:44.00]-[0:23:55.00]  Que igual teníamos de vacas cinco cilis de leche y de lo demás pues todos los novillos y novillas que parían las criábamos.
[0:23:55.00]-[0:23:59.00]  Y me levantaba a las cinco y media de la mañana.
[0:23:59.00]-[0:24:01.00]  Levantaba.
[0:24:01.00]-[0:24:04.00]  Tuvimos que, bueno, las quitaron ya.
[0:24:04.00]-[0:24:13.00]  Ese edificio que se ve ahí, ya sabré, abajo eran vacas y arriba eran gallinas.
[0:24:13.00]-[0:24:18.00]  Y por aquí había por todo, ahora porque las han quitado.
[0:24:18.00]-[0:24:22.00]  Había también para cerdos, para criar.
[0:24:22.00]-[0:24:24.00]  Teníamos muchos cerdos.
[0:24:24.00]-[0:24:26.00]  ¿Usted se pasaba casi todo el día, no?
[0:24:26.00]-[0:24:28.00]  Todo el día en el corral.
[0:24:28.00]-[0:24:31.00]  Y no salían.
[0:24:31.00]-[0:24:33.00]  ¿Y ordeñaban?
[0:24:33.00]-[0:24:37.00]  Ordeñaba con ordeñadora.
[0:24:37.00]-[0:24:41.00]  Que tengo en el hueco la escalera, que se ve como una lechera grande.
[0:24:41.00]-[0:24:51.00]  Esa ya, lo que pasa es que le falta, no sé lo que hicimos con ellas, la tapa con las pezoneras que se metían así en las vacas.
[0:24:51.00]-[0:24:54.00]  Y eso no sé dónde está, si lo quitemos o lo tiremos.
[0:24:54.00]-[0:25:00.00]  Y dejamos ese... y me dan mucho la escalera las hijas.
[0:25:00.00]-[0:25:02.00]  Como decorativo, ¿no?
[0:25:02.00]-[0:25:04.00]  Como decorativo.
[0:25:04.00]-[0:25:10.00]  Lo que pasa es que tenía que estarle hino de leche para saber lo que era.
[0:25:10.00]-[0:25:18.00]  Y todos los días, todos los días y domingos, a llevar la leche a Copeliche.
[0:25:18.00]-[0:25:21.00]  Ahí subido Copeliche se llevaba a Pamplona.
[0:25:21.00]-[0:25:35.00]  Y venía todos los días un camión por la mañana y toda la leche de la noche y de la mañana se recogía y se llevaba en cántaras así de hierro a Copeliche.
[0:25:35.00]-[0:25:41.00]  Venía un camión y ahí se llevaba la leche.
[0:25:41.00]-[0:25:45.00]  ¿Y de eso se encargaba usted sola o todo el pueblo?
[0:25:45.00]-[0:25:50.00]  Pues a veces había mucho, casi todo el pueblo tenía.
[0:25:50.00]-[0:25:55.00]  Unos tenían más, otros tenían menos, según lo que podían.
[0:25:55.00]-[0:25:58.00]  Aquí teníamos muchas.
[0:25:58.00]-[0:26:00.00]  ¿No había una cooperativa o algo así?
[0:26:00.00]-[0:26:02.00]  No tenía copeliche en Pamplona.
[0:26:02.00]-[0:26:04.00]  Ah, bueno, pero no en el pueblo.
[0:26:04.00]-[0:26:05.00]  ¿Eh?
[0:26:05.00]-[0:26:06.00]  No en el pueblo.
[0:26:06.00]-[0:26:13.00]  No, en el pueblo no, había que sacar la leche fuera.
[0:26:13.00]-[0:26:17.00]  Pues la vida del pueblo ha sido así.
[0:26:17.00]-[0:26:20.00]  No me he ido nunca de vacaciones.
[0:26:20.00]-[0:26:26.00]  No porque no me gustaban, prefería.
[0:26:26.00]-[0:26:31.00]  Cuando terminaba el día estaba sentada en una silla que iba aquí para allá.
[0:26:31.00]-[0:26:35.00]  El mejor sitio para mí, sentada.
[0:26:35.00]-[0:26:41.00]  Porque navegaba mucho y si iba de vacaciones, pues lo primero que no me gustaba.
[0:26:41.00]-[0:26:44.00]  No hemos ido nunca.
[0:26:44.00]-[0:26:49.00]  Ahora mis hijas están siempre de vacaciones, la camión.
[0:26:49.00]-[0:26:51.00]  ¿Y vienen a verla?
[0:26:51.00]-[0:27:01.00]  Pues vienen todos los domingos, vienen toda la Semana Santa, vienen todo el verano y Navidad.
[0:27:01.00]-[0:27:07.00]  Y luego los días sueltos de domingos así también vienen.
[0:27:07.00]-[0:27:10.00]  ¿En Navidad lo celebran juntos aquí?
[0:27:10.00]-[0:27:14.00]  Aquí todos, igual nos encontramos 20.
[0:27:14.00]-[0:27:17.00]  Bueno, ¿y qué suelen hacer en Navidad?
[0:27:17.00]-[0:27:26.00]  Lo primero poner buena fuente de langostino, gulas, muchos aperitivos, después que nos falte el carno.
[0:27:26.00]-[0:27:28.00]  ¿Usted cocina?
[0:27:28.00]-[0:27:29.00]  Cocino.
[0:27:29.00]-[0:27:32.00]  ¿Qué suele cocinar, por ejemplo?
[0:27:32.00]-[0:27:39.00]  Pues cocino de todo, paellas, hago, hago menestras también, de todo lo que toca.
[0:27:39.00]-[0:27:47.00]  Pero esos cocineros que salen ahora en televisión no son más que unos puercos de lo que echan a las comidas.
[0:27:47.00]-[0:27:49.00]  Unos puercos.
[0:27:49.00]-[0:27:50.00]  ¿Por qué?
[0:27:50.00]-[0:27:54.00]  Yo no me comía esas comidas, aún no me las regalarán.
[0:27:54.00]-[0:27:59.00]  No, a ellos no les interesa más que el plato se viene adornado.
[0:27:59.00]-[0:28:07.00]  Pero la calidad de las comidas, como antes se cocinaba, y tenemos la costumbre de cocinar igual que antes,
[0:28:07.00]-[0:28:10.00]  que se vayan esos.
[0:28:10.00]-[0:28:14.00]  ¿Y la cocina qué la tiene de gas o...?
[0:28:14.00]-[0:28:16.00]  Tengo una...
[0:28:16.00]-[0:28:19.00]  ¿Y en el otro la otra?
[0:28:19.00]-[0:28:21.00]  ¿Y antiguamente cómo cocinaba?
[0:28:21.00]-[0:28:25.00]  Pues tenía también cocinilla, tenía una de Burtano, grande, maja.
[0:28:25.00]-[0:28:30.00]  Pero veremos, y me la sacaron para allá, ya no la he visto ya.
[0:28:30.00]-[0:28:34.00]  Aún están los cacha-rosas de cuenta sin traer.
[0:28:34.00]-[0:28:39.00]  Renovaron esto.
[0:28:39.00]-[0:28:52.00]  Y hay algún plato típico del cuadro, del ajo, es el ajo arriero, el cordero a chilindrón, el asao...
[0:28:52.00]-[0:28:53.00]  ¿Qué más que sé?
[0:28:53.00]-[0:28:55.00]  Las cabezuelas.
[0:28:55.00]-[0:28:57.00]  ¿No sabéis lo que son las cabezuelas?
[0:28:57.00]-[0:28:58.00]  ¿Cómo se cocina?
[0:28:58.00]-[0:28:59.00]  ¿Cómo se hace?
[0:28:59.00]-[0:29:03.00]  ¿Cómo se hace el plato que está ahí diciendo usted?
[0:29:03.00]-[0:29:04.00]  ¿Qué es la cabezuela?
[0:29:04.00]-[0:29:05.00]  ¿Y una cabezuela?
[0:29:05.00]-[0:29:12.00]  Eso son los intestinos de los corderos, la cabeza de los corderos.
[0:29:12.00]-[0:29:18.00]  El panfil donde comen es... eso se llama cabezuela.
[0:29:18.00]-[0:29:25.00]  Te dan la cabeza, los intestinos, las patas de los corderos, y lo tienes que hacer...
[0:29:25.00]-[0:29:27.00]  pues es grande, una cabezuela grande.
[0:29:27.00]-[0:29:30.00]  Todo de lo interior del cordero.
[0:29:30.00]-[0:29:32.00]  De carne no lleva nada.
[0:29:32.00]-[0:29:36.00]  Pues eso hirviéndolo.
[0:29:36.00]-[0:29:43.00]  Después lo pones como una cabezuela con pimientas, guindilla, cebolla, ajo...
[0:29:43.00]-[0:29:46.00]  eso para que hierva todo con la cabezuela.
[0:29:46.00]-[0:29:55.00]  Después le echás al final un pimiento encarnado desecho.
[0:29:55.00]-[0:30:04.00]  Y cuando está cocida se compone, se echa aceite, se echa un poco de laurel, un poquito de pimenta,
[0:30:04.00]-[0:30:07.00]  esas guindillicas para que pique un poco, todo eso se echa.
[0:30:07.00]-[0:30:10.00]  Pero que si las tenéis que ver cómo se hacen.
[0:30:10.00]-[0:30:15.00]  Aunque las explique no...
[0:30:15.00]-[0:30:16.00]  ¿Y se sigue haciendo?
[0:30:16.00]-[0:30:17.00]  ¿Eh?
[0:30:17.00]-[0:30:18.00]  ¿Se sigue haciendo en el pueblo?
[0:30:18.00]-[0:30:19.00]  ¿Peligrisos?
[0:30:19.00]-[0:30:22.00]  Sí, se hacen.
[0:30:22.00]-[0:30:25.00]  Se hacen también eso de vez en cuando, se hace continuo.
[0:30:25.00]-[0:30:28.00]  Porque es una cosa petecible.
[0:30:28.00]-[0:30:31.00]  Y una vez que comes ya se te va la gana ya de comer.
[0:30:31.00]-[0:30:35.00]  Igual hace tardas un año hacer otra.
[0:30:35.00]-[0:30:38.00]  ¿Los corderos los traían de fuera o los criaban aquí?
[0:30:38.00]-[0:30:43.00]  Había pues de todo, porque había dos carnicerías.
[0:30:43.00]-[0:30:46.00]  Uno tenía... ha ganado mucho.
[0:30:46.00]-[0:30:52.00]  Y otra carnicería los compraba de fuera y vendía aquí la carne.
[0:30:52.00]-[0:30:54.00]  Ahora no hay más que una carnicería.
[0:30:54.00]-[0:31:03.00]  ¿Cómo han cambiado las obligaciones de los niños de antes a ahora?
[0:31:03.00]-[0:31:07.00]  ¿Es más estricta la educación? ¿Menos?
[0:31:07.00]-[0:31:11.00]  Como no hace tiempo que no tengo niños, no sé.
[0:31:11.00]-[0:31:17.00]  Y los nietos cuando vienen aquí pues hacen de todo, que se los estarán bien educados o mal educados.
[0:31:17.00]-[0:31:19.00]  No lo sé.
[0:31:19.00]-[0:31:21.00]  Pero usted cuando joven ¿cómo era?
[0:31:21.00]-[0:31:22.00]  ¿Eh?
[0:31:22.00]-[0:31:23.00]  ¿Usted cuando joven cómo era?
[0:31:23.00]-[0:31:25.00]  Era diferente que ahora ellos.
[0:31:25.00]-[0:31:28.00]  Más joven era.
[0:31:28.00]-[0:31:33.00]  Claro, digo, pero ¿cuáles eran sus preocupaciones?
[0:31:33.00]-[0:31:39.00]  Pues los trabajos que tenía yo aquí, que por eso tenía todas las hijas fuera estudiando.
[0:31:39.00]-[0:31:49.00]  Yo aquí con mi marido les he dado a todos carreras de maestra y de instituto.
[0:31:49.00]-[0:31:51.00]  Nada más.
[0:31:51.00]-[0:32:03.00]  Ya después se han puesto cada una dos en Pamplona, una en Sevilla y otra en La Rioja.
[0:32:03.00]-[0:32:06.00]  Ahí están.
[0:32:06.00]-[0:32:09.00]  Y tengo siete nietos.
[0:32:09.00]-[0:32:10.00]  ¿Siete nietos?
[0:32:10.00]-[0:32:11.00]  Siete.
[0:32:11.00]-[0:32:14.00]  ¿Está bien ya o no?
[0:32:14.00]-[0:32:21.00]  Pues si usted cuando era pequeña ¿cómo se comportaba con sus padres? ¿Hay diferencias?
[0:32:21.00]-[0:32:22.00]  Pues no lo sé.
[0:32:22.00]-[0:32:24.00]  De su educación a la de sus hijas hay diferencias.
[0:32:24.00]-[0:32:25.00]  ¿Eh?
[0:32:25.00]-[0:32:28.00]  De la educación que le dieron a sus padres a la que usted le ha dado a sus hijas hay diferencias.
[0:32:28.00]-[0:32:31.00]  La educación de qué es mejor que la que le he dado ya a mis hijas.
[0:32:31.00]-[0:32:32.00]  ¿Sí?
[0:32:32.00]-[0:32:33.00]  Sí.
[0:32:33.00]-[0:32:35.00]  ¿Por qué?
[0:32:35.00]-[0:32:36.00]  Porque lo sé.
[0:32:36.00]-[0:32:42.00]  Porque yo de cría, no sé si es que era mala o qué, me llevaba muchas palitas.
[0:32:42.00]-[0:32:55.00]  Y si lo de entonces, no sé por malo lo que os digo de corazón, si lo de entonces hubiera sido ahora, hubiera denunciado mucho yo a mi madre.
[0:32:55.00]-[0:32:58.00]  Como ahora se denuncia por perretón a torta.
[0:32:58.00]-[0:33:02.00]  Pero ¿dónde serán palitas?
[0:33:02.00]-[0:33:09.00]  Yo ahora me acuerdo. Si hubiese sido ahora en estos tiempos a lo mejor lo hubiera denunciado.
[0:33:09.00]-[0:33:12.00]  De ahí como ha sido mi infancia.
[0:33:12.00]-[0:33:13.00]  ¿Tenía hermanas o hermanos?
[0:33:13.00]-[0:33:15.00]  Una hermana y un hermano.
[0:33:15.00]-[0:33:16.00]  ¿Y con ellos se llevaba bien?
[0:33:16.00]-[0:33:22.00]  No me trató con mi hermano y ahora años y años y años.
[0:33:22.00]-[0:33:25.00]  Con mi hermana me trató algo.
[0:33:25.00]-[0:33:29.00]  Pero estuve una temporada que con ella no me trataba. Ahora sí.
[0:33:29.00]-[0:33:31.00]  ¿La diferencia era gran o?
[0:33:31.00]-[0:33:37.00]  Pues yo le pasaba a mi hermana cuatro años y a mi hermano ocho.
[0:33:37.00]-[0:33:40.00]  Pero no quiero hablar ya de eso ya.
[0:33:40.00]-[0:33:43.00]  Le quería preguntar también un poco sobre las costumbres.
[0:33:43.00]-[0:33:45.00]  ¿Los domingos van a misa?
[0:33:45.00]-[0:33:47.00]  Todos los domingos íbamos a misa.
[0:33:47.00]-[0:33:53.00]  Todas las funciones que se hacían en donde se emparezca, que ahora no se hace nada.
[0:33:53.00]-[0:33:57.00]  Se hacía el misedere los viernes.
[0:33:57.00]-[0:34:05.00]  Las procesiones, la profesión claro, la profesión va a prosperar aún más.
[0:34:05.00]-[0:34:06.00]  Y todo.
[0:34:06.00]-[0:34:11.00]  Pero ahora la Juárezma antes se abandonó en casa.
[0:34:11.00]-[0:34:13.00]  Todos a la Juárezma.
[0:34:13.00]-[0:34:15.00]  Y ahora se van todos vacaciones a la playa.
[0:34:15.00]-[0:34:17.00]  Ha cambiado eso.
[0:34:17.00]-[0:34:21.00]  ¿La gente joven sigue yendo a misa en sus tiempos?
[0:34:21.00]-[0:34:22.00]  Me parece que no.
[0:34:22.00]-[0:34:24.00]  Ahora no va casi un juventum. No lo sé.
[0:34:24.00]-[0:34:25.00]  ¿Son todos?
[0:34:25.00]-[0:34:31.00]  No los juzgo porque sus intenciones y su manera de pensar no lo sé.
[0:34:31.00]-[0:34:35.00]  Pero si no van y hay obligación, pues no me gusta tampoco que no vayan.
[0:34:35.00]-[0:34:36.00]  Claro.
[0:34:36.00]-[0:34:40.00]  Pero ahora no deben de ir apenas juventud a la iglesia.
[0:34:40.00]-[0:34:42.00]  ¿La iglesia aquí?
[0:34:42.00]-[0:34:45.00]  ¿El cura es de aquí?
[0:34:45.00]-[0:34:46.00]  No.
[0:34:46.00]-[0:34:48.00]  De fuera.
[0:34:48.00]-[0:34:56.00]  Ese de donde, de donde, de Caparrós-Roy.
[0:34:56.00]-[0:35:01.00]  Pero antes el cura que había aquí, ¿sí que era de aquí, del pueblo?
[0:35:01.00]-[0:35:04.00]  No era ninguno, eran todos de fuera.
[0:35:04.00]-[0:35:05.00]  Todos de fuera.
[0:35:05.00]-[0:35:08.00]  Los que venían eran de fuera.
[0:35:08.00]-[0:35:10.00]  ¿Y suelen hacer romerías o...?
[0:35:10.00]-[0:35:13.00]  Sí, ahora buje.
[0:35:13.00]-[0:35:18.00]  Y van también a Javier en romerías.
[0:35:18.00]-[0:35:22.00]  ¿En qué época del año es la iglesia?
[0:35:22.00]-[0:35:28.00]  Pues a buje empezarán ahora, el primer domingo, el último domingo de abril o primero de mayo.
[0:35:28.00]-[0:35:31.00]  Ya empiezan y esto en el mes de mayo de romerías.
[0:35:31.00]-[0:35:35.00]  ¿Y qué suelen hacer?
[0:35:35.00]-[0:35:39.00]  Pues ir andando y subir buenas cuestas las que van andando.
[0:35:39.00]-[0:35:42.00]  Y también ponen coches para el que quiera.
[0:35:42.00]-[0:35:44.00]  Yo siempre he caído ahí en coche.
[0:35:44.00]-[0:35:50.00]  Yo no resistía ese andaje tan largo.
[0:35:50.00]-[0:35:51.00]  ¿Y a dónde iban?
[0:35:51.00]-[0:35:55.00]  A Buje.
[0:35:55.00]-[0:35:59.00]  Y a Javier he ido dos o tres veces, pero también en coche.
[0:35:59.00]-[0:36:04.00]  En cosa de alguna boda, que algunos se casan también allá.
[0:36:04.00]-[0:36:06.00]  Y me tocó alguna boda también allá.
[0:36:06.00]-[0:36:10.00]  Está muy bueno mi hija se caso la mayor allá en Javier.
[0:36:10.00]-[0:36:11.00]  Está muy lajuya.
[0:36:11.00]-[0:36:17.00]  Después ese hermano que te digo también se casó en Javier.
[0:36:17.00]-[0:36:19.00]  ¿Cómo fue su boda?
[0:36:19.00]-[0:36:23.00]  Mi boda.
[0:36:23.00]-[0:36:26.00]  Pues aquellos tiempos fue normal.
[0:36:26.00]-[0:36:29.00]  Lo que pasa es que en donde no se veía ninguna de blanco.
[0:36:29.00]-[0:36:31.00]  No iba nadie de blanco.
[0:36:31.00]-[0:36:36.00]  Lo único que se hacían vestidos negros para la boda, pero blanco no.
[0:36:36.00]-[0:36:38.00]  ¿Y usted se casa de negro?
[0:36:38.00]-[0:36:40.00]  Yo me casé de negro.
[0:36:40.00]-[0:36:44.00]  ¿Hace mucho se casó?
[0:36:44.00]-[0:36:49.00]  Pues he perdido la cuenta.
[0:36:49.00]-[0:36:57.00]  Tenía 22 o 23 años y ahora tengo 81, aunque fíjate lo que hacen.
[0:36:57.00]-[0:36:59.00]  Hasta donde se.
[0:36:59.00]-[0:37:01.00]  ¿Y cómo fue su boda?
[0:37:01.00]-[0:37:03.00]  ¿Fue su familia?
[0:37:03.00]-[0:37:06.00]  Fueron las dos familias, fueron las dos.
[0:37:06.00]-[0:37:11.00]  Se hacían comidas, pero se hacían en casa.
[0:37:11.00]-[0:37:19.00]  Pero ahora como se va todo el mundo fuera.
[0:37:19.00]-[0:37:21.00]  ¿Con qué nada?
[0:37:21.00]-[0:37:27.00]  La tormenta les venía mal para los cultivos, temían el tiempo.
[0:37:27.00]-[0:37:29.00]  ¿Cuántas veces se ha perdido?
[0:37:29.00]-[0:37:31.00]  Cada piedra así de gorda.
[0:37:31.00]-[0:37:37.00]  Y te quedabas sin nadar.
[0:37:37.00]-[0:37:44.00]  O sea que temían ustedes el mal tiempo.
[0:37:44.00]-[0:37:50.00]  Por regla general solían ser todas las tormentas en el verano,
[0:37:50.00]-[0:37:54.00]  cuando estaba la cosecha a punto de coger.
[0:37:54.00]-[0:37:56.00]  Eran las tormentas.
[0:37:56.00]-[0:37:59.00]  Y buenas tormentas.
[0:37:59.00]-[0:38:01.00]  ¿El clima ha cambiado por aquí?
[0:38:01.00]-[0:38:04.00]  ¿Usted cuando era joven ahora?
[0:38:04.00]-[0:38:06.00]  Pues no sé, si ha cambiado.
[0:38:06.00]-[0:38:10.00]  Antes hacía muchísima calor en el verano.
[0:38:10.00]-[0:38:12.00]  Muchísima calor.
[0:38:12.00]-[0:38:16.00]  Y en el invierno, pues mucho frío.
[0:38:16.00]-[0:38:25.00]  De hielos que solían salir los chupadores de hielo por las fachadas de los hielos que caían.
[0:38:25.00]-[0:38:29.00]  Me parece que el tiempo está más revuelto.
[0:38:29.00]-[0:38:36.00]  Me parece que el clima se va descompensando.
[0:38:36.00]-[0:38:41.00]  ¿Y lo que cosechaban que era para consumo propio, lo vendían?
[0:38:41.00]-[0:38:49.00]  Pues sí, el trigo, pues había un granero nacional y se llevaba allá el trigo.
[0:38:49.00]-[0:38:55.00]  Pero ya cuando el trigo ya se empezó, que se sembró pienso,
[0:38:55.00]-[0:39:01.00]  pues nosotros todo lo que cogíamos lo gastábamos en casa.
[0:39:01.00]-[0:39:07.00]  Para todos los animales lo gastábamos en casa.
[0:39:07.00]-[0:39:09.00]  ¿Solo para los animales?
[0:39:09.00]-[0:39:13.00]  Solo para los animales, no para las personas, no.
[0:39:13.00]-[0:39:15.00]  Entonces mucha cebada.
[0:39:15.00]-[0:39:20.00]  Abena, no tanta, pero cebada, todo, todo, todo.
[0:39:20.00]-[0:39:23.00]  Cambió el trigo todo por cebada.
[0:39:23.00]-[0:39:30.00]  Y claro, como se pusieron tantos animales en el pueblo, pues la cebada y eso ya no se llevaba.
[0:39:30.00]-[0:39:37.00]  Había quien cogía poco, tenía poco y tenía que estar todo el año o medio año comprando para los animales.
[0:39:37.00]-[0:39:42.00]  Pero aquí teníamos, poníamos un granero que salía,
[0:39:42.00]-[0:39:47.00]  lo poníamos resaltito de cebada.
[0:39:47.00]-[0:39:50.00]  Bueno, ¿qué? ¿Va a estar ya o no?
[0:39:50.00]-[0:39:56.00]  Una preguntita más sobre cómo eran los embarazos y los partos.
[0:39:56.00]-[0:40:00.00]  Pues antes no se iba nadie a Pamplona.
[0:40:00.00]-[0:40:07.00]  Y se visitaba tanto con los médicos como ahora todos los meses.
[0:40:07.00]-[0:40:12.00]  Davamos toda salud aquí en el pueblo.
[0:40:12.00]-[0:40:15.00]  Más solo eso ahora ya lo tienen más fácil.
[0:40:15.00]-[0:40:18.00]  Pero por regla general todo es en el pueblo.
[0:40:18.00]-[0:40:20.00]  ¿El médico venía a la casa o...?
[0:40:20.00]-[0:40:25.00]  Había dos comadronas que venían a casa.
[0:40:25.00]-[0:40:31.00]  ¿Y cómo llaman al cordón umbilical aquí?
[0:40:31.00]-[0:40:36.00]  Pues cordón umbilical, claro.
[0:40:36.00]-[0:40:40.00]  ¿Ya tenéis bastante tema o no?
[0:40:40.00]-[0:40:43.00]  Aún falta algo para que me tengo que ir yo.
[0:40:43.00]-[0:40:47.00]  Me dejo mi maillot ahí en la mesa.
[0:40:47.00]-[0:40:50.00]  Lo tengo con alfeiner.
[0:40:50.00]-[0:40:52.00]  Pobre.
[0:40:52.00]-[0:40:54.00]  Y hasta ahora lo llevo yo, mi sierra.
[0:40:54.00]-[0:40:56.00]  ¿Y qué es eso?
[0:40:56.00]-[0:40:58.00]  ¿Qué es eso?
[0:40:58.00]-[0:41:00.00]  ¿Qué es eso?
[0:41:00.00]-[0:41:02.00]  ¿Qué es eso?
[0:41:02.00]-[0:41:04.00]  ¿Qué es eso?
[0:41:04.00]-[0:41:07.00]  Y hasta ahora lo llevo yo, mis hijas vienen.
[0:41:07.00]-[0:41:15.00]  Y ahora hemos solicitado la seguridad social que vengan a ayudarme a bañarlo por la mañana.
[0:41:15.00]-[0:41:17.00]  ¿Les van a poner ayuda o...?
[0:41:17.00]-[0:41:19.00]  ¿Les van a poner ayuda o...?
[0:41:19.00]-[0:41:21.00]  ¿Ayuda de qué?
[0:41:21.00]-[0:41:25.00]  Me estaba diciendo que han pedido ayuda a la seguridad social.
[0:41:25.00]-[0:41:26.00]  Sí, sí.
[0:41:26.00]-[0:41:29.00]  Pero a todos esos que son...
[0:41:29.00]-[0:41:31.00]  ¿Cómo se dice esto?
[0:41:31.00]-[0:41:36.00]  Dependientes, pues han puesto ayuda.
[0:41:36.00]-[0:41:39.00]  Y claro, pues igual está un...
[0:41:39.00]-[0:41:45.00]  Bueno, ayuda tenía acá el pedido, quiero decir, de la seguridad social hace años.
[0:41:45.00]-[0:41:48.00]  Pero me lo iba haciendo yo todo.
[0:41:48.00]-[0:41:51.00]  Lo bañaba, lo levantaba. Hoy también la he bañado.
[0:41:51.00]-[0:41:54.00]  Porque la seguridad social no viene.
[0:41:54.00]-[0:41:56.00]  ¿Cada cuánto tiempo viene la chica?
[0:41:56.00]-[0:42:00.00]  Pues hay veces que no sé, a mí no sé los días que me han puesto.
[0:42:00.00]-[0:42:08.00]  Pero ponen o dos días o cinco días a la semana.
[0:42:08.00]-[0:42:15.00]  O sea que usted tiene que hacer todo durante el día, atiende a su marido, va a la compra, va a hacer la comida...
[0:42:15.00]-[0:42:18.00]  Pues sí, todo, todo, todo. Ahora lo dejaré y iré.
[0:42:18.00]-[0:42:20.00]  ¿Limpiado?
[0:42:20.00]-[0:42:22.00]  Pues sí, todo.
[0:42:22.00]-[0:42:23.00]  Muy bien.
[0:42:23.00]-[0:42:28.00]  ¿Y antes la televisión hace cuánto que la tienen en el pueblo?
[0:42:28.00]-[0:42:31.00]  Madre mía, ni sé los años, muchos.
[0:42:31.00]-[0:42:33.00]  Cuando usted era pequeña no tenía televisión.
[0:42:33.00]-[0:42:35.00]  Ni a radio tampoco.
[0:42:41.00]-[0:42:43.00]  ¿A no ver las sonrías?
[0:42:43.00]-[0:42:47.00]  Bueno, pues que está.
[0:42:47.00]-[0:42:48.00]  Muchas gracias.
[0:42:48.00]-[0:42:50.00]  Muchísimas gracias.
[0:42:50.00]-[0:42:53.00]  Heis a su partido diario.
[0:42:53.00]-[0:42:55.00]  Sí, sí, muchísimas gracias.
[0:42:55.00]-[0:42:58.00]  Muchas gracias.
[0:43:04.00]-[0:43:06.00]  ¿Qué? ¿Quiere hacer una pregunta?
[0:43:06.00]-[0:43:08.00]  No, no.
[0:43:08.00]-[0:43:10.00]  Estamos.
[0:43:10.00]-[0:43:12.00]  Gracias.
[0:43:17.00]-[0:43:21.00]  Bueno, me ha venido bien ese descanso.
[0:43:21.00]-[0:43:26.00]  ¿Qué es eso?
[0:43:26.00]-[0:43:32.00]  Soy diarrea de hipopá, me pincho tres veces y me ha afectado a todo.
[0:43:32.00]-[0:43:38.00]  Y ahora me ha afectado los pies, que me han muerto los nerviosos los pies y tengo que andar muerta.
[0:43:38.00]-[0:43:40.00]  Claro, claro.
[0:43:40.00]-[0:43:43.00]  Mira, aquí tenía...
[0:43:43.00]-[0:43:58.00]  Ahí tenía las vacas, abajo, abajo y arriba las gallinas.
[0:43:58.00]-[0:44:03.00]  Y todo esto lo tenía también de coleceras, de...
[0:44:03.00]-[0:44:06.00]  ¿Esto qué era? ¿Todo tierra? ¿Eh? ¿Todo tierra era?
[0:44:06.00]-[0:44:08.00]  Esto sí, todo tierra.
[0:44:08.00]-[0:44:11.00]  ¿Y tenía techo? ¿Ah? ¿Eh? ¿Lo qué es techo?
[0:44:11.00]-[0:44:13.00]  ¿Lo qué aquello? ¿Esto, esto?
[0:44:13.00]-[0:44:17.00]  No, esto era así abierto.
[0:44:17.00]-[0:44:19.00]  Bueno, pues ahora lo haces muy bonito.
[0:44:19.00]-[0:44:20.00]  ¿Eh?
[0:44:20.00]-[0:44:27.00]  Que ahora lo tienes muy bonito, ¿no? Con la barbacoa, la mesita y ahí ya no tiene nada entonces, ¿no?
[0:44:27.00]-[0:44:32.00]  No, aquí ya hemos ahora fritado todas las conejeras y potrir así todo.
[0:44:32.00]-[0:44:34.00]  Ahí no, ahí está como ya.
[0:44:34.00]-[0:44:37.00]  Claro, y allí tampoco tienes un brownada.
[0:44:37.00]-[0:44:44.00]  No, mira como esa de hierba. Eso ha sido huerto. Lo tienen que limpiar. ¿Cuándo? No lo sé.
[0:44:44.00]-[0:44:45.00]  A limpiar.
[0:44:45.00]-[0:44:49.00]  O sea, eso ya lo tiene directamente vacío, ¿no? Ya sin animales.
[0:44:49.00]-[0:44:54.00]  Ahora sin animales, ahora con pitostes.
[0:44:54.00]-[0:44:55.00]  Pues nada.
[0:44:55.00]-[0:44:58.00]  Nada.
[0:44:58.00]-[0:45:01.00]  Me voy a ir ahora yo a la pared.
[0:45:01.00]-[0:45:08.00]  Ay, si no me acordaba de la comida como cenela, que no.
[0:45:08.00]-[0:45:14.00]  Ya no me acordaba.
[0:45:14.00]-[0:45:16.00]  Bueno, ya está.
[0:45:16.00]-[0:45:20.00]  Bueno, he hecho lo que tiene que hacer.
[0:45:20.00]-[0:45:23.00]  A ver si se ve bien.
[0:45:23.00]-[0:45:25.00]  Yo creo que es muy bonito.
[0:45:25.00]-[0:45:28.00]  Yo creo que ahí no me lo dejo para nada.
[0:45:28.00]-[0:45:31.00]  45 como mínimo.
