[0:00:00.00]-[0:00:02.00]  Una miaja, ¿no?
[0:13:54.00]-[0:13:56.00]  Eso era un día de boda.
[0:13:56.00]-[0:13:58.00]  Era como una fiesta, ¿no?
[0:13:58.00]-[0:14:00.00]  Sí, sí, ya lo veo.
[0:14:00.00]-[0:14:02.00]  ¿Tantos?
[0:14:02.00]-[0:14:04.00]  Y pues no con toda la familia, con toda la...
[0:14:04.00]-[0:14:06.00]  Pero con primos y...
[0:14:06.00]-[0:14:08.00]  Primo, claro, y tío y...
[0:14:08.00]-[0:14:10.00]  ¿Y amigos?
[0:14:10.00]-[0:14:12.00]  Sí, sí, amigos.
[0:14:12.00]-[0:14:14.00]  ¿Y cuándo se mataba aquí?
[0:14:14.00]-[0:14:16.00]  Pues se mataba en el enfrú...
[0:14:16.00]-[0:14:18.00]  en el enfrúbre.
[0:14:18.00]-[0:14:20.00]  En el enfrúbre.
[0:14:20.00]-[0:14:22.00]  Cuando empezaba, cuando hacía frío.
[0:14:22.00]-[0:14:24.00]  Se mataba aquí.
[0:14:24.00]-[0:14:26.00]  ¿Cuándo está aquí?
[0:14:26.00]-[0:14:28.00]  En el campo,
[0:14:28.00]-[0:14:30.00]  cuando llegaba la ciega,
[0:14:30.00]-[0:14:32.00]  ¿eh?
[0:14:32.00]-[0:14:34.00]  Pero acá el trigo la hace va,
[0:14:34.00]-[0:14:36.00]  la vena y todo eso, por lados.
[0:14:36.00]-[0:14:38.00]  ¿Con qué?
[0:14:38.00]-[0:14:40.00]  Con uno, cegando.
[0:14:40.00]-[0:14:42.00]  Algunos años me tiraba yo tres meses
[0:14:42.00]-[0:14:44.00]  en Técnico, cegando, a poco a poco, hoy.
[0:14:44.00]-[0:14:46.00]  No te creas que era un día.
[0:14:46.00]-[0:14:48.00]  Hasta esa era el campo cartogéneo
[0:14:48.00]-[0:14:50.00]  en el que miraba el jaén.
[0:14:50.00]-[0:14:52.00]  Mira, pues.
[0:14:52.00]-[0:14:54.00]  Mira, si eso es.
[0:14:54.00]-[0:14:56.00]  Las camisas que llevábamos, cegando,
[0:14:56.00]-[0:14:58.00]  así,
[0:14:58.00]-[0:15:00.00]  se quedaban igual que las capas de los toreros.
[0:15:02.00]-[0:15:04.00]  Y esas tres de las que dos que habíamos sudado.
[0:15:04.00]-[0:15:06.00]  Mira, va.
[0:15:06.00]-[0:15:08.00]  ¿Qué onda que van a salir de la carne?
[0:15:08.00]-[0:15:10.00]  ¿La te he tocado que te van a dar?
[0:15:10.00]-[0:15:12.00]  Mira, mira, voy a decir.
[0:15:12.00]-[0:15:14.00]  ¿Eh?
[0:15:14.00]-[0:15:16.00]  Mira si era gordo, eso no era gordo.
[0:15:16.00]-[0:15:18.00]  Ah, ah.
[0:15:18.00]-[0:15:20.00]  De puro sudar, ¿no? Sí, de noche, de día,
[0:15:20.00]-[0:15:22.00]  cuando llegaba la trilla, a trillarlo,
[0:15:22.00]-[0:15:24.00]  con trillos, en la era,
[0:15:24.00]-[0:15:26.00]  las bestias,
[0:15:26.00]-[0:15:28.00]  a la noche, que pedía que metas la paja arriba
[0:15:28.00]-[0:15:30.00]  para las bestias,
[0:15:30.00]-[0:15:32.00]  para el invierno.
[0:15:32.00]-[0:15:34.00]  ¿Por ejemplo, con la puerta aquella?
[0:15:34.00]-[0:15:36.00]  Montón, montón, vea.
[0:15:36.00]-[0:15:38.00]  Cuéntanos cómo era la trilla.
[0:15:38.00]-[0:15:40.00]  La trilla, eso, se introducía
[0:15:40.00]-[0:15:42.00]  los cementeros a la era,
[0:15:42.00]-[0:15:44.00]  de nazas que vienen que se hacían,
[0:15:44.00]-[0:15:46.00]  con el carro,
[0:15:46.00]-[0:15:48.00]  y entonces con un trillo, las bestias dando vueltas,
[0:15:48.00]-[0:15:50.00]  dando vueltas, pues era la trilla.
[0:15:50.00]-[0:15:52.00]  ¿Cuánto era un trillo?
[0:15:52.00]-[0:15:54.00]  Cuadrado, largo.
[0:15:54.00]-[0:15:56.00]  Tiene un metro por
[0:15:56.00]-[0:15:58.00]  por 80 de ancho.
[0:15:58.00]-[0:16:00.00]  Te habían cantado las
[0:16:00.00]-[0:16:02.00]  festas, las festas, dando vueltas, dando vueltas,
[0:16:02.00]-[0:16:04.00]  un montón de trillos.
[0:16:04.00]-[0:16:06.00]  ¿Pero tenía ruedas el trillo?
[0:16:06.00]-[0:16:08.00]  Sí, sí, tenía rulos, sí, claro.
[0:16:08.00]-[0:16:10.00]  Aquello iba rompiendo la...
[0:16:10.00]-[0:16:12.00]  rompiendo para hacer la
[0:16:12.00]-[0:16:14.00]  la paja y se cae, claro.
[0:16:14.00]-[0:16:16.00]  ¿Y los rulos llevaban...?
[0:16:16.00]-[0:16:18.00]  Cilindros, se decían.
[0:16:18.00]-[0:16:20.00]  Ah, cilindros.
[0:16:20.00]-[0:16:22.00]  ¿Y llevaban algo para romper?
[0:16:22.00]-[0:16:24.00]  Claro, hierros.
[0:16:24.00]-[0:16:26.00]  Aquí iban clavando, clavando,
[0:16:26.00]-[0:16:28.00]  y iban rompiendo la paja.
[0:16:28.00]-[0:16:30.00]  La paja, para hacer la paja pequeña
[0:16:30.00]-[0:16:32.00]  para las bestias.
[0:16:32.00]-[0:16:34.00]  ¿Y luego para separar la paja...?
[0:16:34.00]-[0:16:36.00]  Se tiraba para arriba,
[0:16:36.00]-[0:16:38.00]  la paja hacía para allá y llegaba
[0:16:38.00]-[0:16:40.00]  el viento.
[0:16:40.00]-[0:16:42.00]  El viento, pero viento hay poco aquí, ¿no?
[0:16:42.00]-[0:16:44.00]  Sí, sí, sí, hay, sí.
[0:16:44.00]-[0:16:46.00]  Había suficiente para...
[0:16:46.00]-[0:16:48.00]  para que algún día no hacía y no podía aventar,
[0:16:48.00]-[0:16:50.00]  no podía sacar el grano.
[0:16:50.00]-[0:16:52.00]  Había que esperar, ¿no?
[0:16:52.00]-[0:16:54.00]  Había que esperar otro día.
[0:16:54.00]-[0:16:56.00]  ¿Y a qué hora se hacía eso?
[0:16:56.00]-[0:16:58.00]  Eso hasta ahora va a ser.
[0:16:58.00]-[0:17:00.00]  Hasta ahora se hacía para la gente aventando,
[0:17:00.00]-[0:17:02.00]  tirando eso para arriba,
[0:17:02.00]-[0:17:04.00]  para que la paja se fuera y el grano pasaba.
[0:17:04.00]-[0:17:06.00]  ¿Para acá y para allá, porque hacían algo...?
[0:17:06.00]-[0:17:08.00]  Claro, claro, o sea que la paja salía de aquí y para allá
[0:17:08.00]-[0:17:10.00]  y el grano venía aquí.
[0:17:10.00]-[0:17:12.00]  El grano pesaba,
[0:17:12.00]-[0:17:14.00]  el grano se quedaba para acá,
[0:17:14.00]-[0:17:16.00]  el viento se la llevaba vos.
[0:17:16.00]-[0:17:18.00]  Ajá.
[0:17:18.00]-[0:17:20.00]  ¿Y ya la paja la recogía...?
[0:17:20.00]-[0:17:22.00]  Hombre, se lo cuidaban para las festas,
[0:17:22.00]-[0:17:24.00]  para todos los años.
[0:17:24.00]-[0:17:26.00]  ¿Y qué hacían, la juntaban, no la paja o...?
[0:17:26.00]-[0:17:28.00]  Sí, la juntaban, y en las habitaciones grandes
[0:17:28.00]-[0:17:30.00]  que teníamos, pues ahí la metíamos para tres pajas
[0:17:30.00]-[0:17:32.00]  para todos los años.
[0:17:32.00]-[0:17:34.00]  ¿Y cómo se llamaban esas habitaciones?
[0:17:34.00]-[0:17:36.00]  Los pajar, se le decían esas habitaciones.
[0:17:36.00]-[0:17:38.00]  Y el grano
[0:17:38.00]-[0:17:40.00]  por otra parte, ¿no?
[0:17:40.00]-[0:17:42.00]  El grano por otra parte, sí.
[0:17:42.00]-[0:17:44.00]  ¿Dónde lo metían?
[0:17:44.00]-[0:17:46.00]  Pues se subía arriba,
[0:17:46.00]-[0:17:48.00]  decíamos cámaras,
[0:17:48.00]-[0:17:50.00]  y donde se echaba se decían trojés,
[0:17:50.00]-[0:17:52.00]  el grano.
[0:17:52.00]-[0:17:54.00]  Todo el grano de...
[0:17:54.00]-[0:17:56.00]  Todo el grano que tenía, claro.
[0:17:58.00]-[0:18:00.00]  Y allá ya se comía,
[0:18:00.00]-[0:18:02.00]  se vendía alguno para
[0:18:02.00]-[0:18:04.00]  tener algún dinero, y así.
[0:18:06.00]-[0:18:08.00]  Y el resto se molía, ¿no?
[0:18:08.00]-[0:18:10.00]  Sí, se molía el molino para hacer pan.
[0:18:10.00]-[0:18:12.00]  ¿El molino estaba por aquí, por dentro?
[0:18:12.00]-[0:18:14.00]  Sí, ahí tenemos uno, ahí abajo.
[0:18:14.00]-[0:18:16.00]  ¿Y qué clase de molino es?
[0:18:16.00]-[0:18:18.00]  Pues molino, para mover el trigo.
[0:18:18.00]-[0:18:20.00]  ¿Pero va con agua?
[0:18:20.00]-[0:18:22.00]  No, esta andaba con motor grande.
[0:18:22.00]-[0:18:24.00]  Ah, ya era de motor.
[0:18:24.00]-[0:18:26.00]  Sí, era de motor grande.
[0:18:26.00]-[0:18:28.00]  Es que le daba a las piedras,
[0:18:28.00]-[0:18:30.00]  que se tiraban así para sacar la harina que se hiciera.
[0:18:32.00]-[0:18:34.00]  Y cuando usted era pequeño, ¿no era de motor?
[0:18:34.00]-[0:18:36.00]  Sí, sí, aquí
[0:18:36.00]-[0:18:38.00]  fue motor siempre.
[0:18:38.00]-[0:18:40.00]  Había otros sitios,
[0:18:40.00]-[0:18:42.00]  dos sitios en Coy,
[0:18:42.00]-[0:18:44.00]  y ahí naceramos, que era de agua.
[0:18:44.00]-[0:18:46.00]  El agua que pasaba a las armadas,
[0:18:46.00]-[0:18:48.00]  aquella, para moler.
[0:18:48.00]-[0:18:50.00]  Por aquí no, aquí fue de motor.
[0:18:50.00]-[0:18:52.00]  Porque aquí agua no hay mucha, ¿no?
[0:18:52.00]-[0:18:54.00]  No, aquí agua no pasa, no había.
[0:18:56.00]-[0:19:00.00]  ¿Y al molinero cómo le pagaban?
[0:19:00.00]-[0:19:02.00]  Pues aquí hay uno que fue molinero.
[0:19:02.00]-[0:19:04.00]  Ah, ¿y cómo le pagaban?
[0:19:04.00]-[0:19:06.00]  Agua inque peseta,
[0:19:06.00]-[0:19:08.00]  de las antiguas.
[0:19:08.00]-[0:19:10.00]  Y a ver...
[0:19:10.00]-[0:19:12.00]  ¿Te está diciendo cómo le pagaban a los molineros?
[0:19:12.00]-[0:19:14.00]  Pues ya se lo está diciendo.
[0:19:14.00]-[0:19:16.00]  Que ganaba 20 pesetas arriba.
[0:19:16.00]-[0:19:18.00]  ¿20 pesetas arriba?
[0:19:18.00]-[0:19:20.00]  ¿Te está diciendo usted?
[0:19:20.00]-[0:19:22.00]  ¿Una maquila cómo era?
[0:19:22.00]-[0:19:24.00]  Ah, la maquila 3 kilos.
[0:19:24.00]-[0:19:26.00]  Estaba de...
[0:19:26.00]-[0:19:28.00]  llevaba, llevaba operación
[0:19:28.00]-[0:19:30.00]  40 kilos, se quitaban 3.
[0:19:30.00]-[0:19:32.00]  3 kilos.
[0:19:32.00]-[0:19:34.00]  ¿Y por qué?
[0:19:34.00]-[0:19:36.00]  El molinero, el molinero como yo viví.
[0:19:36.00]-[0:19:38.00]  Claro.
[0:19:38.00]-[0:19:40.00]  Si iban a moler sin nanos, no pasaba.
[0:19:40.00]-[0:19:42.00]  Y de 40 kilos se quitaban 3.
[0:19:42.00]-[0:19:44.00]  El molinero, pues ya.
[0:19:44.00]-[0:19:46.00]  Ya no tenía peseta,
[0:19:46.00]-[0:19:48.00]  se quitaban de los carros.
[0:19:48.00]-[0:19:50.00]  Pues ya viendo un molinero delante,
[0:19:50.00]-[0:19:52.00]  no le pregunto si hacían trampas o no,
[0:19:52.00]-[0:19:54.00]  porque en otros pueblos nos han dicho
[0:19:54.00]-[0:19:56.00]  que los molineros a veces se quedan...
[0:19:56.00]-[0:19:58.00]  Que grasa es.
[0:19:58.00]-[0:20:00.00]  Ya lo que veis.
[0:20:00.00]-[0:20:02.00]  Qué hombre.
[0:20:02.00]-[0:20:04.00]  El primero que le echaba 3 litros de agua,
[0:20:04.00]-[0:20:06.00]  eran 3 kilos que quitaba.
[0:20:06.00]-[0:20:08.00]  Eso es moliéndolo.
[0:20:08.00]-[0:20:10.00]  Ajá.
[0:20:10.00]-[0:20:12.00]  Si hacían trampas,
[0:20:12.00]-[0:20:14.00]  claro, creo.
[0:20:14.00]-[0:20:16.00]  Todo tiene una trampa en este mundo.
[0:20:16.00]-[0:20:18.00]  Y a veces,
[0:20:18.00]-[0:20:20.00]  a veces venían también
[0:20:20.00]-[0:20:22.00]  los guardias o de Hacienda
[0:20:22.00]-[0:20:24.00]  a llevarse sacas o no, eso...
[0:20:24.00]-[0:20:26.00]  Sí, eso es la fiscalía.
[0:20:26.00]-[0:20:28.00]  La fiscalía, la fiscalía.
[0:20:28.00]-[0:20:30.00]  ¿Cómo era lo de la... Cuéntenos.
[0:20:30.00]-[0:20:32.00]  Cuéntanos, pues yo te contaré,
[0:20:32.00]-[0:20:34.00]  porque yo lo he pasado.
[0:20:34.00]-[0:20:36.00]  Yo me acuerdo una vez
[0:20:36.00]-[0:20:38.00]  que vino una fiscalía,
[0:20:38.00]-[0:20:40.00]  y mis padres,
[0:20:40.00]-[0:20:42.00]  tenemos una meja abierta y bajo, se fueron allí.
[0:20:42.00]-[0:20:44.00]  Y me mandaron a mí que tenía 17 años.
[0:20:46.00]-[0:20:48.00]  Y en la fiscalía dice usted,
[0:20:48.00]-[0:20:50.00]  a usted, a tú,
[0:20:50.00]-[0:20:52.00]  es que usted es más pillo que los natones colombianos.
[0:20:52.00]-[0:20:54.00]  Y me dijo,
[0:20:54.00]-[0:20:56.00]  el de la fiscalía.
[0:20:56.00]-[0:20:58.00]  Claro, que estaban pisando,
[0:20:58.00]-[0:21:00.00]  encima estaban pisando,
[0:21:00.00]-[0:21:02.00]  mejor había
[0:21:02.00]-[0:21:04.00]  3.000 kilos de trigo.
[0:21:04.00]-[0:21:06.00]  Y estaban pisando encima.
[0:21:06.00]-[0:21:08.00]  Estaban tapados con paja.
[0:21:08.00]-[0:21:10.00]  ¿Y no lo mataron?
[0:21:10.00]-[0:21:12.00]  No, igual ahora, ¿eh?
[0:21:12.00]-[0:21:14.00]  Estaba todo a fondo.
[0:21:14.00]-[0:21:16.00]  Y acá no venía un puñado de paja,
[0:21:16.00]-[0:21:18.00]  y yo me digo, mira,
[0:21:18.00]-[0:21:20.00]  ha habido rollo este año y no ha habido nada.
[0:21:20.00]-[0:21:22.00]  Incluso iba a recuervar con ellos.
[0:21:22.00]-[0:21:24.00]  ¿Cuántos años te llevas de ahí?
[0:21:24.00]-[0:21:26.00]  Yo me llevo 7 años.
[0:21:26.00]-[0:21:28.00]  Y antes que se te defiende el pie, sí.
[0:21:28.00]-[0:21:30.00]  El pío.
[0:21:30.00]-[0:21:32.00]  Ya no creo.
[0:21:32.00]-[0:21:34.00]  ¿Y la rolla era la enfermedad de...?
[0:21:34.00]-[0:21:36.00]  Sí, solo entraba la enfermedad
[0:21:36.00]-[0:21:38.00]  al cementero.
[0:21:38.00]-[0:21:40.00]  Año,
[0:21:40.00]-[0:21:42.00]  otros no.
[0:21:42.00]-[0:21:44.00]  Yo hace años parecía bajar un bala.
[0:21:44.00]-[0:21:46.00]  Yo esto no había nada.
[0:21:46.00]-[0:21:48.00]  Y aquí ya estaban pisando más
[0:21:48.00]-[0:21:50.00]  3.000 kilos de trigo en la paja.
[0:21:50.00]-[0:21:52.00]  ¿Y cuántos llevaban los de la fiscalía
[0:21:52.00]-[0:21:54.00]  cuando venían?
[0:21:54.00]-[0:21:56.00]  Si no pillaban nada, nada.
[0:21:56.00]-[0:21:58.00]  Pero si te casabas con alguna de esas,
[0:21:58.00]-[0:22:00.00]  pues por mejor.
[0:22:00.00]-[0:22:02.00]  ¿Y ellos no se llevaban a qué dinero?
[0:22:02.00]-[0:22:04.00]  ¿Una denuncia?
[0:22:04.00]-[0:22:06.00]  Denunciaban.
[0:22:06.00]-[0:22:08.00]  Si pillaban algo, que no...
[0:22:08.00]-[0:22:10.00]  Una denuncia.
[0:22:10.00]-[0:22:12.00]  Ustedes los engañaban, ¿no?
[0:22:12.00]-[0:22:14.00]  ¿Eh?
[0:22:14.00]-[0:22:16.00]  ¿Cómo? ¿Me probaba? Me engañaba, claro.
[0:22:16.00]-[0:22:18.00]  No les voy a decir la verdad.
[0:22:18.00]-[0:22:20.00]  Si venía nada, pues por todo.
[0:22:20.00]-[0:22:22.00]  Por lo que era de ustedes.
[0:22:22.00]-[0:22:24.00]  Claro.
[0:22:24.00]-[0:22:26.00]  Cuénteme, la rolla esa que le entraba
[0:22:26.00]-[0:22:28.00]  a los cementeros, ¿cómo se veía?
[0:22:28.00]-[0:22:30.00]  ¿O qué pinta tenía?
[0:22:30.00]-[0:22:32.00]  Pinta colorada.
[0:22:32.00]-[0:22:34.00]  Tenía un polvico,
[0:22:34.00]-[0:22:36.00]  la caña colorada.
[0:22:36.00]-[0:22:38.00]  Y eso es la rolla.
[0:22:38.00]-[0:22:40.00]  ¿Y qué les hacía?
[0:22:40.00]-[0:22:42.00]  La rolla les hacía porque no granara bien el grano.
[0:22:42.00]-[0:22:44.00]  Se lavaba que no valía,
[0:22:44.00]-[0:22:46.00]  y todo eso.
[0:22:46.00]-[0:22:48.00]  Que lavaban más que en paja, que no había grano.
[0:22:48.00]-[0:22:50.00]  No había grano ninguno.
[0:22:50.00]-[0:22:52.00]  Y qué otras enfermedades había...
[0:22:52.00]-[0:22:54.00]  En los cementeros no había otra.
[0:22:54.00]-[0:22:56.00]  ¿Y en las cepas?
[0:22:56.00]-[0:22:58.00]  ¿Eh?
[0:22:58.00]-[0:23:00.00]  Las cepas...
[0:23:00.00]-[0:23:02.00]  Entonces no había tantas plagas como ahora.
[0:23:02.00]-[0:23:04.00]  Ahora se pierden las cepas,
[0:23:04.00]-[0:23:06.00]  le dicen la yesca,
[0:23:06.00]-[0:23:08.00]  a eso que le dicen las cepas y se secan.
[0:23:08.00]-[0:23:10.00]  Se secan.
[0:23:10.00]-[0:23:12.00]  Se secan.
[0:23:12.00]-[0:23:14.00]  Con la yesca.
[0:23:14.00]-[0:23:16.00]  Que hace poco había un sulfato,
[0:23:16.00]-[0:23:18.00]  lo sulfatábamos, pues se duraban,
[0:23:18.00]-[0:23:20.00]  y lo quitaron también.
[0:23:20.00]-[0:23:22.00]  Ya no se pueden curar con eso.
[0:23:22.00]-[0:23:24.00]  Entonces las viñas,
[0:23:24.00]-[0:23:26.00]  a los 4 o 5 años pues se pierden.
[0:23:26.00]-[0:23:28.00]  ¿Por qué lo habrán quitado?
[0:23:28.00]-[0:23:30.00]  Porque no era bueno para...
[0:23:30.00]-[0:23:32.00]  para el parvino.
[0:23:32.00]-[0:23:34.00]  Porque quieren ser ecológicos todos.
[0:23:34.00]-[0:23:36.00]  No era bueno para el parvino.
[0:23:36.00]-[0:23:38.00]  ¿Hay mucha cosa ahora con la ecología y eso?
[0:23:38.00]-[0:23:40.00]  Sí.
[0:23:40.00]-[0:23:42.00]  Ahora hay mucho ecológico ya.
[0:23:42.00]-[0:23:44.00]  En el metro hay mucho ya ecológico,
[0:23:44.00]-[0:23:46.00]  las viñas también.
[0:23:46.00]-[0:23:48.00]  Pero claro,
[0:23:48.00]-[0:23:50.00]  ecológico y se van a perder,
[0:23:50.00]-[0:23:52.00]  entonces vaya negocio.
[0:23:52.00]-[0:23:54.00]  No puede sulfatarlas porque no se pierden.
[0:23:54.00]-[0:23:56.00]  Pues se pierden.
[0:23:56.00]-[0:23:58.00]  Así que lo ecológico...
[0:23:58.00]-[0:24:00.00]  Pues sí,
[0:24:00.00]-[0:24:02.00]  muchos que deben estar,
[0:24:02.00]-[0:24:04.00]  cuando están en el grupo de los años lo se quitan,
[0:24:04.00]-[0:24:06.00]  no quieren más ecológico.
[0:24:06.00]-[0:24:08.00]  Porque los albendros no pueden sulfatarlos,
[0:24:08.00]-[0:24:10.00]  entonces se les pierden.
[0:24:10.00]-[0:24:12.00]  A muchos, más que este hombre tiene albendros,
[0:24:12.00]-[0:24:14.00]  pues va.
[0:24:14.00]-[0:24:16.00]  Yo tengo un cuñado que se cuenta que se cumpla,
[0:24:16.00]-[0:24:18.00]  se quita de eso.
[0:24:18.00]-[0:24:20.00]  Ecológico.
[0:24:20.00]-[0:24:22.00]  Pues nada.
[0:24:22.00]-[0:24:24.00]  No, no, no.
[0:24:24.00]-[0:24:26.00]  Cuéntanos más cosas.
[0:24:26.00]-[0:24:28.00]  ¿Había para hacer aceite, se hacía aquí también?
[0:24:28.00]-[0:24:30.00]  Ah, sí. No, aquí no.
[0:24:30.00]-[0:24:32.00]  Había aquí acejín, acepo.
[0:24:32.00]-[0:24:34.00]  Acejín. Pero se recogían aquí...
[0:24:34.00]-[0:24:36.00]  Aquí había poco olivo, entonces hoy ya sí hay alguna.
[0:24:36.00]-[0:24:38.00]  Pero entonces no había aquí olivo.
[0:24:38.00]-[0:24:40.00]  En la paca se había mucha.
[0:24:40.00]-[0:24:42.00]  Pero aquí no. Pero ahora sí.
[0:24:42.00]-[0:24:44.00]  Ahora sí.
[0:24:44.00]-[0:24:46.00]  Así que usted no ha recogido oliva de pequeño.
[0:24:46.00]-[0:24:48.00]  De pequeño entonces no.
[0:24:48.00]-[0:24:50.00]  Aquí no tenemos otra...
[0:24:50.00]-[0:24:52.00]  Tenemos algunas oliveras para casa.
[0:24:52.00]-[0:24:54.00]  Pero no, entonces no se hace aceite.
[0:24:54.00]-[0:24:56.00]  No se hace aceite porque no tenemos oliva.
[0:24:56.00]-[0:24:58.00]  Ahora sí.
[0:24:58.00]-[0:25:00.00]  Ahora tenemos...
[0:25:00.00]-[0:25:02.00]  Yo mismo tengo un ruagüeno,
[0:25:02.00]-[0:25:04.00]  que tengo 7 mil kilos de oliva,
[0:25:04.00]-[0:25:06.00]  que ya me han llevado mis litros de aceite.
[0:25:06.00]-[0:25:08.00]  Ahora sí,
[0:25:08.00]-[0:25:10.00]  pero entonces no había oliveras aquí.
[0:25:10.00]-[0:25:12.00]  Y usted lo sigue llevando a acejín, ¿no?
[0:25:12.00]-[0:25:14.00]  Sí, sí, lo sigo llevando a acejín.
[0:25:14.00]-[0:25:16.00]  Allí a una...
[0:25:16.00]-[0:25:18.00]  A una mazara.
[0:25:18.00]-[0:25:20.00]  Pero ya eso es todo mecánico allí, ¿no?
[0:25:20.00]-[0:25:22.00]  Oh, claro, a Dios.
[0:25:22.00]-[0:25:24.00]  Las de antes no las ha visto usted,
[0:25:24.00]-[0:25:26.00]  como eran antes no.
[0:25:26.00]-[0:25:28.00]  No, antes no.
[0:25:28.00]-[0:25:30.00]  Porque había una ahí en la paca también,
[0:25:30.00]-[0:25:32.00]  antes, hace ya...
[0:25:32.00]-[0:25:34.00]  más o menos 50 años.
[0:25:34.00]-[0:25:36.00]  Y aquello andaba con un ruro.
[0:25:36.00]-[0:25:38.00]  ¿Vamos?
[0:25:38.00]-[0:25:40.00]  Una vez te creedó el ruro que andaba.
[0:25:40.00]-[0:25:42.00]  ¿Vamos?
[0:25:42.00]-[0:25:44.00]  Y se hacía ahí.
[0:25:44.00]-[0:25:46.00]  Pero ahora ya aquello lo quitaron
[0:25:46.00]-[0:25:48.00]  y ya son las mazaras más modernas.
[0:25:48.00]-[0:25:50.00]  ¿Y aceite había bueno y malo, no?
[0:25:50.00]-[0:25:52.00]  Hombre, claro, como todas las cosas.
[0:25:52.00]-[0:25:54.00]  Sí, sí.
[0:25:54.00]-[0:25:56.00]  ¿Y con el peor qué hacían?
[0:25:56.00]-[0:25:58.00]  Con el peor pues yo se lo calan,
[0:25:58.00]-[0:26:00.00]  con el peor pues no.
[0:26:00.00]-[0:26:02.00]  ¿No se hacía jabón con él?
[0:26:02.00]-[0:26:04.00]  Sí, jabón lo hacían las mujeres.
[0:26:04.00]-[0:26:06.00]  Sí, ¿no? Con el aceite.
[0:26:06.00]-[0:26:08.00]  Jabón lo hacían las mujeres, sí.
[0:26:08.00]-[0:26:10.00]  Y todavía hacen jabón las mujeres.
[0:26:10.00]-[0:26:12.00]  ¿Todavía? ¿Qué hacen todos?
[0:26:12.00]-[0:26:14.00]  En mi casa, en mi casa hacen todos los años jabón las mujeres.
[0:26:14.00]-[0:26:16.00]  ¿Sí? Un par de veces al año.
[0:26:16.00]-[0:26:18.00]  ¿Y usted lo ha visto hacer? Claro que lo he visto hacer.
[0:26:18.00]-[0:26:20.00]  ¿Y cómo hacen? Pues cómo hacen.
[0:26:20.00]-[0:26:22.00]  Pues echan aceite de esos malos,
[0:26:22.00]-[0:26:24.00]  echan los huesos de los
[0:26:24.00]-[0:26:26.00]  perlines,
[0:26:26.00]-[0:26:28.00]  todos esos le están también revueltos ahí
[0:26:28.00]-[0:26:30.00]  y sosa.
[0:26:30.00]-[0:26:32.00]  Y entonces eso van dando los
[0:26:32.00]-[0:26:34.00]  huertas, huertas, para que se cuaja
[0:26:34.00]-[0:26:36.00]  y de ahí sale el jabón.
[0:26:36.00]-[0:26:38.00]  Ahí después cortan trozos de jabón
[0:26:38.00]-[0:26:40.00]  de ahí.
[0:26:40.00]-[0:26:42.00]  ¿Qué son los perlines?
[0:26:42.00]-[0:26:44.00]  Los perlines, los chinos.
[0:26:44.00]-[0:26:46.00]  Los huesos.
[0:26:46.00]-[0:26:48.00]  De todo eso, los huetines se revueltan para que se ponga el jabón.
[0:26:48.00]-[0:26:50.00]  Ah, muy bien.
[0:26:50.00]-[0:26:52.00]  ¿Y sale bueno ese jabón?
[0:26:52.00]-[0:26:54.00]  Sí, sale bueno.
[0:26:54.00]-[0:26:56.00]  ¿Y qué es? ¿Para lavar la ropa?
[0:26:56.00]-[0:26:58.00]  Para lavar la ropa, claro.
[0:26:58.00]-[0:27:00.00]  ¿Y las personas no se lavan con eso, no?
[0:27:00.00]-[0:27:02.00]  No, eso no se lavan.
[0:27:02.00]-[0:27:04.00]  Si también se lavan, no pasa nada.
[0:27:04.00]-[0:27:06.00]  Pero claro, ya está jabón más
[0:27:06.00]-[0:27:08.00]  refinado para lavarse que no ese.
[0:27:08.00]-[0:27:10.00]  ¿Y para lavar la ropa
[0:27:10.00]-[0:27:12.00]  antes cómo es?
[0:27:12.00]-[0:27:14.00]  Antes la ropa,
[0:27:14.00]-[0:27:16.00]  antes iba a lavar, como decíamos, más allá a Los Cantos,
[0:27:16.00]-[0:27:18.00]  muchos de las ropas la lavan
[0:27:18.00]-[0:27:20.00]  con tierra.
[0:27:20.00]-[0:27:22.00]  Con tierra. Con crea, le decían aquellos.
[0:27:22.00]-[0:27:24.00]  Se hacía un bujero allí en
[0:27:24.00]-[0:27:26.00]  un sitio que había, se leía la tierra blanca
[0:27:26.00]-[0:27:28.00]  y le decíamos crea.
[0:27:28.00]-[0:27:30.00]  Y con aquello lavaban mucha ropa.
[0:27:30.00]-[0:27:32.00]  ¿Y cómo se lavaba?
[0:27:32.00]-[0:27:34.00]  Pues echándole aquello,
[0:27:34.00]-[0:27:36.00]  tierra aquella,
[0:27:36.00]-[0:27:38.00]  que como digo, que es crea,
[0:27:38.00]-[0:27:40.00]  pues dándole la ropa y aquello
[0:27:40.00]-[0:27:42.00]  se veía que limpiaba la ropa.
[0:27:42.00]-[0:27:44.00]  No iban a echar tierra,
[0:27:44.00]-[0:27:46.00]  tierra de otra clase,
[0:27:46.00]-[0:27:48.00]  porque era muy blanco
[0:27:48.00]-[0:27:50.00]  y estaba salida abajo,
[0:27:50.00]-[0:27:52.00]  estaba limpia,
[0:27:52.00]-[0:27:54.00]  se lavaba mucho con aquello.
[0:27:54.00]-[0:27:56.00]  ¿Y no con agua?
[0:27:56.00]-[0:27:58.00]  Sí, con agua también.
