[0:00:00.00]-[0:00:04.80]  Bueno pues, ya le hemos dicho, queríamos saber cómo era la vida de antes.
[0:38:01.44]-[0:38:08.44]  porque yo dije, mira este carajo lo enterado que está él de todo, dice el de aquí,
[0:38:08.44]-[0:38:14.44]  no sé cómo estaban hablando, ah, porque el venezolano le dijo al de aquí,
[0:38:14.44]-[0:38:28.76]  eh, tú viniste acá a matar el hambre, era broma, no, dice el de aquí, dice, no, yo no vine a matar el hambre porque yo ya más o menos tenía que comer,
[0:38:28.76]-[0:38:36.76]  dice, pero vine a decir que quería hacer una casa y plá, y el venezolano le contestó, dice, no,
[0:38:36.76]-[0:38:41.76]  tú aquí por hambre no viniste, que tu hambre ya en tu tierra tenías,
[0:38:41.76]-[0:38:52.08]  dice, cómo me vas a decir que comías, que me han dicho que ya matan un cochino, y lo ponen en una caja y van comiendo todo el año,
[0:38:52.08]-[0:38:58.08]  y aquí en Venezuela el cochino se mata y al cabo de sol ya no queda nada de él,
[0:38:58.08]-[0:39:03.08]  y yo dije, una vez que enterado está, digo, tiene razón,
[0:39:03.08]-[0:39:12.08]  ni un cochino se le iba sacando un pedacito cada día salada, porque hasta eso, en aquel tiempo no había frío,
[0:39:12.08]-[0:39:17.08]  no había neveras, la carne tenía que ser toda salada para que no le echara a perder,
[0:39:17.08]-[0:39:25.08]  y esa es la vida que había, y claro, yo le estoy hablando de la vida del viejo,
[0:39:25.08]-[0:39:33.08]  que aquí la vida se pasó mucho, mucha preses, mucha falta de alimentación,
[0:39:33.08]-[0:39:40.08]  pero después resulta que, claro, lo de esto es, al final de la guerra civil,
[0:39:40.08]-[0:39:47.08]  que cuando eso que yo recuerdo, que yo recuerdo, porque uno de chicos,
[0:39:47.08]-[0:39:56.08]  se olvida muy poco la cosa, yo recuerdo cuando tenía cuatro años, y después de ahí para adelante,
[0:39:56.08]-[0:40:08.08]  y entonces cuando yo tenía cuatro años, hacía dos que había terminado la guerra civil,
[0:40:08.08]-[0:40:15.08]  y en los años cincuenta, que es cuando yo hice el servicio militar en la península,
[0:40:15.08]-[0:40:21.08]  que era, he dicho, servía en un crucero, y recorriéramos, pues hoy estamos aquí,
[0:40:21.08]-[0:40:29.08]  mañana en otro lado, porque no, el barco no paraba, y ver las mujeres,
[0:40:29.08]-[0:40:39.08]  a lo mejor llevaba un crío en el brazo, otro por la mano, y a lo mejor otro en la barriga,
[0:40:39.08]-[0:40:45.08]  de repente era así, y llevaba una lata, que en aquel tiempo existían las latas,
[0:40:45.08]-[0:40:52.08]  que venían con un kilo de sardinas en aceite, y llevaba una lata,
[0:40:52.08]-[0:41:01.08]  ella sabía ya dónde estaba la cocina de bordo, los redondos esos, los ventanales los redondos,
[0:41:01.08]-[0:41:11.08]  los barcos, que se llamaba un escotillo, y ahí iba ella directa a donde estaba la cocina,
[0:41:11.08]-[0:41:18.08]  yo sabía dónde llevaba cada barco la cocina, mire, y no era por hacerse, no, era verdad,
[0:41:18.08]-[0:41:30.08]  mire por favor, écheme un cucharón de sopa para los niños, coño, los niños vían el cacharro aquel,
[0:41:30.08]-[0:41:38.08]  el uñar, que tenían puesto la sopa, querían tirarle los ojos antes que las manos,
[0:41:38.08]-[0:41:45.08]  del hambre que tenían los pobres, aquí pasa igual, aquí, y ahora mismo,
[0:41:45.08]-[0:41:55.08]  cuando pasan estos niños del tercer mundo, descalcitros, con poca ropa,
[0:41:55.08]-[0:42:05.08]  el estómago más grande que el resto del cuerpo, yo digo, pobres niños, eso es lo que pasamos entonces,
[0:42:05.08]-[0:42:15.08]  aquí se pasó mucha falta de alimentación, porque hoy la gente de hoy, la gente joven,
[0:42:15.08]-[0:42:26.08]  bueno me refiero a gente como ustedes, le dicen, falta de esto, falta de lo otro, la sanidad es mala,
[0:42:26.08]-[0:42:38.08]  ahora yo que conocí lo que fue no haber un seguro social, no había médicos, pero mero con que ir a ellos,
[0:42:38.08]-[0:42:49.08]  había que pagarlos y la gente se moría porque no podía ser, entonces, yo digo la verdad,
[0:42:49.08]-[0:42:59.08]  a mí me parece que hoy tenemos, si se pudiera más, mejor, pero me parece como si estuviéramos más o menos,
[0:42:59.08]-[0:43:11.08]  aproximando hasta completos, porque en el año 60, vine yo de Venezuela, mi mujer,
[0:43:11.08]-[0:43:21.08]  que no se sentía muy bien, le llevé a un médico aquí a Valverde, y el médico me dijo, mira,
[0:43:21.08]-[0:43:31.08]  yo no tengo que ver más, porque la verdad, que no había en la isla rayos secos ni nada, en el año 60,
[0:43:31.08]-[0:43:37.08]  ni para hacer una radiografía, nadie, ni nada, y si no estoy seguro lo que tiene,
[0:43:37.08]-[0:43:46.08]  pero creo que sea cosa de ovario o la apéndice, lo único que te aconsejo,
[0:43:46.08]-[0:43:54.08]  es que el próximo barco te vaya con el arténaliz. Efectivamente me fui al arténaliz, me fui a un especialista,
[0:43:54.08]-[0:44:04.08]  y lo observó, y me dijo, mira, su mujer tiene un quiste en un ovario, mi mujer le daba ampatías de dolor,
[0:44:04.08]-[0:44:13.08]  dice ese quiste está sostenido por medio de un hilo, pero da vuelta, cuando le da una vuelta, le duele,
[0:44:13.08]-[0:44:19.08]  pero cuando sigue dando vueltas hasta que por fin llega un momento que mientras no retroceda,
[0:44:19.08]-[0:44:28.08]  otra vez a su lugar, los dolores le dan las tapatías, dice su mujer tiene que ser operada,
[0:44:28.08]-[0:44:40.08]  si usted quiere, yo mismo se lo opero, y si no, era un especialista, no se conocía, y si no, usted decidí,
[0:44:40.08]-[0:44:54.08]  seguro no tenía, no había seguro, yo le dije al hombre, sí, dígame cuánto va a costar la operación, 6500 pesetas,
[0:44:54.08]-[0:45:03.08]  oiga, yo le dije si se opera, pero si me agarran cuatro años antes, sin yo ir a Venezuela,
[0:45:03.08]-[0:45:13.08]  yo no tenía antes de irme dinero ninguno, no tenía propiedades de donde agarrar, no tenía nada que hubiera sido de ella,
[0:45:13.08]-[0:45:27.08]  no sé, así fue que aquí en esta isla, muchas mujeres salieron a medio del parto, porque no venía el parto bien,
[0:45:27.08]-[0:45:39.08]  una murió, otra murió la criatura, mi madre, la última hija que tuvo, le vino una hemorragia y murió,
[0:45:39.08]-[0:45:47.08]  si bien ha habido médicos y medios para ir, no puede ser que una mujer se muera de una hemorragia,
[0:45:47.08]-[0:46:05.08]  entonces yo hoy veo a la gente vestida, como le apetece, cuando le parece coger el vestuario y lo tira,
[0:46:05.08]-[0:46:18.08]  no, no lo pongo mal, comemos, tenemos ropa para abrigarlos en la cama y cuando estamos en pie, tenemos un servicio sanitario,
[0:46:18.08]-[0:46:28.08]  no digo que del mejor, pero tampoco creo que sea del peor, la gente llega de la África, de donde quiera que venda,
[0:46:28.08]-[0:46:41.08]  son atendidos con alimentos, con un techo, la mayor parte, con un médico, vienen los niños menores de por allá,
[0:46:41.08]-[0:46:54.08]  los ponen en unos centros, les dan educación, les dan comida y yo creo que más o menos estamos viviendo,
[0:46:54.08]-[0:47:04.08]  ahora la gente que venga al mundo encontrando ya todo esto que estoy nombrando, exigen más, yo lo veo normal,
[0:47:04.08]-[0:47:12.08]  yo lo veo normal que si se puede tengamos más y que alguna cosa falte también es verdad,
[0:47:12.08]-[0:47:21.08]  y que otras están a lo mejor de más y otras no le ponen asunto también por las malas organizaciones,
[0:47:21.08]-[0:47:33.08]  hay cosas que se podrían tener mejor, pero hay que llevarlas como se puede y como hay porque la vida es así,
[0:47:33.08]-[0:47:39.08]  bueno pues yo les voy a decir si alguna pregunta más quieren hacer.
[0:47:39.08]-[0:47:43.08]  Sí, ha dicho que estuvo en Venezuela, ¿cuánto tiempo estuvo en Venezuela?
[0:47:43.08]-[0:47:44.08]  Cuatro años.
[0:47:44.08]-[0:47:46.08]  Cuatro años, ¿y qué hizo allí?
[0:47:46.08]-[0:47:58.08]  Allí, allí lo primero que hice, que como les estoy hablando, la miseria que había entonces aquí en el año 56,
[0:47:58.08]-[0:48:06.08]  yo había comprado un pajarito, sí un pajarito, era una casa, ¿sabes lo que le quiero decir?
[0:48:06.08]-[0:48:17.08]  Era un pajarito, era una casa de vivienda, pero no era más que esto que tenemos aquí donde estamos,
[0:48:17.08]-[0:48:24.08]  abajo al fondo, que creo que no llegaba, y ahí había vivido una familia, un asimónio con todos los ríos,
[0:48:24.08]-[0:48:33.08]  uno dormía aquí, el otro allí, el otro en plan, y a lo mejor al otro día recogían una parte de las camas del suelo
[0:48:33.08]-[0:48:42.08]  para dar más espacio y allí en un rincón encendían el fuego, y como la ropa que tenían era poca,
[0:48:42.08]-[0:48:50.08]  en el invierno cuando encendían el fuego se congregaban todos allí, congelados llevando un poquito el calor y tal,
[0:48:50.08]-[0:48:58.08]  y se vivía en casitas, es que ahora se diga aquí, todavía quedan algunas, y se dice aquí vive un asimónio
[0:48:58.08]-[0:49:06.08]  con diez hijos, con ocho hijos, dicen ¿cómo se las arreglaban? Pues sí se las arreglaban, no había otra cosa.
[0:49:06.08]-[0:49:14.08]  Bueno, pues eso fue que aquí una familia vendió una casita de esas que tenía aquí, una pequeña casita,
[0:49:14.08]-[0:49:24.08]  y yo con los ahorros, como ya les dije de una vaca que vendía o que si yo di otra cosa y no juntaba dinero ni nadie,
[0:49:24.08]-[0:49:31.08]  compré la casita con dos trocitos de tierra que tenía ahí también aquella señora.
[0:49:31.08]-[0:49:41.08]  Bueno, yo me fui para Venezuela antes que nada para hacer una casita donde meterme,
[0:49:41.08]-[0:49:53.08]  y casualmente yo no tenía nada de terreno ni eso, y a poco que llegué a Venezuela mi mujer me escribió,
[0:49:53.08]-[0:50:04.08]  diciéndome que un señor ahí, un vecino, vendía un trozo de terreno ahí con una higuera, y yo no, no, no,
[0:50:04.08]-[0:50:11.08]  lo primero que hago es una casita así, puedo me meter, y después ya se verá.
[0:50:11.08]-[0:50:25.08]  Bueno, pues llegué ya a Venezuela y a los, no había trabajo, sino llamaban a uno a lo mejor para descargar un camino
[0:50:25.08]-[0:50:36.08]  en el mercado principal, había gente que se dedicaba a comprar cantidad de papas que las tenían ensacadas en depósito,
[0:50:36.08]-[0:50:48.08]  y entonces esa papa ahí pasaba tiempo y algunas se desmerecían, se echaban a perder, entonces después buscaba gente
[0:50:48.08]-[0:51:01.08]  para vaciar esos sacos de papas, quitarle las malas y volverlas a llenar, se encontraba algo de eso, pero como fijo nada.
[0:51:01.08]-[0:51:12.08]  Y uno ignora, porque yo digo que fue una ignorancia mía, me arriesgué demasiado, yo, al ir al mercado,
[0:51:12.08]-[0:51:22.08]  que los cerreños vamos mucho para el mercado, y yo allí estaba con otros, y no sé cómo oigo de hablando allí,
[0:51:22.08]-[0:51:32.08]  los hombres allí, y ahora donde hay trabajo es en el campo sembrando las cosechas de papas,
[0:51:32.08]-[0:51:48.08]  y en el estado de Iaracuy, en una parte que le llaman San Felipe, ahí están buscando gente para plantar papas.
[0:51:48.08]-[0:52:03.08]  Yo me oigo de ellos, lo tomo en cuenta, y empecé a preguntar más o menos, la gente que más ha ido a trabajar al campo son los palmeros,
[0:52:03.08]-[0:52:12.08]  y unos palmeros que ven allí, y me decían más o menos lo que pagaban y tal,
[0:52:12.08]-[0:52:23.08]  y al otro día, en Venezuela, un taxi me llama un carro libre.
[0:52:26.08]-[0:52:35.08]  Yo me arriesgué donde cogían los autobuses para ir al estado de Iaracuy, San Felipe.
[0:52:35.08]-[0:52:47.08]  Al otro día, allí en el centro de Caracas, cojo un taxi carro libre, digo mire, por favor,
[0:52:47.08]-[0:52:54.08]  yo no sabía nada de donde caminaba, yo llevaba 9 días en Caracas, en una capital esa que va uno,
[0:52:54.08]-[0:53:00.08]  y yo no sabía nada más que trabajar donde conseguía algo, y digo mire,
[0:53:00.08]-[0:53:06.08]  me lleva donde se cogen los autobuses para el interior, para el campo.
[0:53:06.08]-[0:53:21.08]  Me llevó allí, a la estación, y le dijo el chofer del plaza, le dijo a uno de los autobuses,
[0:53:21.08]-[0:53:34.08]  dice mira, Ticleño quiere ir para el estado de Iaracuy en el primer autobús que salga, el del conductor de autobús,
[0:53:34.08]-[0:53:42.08]  me dijo, dice mire, vaya para aquel, voy a ir para aquel, no había chofer en el autobús,
[0:53:42.08]-[0:53:45.08]  me siento, había otra persona más.
[0:53:45.08]-[0:53:52.08]  Cuando llegó el chofer, le dije, era como las dos de la tarde o por ahí sería,
[0:53:52.08]-[0:54:00.08]  le dije al chofer, digo mire, por favor, quiero ir para el estado de Iaracuy, para San Felipe.
[0:54:00.08]-[0:54:08.08]  Yo estaba ya informado más o menos, ya me habían dicho que allí había dos surtidores,
[0:54:08.08]-[0:54:17.08]  y que uno de ellos era la bomba Las Delicias, y otra le decían la bomba a la rueda.
[0:54:17.08]-[0:54:25.08]  Y entonces yo tenía, me dijeron que sobre todo que me pegaran la bomba a Las Delicias,
[0:54:25.08]-[0:54:31.08]  que había un bar y era verdad, un bar de estaduras grande, y que allí llegaba mucho palmeros,
[0:54:31.08]-[0:54:36.08]  que estaba buscando gente para trabajar en la sierra de La Papa.
[0:54:36.08]-[0:54:44.08]  Yo llego con el autobús y le dije al chofer, digo mire, le agradecería,
[0:54:44.08]-[0:54:49.08]  porque yo no conozco aquí nada, que cuando llegue a la bomba Las Delicias,
[0:54:49.08]-[0:54:56.08]  me diga un vez que yo me quiero quedar, dice bueno tranquilo, bueno salimos,
[0:54:56.08]-[0:55:01.08]  yo creo que yo salí pensando que estaba en el hierro, iba para el verde,
[0:55:01.08]-[0:55:08.08]  ahí llego, sale el autobús, venga ese autobús a dar ruedas y a dar ruedas,
[0:55:08.08]-[0:55:14.08]  y la gente uno bajaba y el otro subía, bueno, durante era de día bien,
[0:55:14.08]-[0:55:21.08]  pero ya cuando pasó un rato de la noche y seguía eso, yo cada vez que llegaba a una parada,
[0:55:21.08]-[0:55:29.08]  yo lo que pensaba ya que el chofer estaba olvidado, y entonces yo cada vez que llegaba a una parada,
[0:55:29.08]-[0:55:34.08]  no podía evitarlo, el cuerpo me pedía como levantarme, ¿no?
[0:55:34.08]-[0:55:45.08]  Pero que el chofer se dio cuenta, y entonces por el espejo retrovisor me hizo rana, como que tranquilo,
[0:55:45.08]-[0:55:51.08]  yo respiré, ah digo no, no estoy olvidado del hombre, ya llego, pues seguí tranquilo,
[0:55:51.08]-[0:56:02.08]  llego al estado de Yaraquí, a lo mejor allá por las doce de la noche o las una de la mañana,
[0:56:02.08]-[0:56:10.08]  pero había gente allí, cantidad de hombres palmeros jugando la partida, dominos y tal,
[0:56:10.08]-[0:56:14.08]  que a mí me lo habían dicho ya que se reunían allí,
[0:56:14.08]-[0:56:24.08]  yo entré con mi maletita y un palmero se levantó y vino derecho donde estaba yo,
[0:56:24.08]-[0:56:34.08]  dice viene buscando trabajo amigo, digo pues sí, bueno pues yo estoy buscando gente si quiere ir a trabajar conmigo,
[0:56:34.08]-[0:56:40.08]  me dijo lo que me pagaba, me dijo tal, concibía con lo que ya me habían dicho,
[0:56:40.08]-[0:56:48.08]  lo único que yo ignoraba y a lo mejor los que no lo dijeron también, el tema de la comida,
[0:56:48.08]-[0:56:55.08]  pues, yo no me acuerdo, aquellos palmeros, eran casi todos palmeros los que había,
[0:56:55.08]-[0:57:03.08]  por poco me matan a fuerza de hojios calados y cebolla cruda, que la gente comía besos terribles,
[0:57:03.08]-[0:57:14.08]  uno de aquí del Hierro que por cierto era de Arese, ustedes no son de aquí del Hierro, no, no, murió,
[0:57:14.08]-[0:57:21.08]  pues llegó allí, pasó una semana, cuando llegó la semana dice mira chico,
[0:57:21.08]-[0:57:28.08]  yo si me quieren pagar la semana que ha estado viene, si no, como aprovecholadas, pero yo aquí no sigo más,
[0:57:28.08]-[0:57:40.08]  yo seguí los cuatro meses y bueno trabajé en aquello, yo, resulta que hasta eso,
[0:57:40.08]-[0:57:47.08]  cuando recogió la papa, el hombre quería pagarlo, pero la papa no se vendía,
[0:57:47.08]-[0:57:53.08]  entonces él tenía un socio que tenía un restaurante en Caracas,
[0:57:53.08]-[0:58:03.08]  dice mire si alguno quiere irse a su destino, se va a estar seguro que desde que venda papa les pago,
[0:58:03.08]-[0:58:10.08]  entonces tomaba la dirección de cada uno, yo le dije que iba para Caracas,
[0:58:10.08]-[0:58:19.08]  y entonces me dijo, dice mire, fulano, no se me ha olvidado el nombre, ya he perdido el nombre,
[0:58:19.08]-[0:58:26.08]  el socio mío, usted está en contacto con él, que ahí le mando yo su dinero,
[0:58:26.08]-[0:58:36.08]  de Guadalajara, yo me marché para el campo sin tener ningún conocimiento de Venezuela,
[0:58:36.08]-[0:58:44.08]  de Guadalajara, y entre los familiares y conocidos, hablaban, se pagaron,
[0:58:44.08]-[0:58:52.08]  digo no, porque no había vendido, las papas, dice, ay, fulano, dice que les pagaban,
[0:58:52.08]-[0:58:59.08]  no le pagaron un cento, el otro no sé qué dijo, bueno, pues ya no hay nada que hacer,
[0:58:59.08]-[0:59:06.08]  pasaba por allí, por donde estaba el señor Eze Sosa, le decía a ese hombre,
[0:59:06.08]-[0:59:15.08]  dijo mira, me ha llegado nada, un día yo me pasaba, me llamó, dice mire,
[0:59:15.08]-[0:59:23.08]  mira, ahí tiene lo tuyo, me pagaron completo, yo le había dicho al señor,
[0:59:23.08]-[0:59:32.08]  después el señor, a los pocos días de terminar la recogida de la papa,
[0:59:32.08]-[0:59:38.08]  me dijo, dice, bueno, y en cuatro años, ¿qué crees, que vuelves?, digo sí, vuelvo,
[0:59:38.08]-[0:59:44.08]  yo pensaba que sí, cuando llegó el tiempo de sembrar la próxima cosecha,
[0:59:44.08]-[0:59:51.08]  yo estaba administrando unos puestos de un venezolano, yo ahora estaba para comprar
[0:59:51.08]-[1:00:01.08]  y vender nada más, naran, naran ahí, los derivados del daipú, mandarina, cosas,
[1:00:01.08]-[1:00:08.08]  cuando llegó la próxima cosecha, fue el hombre que yo agradecido, dice, mira,
[1:00:08.08]-[1:00:16.08]  ¿quieres volver para allá?, dijo, mira, perdona que le diga, pero si me pagas tres veces,
[1:00:16.08]-[1:00:22.08]  no voy tampoco, dice el hombre, yo me alegro de que asiste, me fue bien,
[1:00:22.08]-[1:00:29.08]  me fue bien los cuatro años, pero bueno, yo había dejado aquí mi mujer, un hijo,
[1:00:29.08]-[1:00:36.08]  y que la tierra que ven a ser a uno, llamar por uno, aunque buena no sea,
[1:00:36.08]-[1:00:45.08]  yo digo la verdad, yo necesitaba por el dinero, no más por mal, pero aquello no era lo mío,
[1:00:45.08]-[1:00:52.08]  aquello, entonces aquí en España había un respeto, que usted podía hasta dormir en la calle,
[1:00:52.08]-[1:01:00.08]  y no había, sin un salvajismo, y si bien no había nada directo con uno, con observarlo,
[1:01:00.08]-[1:01:08.08]  era yo, estuve allí cuando la caída del gobierno de Pérez Jiménez, y vi cosas que pasaron,
[1:01:08.08]-[1:01:17.08]  y eso que usted ve hablando una persona con toda su razón, y le contesten, cállate la boca,
[1:01:17.08]-[1:01:24.08]  extranjero, coño tu madre, qué tal, aquí tiene más garantía un perro que un extranjero,
[1:01:24.08]-[1:01:31.08]  yo decía, digo que tienes la sangre de fría para vivir en medio de estos salvajes,
[1:01:31.08]-[1:01:41.08]  y yo, yo digo la verdad, cuando me fui para Venezuela, cuando salí del Tenerife,
[1:01:41.08]-[1:01:55.08]  salí más bien con odio a España, porque entonces también eran aquí los que tenían un puesto por el gobierno,
[1:01:55.08]-[1:02:04.08]  cuando franco, parecían que eran dioses, llegar hasta ahí, como una persona que no había salido,
[1:02:04.08]-[1:02:14.08]  que no había estado en Tenerife como yo en aquel momento, al llegar, y lo digo porque fue cierto que me pasó así,
[1:02:14.08]-[1:02:27.08]  al llegar y pasar por donde unos papeles del gobierno civil, y de entonces me mandaron a otro lado,
[1:02:27.08]-[1:02:35.08]  un señor viejo que estaba en la oficina, digo, por favor, ¿dónde queda eso?, ¿dónde queda eso más o menos?,
[1:02:35.08]-[1:02:44.08]  mirarme por debajo de las gafas, pregunté para él, ¿qué es esto?, oiga, todo era por favor,
[1:02:44.08]-[1:02:51.08]  y les parecía que estaban obligados a rodillarse adelante de todo el mundo,
[1:02:51.08]-[1:03:00.08]  de lo contrario Venezuela, con todo que digo que mucha gente había salvo ahí, yo llegué a extranjería a legalizar mis papeles,
[1:03:00.08]-[1:03:11.08]  y allí hay una gente, cantidad, mira yo te lo arreglo por cuanto, el otro por cuanto, y una muchacha allí,
[1:03:11.08]-[1:03:22.08]  decirme, usted no tiene que pagarle nada a nadie, eso tenemos que arreglarlo nosotros, por eso estamos aquí, y usted ya se lo va a arreglar,
[1:03:22.08]-[1:03:31.08]  y al fin, tratamiento especial, mejor que aquí, hoy no, eso ha cambiado en España,
[1:03:31.08]-[1:03:43.08]  en España hoy va gente joven, médicos, en cualquier oficina les tratan a usted como a una persona, pero antes no,
[1:03:43.08]-[1:03:51.08]  antes cuando Franco, si bien, claro, todas las cosas tienen su parte mala y la buena,
[1:03:51.08]-[1:03:59.08]  en aquel momento cuando nos fuimos a Venezuela, en Tenerife, cualquiera se dormía en la calle con la cartera en el bolsillo,
[1:03:59.08]-[1:04:08.08]  y qué banda, él se atrevía, porque sabía lo que le esperaba, si lo agarraban robando una cartera, hoy le quitan hasta la ropa,
[1:04:08.08]-[1:04:18.08]  con la cartera, pero después por otra parte, los que tenían un puesto por el gobierno, bueno, tenían todo el mundo por la rodilla,
[1:04:18.08]-[1:04:32.08]  hasta los curas tenían poder, entonces ha habido de todo malo y bueno, porque yo me he dado tiempo a gozar de todo,
[1:04:32.08]-[1:04:44.08]  porque somos aquí tantos años, y me tocó pasar por aquello del final de la guerra,
[1:04:44.08]-[1:04:52.08]  pues me tocó vivir los años que llevamos de democracia, y en fin.
[1:04:52.08]-[1:04:56.08]  ¿Qué edad tiene usted?
[1:04:56.08]-[1:05:02.08]  87 años, voy a cumplir 88.
[1:05:02.08]-[1:05:06.08]  Pues está estupendo de cabeza.
[1:05:06.08]-[1:05:14.08]  Bueno, sí, yo creo que de cabeza sí, recuerdo, pues más o menos no estoy olvidado de nada,
[1:05:14.08]-[1:05:27.08]  del resto estoy ya, como las máquinas viejas que los tornillos se aflojan todos, igual estoy, o cuando no me quedo de una cosa, me quedo de la otra.
[1:05:27.08]-[1:05:37.08]  Estuve hasta el año pasado, en el mes de enero, yo me encontraba satisfecho con mi vida, porque decía,
[1:05:37.08]-[1:05:47.08]  para los años que tengo, que más voy a pedir, yo me encontraba bien, pero el año pasado, en enero, me dio un ripaso muy duro,
[1:05:47.08]-[1:06:02.08]  enfermé, me ingresaron al hospital, estuve 19 días ingresado, y entonces ahí, claro, cosas que yo no había observado, molestias, nada ni eso,
[1:06:02.08]-[1:06:21.08]  pero ahí me hicieron un examen que ya las ha tenido que llevar, pues semanal, una vez en el mes, y me han puesto unos tratamientos para una cosa y para otra,
[1:06:21.08]-[1:06:33.08]  y ya me encuentro, me encuentro ya mal, pero normal, lo acepto porque...
[1:06:33.08]-[1:06:49.08]  ¿Cómo fue su infancia en una familia de 15 hermanos?
[1:06:49.08]-[1:06:50.08]  Mal.
[1:06:50.08]-[1:06:55.08]  ¿Cómo era la organización familiar para que eso funcionara?
[1:06:55.08]-[1:07:09.08]  Mal, mal porque alimentación era escasa, la ropa era escasa, trabajo, sin ser para eso, mucho, porque había que trabajar,
[1:07:09.08]-[1:07:22.08]  además mi padre era un hombre trabajador, era un hombre que plantaba mucho, de todo, árboles, y cosas del diario, para la comida de la casa,
[1:07:22.08]-[1:07:39.08]  papas, juguías, fronteras, de todo, entonces él trabajaba mucho, plantaba mucho, trabajaba mucho la tierra, entonces nosotros que no éramos todavía para eso,
[1:07:39.08]-[1:07:57.08]  éramos los que teníamos que echarle a comer las vacas, ordeñarlas, después arar la tierra, todavía yo chico, era lo, arar, pues cuando en frontera,
[1:07:57.08]-[1:08:11.08]  ir a comer la cobarviña, porque claro, era una casa que habíamos tanta gente que había que trabajar para... la alimentación en aquel momento,
[1:08:11.08]-[1:08:23.08]  no éramos en la casa, mis padres, era en general, la alimentación en España en aquel momento estaba mal, mal, alimentación,
[1:08:23.08]-[1:08:27.08]  el vestuario, la vida de aquel tiempo.
[1:08:27.08]-[1:08:30.08]  ¿No tenían ayudas? ¿No tenían ayudas?
[1:08:30.08]-[1:08:31.08]  No, no, no.
[1:08:31.08]-[1:08:37.08]  Ni de la vida siquiera, ni de la iglesia, no les ayudaba la iglesia.
[1:08:37.08]-[1:08:51.08]  No, no, entonces la iglesia estaba tan necesitada como la casa de familia, la iglesia no tenía con qué ayudar, no había ayuda,
[1:08:51.08]-[1:09:05.08]  España no tenía dinero, cuando al final de la guerra civil los dineros públicos se quedaban entre cuatro, se los acaparaban ahí,
[1:09:05.08]-[1:09:22.08]  el poco presupuesto que llegaba hasta Isla, cuando llegaba a Valverde, si venían diez mil pesetas o aquello cuando llamaron once,
[1:09:22.08]-[1:09:33.08]  cinco las robaban y las otras cinco las invertían en Valverde, en la capital, los pueblos no nos enteraban de nada,
[1:09:33.08]-[1:09:46.08]  se vivía de esta manera y que por eso que yo con todos sus problemas que tiene la vida de hoy las he hecho,
[1:09:46.08]-[1:09:57.08]  porque hoy miren, ahora mismo los políticos acaparan mucho para los urdeños, pero algo le dan a los demás.
[1:09:57.08]-[1:10:10.08]  Aquí hubo un alcalde en Valverde que no todo lo hizo bueno, pero hizo muchas cosas en los pueblos municipales, mucho.
[1:10:10.08]-[1:10:26.08]  Este mismo pueblo se hizo de pista de comunicación para el pueblo, pista de aquí con El Pinar, pista de aquí con San Andrés,
[1:10:26.08]-[1:10:42.08]  y el pueblo está todo comunicado, el pueblo tiene un consultorio médico, que viene un médico y un enfermero una vez en semana, los miércoles.
[1:10:42.08]-[1:10:56.08]  El pueblo tiene una casa de la tercera edad, que la gente, las personas mayores, aunque los que vemos todos somos viejos, pero si bien o bien todos o vemos pocos en el pueblo,
[1:10:56.08]-[1:11:13.08]  esto es poca gente, pero la gente que puede ir, yo no voy, por una parte no es que me apetezca mucho el ir y por otra mi señora está enferma, lleva ya unos años enferma de alzén,
[1:11:13.08]-[1:11:31.08]  y yo pues viene una mujer cuatro horas en la mañana a acompañarla y hacer algo aquí, y el resto después estoy yo con la ayuda de mis hijos, que mis hijos también me ayudan bastante.
[1:11:31.08]-[1:11:46.08]  Pero el que pueda ir, que lo mejor está solo en casa, voy para hace un rato ahí en la casa de la tercera edad, celebran algunos cumpleaños y cosas ahí,
[1:11:46.08]-[1:12:05.08]  después pues hay también dos casas culturales ahí, pues algo de parque para los niños, bueno pues yo digo que se ha hecho mucho en los pueblos.
[1:12:05.08]-[1:12:29.08]  Este pueblo hasta los años 60, 60, 62 o por ahí, no tenía iglesia, no tenía cementerio, todos teníamos que ir a San Andrés,
[1:12:29.08]-[1:12:38.08]  hoy tiene su cementerio, tiene su iglesia, bueno pues.
[1:12:38.08]-[1:12:48.08]  ¿Y antes de que se construyeran estas pistas de comunicación, cómo se hacía entonces para ir de un pueblo a otro en la isla?
[1:12:48.08]-[1:13:02.08]  ¿Para ir de un pueblo a otro? No, las pistas de comunicación me ha querido referir hasta que en aquel momento no había comunicación para coches, para vehículos,
[1:13:02.08]-[1:13:18.08]  porque tal como aquí en este pueblo y más o menos estaba así la isla, la carretera que viene de la rotonda, la general aquí al pueblo que llegaba aquí,
[1:13:18.08]-[1:13:32.08]  en trabajo, hoy ya avanza porque ya había un mirador ahí, la carretera llega hasta la campiolada donde está el mirador que se ve, el parador del turismo y eso ahí,
[1:13:32.08]-[1:13:51.08]  no, allá más llegaba entonces, se quedaba aquí al pueblo, esta carretera la hicieron en los años 40 y algo, bueno, el asfaltado fue ahora en los años 70 o 70 y pico,
[1:13:51.08]-[1:14:03.08]  anteriormente era esdieva, pero estaba esa carretera que al centro del pueblo, pero ya no podía salir un coche de la carretera esta, pero si estaba el pueblo,
